title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Cazuela de soja,,"['1\nEn una cacerola rehogar la cebolla y las zanahorias.', '2\nAgregar el resto de las verduras cortadas, 1 taza de caldo, la sal y las especias.', '3\nDejar cocer las verduras, finalmente agregar la soja cocida y continuar con la cocción 5 minutos más.']","Valoración: 3,3 (9 votos)","['2 tazas de soja cocida', '1 cebolla', '1 zapallito', '200 grs de zapallo', '2 zanahorias', '2 papas', '200 grs de chauchas', '2 cucharadas de aceite', 'Caldo de verduras']",https://www.recetasgratis.net/receta-de-cazuela-de-soja-8151.html,,,,,,
Garbanzos fritos con patatas y huevos faciles,,"['1\nCuece los garbanzos que hemos tenido a remojo desde la víspera en agua con sal hasta que se ablanden.', '2\nPela y trocea las patatas en láminas finas.', '3\nPica la cebolla y dórala en aceite.', '4\nCuando esté dorada, añade las patatas, echa sal y fríe durante 15 minutos.', '5\nCuando las patatas estén hechas, sácalas a un plato y en la misma sartén fríe los garbanzos durante 4-5 minutos.', '6\nEn un plato grande coloca los garbanzos y encima, las patatas fritas.', '7\nEn el último momento, fríe los huevos, colócalos sobre las patatas y espolvorea con perejil.']","Valoración: 3,3 (9 votos)","['400 g de garbanzos', '2 patatas pequeñas', '1 cebolla', '4 huevos', 'Aceite', 'Sal', 'Perejil picado']",https://www.recetasgratis.net/receta-de-garbanzos-fritos-con-patatas-y-huevos-faciles-8078.html,,,,,,
Lentejas posaderas,,"['1\nCuece las lentejas en agua con un chorrito de aceite, sal y el pimiento verde durante un haro aproximadamente, a fuego lento.', '2\nEn una sartén, rehoga la cebolla picada y salpimentada.', '3\nVierte este sofrito en las lentejas cocidas, espolvorea con perejil picado y deja cocer 5 minutos más.', '4\nBate las yemas con un chorrito de vinagre e incorpora todo a la cazuela de las lentejas.', '5\nMezcla bien y deja reposar unos 3 minutos.']","Valoración: 3,3 (9 votos)","['400 grs. de lentejas', '1 pimiento verde', '1 cebolla', 'pimienta blanca', '2 yemas de huevo', '1 chorrito de vinagre', 'perejil', 'aceite de oliva', 'agua', 'Sal']",https://www.recetasgratis.net/receta-de-lentejas-posaderas-7987.html,,,,,,
Garbanzos con judías y acelgas,,"['1\nPoner los garbanzos y las judías en remojo, por separado, el día anterior. Escurrirlos.', '2\nPelar la cabeza de ajos y la cebolla, partiendo ésta en varios trozos.', '3\nLavar las acelgas, desechar la parte verde y cortar los tallos en trozos.', '4\nCocer las acelgas en una olla con agua y sal, unos 15 minutos, hasta que los tallos estén tiernos, escurrir y reservar.', '5\nLlenar otra vez la olla con agua y sal y cocer las judías lentamente, durante una hora y escurrirlas.', '6\nMientras, en otra cazuela con agua y sal, poner los garbanzos.', '7\nAñadir la cebolla , la cabeza de ajos, la manteca de cerdo y cocer a fuego lento durante 30 minutos.', '8\nEchar las judías, las acelgas y el laurel en la olla de los garbanzos y salpimentar al gusto.', '9\nAgregar el chorizo y cocer unos 30 minutos más a fuego lento. Escurrir y servir.']","Valoración: 4,2 (5 votos)","['200 grs. de garbanzos', '200 grs. de judías blancas', '400 grs. de acelgas', '1 cebolla', '80 grs. de chorizo', '50 grs. de manteca de cerdo', '1 cabeza de ajos', '3 hojas de laurel', 'Sal', 'pimienta']",https://www.recetasgratis.net/receta-de-garbanzos-con-judias-y-acelgas-7973.html,2 comensales,1h 30m,Plato principal,Dificultad media,,[]
Garbanzos con pollo en escabeche,,"['1\nEn una cazuela con un poco de aceite, pocha la cebolleta picada y los dos dientes de ajo.', '2\nTrocea la pechuga de pollo, salpimiéntala y añádela a la cazuela. Una vez rehogada, moja con el vinagre y el aceite.', '3\nAgrega los garbanzos cocidos y las especias y guísalo todo durante unos 15 minutos.', '4\nPuedes tomar este plato frío o caliente.']","Valoración: 3,2 (13 votos)","['300 grs. de garbanzos', '300 grs. de pechuga de pollo', '1 cebolleta', '2 dientes de ajo', '1 pizca de tomillo', '1 ramita de romero', '½ litro de vinagre de jerez', '½ litro de aceite de oliva', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-garbanzos-con-pollo-en-escabeche-7971.html,,,,,,
Berza gitana,,"['1\nLa noche antes y en cacharros separados se ponen a remojo, con abundante agua, las alubias y los garbanzos.En una olla alta, se echan las alubias, los garbanzos, la cabeza de ajos (entera, sin pelar, pero dándole unos cortes), el tocino cortado en tacos, el aceite, el pimentón, el comino y agua abundante. Se pone al fuego y cuando hierva fuerte, se baja el fuego y se deja hervir a fuego lento y tapada, durante al menos una hora. Vigilar que siempre el agua cubra de sobras los ingredientes.', '2\nEn una cazuela aparte, se echan los cardos, bien limpios de hilos y cortados y troceados en pedazos de 5 ó 6 cm., se ponen a hervir con agua abundante y cuando estén tiernos se escurren y se añaden a la olla.Cuando los garbanzos y las alubias estén tiernas, se echan la morcilla y el chorizo cortados en rodajas. Se sala al gusto y se deja hervir a fuego lento, al menos media hora más para que espese.Presentar todo junto en una sopera.']","Valoración: 3,6 (8 votos)","['1/2 kilo de alubias blancas', '1/2 kilo de garbanzos', '1 manojo de cardos o acelgas de penca ancha', '1 morcilla de Ronda', '1 chorizo de guisar no picante', '1/2 kilo de tocino fresco sin salar', '(de panceta o papada, que tienen una veta de carne)', '1 cabeza de ajos entera', '1 cucharadita de pimiento molido o pimentón dulce', '1 pellizco de comino', '1 vaso de aceite de oliva', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-berza-gitana-7963.html,,,,,,
Alubias blancas con almejas,"Aprende cómo preparar esta receta fácil de alubias blancas con almejas y sorprende a todos con un plato nuevo y diferente. Todos sabemos que las alubias con almejas están buenísimas, y como en RecetasGratis.net queremos que sepáis prepararlas, aquí os dejamos esta receta para elaborar unas deliciosas alubias blancas con almejas ¡para chuparse los dedos! Un plato de cuchara tradicional que podemos preparar con alubias de bote o secas, también llamadas fabes o judías blancas en otra regiones de España.Foto referencia: Food Style - Flickr","['1\nPara hacer estas alubias blancas con almejas, se ponen las alubias en remojo en agua fría, durante la noche anterior.', '2\nA la mañana siguiente se escurren las alubias blancas, se trasladan a una cacerola y se les añade la cebolla picada, el tomate pelado y cortado en trozos pequeños, el laurel, el ajo, el perejil, el pimentón y el aceite crudo; se sacude la cacerola para mezclarlo todo y se cubre con agua fría.', '3\nCuando la olla de las alubias blancas rompa el hervor, se baja la llama, se pone el azafrán ligeramente tostado y se deja cocer lentamente, procurando que las alubias estén siempre cubiertas de agua para que no suelten la piel.', '4\nUna vez tiernas, las alubias blancas se sazonan con sal y se siguen cociendo muy despacio.', '5\nPor separado se preparan las almejas a la marinera y se añaden a las alubias blancas, dejándolas hervir muy despacio, un cuarto de hora más.', '6\nSe retiran del fuego las alubias con almejas y se dejan reposar, tapadas, unos diez minutos antes de servirlas. Ya sólo queda disfrutar esta receta fácil de alubias blancas con almejas, ¡buen provecho!Y si te gustan los recetas con almejas, no te pierdas las siguientes recomendaciones:Patatas con almejasAlcachofas con almejasEspaguetis con almejas']","Valoración: 3,8 (16 votos)","['¾ kilogramo de Alubias blancas', '½ kilogramo de Almejas finas', '1 unidad de Tomate maduro', '1 unidad de Cebolla', '½ hoja de Laurel', '1 rama de Perejil', '1 unidad de Papeleta de azafrán', '1 diente de Ajo', '½ cucharadita de Pimentón dulce', '1 chorro de Aceite', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-alubias-blancas-con-almejas-7959.html,4 comensales,45m,Entrante,Dificultad media,,['Recetas españolas']
Habichuelas a la rusa,,"['1\nVierta las habichuelas sin descongelar en agua hirviendo con sal y cocine sin tapar de 5 a 10 minutos hasta que estén blandas, cuide que no se deshagan.', '2\nEscúrralas y apártelas.', '3\nDerrita la mantequilla en un sartén de fondo grueso a fuego moderado, añada la cebolla y el pimentón cortado en tiras y cocine hasta que estén tiernos pero sin dorarse.', '4\nAgregue la albahaca, cocine dos minutos removiendo a menudo, luego incorpore las habichuelas, mezcle bien, baje el fuego y continúe con la cocción dos minutos más.', '5\nBata la crema con sal y pimienta y agréguesela a las hortalizas removiendo delicadamente hasta que hierva.', '6\nRectifique la condimentación y sírvalas.']","Valoración: 3,5 (8 votos)","['1 bolsa de habichuelas', 'Sal al gusto', '500 gr. de mantequilla', '1/2 taza taza de cebolla picada Minuto Verde', '1 pimentón mediano', '1 taza de crema de leche', 'Pimienta negra recién molida']",https://www.recetasgratis.net/receta-de-habichuelas-a-la-rusa-7918.html,,,,,,
Porotos granados a la chilena,,"['1\nLos porotos granados no se remojan, se lavan y se cuecen en agua hirviendo sin sal 45 minutos aproximadamente.', '2\nSe fríe la cebolla, los choclos, el zapallo y se agregan los aliños. A los porotos se les saca un poco de agua, para que la sopa no quede muy clara.', '3\nA los porotos se les agrega la cebolla y demás ingredientes fritos, el tomate y los ajíes. Se cuece a fuego lento 20 minutos aproximadamente.']","Valoración: 3,8 (8 votos)","['1 Cebolla picada fina', '2 Tazas de porotos granados', '3 Cucharadas de aceite', '2 1/2 Cucharadas de ají de color', '2 Ajíes verdes picantes', '2 Choclos picados', '1 taza de zapallo picado en cuadritos', '3 tomates picados', 'Sal', 'Pimienta', 'Orégano']",https://www.recetasgratis.net/receta-de-porotos-granados-a-la-chilena-7435.html,,,,,,
Milanesas de soja,,"['1\nMezclar todos los ingredientes, agregar agua tibia hasta formar una masa, espolvorear con harina la superficie donde se trabajará y el palo de amasar, estirar la masa, una vez logrado el espesor necesario (aprox. 4 mm.) marcarlas y cortarlas del tamaño y la forma que gusten.', '2\nPoner ½ olla de agua al fuego, cuando ésta hierva, ir colocando las milanesas de a dos por vez, (esto es una pre-cocción), cuando suben a la superficie se deben sacar con una espumadera y acto seguido se rebozan, con pan rallado de gluten o avena arrollada súper fina.', '3\nFreírlas vuelta y vuelta hasta que se doren.', '4\nRociarlas con jugo de limón antes de comer.']","Valoración: 3,4 (7 votos)","['1 kg. de harina de soja', '1/4 kg. de avena arrollada extra fina', '1/4 kg. de harina aglutinada', '100 gr. de germen de trigo', '150 gr. de provenzal', '1 cucharada de nuez moscada', 'Sal marina', 'pimienta a gusto']",https://www.recetasgratis.net/receta-de-milanesas-de-soja-7425.html,,,,,,
