title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Lentejas estofadas con chorizo y morcilla,"En RecetasGratis.net nos dedicamos a la elaboración de todo tipo de platos, adaptados a cada época del año y país. En esta ocasión aprenderás a preparar unas deliciosas lentejas estofadas con chorizo y morcilla, un plato caliente perfecto para los fríos días de invierno. Sigue leyendo y descubre cómo hacer lentejas estofadas.","['1\nDejamos a remojo las lentejas la noche anterior para que se rehidrate la legumbre, salvo que sean ""pardina"", muy pequeñas, que no precisan remojo.', '2\nPicamos la cebolla, la zanahoria y el puerro, lo ponemos todo en la olla junto con el resto de los ingredientes, lo cubrimos de agua y tapamos la olla, poniéndola a fuego fuerte hasta que comience a hervir.\nTruco: También puedes añadir piezas de carne y otras verduras.', '3\nEntonces, reducimos el fuego al mínimo y dejamos cocinar durante 1 hora. A mitad de cocción sacamos la morcilla y reservamos para el final.', '4\nAntes de servir hacemos un refrito sencillo. Ponemos aceite en una sartén con un diente de ajo y cuando esté caliente añadimos una cucharadita de pimentón, removemos hasta que empiece a cambiar de color (se pone más oscuro), y lo echamos por encima de las lentejas estofadas con chorizo.', '5\nRetiramos los pimientos y añadimos la morcilla troceada y servimos. Estas lentejas con chorizo y morcilla son ideales para los días de frío, acompañadas de arroz blanco.']","Valoración: 4,4 (32 votos)",4 comensales,24h,Plato principal,Dificultad media,,[],"['1 kilogramo de Camarones cocidos y pelados', '½ kilogramo de Queso chihuahua, manchego o oaxaca', '½ kilogramo de Tocino', '1 unidad de Zanahoria', '1 unidad de Puerro', '1 unidad de Pimiento verde', '½ unidad de Pimiento rojo', '1 unidad de Morcilla', '1 unidad de Chorizo de guisar (al gusto, en rodajas de 1/2 cm)', '1 paquete de Tocino (si es de los recortes del jamón serrano, más rico)', '1 unidad de Pimentón dulce', '4 cucharadas soperas de Aceite de oliva', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-lentejas-estofadas-con-chorizo-y-morcilla-28809.html
Alubias negras con berza y patatas,,"['1\nEl día anterior debemos poner las alubias lavadas en agua fría a remojo.', '2\nAl día siguiente con el agua de remojo, ponemos las alubias en una cazuela.', '3\nTapamos y dejamos que hiervan y que se vayan hinchando.', '4\nCuando hayan consumido el agua hasta el punto de que queden al descubierto, se vuelvan a mojar con agua fría (para asustarlas) y añadir el aceite, la cebolla, el puerro, la zanahoria, el pimiento verde, el tomate maduro y los 2 dientes de ajo.', '5\nDejamos cocer suavemente, removiendo con cuidado con una espátula de madera, sin romper las alubias.', '6\nTranscurridas dos horas a fuego muy suave, veremos que están perfectamente cocidas y enteras.', '7\nSacamos con cuidado la cebolla, el puerro, la zanahoria, el ajo, el pimiento, el tomate y un cacito de las alubias y las trituramos con una batidora.', '8\nFreímos un poco de ajo en un poco de aceite y lo echamos también al vaso batidor.', '9\nSe tritura bien todo y se cuela sobre la cazuela de las alubias.', '10\nSe da el último hervor y se prueba de sal definitivamente.', '11\nAparte, habremos cocido la berza en dos aguas.', '12\nLa primera en agua hirviendo, únicamente hasta que de nuevo vuelva a hervir (blanquear la berza, para que pierda su fuerte olor) y la segunda cocción con agua fría, sazonada con una pizca de sal y un chorrito de aceite.', '13\nCuando hierva la berza, se echan las patatas troceadas y se deja que cuezan hasta que la patata esté cocinada.', '14\nHacemos un refrito con 1 diente de ajo y lo vertemos encima de la berza.', '15\nServimos las alubias acompañadas de la berza y las patatas en una fuente aparte.', '16\nPara terminar, se ponen unas guindillas en vinagre, un buen aceite de oliva y un poco de sal para que los comensales se aliñen las alubias a su gusto.']","Valoración: 3,6 (7 votos)",,,,,,,"['250 g de alubias negra', '1 dl de aceite', 'Sal', '1 cebolla', '1 puerro', '1 zanahoria', '1 pimiento verde', '1 tomate maduro', '2 dientes de ajo', '2 patatas', '1 berza', 'Unas guindillas para acompañar']",https://www.recetasgratis.net/receta-de-alubias-negras-con-berza-y-patatas-28791.html
Alubias negras con costilla de cerdo,,"['1\nLa noche anterior limpiamos las alubias bajo el chorro de agua fría y las ponemos en remojo dentro de una cazuela o en un recipiente de cristal.', '2\nAl día siguiente introducimos las alubias en un puchero con agua fría y limpia.', '3\nAñadimos un chorro de aceite, las costillas de cerdo y la cebolla picada fina.', '4\nCuando empiece a hervir, rompemos el hervor echando un vaso de agua fría.', '5\nSe pone el puchero a fuego lento, dejando cocer las alubias por espacio de 2 horas (en olla rápida unos 35 minutos).', '6\nCuando las alubias estén casi cocidas, preparamos en una sartén un sofrito poniendo unas cucharadas de aceite y cebolla picada muy fina.', '7\nEn el momento en que la cebolla empieza a dorarse, apartamos la sartén del fuego y añadimos una cucharadita de pimentón picante.', '8\nRehogamos bien y vertemos en el puchero de las alubias.', '9\nEsperamos a que las alubias se acaben de hacer, las retiramos del fuego y dejamos reposar una media hora.', '10\nLas guindillas se sirven aparte en un plato con un poco de sal.']","Valoración: 3,3 (10 votos)",,,,,,,"['250 gramos de alubias', '2 litros de agua', '½ cebolla', '½ vaso de aceite', '1 kilo de costilla de cerdo', 'Guindillas verdes', '1 cucharada de pimentón picante']",https://www.recetasgratis.net/receta-de-alubias-negras-con-costilla-de-cerdo-28789.html
¡Receta Tradicional!,"Esta receta de berza con garbanzos de bote es uno de esos platos de cuchara que apetecen cuando los días de calor aún no llegan. Esta especie de puchero gitano es muy tradicional de tierras andaluzas, específicamente de la zona de Jerez-Cádiz. Cabe destacar que, dependiendo de dónde se prepare, la berza, col forrajera o col gallega tiene presencia en muchas otras recetas y suele prepararse con otro tipo de alubias y carnes.En este caso, en RecetasGratis, vamos a hacer una olla de garbanzos con berza que incluirá también otros ingredientes como el chorizo, la morcilla y la panceta. Asimismo, añadiremos otras verduras como la calabaza, la patata y el tomate. Descubre todo lo que necesitas para aprender cómo hacer berza con garbanzos de una forma práctica y sencilla.","['1\nVierte los garbanzos ya cocidos en una olla con agua. Añade la morcilla, el chorizo, la panceta y el hueso de vaca. Sin cerrar la olla, deja que hierva por 15 minutos para que los ingredientes suelten todo su sabor y jugo.', '2\nCorta las verduras en tamaños más bien grandes, así, al cocerse no se desharán demasiado y podrán apreciarse en el plato final. Corta la parte del tomate que va sujeta a la olla y añádelo entero junto con el resto de las verduras.', '3\nCuando empiece a hervir, agrega las hojas de berza partidas por la mitad. No añadas sal por el momento para que los garbanzos no se endurezcan. Es mejor rectificar de sal en el último momento de la cocción.', '4\nEn cuanto rompa a hervir, añade el ajo y la pimienta, y cierra la olla. En nuestro caso, hemos preparado esta berza con garbanzos y calabaza en una olla de presión, así que debe cocer por unos 35 minutos. Si utilizas una cazuela básica, déjalo por 50 minutos a fuego bajo.\nTruco: Si lo prefieres, puedes omitir la pimienta.', '5\nCuando haya transcurrido este tiempo, utiliza un cucharón para sacar el exceso de grasa que han soltado los embutidos. No es necesario que la saques en su totalidad, puesto que la receta debe llevar algo de la sustancia de la carne. Luego, saca el tomate, un trozo de patata y algunos pedazos de calabaza y cebolla; ponlos en un plato junto con un poco del caldo de la olla.', '6\nDeposita los ingredientes que apartaste en un vaso mezclador, añade la sal y tritura hasta convertirlo en un puré cremoso. Agrégalo a la olla para que el caldo quede espeso y delicioso. Remueve para que todos los sabores se integren. No tapes la olla y deja cocer por 10 minutos más a fuego medio.', '7\nEste será el resultado de este sencillo y exquisito potaje de berza con garbanzos. Sirve con un pan crujiente para acompañar o con una ensalada de brotes variados, ¡te encantará!']","Valoración: 4,4 (17 votos)",3 comensales,1h 30m,,Dificultad baja,,[],"['450 gramos de garbanzos de bote o garbanzos cocidos', '1 paquete de chorizo, morcilla y panceta', '1 patata grande', '300 gramos de calabaza sin piel', '4 hojas de berza', '1 tomate maduro', '1 cebolla', '1 paquete de morcilla', '1 paquete de panceta o tocineta', '1 litro de agua', '1 hueso de vaca', '1 pellizco de pimienta', '1 pellizco de ajo en polvo', '1 cucharada sopera de sal (cucharada rasa)']",https://www.recetasgratis.net/receta-de-berza-con-garbanzos-28780.html
Alubias rojas estofadas,,"['1\nAclaramos en agua fría las alubias y una vez limpias las dejamos en remojo, con agua fría durante toda una noche.', '2\nAl día siguiente, aprovechando la propia agua de remojo, las ponemos en una olla y añadimos agua fría hasta cubrirlas y un poco más.', '3\nAñadimos la cebolla troceada por la mitad, la zanahoria pelada, los dientes de ajo pelados y enteros, el laurel y un chorro de aceite.', '4\nDejamos que cuezan a fuego suave y lento, vigilando que estén siempre cubiertas de agua, añadiendo un poco de agua fría cuando sea necesario.', '5\nCuando estén en su punto las retiramos del fuego.', '6\nRetiramos la cebolla, la zanahoria y el laurel.', '7\nLa cebolla y la zanahoria la pasamos por el pasapurés y añadimos el puré a las alubias.', '8\nEn una sartén, freímos en un poco de aceite la harina, sacamos del fuego y añadimos una cucharadita de pimentón y rápidamente, añadimos un poco de caldo de cocción y vertemos sobre las alubias.', '9\nSazonamos con sal y dejamos cocer 5 minutos más.', '10\nAntes de servir es conveniente que reposen 10 minutos.']","Valoración: 3,9 (10 votos)",,,,,,,"['250 gramos de alubias rojas', '1 cebolla', '1 zanahoria', '2 dientes de ajo', '1 hoja de laurel', '1 cucharadita de pimentón', '1 cucharada sopera rasa de harina', '1 decilitro de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-alubias-rojas-estofadas-28774.html
Alubias negras con arroz y sepia,,"['1\nPonemos a remojo las alubias la noche anterior.', '2\nAl día siguiente elaboramos un sofrito con los ajos, la cebolla, el pimiento (todo ello cortado en cuadraditos).', '3\nCuando empiece a dorarse hay que añadir el tomate pelado.', '4\nUna vez elaborado el sofrito le añadimos la sepia cortada en cuadraditos y la salteamos.', '5\nAñadimos las alubias escurridas del agua del remojo, cubrimos con agua fría y lo ponemos a fuego fuerte hasta que el agua entre en ebullición.', '6\nBajamos el fuego de la cazuela y dejamos que hierva a lentamente dos horas.', '7\nCuando falten 20 minutos para terminar la cocción añadimos el arroz y dejamos que hierva todo el conjunto de nuevo hasta que estén cocinada las alubias y el arroz.', '8\nPonemos a punto de sal y servimos en sopera caliente.']","Valoración: 3,6 (8 votos)",,,,,,,"['Medio kilo de alubias negras', '400 gramos de sepia limpia', '2 cebollas', 'Un pimiento rojo', '5 dientes de ajo', '1 tomate', '100 gramos de arroz', '4 cucharadas de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-alubias-negras-con-arroz-y-sepia-28764.html
Alubias blancas con bacalao y setas,,"['1\nPonemos las alubias en remojo en agua fría durante la noche anterior.', '2\nA la mañana siguiente las escurrimos, las metemos en una cacerola, junto con la cebolla picada, el tomate pelado y cortado en trozos pequeños, el ajo, el pimentón y el aceite crudo.', '3\nCubrimos el conjunto con agua fría. uando rompe el hervor, bajamos el fuego y dejamos cocer lentamente, añadiendo las setas cortadas en tiras, procurando que las alubias estén siempre cubiertas de agua para que no suelten la piel.', '4\nUna vez tiernas, sazonamos y dejamos cocer muy despacio. n el último momento, cuando la alubia está ya cocida, añadimos el bacalao desalado previamente y desmigado, y dejamos hervir el potaje muy despacio 10 minutos.', '5\nRetiramos del fuego, espolvoreamos con perejil recién picado y dejamos reposar, tapadas, unos 10 minutos antes de servirlas.']","Valoración: 3,8 (8 votos)",,,,,,,"['300 gramos de alubias blancas', '½ kilo de bacalao desalado', '300 gramos de setas', '75 gramos de tomate maduro', '100 gramos de cebolla', 'Una rama de perejil', '1 diente de ajo', '½ cucharadita de pimentón dulce', '4 cucharadas de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-alubias-blancas-con-bacalao-y-setas-28760.html
Alubias blancas con almejas y setas,,"['1\nPonemos las alubias en remojo en agua fría, durante la noche anterior.', '2\nA la mañana siguiente las escurrimos, las pasamos a una cacerola y les añadimos la cebolla picada, el tomate pelado.', '3\nCortado en trozos pequeños, el ajo, el perejil, el pimentón y el aceite crudo y cubrimos con agua fría.', '4\nCuando rompe el hervor, bajamos el fuego y dejamos cocer lentamente, añadiendo las setas cortadas en tiras.', '5\nProcurando que las alubias estén siempre cubiertas de agua para que no suelten la piel.', '6\nUna vez que las alubias estén tiernas, sazonamos y seguimos cociendo muy despacio.', '7\nAparte abrimos las almejas con un poco de ajo en una sartén, y cuando se han abierto les añadimos perejil picado.', '8\nVertemos sobre las alubias, dejándolas hervir con las almejas muy despacio durante 10 minutos más.', '9\nRetiramos el cocido del fuego y dejamos reposar, tapadas, unos diez minutos antes de servirlas.']","Valoración: 3,3 (6 votos)",,,,,,,"['280 gramos de alubias blancas', '½ kilo de almejas', '300 gramos de setas', '75 gramos de tomate maduro', '100 gramos de cebolla', 'Una rama de perejil', '1 diente de ajo', '½ cucharadita de pimentón dulce', '4 cucharadas de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-alubias-blancas-con-almejas-y-setas-28757.html
Garbanzos con piñones y puerro,,"['1\nLos garbanzos dejados a remojo el día anterior, los cocemos con agua limpia hirviendo con una pizca de sal (tiramos el agua del remojo y deslavamos los garbanzos) En esa cazuela con agua hirviendo añadimos el puerro cortado en rodajas gruesas y las zanahorias también cortadas en rodajas gruesas.', '2\nDejaremos cocer por espacio de 2 horas a fuego suave en una cazuela normal y alrededor de 30 minutos en una olla rápida.', '3\nUna vez cocidos los garbanzos añadimos los piñones y dejamos cocer la legumbre con los piñones por espacio de 10 minutos más.', '4\nServimos en recipientes individuales acompañados los garbanzos de los piñones, el puerro y la zanahoria cocida con los garbanzos.']",Valoración: 4 (5 votos),,,,,,,"['250 gramos de garbanzos', '1 puerro', '2 zanahorias', '40 gramos de piñones', '4 cucharadas de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-garbanzos-con-pinones-y-puerro-28753.html
Alubias blancas con setas y almejas,,"['1\nPonemos las alubias en remojo en agua fría, durante la noche anterior.', '2\nA la mañana siguiente escurrimos, trasladamos a una cacerola y les añadimos la cebolla picada, el tomate pelado.', '3\nCortado en trozos pequeños, el laurel, el ajo, el perejil, el pimentón y el aceite crudo y se cubre con agua fría.', '4\nCuando rompe el hervor, bajamos el fuego, y dejamos cocer lentamente, procurando que las alubias estén siempre cubiertas de agua para que no suelten la piel.', '5\nUna vez tiernas, sazonamos de sal, añadimos las setas limpias y troceadas y seguimos cociendo muy despacio.', '6\nAparte abrimos las almejas con un poco de ajo en una sartén, y cuando se han abierto les añadimos un poco de perejil picado.', '7\nVertemos sobre las alubias y setas, dejándolas hervir con las almejas muy despacio 10 minutos más.', '8\nSe retiran del fuego y se dejan reposar, tapadas, unos diez minutos antes de servirlas.']","Valoración: 3,3 (6 votos)",,,,,,,"['300 gramos de alubias blancas', '½ kilo de almejas finas', '100 gramos de setas', '75 gramos de tomate maduro', '100 gramos de cebolla', '½ hoja de laurel', 'Una rama de perejil', '1 diente de ajo', '½ cucharadita de pimentón dulce', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-alubias-blancas-con-setas-y-almejas-28751.html
