title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Zarzuela de pescado catalana,"La zarzuela de marisco catalana es una elaboración tradicional de Cataluña, concretamente se comenta que tiene su origen en Barcelona y, con los años, se difundió por todas las comunidades. Es un plato riquísimo ideal para días de fiestas, Navidad, Semana Santa, etc.Asimismo, en RecetasGratis te enseñamos cómo hacer zarzuela de pescado y marisco catalana. ¡A cocinar!","['1\nPrimero prepara el caldo de pescado. Para ello, pide las espinas en la pescadería del pescado que compres. A continuación, añade una cazuela con 2 litros de agua, incorpora las espinas de pescado, unas ramas de perejil y dos dientes de ajos enteros, añade un poco de sal. Deja cocer durante 20 minutos y, cuando esté, apaga y reserva.', '2\nCuece los mejillones en otro cazo y reserva el agua que suelta.', '3\nFríe la picada. Añade una cazuela grande donde vayas a preparar la zarzuela de pescado de la abuela, un poco de aceite de oliva y pon los ingredientes de la picada. Dora los ingredientes sin que se quemen y ve retirando según se vayan tostando. Reserva.', '4\nDora las cigalas y las gambas a fuego fuerte en la cazuela. Retira y reserva.', '5\nEn la misma cazuela añade un poco más de aceite, pasa los trozos de pescado por harina y fríe a fuego fuerte el pescado, solo sellarlo. Reserva.', '6\nPela y pica la cebolla. En la misma cazuela ve añadiendo aceite según veas que hace falta. A continuación, pon la cebolla a pochar a fuego medio y, a medio pochar, añade los calamares limpios y cortados en trozos. Deja que se cocine todo 5 minutos. Añade el tomate y la carne de ñora, mezcla y deja se cocine todo unos minutos.\nTruco: si no tienes carne de ñora, pon una cuchara de pimentón dulce.', '7\nAñade el brandy y deja que se evapore el alcohol.', '8\nCuela el caldo de pescado y añade 1 litro de caldo aprox. en la cazuela. Deja que se cocine unos 10 minutos todo.', '9\nAñade los ingredientes de la picada en un mortero, las almendras, el pan, los ajos y un puñado de perejil picado, machaca bien hasta que quede como una pasta. Añade toda la picada a la cazuela, mezcla bien y deja que se cocine con el caldo.', '10\nAñade el pescado en la cazuela y deja que se cocine otros 10 minutos. Prueba de sal y rectifica si hace falta, también puedes añadir un poco de pimienta.\nTruco: mueve de vez en cuando la cazuela para que la salsa se ligue.', '11\nIncorpora las cigalas, las gambas y los mejillones, deja unos minutos y apaga. Ya está lista la zarzuela de marisco y pescado a la catalana.Deja reposar un rato, así la salsa queda más buena. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,1h 30m,,Dificultad alta,,[],"['4 rodajas de rape', '4 rodajas de merluza', '500 gramos de mejillones', '400 gramos de calamares o sepia', '6 langostinos', '6 cigalas', '1 cebolla', 'harina', '100 granos de tomate natural o frito', '150 mililitros de brandi', 'perejil', 'espinas de pescado para hacer caldo', '2 dientes de ajos', 'sal', 'pimienta', 'aceite de oliva', 'Para la picada', '2 rodajas de pan del día anterior', '2 dientes de ajos', '12 almendras', 'perejil']",https://www.recetasgratis.net/receta-de-zarzuela-de-pescado-catalana-76587.html
3 recetas de marisco y pescado gallego,"Existen elementos de la gastronomía de ciertas regiones del mundo que son un emblema por el que son reconocidos más allá de sus fronteras. En España, son muchas las regiones con particularidades gastronómicas propias gracias a productos únicos que se obtiene en ellas. Al hablar de Galicia, el marisco y el pescado gallego como el que podemos comprar en la pescadería online Galicia Marisco son reconocidos por su sabor y calidad.Unos productos de gran calidad que hay que saber utilizar en recetas de cocina para sacarle el mayor partido junto con ingredientes que hagan potenciar sus cualidades culinarias. ¿Quieres conocer algunas recetas de marisco y pescado gallego? Toma nota porque te mostramos tres muy sencillas a continuación:",[],,,,,,,,,https://www.recetasgratis.net/articulo-recetas-de-marisco-y-pescado-gallego-76495.html
Albóndigas de choco y gambas,"Estas albóndigas, muy típicas en el sur de España, son un bocado delicioso y fácil de elaborar, aunque sí que son un poco entretenidas de hacer, por ello, te aconsejamos que cuando vayas a hacerlas, hagas cantidad y congeles antes de freírlas para poder degustarlas los días que te apetezcan. Solo deberás freírlas y preparar la salsa, no te llevará más de 10 minutos. Te aseguramos que será una receta que todos elaboréis más de una vez.Si quieres aprender cómo hacer albóndigas de choco y gambas en salsa, quédate en RecetasGratis, te contamos todos los pasos y trucos para elaborar unas perfectas albóndigas. ¡A cocinar!","['1\nPara empezar con la receta de las albóndigas de choco y gambas, primero elabora las albóndigas y, cuando estén hechas, prepara la salsa. Para ello, pela y pica la cebolla muy finamente para que no te encuentres tropezones excesivos en las albóndigas. A continuación, pela los dientes de ajo, retira el germen de su interior y pica muy finamente. Por último, lava el perejil y pícalo como todo lo anterior, muy finamente, hasta conseguir unas dos cucharadas soperas de perejil picado. Reserva todo.', '2\nPrepara el choco. Asimismo, corta las partes más duras y quédate solo con las partes más tiernas. A continuación, corta en tiras y, a su vez, en cuadraditos muy pequeños, recuerda que te quedará una textura mejor si no le dejas a las albóndigas tropezones grandes. Luego, pela los langostinos y haz un pequeño corte en su lomo, retira el hilo donde se encuentran los intestinos y trocéalos muy finamente. Añade la sepia y los langostinos troceados en un bol amplio.\nTruco: no deseches las cabezas y las pieles de los langostinos, los podrás congelar y utilizarlos para hacer un fumet de marisco.', '3\nEn el bol del choco y de los langostinos incorpora también la cebolla, los ajos y el perejil picado. Añade también un poco de sal, el huevo batido y el pan rallado. Mezcla todo bien con las manos.', '4\nVe formando con las manos pequeñas bolitas apretando bien para que queden firmes. Te saldrán aproximadamente unas 20 albóndigas.', '5\nPasa cada albóndiga por la harina, pero debe quedar una película muy fina, no las enharines en exceso.', '6\nPon el aceite de oliva a calentar en una olla o sartén amplia. Cuando el aceite esté bien caliente, incorpora las albóndigas y fríelas hasta que queden doraditas, pero no las dores demasiado. Ve añadiendo las albóndigas en un plato con papel de cocina para que suelte el exceso de aceite y reserva.\nTruco: ten cuidado al darles la vuelta, si no las has apretado bien con las manos al formarlas, se pueden romper.', '7\n¿Te preguntas cómo hacer salsa para las albóndigas de choco y gambas? Pues bien, te enseñamos cómo prepararla con estos pasos sencillos. Para ello, pela la cebolla y los dientes de ajo. A continuación, pícalos no muy gruesos.', '8\nPon el aceite de oliva en una olla amplia al fuego y, una vez esté caliente, incorpora la cebolla y los dientes de ajo picados. Déjalos pochar a fuego lento hasta que la cebolla esté transparente.', '9\nIncorpora el vino blanco, sube un poco el fuego y deja que el alcohol se evapore durante 1 minuto.', '10\nAñade el agua, sal al gusto, el laurel y deja reducir a fuego suave hasta que la salsa espese un poco. Ve probándola de sabor por si tienes que rectificar de sal conforme la salsa vaya reduciendo.En este artículo de RecetasGratis te explicamos Cómo espesar una salsa.\nTruco: si te gusta una salsa más fina, puedes triturarla con una batidora eléctrica.', '11\nCuando la salsa haya tomado cuerpo, introduce las albóndigas para que adquieran sabor, dales la vuelta y deja cocer unos 2 minutos.', '12\nSirve enseguida las albóndigas de choco en salsa, verás qué irresistibles son. ¿Qué te han parecido estas deliciosas albóndigas? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final. Además, si lo deseas, puedes acompañar estas albóndigas con arroz blanco suelto.Espero que te haya gustado la receta y te invito a mi blog Cakes para ti.\nTruco: si te sobran, puedes tener las albóndigas de choco y gambas congeladas para futuras ocasiones.']",,4 comensales,1h 30m,Entrante,Dificultad baja,,"['Recetas españolas', 'Recetas andaluzas']","['1 cebolla pequeña', '2 dientes de ajo', '2 cucharadas soperas de perejil picado', '500 gramos de choco', '250 gramos de langostinos', '1 huevo L', '100 gramos de pan rallado', '1 pizca de sal', '3 cucharadas soperas de harina', '200 mililitros de aceite de oliva para freír', '1 cebolla', '2 dientes de ajo', '4 cucharadas soperas de aceite de oliva', '1 hoja de laurel', '75 mililitros de vino blanco', '300 mililitros de agua (1¼ tazas)', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-albondigas-de-choco-y-gambas-76053.html
Receta FÁCIL y JAPONESA,"Las gyozas son unas deliciosas empanaditas de la gastronomía oriental. Se caracterizan por sus variados rellenos elaborados con ingredientes típicos de la región, como por ejemplo: mariscos, pescados o vegetales, así como su cocción, que combina una pequeña fritura con una última cocción al vapor. El resultado son unas empanadas bien sabrosas con una parte crocante y una parte elástica. ¿Te animas a cocinarlas?En RecetasGratis te enseñamos cómo hacer gyozas de langostinos fáciles. Este marisco es perfecto para quienes buscan bajar de peso o comer de forma saludable, ya que aportan pocas calorías y un alto valor nutricional. ¡No te pierdas de esta sencilla y deliciosa receta!","['1\n¿Te preguntas cómo cocinar gyozas? Para empezar con la receta de gyozas de langostinos, primero prepara la cebolla y el ajo. Para ello, pélalos y pícalos. A continuación, saltéalos en una sartén con el fuego fuerte y 1 cucharadita de aceite. Una vez que estén dorados, baja el fuego al medio y agrega 1 cucharada sopera de agua caliente para levantar el fondo de cocción. Cuando se haya evaporado ligeramente, agrega otra cucharada de agua y repite dos veces. La última vez, sube el fuego y reemplaza el agua por el vino.', '2\nRetira las cebollas y resérvalas. En la misma sartén, con una nueva cucharadita de aceite, dora los langostinos crudos por ambos lados. Una vez listos, resérvalos fuera del fuego.\nTruco: si prefieres elaborar gyozas de gambas o gyozas de gambones, puedes hacerlo. Tan solo debes reemplazar las gambas en este paso o añadirlas junto con los langostinos.', '3\nEn un recipiente disuelve la maicena en la salsa de soja. Luego, condiméntala con el jengibre.', '4\nLleva la salsa de soja a la sartén con los langostinos dorados y la cebolla previamente caramelizada. En el fuego medio, remueve tu preparación hasta que la maicena espese. Retira y reserva hasta que enfríe.', '5\nCuando el relleno de gyozas esté listo, procede a rellenarlas. Para ello, toma un disco y moja el borde de la mitad. En el centro, añade una cucharada del salteado.', '6\nCierra la empanada y haz el cierre clásico pellizcando la masa y pegándola hacia el costado.', '7\nEn una sartén caliente añade 1 cucharada de aceite y, con el fuego fuerte, dora las gyozas.', '8\nAgrega suficiente agua como para cubrir la base de las gyozas de pescado o marisco y tápalas para cocinarlas unos 7 minutos o, hasta que la masa esté transparente.', '9\n¡Ya puedes servir las deliciosas gyozas de langostinos! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,2 comensales,30m,Plato principal,Dificultad baja,,"['Recetas al vapor', 'Recetas japonesas']","['100 gramos de langostinos crudos', '1 diente de ajo', '1 cebolla', '25 centímetros cúbicos de vino blanco', '1 cucharada postre de maicena', '5 discos de empanadas o gyozas', '1 cucharada sopera de salsa de soja', '1 cucharadita de jengibre en polvo']",https://www.recetasgratis.net/receta-de-gyozas-de-langostinos-75920.html
Tiempos de cocción y otros consejos,"En esta receta queremos mostrarte cómo cocer langostinos congelados, porque sabemos que cocer gambas enteras y congeladas crudas, puede ser un desafío para ti. Por ello, a lo largo de la receta podrás observar el paso a paso detallado en fotos, así cómo conocer el tiempo de cocción de los langostinos congelados, para que no queden dudas. Igualmente, puedes consultarnos en los comentarios cualquier información adicional que quieras recibir. Cuando aprendas a cocer langostinos congelados, podrás utilizar los langostinos cocidos para la preparación que prefieras, incluyendo picadas, salteados, guarniciones de pastas, rellenos, entre otras.En RecetasGratis te enseñamos cómo hacer langostinos congelados cocidos. ¡No te pierdas esta receta!","['1\nEl primer paso consiste en limpiar cuidadosamente cada langostino para eliminar cualquier resto de arena. Hazlo en un cuenco amplio con abundante agua tibia, también ayudará a descongelar tus gambas.', '2\nRetira con cuidado su caparazón, empezando por la cabeza, como observas en la imagen.', '3\nAbre el caparazón por debajo y retíralo, junto con las patas y la cola para dejar las gambas al descubierto.', '4\nAntes de cocinar tus gambas, retira con un palillo o cuchillo los intestinos, insertando la punta del elemento en la parte superior de la gamba y tirando cuidadosamente de él para que salga completo. Si se dificulta, puedes hacer un corte transversal para retirarlo con ayuda de agua, debajo del grifo.', '5\nAhora bien, procede a cocer los langostinos congelados. Una de las formas es calentando una sartén con 1 cucharadita de aceite y 1 ajo para saborizar el aceite. Ten cuidado de no quemarlo o aportará sabor amargo.', '6\nCuando el aceite esté caliente, añade los langostinos congelados a la plancha que has limpiado previamente para cocer los langostinos crudos. Cocínalos aproximadamente 1 minuto.', '7\nGíralos y cocínalos por 1 minuto más para que se doren por ambos lados. Verás que los langostinos cocidos congelados toman un color salmón vivo. Retíralos y, si lo deseas, levanta el fondo de cocción con vino blanco.\nTruco: manéjalos con una espátula o pinza para no romperlos.', '8\n¡Listo! Ahora ya sabes cómo cocer langostinos congelados crudos para disfrutar en tu preparación preferida. ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios. Además, recomendamos incorporar los langostinos en estas elaboraciones deliciosas:Langostinos gratinadosSaquitos de langostinosLangostinos al curryTortilla de langostinos']",,2 comensales,10m,Entrante,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal']","['300 gramos de langostinos congelados enteros', '1 cucharadita de aceite', '1 diente de ajo', '25 centímetros cúbicos de vino blanco (opcional)']",https://www.recetasgratis.net/receta-de-langostinos-congelados-cocidos-75875.html
Receta TRADICIONAL y FÁCIL,"Las gambas son mariscos popularmente conocidos, entre otras cosas, gracias a la película Forrest Gump. En ella, el personaje Bubba, amigo del protagonista, cuenta la tradición familiar de cocinar camarones, además también explica su sueño de comprar un barco camaronero al salir del ejército. Inspirados en esta situación, en 1966 se abrieron las puertas del famoso restaurante Bubba Gump Shrimp Company en Monterrey, California, Estados Unidos. Debes saber que esta receta que te ofrecemos es una deliciosa y exquisita combinación de sabores, además, es muy fácil y saludable.En esta oportunidad, junto a RecetasGratis, queremos enseñarte a preparar un plato que, tranquilamente, puede formar parte del menú de este icónico restaurante. Si quieres aprender cómo hacer hambuguesa de gambas, continúa leyendo y no te pierdas esta receta tradicional.","['1\nPara empezar con la receta de hamburguesa de gambas, primero calienta una sartén con el fuego fuerte, 1 cucharadita de aceite, el diente de ajo picado y, finalmente, las gambas.Ten en cuenta que puedes utilizar gambas congeladas, ya que en tan solo 5-7 minutos, se descongelarán, se cocinarán y tomarán un delicioso sabor. Una vez que estén doradas, gíralas y dóralas por el otro lado. Vigila a lo largo del salteado que no se queme el ajo.\nTruco: si utilizas gambas congeladas, no las muevas demasiado o soltarán mucha agua y se hervirán.', '2\nRetira las gambas y, en el mismo fondo de cocción, saltea la cebolla pelada y picada, manteniendo el fuego fuerte. Si necesitas más líquido, puedes agregar más aceite o agua para un salteado más saludable.', '3\nProcesa los vegetales salteados con las gambas, el huevo y 1 cucharada de pan rallado. Según la consistencia, puedes agregar más pan rallado para formar una masa maleable. Debes saber que el sabor de estos ingredientes será suficiente para que la hamburguesa de gambas esté deliciosa, pero si lo deseas, puedes agregar condimentos, como por ejemplo: ají molido, cúrcuma y salvia.\nTruco: si quieres hacer este plato apto para celíacos o intolerantes al gluten, puedes reemplazar el pan rallado por avena libre de tacc, harina de arroz, de maíz o por la harina sin gluten que suelas utilizar.', '4\nCon las manos húmedas para que no se peguen, dales forma a tus hamburguesas de gambas al ajillo mientras se calienta una sartén con 1 cucharadita de aceite.\nTruco: si lo prefieres también puedes elaborar mini hamburguesas de gambas.', '5\nPasados unos 2-4 minutos las hamburguesas se deben despegar perfectamente y estar doradas. A continuación, dales la vuelta y dóralas por el otro lado durante 2-3 minutos más.', '6\nFinalmente, tendrás tus hamburguesas de gambas listas para comer como desees, al plato con ensalada, con papas fritas, en puré o en pan junto con tu salsa preferida, queso y vegetales. ¡A comer! ¿Qué te ha parecido esta receta de hamburguesa de gambas? Cuéntanos en los comentarios tu opinión.']",,2 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal']","['100 gramos de gambas', '1 cebolla chica', '1 huevo chico', '1 diente de ajo', '2 cucharaditas de aceite', '1 cucharada sopera de pan rallado']",https://www.recetasgratis.net/receta-de-hamburguesa-de-gambas-75799.html
Hamburguesa de marisco,"No hay dudas de que las hamburguesas son un plato conocido en cualquier parte del mundo, no solo porque son muy fáciles de hacer, sino también porque las cadenas de comida rápida las han popularizado a gran escala. Sin embargo, y tomando como ejemplo el caso de estas cadenas, no siempre son un plato saludable. Este no es el caso de las hamburguesas de marisco que aprenderás a hacer en esta receta, ya que estas aportan pocas calorías, grasas saludables y están elaboradas con vegetales. Debes saber que los mariscos son animales marinos invertebrados, entre los cuales los calamares, gambas y langostinos son los más conocidos.¿Quieres saber cómo hacer una hamburguesa de marisco? ¡Sigue leyendo en RecetasGratis!","['1\nPara empezar con la receta de hamburguesa de marisco, primero pela y pica 1 diente de ajo. Seguido, llévalo a la sartén con fuego fuerte y 1 cucharadita de aceite.', '2\nAgrega la cebolla también pelada y picada. A continuación, saltea los vegetales unos minutos vigilando siempre que el ajo no se queme, ya que si no aportará un gusto amargo. Si necesita más líquido, puedes agregar más aceite o agua para un salteado más saludable.', '3\nMientras los vegetales se cocinan, lava y retira el cartílago de la cola de calamar.\nTruco: si utilizas tubos, deberás retirar el cartílago que atraviesa el mismo de forma vertical. Y, si utilizas tentáculos, deberás retirar los círculos duros.', '4\nProcesa las colas de calamar que has limpiado con los vegetales y condimentos al gusto. A continuación, retira la piel.', '5\nCocina la preparación de las hamburguesas de mariscos en el microondas 1 minuto y medio. Y, si no tienes microondas, puedes hervir unos 10 minutos las colas de calamar antes de procesarlas.\nTruco: si utilizas otros mariscos, como por ejemplo las gambas, este paso no será necesario. Con la cocción en la plancha será suficiente, ya que no es tan duro.', '6\nRetira el líquido de la cocción del calamar y llévalo nuevamente a la procesadora. Procesa con el huevo y el pan rallado, reserva.', '7\nCalienta una sartén con 1 cucharadita de aceite y distribúyelo por toda la base con la ayuda de un diente de ajo. Retíralo y agrega pelotitas aplastadas de la preparación de calamar y vegetales para hacer tus hamburguesas. Pasados unos 5 minutos aproximadamente, dales la vuelta y dóralas por el otro lado.', '8\nSirve tus hamburguesas con pan, lechuga, tomate, queso y aderezos. También puedes servir al plato con tu ensalada preferida. ¿Qué te ha parecido esta receta de hamburguesa de marisco? Cuéntanos en los comentarios tu opinión.']",,3 comensales,15m,,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal']","['200 gramos de cola de calamar', '1 cebolla chica', '2 dientes de ajo', '1 huevo chico', '3 cucharadas soperas de pan rallado', '1 cucharadita de cúrcuma', '¼ cucharadita de pimienta', '2 cucharaditas de aceite neutro']",https://www.recetasgratis.net/receta-de-hamburguesa-de-marisco-75789.html
Cazuela de calamares,"La cazuela es un exquisito plato originario de España que se ha esparcido por el mundo gracias a las emigraciones, como tantos otros platos. Por supuesto que años más tarde, cada país la ha adaptado y modificado a su gusto y tradición. Por ello, en esta oportunidad te mostraremos de forma detallada el paso a paso para hacer una rica y sencilla cazuela de calamares para que puedas disfrutar de esta receta en cualquier momento del año o, especialmente, en las épocas de Pascua.No te pierdas esta receta y aprende cómo hacer una cazuela de calamares fácil. ¡A cocinar!","['1\nPara empezar con la receta de cazuela de calamares, primero debes hervir los calamares. Para ello, prepara cada una de las partes, límpialas con agua y retira los cartílagos de los tentáculos, como puedes observar en la imagen. Luego, córtalos separándolos en una, dos o tres unidades.', '2\nTambién retira el cartílago que está dentro del tubo atravesándolo de forma vertical. Seguido, corta en rodajas de aproximadamente 1 dedo de ancho.', '3\nPor último, retira el que está en la cola, como ves en la imagen. Corta también en tiras de 1 dedo de ancho.', '4\nCuando estén todas las partes del calamar limpias y cortadas, dóralas en la sartén caliente con 1 cucharadita de aceite por 5 minutos.', '5\nA continuación, retíralas de la sartén y resérvalas.', '6\nMientras se saltean los calamares, pela y pica el diente de ajo y la cebolla. Saltea en la sartén donde has cocinado el calamar, y, a fuego fuerte con una cucharadita de aceite cocina hasta que esté transparente y se dore. Ten cuidado que no se queme el ajo. Si el salteado necesita más líquido, puedes agregar más aceite o agua para un resultado más saludable.', '7\nCuando la cebolla esté dorada, agrega los morrones picados en cubos. Baja el fuego a medio y cocínalos tanto como desees.\nTruco: si no te gusta la cebolla, también puedes elaborar calamares sin cebolla.', '8\nAgrega en la sartén los calamares previamente salteados y la salsa de los calamares, es decir, la salsa de tomate. Seguido, condimenta con laurel, pimentón y pimienta. Cocina por 40 minutos tapada. Cuando pase el tiempo indicado, ya puedes disfrutar de tu cazuela de mariscos. ¿Con qué la acompañarás? Debes saber que la cazuela de calamares con arroz está exquisita. ¡Cuéntanos en los comentarios qué te ha parecido esta receta!\nTruco: si puedes y quieres, reserva la cazuela una vez fría en la heladera durante una noche. Se concentrará más el sabor y al día siguiente sabrá aún mejor.']",,3 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal']","['200 gramos de cola de calamar', '200 gramos de tentáculos de calamar', '100 gramos de tubo de calamar', '1 cebolla grande', '½ morrón rojo', '½ morrón verde', '1 hoja de laurel', '1 cucharada sopera de pimentón', '½ cucharadita de pimienta negra', '300 centímetros cúbicos de tomates perita pelados enlatados']",https://www.recetasgratis.net/receta-de-cazuela-de-calamares-75788.html
Pimientos del piquillo rellenos de langostinos,"Los pimientos del piquillo rellenos de langostinos consisten en un riquísimo plato sencillo de preparar. Además, la facilidad para rellenarlos te fascinará, ya que no necesitarás mucho tiempo ni tampoco recursos. En esta ocasión, los vamos a rellenar de langostinos, pero se pueden hacer rellenos muy variados, como por ejemplo de pescado, de carne o, incluso más ligeros, de verduras, setas, entre otros ingredientes. También señalamos que se pueden comer fríos o calientes, como más te gusten.En RecetasGratis te enseñamos cómo hacer pimientos del piquillo rellenos de langostinos, estamos seguros de que te encantará. ¡A cocinar!","['1\nPara empezar con la receta de pimientos del piquillo rellenos de langostinos, primero debes añadir en una sartén la cebolla picada para que se poche. Luego, debes pelar los langostinos cocidos y picarlos. A continuación, añádelos junto con la cebolla y una cucharada de mantequilla, mezcla todo junto.', '2\nAñade la harina, mezcla y deja que se cocine 1 minuto.', '3\nAñade la leche templada poco a poco y mezcla, señalamos que se formará una masa espesa parecida a una crema. Luego, añade una pizca de sal y prueba. Ten en cuenta que puede necesitar más o menos leche, según haga falta, por eso es mejor echarla poco a poco y mezclar con unas varillas. Una vez esté la masa, deja que repose y que se enfríe.', '4\nPrepara la salsa de pimientos del piquillo. Para ello, vierte en una cazuela un chorro de aceite con el ajo muy picado, señalamos que se puede sustituir por una cebolla muy picada o también se puede hacer sin nada. Antes de que adquiera color, añade 2-3 pimientos en trozos.', '5\nAñade la nata o crema de leche y un chorro de agua de los pimientos. Deja que se cocine todo unos minutos y añade un poco más de sal.\nTruco: puedes poner más pimientos del piquillo en la salsa, esto es según el gusto de cada uno.', '6\nTritura toda la salsa y añádela en la cazuela para calentar. Seguido, prueba de sal y rectifica. ¿Qué te está pareciendo esta receta de pimientos del piquillo rellenos de langostinos?', '7\nCon una cuchara rellena los pimientos del piquillo con cuidado, ya que se rompen con facilidad y colócalos en una fuente o plato de servir.', '8\nCalienta la salsa y vierte por encima de los pimientos. ¡Ya puedes servir los pimientos del piquillo rellenos de langostinos! Y, si te gusta, también puedes ponerlos en el horno, cubrir con queso rallado y gratinarlos.']",,4 comensales,1h 30m,,Dificultad media,,[],"['12 pimientos del piquillo', '12 langostinos cocidos', '1 cebolla', '1 cucharada sopera de mantequilla', '2 cucharadas soperas de harina', '500 mililitros de leche', '1 pizca de sal', 'Para la salsa de piquillos:', '250 mililitros de nata o crema de leche para cocinar', '2 pimientos del piquillo', '1 diente de ajo', '50 mililitros de agua de los pimientos', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-pimientos-del-piquillo-rellenos-de-langostinos-75704.html
58 Recetas de marisco para Navidad,"La tradición de consumir marisco en Navidad proviene de una costumbre religiosa cristiana muy antigua, donde se practicaba la abstinencia de ciertos alimentos durante esas festividades para cumplir penitencia. Los alimentos se reemplazaban por pescado y marisco. Además de esta costumbre religiosa, influye la zona geográfica en el hecho de comer más marisco, por eso se especialmente en zonas costeras. De cualquier modo, una cena con marisco no solo es una comida tradicional y elegante, sino también una comida ligera y saludable en comparación con otras alternativas.En RecetaGratis te proporcionamos un amplio repertorio de recetas de marisco para Navidad. Te sugerimos cómo armar tu menú fácilmente, jugando con los sabores y texturas. Además, te proporcionamos números tips útiles para preparar ciertas recetas. ¡Felices fiestas!",[],Valoración: 5 (1 voto),,,,,,,,https://www.recetasgratis.net/articulo-recetas-de-marisco-para-navidad-75635.html
