title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Receta FÁCIL y DELICIOSA,"Los hornazos extremeños son unos bollos dulces que se elaboran en Semana Santa. Estos se caracterizan gracias al ingrediente principal que contienen en el centro. Este postre combina la parte dulce del bollo con la parte salada del huevo. Aunque, como toda receta típica, en cada pueblo y en cada casa tienen su propia receta, sin embargo, en esta ocasión, te ofrecemos una receta clásica de hornazos extremeños que os va a gustar gracias a esponjosidad, aroma y sabor. Si queréis aprender a hacer hornazos extremeños, con fotos del paso a paso y detalladamente explicado, habéis llegado al lugar adecuado.Sigue leyendo en RecetasGratis y aprende cómo hacer hornazos extremeños fáciles. ¡Vamos allá!","['1\nPara empezar con la receta de los hornazos extremeños, primero prepara un prefermento. Para ello, templa ligeramente los 50 ml de agua y disuelve el gramo de levadura fresca. A continuación, añade la levadura disuelta con el agua y los 50 g de harina, mezcla bien con unas varillas. Cubre con papel film y deja reposar 3 horas en un lugar cálido y sin corriente de aire.', '2\nMientras transcurren esas 3 horas, en una sartén pon el aceite de oliva junto con la piel de la naranja al fuego, una vez la piel de naranja empiece a tostarse, retira del fuego y deja que se enfríe por completo.', '3\nA continuación, pon el agua con el anís en un cazo y calienta a fuego bajo durante 5 minutos. Deja que enfríe.', '4\nPasadas las 3 horas de fermentación del prefermento, pon en un bol la mitad de la harina de fuerza, la pizca de sal, el azúcar, el zumo de media naranja y el prefermento. Amasa preferiblemente con una amasadora y con el gancho para amasar hasta que se forme una bola.', '5\nCalienta un poco del agua que teníamos reservada con anís. Templa ligeramente el agua, no mucho más, y disuelve la levadura en ella.', '6\nAñade al amasado anterior la levadura disuelta, la otra mitad de la harina, el resto del agua con anís y la ralladura de limón. Amasa durante unos 13 minutos, hasta que no quede resto de masa en la pared del bol y te quede una masa para el hornazo extremeño brillante y elástica.', '7\nEnharina una superficie de trabajo y termina amasando con las manos. Añade un poquito más de harina si es necesario, dejando una masa muy elástica, pero que no se pegue en las manos.', '8\nCorta la masa en 4 porciones iguales, una de ellas más pequeña. A continuación, con un rodillo enharinado, aplana las 4 porciones formando un círculo de 1 cm de grosor.', '9\nEn el centro de cada hornazo dulce añade un huevo cocido. Luego, corta pequeñas tiras de la bola más pequeña y cruza los huevos con dos tiras, aplasta un poco los extremos de la masa para que se queden pegadas.', '10\nForra una bandeja con papel de horno y deposita en ella los hornazos extremeños. Luego, cubre con un paño de cocina y deja reposar en un lugar cálido y sin corrientes de aire durante 2 horas.', '11\nPasado el tiempo de reposo, precalienta el horno a 180 ºC. A continuación, bate el huevo y pincela los hornazos extremeños con él. También, espolvorea con azúcar. Hornea con calor arriba y abajo a 180 ºC durante 20-30 minutos hasta que estén dorados y cocidos. Si se doran demasiado pronto, cubre con papel de aluminio.', '12\nDeja enfriar en una rejilla una vez cocidos. Están mejor recién hechos, pero si te sobran hornazos, envuelve en papel film para que al día siguiente sigan tiernos y puedas disfrutar de tus ricos hornazos extremeños. ¡Anímate a elaborarlos en casa y cuéntanos el resultado!Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']",,4 comensales,6h,Merienda,Dificultad media,,"['Recetas para Semana Santa', 'Recetas al horno', 'Recetas españolas']","['50 gramos de harina de fuerza', '50 mililitros de agua', '1 gramo de levadura fresca', '100 mililitros de aceite de oliva suave', '1 naranja (su piel)', '100 mililitros de agua', '25 mililitros de anís', '450 gramos de harina de fuerza', '1 huevo L', '75 gramos de azúcar', '1 naranja (su zumo)', '1 pizca de sal', '1 limón (su ralladura)', '10 gramos de levadura fresca', '4 huevos cocidos', '1 huevo batido', '1 cucharada sopera de azúcar para espolvorear']",https://www.recetasgratis.net/receta-de-hornazos-extremenos-75879.html
Buñuelos de yogur griego,"Los buñuelos de yogur son ricos, sencillos de preparar y muy rápidos de hacer. La elaboración consiste en una masa jugosa que no deja indiferente a nadie gracias a su sabor exquisito. Debes saber que estos buñuelos son muy parecidos a los tradicionales y, generalmente, se elaboran en Semana Santa. ¿Te animas a cocinar con nosotros?En RecetasGratis te enseñamos cómo hacer buñuelos de yogur griego. ¡Vamos allá!","['1\nPara empezar con la receta de buñuelos de yogur, primero en un bol añade el huevo, el azúcar, la harina y la levadura. Mezcla todo junto.', '2\nCuando tengas los ingredientes anteriores mezclados, añade el yogur y vuelve a mezclar muy bien para que quede todo bien integrado.\nTruco: los buñuelos de yogur y naranja están exquisitos. Para ello, solo debes añadir ralladura de naranja en este paso. También puedes incorporar limón y elaborar unos deliciosos buñuelos de yogur y limón.', '3\nDebe quedar una crema muy espesa. Déjala reposar en la nevera 15 minutos.', '4\nColoca una sartén con aceite al fuego medio y, para saber si está listo el aceite, añade un poco de masa, si sube enseguida ya estará listo para freír. Para ello, con una cuchara coge porciones de masa y viértelas en la sartén. Incorpora tandas de 5-6 para poder vigilarlos que no se quemen. Debes ir dando vueltas a los buñuelos de harina y yogur para que se vayan dorando. El fuego debe estar a medio, si está muy fuerte se harán por fuera y por dentro quedarán crudos.\nTruco: la cantidad de masa será como te gusten de grandes los buñuelos con yogur griego, sin embargo, debes saber que al freírse se hinchan.', '5\nEn un plato coloca una hoja de papel de cocina para poner los buñuelos recién hechos, así soltarán el aceite sobrante.', '6\nDispón un bol con azúcar y pasa los buñuelos aún calientes para que se pegue mejor el azúcar. Además, si te gusta la canela con azúcar se puede añadir una o dos cucharadas de canela en polvo, mezcla bien con el azúcar y reboza.', '7\nPasa las bolitas de yogur y harina a una fuente y sírvelos. Debes saber que los buñuelos es mejor comerlos el mismo día, ya que al día siguiente ya no estarán tan buenos, se queda una masa blanda. También se puede preparar la masa con antelación y reservar en la nevera hasta la hora de hacerlos.', '8\nSi prefieres elaborar esta receta de buñuelos de harina y yogur griego con VÍDEO, te invitamos a seguir los pasos que te enseñamos en nuestro canal de YouTube. ¡Mira el vídeo aquí!']",,4 comensales,30m,,Dificultad baja,,[],"['100 gramos de harina', '1 yogur griego', '2 cucharadas soperas de azúcar', '100 gramos de azúcar para espolvorear', '1 cucharada postre de levadura en polvo', '1 huevo', '1 vaso de aceite para freír']",https://www.recetasgratis.net/receta-de-bunuelos-de-yogur-griego-75877.html
Pepas de dulce de batata,"Las pepas fueron creadas en Argentina por dos hombres que trabajaban de forma independiente en el rubro alimenticio. Uno de ellos, cocinaba alimentos en el horno de su propia casa y, el otro, vendía harina. Ambos crearon la marca Terepin, combinando el apellido y apodo de cada uno. Las pepas son unas masas finas rellenas de dulce. Sin embargo, a pesar de que las pepas originales fueron de membrillo, es una discusión clásica, como pasa con los pastelitos, si deben estar hechas con este dulce o con el de batata.En esta oportunidad, te enseñaremos cómo hacer las pepas con dulce de batata, aunque puedes hacerlas con tu dulce preferido y el resultado será igual de perfecto. ¡Te encantarán!","['1\n¿Te preguntas cómo hacer pepitas de dulce de batata? Para empezar con la receta de pepas de dulce de batata primero debes cremar la manteca con el azúcar y las esencias. Cremar es batir estos ingredientes hasta tener una consistencia cremosa. Asegúrate de no batir de más o la manteca se cortará. Puedes reemplazar la esencia de naranja por la ralladura de limón o bien obviarlo.', '2\nA continuación, añade el huevo e intégralo.', '3\nAgrega la harina con el polvo de hornear en dos partes e integra sin amasar, por el contrario, las pepas quedarán duras. No te preocupes si queda una masita de pepas un tanto pegajosa. Ten en cuenta que dispone de bastante manteca que, con la manipulación, entra en calor y pierde cuerpo.', '4\nDispón la masa en una hoja de film y dale una forma cilíndrica. Enfríala en la heladera por unas 2 horas o hasta que esté bien duro.', '5\nEnciende el horno a 180 ºC y retira la masa de la heladera. Corta las pepas de batata del mismo tamaño con la ayuda de un cuchillo.', '6\nDispón las pepas en una asadera previamente engrasada, dándoles la forma clásica redonda y haciendo un agujerito con tus dedos en el centro. Cocínalas en el horno precalentado por 4 minutos.\nTruco: señalamos nuevamente que esta masa tiene mucha manteca. Si te resulta difícil manejarla, llévala nuevamente a la heladera tantas veces como sea necesario.', '7\nCorta el dulce de batata en cubos y derrítelo en el microondas a potencia mínima por 1 minuto. Remueve y caliéntalo una vez más si fuera necesario. Necesitamos que sea maleable para incorporarlo a continuación en una manga.\nTruco: si deseas combinarlo con chocolate, derrítelo en otro recipiente y luego mézclalo haciendo un veteado.', '8\nDispón la manga dentro de un vaso para que sea más fácil llenarla con el dulce de batata. Luego, reserva.', '9\nPasados los primeros 4 minutos de cocción de las pepas y, aún en caliente, marca nuevamente el centro. Puedes hacerlo con ayuda del extremo de un palo de amasar, como observas en la imagen.', '10\nCon ayuda de la manga, añade el dulce de batata en el centro de las pepas.', '11\nBaja las puntas del dulce con una cuchara o con la mano húmeda, sino se quemarán en el horno. Cocínalas 4-5 minutos más. No te preocupes si aún están blandas porque al enfriarse, se endurecerán.', '12\nUna vez frías, disfruta tus pepas de dulce de batata. ¡A comer! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,7 comensales,2h 30m,Postre,Dificultad media,,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin sal']","['170 gramos de harina', '70 gramos de azúcar', '1 huevo', '1 cucharadita de esencia de vainilla', '½ cucharadita de esencia de naranja o ralladura', '80 gramos de manteca', '3 gramos de polvo para hornear', '160 gramos de dulce de batata']",https://www.recetasgratis.net/receta-de-pepas-de-dulce-de-batata-75861.html
Rosquillas de naranja esponjosas,"Las rosquillas de naranja están deliciosas, además, el sabor de la naranja aporta un aroma y gusto exquisito. Este postre tradicional siempre triunfa en fiestas, sobre todo, en Navidad o Semana Santa. Esta receta que te ofrecemos es muy rápida y sencilla de elaborar, un desayuno o merienda fantástico para acompañar con un buen café.En RecetasGratis te enseñamos cómo hacer rosquillas de naranja esponjosas y tiernas.","['1\nPara hacer la receta de las rosquillas esponjosas de naranja, en un bol añade los huevos y el azúcar, mezcla. No hace falta batirlo mucho. A continuación, incorpora el aceite y vuelve a mezclar.', '2\nRalla la piel de las dos naranjas y extrae el zumo de las dos. Añade en el bol con los huevos y mezcla.', '3\nMezcla la harina con la levadura para empezar con la consistencia de la masa de rosquillas de sartén.', '4\nEn el bol añade más harina poco a poco y mezcla hasta que se empiece a despegar la masa de las paredes del molde. A continuación, retira y sigue amasando hasta que se despegue la masa de las manos. Vuelve a poner la masa de las rosquillas caseras de naranja en el bol, tapa y deja reposar unos 30 minutos.\nTruco: la cantidad de harina puede variar, según la humedad de la masa.', '5\nPasados los 30 minutos, coloca una sartén al fuego medio con abundante y haz bolas. Si la masa de las rosquillas esponjosas caseras se pega, debes humedecer las manos con aceite de girasol.\nTruco: deja las bolas encima del mármol.', '6\nCuando el aceite esté caliente, pero no en exceso, escoge las bolas y con los dedos abre un agujero. A continuación, añade las rosquillas esponjosas de naranja en la sartén. Se deben dorar por todos los costados, también deben hacerse por dentro sin quemarse.\nTruco: debes añadir en la sartén tandas no muy grandes ya que los roscos crecen bastante.', '7\nCuando estén doradas, retira los rosquillos de naranja y colócalas en un plato para que suelten el exceso de aceite. También debes tener otro plato con azúcar y canela, rebózalas en caliente. ¿Qué te están pareciendo estos roscos fritos de naranja?', '8\nCuando estén rebozadas, colócalas en una fuente para servir. ¡Listas para comer las deliciosas rosquillas fáciles! Debes saber que con estas cantidades salen unos 35 roscos según el tamaño, por ello, si no queréis hacerlos todos, guardar la mitad de la masa en la nevera tapada con papel film, unos 2-3 días. ¿Qué te ha parecido esta receta de rosquillas de naranja fritas? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,1h 30m,,Dificultad baja,,[],"['2 naranjas, zumo y ralladura', '3 huevos L', '700 gramos de harina (5 tazas)', '1 sobre de levadura', '100 mililitros de aceite de oliva suave o girasol', '130 gramos de azúcar', '1 cucharadita de canela en polvo', '100 gramos de azúcar para rebozar los roscos', '1 vaso de aceite de girasol para freír']",https://www.recetasgratis.net/receta-de-rosquillas-de-naranja-esponjosas-75854.html
Receta FÁCIL y TRADICIONAL,"Las torrijas españolas clásicas han pasado a nuestros días generación tras generación, dada su simplicidad y su buen resultado. Aunque, para hacer torrijas no hay un día determinado, sí que se suelen dejar para días de frío o para los días de Cuaresma, siendo las torrijas los dulces caseros más cocinados en las casas españolas durante la Semana Santa.Si quieres saber cómo hacer torrijas españolas típicas, has llegado al lugar adecuado. En RecetasGratis te contamos la elaboración de forma sencilla y sin complicaciones. ¡A cocinar!","['1\n¿Te preguntas cómo se hacen las torrijas? Para hacer la receta de torrijas españolas, primero debes infusionar la leche. Para ello, corta con un pela verduras algunas tiras de cáscara de naranja y otras de limón. A continuación, coloca la leche al fuego en un cazo con las pieles de naranja y limón y la rama de canela. Cuando empiece a hervir, retira del fuego y cubre con una tapadera, deja infusionar hasta que la leche se enfríe.', '2\nCorta la barra de pan con un cuchillo de sierra en rodajas de unos 2.5 cm de grosor. Recuerda que es mejor usar pan añejo de dos o tres días. Si usas un pan muy tierno, se puede romper al mojarlo con la leche.', '3\nPon las rodajas de pan en una fuente. A continuación, retira las tiras de piel de naranja y limón y la rama de canela de la leche infusionada. Luego, riega con esta leche infusionada las rodajas de pan. Deja reposar el pan unos 10 minutos o, hasta que se empape bien la leche y haya llegado al interior de las rodajas de pan.', '4\nPon a calentar el aceite en una sartén a fuego alto. Mientras, bate los huevos y pasa las torrijas por él por las dos caras. Ten cuidado al sacar las torrijas de la fuente con la leche, se pueden romper si han quedado muy blandas.', '5\nFríe en pequeñas tandas las torrijas españolas. Si ves que el aceite hace muchas burbujas, baja un poco el fuego. Deben quedar bien doraditas por ambas caras.', '6\nPrepara un plato con papel de cocina y ve dejando en él las torrijas ya fritas para que suelten el exceso de aceite.', '7\nMezcla el azúcar con la canela y reboza en él las torrijas españolas ya fritas y pasadas por el papel absorbente, pero aún calientes, se pegará mejor el azúcar.', '8\nSirve las torrijas españolas enseguida y disfrútalas. Son ideales para la merienda acompañadas de un vaso de leche o un café. ¿Te ha resultado una receta fácil? ¿Te animas a hacerlas en casa? Si es así, nos encantaría que nos lo contaras.Espero que te haya gustado y te invitamos a que visites mi blog Cakes para ti.']",,8 comensales,45m,Merienda,Dificultad baja,,"['Recetas para Semana Santa', 'Recetas españolas']","['1 litro de leche', '1 naranja (su piel)', '1 limón (su piel)', '1 rama de canela', '1 barra de pan de dos o tres días', '3 huevos', '3 cucharadas soperas de azúcar', '1 cucharada sopera de canela molida', '300 mililitros de aceite de girasol, semillas o de oliva suave']",https://www.recetasgratis.net/receta-de-torrijas-espanolas-75849.html
Receta CASERA y RÁPIDA,"El pan de molde es un clásico de los desayunos. Este producto untado con mantequilla de maní, queso, mermeladas, en sándwich, tostada francesa, avocado toast, son miles las opciones para servir con nuestra infusión preferida por la mañana. De forma comercial, se presenta cortado en rebanadas y de distintos tipos, como lactal, integral, con semillas, de salvado, etc. En esta oportunidad, queremos enseñarte a preparar un pan de molde fácil para que puedas disfrutarlo tanto en los desayunos como en las meriendas. La ventaja de esta receta es que podrás adaptarlo a tu gusto o al de tus comensales, incluso puedes crear tu propio emprendimiento.En RecetasGratis te enseñamos cómo hacer pan de molde fácil. ¡No te pierdas esta receta!","['1\nEl primer paso para preparar esta receta de pan de molde fácil consiste en mezclar las harinas con la sal en un recipiente.', '2\nLleva las harinas a una mesada limpia formando una corona. En el centro, agrega la levadura, el agua a temperatura ambiente y el aceite.', '3\nUne todos los ingredientes integrándolos del centro hacia afuera. A continuación, amasa unos 5 minutos y tapa hasta que duplique el tamaño, 1 hora aproximadamente.', '4\nCuando pase el tiempo, sácale el gas que se ha formado durante el leudado y llévalo a un molde de pan o budín inglés de 27x10x10 previamente engrasado. Déjalo levar nuevamente hasta que duplique el volumen, por unos 45 minutos.\nTruco: si no tienes molde, llévalo a una asadera con papel manteca, proporcionándole previamente la forma que quieras, quedará igual de bien.', '5\nEnciende el horno a 200 ºC y cocínalo por unos 30 minutos aproximadamente, hasta que la corteza esté dorada. Si la golpeas, debe hacer un ruido hueco. A continuación, retíralo del horno y tápalo para que mantenga su humedad mientras se enfría.', '6\nCuando ya esté frío, desmóldalo y resérvalo dentro de una bolsa en la heladera para que dure unos 7 días. También puedes cortarlo en rodajas y congelarlo, separado por papel. ¿Ya sabes con qué vas a disfrutar de tu pan de molde casero? Cuéntanos en los comentarios qué te ha parecido la receta y comparte con nosotros una fotografía del resultado final. ¡A comer!']",,12 comensales,2h 30m,Desayuno,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin sal', 'Recetas al horno']","['1 taza de agua (250 cc)', '1 cucharada sopera de aceite neutro', '2 tazas de harina integral (260g)', '1 taza de harina 000 (130g)', '1 cucharadita de levadura seca (3 gramos)']",https://www.recetasgratis.net/receta-de-pan-de-molde-facil-75865.html
Churros caseros al horno,"¿Te animas a preparar unos deliciosos churros caseros al horno? Mucho menos calóricos y exquisitos, seguro que gustan a todos aquellos que aman los churros clásicos. También para todos aquellos que no se les da bien cocinar los churros clásicos, por si salpica todo de aceite cuando los fríes. Pues bien, pásate a los churros al horno, mucho más limpios y sin explosiones inesperadas.En RecetasGratis te proponemos cómo hacer churros caseros al horno fáciles. Una estupenda forma de hacer churros, una receta fácil, rica y muy crujiente para que los disfrutes desde casa. ¡Vamos allá!","['1\nPara empezar con la receta de los churros caseros al horno, en primer lugar prepara la masa. Para ello, pon en cazo o una olla pequeña la harina junto con 2 cucharadas soperas de azúcar y 25 g de mantequilla sin sal troceada. A continuación, lleva a ebullición mezclando de vez en cuando para que se termine de deshacer tanto el azúcar como la mantequilla.', '2\nIncorpora la harina de golpe y con una cuchara ve removiendo. La masa se debe cocinar poco a poco, no debe de tardar en hacerse. Cocina 1 minuto removiendo para que no se pegue en el fondo del cazo.', '3\nRetira del fuego la bola de masa y colócala en un bol más pequeño. A continuación, bate ligeramente el huevo y añade a la masa. Ve mezclando muy bien para que quede bien integrado el huevo y quede una masa lisa y homogénea.\nTruco: los churros de avena al horno y los churros de chocolate al horno también están exquisitos. Para ello, debes añadir en este paso la avena o/y el chocolate.', '4\nIntroduce la masa de churros en una manga pastelera con una boquilla rizada para darle la forma clásica de churro. A continuación, deja reposar la masa mientras precalientas el horno a 180 ºC.', '5\nForra una bandeja con papel de horno. Luego, crea los churros caseros con ayuda de la manga pastelera formando unas tiras alargadas. Coloca los churros separados un poco entre sí en tiras de unos 15 cm de largo aproximadamente.', '6\nTrocea la mantequilla que ha sobrado y fúndela en el microondas. A continuación, pincela los churros para que queden crujientes una vez horneados. El tiempo de churros caseros al horno dependerá de tu horno, sin embargo, nosotros los hemos cocido a 180 ºC con calor arriba y abajo durante 20-30 minutos.\nTruco: déjalos dorados, así quedarán crujientes. Si los dejas muy blancos, quedarán más blandos.', '7\nCuando pase el tiempo de horneado, deja entibiar un poco los churros caseros al horno y pincela de nuevo con el resto de mantequilla fundida para que se adhiera bien el azúcar.', '8\nPasa cada churro por el resto de azúcar y sirve enseguida. ¡Deliciosos churros crujientes! Consume el mismo día de su elaboración, pues tienden a ponerse blandos con el paso del tiempo. Si te animas a elaborarlos, cuéntanoslo, nos encantará ver tu fotografía del resultado.Si te ha gustado la receta te invito a que visites mi blog Cakes para ti.']",,4 comensales,45m,Merienda,Dificultad baja,,"['Recetas al horno', 'Recetas españolas']","['175 gramos de leche (3/4 de taza)', '7 cucharadas soperas de azúcar', '75 gramos de mantequilla sin sal', '100 gramos de harina común (2/3 de taza)', '1 huevo L']",https://www.recetasgratis.net/receta-de-churros-caseros-al-horno-75848.html
Magdalenas de yogur al microondas,"El yogur es un producto bajo en calorías, con una buena cantidad y calidad de proteínas. Además, posee probióticos, microorganismos que mantienen y mejoran la salud de los intestinos. Por ello, en esta oportunidad, queremos enseñarte a utilizarlo en una receta fácil, rápida, rica y con pocos ingredientes. Se trata de unas magdalenas hechas en el microondas, por lo que tan solo necesitarás 2-4 minutos para disfrutar de ellas. Son húmedas, esponjosas y con un delicioso sabor a cítrico. Puede ser una buena opción para incorporar este producto en tu dieta o para aumentar su consumo.En RecetasGratis te enseñamos cómo hacer magdalenas de yogur al microondas. ¡No te pierdas esta receta!","['1\nPara empezar con la receta de magdalenas de yogur al microondas, primero bate el aceite con el huevo. Este punto será clave para proporcionar esponjosidad a tus magdalenas.\nTruco: también puedes elaborar estas magdalenas al microondas sin huevo.', '2\nA continuación, añade el yogur y las esencias. Ten en cuenta que puedes reemplazar la esencia de naranja por ralladura de la misma o bien puedes reemplazarla por otros cítricos, como mandarina, limón o pomelo, todos quedarán deliciosos en esta receta.', '3\nPor último, añade los ingredientes secos, es decir, el azúcar, la harina y el polvo de hornear. Aquí es importante aclarar que, si tienes diabetes, puedes reemplazar el azúcar por edulcorante apto para cocción, así como la harina por integral. Y, si tienes celiaquía, puedes reemplazar la harina por maicena. Incorpora estos ingredientes con movimientos envolventes.', '4\nDispón la masa de tus magdalenas en moldes aptos para microondas. Te recomendamos utilizar moldes de silicona y llenarlos 3/4 de la capacidad total. Si lo deseas, puedes rellenar tus muffins con mermelada de fresa, dulce de leche y chocolate derretido casero.', '5\nCocina las magdalenas al microondas sin levadura entre 1 minuto y medio o 2, hazlo cada 2 unidades. Déjalas reposar hasta que estén, por lo menos, tibias antes de desmoldarlas y probarlas. ¿Qué te han parecido estas magdalenas de yogur sin levadura? Déjanos en los comentarios tu opinión y comparte con nosotros la fotografía del resultado.']",Valoración: 4 (1 voto),4 comensales,10m,Merienda,Dificultad muy baja,,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin azúcar', 'Recetas al microondas']","['1 cucharada sopera de azúcar', '1 huevo', '3 cucharadas soperas de aceite', '6 cucharadas soperas de harina 000', '½ cucharadita de polvo para hornear', '¼ cucharadita de bicarbonato de sodio', '1 pizca de sal', '100 gramos de yogur natural', '1 cucharadita de esencia de vainilla', '½ cucharadita de esencia de naranja']",https://www.recetasgratis.net/receta-de-magdalenas-de-yogur-al-microondas-75850.html
Receta FÁCIL y TRADICIONAL,"Los buñuelos de calabaza asturianos son un tipo de dulce típico que se prepara en época de Cuaresma y Navidad. Esta elaboración es rápida de preparar, además, el resultado es exquisito. El ingrediente que contiene, la calabaza, aporta un sabor delicioso y una textura inigualable. Además de este ingrediente principal, también puedes incorporar a la masa de los buñuelos una pizca de aromas en lugar de canela, ralladura de naranja o ralladura de limón.En RecetasGratis te enseñamos cómo hacer buñuelos asturianos fáciles. ¡A cocinar!","['1\n¿Te preguntas cómo se hacen los buñuelos de calabaza? Pues bien, esta receta es perfecta para ti. Para empezar con la receta de buñuelos asturianos de calabaza, primero debes preparar la calabaza. Para ello, pela la calabaza y retira las pepitas. A continuación, córtala en trozos y colócala a cocer en agua hasta que quede tierna, también se puede poner a cocer en el microondas. Debe quedar muy blandita para que se pueda triturar y quede como un puré. Cuando ya esté cocida, tritúrala para añadirla a la masa, se puede chafar con un tenedor.', '2\nColoca un bol con los huevos y los 80 gr. de azúcar, bate bien para que se mezclen los ingredientes. A continuación, añade 1-2 cucharadas de anís, según te guste. Añade también un poquito de canela.\nTruco: también puedes hacer los buñuelos de calabaza sin huevo.', '3\nAñade la calabaza. Debes saber que puede triturar toda la masa o batirla con unas varillas.', '4\nMezcla la harina con la levadura y añade poco a poco una pizca más de harina a la mezcla de los buñuelos de calabaza asada, remueve bien para que no queden grumos.\nTruco: la masa debe quedar como un puré, si queda líquida, debes añadir más harina.', '5\nColoca una sartén con abundante aceite de girasol o con un aceite suave y pon a calentar a fuego medio. Cuando esté caliente, con una cuchara adquiere porciones de masa y échalos en la sartén. Debes ir cocinándolos por tandas con cuidado, no debes añadir muchos de golpe, ya que se hinchan. Además, ten en cuenta que debes ir girando los buñuelos de la abuela para que se vayan dorando por todos los lados y por dentro queden hechos.', '6\nEn un plato con papel de cocina, coloca los buñuelos de calabaza para que suelten el aceite sobrante.', '7\nUna vez los tengas todos fritos, en un plato añade azúcar con un poco de canela y reboza los buñuelos de calabaza fáciles.', '8\nPasa los buñuelos por el azúcar y colócalos en una fuente de servir. ¡Ya están listos para comer los deliciosos buñuelos asturianos! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios tu opinión.\nTruco: debes comerlos recién hechos el mismo día, ya que no aguantan mucho. Además, también se puede dejar parte de la masa en la nevera y hacerlos al día siguiente para comerlos recién cocinados.']",Valoración: 4 (1 voto),4 comensales,45m,,Dificultad baja,,[],"['200 gramos de calabaza', '2 huevos', '80 gramos de azúcar', '1 cucharada postre de levadura', '1 cucharada sopera de anís', '125 gramos de harina', '2 cucharadas soperas de canela en polvo', '100 gramos de azúcar para rebozar', '1 vaso de aceite de girasol para freír']",https://www.recetasgratis.net/receta-de-bunuelos-asturianos-75845.html
Pan de semitas,"El pan de cemita o pan de semitas es una elaboración de salvado de textura suave que, dependiendo de la región donde se prepare, es de una forma u otra. Además, según la zona también se pueden incorporar ingredientes variados. En esta ocasión, vamos a preparar contigo una receta de pan de cemita mexicana, una elaboración tradicional de poblana. No te pierdas esta receta y aprende de manera sencilla a elaborar y hornear este rico pan de cema para que lo disfrutes solo o lo acompañes relleno con algún ingrediente salado, como por ejemplo, queso o jamón.En RecetasGratis te enseñamos cómo hacer pan de semitas poblana. Sigue leyendo todos los pasos para que el pan te quede esponjoso por dentro y con una corteza crujiente por fuera. ¡Vamos a cocinar!","['1\nEmpieza la receta de semitas caseras mezclando en un bol o en una superficie limpia la harina, la cucharadita de sal, la cucharada de azúcar y la levadura seca.', '2\nDespués, agrega el salvado de trigo y poco a poco añade el agua. Seguido, mezcla con tus manos o con una batidora eléctrica con gancho hasta que obtengas una textura suave, un poco elástica y sin que se pegue.', '3\nLleva a reposar la masa en un recipiente engrasado, cubre con un trapo húmedo y deja que doble en tamaño por unos 30 o 40 minutos.\nTruco: el tiempo que tardará en crecer la masa dependerá del área donde vivas. Por ello, como recomendación debe estar en un lugar cálido.', '4\nMientras reposa la masa prepara el atole para darle cobertura a la cemita. Simplemente, mezcla la harina, el azúcar, el agua y el huevo hasta obtener una especie de atole, reserva.', '5\nCuando la masa haya doblado el tamaño empieza a separarla en porciones iguales. Seguido, bolea cada porción.\nTruco: con las cantidades mencionadas, puedes hacer alrededor de 8 panes.', '6\nPara proporcionar al pan la forma tradicional de cemita, primero espolvorea un poco de salvado de trigo. Luego, con el pliegue de tu mano divide sin llegar a separar un tercio de la masa, enrolla y lleva por encima. Por último, presiona ligeramente y continúa hasta terminar con todas tus porciones. Deja reposar sobre una charola por unos 20-30 minutos para que doblen el tamaño. ¿Qué te está pareciendo este pan de cemitas poblanas?', '7\nCuando hayan reposado los panes, con ayuda de una brocha cubre los mismos con el atole, también agrega ajonjolí. Después, lleva a hornear a 180 °C por 30 minutos.', '8\nPasado el tiempo de horneado, deja enfriar ligeramente y, luego, ya podrás disfrutar de un rico pan cema. ¡A comer! ¿Qué te ha parecido esta receta de pan de cemita? Cuéntanos en los comentarios tu opinión.']",,8 comensales,2h 30m,Acompañamiento,Dificultad baja,,"['Recetas al horno', 'Recetas mexicanas', 'Recetas poblanas']","['500 gramos de harina de trigo', '½ cucharadita de sal', '1 cucharadita de azúcar', '11 gramos de levadura seca', '5 cucharadas soperas de salvado de trigo', '3 cucharadas soperas de ajonjolí', '1½ tazas de agua tibia', '½ taza de salvado de trigo para amasar', '4 cucharadas soperas de harina', '4 cucharadas soperas de azúcar', '100 mililitros de agua', '1 huevo']",https://www.recetasgratis.net/receta-de-pan-de-semitas-75819.html
