title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Fideos con salsa de choclo a la vany,,"['1\nPrimero cortas la cebolla muy chiquita y la pones a dorar en la manteca.', '2\nCuando este lista le agregas las latas de choclo, revolves bien para que esto se una y se caliente un poco.', '3\nLuego le agregas el queso fresco que cortaste previamente en daditos y vas revolviendo hasta que se derrita, fijate si queres agregar un poco de sal.', '4\nDespues le echas la crema de leche y seguis revolviendo por cinco minutos.', '5\nEn el primer hervor ya va a estar lista para servir tus fideos con esta salsa, es muy rica le podes agregar queso rallado al plato y pimienta negra.Te va a quedar un plato exquisito muy rapido.']","Valoración: 3,9 (19 votos)","['500 g de fideos (la clae que mas te guste, yo recomiendo unos penne)', '1 lata de choclo en crema', '1 lata de choclo en granos', '250 g de queso fresco', '2 cucharadas de manteca colmadas', '1 cebolla picada', '200 cc de crema de leche', 'Condimentos', 'Pimienta negra recien molida', 'Queso parmesano', 'Sal a gusto', 'Una pizca de aji molido (opcional)', 'Pimenton (esto le da un sabor muy particular)']",https://www.recetasgratis.net/receta-de-fideos-con-salsa-de-choclo-a-la-vany-9158.html,,,,,,
Espagueti a la carbonara,,"['1\nDora el tocino y el jamon hasta que suelten su grasa, reservalos,mezcla los huevos y las yemas con la crema y el queso sazona con pimienta y sal, escurre la pasta mezclala con la mantequilla y la salsa de huevos crema y queso añade el tocino y el jamon y sirve al momento.']","Valoración: 3,8 (18 votos)","['150 gramos de tocino picado', '100 gramos de jamon picado', '3 huevos enteros', '3 yemas de huevo (aparte de los 3 anteriores)', '1/4 de taza de crema espesa', '100 gramos de queso parmesano rallado', 'sal y pimienta', '50 gramos de mantequilla', '500 gramos de espagueti', 'cocidos segun las instrucciones']",https://www.recetasgratis.net/receta-de-espagueti-a-la-carbonara-9127.html,,,,,,
Espagueti a la arrabiata,,"['1\nCalienta el aceite y frie los dientes de ajo con los chiles hasta que doren un poco,añade el pure de jitomate oregano y abundante pimienta deja que hierva la salsa a fuego bajo durante 20 minutos.', '2\nAgrega la salsa inglesa y sal al gusto revuelve con el espagueti cocido y añade 2 cucharadas del agua de la coccion del espagueti, mezcla las alcaparras y las aceitunas y al servir rocia el queso.']","Valoración: 4,1 (32 votos)","['1/4 taza de aceite de oliva', '4 dientes de ajo picados finamente', '4 chiles de arbol secos y bien picados', '1 taza de pure de jitomates condimentado', '1 cucharadita de oregano', '1/2 cucharadita de salsa inglesa', '400 gramos de espagueti cocido (segir instrucciones del paquete)', '2 cucharadas de alcaparras', '125 gramos de aceitunas', 'queso parmensano al gusto', 'sal', 'pimienta al gusto']",https://www.recetasgratis.net/receta-de-espagueti-a-la-arrabiata-9123.html,,,,,,
Espaguetis con tocino,"Los espaguetis con tocino son una receta muy fácil de preparar, que rinde y que además, a todos les encantará. Sigue leyendo en RecetasGartis.net y descubre cómo hacer espaguetis con tocino y mantequilla, dale al plato tu toque especial y a ¡a disfrutar!.","['1\nSe pone a hervir el agua con la sal, cebolla y aceite vegetal, ya que suelte el hervor, se le agregan los espaguetis. Se cuecen hasta que estén al dente, luego se escurren bien y se dejan pendientes.Recuerda comprobar el tiempo de cocción recomendado por el fabricante para que la pasta te quede al punto.', '2\nAparte, para hacer la salsa de los espaguetis, se pica el tocino en trocitos pequeños y se pone a dorar. Una vez se haya dorado, se le quita el exceso de aceite y se le añade la mantequilla, el orégano y el ajo en polvo. Cocina el conjunto hasta conseguir una salsa.', '3\nAñade esta preparación a la olla con los espaguetis y mezcla hasta que estos queden completamente impregnados.', '4\nSirve los espaguetis con tocino y decora el plato con un poco de queso parmesano rallado y un poco de perejil finamente picado para darle un toque de color. Y si quieres otrasrecetas fáciles de pasta con ingredientes similares, te recomendamos probar la pasta con guisantes y bacon o los fusilli carbonara, ¡deliciosos!']","Valoración: 3,3 (14 votos)","['1 kilogramo de Espaguetis', '4 litros de Agua', '2 cucharadas soperas de Aceite vegetal', '½ Cebolla', '¼ kilogramo de Tocino', '100 gramos de Mantequilla', '1 pizca de Orégano en polvo', '1 pizca de Ajo en polvo', '3 cucharaditas de Sal gruesa']",https://www.recetasgratis.net/receta-de-espaguetis-con-tocino-9099.html,8 comensales,30m,Plato principal,Dificultad baja,,[]
Pizza rellena de queso,,"['1\nEntibiar el agua.', '2\nDesgranar la levadura.', '3\nMezclar la harina con la levadura, azucar, sal, aceite y agua tibia hasta formar una masa homogenea.', '4\nDejar reposar hasta que doble su volumen.', '5\nCortar 2 trozos de masa y estirar.', '6\nEn un trozo añadir el relleno dejando 1 dedo de espacio entre el relleno y el borde de la masa.', '7\nTapar con el otro trozo de maza y doblar los bordes, pintar la tapa con la yema de huevo.', '8\nLlevar a horno caliente en una fuente enmantequillada hasta que cocine.']","Valoración: 4,2 (10 votos)","['20 cc Aceite', '300 cc (11/2taza) Agua', '1 cda Azucar', '1 cda Harina', '15 gr Levadura', '15 gr Sal', '1 yema de huevo', 'El que tu quieras']",https://www.recetasgratis.net/receta-de-pizza-rellena-de-queso-8997.html,,,,,,
Pastas con tocineta y champiÑones,,"['1\nSe cocina la pasta en agua hirviendo con sal y aceite.', '2\nSalsa.', '3\nPicar finamente la tocineta, añadirle 4 cucharadas de agua y ponerla a fuego medio para que suelte su propia grasa.', '4\nCuando esté un poco dorada, se saca la tocineta y se aparta.', '5\nEn la grasa se agregan los champiñones picados en rodajas y se sofríen por 5 minutos.', '6\nSe agregan lo ajos machacados y se deja sofreir por 1 minuto más.', '7\nSe agrega la crema, la tocineta, el tomillo y el perejil y se lleva a ebullición.', '8\nEn una fuente se coloca la pasta, se baña con la salsa y se sirve inmediatamente.', '9\nSe acompaña con pan con ajo.']","Valoración: 4,1 (25 votos)","['250 gm. de pasta corta.', '1/2 taza de crema de leche', '2 tazas de champiñones frescos', '1/4 de tocineta de cerdo', '2 dientes de ajo', '1 cucharada de perejil', '1 cucharadita de tomillo fresco.', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-pastas-con-tocineta-y-champinones-8914.html,,,,,,
Pizza especial,,"['1\nPrimero ponemos las cucharadas de tomate sobre la masa de la pizza,a continuacion le añadimos el queso y el atún,despues troceamos las salchichas y las vamos añadiendo;luego agregamos el maiz y los champiñones;despues le añadimos los mejillones, las aceitunas y el pimiento, espolvoreamos un poco de oregano para que le de mas sabor y para terminar le añadimos la salsa barbacoa.', '2\nA continuación la metemos en el horno precalentado, unos 15-20 minutos a una temperatura de 200º.']","Valoración: 2,2 (31 votos)","['1 Prepizza', '1 Lata de atún de 110gr', '2 Salchichas en rodajas', '1 Cucharada de maiz en granos', 'Champiñones laminados', '4-5 Cucharadas de tomate', '5 lonchas de queso', 'Salsa barbacoa', '4 Mejillones', '4 Aceitunas', '4 Tirillas de pimiento rojo', 'Oregano']",https://www.recetasgratis.net/receta-de-pizza-especial-8841.html,,,,,,
Spaguetti con salsa de queso manchego,,"['1\nSe hacen los spaguettis con un chorro de aceite con albahaca y sal, para la salsa trituramos el queso y en un caldero ponemos el ajo y la cebolla picado finamente, y dejamos que se poche luego ponemos el queso y que se vaya deshaciendo le añadimos un poco de leche y lo batimos, la cantidad de leche según como la quieras de espesa, luego le ponemos todos los ingredientes, el atún y las anchoas picados y lo revolvemos con los espaguettis.']","Valoración: 3,3 (35 votos)","['250 Gr. de queso manchego curado', '1/2 cebolla', '1 diente de ajo', 'leche', '1 lata grande de atún', '1 lata de anchoas', 'alcaparras', '1 lata de berberechos', 'aceitunas negras', '1/2 Kg. de espaguetti', 'aceite', 'vinagre']",https://www.recetasgratis.net/receta-de-spaguetti-con-salsa-de-queso-manchego-8818.html,,,,,,
Lasagna de atun facil,,"['1\nSe hace como cualquier pasta, pones a hervir agua y le agregas si gustas un pedazo de cebolla y un chorrito de aceite y cuando hierva le agregas la pasta, luego cuando esté cocida le pones agua fría o al tiempo y la escurres.', '2\nPREPARACIÓN DE LA LASAGNA: Pones una capa de pasta, luego revuelves el atún con la salsa de tomate y agregas una capa de esta mezcla, luego otra capa de pasta y posteriormente otra de la mezcla de atún con tomate, y así sucesivamente, hasta que al final le echas crema y el queso manchego, lo metes al horno sólo a que gratine el queso, aprox. 10 minutos.']","Valoración: 3,5 (6 votos)","['3 Latas de atún', '1 tarro de salsa de tomate (o si gustas prepararla en casa).', 'pasta para lasagna', '1/4 de queso manchego (250 grs).', '1 lata de media crema.']",https://www.recetasgratis.net/receta-de-lasagna-de-atun-facil-8783.html,,,,,,
Espaguetti con rajas,,"['1\nse cocina el espaguetti y se escurre(al hervirlo en el agua se le agrega el aceite de oliva), se pone en la licuadora la crema, el ajo, la cebollala sal, (el ajo y la cebolla se ponen a coser en agua antes de licuarlo), y se licua.', '2\nLos chiles poblanos se asan y se les quita la cascara, las pepitas y las venas y se cortan en rajas.', '3\nEn un molde de embarra de mantequilla, sele pone el espaguetti, la crema y la mitad de las rajas se revuelve, las demas rajas se colocan encima bien distribuidas se le coloca el queso encima igual distribuido que cubra todo y se ornea hasta que gratine.']","Valoración: 3,8 (9 votos)","['2 paquetes de espaguetti', '3 chiles poblanos desvenados en rajas', '1 atado de cilantro', '6 dientes de ajo', '1/4 de cebolla blanca', '1 pizca de sal', 'Aceite de oliva', '3 latas de media crema.', '150 gr de queso manchego']",https://www.recetasgratis.net/receta-de-espaguetti-con-rajas-8749.html,,,,,,
