title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Macarrones con atún,"Los macarrones se han convertido en todo un clásico de la mayoría de hogares, y es que gusta a casi todos los niños. Prepararlos es muy sencillo y podemos cocinarlos con cualquier tipo de salsa. No obstante, la más común y apreciada por los más pequeños es la de tomate. En esta receta de RecetasGratis.net queremos enseñarte a hacer macarrones con atún, ¡no te la pierdas!","['1\nLo primero que vamos a hacer para preparar este plato de pasta es calentar agua y poner mantequilla y un poco de sal. Cuando esté hirviendo echa los macarrones y, una vez estén blandos, escúrrelos.', '2\nAhora coge una sartén y añade el atún, las lonchas de queso que desees y el tomate frito para preparar el sofrito para los macarrones. Cocínalo unos minutos y añade la pasta, muévela y sírvela caliente. Otra opción es servir la pasta en el plato y sobre ella el sofrito.']",Valoración: 4 (71 votos),4 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['1 paquete de Macarrones', '2 latas de Atún', '1 paquete de Queso en lonchas', '1 tarro de Tomate frito', '1 cucharada sopera de Mantequilla', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-macarrones-con-atun-32404.html
Thermomix: Fideos en Cazuela,,"['1\nSe ponen en el Thermomix los ingredientes del sofrito a trozos, la cebolla, pimiento, tomate, aceite y ajo.', '2\nSe programa 7 minutos a 100º velocidad 3 y medio.', '3\nCuando termine, podemos triturar el sofrito o dejarlo como esta, al gusto de cada una.', '4\nPoner la mariposa en el vaso y añadir el pimentón y las patatas a dados (se pueden añadir como 15 almejas) y darles unas vueltas a velocidad 1.', '5\nLas patatas depende de la calidad, si son rojas, necesita menos tiempo.', '6\nAñadir agua (1 litro ), el colorante y los fideos y programar 20 minutos a 100 º a velocidad 1.', '7\nCuando falten 10 minutos para terminar, se echa el pescado.']","Valoración: 3,3 (8 votos)",1 comensal,45m,,Dificultad media,,[],"['50 g de aceite', '1 cebolla', '1 diente de ajo', '1 tomate', '1 pimiento', 'patatas', 'pimentón', 'colorante', '1 puñado de fideos gordos por persona', 'pescado de tipo cazón, aguja. , etc. a trozos']",https://www.recetasgratis.net/receta-de-thermomix-fideos-en-cazuela-30977.html
Lasaña de carne y zanahoria,"Hoy cocinamos una lasaña de carne paso a paso, con fotos detalladas para que no te pierdas ningún detalle en la preparación de esta receta tan clásica. Además, para diferenciarnos del resto de recetas que tenemos de este tipo, además de la carne, el ingrediente protagonista en este caso será la zanahoria porque haremos la salsa con más zanahoria que tomate. Consigue todos los ingredientes de la lista, ponte el delantal y vamos a cocinar esta rica lasaña de carne y zanahoria, ya verás que tanto los adultos como los niños disfrutarán con este plato super completo, sano y nutritivo.","['1\nPara esta saludable receta de lasaña de carne con zanahoria lo primero que debes hacer es alistar todos los ingredientes, éstos son para un molde mediano.', '2\nLo primero que vamos a hacer es cocinar la carne, asegúrate de pedir carente magra ósea sin grasa. En una olla bien caliente con un poco de aceite de oliva, saltea la cebolla cortada en cubos pequeños durante 3 minutos a fuego alto.', '3\nLuego agrega la carne molida y cocina durante 7 minutos agrega la pasta de tomate, sal pimienta y tomillo al gusto.', '4\nLlego la hora de armar nuestra lasaña. Para ello, lo primero que debes hacer es poner una capa de zanahorias peladas y cortadas en hojas muy finas, luego coloca una capa de carne y sobre ella otra capa de zanahoria.', '5\nPor último coloca una capa de carne y agrega queso parmesano al gusto. Hornea durante 10 minutos a 170ºC.', '6\nSirve y degusta esta deliciosa receta de lasaña de carne con zanahoria en tus cenas saludables o almuerzos ligeros.Y si te encanta este tipo de platos no dejes de revisar la receta de pasticho venezolano, una bomba exquisita, aunque si prefieres cuidarte un poco más también puedes echar un vistazo a la musaka griega.Si te gustó esta receta o tienes alguna duda déjanos tus comentarios.']",Valoración: 4 (2 votos),2 comensales,30m,Plato principal,Dificultad media,,"['Receta sin lactosa', 'Receta sin gluten', 'Recetas al horno']","['1 libra de Carne molida magra', '½ unidad de Cebolla blanca', '3 unidades de Zanahoria', '1 cucharada sopera de Pasta de tomate', '1 rama de Tomillo', '1 pizca de Sal y Pimienta', '1 cucharada sopera de Queso parmesano']",https://www.recetasgratis.net/receta-de-lasana-de-carne-y-zanahoria-53461.html
Pizza con forma de muñeco de nieve,"Utiliza tu creatividad para preparara originales aperitivos navideños. En esta oportunidad, RecetasGratis.net te enseña paso a paso cómo hacer una pizzas decoradas par Navidad. Una receta divertida para niños que seguro le alegrará el día a más de uno. Apunta los ingredientes y disfruta es esta pizza en forma de muñeco de nieve.","['1\nPara esta pizza con forma de hombre de nieve o snowman lo primero que debes hacer es alistar todos los ingredientes. Aquí tienes otras recetas que te pueden servir para hacer pizza:Salsa de tomate para pizzasMasa para pizzas sin glutenPizzas con pan de molde', '2\nPara hacer la masa para la pizza, forma un volcán con la harina y en el centro coloca la levadura con 5 cucharadas de agua tibia y una pizca de azúcar. Para saborizar la pizza coloca una pizca de sal al rededor de la harina.', '3\nAmasa enérgicamente durante 10 minutos hasta que quede una masa suave y homogénea. Lleva la masa tapada al horno apagado y déjala leudar.', '4\nCuando veas que la masa a duplicado su tamaño puedes estirarla sobre una superficie y cuando tenga en grosor deseado corta la cara y el cuerpo de tu snowman. Esto lo haces volcando un plato grande y uno pequeño y lo cortas con un cuchillo, cubre la pizza con la pasta de tomate', '5\nAhora vamos a cubrir nuestro hombre de nieve con queso y con la zanahoria vamos a hacer la bufanda, solo corta palitos y acomódalos. Luego, hornea la pizza para Navidad durante 15 minutos a 180ºC.', '6\nUna ves horneado tu hombre de nieve solo debes colocar los detalles finales, haz los ojos con las aceitunas y los botones del cuerpo con éstas también. Coloca la nariz con un pedazo de zanahoria cortada. Sirve y degusta una pizza diferente para esta Navidad!']","Valoración: 4,5 (2 votos)",1 comensal,30m,Plato principal,Dificultad media,,"['Recetas para Navidad', 'Recetas al horno']","['100 gramos de Harina de trigo', '2 cucharadas soperas de Levadura activa', '½ taza de Queso mozzarella', '1 pizca de Pimienta', '1 puñado de Aceitunas con relleno', '1 trozo de Zanahoria', '2 cucharadas soperas de Salsa de tomate']",https://www.recetasgratis.net/receta-de-pizza-con-forma-de-muneco-de-nieve-53439.html
Pasta con tomate cherry y albahaca,"Pasta con tomate cherry y albahaca es un plato delicioso y sencillo de preparar con el que puedes resolver de forma muy elegante, al comida del fin de semana o una cena cuando no tengas muchas ganas de cocinar. Además, le añadiremos un poco de champiñones lo que le dará un sabor increíble al plato. Sigue el paso a paso y prepárate a disfrutar de un plato de pasta con tomate frescos exquisita!","['1\nPara esta deliciosa y nutritiva pasta con tomates cherry y albahaca lo primero que debes hacer es alistar todos los ingredientes.', '2\nLo primero que debes hacer es cocinar la pasta. Esto lo haces desde agua hirviendo durante 7 minutos, agrega un poco de aceite y sal para darles sabor. Luego escurre y reserva.', '3\nEn una olla bien caliente con aceite de oliva, saltea los champiñones cortados en cuartos durante 6 minutos a fuego alto. Agrega sal, pimienta y tomillo al gusto.', '4\nPasados los 6 minutos, agrega los tomates cherry y vuelve a rectificar sabor. Cocina durante 5 minutos más a fuego alto.', '5\nPor último agrega la pasta escurrida y saltea todo durante 3 minutos más.', '6\nSirve y degusta esta deliciosa pasta con tomates cherry y albahaca colocando unas hojas de éstas últimas cortadas en tiras, esto es a tu gusto y si deseas puedes colocar un poco de parmesano rallado. ¡Buen apetito!']",,6 comensales,30m,Plato principal,Dificultad media,,[],"['1 paquete de Fusilli o pasta corta', '1 taza de Champiñones', '1 taza de Tomate cherry', '1 chorro de Aceite de oliva', '1 pizca de Sal y Pimienta', '1 pizca de Tomillo', '1 puñado de Hojas de albahaca']",https://www.recetasgratis.net/receta-de-pasta-con-tomate-cherry-y-albahaca-53438.html
Rollitos de pizza,,"['1\nPara esta receta de rollitos de pizza lo primero que debes hacer es alistar todos los ingredientes. Estos son para 7 rollitos.', '2\nLo primero que vamos a preparar es la masa de la pizza, para esto forma un volcán con la harina, en el centro forma un hueco y coloca la levadura con una pizca de azúcar y fuera de la masa coloca una pizca de sal, agrega 5 cucharadas de agua tibia en el centro y deja así durante 5 minutos, esto con el fin de activar la levadura.', '3\nLuego comienza a amasar integrando siempre desde adentro para evitar que se salgan los líquidos, amasa de forma constante y enérgica hasta que quede una masa blanda y homogénea. Deja la masa tapada y dentro del horno apagado durante media hora mientras crece.', '4\nUna ve< la masa este lista estírala sobre una superficie plana y corta con un cuchillo unos triángulos del mismo tamaño. Agrega un poco de pasta de tomate, coloca salchichas cortadas y queso.', '5\nEnrolla la pizza desde la parte más gruesa hasta la punta procurando que no se salga el relleno, coloca los rollitos de pizza en una bandeja para horno y hornea durante 15 minutos a 180ºC.', '6\nSirve y degusta estos rollitos de pizza con tus familiares o amigos en tardes de películas o como estradas, si te gustó esta receta o tienes alguna duda déjanos tus comentarios.']","Valoración: 4,5 (13 votos)",7 comensales,45m,Entrante,Dificultad media,,['Recetas al horno'],"['100 gramos de Harina de trigo', '2 cucharadas soperas de Levadura activa', '1 cucharada sopera de Pasta de tomate', '3 unidades de Salchichas', 'Queso tipo parmesano', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-rollitos-de-pizza-53435.html
Espaguetis alfredo,,"['1\nPara empezar a realizar nuestra receta de espaguetis alfredo el primer paso es prealistar todos los ingredientes para su elaboración.', '2\nDebes llenar una olla con agua y llevarla a fuego alto, una vez este en punto de ebullición adicionar los espaguetis y cocerlos de forma tradicional. Una vez nuestra pasta esté en el punto de cocción deseado retirarla con la ayuda de un colador y reservar.', '3\nLlevar una sartén a fuego medio con un poco de aceite de oliva, adiciona los espaguetis con un poco de sal, pimienta y pasta de ajo para dar un poco de sabor a nuestros espaguetis alfredo. Mezcla muy bien hasta integrar los ingredientes.', '4\nAgrega el tomillo y el perejil finamente picado, mezcla muy bien y deja sofreír durante unos cinco minutos más.', '5\nAdicionar la albahaca fresca cortada y mezcla muy bien. Dejar conservar durante unos cinco minutos más. Puedes modificar la cantidad de albahaca al gusto pero no olvides que éste es el ingrediente principal de la salsa alfredo.', '6\nPor último apaga el fuego y agrega la crema de leche. Es preferible añadir la crema de leche de esta forma para evitar que se seque.', '7\nSirve los espaguetis alfredo espolvoreando cada uno de los platos con queso parmesano encima, si deseas decora con hojas de albahaca para darle un toque especial y si te gusta la salsa alfredo puedes probarla con unos deliciosos ñoquis de patata. Si deseas más recetas de espaguetis y tienes alguna inquietud o comentario, no dudes en escribirnos. Disfruta esta deliciosa receta.']","Valoración: 4,2 (14 votos)",5 comensales,30m,Plato principal,Dificultad media,,"['Recomendada para vegetarianos', 'Receta sin azúcar']","['500 gramos de Espaguetis', '200 gramos de Albahaca fresca', '2 ramas de Tomillo', '300 gramos de Crema de leche', '1 cucharadita de Pasta de ajo', '3 cucharadas soperas de Queso parmesadno', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-espaguetis-alfredo-53320.html
Canelones de pollo en salsa verde,,"['1\nPara empezar a realizar nuestra de canelones de pollo en salsa verde en el primer paso debes prealistar todos los ingredientes.', '2\nDebes llevar una olla a fuego medio, agrégale una cucharada de aceite de oliva y adiciona la cebolla blanca cortada en trozos.Agrégale sal y pimienta al gusto.', '3\nUna vez sofreída la cebolla, lava los tomates y córtalos en cascos, adiciónalos en la olla donde tenemos nuestra cebolla. Deja sofreír durante unos 5 a 10 minutos aproximadamente.', '4\nAgrega agua hasta cubrir nuestros vegetales que se encuentran en la olla, adiciona pasta de ajo, pimienta y sal al gusto.Si deseas agrégale un poco de picante a la salsa verde de los contrario no lo hagas.Dejar cocinar nuestra salsa verde durante unos 15 a 20 minutos aproximadamente después de agregar el agua.Apaga el fuego y deja que se enfríe.', '5\nDebes cortar nuestra pechuga de pollo en cuadros, agrega tomillo y pimienta y resérvalo en el refrigerador.', '6\nUna vez fría nuestra salsa verde, debes licuarla y reservarla para realizar nuestra receta de canelones de pollo en salsa verde.', '7\nCocinar nuestras hojas de lasaña y reservalas para poder rellenarlas.', '8\nDebes llevar un sartén a fuego medio y agrega un poco de aceite de oliva o girasol al sartén adicionar el pollo hasta sofreírlo bien.', '9\nRellena cada una de las hojas de lasaña con el pollo sofreído, envuélvelos y llévalos a una refractaria.Adicionales la salsa verde encima y queso parmesano para poder gratinar nuestros canelones de pollo en salsa verde.Lleva aun horno durante 5 - 10 minutos máximo para que nuestro queso parmesano gratine.', '10\nSirve nuestros canelones de pollo en salsa verde adicionando más salsa alrededor del plato.Si deseas más recetas de canelones y tienes algún comentario o inquietud por favor escribanos.Disfruta esta deliciosa receta.']",,,,,,,,"['10 a 12 hojas de lasaña.', '500 gramos de pechuga de pollo.', '6 unidades de tomates verdes.', '2 unidades de cebolla blanca.', 'Pasta de ajo.', 'Tomillo fresco.', 'Sal.', 'Pimienta.']",https://www.recetasgratis.net/receta-de-canelones-de-pollo-en-salsa-verde-53191.html
Pizza Margarita,"¡La más clásica de todas las pizzas! la pizza Margarita sin duda es una tradición pero no por eso deja de ser menos que otras pizzas con más ingredientes. Sigue leyendo en RecetasGratis.net y aprende a preparar la famosa pizza margarita, con tomate natural, queso y unas hojas de albahaca.","['1\nPara esta increíble pizza Margarita, lo primero que debes hacer es alistar todos los ingredientes, estos son para una pizza grande.', '2\nLo primero que vamos a preparar es la masa, para esto coloca en una superficie plana la harina y forma un volcán. Al rededor agrega sal y pimienta al gusto, en el centro forma un hueco pequeño y coloca allí la levadura y una pizca de azúcar blanca, esto para ayudar a la levadura a que fermente más rápido.', '3\nLuego agrega el agua tibia y mezcla solo con la levadura, cuando empiece a formar espuma puedes mezclar todo la harina con el agua.', '4\nMezcla muy bien la masa de la pizza durante unos 10 minutos hasta que quede una masa compacta, homogénea y suave. Si notas que la masa está muy dura agrega un poco más de agua.', '5\nColoca la masa de pizza en un recipiente con un poco de aceite de oliva y tapa con papel trasparente de cocina. Deja que crezca durante 30 minutos.', '6\nPasados los 30 minutos estira la masa en una superficie plana y agrega harina para que no se pegue. Coloca en una bandeja para horno con un poco de harina y cubre la masa con la pasta de tomate y agrega tomillo al gusto.', '7\nLa pizza margarita es una pizza muy clásica que solo lleva queso tomate y albahaca, por lo tanto debes colocar una capa de queso mozzarella rallado, unas rodajas de tomate y agregar un poco de sal al gusto. Hornea durante 10 minutos a 175ºC.', '8\nServir y degustar esta deliciosa pizza margarita entre amigos o con la familia. Si te gustó esta receta o tienes alguna duda déjanos tus comentarios.']","Valoración: 4,8 (16 votos)",3 comensales,30m,Plato principal,Dificultad baja,,"['Recetas al horno', 'Recetas italianas']","['200 gramos de Harina de trigo', '10 gramos de Levadura activa', '1 vaso de Agua tibia', '2 unidades de Tomate', '1 pizca de Sal y Pimienta', 'Pasta de tomate', '1 rama de Tomillo', '1 puñado de Hojas de albahaca', '1 taza de Queso mozzarella']",https://www.recetasgratis.net/receta-de-pizza-margarita-53164.html
Pasticho fácil,,"['1\nPonemos a calentar el aceite en una sartén a fuego medio. Cuando esté caliente, doramos ligeramente la cebolla y el ajo. Una vez haya empezado a tomar color la cebolla, agregamos la carne molida y cocinamos hasta que adquiera un tono café.', '2\nEscurrimos la grasa y añadimos sal y pimienta al gusto. Incorporamos los tomates, el puré de tomate, las hierbas, el vino y el caldo, mezclamos y dejamos cocinar a fuego lento sin tapar durante 1 hora y media. Removeremos todo de vez en cuando.', '3\nSi la salsa se espesa más de lo necesario, podemos agregar agua caliente de a poco. Verificamos sabor con sal y retiramos la hoja de laurel. Aparte, cocinamos las hojas de lasaña según las instrucciones del paquete, deben quedar al dente. Precalentamos el horno a 170ºC.', '4\nCuando esté todo listo, cogemos una refractaria, la engrasamos y colocamos en el fondo una capa de pasta. Sobre ella, un poco de salsa, otra capa de pasta, una de requesón o ricotta, una de mozzarella y otra de parmesano. Repetimos este procedimiento hasta hacer, como mínimo, tres capas. Finalizamos con queso parmesano, cubrimos con papel de aluminio y horneamos el pasticho durante 20-30 minutos.', '5\nRetiramos el papel de aluminio y cocinamos hasta que burbujee ligeramente la parte superior. Retiramos y servimos caliente.']",Valoración: 5 (1 voto),4 comensales,45m,Plato principal,Dificultad media,,['Recetas al horno'],"['½ kilogramo de Pasta para lasaña', '2 cucharadas soperas de Aceite de maíz', '1 unidad de Cebolla finamente picada', '2 dientes de Ajo picados', '1 kilogramo de Carne molida', '4 tazas de Tomate maduro picado (sin semillas)', '1 lata de Puré de tomate grande', '½ cucharada sopera de Albahaca, orégano y laurel', '½ taza de Vino tinto seco (opcional)', '½ kilogramo de Requesón o ricotta', '½ kilogramo de Mozzarella en tajadas delgadas', '200 gramos de Queso parmesano', '1 pizca de Sal y pimienta']",https://www.recetasgratis.net/receta-de-pasticho-facil-53131.html
