title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Mero con salsa de ñoras,,"['1\nEl primer paso para realizar esta receta es limpiar el mero. Luego, córtalo en taquitos no muy grandes.', '2\nAparte, dora la rebanada de pan y el ajo y resérvalo. Hidrata las ñoras en agua fría durante 30 minutos o cuécelas un poco en un cazo. Si te decantas por esta última opción, reserva el agua para el guiso.', '3\nTrocea en juliana la cebolla y el pimiento y rehógalos. Luego, añade el mero, un chorro de vino y deja que se cocine a fuego medio para que se haga la salsa. Añade un poco de agua y deja que se cocine unos minutos.', '4\nDurante los últimos minutos de cocción, añade la carne de ñora, tapa el cazo y apaga el fuego. Retira los trocitos de mero y resérvalos. Coloca la salsa obtenida del guiso en un recipiente junto con el ajo y el pan tostados y bátelo todo con una batidora o licuadora.', '5\nAhora mezcla la salsa con el mero y caliéntalo todo junto en un cazo. Sirve el mero en salsa de ñoras acompañado con arroz blanco o la ensalada que más te guste.']","Valoración: 3,5 (21 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['1 kilogramo de Mero', '1 rodaja de Pan', '2 unidades de Ñoras', '1 pizca de Sal', '1 chorro de Vino blanco', '2 dientes de Ajo']",https://www.recetasgratis.net/receta-de-mero-con-salsa-de-noras-32539.html
Pastel de atún frío con pan de molde,"El atún es uno de los pescados más empleados en todo el mundo por su versatilidad a la hora de elaborar recetas con él. Tal es el caso del pastel de atún fácil que muestro a continuación, con huevos cocidos, mayonesa y otros ingredientes que puedes modificar a tu antojo.Esta tarta salada es sencilla y rápida porque no requiere ningún tipo de cocción, ¡se elabora en frío! Si quieres saber más sobre la receta, sigue leyendo y descubre de la mano de RecetasGratis cómo hacer pastel de atún frío con pan de molde.","['1\nAntes de ponerte manos a la obra, deja listos todos los ingredientes. En este sentido, debes saber que los productos mencionados en el listado anterior son opcionales, puesto que el pastel de atún puede ser elaborado con prácticamente cualquier alimento. Así pues, puedes añadir pimientos del piquillo, anchoas, maíz..., ¡lo que quieras!', '2\nPon a cocer los huevos y, mientras se cocinan, aprovecha para picar la cebolla, el tomate, la lechuga y las aceitunas. No es necesario que retires las pepitas del tomate ni el jugo que desprenda, puesto que esto le dará cremosidad al relleno del pastel de atún. En caso de incorporar algún ingrediente más, como los pimientos del piquillo, trocéalo también.', '3\nCuando los huevos estén listos, cuélalos, pásalos por agua fría, retira la cáscara y trocéalos igual que los ingredientes anteriores. Luego, escurre las latas de atún y mézclalo todo en un bol. Si quieres, puedes añadir el aceite de una de las latas.', '4\nPara compactar la masa y conseguir un pastel de atún perfecto, añade mayonesa poco a poco. Es decir, agrega primero un par de cucharadas, intégralas y, si lo consideras necesario, añade un par más. Si quieres, puedes sustituir la mayonesa por tomate frito, puesto que el resultado es igual de delicioso.', '5\nCoge un molde o un recipiente apto para formar la tarta fría y cubre la base con la mitad de las rebanadas de pan, en este caso cuatro. Es importante que no queden espacios entre las rebanadas, de manera que si el molde que vas a utilizar es grande, agrega más pan de molde a la receta.Yo he seleccionado un molde redondeado para darle a la presentación del pastel de atún un toque diferente, ya que siempre tiendo a prepararlo con moldes rectangulares.', '6\nAhora puedes hacer el pastel de atún con una o varias capas. Para que decidas, te explicaré las dos formas. La más sencilla es colocar sobre la primera base de pan toda la mezcla de atún bien distribuida. Encima del relleno, se pone la segunda capa de pan de molde.Si prefieres elaborar una tarta salada más completa, coloca una capa con la mitad del relleno de atún, otra muy fina de mayonesa y, sobre ella, rebanadas de pan de molde. Repite este proceso una vez más para crear un pastel de dos pisos pero sin incorporar la capa de mayonesa; finaliza con el pan.', '7\nCubre el pastel de atún y pan de molde con papel film y coloca encima algún tipo de peso, como latas en conserva, para conseguir que se compacte bien y se pueda desmoldar al momento de servirse. Reserva en el frigorífico durante un par o tres de horas.', '8\nUna vez compacto, retira la tarta de atún de la nevera, quita el papel film y sácala del molde con mucho cuidado. Después, cúbrela por completo con mayonesa y añade los elementos decorativos que quieras, como aceitunas o cualquier otro ingrediente.', '9\n¡Listo! Ya puedes disfrutar de este delicioso pastel de atún frío con pan de molde a modo de entrante o acompañado de otras recetas fáciles como patatas horneadas o croquetas de carne.']","Valoración: 3,9 (21 votos)",4 comensales,45m,Entrante,Dificultad baja,,[],"['8 rebanadas de Pan de molde sin corteza', '4 latas de Atún en aceite de oliva', '2 Huevos cocidos', '1 bote de Aceitunas sin hueso', '1 Tomate', '1 trozo de Cebolla', '6 hojas de Lechuga', 'Mayonesa (cantidad necesaria)']",https://www.recetasgratis.net/receta-de-pastel-de-atun-frio-con-pan-de-molde-32470.html
Cóctel de atún,"Si eres un amante del tradicional cóctel de gambas, esta variante con atún te encantará. En RecetasGratis.net te enseñamos paso a paso a preparar un delicioso cóctel de atún, ideal para servir en una reunión con amigos o familiares. ¡Sigue leyendo y deja tu comentario!Autora de la fotografía: Karina Varela","['1\nSe pica finamente la cebolla, se añade el jugo de limón y se deja reposar. Mientras, se pica el pepino, el tomate y el cilantro, y se añade al cóctel.\nTruco: El hecho de picar la cebolla y ponerla en jugo de limón primero ayuda a que se curta y que caiga mejor al estómago.', '2\nSe añade el atún drenado, la salsa picante, el ketchup, el orégano, el jugo de tomate y la sal. Se mezclan todos los ingredientes del cóctel de atún.\nTruco: Coloca menos de jugo de tomate con almejas para tostadas y más para servirlo en plato o vaso.', '3\nSe colocan los aguacates en rebanadas sobre la mezcla anterior o sobre tostadas. Se sirve el cóctel de atún ya sea en tostas o en un plato con galletas saladas.', '4\nEn lugar de atún puedes utilizar camarones, almejas pequeñas o sardinas, ¡sabe riquísimo de cualquier forma!']","Valoración: 3,3 (18 votos)",2 comensales,30m,Entrante,Dificultad baja,,[],"['¼ pieza de Cebolla', '4 piezas de Limones (el jugo)', '3 piezas de Pepinos', '2 piezas de Tomates', '2 piezas de Aguacates', '2 latas de Atún en agua', '1 cucharada sopera de Jugo de tomate Clamato', '3 cucharaditas de Cilantro', '3 cucharaditas de Salsa picante', '5 cucharaditas de Ketchup', '1 pizca de Orégano', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-coctel-de-atun-32432.html
DORADA AL FORNO CON PATATAS,,"['1\nCOMPRAMOS 2 DORADAS ENTERAS PREPARADAS PARA EL HORNO (LIMPIAS Y SIN ESCAMAS ABIERTAS POR LA TRIPA) LAS COLOCAMOS EN LA BANDEJA DEL HORNO CORTAMOS EL LIMON A RODAJAS GORDITAS Y PONEMOS 2-3 RODAJAS POR DORADA. PELAMOS LAS PATATAS Y LAS CORTAMOS A TAQUITOS MEDIANOS(DE UNA PATATA MEDIANA TIRANDO A GRANDE UNOS 6-8 TROCITOS)PELAMOS LA CEBOLLA Y LA PARTIMOS EN 2-3 TROZOS CADA UNA, LO REGAMOS TODO CON ACEITE Y SALAMOS LIGERAMENTE LAS PATATAS Y LA CEOLLA Y AL HORNO PRECALENTADO A (UNOS 200º-220º)A LOS 15 MIN.APROXIMADAMENTE.', '2\nLO REGAREMOS TODO CON 1 VASITO DE VINO BLANCO Y BAJAREMOS LA TEMPERATURA A UNOS 180º-190º ESPERAR UNOS 35-40 MIN.MAS Y LISTO!!!!']","Valoración: 3,4 (19 votos)",,,,Dificultad media,,,"['2 DORADAS', '1 VASO DE VINO BLANCO', '5-6 PATATAS MEDIANAS', '2 CEBOLLAS', '1 LIMON', 'ACEITE VIRGEN EXTRA', '1 PIZCA DE SAL']",https://www.recetasgratis.net/receta-de-dorada-al-forno-con-patatas-32413.html
Trucha al horno con vino tinto,,"['1\nLimpiamos la trucha y le quitamos el espinazo y las raspas posibles, quitarle la piel a la trucha y hacerla filetes una vez quitada la piel.', '2\nApartamos los filetes en un plato en el que salpimentamos un poco y algo de perejil.', '3\nPicar los ajos muy finitos, la cebolla en juliana y en una sartén echamos aceite para que cubra la base.', '4\nCuando empieze a calentarse el aceite echar la cebolla y el ajo, pasados unos 3 ó 4 minutos a fuego lento.', '5\nEchar un poco de vino y una cucharada pequeña de vinagre e ir removiendo.', '6\nEchar los champiñones a fuego medio, poner ahora los clavos y echar un poco de romero tener todo el sofrito entre 5 y 8 minutos.', '7\nApartar todo en un bol apto para el horno y acontinuación freir un poco los filetes de trucha, sólo hasta que adquieran un color blanco.', '8\nPonemos los filetes encima del bol con el sofrito anterior y regamos con vino y le ponemos perejil picado.', '9\nEl horno a 250 grados durante 20 minutos y finalmente se puede adornar con algún limón a los laterales o perejil en rama.']","Valoración: 3,7 (23 votos)",,,,Dificultad baja,,,"['3 truchas enteras', 'Una cucharada sopera de vino', 'Ajo', 'Cebolla', 'Champiñon', 'Romero', 'Perejil', 'Pimienta', '3 ó 4 clavos', 'Aceite', 'Vinagre', 'Sal']",https://www.recetasgratis.net/receta-de-trucha-al-horno-con-vino-tinto-32410.html
Churrasco de mero,,"['1\nTomar un filete de mero sin piel y cortar a lo ancho lonjas de 2 centimetros , sazonar con ajo , sal, pimienta y colocar en la plancha hasta que dore.', '2\nAparte se prepara una mantequilla con ajo , fume de pescado. unas hojas de laurel y suficiente tomillo..', '3\nSe cortan dos papas cocidas en ruedas se añaden a la salsa .', '4\nColocar el filete y bañarlo con la salsa. Añadir un poco de aceite de oliva al servir...', '5\nComo guarnición una ensalada con mucha lechuga, cebollas y tomates. Recomiendo un vino al gusto de color pero que sea liviano y joven para degustar el pescado o un vino de crianza .']","Valoración: 3,6 (21 votos)",2 comensales,30m,Plato principal,Dificultad baja,,[],"['1 filete de Mero', '2 dientes de Ajo', '1 pizca de Sal y Pimienta', '1 hoja de Laurel', '1 rama de Tomillo', '1 unidad de Patata']",https://www.recetasgratis.net/receta-de-churrasco-de-mero-32263.html
Pescado capeado,,"['1\nEl pescado se corta en trocitos de aproximadamente 5 cm. de largo y de 1cm de gruesos, tiene que ser muy delgado el corte.', '2\nSe pone a marinar por 1hr aproximadamente en soya,ajo,poca sal y poca pimienta.', '3\naparte, el harina, el cubo, el bicarbonato el aceite(1Oz) se pone en la licuadora o batidora y se le agrega poco a poco el agua hasta obtener una pasta espesa.', '4\nSe baña el pescado en la pasta y se frie en aceite muy caliente hasta obtener un color dorado.', '5\ntip: frirlo de poco a poco sin encimarlos unos con otros para que no se pongan aguados o remojados.', '6\nSe pueden hacer tacos con tortillas de maiz, salsa verde, limon y', '7\nuna ensalada de repollo con cebolla muerta en sal, rajas de chile verde tatemado(asado) zanahoria rallada, u poquito de mayonesa y un punto de mostaza, pimienta al gusto.']","Valoración: 3,6 (22 votos)",4 comensales,45m,,Dificultad media,,[],"['1kg de pescado (cabrilla)', '1/2 cucharada de té, de bicarbonato', '1 oz de aceite para cocinar(aparte para freir)', '1 cubo de consomé de camaron', 'salsa de soya', 'sal', 'pimienta', 'ajo en polvo / ajo deshidratado', '1 1/2 taza de harina de trigo', '2 tazas de agua']",https://www.recetasgratis.net/receta-de-pescado-capeado-32208.html
Pescado Frito con chile de arbol (En disco),,"['1\nEl chile de arbol se tuesta ( Tatema ) en el comal Hasta que empiece a ponerse de un color negro y se retiran.', '2\nSe pone en la licuadora se le agregan los dientitos de las 2 cabezas de ajo previamente pelados y la Pimienta se le agrega un poco de agua para moler y sal al gusto la mezcla debe de quedar espesa.', '3\nDespues se cubren( Embarran ) las mojarras con esta mezcla y se dejan reposar por espacio de 1 hora.', '4\nSe pone a calentar el disco en el fuego Si es con leña en el asador Mejor.', '5\nYa que este caliente se vacian los 2 lts. de aceite y se le agregan las 2 barras de mantequilla.', '6\nDespues se echan las mojarras. de una ò de dos dependiendo el tamaño del disco ya que esten bien fritas se retiran del aceite y listo.', '7\nPara servir:', '8\nSe echa la mojarra en un plato grande se le pone limòn se le agrega una capa de mayonesa y un poco de salsa botanera si es su gusto se puede acompañar con papas fritas y ensalada de verduras, y las galletas saladas.']","Valoración: 3,7 (24 votos)",,,,Dificultad media,,,"['Mojarras de Granja ( Peso aprox.500 gramos c /u)', '2 Cabezas Grandes de Ajo', '1 Bolsita de pimienta Negra Entera', '1 Bolsa de Chile de Arbol seco ( Cambray ) Aprox 100 gramos', '2 Lts de Aceite', '2 Barras de mantequilla', 'Sal', 'Limones', 'Mayonesa', 'Galletas Saladas', 'Salsa botanera roja al gusto']",https://www.recetasgratis.net/receta-de-pescado-frito-con-chile-de-arbol-en-disco-32204.html
lubina en costra de ibérico con tallarines de verdura,,"['1\nPedir al pescadero que nos haga 4 filetes con las 2 lubinas.', '2\nSalpimentar los filetes.', '3\nExtender en la mesa las 4 tiras de tocino ibérico, poner encima con la piel hacia arriba las lubinas.', '4\nEnvolver los filetes albardados sobre si mismos quedando el tocino por la parte exterior. Sujetar con un palillo y reservar.', '5\nLimpiar las judias de sus hilos, pelar las zanahorias y lavar el calabacín.', '6\nCortar las judias por la mitad y hacer de cada parte 4 tiras o tallarines, cortar la zanahoria en láminas y hacer tallarines iguales a los de judia.', '7\nHacer lo mismo con el calabacín y ya tenemos los tan aludidos tallarines.', '8\nPoner aceite en una sartén de saltear a fuego fuerte los tallarines de verdura, no demasiado tiempo, deben de quedar al dente.', '9\nEn una placa de horno poner los filetes de lubina, deben de quedar de pié en la placa. Rociar con un chorrito de aceite de oliva y meter al horno apróximadamente unos 8/10 minutos.', '10\nSacar emplatar la lubina DE PIE, y acompañar con la guarnición de los tallarines, regar con un chorro de aceite de oliva vigen extra y buen profit.']","Valoración: 3,2 (19 votos)",,,,Dificultad media,,,"['2 LUBINAS DE 600 GRS. CADA UNA', '4 TIRAS DE TOCINO IBERICO FINAS', 'ACEITE', 'SAL', 'PARA LA GUARNICION', '4 JUDIAS VERDES', '1 ZANAHORIA', '1 CALABACIN']",https://www.recetasgratis.net/receta-de-lubina-en-costra-de-iberico-con-tallarines-de-verdura-32192.html
Salmon en salsa amarilla de cebolla y champiñones,,"['1\n1) Enharinar el salmón sin salarlo. 2) En una sartén u otro recipiente en donde puedan entrar las cuatro rodajas, se cubre el fondo con aceite, se calienta y se dora el salmón.', '2\nSe retira', '3\n3)En la misma grasa se añade una cucharada rasada de harina y se dora.', '4\n4)añadir a continuación la cebolla picada finamente, tapar y dejar pocharla lentamente.', '5\n5) Cuando esté pochada, se añade todo el contenido del bote de champiñón, incluyendo el líquido.', '6\n6) Se añade la pastilla de caldo desmenuzada y el colorante, se revuelve, se vuelve a colocar las rodajas de salmón, se tapa y se deja hervir', '7\nLentamente unos 15 minutos']","Valoración: 3,9 (37 votos)",,,,Dificultad baja,,,"['4 rodajas de salmón de unos 200 g c/u', '1 cebolla mediana', '1 bote de 250 g de champiñón laminado', '1 pastilla de caldo vegetal (suave)', 'colorante amarillo', 'harina', 'aceite']",https://www.recetasgratis.net/receta-de-salmon-en-salsa-amarilla-de-cebolla-y-champinones-32187.html
