title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Fudge de fresa,"El fudge, también conocido como dulce de azúcar,es un tipo de caramelo, más o menos semejante a las piruletas o chupetines, de consistencia más blanda, pero sin llegar a ser ser tan suave como una goma de mascar. El fudge puede ser de varios sabores, dependiendo del ingrediente que quieras (chocolate, nata, fresa, limón). Además, puede llevar o no frutos secos, sobretodo almendras y avellanas.Si te ha llamado la atención esta descripción, quédate en RecetasGratis.net y aprende cómo hacer fudge de fresa, un delicioso postre perfecto para acompañar la hora del café, té o la merienda. Además, también puedes hacer un bonito regalo con estos caramelos o incluso hacerlos para vender.","['1\nLava y haz un puré con las fresas. En una sartén a fuego medio pon a hervir el puré de fresa, moviendo constantemente para evitar que se queme y/o se pegue a la sartén.Hierve hasta que el puré quede muy espeso y se haya evaporado completamente el líquido. Deja enfriar a temperatura ambiente (no refrigerar) por al menos 4 horas. El puré completamente espeso debe medir aproximadamente 1 taza. Si es un poco más que eso, seguramente le falta hervir y espesar un poco más.\nTruco: Si sienten que ya está demasiado espeso y aún así es mas de 1 taza, midan la taza y reserven el resto para hacer otros postres o utilizarlo como mermelada.', '2\nCuando el puré se haya enfriado completamente, bate la mantequilla hasta que quede suave y esponjosa, de un color claro. Cierne el azúcar glass, añádela a la mantequilla y mezcla solo hasta incorporar. Asegúrate de limpiar las paredes del tazón de la batidora con una espátula para que se mezcle todo muy bien.', '3\nAñade el queso crema y sigue batiendo, puedes cortarlo en cubitos de una pulgada para facilitar este proceso. Añade los cubos uno a uno, y mezcla hasta que quede todo bien incorporado.\nTruco: Para realizar bien éstos pasos es importante que la mantequilla y el queso crema se encuentren a temperatura ambiente.', '4\nAgrega lentamente el puré de fresa y la sal y mezcla suavemente hasta que se combinen bien los ingredientes. Al igual que si se tratara de un frosting de fresa, refrigeraremos durante al menos una hora antes de usar.', '5\nTranscurrido el tiempo de reposo del frosting, engrasaremos un molde con mantequilla y reservamos. Aparte, funde el chocolate blanco, ya sea en baño maría o en el microondas.', '6\nUna vez que el chocolate este completamente fundido, agrega el frosting de fresas, las almendras picadas y mezcla suavemente hasta obtener una mezcla homogénea.', '7\nVierte la mezcla en el molde engrasado y distribuye uniformemente.', '8\nAgrega los toques finales decorando con un poco de almendras o chocolate blanco picado, aunque realmente eso queda a tu gusto. Solo no olvides agregar las decoraciones mientras el fudge de fresa está suave para que se peguen bien a la superficie.Una vez listo, lleva a refrigerar por 30 minutos o hasta que el chocolate esté completamente frío.\nTruco: No olvides cubrir bien el fudge antes de refrigerarlo, pues podría adquirir los sabores de la nevera.', '9\nUna vez que se solidifique por completo, corta el fudge de fresa en cubos, o del tamaño y forma que prefieras y sirve.', '10\nDisfruta del fudge de fresa cuando quieras darte un capricho o sírvelo para acompañar el té o el café con los amigos. Este delicioso postre de fresa también lo puedes hacer con chocolate, siguiendo la receta de fudge de chocolate.No olvides dejar tus comentarios y compartir esta receta si te ha gustado.']",,6 comensales,1h 30m,Postre,Dificultad media,,[],"['450 gramos de Chocolate blanco', '225 gramos de Fresas', '45 gramos de Mantequilla', '1 taza de Azúcar glass (140 gramos)', '170 gramos de Queso crema', '1 pizca de Sal', '100 gramos de Almendras picadas']",https://www.recetasgratis.net/receta-de-fudge-de-fresa-57396.html
Profiteroles de nata y chocolate,"Los profiteroles son pequeñas bolitas elaboradas con una masa llamada pasta choux y sin duda, es unos de los postres franceses mas versátiles que hay ya que se puede rellenar de lo que más te guste como por ejemplo nata batida, crema pastelera, arequipe y mucho más. Sigue leyendo RecetasGratis.net y descubre paso a paso como elaborar unos profiteroles de nata y chocolate, ideales para la merienda.Descubre el secreto para hacer unos profiteroles caseros esponjosos, con un relleno suave de crema y cubiertos con chocolate. Un postre elegante e irresistible.","['1\nAntes de realiza los profiteroles de nata, el primer paso es alistar todos los ingredientes.', '2\nPara elaborar la pasta choux, en una olla agregar la leche, el azúcar y la mantequilla. Cocinar a fuego bajo hasta derretirla totalmente.', '3\nRetirar la olla del fuego y agregar la harina de golpe (previamente tamizada), mezclar muy bien hasta incorporar toda la masa. Luego, volver a llevar la olla a fuego muy bajo y cocinar hasta que se despegue la masa de las paredes de esta.', '4\nFinalmente apagar el fuego, dejar enfriar la masa y agregar uno por uno los huevos, hasta obtener el punto de cinta.\nTruco: Punto de cinta: agregar los huevos uno por uno, mezclar todo muy bien y tomar un poco de la masa con la espátula, al dejarla caer no se debe romper.', '5\nAñadir la pasta choux a una manga pastelera con una boquilla rizada y en un tapete de silicona, realizar bolitas pequeñas. Hornear durante 20 minutos a 180°C. cuando salgan del horno, dejar enfriar para poder rellenar los profiteroles.\nTruco: Como recomendación debes saber que no se debe abrir el horno los primeros 15 minutos para que la masa no se baje, de esta forma obtendremos unos profiteroles esponjosos', '6\nPara hacer la crema chantillí, dejar la nata en el refrigerador mínimo 24 horas. Batir con la esencia de vainilla y el azúcar glass hasta obtener una crema consistente que forme picos.', '7\nPara la cobertura de chocolate, en un plato hondo, agregar el chocolate con la crema de leche, llevar al microondas durante 30 segundos, retirar y mezclar hasta derretir todo el chocolate. Si es necesario llevar 30 segundos más al microondas.', '8\nFinalmente abrir los profiteroles por la mitad, agregar la crema chantillí, cerrarlos y cubrir con la cobertura de chocolate. Disfrutar de los deliciosos profiteroles de nata y chocolate con un batido de almendras.Si te ha gustado este postre con chocolate, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (1 voto),12 comensales,45m,Postre,Dificultad media,,['Recetas al horno'],"['160 gramos de Harina', '100 gramos de Mantequilla', '250 mililitros de Leche', '3 unidades de Huevos', '1 pizca de Azúcar', '150 gramos de Crema de leche', '45 gramos de Azúcar glass', '1 chorro de Esencia de vainilla', '80 gramos de Chocolate semi amargo', '30 mililitros de Crema de leche']",https://www.recetasgratis.net/receta-de-profiteroles-de-nata-y-chocolate-58284.html
Brownies de Nutella,"Para nadie es un secreto que la Nutella es una tentación casi irresistible para cualquiera. Esa deliciosa crema de avellanas popular en todo el mundo se utiliza hoy en día para realizar infinidad de recetas, siendo los postres y la bollería los ámbitos más populares.En RecetaGratis.net te traemos unos deliciosos brownies de Nutella con los que podrás sorprender tanto a grandes como a pequeños. Aunque, sin duda, estos últimos disfrutarán mucho más de esta maravillosa merienda. Sigue leyendo y descubre cómo hacer brownies de Nutella fácilmente.","['1\nLo primero que debes hacer es prealistar los ingredientes de los brownies de Nutella.', '2\nEn una sartén adiciona la mantequilla y deja que se derrita. Debes tener cuidado y vigilar que la mantequilla no se queme, pues no servirá para realizar la receta de brownie.', '3\nEn un tazón añade los huevos y el azúcar moreno. Bate estos dos ingredientes hasta que obtengas una consistencia espumosa.', '4\nAñade la Nutella, la harina, la sal, la mantequilla derretida y la esencia de vainilla. Mezcla muy bien los ingredientes hasta que se integren para obtener la base de nuestros brownies de chocolate.', '5\nPor último, añade la leche y el polvo para hornear e integra bien con el resto de ingredientes. Debes obtener una mezcla cremosa como la que se observa en la fotografía.', '6\nLleva la mezcla de los brownies de Nutella a una refractaria previamente engrasada o a moldes individuales de magdalenas si lo prefieres. Precalienta el horno a 180ºC y, una vez caliente, hornea los brownies durante 20-25 minutos aproximadamente. Debes procurar que los brownies no queden secos y se encuentren húmedos en el centro. Apaga el fuego cuando estén listos.', '7\nDeja enfriar los brownies antes de cortarlos o sacarlos del molde. Una vez tibios, retíralos del molde o moldes, espolvorea un poco de azúcar pulverizada al gusto y disfruta de estos deliciosos brownies de Nutella. Y si eres un amante de este tipo de dulces, no te pierdas la receta de brownies de chocolate blanco, ¡irresistibles!']",Valoración: 5 (1 voto),4 comensales,1h 30m,Postre,Dificultad media,,['Recetas al horno'],"['125 gramos de Harina de trigo', '3 unidades de Huevos', '250 gramos de Nutella', '1 pizca de Sal', '125 gramos de Azúcar moreno', '1 cucharadita de Esencia de vainilla', '125 gramos de Mantequilla', '1 taza de Leche (240 mililitros)', '1 cucharadita de Polvo para hornear']",https://www.recetasgratis.net/receta-de-brownies-de-nutella-58273.html
Yogur de limón,"Este yogur de limón elaborado con yogurtera es una delicia fresca y nutritiva, perfecta para cerrar una cena ligera en casa. Además, resulta un postre estupendo para los niños, rápido y lleno de sabor. Sigue leyendo y aprende con RecetasGratis.net cómo hacer yogur con frutas cítricas.","['1\nAquí tenemos los ingredientes para este yogur con yogurtera. El azúcar es opcional.', '2\nEn una olla ponemos a calentar la leche junto con el azúcar. Añadimos también la piel del limón rallada. Apagamos el fuego cuando la leche esté a punto de empezar a hervir y dejamos que se temple un poco.', '3\nEn un bol grande vertemos el yogur natural y removemos bien. Colamos la leche para eliminar la ralladura de limón y la vamos mezclando con el yogur, progresivamente: primero solo un poco de leche, removemos bien, añadimos un poco más, volvemos a remover...', '4\nRepartimos la mezcla en los vasitos de yogur y los introducimos en la yogurtera. Ahora seguimos las instrucciones del robot para preparar yogures. Yo tengo la Multidelices de Tefal, así que tapo el aparato, programo la función 1, 8 horas de tiempo y listo. Cuando la yogurtera haya terminado, taparé los vasitos y los dejaré un mínimo de tres horas en la nevera.', '5\nEl yogur de limón forma parte de nuestro desayuno familiar al día siguiente. Añade una rodaja de limón para decorarlo y... ¡sorprende a los que quieres con esta delicia de limón! Sin duda, una de las ventajas más notables que presenta la elaboración de yogures caseros es la cantidad de dinero que conseguimos ahorrar, pues con un único yogur natural, preparamos seis más.']",Valoración: 5 (1 voto),6 comensales,4h,Postre,Dificultad baja,,[],"['750 mililitros de Leche', '3 cucharadas soperas de Azúcar', '1 unidad de Yogur natural', '1 unidad de Limón']",https://www.recetasgratis.net/receta-de-yogur-de-limon-58266.html
Tarta de banana split,"El banana split es un postre muy popular en el que se sirve un plátano partido por la mitad acompañado de bolas de helado con sabor a chocolate y vainilla. Además, se suelen añadir fresas, cerezas, salsa de chocolate, nueces picadas y nata montada. En esta ocasión, en RecetasGratis.net, te mostraremos cómo preparar una tarta fría inspirada en los ingredientes y sabores de este delicioso postre, así que no lo pienses más y sigue leyendo para descubrir cómo hacer una tarta de banana split paso a paso. Podrás elaborarla tanto para servir en una fiesta con amigos como para ofrecer a tu familia cualquier día de la semana una increíble tarta de frutas.","['1\nComenzaremos a preparar nuestra tarta de banana split alistando y pesando todos los ingredientes que vamos a necesitar.', '2\nEl primer paso para preparar esta tarta fría será mezclar una cucharadita de grenetina con 35 mililitros de agua caliente (esta cantidad equivale aproximadamente a dos cucharadas soperas de agua). Mezcla vigorosamente hasta que la grenetina se disuelva por completo.', '3\nPara la base del pastel de plátano: tritura las galletas y mézclalas con la mantequilla derretida en un molde para pastel previamente engrasado. Se trata del mismo procedimiento que otros postres con base de galleta como el pastel de gelatina mosaico.', '4\nCompacta bien la base del pastel con ayuda de una cuchara o vaso de vidrio y permite que se enfríe.', '5\nPara el relleno: con una batidora o un globo, mezcla la crema para batir junto el extracto de vainilla y el azúcar hasta que se formen picos. Como si tratases de hacer una crema chantillí.', '6\nAparte, muele las bananas junto con el jugo de limón. La idea es obtener un puré de plátano para rellenar mejor la tarta de frutas.', '7\nFunde la grenetina previamente hidratada en el microondas por intervalos de 15 segundos y moviendo cada tanto para evitar que esta se queme.\nTruco: Si no cuentas con horno de microondas puedes fundir la grenetina al baño María.', '8\nAgrega al puré de bananas la gelatina fundida e integra bien estos ingredientes.', '9\nPasa unas cucharadas de crema batida al puré, para equiparar las densidades e integra suavemente.', '10\nLuego, mezcla ambas preparaciones con movimientos envolventes, evitando perder la consistencia de la crema.', '11\nPara montar la tarta de banana split: mezcla el dulce de leche con el queso crema hasta obtener una consistencia suave y tersa. Cubre el fondo de la tarta con una capa de la mezcla de dulce de leche y refrigera por 10 minutos.\nTruco: No olvides cubrir bien la tarta antes de refrigerarla, pues podría adquirir los sabores de la nevera.', '12\nMientras tanto, corta las fresas y las bananas que reservamos para decorar en rebanadas delgadas.', '13\nSaca la tarta de la nevera y cubre la capa de dulce de leche con una capa de rebanadas de fresas.', '14\nVierte la crema sobre la capa de fresas y deja reposar la tarta de frutas en la heladera hasta que solidifique por completo (1 hora aproximadamente).', '15\nDecora con bananas cortadas en rodajas finas justo antes de servir, pues si haces este paso con antelación las bananas comenzarán a oxidarse y ponerse oscuras.', '16\nNo olvides agregar crema batida por el borde del pastel, y terminar la decoración de la tarta con nueces picadas y frutos rojos. Si lo deseas, también puedes agregar salsa de chocolate para que tu postre quede al más puro estilo de un banana split.', '17\nEsperamos que disfrutes de esta receta de torta helada de banana split, y si tienes alguna duda, opinión o piensas que podríamos mejorarla, por favor escríbenos tus comentarios.']","Valoración: 4,9 (11 votos)",6 comensales,1h 30m,Postre,Dificultad media,,[],"['170 gramos de Galletas María', '90 gramos de Mantequilla', '300 gramos de Dulce de leche', '200 gramos de Banana', '1 cucharadita de Jugo de limón', '7 gramos de Gelatina sin sabor', '35 mililitros de Agua', '250 mililitros de Crema de leche (1¼ tazas)', '60 gramos de Azúcar', '1 cucharadita de Extracto de vainilla', '50 gramos de Queso crema o Philadelphia', '100 gramos de Banana', '50 gramos de Nueces picadas', '150 gramos de Crema chantillí', '100 mililitros de Salsa de chocolate', '200 gramos de Fresas', '100 gramos de Cerezas', '100 gramos de Dulce de leche']",https://www.recetasgratis.net/receta-de-tarta-de-banana-split-58198.html
Sorbete de curuba,"La curuba es una fruta de pulpa firme, de color amarillo que posee un sabor agridulce marcado. Se recomienda consumirla ya que ayuda a los trastornos intestinales y estomacales por eso en esta ocasión aprenderemos a realizar un sorbete de curaba, un postre con una consistencia espesa y suave.Sigue leyendo en RecetasGratis.net y aprende paso a paso como realizar un sorbete de curuba, te recomiendo consumirlo en las noche ya que ayuda a promover un sueño relajado.","['1\nAntes de realizar este postre de curuba, el primer paso es alistar todos los ingredientes.', '2\nEn una licuadora agregar la pulpa de curuba y la taza de agua, procesar hasta obtener una consistencia homogénea.', '3\nColar el jugo de curuba para eliminar todas las semillas.', '4\nPara finalizar el sorbete, agregar a la licuadora el zumo de curuba, con la leche, la crema de leche y el azúcar. Procesar durante unos minutos hasta obtener una consistencia homogénea.\nTruco: Te recomiendo que tanto el agua como la leche estén muy fríos, así obtenemos un sorbete refrescante.', '5\nFinalmente servir y disfrutar el sorbete de curuba, es perfecto para consumir en las noches máximo durante 2 semanas, así lograras un sueño placentero. Si te gustan los sorbetes de frutas no olvides visitar en RecetasGratis.net el sorbete de mango o el sorbete de sandia.Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.\nTruco: Mantenga refrigerado hasta el momento de consumir.']","Valoración: 4,7 (3 votos)",3 comensales,15m,Postre,Dificultad baja,,[],"['3 unidades de Curubas medianas', '2 cucharadas de postre de Azúcar', '2 tazas de Leche (480 mililitros)', '1 cucharada sopera de Crema de leche', '1 taza de Agua (240 mililitros)']",https://www.recetasgratis.net/receta-de-sorbete-de-curuba-58232.html
Copas de chocolate,"En RecetasGratis.net también tenemos recetas en vídeo con platos original y fáciles como estas copas de chocolate con nata y fresas. Sorprende a todos con un postre donde ¡todo se come! Ya verás que las copas de chocolate son muy fáciles de hacer y lo cierto es que las podrás usar para presentar cualquier tipo de postres, bien sea de frutas, helado o como nosotros, unas irresistibles fresas con nata montada.",[],,,,,,,,,https://www.recetasgratis.net/video-receta-de-copas-de-chocolate-58210.html
Natillas de almendra,"Me encantan los postres, pero reconozco que las tartas y los pasteles siempre me han dado un poco de pereza, porque en mi casa los dulces no gustan mucho y siempre tengo que zamparme yo toda la delicia en cuestión. Con los postres individuales como estas natillas de almendra no tengo este problema... Basta reducir dosis para adaptar la receta y preparar solo tres o cuatro vasitos, como en este caso. Es un postre sin proteína de leche de vaca, sin lactosa y sin gluten, así que apta para muchos casos de intolerancia, aunque la almendra es un alergeno importante.","['1\nLa receta original lleva leche de vaca en lugar de leche de almendras, y harina de trigo en lugar de harina de maíz, pero ya ves que me encanta variar las recetas para adaptarla a gustos y exigencias (hoy, una receta sin lactosa y sin proteína de leche de vaca para mis pequeñajos). La almendra es cruda, no tostada, y en la foto la ves ya picada (con la función de picar del turmix).', '2\nVamos con la elaboración de estas natillas caseras con almendra. En un bol batimos las yemas de los huevos (qué se puede hacer solo con el blanco sobrante de los huevos, ¿alguien lo sabe?), añadimos la maicena y removemos bien.', '3\nEn una olla mezclamos la leche con el azúcar y la llevamos a ebullición con la rama de canela.', '4\nCuando la leche rompa a hervir, apagamos el fuego y eliminamos la rama de canela. Adicionamos la mezcla de huevo y maicena, volvemos a encender el fuego y lo dejamos medio bajo, y vamos removiendo hasta conseguir que la mezcla espese. Apagamos el fuego, añadimos casi la totalidad de la almendra picada (solo dejamos un poco para espolvorear las natillas por encima luego) y seguimos removiendo.', '5\nVertemos las natillas de almendras en vasitos individuales y dejamos que se enfríen. Luego espolvoreamos un poco de almendra picada por encima y, si nos gusta, algo de canela en polvo. Solo nos queda reservarlas en la nevera un mínimo de dos horas para degustarlas en su punto... Son un postre ideal para cerrar cualquier menú, el mío ese día estuvo formado por esta ensalada de apio para adelgazar (¡para compensar luego las calorías del postre!) y estos rollitos de pizza de hojaldre. ¿Qué te parece el menú?']",Valoración: 5 (1 voto),4 comensales,30m,Postre,Dificultad media,,"['Receta sin lactosa', 'Receta sin gluten']","['½ litro de Leche de almendras', '3 unidades de Yemas de huevo', '90 gramos de Azúcar', '110 gramos de Almendra cruda', '2 cucharadas soperas de Maicena', '1 rama de Canela', '1 pizca de Canela en polvo']",https://www.recetasgratis.net/receta-de-natillas-de-almendra-58204.html
Natillas caseras sin lactosa,"Estas natillas caseras son aptas para intolerantes a la lactosa y para celíacos. Son ricas y fáciles de elaborar, un postre sin lactosa y sin gluten para disfrutar de las natillas en casa. ¡RecetasGratis.net te ayuda!","['1\nAquí tenemos los ingredientes para estas natillas sin lactosa y sin gluten. Las elaboramos con leche sin lactosa y con maicena en lugar de harina. También necesitaremos tres yemas de huevo, azúcar, la peladura de medio limón y canela.', '2\nEmpezamos a preparar estas natillas caseras rápidas. Vertemos en el vaso de la licuadora las tres yemas de huevo, el azúcar, la leche y la maicena y lo mezclamos bien.', '3\nA continuación vertemos la mezcla en una olla y la ponemos al fuego. Añadimos la peladura de medio limón y una rama de canela y lo llevamos a ebullición. Cuando hierva, bajamos el fuego a la mitad y lo dejamos cocer durante cinco minutos. La mezcla espesará ligeramente.', '4\nRetiramos la rama de canela y la piel de limón y vertemos las natillas caseras sin lactosa en recipientes individuales. Dejamos que se enfríen un poco, espolvoreamos por encima canela en polvo al gusto y las reservamos en el frigorífico durante un mínimo de dos horas antes de consumir.', '5\nEste postre sin lactosa es tan fácil de elaborar que seguro que repetirás. Son unas natillas caseras que funcionan muy bien como postre en una cena con amigos. Si en casa tienes problemas de intolerancia a este azúcar, prueba también la crema catalana sin lactosa y el yogur natural sin lactosa. ¡A disfrutar!']",Valoración: 5 (1 voto),4 comensales,15m,Postre,Dificultad baja,,"['Receta sin lactosa', 'Receta sin gluten']","['½ litro de Leche sin lactosa', '1 cucharada sopera de Maicena', '3 unidades de Yemas de huevo', '½ unidad de Limón', '1 rama de Canela', '2 cucharadas soperas de Azúcar', '½ cucharadita de Canela en polvo']",https://www.recetasgratis.net/receta-de-natillas-caseras-sin-lactosa-58185.html
Chocoflan de fresa,"El pastel imposible o chocoflan es un postre mexicano que usualmente se prepara con pastel de chocolate y flan napolitano. Aunque se trata de un postre típico, siempre puedes encontrar muchas variantes en cómo prepararlo, como en la receta que te presentamos en RecetasGratis.net. Se trata de cómo hacer chocoflan o pastel imposible de fresa, una deliciosa alternativa para acompañar las tardes de café y sorprender a todos tus seres queridos con su presentación y sabor.","['1\nEl primer paso para preparar nuestro flan imposible será alistar y pesar todos los ingredientes que vamos a utilizar. Precalienta también el horno a 160ºC y prepara la bandeja del horno con agua para luego hornear la tarta al baño María. Engrasa el molde para hornear con aceite vegetal o mantequilla.\nTruco: Recuerda que el agua del baño María debe estar caliente al momento de meter a hornear, para que se haga correctamente la inversión entre el flan y el pastel.', '2\nPara el bizcocho: funde el chocolate blanco troceado y la mantequilla en el microondas. Hazlo en intervalos de quince segundos y mezcla entre cada intervalo para evitar que el chocolate se queme. Cuando esté listo debe tener una consistencia lisa y tersa.', '3\nAparte, bate los huevos con el azúcar hasta blanquear, es decir, que el azúcar se disuelva y los huevos estén claros y esponjosos.', '4\nAñade los huevos al chocolate que habíamos reservado y mezcla suavemente.', '5\nAgrega la harina y la levadura pasándolas previamente por un colador para tamizarla. Mezcla con movimientos envolventes.', '6\nAñade la esencia de fresas y unas gotitas de colorante rosa para darle más vida a nuestro postre.', '7\nVierte la mezcla sobre el molde para hornear y reserva.', '8\nPara hacer el flan únicamente tienes que mezclar todos los ingredientes en la licuadora.', '9\nUna vez que tengas la mezcla del flan viértela sobre la mezcla de bizcocho que antes hemos puesto en el molde. Si tu intención es obtener un bizcocho marmoleado, no te preocupes mucho al momento de vertir la mezcla, incluso puedes revolverla intencionalmente. En cambio si lo que prefieres es un pastel imposible perfectamente definido, que es lo se ve más usualmente, vierte el flan con cuidado sobre una cuchara para que evitar que se bata.', '10\nCubre con papel de aluminio y hornea el chocoflan de fresa a 160ºC durante una hora aproximadamente o hasta que al meter y sacar un palillo, éste salga seco. Recuerda que el tiempo de horneado dependerá de la potencia y marca de tu horno. Antes de desmoldar el chocoflan permite que se enfríe durante unos minutos en el molde.', '11\nSirve el pastel imposible de fresa decorándolo con chocolate blanco picado y fresas frescas partidas. Esperamos que disfrutes de esta tradicional receta mexicana, y si tienes alguna duda, opinión o piensas que podríamos mejorarla, por favor escríbenos tus comentarios. No te despegues de RecetasGratis.net para conocer muchas más opciones de postres decorados típicos de México.']",Valoración: 5 (3 votos),8 comensales,45m,Postre,Dificultad media,,"['Recetas al horno', 'Recetas mexicanas']","['100 gramos de Chocolate blanco', '150 gramos de Mantequilla', '3 piezas de Huevo', '150 gramos de Azúcar (¾ taza)', '125 gramos de Harina', '1 cucharadita de Levadura química', '1 cucharadita de Esencia de fresa', '400 mililitros de Leche', '400 gramos de Leche condensada', '200 gramos de Queso crema', '4 piezas de Huevo', '250 gramos de Fresas', '100 gramos de Chocolate blanco picado']",https://www.recetasgratis.net/receta-de-chocoflan-de-fresa-58178.html
