title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Manzanas azucaradas en crema,,"['1\nLavar las manzanas, sacar el corazón de las manzanas, dentro de la manzana colocar 1 cucharada de azúcar, media cucharada de canela , colocar crema de leche, realizar el mismo procedimiento con el resto de manzanas ( es opcional pelar las manzanas / yo prefiero no hacerlo) , colocar las manzanas en un recipiente que este envuelto con el papel aluminio el mismo que debe cubrir parte de las manzanas, luego derretir la mantequilla y colocar 1 cucharadita sobre cada manzana y espolvorear con más azúcar y canela,,,, llevar al horno,,, por 5 minutos, todo dependerá de tu horno y de que hayas envuelto o cubierto la mayor parte de las manzanas con el aluminioDecorar Batir la leche y la crema chantilly, Cortar en trozos la frutilla o las cerezasRetirar las manzanas del horno y del aluminio, colocar en platos, alrededor de la manzana la crema y encima las frutillas o cerezas, y las hojas de mentaY espero disfruten ,,,,,']",Valoración: 5 (1 voto),,,,Dificultad baja,"['3 manzanas o más a libre elección', '5 cucharadas de azúcar', '5cucharadas de canela', '3 cucharadas de mantequilla', '1/2 litro de crema de leche', 'Papel aluminio', 'Para decorar', '1/2 litro de leche', '1 sobré de crema chantilly', 'Frutillas o cerezas a libre elección', 'Hojas de menta']",https://www.recetasgratis.net/receta-de-manzanas-azucaradas-en-crema-52188.html,,
Helado de mora con crema de leche,Hacer helados caseros es muy fácil así que deja de gastar dinero y aprende cómo preparar un helado de mora con crema de leche. Sírvelo a tu gusto y prepara un postre espectacular en tu próxima reunión familiar.,"['1\nPara hacer este helado casero puedes usar moras frescas o congeladas. Teniendo esto en cuenta, bate la fruto junto con la leche y un poco de azñucar. Ve probando la mezcla hasta que tenga el dulzor que prefieras.', '2\nPasa este mezcla a un recipiente amplio y añade la crema de leche. Mezcla con unas varillas con movimientos suaves y envolventes. Luego lleva el heleado al congelador.', '3\nSaca del congelador cada 30-4 minutos y revuelve bien el helado. Repite este proceso al menos 3 veces. Esto hará que el helado quede más cremoso.', '4\nFinalmente, sirve el helado de mora con crema de leche y acompaña con unas galletas dulces o un poco de sirope de chocolate.']","Valoración: 4,4 (5 votos)",4 comensales,30m,Postre,Dificultad baja,"['½ kilogramo de Mora', '1 libra de Leche', '½ libra de Crema de leche', 'Azucar al gusto', 'Galletas para decorar (opcional)']",https://www.recetasgratis.net/receta-de-helado-de-mora-con-crema-de-leche-52187.html,,[]
Tarta acaramelada,,"['1\nEn la licuadora colocamos la cucharada de mantequilla con la taza de azúcar y las dos tazas de leche licuamos junto con la 1/2 taza de agua luego la mezcla la metemos en la nevera solo un rato a enfriar en la misma licuadora después agregamos la vainilla la 1/2 taza de leche y los seis huevos licuamos.', '2\nOpcional, podemos echarle un poco de ron o licor dulce de nuestro gusto en un molde colocamos dos cucharadas de azúcar y llevamos a fuego lento y revolvemos de vez en cuando para que no se nos pegue hasta que se forme el caramelo después vaciamos el liquido en esa olla aparte colocamos agua a hervir en una bandeja o olla mas grande del molde esto es para hacerlo en baño de marîa metemos nuestra olla ya tapada o quesillera y bajamos el fuego y dejamos 30 hora cocinando y listo']","Valoración: 3,3 (3 votos)",,,,Dificultad baja,"['Leche condensada preparada en casa', '1 taza de azúcar', '2 de leche en polvo', '1/2 taza de agua caliente', '1 cucharada de mantequilla', '6 huevos', '1 cucharadita de vainilla', '1/2 taza de leche liquida']",https://www.recetasgratis.net/receta-de-tarta-acaramelada-52175.html,,[]
Gazpacho de melón y manzana,,"['1\nPrealistar los ingredientes.', '2\nEn un bowl adicionar la pulpa de melón y azúcar al gusto.Procesar.', '3\nAdicionar las hojas de albahaca y procesar.', '4\nAdicionar las manzanas y el zumo de un limón.', '5\nProcesar hasta que tenga esta consistencia.Llevar a la nevera o refrigerador durante una hora aproximadamente para que este frío al servir.', '6\nDecorar cada uno de los vasos con un poco de bolitas de melón que teníamos reservadas.', '7\nServir y decorar con unas hojas de albahaca encima.Disfrutar.']",,,,,,"['1 unidad de melón mediana.', '3 unidades de manzanas verdes.', '1 atado de albahaca.', 'Bolas de melón ( que se realizarón con la cuchara para melón)', 'Azúcar.', 'Limón.']",https://www.recetasgratis.net/receta-de-gazpacho-de-melon-y-manzana-52155.html,,
¡Sencillamente irresistibles!,"Si te gustan los postres con chocolate, las trufas de chocolate con cacahaute deben de ser uno de tus favoritos. Aprende con RecetasGratis a preparar unas trufas de chocolate y maní paso a paso. Una vez listas, en menos tiempo de lo que crees, las podrás comer tú solo o regalarlas a una persona especial.Si no sabes cómo hacer trufas de maní, ¡no te preocupes! Sigue leyendo los pasos que te enseñamos a continuación, apúntate los 4 ingredietes que tan solo se necesitan y verás como no podrás resistirte a su sabor una vez las pruebes por primera vez.","['1\nAlistar todos los ingredientes para hacer estas trufas de maní.', '2\nDerretir el chocolate en el microondas hasta que esté completamente disuelto.', '3\nMezclar este chocolate con el maní troceado y la crema de leche. Luego llevar la mezcla a la nevera durante 1 hora para que se endurezca un poco y podamos moldear las trufas de chocolate con cacahuate bien.', '4\nTranscurrido este tiempo, formar bolitas medianas y pasarlas por el chocolate en polvo.', '5\nLlevar a la nevera durante 2 horas y ya podrás disfrutar de las trufas de chocolate y maní. Son ideales para servir a la hora del postre luego de la cena romántica de San Valentín o para hacer un regalo especial.Prueba también estas otras recetas recomendadas como el turrón de chocolate y maní o estos bombones de chocolate y crema de cacahuete.']",,2 comensales,30m,Postre,Dificultad baja,"['100 gramos de chocolate semi amargo', '50 mililitros de leche', '20 gramos de Maní o cacahuetes', '30 gramos de chocolate en polvo dulce']",https://www.recetasgratis.net/receta-de-trufas-de-chocolate-y-mani-52139.html,,['Recetas para San Valentín']
confitura de naranja casera,,"['1\nAlistar todos los ingredientes', '2\nLavar las naranjas muy bien y sin pelarlas cortalas en rodajas finas.', '3\nCubrir estas rodajas con agua y dejarlas así durante 48 horas.', '4\nPasadas las 48 horas retirar las naranjas del agua y cocinarlas durante una hora desde agua fría', '5\nPasada la hora las retiramos del agua y preparamos un almíbar con los 200 gr de azúcar blanca y la misma cantidad de agua, agregamos las rodajas cuando el almíbar este hirviendo y cocinamos hasta que el almíbar se reduzca completamente', '6\nServir y degustar frías.']",Valoración: 5 (1 voto),,,,,"['3 naranjas', '200 gr azúcar blanca']",https://www.recetasgratis.net/receta-de-confitura-de-naranja-casera-52132.html,,
Confitura de melón,,"['1\nAlistar todos los ingredientes', '2\nPelar y cortar el melón en cubos o en bolitas.', '3\nHacer un almíbar con el azúcar y la misma cantidad de agua, dejar que llegue al punto de ebullición', '4\nCuando el almíbar este hirviendo agregar el melón que cortamos previamente, agregar unas gotas de limón, cocinar hasta que reduzca el almíbar y quede muy espeso.', '5\nServir y degustar o colocar en frasco y reservar.']",,,,,,"['1 melón', '100 gr azúcar blanca', '1 limón']",https://www.recetasgratis.net/receta-de-confitura-de-melon-52131.html,,
Turrón de Jijona fácil,"El turrón de Jijona es uno de los productos más populares de las fiestas de Navidad en España. Se trata de un turrón elaborado a base de almendras molidas, miel y azúcar, procedente de la provincia de Alicante. En RecetasGratis.net te detallamos los pasos para preparar este delicioso turrón casero, ¡no te pierdas la receta!","['1\nRealizar el alistamiento de los ingredientes para proceder a elaborar el turrón casero.', '2\nColoca en una sartén a fuego medio el azúcar y la miel, mueve un poco hasta que la mezcla sea homogénea.', '3\nBate la clara de huevo y agrégala a la mezcla anterior pero fuera del fuego, y mezcla estos hasta que desaparezcan los grumos.', '4\nColoca la sartén nuevamente al fuego hasta que espese. En este momento agregamos los ingredientes restantes dejando por último las almendras y batiendo todo el tiempo hasta que estén bien unidos los ingredientes del turrón de Jijona.', '5\nColoca la mezcla en los moldes, los cuales están recubiertos con papel parafinado. Al colocar la mezcla genera presión sobre ella y deja que repose hasta el día siguiente.', '6\nSaca el turrón de Jijona del molde y sírvelo a tu gusto, acompañado de mazapán y polvorones de limón.']","Valoración: 4,3 (8 votos)",4 comensales,30m,Postre,Dificultad media,"['50 gramos de Azúcar (¼ taza)', '100 gramos de Miel de abejas', '20 gramos de Clara de huevo', '150 gramos de Almendra molida', 'Canela molida', 'Ralladura de limón']",https://www.recetasgratis.net/receta-de-turron-de-jijona-facil-52115.html,,"['Recetas para Navidad', 'Recetas españolas']"
Flan casero de dulce de leche,,"['1\nEn una cacerola, calentamos la leche sin que llegue a hervir. Añadimos el dulce de leche y mezclamos muy bien hasta que se disuelva.', '2\nAparte en un bol, mezclamos los huevos con el azúcar y los agregamos a la leche en dos tandas, mezclando bien después de cada incorporación.', '3\nDespués vertimos esta preparación en los moldecitos acaramelados y los horneamos al baño María suave (160º), hasta que estén firmes (aprox. 30 minutos) o 45 minutos si la flanera es grande.', '4\nLos retiramos del horno, dejándolos entibiar y después los llevamos a enfriar al frigorífico. Una vez que estén bien fríos los podemos desmoldar y servir.']",Valoración: 5 (2 votos),,,,Dificultad baja,"['750 cc. de leche desnatada', '350 grs de dulce de leche', '6 huevos', '150 grs de azúcar', '8 flaneritas acarameladas o 1 grande']",https://www.recetasgratis.net/receta-de-flan-casero-de-dulce-de-leche-52094.html,,[]
Crema de yogur al natural con limón,,"['1\nPonemos en un bol los tres yogures , los 3 limones que hemos exprimido , y la leche condensada y lo batimos todo, y lo colocamos en vasos y lo ponemos todo el congelador unos 20 minutos adornaremos con trozos de fresas o palitos de chocolate y servimos', '2\nnota', '3\nSi compramos yogures naturales azucarados pondremos menos de leche condensada']",Valoración: 5 (2 votos),,,,Dificultad baja,"['3 yogures naturales griegos', '3 limones', '250 de leche condensada']",https://www.recetasgratis.net/receta-de-crema-de-yogur-al-natural-con-limon-52069.html,,
