title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
"Helado de yogurt, chocolate y brownie",,"['1\nPreparación', '2\nEn un bol mezclar el yogurt con el cacao y el azúcarAgregar 100 gramos de brownie y dejar en la heladera durante tres horasUna vez listo, pasar a un recipiente, añadir el resto del brownie y llevar al freezer.¿Qué te pareció?']",,"['5 potes de yogurt natural', '5 cucharadas de cacao en polvo', '140 gr. de azúcar', '200 gr. de brownie']",https://www.recetasgratis.net/receta-de-helado-de-yogurt-chocolate-y-brownie-46089.html,,,,,,
Apple pie con masa de queso,"Hoy te traemos la receta de apple pie en español, un postre muy popular que seguro que has comida en algún restaurante de comida americana. El caso es que con esta receta fácil aprenderás cómo hacerlo tú mismo, pero se trata de la clásica tarta de manzana sino de una hecha con una base de queso que está para chuparse los dedos.El apple pie americano suele comerse calentito acompañado de algo frío, como helado o crema batida, para dar un contraste de temperatura único, lo que lo hace irresistible. ¡Seguro que ya te has animado a seguir esta estupenda receta de postre de manzana!Entonces, para conseguir esta base tan original usaremos queso crema, el relleno será el más clásico de manzana con un toque de canela y terminaremos con una mezcla de azúcar moreno con nueces... ¡imposible no querer probar esta tarta de manzana americana.Vamos entonces con la lista de ingredientes y el paso a paso de la receta de apple pie con masa de queso, hazlo y cuando lo pruebes nos cuentas qué tal ha ido... seguro que la tarta no dura mucho en la mesa.","['1\nPara hacer nuestra tarta de manzana americana empezaremos haciendo la masa base, para ello, procesamos todos los ingredientes secos junto con la manteca y el queso crema. El resultado debe ser una mezcla arenosa.Recuerda que siempre es recomendable tamizar la harina junto con el polvo de hornear, de esta formar conseguiremos una masa más fina y sin grumos.', '2\nA continuación, continuamos mezclando y entonces vamos añadiendo tanta agua como sea necesaria. La masa debe quedar suave y elástica, para nada pegajosa.Cuando ya la tengas en su punto, pasamos a estirarla, entonces forramos un molde para tartas y reservamos en la nevera durante 15 minutos. Procura cubrir toda la superficie y los bordes del molde, uno de unos 26 centímetros.', '3\nPasado este tiempo, retiramos de la nevera, cubrimos con papel aluminio y cocinamos en el horno por 15 minutos a fuego medio fuerte. Retirar y reservar. Esta masa de queso le dará un toque especia a nuestra receta de apple pie, pero si quieres hacer el postre más tradicional siempre puedes seguir la receta de masa quebrada.', '4\nPara hacer el relleno, empezamos por pelar y cortar las manzanas en gajos finos. Cuando lo tengamos, se rocían con limón y se mezclan con el resto de ingredientes de la lista. Reservar.', '5\nPara hacer la cubierta de nuestra tarta de manzana, simplemente tenemos que mezclar todos los ingredientes hasta conseguir una mezcla arenosa.', '6\nYa que tenemos todo a punto, pasamos al armado de nuestro apple pie con masa de queso. Recupera el molde con la base de masa, vuelva la mezcla de manzanas y culmina espolvoreando la mezcla de la cubierta por encima.Cocina la tarta de manzana a fuego moderado durante unos 30 minutos o hasta que veas que se dora un poco la superficie.', '7\nEste apple pie americano se puede servir un poco caliente y bañar con un poco de dulce de leche y una bola de helado de vainilla, ¡una verdadera delicia!']",Valoración: 5 (3 votos),"['1½ tazas de Harina de trigo (210 gramos)', '1 cucharadita de Polvo de hornear', '2 cucharadas soperas de Azúcar', '125 gramos de Manteca', '½ taza de Queso crema', '¼ taza de Agua (60 mililitros)', '4 Manzanas', '1 cucharada sopera de Jugo de limón', '1 cucharada sopera de Harina de trigo', '⅓ taza de Azúcar (66 gramos)', '1 cucharadita de Canela', '⅓ taza de Azúcar moreno', '⅓ taza de Harina de trigo', '½ taza de Nueces picadas', '60 gramos de Manteca']",https://www.recetasgratis.net/receta-de-apple-pie-con-masa-de-queso-46086.html,8 comensales,45m,Postre,Dificultad media,,['Recetas al horno']
Huellitas de frambuesa y nuez,,"['1\ncalienta el horno a 180c. mezcle la harina,1/4 de taza de nueces,la canela,las especies mixtas y sal en']",,"['2 tazas de harina de trigo', '1 taza de piezas de nuezes finamente picadas', '1/2 cucharadita de canela molida', '1/4 de de cucharadita de especies mixtas molidas', '1/cucharadita de sal', 'taza(2 barras)de mantequilla suavizada', '1/2 taza de azucar morena', '2 cucharaditas de vainilla', '1/4 de taza de mermelada de frambueza sin semillas']",https://www.recetasgratis.net/receta-de-huellitas-de-frambuesa-y-nuez-45995.html,,,,Dificultad baja,,[]
queque de manjar dulce,,"['1\nBatir la mantequilla,los huevos uno a uno,manjar y azucar hasta que quede una pasta cremosa. agregar la vainilla,batir hasta incorporar todo,agregar los huevos uno a uno ,batiendo bien entre medio hasta unir bien.agregar la harina,polvos de hornear,sal y canela,batir bien.verter en un molde emantiquellado y hornear por 40 min. o hasta que con un palito untar al centro del queque y salga sequito .', '2\nsacar y dejar enfriar en el molde y cuando este frio desmoldar y por ultimo empolvorear con azucar flor .', '3\nesopero les guste ...!!']",Valoración: 5 (1 voto),"['180 gramos de Mantequilla a temp. ambiente', '½ taza de Manjar o dulce de leche', '1 taza de Azucar (200 gramos)', '3 unidades de Huevos', '2 cucharadas soperas de Esencia de vainilla', '1½ tazas de Harina (210 gramos)', '1 cucharada sopera de Polvos de hornear', '1 cucharada sopera de Canela en polvo', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-queque-de-manjar-dulce-45974.html,,,,Dificultad media,,[]
Kuchen de quesillo fácil,"El kuchen es un postre chileno de origen alemán. Aunque la mayoría de las veces se prepara con frutas, como duraznos o manzanas, también se elaboran con quesillo, como en este caso. RecetasGratis.net te lleva de la mano para hacer un kuchen de quesillo fácil, así que sigue leyendo y reúne todos los ingredientes para probarlo.","['1\nPara preparar el kugen de quesillo, primero reunimos todos los ingredientes y precalentamos el horno a 180 °C.', '2\nPara hacer la base del kuchen, vamos a cernir la harina con los polvos de hornear.', '3\nEn un bol vamos a batir la mantequilla hasta que adquiera una textura cremosa y, enseguida, agregamos las yemas y seguimos batiendo.', '4\nUna vez que estén bien integrados los ingredientes anteriores, vamos a agregar la harina poco a poco y mezclamos.', '5\nAhora juntamos la masa amasando con las manos, hacemos una bola, la envolvemos en un papel film y dejamos que repose por 30 minutos en el refrigerador. Posteriormente, enharinamos una mesa y, con la ayuda de un rodillo, extendemos la masa para continuar con la receta de kuchen de quesillo.', '6\nEn un molde desmontable colocamos la masa extendida y acomodamos las orillas recortando excedentes. Picamos con un tenedor la masa y la llevamos al horno previamente precalentado a 180 °C por 10 minutos.', '7\nPara el relleno del kuchen de quesillo separamos las claras de las yemas. Las claras se baten a punto de turrón y se dejan aparte.', '8\nEn un procesador batimos las yemas, el azúcar, el quesillo y la crema. En otros países la crema de leche es conocida como crema de vaca o nata para montar.\nTruco: Podemos sustituir la crema por yogur.', '9\nVertemos la mezcla sobre la base de kuchen ya horneada, agregamos las pasitas y volvemos a colocarlo en el horno por 30 minutos.', '10\nSe deja enfriar el kuchen de quesillo, desmoldamos y servimos. ¡Verás que se trata de un postre chileno realmente exquisito! Si te ha gustado, déjame tu comentario con tu opinión.']","Valoración: 4,7 (6 votos)","['1 taza de Harina (140 gramos)', '100 gramos de Mantequilla', '2 Yemas de huevo', '1 cucharada postre de Polvos de hornear', '3 Huevos', '125 gramos de Azúcar', '125 gramos de Crema de leche', '400 gramos de Quesillo', '100 gramos de Pasas']",https://www.recetasgratis.net/receta-de-kuchen-de-quesillo-facil-45975.html,12 comensales,1h 30m,Postre,Dificultad media,,"['Recetas al horno', 'Recetas chilenas']"
Turrón salteño,,"['1\nPara la masa, batir en un bol las yemas con la manteca o grasa derretida. Añadir el alcohol o coñac y batir. Incorporar luego la harina tamizada junto con el polvo para hornear.', '2\nTrabajar la masa con las manos hasta que la masa haga globos. Dejar descansar la masa 10 minutos.', '3\nCortar la masa en cuatro y estirar cada masa con un palo de amasar hasta lograr una masa bien finita. Pinchar los discos de masa con un tenedor y cocinar en horno bien caliente 3-4 minutos.', '4\nPara el relleno, mezclar en una cacerola la miel con el azúcar y llevar a fuego medio hasta que hierva. Retirar del fuego.', '5\nAparte, batir en un recipiente las claras a punto de nieve e incorporar de a poco el almíbar hirviendo (preparado en el paso anterior), hasta lograr el dulce.', '6\nDisponer los discos de masa en una fuente o bandeja, rellenar con el dulce preparado en los pasos anteriores. Intercalar el relleno con las capas de masa.']","Valoración: 4,3 (4 votos)","['200 gramos de harina 0000', '1 cda. de manteca o grasa vacuna', '3 cditas. de polvo de hornear', '2 cdas. soperas de azúcar', '6 yemas', '1 y 1/2 cda. de alcohol o coñac', '1 pizca de sal', '1 taza de miel de caña', '250 gramos de azúcar', '6 claras de huevo']",https://www.recetasgratis.net/receta-de-turron-salteno-45947.html,,,,Dificultad media,,
PLATANOS AL KIRSCH,,"['1\nPonemos un poco de mantequilla en una sartén.Partimos los plátanos en dos a lo largo y los dejamos que se vallan friendo en la mantequilla.Cuando estén dorados les añadimos azúcar y que se caramelice.Despues añadir el KIRSCH y prenderle fuego.Lo puedes servir con helados o nata montada como este, si os puedo decir que son sencillos y exquisitos, espero que os gusten besos.Adita']",,"['Plátanos', 'Mantequilla', 'Azúcar', 'Kirsch (licor de cerezas)']",https://www.recetasgratis.net/receta-de-platanos-al-kirsch-45883.html,,,,Dificultad baja,,[]
Torta de alfajor,"Imagen: Palasypalotes.com.uy


Si te gusta el dulce de leche este postre es para ti sin duda. Aprende cómo hacer una torta de alfajores, una receta fácil clásica de Uruguay, donde se combinan dos ingredientes únicos: las galletas tipo alfajor y el ya mencionado, dulce de leche.","['1\nPoner en un bol los huevos, yemas y la manteca derretida. A continuación, mezclar con la ayuda de una batidora eléctrica e ir añadiendo harina hasta formar una masa de consistencia firme. Puede que la cantidad de harina no sea exacta y necesites usar un poquito más o menos para alcanzar la textura deseada.', '2\nAmasa y golpe la masa sobre una superficie plana. Luego forma una bola y envuélvelo con un trapo para conservar en la nevera, al menos unas 3 horas. Mejor si lo dejas de un día para otro.', '3\nPasado el tiempo de reposo, separar la masa en trozos y estira hasta obtener una masa fina. Luego corta las piezas que formarán la trata de alfajor. El tamaño depende del tamaño que quieras las tartas.', '4\nPincha cada pieza de maza con un tenedor y colócalas en una bandeja para horno forrada con papel especial. Cocina por unos 90 minutos a 180º - 200º C. por cada uno de los lados. Tienen que quedar ligeramente dorados y bien secos.\nTruco: Los discos se pueden congelar hasta por 6 meses', '5\nCon los disco de alfajor ya listos, el siguiente paso es untar con el dulce de leche diluido ligeramente con el café. Puedes sustituir el café por ron, coñac o lo que prefieras.', '6\nPara la decoración final se debe hacer el merengue. Para ello, mezcla las claras de huevo con el azúcar hasta que ésta se disuelva por completo. Luego, usa la batidora hasta obtener un merengue blanco y firme. Decorar con puntero rizado.', '7\nYa sólo queda disfrutar de la deliciosa torta de alfajor y recuerda que, si prefieres, se pueden hacer porciones individuales. Para ello, haz las tartas con tres discos de alfajor, de unos 4 cm de diámetro, con dulce de leche y baña con una cobertura de chocolate.']",Valoración: 5 (3 votos),"['4 unidades de Huevo', '5 unidades de Yema de huevo', '50 gramos de Manteca', '500 gramos de Harina (aproximadamente)', '1 kilogramo de Dulce de leche', '2 cucharadas soperas de Cafe', '5 unidades de Clara de huevo', '1½ tazas de Azúcar (300 gramos)']",https://www.recetasgratis.net/receta-de-torta-de-alfajor-45865.html,6 comensales,30m,Postre,Dificultad media,,"['Recetas para Semana Santa', 'Recetas al horno']"
Karlota de limón,,"['1\nFacilísimo:', '2\n1.- se licúa el jugo de limón con la leche condensa, por unos tres minutos.2.- en un molde mediano de preferencia cuadrado. Se pone una base de galletas María que cubran el molde, se agrega una porción de la mezcla que cubran la primera capa de galletas.3.- se continúa con otra capa de galletas y así sucesivamente, hasta terminar con mezcla para que quede arriba como betún.4.- se adorna con las cejas verdes en almíbar a su gusto.5.- se refrigera por unas cuantas horas, no en el congelador.6.- se sirve.', '3\nEn verdad es mucho muy sencilla la receta y queda muy rica, no les recomiendo usar leche evaporada, se aguadea.']",,"['1 lata de leche condensada', 'Jugo de 8 limones ( 250 ml)', '2 tubos de galletas Marías', 'Cerezas verdes en almíbar.']",https://www.recetasgratis.net/receta-de-karlota-de-limon-45790.html,,,,Dificultad media,,[]
Helado Fino,,"['1\nSepare las claras de las yemas. Las yemas bátalas con azúcar durante unos 10 minutos; seguidamente incorpore la crema y finalmente las claras de huevo batidas a punto de nieve con dos cucharadas de azúcar.Todo esto se mezcla suavemente para evitar que se bajen las claras.En las cubetas de hielo del refrigerador úntelas con mantequilla, eche el batido y se pone a helar. Se puede servir con una salsa de chocolate caliente.']",Valoración: 5 (2 votos),"['7 cucharada(s) azúcar', '1 cucharada(s) esencia de vainilla', '400 gr crema chantilly', '3 huevo(s)']",https://www.recetasgratis.net/receta-de-helado-fino-45726.html,,,,,,
