title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Salsa rosa picante,,"['1\nMezclar un 60% de mayonesa y un 40% de ketchup, añadir unas gotas de tabasco y unas gotas de Salsa Perrins, 1/2 cucharadita de café de mostaza.']",Valoración: 3 (2 votos),"['Mayonesa', 'Ketchup', 'Salsa Perrins', 'Tabasco', 'Mostaza']",https://www.recetasgratis.net/receta-de-salsa-rosa-picante-15566.html,,,,,,
Salsa para pupusas,,"['1\nTodos los ingredientes se pasan por la licuadora hasta que quede una consistencia de puré. Puedes modificar la cantidad de agua para hacer la salsa más o menos espesa. Igualmente, recuerda que puedes agregar más o menos cebolla y chile verde, dependiendo del gusto que quieras darle a la salsa.', '2\nLuego se pone a cocer, dejándolo hervir por lo menos una media hora, hasta que tomate este bien cocido. Cuando la salsa empiece a hervir es momento de probar y corregir la sazón si es necesario. Puedes añadir caldo de pollo en polvo o vinagre si deseas.', '3\nEl resultado final es una salsa más o menos líquida. Si la salsa para pupusas salvadoreñas tiene un sabor muy ácido se puede corregir con un punto de azúcar. Y si gustan pueden añadir un poco de picante. Y si estas buscando una salsa de tomate especial puede revisar estas otras recetas:Tomate para pastaSalsa de tomate caseraTomate para albóndigas']","Valoración: 3,4 (36 votos)","['5 unidades de Tomate maduro', '½ unidad de Chile verde', '½ unidad de Cebolla', '1 cucharada sopera de Aceite de oliva', '250 mililitros de Agua', '3 dientes de Ajo', '1 pizca de Sal', '1 pizca de Orégano', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-para-pupusas-15564.html,1 comensal,45m,Desayuno,Dificultad baja,,['Recomendada para veganos']
Salsa jalapeña,Aprende a preparar una salsa ligeramente picante hecha a base de los deliciosos chiles jalapeños. Una receta muy mexicana con la que podrás acompañar cualquier tipo de platos.,"['1\nSofríe la cebolla, previamente cortada en rodajas, con un poco de mantequilla junto con los jalapeños, también cortados en rodajas hasta que ambos ingredientes se doren ligeramente.', '2\nA continuación añade la crema de leche y sazona la preparación con un poco de sal si lo consideras necesario. También añade una cucharadita de maicena disuelta en agua para dar consistencia a la salsa.', '3\nDeja cocer la salsa unos minutos hasta que reduzca un poco la preparación. Luego, tritura todo para obtener una salsa líquida y si deseas una textura más homogénea puedes pasar la salsa por un colador.', '4\nDisfruta de esta salsa jalapeña y dale sabor a tus platos de siempre, como una pechuga de pollo a la plancha, unos camarones salteados o tu comida preferida.']","Valoración: 3,8 (51 votos)","['250 gramos de Crema o nata líquida', '250 gramos de Leche entera', '50 gramos de Mantequilla', '1 unidad de Cebolla', '1 lata de Chiles jalapeños', '1 pizca de Maicena', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-salsa-jalapena-15560.html,1 comensal,15m,,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas mexicanas']"
Salsa de mango,"Esta receta de salsa de mango es muy fácil de elaborar, pero queda excelente en diferentes acompañamientos. Puedes servir esta salsa con pescado, con carne o con pastas, es decir, con infinidad de platos.Pues bien, si te preguntas cómo hacer salsa de mango, esta receta es para ti. En RecetasGratis queremos enseñarte a elaborar esta salsa de forma fácil y rápida. ¡Vamos allá!","['1\nPara empezar con la receta de salsa de mango primero debes pelar y picar la cebolla y el ajo. Coloca una sartén en el fuego y sofríe.', '2\nCuando la cebolla y el ajo esté dorado, añade trozos de mango en dados. Mezcla todos los ingredientes.', '3\nAñade azúcar para que se caramelice junto con los ingredientes anteriores. También puedes añadir vinagre.', '4\nRemueve la salsa y añade un poco de agua. Deja cocer hasta que reduzca la salsa. ¡Ya puedes servir!Señalamos que la salsa de mango con mostaza es también una receta exquisita que puedes elaborar en casa. ¿Y qué te ha parecido esta receta de salsa de mango casera? Déjanos en los comentarios tu opinión.']","Valoración: 4,2 (6 votos)","['mangos grandes', 'sal', 'vinagre', 'ajo', 'cebolla', 'aceite']",https://www.recetasgratis.net/receta-de-salsa-de-mango-15550.html,1 comensal,15m,,Dificultad muy baja,,[]
Receta Fácil y MUY PICANTE,"Existen distintas variedades de chile habanero y esta salsa mexicana puede hacerse con cualquiera de ellas. Nosotros nos hemos decantado por la más picante para preparar esta salsa de habanero, el habanero chocolate, ideal para los amantes de los sabores fuertes y el toque picante.Aunque su origen exacto se desconoce, la región conocida, precisamente, por el cultivo de chile habanero es Yucatán, estado que también dispone de su propia salsa con chile habanero y que compartiremos al final de la receta para que puedas preparar la versión que más te guste. De esta forma, te enseñaremos a elaborar una versión que incluye jitomate y otra tradicional de Yucatán. Quédate en RecetasGratis para descubrir cómo hacer salsa de habanero, una receta fácil y muy picante.","['1\nPara pelar los jitomates fácilmente, realiza un corte en cruz en cada uno de ellos e introdúcelos en agua hirviendo durante 10 minutos. Añade también a la olla los chiles habaneros. Luego, sácalos, pásalos por agua fría y retira la piel de los jitomates con cuidado.', '2\nCorta los tallos de los chiles y colócalos en el vaso de la licuadora, junto con los jitomates y el diente de ajo pelado. Vierte medio vaso del agua de la cocción de los jitomates y los chiles y licua todos los ingredientes.', '3\nSi quieres, puedes dejar la salsa de habanero casera así, agregando sal al gusto, o sumar a la receta un cuarto de cebolla picada. En caso de querer añadir este ingrediente, saltea la cebolla en una sartén con un chorro de aceite caliente y, una vez transparente, añade la salsa de chile habanero y cocina a fuego medio-bajo unos minutos.\nTruco: Si no tienes licuadora o prefieres seguir el método tradicional, puedes hacer la salsa de habanero en mortero o molcajete.', '4\n¡Ya puedes utilizar tu salsa! Ahora que sabes hacer salsa de chile habanero puedes hacer todas las modificaciones que quieras. Hay quien la prepara con jugo de naranja en lugar de jitomates, que también aportan un toque exquisito a la salsa. Esta salsa es ideal para servir con totopos caseros y frijoles negros, para condimentar todo tipo de tacos, tortas, etc. Y si lo que quieres es aprender a preparar una salsa de habanero cremosa, no te pierdas esta otra receta.']","Valoración: 3,5 (41 votos)","['3 chiles habaneros', '2 jitomates', '1 pizca de sal', '1 diente de ajo']",https://www.recetasgratis.net/receta-de-salsa-de-chile-habanero-15543.html,2 comensales,10m,,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas', 'Recetas yucatecas']"
Salsa Criolla Limeña,,"['1\nCortar las cebollas a la juliana, remojarlas en agua y sal, escurrir y dejar que sequen.', '2\nColocar las cebollas en un recipiente y sazonar, rociando el jugo del limón e incorporando el ají cortado en brunoise o en tiras y mezclar bien con los demás ingredientes. Se sirve como acompañamiento.']",Valoración: 3 (7 votos),"['2 cebollas rojas cortadas a la juliana', '2 ajíes peruanos (amarillos)', '3 limones peruanos', 'Culantro o perejil finamennte picados', 'Aceite vegetal', 'Pimienta', 'Sal']",https://www.recetasgratis.net/receta-de-salsa-criolla-limena-15534.html,,,,,,
Salsa Chumichurri,,"['1\nUtilizar si es posible un mortero o recipiente para poder mezclar y machacar bien los ingredientes.', '2\nAñadir al perijil finamente picado,el ajo molido, el aceite, el vinagre.', '3\nCondimentar con sal y pimienta al gusto.', '4\nRemover y mezclar bien todos los ingredientes.', '5\nsi es posible utilizar los ingredientes mas frescos posibles.', '6\nEl aceite de oliva el que mas sabor tiene es el extra virgen,sino pues cualquier aceite de oliva servira.', '7\nEsta sencilla y deliciosa receta es argentina 100%.', '8\nIdeal para la carne asada de las barbacoas,parrilladas,etc.', '9\nNivel de dificultad: 1. Tiempo de preparación: 10 min. Tiempo de cocción: 0.', '10\nVegetariana.']","Valoración: 3,8 (10 votos)","['100 gramos de perejil fresco picado', '3 dientes de ajo', '15 cc de aceite de oliva extra virgen', '7 cc de vinagre de vino', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-salsa-chumichurri-15533.html,,,,,,
¡Ideal para platos a la parrilla!,"Imagen: http://genialstereo.com.ve/2016/03/17/un-sabroso-picante-el-trujillano/


No te pierdas esta receta de picante trujillano típica de Venezuela con una serie de ingredientes que aportarán un toque picante pero a la vez muy rico a los platos donde quieras ponerles esta rica salsa de ají picante. Descubre el paso a paso en RecetasGratis y dale un toque especial a todas las comidas que hagas a la parrilla.","['1\nCorte finamente la ramita de cebolla, el diente de ajo, un trozo de pimentón y unas hojitas de cilantro, y colóquelo en un envase con tapa.', '2\nLuego corte en trozos los ajíes, colóquelos en el envase y mézclelos con la crema y la leche, sal, pimienta y orégano al gusto. Se puede añadir otras especias o hierbas aromáticas de su preferencia al ají picante trujillano.', '3\nDeje el picante trujillano de Venezuela macerar 3 días en la nevera y estará listo. Ideal para parrillas.\nTruco: No dejar fuera de la nevera.']","Valoración: 3,7 (47 votos)","['100 g de chilis o pepperoncinis (o cualquier tipo de ají)', '1 diente de ajo', '1 ramita de cebolla', 'Cilantro en fresco', '1 trozo de pimentón', '1/4 de litro de leche', '2 cucharadas soperas de crema de leche', 'Sal', 'Pimienta', 'Orégano']",https://www.recetasgratis.net/receta-de-picante-trujillano-15509.html,4 comensales,10m,Acompañamiento,Dificultad baja,,['Recetas venezolanas']
Mojo isleño,,"['1\nCon una máquina de moler máiz, se trituran las cebollas, los ajos, el cilantro, el perejil y los ajíes, de manera que quede una pasta gruesa.', '2\nSe mezcla con el pan rallado.', '3\nEn una cacerola no muy grande se coloca el preparado y se agrega el consomé de carne, el aceite, el vinagre, la pimienta negra, la sal y el pimentón mólido.', '4\nSe cocina a fuego fuerte durante 12 minutos o hasta que adquiera un color verde-amarillento oscuro y consistencia espesa.']",Valoración: 4 (3 votos),"['3 cebollas medianas peladas y cortadas en cuatro', '16 dientes de ajos machacados', '3 tazas de hojas de cilantro', '1 taza de hojas de perejil', '1 1/1 cucharadas de ají seco mólido', '1/4 de taza de pan duro rallado', '1 taza de consomé de carne', '1/2 taza de aceite', '1/2 taza de vinagre', '1/2 cucharadita de pimienta negra mólida', '1 cucharaditas de sal', '1 cucharada de pimentón rojo seco mólido']",https://www.recetasgratis.net/receta-de-mojo-isleno-15493.html,,,,,,
MOJO DE PEREJIL,,"['1\nHacemos un majado con los ajos, perejil, cominos y la sal gorda.', '2\nRealizado el majado añadimos el acéite y el vinagre, lo mezclamos bien y lo conservamos en le nevera.', '3\nEste mojo acompaña bien a los mariscos y a los calamares fritos.', '4\nNo tenerlo más de 3 días en la nevera.']",,"['1 cabeza de ajos', '1/2 taza de acéite', '1/2 taza de vinagre', 'Comino', 'Perejil', 'Sal gorda']",https://www.recetasgratis.net/receta-de-mojo-de-perejil-15491.html,,,,,,
