title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
salsa de chile de arbol con oregano,,"['1\nSe cocina el tomate de arbol hasta poder descascararlo.', '2\nUna vez sacado la piel se lo mete en la licuadora junto con los otros ingredientes', '3\nSe sigue aumentando el oregano deacuerdo al gusto de cada persona', '4\nLa salsa debe quedar espesa, y de un color verdoso', '5\nSirve par acompañar todo tipo de platos fuertes o picaditas']","Valoración: 3,3 (27 votos)",,,,Dificultad baja,"['3 chiles de arbol secos', '1 tomate de arbol', 'oregano', 'sal', 'pimienta', 'aceite al gusto']",https://www.recetasgratis.net/receta-de-salsa-de-chile-de-arbol-con-oregano-35752.html,,
Salsa Clara,,"['1\nEn una sartén agregue el aceite, ajos machacados con pimienta y sal hasta lograr una pasta, cebolla y tápelo a fuego lento durante 5 minutos, agregue los pimiento bien picaditos, el perejil y cilantro revuelva lentamente por 2 ó 3 minutos hasta obtener el jugo de los condimentos.', '2\nAgrgue el puré de tomate el vinagre y la azúcar con media taza de caldo, déjelo hervir a fuego lento poe 5 minutos al cabo de este tiempo añada la maizena disuelta en la otra porción del caldo y remueva hasta obtene un espesor ligero.', '3\nMantenga tapada la cacerola para conservar el aroma de la salsa,Esta receta es adecuada para pastas, complementarios de bocaditod y con picante se agrega en sopas y potajes.']",Valoración: 5 (4 votos),,,,Dificultad alta,"['1 cebolla blanca y 1/2 morada', '1 pimiento mediano verde y uno reojo igual', '2 dientes de ajo grandes', '5 pimientas dulce', '3 hojitas de cilantro fesco', '1 ramita de oreganito', '1 taza de salsa de tomate o media de pasta de tomate', '1 cucharada de vinagre', '1 cucharaditade azúcas blanca', '4 ramitas de perejil fresco', '5 cuharadas de aceite', '1 cucharaditas de', '1 taza de caldo de res o pollo']",https://www.recetasgratis.net/receta-de-salsa-clara-35696.html,,
nopales rellenos,,"['1\nPara cocer los nopales:', '2\nSe pone en media olla de agua, la sal al gusto para que se sazonen los nopales, los tres dientes de ajo y se dejan hervir hasta que que queden tiernitos no muy recocidos.', '3\nYa cocidos los nopales los vamos a sacar del agua y dejar enfriar un poco, despues los abrimos por la mitad como si fueran bolsitas, despues lo rellenamos con el jamon en trozitos y las laminas de queso.', '4\nEn un plato batimos los huevos con pimienta y sal, despues pasamos los nopales ya rellenos en el batido y lo pasamos al empanizador y asi empanizar los seis nopales y en un sarten agregar el aceite y dejar hervir para freir los nopales previamente empanizados.', '5\nY listo lo puedes bañar con una salsita encima la que mas te guste ya sea de chile o tomate.', '6\nSaensalaben riquisimos acompañados con una sopa de arroz rojo y una ensalada de tomate,lechuga,chile,cebolla y mayonesa espero les guste.']","Valoración: 4,5 (6 votos)",,,,Dificultad media,"['6 nopales enteros medianos', '3 dientes de ajo', '1/4 jamon tipo virginia', '1/4 de queso mozarela en laminas(rebanadas)', '1 paquete de empanizador', '3 huevos', 'media olla de agua', 'sal al gusto', 'aceite']",https://www.recetasgratis.net/receta-de-nopales-rellenos-35267.html,,
Salsa a la Jardinera,,"['1\nSacarle la concha a la berenjena y cortarla en pedazos pequeños y sofreírla en una sartén con un buen chorro de aceite de oliva.', '2\nEl truco consiste en dejar suficiente tiempo como para que se empiece a tostar la parte exterior de la berenjena.', '3\nTambién cortamos en pedacitos el pimentón y la cebolla y vamos agregando a la sartén junto con los dientes de ajo.', '4\nUna vez que se hayan cocinado todos los ingredientes se le agregan los tres tomates.', '5\nPreviamente pasados por tenedor, o sea que los tomates tienen que quedar desmenusados dejando algunos trozos, sin llegar hacer los tomates puré, y un medio vaso de agua.', '6\nY cocinar hasta que el agua haya secado y la salsa tome su cuerpo, sal al gusto.', '7\nSe le puede añadir una cucharada de pasta de tomate según cada gusto.', '8\nPara quienes quieran cambiar un poco el sabor se puede agregar dos pedazos de tocineta ahumada picada muy fina o también, el ½ vaso de agua compartirlo mitad con un poco de vino blanco.']","Valoración: 3,4 (25 votos)",,,,Dificultad baja,"['Una Berenjena', 'Una Cebolla', 'Un pedazo de pimentón', '2 dientes de ajo', '3 tomates pelados de lata', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-salsa-a-la-jardinera-35194.html,,
salsa sonora,,"['1\nEn un recipiente colocas el tomate en la base luego la cabeza de ajo y la cebolla chica ensima de esto se pone el tomatillo. Poniendo agua a 3/4 de la vista del tomatillo poniendose a cocer.', '2\nCuando mires que el tomatillo esta bien cocido se apaga. Dejando que se enfrie un poco luego sacas la cabeza de ajo esta nada mas. El sabor es lo que se aprovecha la puedes desechar siguiendo con nuestra preparacion colocas nuestra coccion en la licuadora con un molido a 3/4 por cada vaso de licuadora lleno una cucharada mediana de sal colocando nuestra mezcla en otro recipiente cuando se haya terminado de moler todo revolvemos asta hacer un color uniforme.', '3\nSiguiendo agarras 1/2 macito de cilantro 2 dientes de ajo crudo agregando un poco de salsa a la licuadora, este si bien molidito. Cuando ya esté se agrega a la salsa revolviendolo.', '4\nTomas 100gramos de chile pico de pajaro aa tiene que estar tatemado. Lo pones en la licuadora con media cucharadita de sal y media tasita de la mescla de la salsa cuando se forma una pasta yesta bien molidito.', '5\nSe revuelve todo y nuestra salsa esta lista.']","Valoración: 3,3 (24 votos)",,,,Dificultad alta,"['750 gramos de tomatillo', '1/2 kilo de tomate rojo', '1 cabeza de ajo', '1 cebolla chica', 'cilantro', 'sal', '100 gramos de chile pico de pajaro']",https://www.recetasgratis.net/receta-de-salsa-sonora-35001.html,,
aderezo para ensalada de lechuga,,['1\nSu preparacion es cencilla solo tiene que revolver los ingredientes y ya estalista para servir.'],"Valoración: 3,4 (28 votos)",,,,Dificultad baja,"['Una taza de yogurt blanco (el de su preferencia)', '2 cucharadas de provence salsa de hierbas finas', 'Vino jerez al gusto', '1 cucharadita de salsa inglesa', '1 cuchrada del jugo de las ceresas en almibar', 'Pimienta negra al gusto']",https://www.recetasgratis.net/receta-de-aderezo-para-ensalada-de-lechuga-34897.html,,
rajas con crema y elote,,"['1\nSE CORTAN LLOS CHILES POBLANOS EN RAJAS SE PONEN EN UNA CACEROLA CON ACEITE A QUE SE SUDEN O SE FRIANJUNTO CON EL AJO PICADOTO EN SEGUIDA.', '2\nSE AGREGA LA CEBOLLA FILETEADA CUANDO ESTE COCIDA LA CEBOLLA SE AGREGA EL ELOTE Y LOS CHAMPIÑONES Y EL CONSOME O LE SAL.', '3\nSE DEJA HERVIR POR ESPACIO DE 5 MINUTOS Y SE DIRBE SOBRE UNOS TAMALES SE ACOMPAÑA CON ARROZ O COMO ACOMPAÑAMIENTO DE ALGUN PLATILLO']","Valoración: 3,7 (64 votos)",,,,Dificultad baja,"['6 CHILES POBLANOS', '1 LATITA DE ELOTE', 'MEDIO LITRO DE CREMA', '2 CEBOLLAS CORTADAS EN MEDIAS LUNAS', 'UN AJO GRANDE', 'CHAMPIÑONES AL GUSTO', 'SAL O CONSOME']",https://www.recetasgratis.net/receta-de-rajas-con-crema-y-elote-34863.html,,
salsa a la melina,,"['1\nEscurrir las tunas y unir todos los ingredientes,mover hasta que todo quede bien unido y listo esta salsa te sacara de aprietos.', '2\nLa cantidad depende de las tunas.']",Valoración: 4 (66 votos),,,,Dificultad alta,"['6 tunas en aceite', '2 cebollas grandes picadas trozos(pequeños)', '3 dientes de ajos (grandes) cortados en trozitos', '1 (pote mediano) de mayonesa', '1 capchup', '1 cucharadita de vinagre']",https://www.recetasgratis.net/receta-de-salsa-a-la-melina-34342.html,,
coliflor con almejas,,"['1\nSe pone agua en una cazuela con sal, se introduce la coliflor, y se cuece unos 15 minutos, que quede un poco tiesita,cuando este ccocida se saca a un recipiente y se deja enfriar.', '2\nCuando este fria se separan los gajos de la coliflor, se pasan por harina y huevo y se frie en una sarten ,hasta que esten doradita , se deja en espera.', '3\nEn una paellera se pone un poquito de aceite se ponen los ajitos bien picaos,y la cebolla ,se pocha bien, se le añade 4 cucharadas de tomate.', '4\nPor ultimo las almejas se deja a fuego lento hasta que se abran las almejas.Se incorpora la coliflor y listo para comer']","Valoración: 3,4 (25 votos)",,,,Dificultad media,"['Una coliflor', '1/2 de almejas', '2 dientes de ajo', '1/2 cebollita', 'Harina', 'Huevo', 'Sal', '4 cucharadas de tomate natural']",https://www.recetasgratis.net/receta-de-coliflor-con-almejas-34331.html,,
Salsa de verdeo,,"['1\nColocar la manteca en una sarten junto con la cebolla y luego de que tome un color bien dorado se coloca la crema la dejas unos segundos y listo.', '2\nYa has preparado la mejor salsa para acompañar un rico pollo o una rica carne de vaca...']","Valoración: 3,8 (36 votos)",1 comensal,15m,,Dificultad baja,"['½ taza de Cebolla verdeo', '50 gramos de Manteca para freír', '1 bote de Crema de leche']",https://www.recetasgratis.net/receta-de-salsa-de-verdeo-34182.html,,[]
