title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Milanesas de berenjena y zapallitos,"Zapallo es como se conoce en Chile a lo que en muchas partes de Europa y América se le llama calabacín; y el zapallito es como una calabaza verde y pequeña. Teniendo esto en cuenta, ya puedes alistar todos los ingredientes para preparar unas ricas milanesas vegetales así que manos a la obra y ¡buen provecho!","['1\nPELAR LA BERENJENA Y CORTARLA EN RODAJAS FINAS PONERLES POR ENCIMA UN POCO DE SAL Y DEJAR MEDIA HORA ENJUAGAR Y SECAR PONERLAS DENTRO DE UN BOLS DONDE ESTAN TODOS LOS INGREDIENTES BIEN BATIDOS LUEGO PASARLOS UNA RODAJA POR VEZ POR EL PAN RALLADO HACER LO MISMO CON LOS ZAPALLITOS PELADOS Y CORTADOS FINOS (NO HACE FALTA CURARLOS CON SAL COMO LAS BERENJENAS) Y REPETIR EL MISMO PROCEDIMIENTO ANTERIOR ACEITAR UNA FUENTE DE HORNO,ACOMODAR BIEN LAS MILANESAS Y COCINAR EN HORNO 180o 20 MINUTOS APROXIMADAMENTE SE PUEDEN ACOMPANAR CON ROLLITOS DE FIAMBRE, PURE DE BATATAS,ETC,ETC.BUEN PROVECHO']",,4 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['BERENJENA GRANDE', '3 O 4 ZAPALLITOS', '2 HUEVOS GRANDES BATIDOS', 'PEREJIL PICADO FINO', 'SAL', 'PIMIENTA', 'AJO PICADO', 'PAN RALLADO']",https://www.recetasgratis.net/receta-de-milanesas-de-berenjena-y-zapallitos-51358.html
Tomates rellenos de carne y arroz,,"['1\nPreparamos todos los ingredientes.', '2\nVaciamos los tomate, reservando la pulpa.', '3\nPicamos todas las hortalizas.', '4\nPonemos en una cazuela el aceite a calentar, rehogamos las hortalizas y salamos.', '5\nUna vez rehogadas las hortalizas, las retiramos, las trituramos y ponemos la carne en la misma cazuela a rehogar.', '6\nYa rehogada la carne, le añadimos las hortalizas trituradas.', '7\nA continuación, le añadimos el arroz, rehogamos bien y rectificamos de sal. Si quieres realizar este arroz de forma casera puedes revisar estas recetas:Arroz con fideos crocanteArroz pilafArroz primaveraArroz con cúrcuma', '8\nRellenamos los tomates y le ponemos por encima queso rallado y tomillo.', '9\nLos metemos en el horno a 150 grados, hasta que veamos que el tomate está hecho.', '10\nSacamos y servimos. Los tomates rellenos de carne y arroz los puedes servir como aperitivo, entrante o como guarnición de plato verde como un wok de verduras o unos deliciosos espaguetis con verduras.']","Valoración: 4,6 (5 votos)",3 comensales,30m,Entrante,Dificultad baja,,['Recetas al horno'],"['3 unidades de Tomate', '1 unidad de Cebolla', '1 unidad de Pimiento verde', '¼ unidad de Pimiento rojo', '2 dientes de Ajo', '200 gramos de Arroz', '300 gramos de Carne picada', '1 pizca de Sal', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-tomates-rellenos-de-carne-y-arroz-51346.html
Salsa brava para patatas,Las patatas bravas son una tapa típica española. Servir papas acompañadas de una salsa picante sirve como un aperitivo estupendo para tus fiestas y reuniones o para comer un día que quieras algo diferente. Aprende la receta de la salsa brava madrileña y disfruta de unas buenas patatas.,"['1\nPicar muy fino la cebolla y el diente de ajo y rehogar en el aceite, a fuego lento, junto con la punta de jamón y la pimientas de cayena. La pimienta de cayena puede ser en polvo. La punta o hueso de jamón (curado) se usa para darle más sabor.\n\n\n\n\n\n\nImagen: Who Talking', '2\nCuando la cebolla esté transparente añadir el pimentón picante (fuera del fuego para que no se queme) y las hebras de azafrán, dar unas vueltas, añadir el tomate triturado, sazonar junto con la cucharadita de azúcar y dejar cocer removiendo durante 5 minutos. El azafrán no es imprescindible.', '3\nIncorporar la harina diluída en agua, mezclar bien, cubrir con agua, añadir el colorante y dejar cocer durante 15 minutos más.', '4\nAl final de la cocción echar el chorrito de vinagre, mezclar bien, sacar la punta de jamón, pasar por la batidora y pasar por el colador. Si no tienes vinagre de jerez puedes utilizar cualquier vinagre negro.', '5\nLa salsa brava para patatas se utiliza para bañar patatas cocidas o fritas, preferiblemente en pequeños trozos y con piel.']","Valoración: 4,4 (179 votos)",2 comensales,15m,Entrante,Dificultad baja,,['Recetas españolas'],"['1 unidad de Cebolla', '1 diente de Ajo', '1 vaso de Tomate natural', '1 pizca de Azafrán', '1 cucharadita de Azúcar', '¾ unidad de Pimienta de cayena', '1 rodaja de Jamón', '1 cucharadita de Pimentón picante', '1 cucharadita de Colorante', '1 cucharada sopera de Harina', '1 chorro de Vinagre de jerez', '1 chorro de Aceite de oliva', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-salsa-brava-para-patatas-17478.html
Rollito de primavera casero,Si has estado comiendo comida china y te has enamorado de los rollitos primavera o lumpias esta receta te encantará. Aprende paso a paso como hacer unas deliciosas lumpias de carne y vegetales con masa brick de forma casera. No gastes más dinero comiendo fuera y prepara ahora mismo los rollitos de primavera tradicionales.,"['1\nPreparamos los ingredientes.', '2\nPonemos en una cazuela el aceite de oliva, ponemos a rehogar la col cortada muy fina en juliana, con la zanahoria, los brotes de soja y el puerro cortado a rodajas.', '3\nUna vez está bien rehogado, le añadimos la carne picada y la salsa de soja, salamos, removemos bien y retiramos.', '4\nPonemos la masa brik encima del mármol.', '5\nRellenamos poniendo el relleno en medio de la masa y lo cerramos.', '6\nDoblamos por uno de los extremos y después por el otro extremo.', '7\nUntamos con huevo batido, para que cierre y se quede pegado.', '8\nDoblamos el otro extremo.', '9\nPonemos en una sartén el aceite a calentar y freímos.', '10\nSacamos y servimos. Puedes eliminar el exceso de aceite con papel absorbente de cocina. Te recomendamos acompañar estos deliciosos rollitos de primavera caseros con alguna vinagreta agridulce como naranja y miel, miel y maracuyá o simplemente con un poco de soja.']","Valoración: 4,7 (3 votos)",15 comensales,30m,Entrante,Dificultad baja,,['Recetas chinas'],"['1 paquete de Masa brick', '½ unidad de Col', '250 gramos de Zanahoria rallada', '1 unidad de Puerro', '2 cucharadas soperas de Salsa soja', '1 tarro de Brotes de soja', '200 gramos de Carne picada', '1 pizca de Sal', '½ vaso de Aceite de oliva']",https://www.recetasgratis.net/receta-de-rollito-de-primavera-casero-51341.html
Patatas panaderas crujientes,"Las patatas panaderas son un clásico de la cocina española. No hay restaurante o asador que no sirva sus carnes con estas patatas como guarnición y aunque son muy fáciles de hacer, su presentación, textura y sabor hacen de las patatas panaderas un elegante acompañamiento para todo tipo de platos.","['1\nAlistar todos los ingredientes.', '2\nPerlar y cortar las patatas en laminas de 1 cm, disponerlas de forma organizada en un tapete de silicona. Si no tienes un tapete de estos puedes utilizar una bandeja para horno clásica previamente engrasada.', '3\nCubrir con la cebolla cortada en plumas y el perejil finamente picado.', '4\nSalpimentar, agregar el vino y el aceite de oliva. Hornear a 180° durante 30 minutos.', '5\nSirve caliente y disfruta. Las patatas panaderas son la guarnición perfecta para cualquier tipo de platos de carne como:Butifarra con setasCostillas a la mielAlitas de pollo BBQ']",,4 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recetas al horno', 'Recetas españolas']","['5 unidades de Patatas', '½ unidad de Cebolla', '30 mililitros de Vino blanco', '5 gramos de Perejil', '10 mililitros de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-patatas-panaderas-crujientes-51337.html
Patatas rellenas con queso y bacon,"Las patatas rellenas son un plato muy común en muchas casas por su contundencia y su precio. Esta plato, laborioso, pero fácil de preparar tiene la ventaja de que se puede modificar al gusto, así que no pongas excusas y ponte manos a la obra. Aprende con este paso a paso a preparar unas patatas horneadas rellenas con queso crema y bacon perfectas para ocasión.","['1\nAlistar todos los ingredientes.', '2\nCocinar las patatas en una olla con abundante agua y sal.', '3\nCon ayuda de una cuchara pequeña, abrir una cavidad y reservar la pulpa de las patatas.', '4\nMezclar el queso crema y la pulpa reservada con cilantro finamente picado.', '5\nEn un sartén agregar la tocineta finamente picada, hasta que este tostada, reservar una parte para decorar.', '6\nAñadir la cebolla cortada en cubos pequeños, tapar y cocinar a fuego lento durante 10 minutos,salpimentar.', '7\nAgregar la cebolla y la tocineta a el puré, mezclar y rectificar sabor con sal y pimienta.', '8\nRellenar las patatas con el puré.', '9\nAl momento de servir, envolver las patatas en papel aluminio y calentar en el horno a 180°c, cubrir con la tocineta reservada.']","Valoración: 4,5 (2 votos)",4 comensales,30m,Entrante,Dificultad media,,['Recetas al horno'],"['4 unidades de Patata', '100 gramos de Bacon', '100 gramos de Queso crema', '10 gramos de Cilantro', '½ unidad de Cebolla morada', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-patatas-rellenas-con-queso-y-bacon-51309.html
Chips de plátano verde con guacamole,"El plátano verde o plátano macho es un alimento muy utilizado en la cocina suramericana. Gracias a la globalización podemos conseguir este producto en casi todo el mundo y si aún no lo has probado, esta receta fácil puede hacer que te animes a hacerlo. Aprende con RecetasGratis.net a preparar unos deliciosos chips de plátano, esta vez acompañados con guacamole, pero que te servirán para comer como si fueran unas patatas fritas.","['1\nAlistar todos los ingredientes.', '2\nCortar el plátano a lo largo con ayuda de un pela patatas o una mandolina.', '3\nFreír las laminas de plátano en aceite a temperatura media por tandas para evitar que se peguen durante 30 segundos. Agregar sal y disponer encima de papel absorbente, reservar.', '4\nTriturar el aguacate y agregar el zumo de limón, el cilantro, sal y pimienta, revolver y triturar hasta formar una mezcla homogénea.', '5\nEn un sartén sofreír la tocineta hasta que este crocante, agregar encima del guacamole acompañar con los chips de plátano.']","Valoración: 4,4 (8 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['½ unidad de Plátano verde', '1 botella de Aceite', '1 unidad de Aguacate', '1 unidad de Limón', '30 gramos de Cilantro fresco', '30 gramos de Tocineta', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-chips-de-platano-verde-con-guacamole-50989.html
Puré de patatas rústico,"Cierto que existen miles de formas de cocinar un puré de patatas ya que es uno de esos platos tradicionales donde la receta varia de casa en casa. Sin embargo, te ofrecemos una versión con la que te quedará un puré cremoso y con apariencia rústica. Anímate y sigue esta receta fácil y disfruta de un puré de patas rústico.","['1\nAlistar todos los ingredientes para empezar a preparar la receta de puré de patatas fácil y rápido..', '2\nUna vez listo todo, procedemos a lavar y cocinar las patatas con cáscara, por 25 minutos aproximadamente en abundante agua y un poco de sal.', '3\nAparte, derretimos la mantequilla con la leche, tal y como se muestra en la imagen, para obtener un puré de papas suave y sabroso.', '4\nUna vez cocinadas las patatas, escurrimos el agua y con ayuda de un tenedor las machacamos para formar el puré.', '5\nVolvemos a llevar el puré de patatas al calor, a fuego bajo. Mientras, vamos agregando poco a poco la mezcla de leche y mantequilla, y revolvemos constantemente para evitar que se pegue el puré a la olla.', '6\nPor último, agregamos la sal y la pimienta, rallamos la nuez moscada y revolvemos hasta que el puré rústico quede cremoso.', '7\nDisfruta de este exquisito y cremoso puré te patatas rústico como guarnición de cualquier tipo de carne o pescado. Nuestra selección:Hamburguesa con setasDorada a la sal']",Valoración: 5 (3 votos),4 comensales,30m,Entrante,Dificultad baja,,[],"['500 unidades de Patatas harinosas', '100 gramos de Mantequilla', '100 mililitros de Leche', '1 pizca de Nuez moscada', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-pure-de-patatas-rustico-50587.html
Thermomix: Cebollas Confitadas,,"['1\nTrocee la cebolla (en dos veces) durante 6 segundos en velocidad 3 1/2. sacar y reservar. Ponga la mariposa en las cuchillas y eche en el vaso toda la cebolla troceada junto con la mantequilla y el aceite. Programe 30 minutos a 100º en velocidad 1.', '2\nCuando termine, añada el caramelo líquido, el vino, la pimienta, las dos pastillas de caldo y el agua o jugo del asado. Programe 5 a 7 minutos a 100º en velocidad 1. Es ideal para todo tipo de carnes asadas.']",Valoración: 2 (25 votos),4 comensales,45m,,Dificultad media,,[],"['700 g de cebollas', '70 g de mantequilla', '30 g de aceite', '30 g de caramelo líquido', '200 g (2 cubiletes) de buen vino tinto', '50 g (1/2 cubilete) de agua o el jugo del asado', 'Pimienta', '2 pastillas de caldo de carne']",https://www.recetasgratis.net/receta-de-thermomix-cebollas-confitadas-30798.html
Aguacates rellenos de ceviche de gambas,"¡No hay nada más fácil y más rápido que hacer este rico plato de aguacates rellenos de ceviche de gambas! Verás que le encanta a todos tus invitados y se puede hacer en tan solo 15 minutos porque no necesitas muchos ingredientes para conseguirlo. Pero además, es una receta de ceviche de gambas en aguacate muy pero que muy original y diferente a lo que uno está acostumbrado. Porque normalmente los ceviches de marisco se sirven en una copa o platillo pequeño...¡y no sobre medio aguacate como en este caso!Sigue leyendo este paso a paso con fotos de RecetasGratis y prepara estos delicioso aguacates rellenos de ceviche en cualquier ocasión que se precien y te apetezcan.","['1\nAntes de realizar esta receta de aguacates rellenos de ceviche, el primer paso es alistar todos los ingredientes.', '2\nEn un bowl agregar las gambas cortadas por la mitad y añadir el zumo del limón, llevar a la nevera y dejar durante 10 minutos.', '3\nTranscurrido este tiempo agregar el pimiento y la cebolla cortado en plumas, el cilantro cortado finamente, mezclar muy bien y salpimentar.', '4\nCortar el aguacate en forma diagonal, retirar la pepa, agregar un poco de sal, pimienta y unas gotas de limón para añadir sabor al ceviche en aguacate y además evitar la oxidación.', '5\nFinalmente rellenar el aguacate y disfrutar. Esta receta de aguacates rellenos de ceviche de gambas se puede servir como entrada.   Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión. Te recomendamos visitar también estas recetas de aguacates rellenos:Aguacate relleno de atún sin mayonesaAguacates rellenos vegetarianosAguacates relleno de polloAguacates rellenos de quinoaAguacates rellenos de gambas']",,1 comensal,15m,Plato principal,Dificultad baja,,[],"['1 Aguacate hass', '4 Gambas peladas', '¼ Pimiento rojo', '¼ Cebolla roja', '1 Limón grande', '10 gramos de Cilantro', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-aguacates-rellenos-de-ceviche-de-gambas-52972.html
