url,title,date,ingredients,steps
https://www.recetas.com/salsa-agridulce-6fw.html,Salsa agridulce,,"100 gr. de azúcar 90 gr. de harina 80 ml de salsa de tomate 100 ml de vinagre de arroz (o vinagre blanco) 3 cucharadas de salsa de soya 1/2 litro de agua

"," Salsa agridulce

Derretir la harina en un recipiente con medio litro de agua fría.

Agregar también el vinagre, la salsa de soya y el azúcar, mezclar y transferir a una cacerola; llevar a ebullición a fuego lento y luego agregar la salsa de tomate.

Mezclar bien y retirar del fuego. Dejar enfriar antes de servir.





Ideas y variaciones:

La salsa agridulce también es ideal para acompañar verduras a la plancha, como pimientos, pero también segundos platos a base de carnes asadas."
https://www.recetas.com/arroz-cantones-rl8.html,Arroz cantonés,,"300 gr. de arroz basmati cocido al vapor Aceite 3 huevos 1 cebolleta 200 gr. de guisantes finos 1/2 loncha gruesa de jamón cocido en dados 2 cdas. de salsa de soya Sal

"," Arroz cantonés

Batir los huevos en un bol. En una sartén, calentar un poco de aceite de semillas, verter los huevos batidos y dejar que cuaje un poco.

Revolver los huevos partiéndolos en trocitos pequeños con ayuda de una cuchara de madera y reservar. Cortar la cebolleta en láminas finas y dorarla en la misma sartén en la que se cocinaron los huevos con un chorrito de aceite.

Cuando la cebolleta empiece a chisporrotear, añadir los guisantes y cocinar unos minutos. Los guisantes deben ablandarse pero permanecer firmes. Continuar la cocción añadiendo la salsa de soja y los dados de jamón, con cuidado de no tostarlos. Retirar la sartén del fuego.

Añadir el arroz basmati cocido al vapor bien desgranado y mezclar cuidadosamente todos los ingredientes.

Por último añadir los huevos revueltos y mezclar bien. Emplatar y servir."
https://www.recetas.com/pollo-chino-a-la-naranja.html,Pollo chino a la naranja,,"400 gr. de pechuga de pollo 1 cdta. de sal 2 cdas. de aceite 1 naranja (jugo + cáscara) 3 cdas. de salsa de soya 1 cdta. de pimienta 2 cdas. de azúcar moreno 1 diente de ajo 1 cda. de vinagre de arroz 100 ml de agua 1.5 cdas. de maicena 1 cdta. de jengibre rallado Semillas de sésamo para decorar

"," Pollo chino a la naranja

Cortar el pollo en trozos, ponerlo en una fuente apta para horno, sazonar con sal y aceite y cocinar a 200°C en horno de convección precalentado durante unos 15-20 minutos, removiendo de vez en cuando y comprobando que no se seque demasiado.

Mientras se cocina el pollo, preparar la salsa de naranja: mezclar en un bol el jengibre, el azúcar, la piel de naranja rallada, la guindilla y el ajo machacado. Incorporar la salsa de soya, el jugo de naranja, el agua y la maicena, mezclando bien.

Transferir la mezcla a una cacerola y llevar a hervor, revolviendo; continuar cocinando durante 3-4 minutos o hasta que espese.

Una vez que el pollo esté listo, verter sobre la salsa de naranja y remover. Servir espolvoreado con semillas de sésamo."
https://www.recetas.com/noquis-de-arroz.html,Ñoquis de arroz,,"Para la guarnición : 1 calabacín 1 zanahoria 1 cebolleta Aceite Jengibre Salsa de soya al gusto

Para los ñoquis : 120 gr. de harina de arroz 60 gr. de harina 00 120 ml de agua (aprox.)

"," Ñoquis de arroz

Poner los dos tipos de harina en un bol, mezclarlas, hacer un agujero en el centro y verter el agua tibia. Amasar absorbiendo poco a poco toda la harina hasta obtener una masa suave y homogénea.

Formar un cilindro ligeramente aplanado con la mezcla obtenida.

Colocar el cilindro alargado obtenido sobre una superficie espolvoreada con harina de arroz. Cortar en rodajas finas para obtener ñoquis oblongos.

Colocarlos gradualmente en una tabla de cortar con harina de arroz.

Limpiar el calabacín y la zanahoria. Pelar esta última y cortar ambas verduras en diagonal.

Calentar el aceite con el jengibre y la cebolleta picada en una sartén, luego añadir las verduras y saltearlas durante unos 15 minutos.

Mientras tanto, cocinar los ñoquis durante 10 minutos en una sartén con agua hirviendo con sal. Escurrirlos y llevarlos a la sartén con las verduras, condimentar con la salsa de soya, revolviendo suavemente. Agregar sal solo si es necesario y servir."
https://www.recetas.com/pak-choi-oriental.html,Pak-choi oriental,,"150 gr. de salsa tamari 30 gr. de jugo de limon 20 gr. de mirin 8 gr. de almidón de maíz 2 pak choi Bergamota o limón Azúcar Romero Aceite de oliva virgen extra Sésamo

"," Pak-choi oriental

Dividir el pak-choi por la mitad a lo largo, cortar la base y escaldar en agua hirviendo durante 2-3 minutos, manteniendo las hojas fuera del agua. Escurrirlos, engrasarlos bien con aceite y asarlos a la parrilla durante 2 minutos por lado.

Llevar a ebullición la salsa tamari con 50 gr. de agua, el jugo de limón y el mirin. Diluir la maicena con un poco de agua y añadirla a la salsa, con una cucharadita de azúcar y una pizca de ralladura de bergamota (o limón) finamente rallada. Continuar cocinando durante 1-2 minutos, revolviendo.

Tostar 3 cucharadas de semillas de sésamo en una sartén y distribuirlas sobre el pak-choi, junto con las hojas de romero. Servir la salsa por separado."
https://www.recetas.com/panqueques-chinos-de-cebolleta.html,Panqueques chinos de cebolleta,,"25 gr. de harina 70 gr. de agua a 80 grados 40 gr. de cebolleta tierna en juliana 30 gr. de mantequilla blanda Aceite de semilla Sal

"," Panqueques chinos de cebolleta

Mezclar harina, sal y agua en una superficie de madera hasta obtener una masa suave. Trabajar inicialmente con un tenedor para no quemarse con el agua que debe estar hirviendo. Continuar amasando con las manos. Deje reposar la masa durante unos 30 minutos en el frigorífico, envuelta en film transparente. Pasado este tiempo, extenderla con un rodillo hasta obtener una hoja muy fina.

Cepillar toda la superficie de la masa con la mantequilla a punto pomada y distribuir uniformemente la cebolla cortada en juliana.

Enrolle la masa sobre sí misma hasta formar un cilindro apretado. Cortar el cilindro en partes iguales de unos dos centímetros de ancho. Cerrar los lados de cada porción obtenida, cuidando de ""pellizcar"" con las manos los bordes de la masa para evitar que se salga la cebolleta.

Aplanar cada porción de masa de una de las partes previamente selladas, aplanándola para obtener discos redondos. Continuar con la cocción, que debe realizarse en una sartén bien engrasada, dorando ambos lados de los panqueques.

Con motivo del Año Nuevo chino, los panqueques se pueden envolver en papel rojo, símbolo de buena suerte, y meterlos en un sobre típico.

Servir los panqueques chinos calientes o tibios."
https://www.recetas.com/langostinos-a-la-cantonesa.html,Langostinos a la cantonesa,,"20 langostinos 2 cdas. de salsa de soja 2 tomates Chile al gusto 2 dientes de ajo Mantequilla al gusto Sal al gusto

"," Langostinos a la cantonesa

En un cazo calentar la mantequilla y sofreír los langostinos, previamente pelados, durante unos minutos de cada lado. Retirarlos del fuego.

Usar la misma sartén para dorar los dientes de ajo. Agregar el chile y los tomates cortados en rodajas finas. Sazonar con sal.

Freír unos minutos y añadir la salsa de soja. Esperar 10 minutos y verter la salsa recién preparada sobre los langostinos. Servir caliente."
https://www.recetas.com/ravioles-de-gambas-al-vapor.html,Ravioles de gambas al vapor,,"250 gr. de harina 130 ml de agua hirviendo 400 gr. de camarones pelados 1 lima 1 cebolla tierna 1 raíz de jengibre 1 cda. de aceite de sésamo Salsa de soja 1 corazón de col rizada Semillas de sésamo 1 cda. de fécula de papa

"," Ravioles de gambas al vapor

Colocar la harina en un tazón, verter el agua hirviendo y mezclar rápidamente. Tapar y dejar reposar treinta minutos.

Picar las gambas crudas con la punta de un cuchillo y sazonar con un poco de raíz de jengibre rallada, jugo de 1/2 lima, aceite de sésamo, 2 cucharadas de salsa de soja, cebolleta picada y cuatro hojas de col finamente picadas. Mezclar añadiendo también la fécula.

Estirar la masa en una hoja de unos pocos milímetros de espesor. Con una corta pasta de aproximadamente 8 cm de diámetro, obtener discos. Rellenar cada disco con una cdta. de relleno, humedecer los bordes y cerrarlos en forma de media luna.

Cubrir la canasta de cocción al vapor con hojas de col. Acomodar los ravioles en el interior (dependiendo del tamaño del vaporizador, se pueden cocinar en dos o más tandas) y colocar la canasta en la base llena de agua. Llevar a ebullición y cocinar unos 15 minutos en la cacerola sin mover la tapa hasta que la masa esté cocida."
https://www.recetas.com/salsa-agridulce-5le.html,Salsa agridulce,,"1 taza de agua 1/2 taza de azúcar 1/3 taza de vinagre blanco 1 cda. de harina 4 cdas. de salsa de tomate Guindilla (opcional)

"," Salsa agridulce

Mezclar bien los ingredientes. Si desea que la salsa agridulce quede picante, puede agregar chile en la cantidad que considere apropiada para su gusto.

Llevar la preparacion a fuego lento, hasta que la salsa alcance la consistencia adecuada: ni demasiado espesa ni demasiado líquida.

Nota: las cantidades variarán según la cantidad de salsa agridulce que necesite preparar. Lo importante es respetar las proporciones dadas."
https://www.recetas.com/col-china-pak-choi-al-horno.html,Col china (pak choi) al horno,,"2 coles chinas Sal Pimienta Aceite de oliva e.v. 30 gr. de pan rallado 25 gr. de queso rallado 1 diente de ajo 1 manojo de perejil picado

"," Col china (pak choi) al horno

Limpiar cuidadosamente la col china con agua fría para eliminar todo rastro de tierra. Escurrir y secar ligeramente con una hoja de papel absorbente.

Retirar la base con un cuchillo afilado y cortar el repollo en 4 partes a lo largo.



En un tazón, preparar el gratinado: poner el pan rallado, el queso rallado, el perejil finamente picado, un diente de ajo privado del centro, sal y pimienta. Rociar con un hilo de aceite de oliva virgen extra y mezclar todos los ingredientes hasta obtener un arenado homogéneo.

Tomar una fuente para hornear, espolvorear el fondo con una rociada de aceite de oliva virgen extra y colocar el repollo cortado, cubrir con el gratinado de manera uniforme hasta completarlo.

Hornear el repollo chino en el horno durante 8 minutos a 200 grados en modo estático y otros 3 minutos en modo parrilla para obtener una superficie crujiente.



Consejos

Se puede condimentar el gratinado agregando medio chile picante picado o una cucharada de salsa de soja, en este caso reducir la cantidad de sal.

Para un acompañamiento más light, cocinar al vapor el repollo cortado en cuartos durante 10 minutos, luego sazonar con aceite de oliva v.e. salsa de soja y una cucharadita de semillas de sésamo.

Es recomendable comer repollo chino recién horneado y no almacenarlo."
