url,title,date,ingredients,steps
https://www.recetas.com/huevos-revueltos-a-la-colombiana.html,Huevos revueltos a la colombiana,,"4 huevos 120 gr. de granos de elote cocidos 50 gr. de queso tipo caciotta 1 cebolla tierna o 1 puerro 40 gr. de plátano macho o chips de patata (opcional) Aceite de oliva virgen extra Sal

"," Huevos revueltos a la colombiana

Calentar 2 cucharadas de aceite en una sartén a fuego medio, luego agregar los elotes bien escurridos y sofreír por 3-4 minutos o hasta que comiencen a dorarse.

Romper los huevos en un bol y salarlos ligeramente, luego echarlos en la sartén junto con el maíz y, sin dejar de mezclar, dejar espesar, añadiendo al final el queso rallado.

Cortar en rodajas finas la cebolleta o el puerro y luego espolvorear los huevos aún calientes con las rodajas obtenidas, pudiendo añadir las patatas fritas o los plátanos previamente fritos (o comprados ya preparados).



Servir de inmediato, acompañándo con pan tostado o empanadillas rellenas."
https://www.recetas.com/bunuelos-colombianos.html,Buñuelos colombianos,,"2 tazas de queso semiduro 2 tazas de harina de maíz 1 cucharada de almidón de yuca (mandiocaa) 1/2 taza de leche 1 cdta. de azúcar 2 huevos 1 cda. de polvo de hornear 1 pizca de sal Aceite para freír

"," Buñuelos colombianos

En un bol, rallar el queso finamente.

Agregar los ingredientes sólidos y mezclar muy bien.

Por último, incorporar los huevo y la leche poco a poco. Se debe obtener una masa firme ni demasiado blanda ni demasiado dura. Dejar reposar durante 30 minutos

Transcurrido el tiempo, con las manos ligeramente humedecidas, forman pequeñas bolitas de tamaño parejo y freírlas en el aceite caliente a 100 grados hasta que estén doradas.

Retirarlas y dejar escurrirlos en papel absorbente. Servir inmediatamente.

Nota: El éxito al preparar los buñuelos esta en la temperatura del aceite para freírlos, no debe estar ni muy caliente, ni muy frío; para ello probar con una pequeña bolita de masa, si se hunde y tarda en levantarse, el aceite está muy frío; si por el contario, sube inmediatmente a la superficie, el aceite está muy caliente."
https://www.recetas.com/tostones-de-platanos-con-ensalada-de-aguacates.html,Tostones de plátanos con ensalada de aguacates,,"3 plátanos verdes Aceite para freír Sal y pimienta 2 aguacates cortadas en cubos 2 cdas. de cebolla picada (preferentemente roja) 1 cda. de perejil picado Gajos de 1 naranja Jugo de 1/2 naranja

"," Tostones de plátanos con ensalada de aguacates

Cortar los plátanos en rodajas de 1 cm de ancho y freírlos en aceite hasta que estén apenas dorados.

Retirar del fuego y aplastarlos con una espátula o con las manos entre dos papeles absorbentes.

Volver a freírlos hasta que estén dorados y crujientes. Retirar y dejar escurrir.

Condimentarlos con sal y pimienta y servirlos con la ensalada de aguacate.

Para preparar la ensalada, pelar las naranjas “a vivo” y separar los gajos sin dejar nada del hollejo blanco. Ponerlos en una ensaladera junto con el zumo de naranjas y la cebolla picada.

Pelar los aguacates, retirarles el carozo, pelarlos y cortarlos en cubos o dados. Agregarlos a la ensaladera y mezclar todo inmediatamente para evitar que el aguacate se oscurezca. Salpimentar, si se desea, y servir espolvoreada con el perejil picado, acompañando a los tostones de plátanos."
https://www.recetas.com/patri-suave-pollo-csalsa-de-chocolate-y-cerezas-al-marrasquino.html,Patri-suave (pollo c/salsa de chocolate y cerezas al marrasquino),,,
https://www.recetas.com/guiso-bogotano.html,Guiso bogotano,,"Ingredientes 1 kg. de carne de vaca

6 cdas. de aceite

1/2 kg. de cebollas

1 cda. de cúrcuma

1 lata de puré de tomates

1/2 taza de caldo

1/2 kg. de patatas

1/2 kg. de zanahorias

300 gr. de

1 taza de

Sal

Pimienta

Orégano

Comino

2 o 3 cdas. de 1 kg. de carne de vaca6 cdas. de aceite1/2 kg. de cebollas1 cda. de cúrcuma1 lata de puré de tomates1/2 taza de caldo1/2 kg. de patatas1/2 kg. de zanahorias300 gr. de guisantes peladas1 taza de maíz desgranadoSalPimientaOréganoComino2 o 3 cdas. de vinagre de manzana

"," Guiso bogotano Cortar la carne en tiras y freírlas por porciones, en una sartén, en el aceite bien caliente. Pasar la carne a una cacerola grande.



Pelar las cebollas, cortarlas por la mitad y luego en rodajas; agregarlas en la sartén, espolvorear con la cúrcuma y rehogar todo.



Pasar la cebolla a la cacerola y agregar en la sartén un poco de agua para disolver el fondo de cocción; añadirlo en la cacerola. Agregar el tomate licuado y el caldo, tapar y cocinar a fuego suave durante una hora.



Mientras tanto cortar las patatas y las zanahorias en juliana gruesa, agregarlas a la carne y cocinar durante 20 minutos más.



Incorporar los guisantes y el maíz desgranados y cocinar unos 5 minutos más. Salar, pimentar, añadir una pizca de azúcar, de orégano y el vinagre de manzana. Calentar un poco más y servir."
https://www.recetas.com/receta-de-Tamales-Caquetenos-9318.html,Tamales Caqueteños,,"1 kgr. de arroz parbolizado 1 lbra. de arveja verde seca 1 kgr. de pechuga de pollo 1 kgr. de cebolla larga 1 gallina despresada 20 huevos de codorniz 1 kgr. de papa negra (pastusa o sabanera) 1 lbra. de zanahoria 40 granos de pimienta negra 1 cabeza de ajo Comino al gusto 2 cubos de caldo de gallina Color, azafrán de la india o cúrcuma Aceite de cocina Sal al gusto 40 hojas de plátano soasadas Tiras delgadas de cabuya de fique 1 olla N° 40 o más grande para hervir los tamales

"," Tamales Caqueteños

Cocine las arvejas en olla a presión, con poca agua, hasta que estén semiblandas, de 20"" a 30"" y hayan consumido casi toda el agua; pase a otra vasija y deje enfriar.

En la olla a presión cocine la gallina, adobada con 1 cubo de caldo de gallina, sal, color, 3 dientes de ajo y 3 tallos de cebolla machacados y suficiente agua. Cocine los huevos de codorniz hasta que estén duros, resérvelos hasta que se enfríen.

En una olla aparte cocine la pechuga de pollo adobada de forma similar a la gallina, deje que se enfríe.

En una paila de aluminio martillado mezcle los caldo en que cocinó la gallina y el pollo, añada 2 tallos de cebolla picada, 1 cubo de caldo de gallina, 30 granos de pimienta machacada, 3 dientes de ajo machacado, comino, color y sal al gusto, coloque el fuego, cuando suelte el hervor añada las arvejas verde secas, mezcle y pruebe el sabor, si siente que le falta algún ingrediente añádale, a continuación agregue el arroz parbolizado, sin lavar, revuelva con una cuchara o espátula de palo, pruebe nuevamente el sabor, tape y deje cocinar a fuego bajo.

Entre tanto pele los huevos de codorniz y resérvelos en un cuenco, pele las zanahoria y córtelas en rodajas delgadas, desmenuce el pollo con la mano, pique el resto de la cebolla, machaque el resto de los ajos, mezcle en una cacerola con aceite y prepare un guiso condimentado con sal, el resto de la pimienta, color y comino al gusto, cuando esté el guiso retire del fuego, adicione la gallina, revuelva y reserve.

Cuando el arroz empiece a secar añada la pechuga desmenuzada, revuelva y tape de nuevo, deje cocinar hasta que esté como un arroz seco con pollo y arveja normal, apague el fuego y deje enfriar; ahora lave las papas con una esponja suave, sin pelar, córtelas en rodajas delgadas.

Para armar los tamales, tome las hojas de plátanos, cada tira larga divídala a la mitad y coloque una mitad sobre la otra en cruz sobre una superficie plana, en el centro de la cruz coloque de 4 a 5 cucharadas de arroz, encima coloque la presa de gallina con guiso, 1 huevo de codorniz, 2 rodajas de zanahoria y 2 rodajas de papa, recoja hacia arriba los bordes de la hoja de plátano, formando un atado o lío que envuelve el arroz y los otros ingredientes, apriete con la mano para formar un moño, tome la cabuya de fique y anude fuertemente, de tal manera que el tamal quede bien apretado y fuertemente amarrado, corte con un cuchillo unos 3 centímetros por encima del amarre, reserve el sobrante de las hojas.

En la olla grande haga una cama de mínimo 5 cm. con parte de los sobrantes de las hojas de plátano y vaya colocando allí los tamales armados; una vez que los haya terminado, adicione un poco de agua a la olla de tal manera que sobrepase apenas unos 2 cm. por encima de la cama de hojas de plátano, por encima de los tamales coloque otra cama de hojas de plátano, tape bien la olla, si es necesario coloque un peso sobre la tapa para conservar mejor el vapor.

Lleve al fuego y hierva por 3 horas al baño maría, revise de vez en cuando el agua, si se seca adicione otro poco, sin excederse. Pasadas las 3 horas apague el fuego y deje reposar. Sirva acompañados, de chocolate sin leche y pan de trigo salado, también puede adicionar 1 arepa de maíz blanco simple."
https://www.recetas.com/receta-de-Trifle-de-banana-y-chocolate-9174.html,Trifle de banana y chocolate,,"4 bananas4 cdas. de azúcar 8 cdas. de cacao dulceRon c/n500 cc de crema de lecheGalletitas c/n

"," Trifle de banana y chocolate

Colocar las bananas cortadas en rodajas en una sartén con azúcar. Caramelizar, agregar el ron y unas cdas de cacao dulce. Reservar

Hidratar el resto del cacao dulce en ron y formar una pasta. Batir la crema de leche con la pasta de cacao y montar.

En una copa grande o en varias pequeñas, disponer una capa de galletitas partidas en trozos grandes.

Sumar una capa de la crema de chocolate y luego las bananas caramelizadas.

Continuar con el mismo procedimiento hasta completar la copa. Luego, enfriar bien y servir."
https://www.recetas.com/receta-de-Pastelitos-de-fresas-9141.html,Pastelitos de fresas,,"230 gr. de mantequilla 230 gr. de azúcar 225 gr. de fresas 4 huevos grandes 230 gr. de harina 1 limón (cáscara y jugo)

"," Pastelitos de fresas

Precalentar el horno a 180c.

Batir la mantequilla con el azúcar hasta que este ligera y suave.

Añadir los huevos de a uno por vez y, por último, añadir la harina y la cáscara y jugo de limon más un poco de fresas.

Colocar papeles de pastel en un par de moldes de magdalenas, y llenarlos con la mezcla.

Poner las fresas sobrantes encima de los pastelitos. Hornear durante 20-25 minutos, hasta que estén dorados y hayan subido.

Sacarlos del horno y dejarlos enfriar."
https://www.recetas.com/receta-de-Aborrajados-7744.html,Aborrajados,,"2 plátanos maduros 2 huevos 2 cdas. de leche 4 cdas. de harina 1 cdita. de azúcar Queso en cubos Aceite para freír

"," Aborrajados

Pele y parta los plátanos en trozos que no sean muy grandes, fríalos en el aceite bien caliente hasta que esten ligeramente dorados. Retire del fuego escurra en una toalla de papel y aplánelos como patacones.

Forme una especie de sandwich con dos patacones y el queso en el centro, presione los bordes.

Aparte, mezcle los huevos con lal harina, adicione la leche y el azúcar, pase los sandwich por la preparación y fríalos nuevamente en aceite bien caliente."
https://www.recetas.com/receta-de-Cerdo-con-maiz-tierno-7563.html,Cerdo con maíz tierno,,"1 lb. de maíz tierno 2 lb. de carne de cerdo 1 taza de leche 2 cdas. de mantequilla Queso parmesano a gusto

"," Cerdo con maíz tierno

Cortar el cerdo en trozitos, sofreírlo en una sartén hasta que esté bien cocido.

En otra sartén, mezclar el maíz tierno con la mantequilla y dejar dorar un poco, agregar la leche y dejar cocinar hasta espesar un poco.

Incorporar la carne de cerdo y mezclar sobre fuego bajo para amalgamar los sabores.

Al momento de servir, puede agregarse un poco de queso parmesano."
