url,title,date,ingredients,steps
https://www.recetas.com/receta-de-Colada-morada-Will-8481.html,Colada morada Will,,"1 libra de mora 1 libra de frtutilla 1 babaco 1 piña 4 naranjillas Especias como son clavo de olor, canela , hispingo, anís estrellado 1/2 libra de mortiño 1 redondo de panela Hierbas aromaticas como hoja de naranja, cedrón, yerba luisa, hoja de mandarina 1 libra de harina negra

"," Colada morada Will

Poner en una recipiente a hervir las hierbas y las especies, añadir la piña en trozos pequeños y la panela; dejar hervir hasta que estén bien cocidas las piñas. Añadir entonces el babaco en trozos pequeños, luego la frutilla y continuar la cocción hasta que todo este suave y dulce,

Licuar la mora y el mortiño, pasar por un tamiz y poner el zumo en la olla de preparación. Continuar la cocción removiendo, para que no se asiente.

Poner la harina en un recipiente junto con un poco de agua, pasarlo por un colador y añadir esta mezcla a la preparación anterior, en cantidad deseada según se desee una textura liviana o más espesa."
https://www.recetas.com/receta-de-Adobo-para-sazonar-pavo-o-cerdo-5691.html,Adobo para sazonar pavo o cerdo,,"1 lt. de vinagre 1 lb. de ajo peladoSal Orégano en polvoSalsa de soyaNuez moscadaHojas de laurel1 lt. de jugo de fruta (naranja, piña, mandarina)1/2 lt. de aceite de oliva o mantequilla clarificada

"," Adobo para sazonar pavo o cerdo

Licuar todo y formar un aliño. Agregar luego 1 litro de jugo de naranja, piña o mandarina.

Dejar reposar la mezcla 1 hora en la nevera, y luego colar con la ayuda de un lienzo, estrujando bien para obtener un suero muy limpio.

Reservar el líquido obtenido en un tazón."
https://www.recetas.com/receta-de-Relleno-para-Nochebuena-y-Fin-de-ano-5692.html,Relleno para Nochebuena y Fin de año,,"Cantidades iguales de:Carne de pollo previamente cocida y desmenuzadaCarne de cerdo molidaCarne de res molidaChorizo español picado en cubitosAceitunas rellenas Nueces peladas u trituradasCiruelas pasas Cebolla picada en cuadritosPimientos picados en cuadritos1/2 cantidad de panAjo picado o machacadoPasta de tomateVino moscatel blanco o tinto o vino semisecoNuez moscada en polvo Pimienta , sal, orégano a gustoLecheAceite de achiote

"," Relleno para Nochebuena y Fin de año

Refreír la cebolla, el pimiento y el ajo en aceite de achiote y mantequilla; cuando esté un poquito dorado, adicionar las carnes y refreír hasta que estén bien cocidas. Condimentar un poco esta primera preparación.

En un bol, desmenuzar el pan y remojarlo con la leche y el vino, agregar a la cocción, cocinando a fuego lento y sin dejar de remover; ésto evitará que se pegue la mezcla.

Cuando haya espesado y la mezcla esté de color marrón oscuro, añadir las pasas, nueces, aceitunas, y la pasta de tomate; continuar la cocción y condimentar a gusto. No cocinar mas de 15 minutos después del último ingrediente adicionado."
https://www.recetas.com/receta-de-Patacones-5290.html,Patacones,,,
https://www.recetas.com/receta-de-Sazonado-de-mote-4933.html,Sazonado de mote,,"2 tazas de mote (maíz) cocido1 taza de leche 1 rama de cebolla blanca, finamente picada1 tableta de caldo concentrado4 cdas. de aceite con achiote1 cda. de culantro, finamente picadoSal y pimienta

"," Sazonado de mote

Poner un recipiente al fuego con el aceite, agregar la cebolla, el caldo concentrado, el culantro y la leche.

Dejar hervir unos 5 minutos y agregar el mote; enseguida, adicionar el huevo batido. Cuando la salsa empiece a espesar, sazonar con la sal y pimienta"
https://www.recetas.com/receta-de-Brownies-3691.html,Brownies,,," Brownies

Preparación:

Precalentar el horno a 180ºC y enmantequillar un molde apto para brownies (cuadrado o rectangular y más bien bajo)

Batir la mantequilla junto con el azúcar, luego agregar la vainilla y los huevos y seguir batiendo. Añadir el agua. Remover y agregar en 3 partes los polvos y batir hasta que quede una mezcla homogénea.



Colocar en el molde y llevar al horno por 30 minutos a 170ºC."
https://www.recetas.com/receta-de-Ensalada-Johana-3387.html,Ensalada Johana,,"5 ramas de yerbita ( culantro )

"," Ensalada Johana

Pelar el tomate, lavarlo, y luego cortarlo en cuadritos ponerlos en el recipiente para la ensalada

Lavar la cebolla cortarla en rodajas finas,luego ponerla en un plato con sal y limom por 1 minuto despues enjuagarla

Pelar en pepino de sal y cortelo en cuadritos

Mezclar la cebolla con el pepino de sal junto con el tomate , ponerle sal, aceite, y limon al gusto"
https://www.recetas.com/receta-de-Mangos-al-queso-gorgonzola-2906.html,Mangos al queso gorgonzola,,"Ingredientes 6 mangos

750 centilitros de vino blanco dulce

1 yema de huevo

150 gramos de mantequilla

300 gramos de queso gorgonzola

1 cucharada de maicena.

"," Mangos al queso gorgonzola

Cortar cada uno de los mangos por la mitad a ras del hueso, desechar éste y realizar unos cortes en la pulpa en forma de rombos bastantes profundos llegando prácticamente a la piel.



Luego, colocar en una cazuela bastante amplia con la piel en contacto con el fondo y cubrirlos con el vino, tapar parcialmente y dejar cocer a fuego medio durante 20 minutos aproximadamente.



Posteriormente, pasar la salsa de vino a un cacito, calentarla a fuego moderado y añadir la maicena, previamente diluida en un poco de agua fría, seguimos la cocción sin dejar de remover con una cuchara de madera hasta que la salsa espese.

Luego retirar del fuego y añadir la mantequilla y la yema de huevo y batir bien hasta conseguir una salsa emulsionada.

El siguiente paso es cortar el queso gorgonzola en trocitos muy pequeños, colocarlos encima de los mangos y gratinarlos muy poco, justo el tiempo necesario para que el queso empiece a ablandarse, cuando así servir los mangos inmediatamente, con la salsa en una salsera aparte."
https://www.recetas.com/receta-de-Pastel-de-pina-2909.html,Pastel de piña,,"½ vaso de leche200 gramos de harina½ vaso de aceite4 huevos yogur de piña200 gramos de azúcar4 rodajas de piña en almíbar1 sobrecito de levadura15 gramos de caramelo líquido20 gramos de mantequilla

"," Pastel de piña

Batir los huevos en un bol grande hasta que empiecen a espumar, añadir entonces la leche, el yogur y el aceite y batir bien hasta que veas que la preparación se ha homogenizado.Luego, añadeirel azúcar y mezclar nuevamente, incorporar la harina previamente mezclada con la levadura poco a poco sin dejar de batir a la preparación de los huevos.

Por otra parte, untar el fondo y las paredes de un molde para pasteles con la mantequilla y repartir un poco de caramelo por todo el molde. Colocar las rodajas de piña en el fondo y verter seguidamente la masa que preparaste.

Cocinar en el horno previamente precalentado a 180º C durante 40 minutos o hasta que veas que el pastel ya está en su punto. Retirar del horno y dejar enfriar antes de servir."
https://www.recetas.com/receta-de-Fresas-con-Leche-2873.html,Fresas con Leche,,," Fresas con Leche

Tomar 5 fresas, picarlas en trozos no muy pequeños, luego colocar 300 cc de leche fría en la licuadora. Agregarle 3 cucharadas de azúcar y unas 4 gotas de esencia de vainilla.

Nuevamente, colocar a batir por un rato hasta que se mezcle bien. Luego, colocar en una taza y añadirle frutillas."
