url,title,date,ingredients,steps
https://www.recetas.com/curry-rojo-con-gambas.html,Curry rojo con gambas,,"2 zanahorias 1 berenjena larga 1 puerro 1 chalota 2 cdtas. de pasta de curry rojo (según el gusto por el picante) 350 gr. de colas de gambas limpias 300 gr. de leche de coco 2 hojas frescas de lima (alternativamente puede ser el jugo de 1/2 lima) 2 cdas. de aceite de oliva virgen extra 1 cda. de azúcar 1 cdta. de salsa de pescado (opcional) Hojas de albahaca o cilantro para decorar

"," Curry rojo con gambas

Lavar y cortar las verduras en trozos grandes.

Calentar el aceite en un wok o sartén grande y dorar la chalota picada con la pasta de curry rojo. Agregar un poco de leche de coco y seguir revolviendo durante un minuto.

Agregar las gambas y cocinar a fuego alto, revolviendo constantemente durante un minuto.

Agregar la leche de coco restante, las verduras, las hojas de lima y cocinar a fuego lento.

Agregar el azúcar y la salsa de pescado y cocinar hasta que alcance la densidad deseada. Las verduras, sin embargo, deben permanecer firmes.

Probar y si es necesario agregar sal (la salsa de pescado es muy condimentada, obviamente si no se la usa seguramente habrá que ajustar la sal). Si se seca demasiado estirar con un poco de agua.

Poner todo en un bol grande, decorar con albahaca y servir con arroz jazmín blanco."
https://www.recetas.com/pollo-satay-3bp.html,Pollo Satay,,"Para la salsa : 50 gramos cacahuetes tostados sin sal 1-2 dientes de ajo picados 1 cda. de aceite de sésamo o de maíz 2 cdas. de salsa de soja Leche de coco al gusto 1 cdta. de cúrcuma Chile en polvo al gusto 1 cda. de jugo de lima

Para la marinada : 1 chalota grande picada 1 diente de ajo picado 1 pieza de jengibre fresco pelado y picado de 2 x 2 cm 1 cdta. de cilantro en polvo 1 cdta. de comino 2 cdas. de azúcar morena 3 cdas. de salsa de soja 3 cdas. de aceite de sésamo tostado (o de aceite de oliva) 1 cda. de salsa de pescado (opcional)

"," Pollo Satay

Colocar la carne de pollo en un tazón y agregar todos los ingredientes de la marinada, mezclar bien con las manos para darle sabor a todas las partes.

Tapar el recipiente y mantenerlo en el refrigerador por al menos dos horas, mejor si es durante toda la noche.

En el momento de la cocción, insertar la carne en brochetas largas y cocinar a la parrilla o al horno a 180 ° C durante 10-15 minutos.

Mientras se cocinan las brochetas, poner todos los ingredientes en un mixer para preparar la salsa, y mezclar hasta que quede lisa.

Ajustar la consistencia con la leche de coco para que sea más espesa o más fluida.

Servir los pinchos calientes con la salsa a temperatura ambiente.

Nota: La salsa se mantiene bien en el refrigerador durante 3-4 días si está bien cubierta; si se espesa demasiado, simplemente agregar un poco de leche de coco o agua y mezclar."
https://www.recetas.com/thai-noddles.html,Thai Noddles,,"Para la salsa satay : 120 gr. de cacahuetes tostados (preferiblemente sin sal) 1 diente de ajo 1/4 cdta. de salsa de soja 1 cda. de aceite de sésamo 1 cda. de azúcar morena 1 cda. de salsa de pescado (nam pla) 1 cdta. de jugo de lima 1/4 cdta. de pimienta de cayena 3 cdas. de agua 3 cdas. de leche de coco

"," Thai Noddles

Para la salsa satay, poner todos los ingredientes en la licuadora y licuar hasta obtener una crema espesa y homogénea. Ajustar la densidad con leche de coco. Si se usa maní salado, no usar la salsa de pescado y reducir la cantidad de salsa de soja.

Cortar la cebolla en juliana y el jengibre en tiras y cocinar durante 5 minutos en el wok con sal y aceite, luego reservar.

Cortar los otros ingredientes y, en el mismo wok, saltear la zanahoria y el pimiento primero, luego agregar el brócoli y el calabacín después de 6/7 minutos. Sazonar con sal, agregar una cucharadita de salsa de soja, incorporar las cebollas y el jengibre, bañar con el jugo de media lima y completar la cocción apagando el fuego y cubriendo con la tapa.

Cocinar los fideos (o re hidratarlos en agua), luego escurrir, saltear en el wok y agregar dos cucharadas de salsa satay para completar el condimento.

Servir los noddles (fideos) calientes con maní picado grueso y, si se desea, con cilantro fresco."
https://www.recetas.com/tom-yam-vegetariana.html,Tom Yam vegetariana,,"1 zanahoria 1 cebolla 1 diente de ajo 100 gr. de judías verdes 50 gr. de col rizada 1 calabacín Aceite de oliva v. e. Curry de coco Comino Paprika Jengibre Lentejas rojas Algas kombu 400 ml de leche de coco Sal Semillas de sésamo

"," Tom Yam vegetariana

Tom Yan vegetariana

La Tom Yam es una sopa tailandesa en la que la combinación de diferentes ingredientes proporciona un equilibrio sabores agridulces, cítricos y al mismo tiempo picantes, inesperados y deliciosos. Tradicionalmente se sirve con gambas (tom yum goong), pollo (tom yum gai), pescado (tom yum pla) o con una mezcla de mariscos. Aquí una versión vegetariana.

Cortar la zanahoria, la cebolla, el diente de ajo, las judías verdes, la col rizada y el calabacín en trozos delgados. En una sartén o wok, verter un chorrito de aceite de oliva virgen extra y agregar todos los ingredientes. Dorarlos y agregar el curry, el comino y el pimentón. Cocinar por unos minutos.

Pelar y cortar un poco de jengibre en pedazos y agregarlo a los demás ingredientes. Agregar las lentejas rojas, un poco de alga Kombu y verter agua hirviendo hasta que los ingredientes estén uniformemente cubiertos.

Una vez que la sopa se haya espesado, agregar 200 ml de leche de coco y sazonar con sal. Cubrir con la tapa, bajar el fuego y dejar hervir durante 15-20 minutos.

Justo antes del final de la cocción agregar otros 200 ml de leche de coco. Apagar el fuego y decorar con semillas de sésamo, cilantro y un chorrito de aceite."
https://www.recetas.com/calamares-ajo-y-pimienta.html,Calamares ajo y pimienta,,"1 y 1/2 cabeza de ajo 15 gr. de pimienta blanca en grano 320 gr. de calamares limpios 2 cdas. de salsa de soja dulce 1 cdta. de caldo de pollo deshidratado 2 cdtas. de azúcar Aceite

"," Calamares ajo y pimienta

Poner el ajo y la pimienta peladosen un mortero, pisar todo hasta que tener una pasta homogénea.

Calentar el aceite en una sartén, agregar el ajo y la pasta de pimienta, dorar por un minuto, agregar la salsa de soja, el azúcar y el caldo de pollo, diluír bien y saltear los calamares hasta que queden cocidos (unos pocos minutos).

Servirlos de inmediato."
https://www.recetas.com/arroz-rojo-picante-con-cerdo-y-pina.html,Arroz rojo picante con cerdo y piña,,"250 gr. de arroz rojo tailandés 80 gr. de carne de cerdo magra 2 chiles verdes picantes 2 cebollas 80 gr. de piña fresca 1 cda. de salsa de soja 2 cdas. de aceite de cacahuete

"," Arroz rojo picante con cerdo y piña

Hervir el arroz en agua hirviendo con sal (el arroz tailandés rojo tiene un tiempo bastante largo de cocción, aproximadamente 40 minutos), luego escurrir.

Mientras tanto, limpiar los chiles, quitar las semillas y picar con un cuchillo. Limpiar y picar tambièn las cebollas.

Pelar la piña, eliminando rtambièn los pedúnculos marrones de la pulpa, y cortar en cubis pequeños. Ponga a un lado. Cortar la carne de cerdo en tiras pequeñas.

Calentar en una sartén grande el aceite de cacahuete y freír la cebolla (dejar un poco a un lado para decorar) y los chiles, revolver y cocinar.

Añadir la carne de cerdo y dorar bien a fuego alto. Añadir el arroz y saltear con el resto de los ingredientes; verter la salsa de soja y agregar la piña. Mezclar bien y sazona con poca sal.

Repartir el arroz en cuencos individuales, decorar con las cebollas reservadas y servir."
https://www.recetas.com/tortilla-tailandesa.html,Tortilla tailandesa,,," Tortilla tailandesa

En una sartén con un poco de aceite freír el ajo y la cebolla, revolviendo constantemente, hasta que estén transparentes.



Añadir la carne picada de cerdo y cocinar durante unos 10 minutos. Agregar la salsa de pescado, los tomates en cubitos y el cilantro picado; mezclar y cocinar a fuego lento, hasta que la salsa espese.



Batir los huevos con sal y agregar la mitad en otra sartén caliente con aceite, para lograr una tortilla delgada; cuando está casi lista, poner en el centro la mitad del preparado de carne molida. Plegar hacia el centro los cuatro lados de manera que cubra el relleno y obtener un cuadrado que se mantendrá caliente mientras se prepara la segunda tortilla.



Servir inmediatamente, decorando con hojas de cilantro."
https://www.recetas.com/massaman-neua-curry-tailandes-de-carne.html,Massaman Neua (Curry tailandés de carne),,"800 gr. de carne magra de res en cubos 1 lata o 400 ml. de leche de coco 3 cdas. de pasta de curry 2 cdas. de salsa de pescado 1 cda. de azúcar 2 hojas de laurel 4 cdas. de pasta de tamarindo 4 semillas de cardamomo 1/2 rama de canela 400 gr. de patatas en cubos 1 cebolla , cortada en rodajas finas 50 gr. de cacahuetes , tostados y pelados

"," Massaman Neua (Curry tailandés de carne)

El Massaman Neua es un plato típico de la cocina musulmana de Tailandia; de hecho, la palabra massamán significa musulmán.



Para preparar el Massaman Neua, poner en una olla grande, un chorrito de aceite vegetal y sin esperar a que se caliente mucho añadir la pasta de curry y un chorrito de leche de coco; remover con una cuchara para desintegrar bien la pasta de curry.



Agregar los cubos de carne, mezclar todo muy bien, agregar el laurel y el agua, dar par de vueltas, tapar la olla y dejar cocinar a fuego medio durante 20 minutos.



A continuación añadir las patatas en cubos, el resto de leche de coco, el azúcar, la pasta de tamarindo, la salsa de pescado, las semillas de cardamomo, la canela, y la cebolla y cocinar tapado otrops 20 minutos o hasta que las patatas estén suaves.

Por último añadir los cacahuetes picados groseramente y cocinar, esta vez sin tapar, por otros 10 minutos. Si se desea más espeso, continuar lo cocción otros 10 minutos.

Servir con arroz al vapor.



Curiosidad: en la cultura tailandesa, es un signo de buenos modales comer primero una cucharada de arroz en reconocimiento a la importancia de este alimento."
https://www.recetas.com/receta-de-Pollo-al-curry-8020.html,Pollo al curry,,"Ingredientes 2 cebollitas de verdeo picadas

1

1 diente de ajo picado

2 cdas. de

1 pollo trozado o 4 pechugas de pollo con hueso

4 tazas de caldo de

2 mangos verdes cortados en cuadraditos

1 cda. de,

1 taza de

Sal 2 cebollitas de verdeo picadas cebolla picada1 diente de ajo picado2 cdas. de curry hot1 pollo trozado o 4 pechugas de pollo con hueso4 tazas de caldo de pollo 2 mangos verdes cortados en cuadraditos1 cda. de, jengibre fresco rallado1 taza de leche de coco Sal

"," Pollo al curry En una cacerola calentar el aceite y saltear las cebollas junto con el ajo y el curry. Dorar las presas de pollo y agregar dos tazas del caldo de pollo. Tapar y cocinar a fuego bajo 1 hora.



Retirar el pollo, dejarlo entibiar y desmecharlo. Agregarlo de nuevo a la cacerola y añadir el mango, el jengibre rallado, la leche de coco y la sal.



Cocinar 10 minutos más para que tome gusto. Servir caliente acompañado con arroz basmati o cuscús."
https://www.recetas.com/receta-de-Sopa-blanca-con-hojas-de-oro-7757.html,Sopa blanca con hojas de oro,,"Ingredientes 40 gr. de échalotes

250 gr. de champiñones blancos

30 gr. de manteca

25 cm3 de cognac

70 cm3 de oporto

1 lt. de caldo claro de pollo

500 cm3 de crema fresca

1/2 cdta. de aceite de nuez

Hojas de oro comestibles (se compran en tiendas especializadas)

"," Sopa blanca con hojas de oro



Picar los echalotes, cocinar en la manteca, incorporar los champiñones cortados en trozos y cocinar con 250 cm3 del total del caldo de pollo.



Dejar entibiar y pasar por una procesadora; luego tamizar. Condimentar. Volcar dentro de una cacerola y agregarle el resto del caldo a punto de ebullición, incorporar la crema, el oporto, el cognac y el aceite de nuez. Mezclar bien y cocinar durante 5 minutos más. Rectificar la sazón.



Servir en soperas preferentemente bancas y en el momento de llevar a la mesa, apoyar en la superficie una hoja de oro."
