title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Arepizza de mozarrella.,,"['1\n- Prealistar todos los ingredientes.', '2\n- Poner a calentar un sartén grande a fuego medio y adicionar el aceiete de girasol, una vez caliente adicionar las arepas una a una.', '3\n- Una vez este dorada por lado y lado la arepa, llevar a una lata de horno.', '4\n- Una vez la arepa este en nuestra lata de horno, distribuir de forma pareja el pure de tomate sobre la arepa y poner encima la lonja de queso mozarrella.- Espolvorearle un poco de oregano seco.', '5\n- Precalentar el horno a 180 grados centigrados e introducir la arepa durante 5 minutos o hasta que dore el queso.- Adicionarle sal y pimienta al gusto.- Servir.', '6\n- Plato terminado.']",Valoración: 4 (1 voto),"['- 4 unidades de arepa blanca de maiz.', '- 4 lonjas de queso mozarrella.', '- 1 cucharadita de oregano seco.', '- 2 cucharadas de pure de tomate.', '- 1 cucharadita de aceite de girasol.', '- sal.', '- pimienta.']",https://www.recetasgratis.net/receta-de-arepizza-de-mozarrella-47927.html,,,,,,
Dips de jamón,,"['1\n- Prealistar todos los ingredientes.', '2\n- Picar el jamon en tiras muy delgadas.', '3\n- En una taza o tazón poner el queso crema y el jamon.- Mezclar hasta que se incorporen todos los ingredientes.- Agregar sal y pimienta negra.- Servir.']","Valoración: 3,7 (6 votos)","['- 200 gramos de queso crema.', '- 3 lonjas de jamon cocido ( la marca de su preferencia).', '- sal.', '- pimienta.']",https://www.recetasgratis.net/receta-de-dips-de-jamon-47924.html,,,,,,
Dip de queso con tomillo y orégano,Los dips son muy fáciles de hacer así que si no tienes ideas y necesitas preparar cremas para untar para servir como aperitivos quédate en RecetasGratis.net y aprende cómo hacer un dip de queso con tomillo y orégano.,"['1\nPrealistar todos los ingredientes para hacer esta crema de queso saborizada.', '2\nEn una tazón poner el queso crema y adicionarle las dos especias que estamos utilizando, tomillo y orégano. Mezclar bien hasta que se incorporen estos dos ingredientes. Adicionar sal y pimienta a la preparación.', '3\nCorrige la sazón si es necesario y refrigera hasta el momento de servir. El dip de queso con tomillo y orégano es ideal para acompañar con unos crudités o galletas saladas. Y si estas organizando una reunón y necesitas más cremas para untar, te recomiendo probar el dip de bacon.']",Valoración: 4 (1 voto),"['200 gramos de Queso crema', '80 gramos de Tomillo seco', '60 gramos de Orégano seco', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-dip-de-queso-con-tomillo-y-oregano-47922.html,1 comensal,15m,Entrante,Dificultad baja,,[]
Papa gratinada con queso y pancetta.,,"['1\n- Prealistar todos los ingredientes.', '2\n- Lavar las papas y pelarlar. Se deben cortar en laminas delgadas ( que el corte quede parejo para que en el momento de la coccion sea igual)', '3\n- Poner a cocinar la papa desde agua fría hasta que esta hierva.', '4\n- Mientras la papa se esta cocinando, cortar la pancetta o tocineta en cuadros medianos.', '5\n- En un sarten mediano poner a dorar la pancetta.', '6\n- Mientras la pancetta se dora, rectificar que la papa este en el punto de coccion ideal ( ni muy blandita ni dura, que este firme). Una vez tenga este punto de coccion deseado, retirar el agua y poner la papa en una refractaria de vidrio.', '7\n- Retirar la pancetta dorada y adicionarla espolvoreada por encima de la papa, adicionarle tambien la crema de leche, sal y pimienta negra al gusto.', '8\n- Por ultimo adicionar los quesos por encima de la preparación.', '9\n- Llevar al horno a una temperatura de 180 grados durante 10 minutos o hasta que gratine el queso ( se derrita y este dorado)', '10\n- Plato terminado.']","Valoración: 4,4 (8 votos)","['- 4 unidades de papas medianas.', '- 100 ml de crema de leche.', '- 100 gramos de queso mozzarella.', '- 100 gramos de queso gruyere.', '- 80 gramos de pancetta ahumada.', '- sal.', '- pimienta.']",https://www.recetasgratis.net/receta-de-papa-gratinada-con-queso-y-pancetta-47907.html,4 comensales,45m,,Dificultad baja,,[]
Frankfurt completo,,"['1\nUntamos el pan con tomate (opcional)', '2\nPonemos una plancha a calentar, ponemos el bacon, cuando este hecho lo pondremos en el pan.', '3\nDespués fundimos el queso.', '4\nY se lo ponemos por encima del bacon', '5\nY por ultimo el frankfurt abierto por la mitad.', '6\nCuando este hecho lo ponemos encima del queso,y ya tendremos nuestro frankfurt completo.']",,"['1 Panecillo o baguette', '1 frankfurt', '3 o 4 Tiras de bacon', '2 Lonchas de queso', '1/2 Tomate']",https://www.recetasgratis.net/receta-de-frankfurt-completo-47889.html,,,,Dificultad baja,,
Dips de tomates secos,Los dips son estas deliciosas cremas o patés para untar que encontramos en fiestas y acompañadas de galletas saladas o pan tostado. Si estas buscando algo original y estas organizando los aperitivos para una reunión o un cumpleaños esta receta te interesa. Aprende a preparar una crema de tomates secos y sorprende a tus comensales con algo diferente.,"['1\nPrealistar todos los ingredientes.', '2\nPoner a hidratar los tomates secos con el aceite, el ajo finamente picado, el romero, sal y pimienta. Es ideal que se infusionen durante dos horas aproximadamente para que tome el sabor del ajo y el romero.', '3\nUna vez pasado este tiempo, cortar el tomate en tiras muy delgadas.', '4\nMezclar las tiras de tomate con el queso crema y rectificar sabor. Si esta bien de sal y pimienta.', '5\nAcompañar con cualquier tipo de snacks. Plato terminado.']",,"['300 gramos de Queso crema', '150 gramos de Tomate secos', '100 mililitros de Aceite de girasol', '1 cucharada postre de Romero', '2 dientes de Ajo', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-dips-de-tomates-secos-47866.html,1 comensal,15m,Entrante,Dificultad baja,,[]
Lomo de cerdo relleno de platano y bocadillo,,"['1\nPreparamos todos los ingredientes.', '2\nAbrir el lomo para poder rellenar.', '3\nPoner en una olla agua hirviendo, cuando el agua este hirviendo poner hojas de espinaca ( sin el tallo) y apagar el agua inmediatamente, dejar pasar un minuto máximo dos y con una cucharada o espumadera sacar las hojas y ponerlas en un bowl de agua fría para cortar la cocción.', '4\nCuando ya tenemos el lomo abierto, poner primero una base de espinaca después el puré de plátano que tenemos ya previamente hecho ( verificamos que este bien uniforme)', '5\nAñadimos lonchas de queso que son aproximadamente unas cuatro y luego agregamos los bocadillos en el centro.', '6\nProcedemos a envolver el lomo y lo aseguramos con palillos de madera para que este no se abra', '7\nEn un sarten bien caliente poner un poco de aceite vegetal y vamos a sellar el lomo ( este procedimiento se realiza para que mantenga sus jugos cuando lo metamos en el horno) la idea es dorar la carne por fuera y que quede cruda por dentro.', '8\nDebemos precalentar el horno.', '9\nUna vez sellamos, envolver el lomo en papel aluminio y meter al horno durante 15 a 20 minutos por 200 grados aproximadamente.', '10\nUna vez pasado este tiempo retirar del horno y servir se puede acompañar de puré de papa y de cualquier salsa cítrica que desee.']","Valoración: 4,4 (13 votos)","['1 Lomo de cerdo entero.', 'Puré de plátano maduro (previamente hecho)', '4 unidades de bocadillo veleño.', '500 gr de queso tajado.', '1 cucharada de sal.', '1 cucharada de aceite vegetal.', '1 espinaca grande.', '6 unidades de puré de patata listo', 'Salsa cítrica de su elección (maracuya, uchuvas, naranja, limon, etc) ya previamente hecha.']",https://www.recetasgratis.net/receta-de-lomo-de-cerdo-relleno-de-platano-y-bocadillo-47859.html,4 comensales,1h 30m,,Dificultad media,,[]
Champiñones al ajillo en vino blanco,,"['1\nCortar los champiñones en láminas', '2\nEn un sarten bien caliente poner la mantequilla, una vez derretida poner los champiñones. Adicionar el ajo, la sal y la pimienta. Dejar cocinar. Adicionar la mostaza y el vino, conservar cinco minutos y apagar el fuego.', '3\nAdicionar el queso parmesano y servir.']","Valoración: 4,6 (5 votos)","['500 gramos de champiñones', '1 cucharadita de ajo finamente picado', '1 cucharada de mantequilla', '50 ml de vino blanco', '1 cucharadita de sal', 'Pimienta negra al gusto', '2 Cucharadas de queso parmesano rallado', '1 cucharadita de mostaza']",https://www.recetasgratis.net/receta-de-champinones-al-ajillo-en-vino-blanco-47846.html,,,,Dificultad media,,
Pinchitos morunos autenticos,,"['1\nSalpimentamos la carne y le agregamos las especies y el aceite.', '2\nLo removemos todo bien y lo ponemos en nevera 1 día.', '3\nCuando lo s vayamos a hacer pondremos una sartén a calentar sin aceite, una vez esta caliente echamos los pinchitos y los vamos moviendo de vez en cuando hasta que estén bien hechos.Observaciones: Este plato se puede combinar con diferentes carnes en este caso son de pavo, pero los podemos hacer de lomo o solomillo de cerdo, pollo.']","Valoración: 2,8 (4 votos)","['500 Gramos de carne pavo', 'Aceite de girasol', 'Curri', 'Pimentón', 'Pimienta']",https://www.recetasgratis.net/receta-de-pinchitos-morunos-autenticos-47830.html,,,,Dificultad baja,,
Bocadillo de lomo con setas y pimientos del piquillo,,"['1\nPreparamos el pimiento y las setas. Mezclamos juntos aceite el perejil previamente picado.', '2\nPonemos una plancha o sartén a calentar sin aceite, mientras se calienta la plancha, cortamos el tomate en 2 y frotamos cada una de las mitades contra el pan.', '3\nUntaremos el lomo con una brocha de aceite pues si ponemos el aceite en la plancha con el calor cogerá sabor amargo.Una vez ya esta caliente pondremos el lomo y las setas lo salpimentamos, le damos la vuelta al lomo.', '4\nUna vez esta hecho lo sacamos y lo ponemos en el pan. Encima del lomo pondremos las setas y los pimientos de piquillo ajo, perejil y viandox.']","Valoración: 4,7 (6 votos)","['1 Baguete', '3 Filetes de lomo', 'Setas', 'Pimientos del piquillo', 'Aceite', 'Ajo', 'perejil', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-bocadillo-de-lomo-con-setas-y-pimientos-del-piquillo-47809.html,,,,Dificultad baja,,
