title,intro,order,votes,url,comensales,duración,para,dificultad,coste,types,ingredientes
Sándwich de atún y mayonesa,"¡Otra receta para tupper! Si tienes que preparar comida para llevar al trabajo y no sabes qué hacer, esta receta de sándwich de atún con mayonesa es perfecta. En RecetasGratis.net te enseñamos cómo preparar el relleno y cómo hacer para que te lo lleves todo y a la hora de comer, armes un sándwich espectacular.A todos nos gustan los sándwiches y aunque no lo creas, un buen bocadillo como este puede resolver la comida de un día de trabajo, o incluso la de un día de playa o pic-nic en familia. Dale play a este divertido tutorial y aprende los mejores trucos de cocina con RecetasGratis.",[],Valoración: 5 (2 votos),https://www.recetasgratis.net/video-receta-de-sandwich-de-atun-y-mayonesa-58691.html,,,,,,,
Empanadillas chinas de pescado,"Está muy bueno a mi familia le encanto.Los dim sum, conocidos también como empanadillas chinas son un aperitivo muy famoso en los restaurantes asiáticos y de comida china. Normalmente se rellenan de verdura o carne, pero en esta ocasión te explicamos cómo hacerlos de pescado con la receta de Ágata Priego.Quédate en RecetasGratis.net y aprender a preparar estas empanadillas dim sum de pescado y comparte en familia de un plato diferente y muy fácil de preparar.","['1\nLavamos, pelamos y picamos muy bien: la cebolla, el ajo, el lenguado y el tomate.', '2\nCon los ingredientes ya a punto, lo primero será hacer el relleno para las empanadillas chinas. Entonces, rehogamos la cebolla y el ajo durante unos 2 minutos. Cuando estén dorados, añadimos el lenguado y el tomate.', '3\nLe añadimos un poco de perejil y removemos bien. Lo dejamos cocer 5 minutos.', '4\nAparte, en una olla, ponemos el azúcar y la salsa de soja, mezclamos bien y lo dejamos fundir a fuego lento durante 3 minutos. Cuando el azúcar se funda nos quedará una salsa más cremosa.', '5\nCuando ya tengamos listos el relleno de pescado y la salsa, pasaremos a armar los famosos dim sum. Para ello, ponemos un poco del relleno en las obleas de arroz y las cerramos bien, marcando los bordes con un tenedor.', '6\nPonemos unas gotitas de aceite en la sartén y pasamos los dim sum con mucho cuidado para que no se rompan. Cuando las empanadillas chinas estén doradas, les añadimos un poco de agua para que se terminen de cocer. Los dejamos 3 minutos.', '7\nSobre un plato, ponemos los dim sum y cubrimos con un poco de salsa. También le podemos añadir un poco de ensalada de lechuga. ¡Y ya están los dim-sum terminados!Las empanadillas chinas de pescado son muy fáciles de hacer y si quieres, las puedes combinar con otros platos de sabor asiáticos como las famosas galletas de la suerte o la ensalada china agridulce.']",,https://www.recetasgratis.net/receta-de-empanadillas-chinas-de-pescado-56911.html,4 comensales,30m,Entrante,Dificultad media,,['Recetas chinas'],"['1 diente de Ajo', '1 Cebolla', '1 Tomate', '10 gramos de Perejil', '300 gramos de Lenguado', '16 piezas de Obleas de dim-sum (papel de arroz)', '50 mililitros de Salsa de soja', '10 gramos de Azúcar', '10 mililitros de Aceite de oliva', '2 hojas de Lechuga']"
Rollitos de pan de molde salados,"Los rollitos de pan de molde están de moda y es que son muy fáciles de hacer y además, los puedes hacer de muchos sabores. En RecetasGratis.net puedes encontrar varias recetas de estos aperitivos fáciles y rápidos, pero en esta oportunidad te lo enseñamos en vídeo para que no tengas dudas a la hora de preparar unos ricos y divertidos rollitos de pan de molde salados.Conocidos también como serpentinas de pan, estos aperitivos son ideales para fiestas y reuniones familiares. ëchale un vistazo a este tutorial y aprende con RecetasGratis.net a preparar unos canapés fríos con pan de moldes, jamón y queso.",[],,https://www.recetasgratis.net/video-receta-de-rollitos-de-pan-de-molde-salados-58662.html,,,,,,,
Mini hamburguesas de champiñones,"Otra maravillosa receta de Cocina con Luz Verde, esta vez se trata de un plato muy versátil que puedes servir como aperitivo, plato principal o incluso para la hora de la cena. Las mini hamburguesas de champiñones son perfectas para cualquier ocasión y además de ser vegetarianas, son sencillamente deliciosas... No dejes de probarlas.","['1\nLo primero que haremos para preparar estas mini hamburguesas vegetarianas será cocinar el relleno para los champiñones. Para ello, pon a hidratar la soja texturizada en agua caliente. También pica finamente el perejil, las aceitunas y el ajo.', '2\nCaliente una sartén con el aceite de oliva y rehoga lentamente el ajo. Luego añade la soja, bien escurrida, y condimenta con la pasta de tomate, vinagre, marmite y pimienta. Cocina el relleno, removiendo constantemente, hasta que se evapore todo el agua.', '3\nAparte, lava y seca muy bien los champiñones. Retira el pie y rellénalos con la preparación anterior. La idea es nivelar la superficie con el relleno para que parezca una hamburguesa. Espolvorea la superficie, del lado del relleno, con harina tamizada.', '4\nRecupera la misma sartén donde preparamos el relleno, unta con un poco más de aceite y fríe los champiñones con el relleno hacía abajo. Recuerda dejar la sartén a fuego medio y dales la vuelta a las mini hamburguesas cuando veas que el relleno se haya tostado bien y dora de lado y lado.Añade un poco de sal y pimiento por la parte contraria al relleno.', '5\nCorta el pan para hamburguesas por la mitad y caliéntalos en una sartén limpia a temperatura moderada. La idea es tostar el pan ligeramente sin que llegue a quemarse.', '6\nPara terminar de armar las mini hamburguesas vegetarianas, unta la parte inferior de los panes con un poco de salsa barbacoa y coloca un champiñon relleno encima. Cubre con la tapa de pan y coloca un palillo de madera para sujetar.', '7\nDisfruta de estas deliciosas mini hamburguesas de champiñones y sírvelas como prefieras, una por comensal si estás pensando en aperitivos o un par para una comida o cena ligera.En el blog de Cocina con Luz Verde encontrarás esta y muchas otras recetas vegetarianas y veganas que te sorprenderán. Aunque si lo quieres son más ideas de mini, puedes puedes probar las mini pizzas para niños.']",Valoración: 5 (1 voto),https://www.recetasgratis.net/receta-de-mini-hamburguesas-de-champinones-58663.html,6 comensales,30m,Entrante,Dificultad media,,['Recomendada para vegetarianos'],"['3 cucharadas soperas de Soja texturizada', '1 manojo de Perejil', '4 Aceitunas verdes', '1 diente de Ajo', '3 cucharadas soperas de Aceite de oliva', '½ cucharada postre de Pasta concentrada de tomate', '1 chorro de Vinagre balsámico', '1 cucharadita de Marmite', '1 pizca de Pimienta', '6 Champiñones grandes', '1 pizca de Sal y Pimienta', '6 Panes para mini hamburguesas', 'Salsa barbacoa', 'Harina de trigo']"
Crepes de avena salados,"En esta oportunidad, en RecetasGratis.net te enseñamos a realizar una receta fitness. Se trata de los crepes de avena salados, hechos con claras de huevo, champiñones y jamón. Este plato ligero, es una receta ideal para deportistas, perfecta para consumir en el desayuno ya que es una forma muy sana de empezar el día.La avena es un cereal que aporta un alto contenido nutricional y los ingredientes que hemos utilizado para el relleno, además de ser ligeros, le darán mucho sabor a estos crepes salados. Sigue leyendo y descubre paso a paso cómo preparar un desayuno sano ara toda la familia.","['1\nAntes de realizar esta receta fitness, el primer paso es alistar todos los ingredientes.\nTruco: Ten en cuenta que si quieres que la receta sea apta para celíacos debes comprobar que la harina de avena sea libre de gluten.', '2\nCon todo ya en la mesa, empezaremos por preparar la masa de las crepes de avena. Para ello, en una licuadora agregar la harina de avena y las claras de huevo, procesar todo muy bien.', '3\nDespués, añadir la leche de almendras, la canela en polvo y el edulcorante sin calorías. Procesar nuevamente todo hasta conseguir una masa homogénea.', '4\nContinuando con los crepes de avena fitness, en una sartén antiadherente, agregar un poco de la mezcla y esparcir muy bien hasta lograr un grosor de medio centímetro. Cocinar a fuego muy bajo durante 3 minutos, voltear y cocinar un minuto más.\nTruco: Si lo deseas, puedes añadir un poco de aceite o mantequilla en la sartén.', '5\nAparte, para hacer el relleno de las crepes, saltear los champiñones cortados en láminas en una sartén con un poco de aceite. Añadir el jamón troceado y saltear el conjunto hasta que esté todo dorado.', '6\nEs momento de agregar las claras de huevo, revolver muy bien y cocinar a fuego medio durante 3 minutos. Añadir una pizca de sal y pimienta.', '7\nFinalmente rellenar los crepes de avena salados y servir. Disfruta de este desayuno ligero acompañando con un batido de yogur y si te gustan este tipo de recetas, también puedes aprender a preparar los crepes veganos o los crepes verdes de espinacas.Si te ha gustado esta receta para deportistas, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 3 (2 votos),https://www.recetasgratis.net/receta-de-crepes-de-avena-salados-58641.html,2 comensales,30m,Desayuno,Dificultad media,,[],"['50 gramos de Harina de avena', '3 unidades de Claras de huevo', '1 sobre de Edulcorante sin calorías', '80 mililitros de Leche de almendras', '1 pizca de Canela en polvo', '4 unidades de Claras de huevo', '2 lonchas de Jamón de pavo', '100 gramos de Champiñones', '1 chorro de Aceite de granola', '1 pizca de Sal']"
Brochetas mar y tierra,"¿Quieres una receta de brochetas? pues las brochetas mar y tierra que comparte en RecetasGratis.net Fernando Díaz, son ideales para cualquier ocasión, en especial si se trata de una barbacoa con amigos.Revisa la lista de ingredientes y adáptala tus gustos, el resultado serán unas brochetas de carne y pescado llenas de color. ¡A cocinar!","['1\nEl primero paso, para empezar con las brochetas de carne y pescado, es tener los palitos con filo en una punta limpios y húmedos. Esto para colocar los ingredientes a preparar.', '2\nCortar en cubos, de unos dos centímetros, todos los ingredientes. Hacer cubos de todos y cada uno de ellos, carne, pescado y verduras. Para hacer las brochetas mar y tierra puedes usar pescado blanco o azul, como atún salmón. Si quieres incluir más verduras aparte de la cebolla, te recomendamos incluir pimientos rojos o amarillos y champiñones.', '3\nMarinar la carnes y las verduras durante media hora con jugo de limón, salsa inglesa, pimienta en polvo y sal. Dejar reposar todo ya marinado mientras prendes las brazas en el asador.Si no tienes un asador, también puedes hacer las brochetas mar y tierra a la plancha.', '4\nEnsartar los cubos de los ingredientes en los palitos de madera, procurando que quede todo centrado y acomodado, formando banderines coloridos. Arma todas las brochetas que puedas hasta acabar con los ingredientes.', '5\nCocina a fuego lento durante unos 15-20 minutos o hasta que compruebes que la carne y el pescado estén hechos. Durante la cocción, puedes ir bañando las brochetas en la marinada restante.', '6\nSirve las brochetas mar y tierra de inmediato y a disfrutar. Este tipo de brochetas de carne marinada son ideales para hacer a la parrilla o al carbón y puedes combinar con unas verduras asadas o una ensalada fresca de aguacate.']",Valoración: 4 (1 voto),https://www.recetasgratis.net/receta-de-brochetas-mar-y-tierra-58643.html,4 comensales,30m,Plato principal,Dificultad baja,,['Recomendada para perder peso'],"['500 gramos de Carne de res', '500 gramos de Filete de pescado (grueso)', '½ kilogramo de Cebolla', '1 chorro de Jugo de limòn', '1 pizca de Sal y Pimienta', '1 chorro de Salsa inglesa', 'Vegetales al gusto']"
Rollitos de hojaldre rellenos de pollo,"Rollitos de hojaldre con pollo, con solo leer este nombre ya se nos hace agua la boca. Pues es que si crees que con una lámina de hojaldre solo se pueden hacer las típicas recetas de pasteles, en RecetasGratis.net te demostramos lo contrario con una vídeo receta divertida, fácil, económica y lo mejor de todo, ¡deliciosa!Reúne todos los ingredientes, presta atención al tutorial y prepárate a disfrutar de un plato creativo y colorido. Los rollitos de hojaldre con pollo BBQ los podrás servir como aperitivo o para una tarde de picoteo. ¡A cocinar!",[],"Valoración: 4,8 (4 votos)",https://www.recetasgratis.net/video-receta-de-rollitos-de-hojaldre-rellenos-de-pollo-58597.html,,,,,,,
Sobrasada con queso brie,"¡Tenemos nueva vídeo receta! en esta oportunidad vamos a preparar un sándwich tipo bagel, ideal para desayunar con uno de mis ingredientes favoritos: la sobrasada mallorquina.Los que conocen este embutido sabrán que no hay mejor manera de combinarlo que con queso y un toque de miel y aunque en otras recetas paso a paso ya hemos dado varias opciones de presentación, en esta oportunidad hemos querido preparar sobrasada con queso brie. Échale un vistazo a este tutorial y verás como tienes listo un delicioso sándwich de queso en menos de 5 minutos, te aseguro que esta combinación de sabores de esta receta gourmet ¡despertará tu paladar!",[],Valoración: 4 (1 voto),https://www.recetasgratis.net/video-receta-de-sobrasada-con-queso-brie-58585.html,,,,,,,
Sándwich cubano,"No os imagináis lo BUENO que está este sándwich cubano. Podría aventurarme a decir que, hasta ahora, para mí es el rey de los bocadillos. Este bocadillo ha salido en algunas películas culinarias y, aunque cuenta con una gran cantidad de ingredientes (para ser un bocadillo), merece la pena prepararlo y ¡comerlo!Este peso pesado de los bocadillos de lomo va a dejar con la boca abierta a todos vuestros invitados y sobre todo, va a hacer que queráis comerlo cada semana. Seguid en RecetasGratis.net el paso a paso para elaborar este espectacular sándwich cubano.","['1\nReunimos todos los ingredientes para elaborar el sándwich cubano. La duración de la receta depende del tipo de pieza de carne que elijáis. Nosotros hemos macerado los filetes de cabezada durante 2 horas, pero si utilizáis una pieza entera, es necesario que macere durante al menos 12 horas para que tome todos los aromas.', '2\nPara hacer el marinado, en un bol o plato hondo mezclamos el zumo de una naranja, el zumo de un limón, las ralladuras de naranja y limón, los ajos fileteados, la sal y las especias. Añadimos el cilantro fresco picado y la hierbabuena o menta fresca picada.', '3\nAgregamos los filetes de carne de cerdo y los dejamos macerar durante 2-3 horas tapándolos con papel transparente.', '4\nPasado el tiempo de maceración procedemos a montar el sándwich cubano: untamos el pan con mostaza.', '5\nAl mismo tiempo, sacamos la carne del adobo, la escurrimos y la cocinamos en una sartén con un poco de aceite de oliva hasta que esté dorada.', '6\nAñadimos la carne al sándwich cubano, seguida de los pepinillos en vinagre. Para este sándwich hemos usado los pepinillos grandes que veis en la imagen, que tienen un toque dulce.', '7\nA continuación agregamos el jamón dulce y el queso. Cerramos con la otra rebanada y untamos las partes externas del pan con mantequilla.', '8\nPasamos el bocadillo de lomo por la plancha o por la sartén a fuego medio hasta que se dore por ambos lados. Podemos presionar para que quede tostadito y se funda el queso.', '9\nSi aún no estáis 100% convencidos de que este sándwich cubano es fuera de serie, ¡tenéis que probarlo! Si os apetece degustar otros bocadillos originales probad el bocadillo San Francisco o el sándwich de ternera y queso. ¡Esperamos que disfrutéis!']",Valoración: 5 (5 votos),https://www.recetasgratis.net/receta-de-sandwich-cubano-58546.html,2 comensales,3h,Plato principal,Dificultad media,,[],"['4 filetes de Cabezada o paleta de cerdo', '2 unidades de Pepinillos grandes en vinagre', '4 lonchas de Queso para fundir', '2 lonchas de Jamón dulce', '1 cucharada sopera de Aceite de oliva', '2 unidades de Pan de baguette', '1 cucharada sopera de Mostaza', '1 cucharada sopera de Mantequilla', '1 unidad de Naranja', '1 unidad de Limón', '2 dientes de Ajo', '1 cucharadita de Orégano seco', '½ cucharadita de Comino molido', '1 pizca de Sal', '1 puñado de Hierbabuena', '1 puñado de Cilantro', '1 cucharada postre de Ralladura de limón', '1 cucharada sopera de Ralladura de naranja']"
Brochetas de salmón y piña,"El salmón es uno de mis pescados favoritos por su sabor fuerte, aparte de ser muy nutritivo es un pescado que va muy bien con diferentes tipos de salsa y guarniciones como en este caso, salmón con piña.En esta receta aprenderemos a realizar unas brochetas de pescado acompañadas de una salsa de piña que le dará un toque agridulce espectacular. Un plato lleno de sabor, que es perfecto para consumir en el almuerzo o incluso servir como aperitivo modificando el tamaño de presentación.Sigue en RecetasGratis.net y descubre paso a paso como realizar las brochetas de salmón con piña, una receta saludable y muy fácil de preparar.","['1\nAntes de realizar las brochetas de pescado, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con aceite sofreír la cebolla y el ajo, todo cortado finamente hasta que este dorado.', '3\nEs momento de agregar la piña cortada finamente y cocinar a fuego bajo durante 10 minutos. Procura usar piña natural, aunque si no tienes la receta también quedará con muy buen sabor utilizando piña en conserva.', '4\nA continuación añadir medio vaso de agua, el vinagre, el azúcar morena y la guindilla. Tapar y cocinar a fuego bajo durante 20 minutos más.', '5\nEs momento de licuar la salsa de piña hasta obtener una consistencia homogénea y agregarla de nuevo a la olla, rectificar sabor con sal y pimienta, cocinar 5 minutos para terminar.', '6\nAparte, corta el salmón en cubos del mismo tamaño. Salpimentar y cocinar durante 5 minutos en un sartén a fuego fuerte con un poco de aceite.', '7\nArmar las brochetas y acompañar con la salsa como se ve en la foto. Estas brochetas de salmón con piña son un espectáculo así que te recomiendo acompañarlas por alguna guarnición sencilla como unas papas criollas fritas o un poco de arroz basmatí.Y si quieres combinar la piña en otras preparaciones saladas, puedes probar las brochetas de lomo y piña y las brochetas de pollo y chutney de piña. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (2 votos),https://www.recetasgratis.net/receta-de-brochetas-de-salmon-y-pina-58562.html,2 comensales,45m,Plato principal,Dificultad media,,[],"['200 gramos de Salmón sin piel', '200 gramos de Piña', '2 cucharadas soperas de Azúcar morena', '80 mililitros de Vinagre blanco', '50 gramos de Cebolla blanca', '1 diente de Ajo', '1 pizca de Guindilla molida', '1 chorro de Aceite de girasol', '1 pizca de Sal', '1 pizca de Pimienta']"
