title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Frijol con puerco,"El frijol con puerco es una receta yucateca, de México, pero los ingredientes y la preparación que verán a continuación es una mezcla con la cocina venezolana. Esta receta lleva frijoles negros, cerdo y arroz un plato muy completo y que rinde bastante. Espero que les guste, es un plato fácil de preparar, delicioso y fresco.","['1\nPara hacer las caraotas, déjalas remojando de un día para otro. El día de la preparación, colocar en un olla con agua hasta que las cubra y cocinar hasta que estén blandas. Para que se hagan más rápido se pueden hacer en una olla a presión o olla express.\nTruco: A los frijoles negros se les llama caraotas en Venezuela y otros países del Caribe', '2\nMientras, se pica finamente toda la verdura. Reserva aparte la mitad de la cebolla y el tomate para hacer un pico de gallo. El resto se usará para las caraotas. Puedes usar medio pimentón rojo y medio verde o uno entero pintón, depende de lo que tengas en casa.', '3\nCuando las caraotas estén casi listas, se le agrega la verdura y la carne picada. Remueve bien todo y sazona con las especias y el apazote, corregir la sazón si es necesario. Éste último es una hierba aromática que no se encuentra en todas partes, así que si no tienes no importa.', '4\nCuando empiece a hervir, separa dos tazas del caldo de las caratoras y reserva. Mientras, continua con la cocción hasta que estén a gusto y la carne esté completamente hecha. Las caraotas pueden quedar con un caldo muy líquido o más espeso, de las dos formas están deliciosas.', '5\nCon esas dos tazas de caldo prepara el arroz. Puedes hacer un sofrito con cebolla y ajo, añadir el arroz, un poquito de sal y el caldo, si se cuelan algunos granos de caraota no importa. Deja que hierva a fuego lento y apaga cuando el arroz esté listo. Debe quedar de color negro.', '6\nPara hacer el pico de gallo, mezcla el tomate, la cebolla, el cilantro y el jugo de limón. Todo picado finamente con un poquito de sal.', '7\nPara comer el frijol con puerco, sirve en el plato el arroz, un poco de caraotas negras con carne, pico de gallo y tortillas de maíz. Espero que les guste esta receta mitad mexicana y mitad venezolana tanto como a todos en mi casa. ¡Buen provecho!']","Valoración: 4,8 (5 votos)",4 comensales,45m,Plato principal,Dificultad baja,,[],"['1 taza de Arroz', '500 gramos de Caraotas', '½ kilogramo de Cerdo', '½ unidad de Cebolla', '½ unidad de Pimentón rojo', '½ unidad de Pimentón verde', '1 rama de Apazote', '1 pizca de Comino', '1 pizca de Sal y Pimienta', '1 pizca de Orégano', '½ unidad de Cebolla', '1 rama de Cilantro', '2 unidades de Tomate', '½ unidad de Cebolla']",https://www.recetasgratis.net/receta-de-frijol-con-puerco-57255.html
Arroz caldoso con pulpo y gambas,"El arroz caldoso con pulpo y gambas es ideal para disfrutar en una cena especial. Este plato de arroz que te ofrece RecetasGratis.net se caracteriza por ser suave, cremoso y con sabores fuertes. Aunque no parezca, se trata de una receta fácil y rápida que seguro le gustará a todos. Te recomiendo acompañarlo con una copa de vino rosado.","['1\nAntes de realizar esta receta, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con agua y sal, cocinar el pulpo cortado en trozos durante 20 minutos. Reserva el agua de la cocción para preparar el arroz.', '3\nAparte, en una olla con aceite, sofreír la cebolla, el ajo y el pimiento cortado finamente, hasta que esté blando. Salpimentar.', '4\nAgregar el arroz y la pasta de tomate a la olla. Mezclar con el sofrito muy bien durante unos minutos.', '5\nAgregar la paprika, el azafrán y de a poco el caldo del pulpo. Ir revolviendo hasta que el grano del arroz este al dente, rectificar sabor con sal y pimienta.\nTruco: Aproximadamente son 750 ml de caldo de pulpo que se utilizan para esta preparación', '6\nCinco minutos antes de terminar el arroz, agrega los langostinos y el pulpo salpimentado. Mezclar muy bien y seguir con la cocción.', '7\nFinalmente servir el arroz caldoso de pulpo y gambas decorando el plato con unas rodajas de limón. Y si te gustan los arroces cremosos, te incito a revisar la receta de arroz caldoso con verduras. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (1 voto),2 comensales,45m,Plato principal,Dificultad media,,[],"['150 gramos de Pulpo', '100 gramos de Gambas', '250 gramos de Arroz arborio', '1 pizca de Azafrán', '1 pizca de Paprika', '50 gramos de Cebolla', '50 gramos de Pimiento rojo', '2 dientes de Ajo', '3 cucharadas soperas de Pasta de tomate', '30 mililitros de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-arroz-caldoso-con-pulpo-y-gambas-57260.html
Arroz con pollo y guisantes,"Aunque la paella constituye el plato favorito de muchos, bien es cierto que su elaboración no se caracteriza por ser de las más sencillas. Para que empieces a adentrarte en este tipo de platos poco a poco, en esta receta queremos enseñarte a cocinar un arroz con pollo y guisantes, similar a la paella de carne pero mucho más fácil y rápido. Toma nota de los ingredientes y sigue el paso a paso que en RecetasGratis.net te ofrecemos para sorprender a tus invitados con este exquisito plato.","['1\nPrimero se corta en trozos el pollo y se salpimenta. Tras 20 minutos de adobo, en una cacerola amplia y con aceite caliente se fríe la carne a fuego fuerte hasta que se tueste por fuera.', '2\nA continuación, bajamos el fuego y añadimos la cebolla picada y el pimiento troceado. Dejamos pochar unos 20-25 minutos a fuego lento para que se vaya haciendo el sofrito del arroz.', '3\nUnos 15 minutos antes de finalizar el tiempo de cocción indicado, añadimos un tomate troceado. Y unos 5 min antes echamos el tomate frito removiendo para que se mezclen los sabores. La cantidad de tomate frito irá a gusto.', '4\nPor último, sólo queda añadir el arroz, los guisantes al gusto y el agua. Recuerda que la cantidad de agua debe ser siempre el doble que la de arroz, es decir, por cada taza de arroz añadiremos dos de agua. Incorporamos una pastilla de avecrem o consomé de pollo, y rectificamos de sal si fuese necesario.', '5\nCuando el arroz con pollo esté listo, apagamos el fuego y dejamos reposar unos segundos. Servimos caliente. Para el postre, recomendamos uno con limón como ingrediente principal para facilitar la digestión.']",Valoración: 5 (1 voto),2 comensales,45m,Plato principal,Dificultad baja,,['Recetas españolas'],"['1 unidad de Cebolla', '1 unidad de Pimiento', 'Guisantes al gusto', '200 gramos de Arroz', '1 unidad de Tomate', '1 chorro de Tomate frito', '1 cubo de Avecrem o consomé de pollo', 'Agua']",https://www.recetasgratis.net/receta-de-arroz-con-pollo-y-guisantes-57179.html
Paella de pollo y setas,"Con la llegada del otoño damos la bienvenida, también, a la época de las setas. Para los amantes de su recolección, desde La Cocina de Juani compartimos esta receta de paella de pollo con gírgolas y champiñones, toda una delicia para el paladar. Este es uno de los platos estrella de la cocina española durante estos meses del año, y es que las setas toman especial protagonismo en muchas de las preparaciones tradicionales de este país. Así pues, podemos utilizarlas para la elaboración de canelones, croquetas o, como en este caso, ¡paella con setas!","['1\nPara empezar a preparar el arroz con setas y pollo, picamos los ajos, la cebolla y el pimiento verde finamente. Luego, cortamos en dados pequeños las pechugas de pollo, limpiamos bien todas las setas y reservamos todo.', '2\nCogemos una paellera y añadimos los ajos con aceite de oliva. Vamos removiendo y antes de que estén dorados incorporamos la cebolla y el pimiento verde. Una vez observemos que estos ingredientes están a medio hacer, añadimos los champiñones y las gírgolas. Removemos para que se integren los ingredientes y se cocinen de forma pareja.', '3\nCuando veamos que las setas están hechas, incorporamos el pollo y seguimos salteando. Antes de que la carne se haga del todo, añadimos el arroz repartiéndolo por toda la paellera. Sofreímos, vertemos el tomate frito y la media copa de Brandy para dar un toque extra de sabor.', '4\nCubrimos todo con el caldo de verduras o agua en su defecto. Recuerda: por una taza de arroz, añadiremos tres de caldo o agua. Si vemos que el líquido se evapora demasiado rápido, podemos agregar un poco más. Incorporamos las especias para dar un poco más de sabor a la paella de setas.', '5\nUna vez veamos que el caldo empieza a hervir, incorporamos el pimiento asado y dejamos que todo se vaya cociendo a fuego medio durante 20 minutos. Conforme se va cocinando la paella de pollo y setas, la vamos probando para ver si debemos añadir un poco de sal.', '6\nCuando veamos que el arroz con setas y pollo está listo, dejamos que repose para que acabe de absorber el líquido y servimos caliente. La cocina española está llena de secretos, ingredientes únicos y platos deliciosos. Si quieres conocer otro tipo de paella igual de sabrosa, no te pierdas la receta de arroz con bogavante. ¡Buen provecho!']",,4 comensales,45m,Plato principal,Dificultad media,,['Recetas españolas'],"['400 gramos de Arroz para paella', '2 unidades de Pechuga de pollo', '1 unidad de Pimiento rojo asado', '1 unidad de Cebolleta', '1 unidad de Pimiento verde', '4 cucharadas soperas de Tomate frito', '2 dientes de Ajo', '150 gramos de Gírgolas', '100 gramos de Champiñones', '1 cucharadita de Ñora molida', '1 cucharadita de Pimentón', '1 pizca de Pimienta negra', 'Caldo de verduras', '½ copa de Brandy', 'Aceite de oliva', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-paella-de-pollo-y-setas-57232.html
Sushi california roll,Hacer sushi es más fácil de lo que crees y con esta receta paso a paso lo comprobarás. Anímate a probar el plato más occidental de la cocina japonesa y deleita a tus invitados con un auténtico sushi california roll. En RecetasGratis.net te enseñamos el procedimiento y si quieres podrás modificar los ingredientes para hacer el sushi perfecto para ti. ¡Manos a la obra!,"['1\nEl primer paso para preparar sushi es cocer el arroz. Las indicaciones dependen de la marca de esté, así que te recomiendo que sigas las instrucciones del fabricante. Normalmente, se lava bien para eliminar el almidón y hierve con agua hasta que quede un poco pasado, luego se mezcla con vinagre especial y un poco de azúcar. Si tienes dudas échale un vistazo a la receta de arroz para sushi.', '2\nAparte, corta el pescado en tiras más o menos finas. Te recomiendo usar la parte del lomo, lavarlo bien y cortar las piezas por el lado más largo del salmón y el atún.', '3\nHaz lo mismo con el pepino, elimina la piel y corta tiras alargadas tal y como se ven en la fotografía.\nTruco: También puedes incluir zanahoria u otros vegetales de tu elección', '4\nPara cortar el aguacate, pica la fruta en dos y haz cortes verticales como se ve en la foto. Luego desprende la pulpa de la cáscara con ayuda de una cuchara y tendrás todas las tiras perfectas.', '5\nCon todos los ingredientes listos pasaremos a montar el california roll. Para hacer el sushi, coloca sobre una esterilla una hoja de alga y encima una cucharada de arroz. Humedece tus manos con agua y ve estirando el arroz hasta cubrir toda la alga, dejando un fino borde libre.\nTruco: Hay esterillas especiales para sushi, puedes usarla de madera o de silicona. Si no tienes puedes usar un trapo', '6\nColoca el pescado, la verdura y el queso crema por debajo de la mitad de la alga. Para colocar el queso crema, agarra una porción con las manos y ve formando una tira del mismo tamaño que del pescado.', '7\nUsa tu imaginación y haz las mezclas de ingredientes que más te gusten. Las mías han sido, salmón con aguacate y atún con pepino. El queso crema es un ingrediente opcional, pero le da un toque cremoso muy bueno al california sushi roll.', '8\nPara cerrar el roll, haz un primer dobles y presiona bien haciendo que la punta del alga se pegue al arroz, tal y como se ve en la fotografía.', '9\nTermina de cerrar el rollo, enrollando y apretando con suavidad. Al final humedece un poco el borde libre del alga para que pegue bien. Haz tanto rollos como te alcancen los ingredientes, en esta receta han salido tres.', '10\nUna vez terminados todos los rollos de sushi podrás cortar las piezas con un ancho de 2-3 centímetros. Córtalos todos, sírvelos en un plato llano y acompaña los sushi california con un poco de salsa soja.']",Valoración: 5 (1 voto),2 comensales,15m,Plato principal,Dificultad baja,,['Recetas japonesas'],"['1 taza de Arroz para sushi', '100 gramos de Atún fresco', '100 gramos de Salmón fresco', '½ unidad de Pepino', '3 hojas de Alga nori', '1 unidad de Aguacate', '100 gramos de Queso crema']",https://www.recetasgratis.net/receta-de-sushi-california-roll-57169.html
Makis de melón con jamón,"Los makis son rollitos de arroz japoneses que, originalmente, se sirven envueltos en alga nori y suelen contener pescado crudo. Estos makis de melón con jamón que os proponemos en RecetasGratis.net son una versión muy española que va a gustar a todos los públicos. Esta receta puede ser un aperitivo navideño muy atractivo.","['1\nPara preparar los makis de melón con jamón, debemos reunir todos los ingredientes.', '2\nPreparamos el arroz para sushi según las indicaciones del fabricante. Si tienes dudas puedes consultar la receta de arroz para sushi.\nTruco: Si no tenéis arroz para sushi, podéis cocer arroz redondo. Cuando esté cocido se añade una mezcla de vinagre blanco y azúcar a partes iguales.', '3\nCortamos el melón en bastoncitos. En esta original receta española, el melón sustituirá al pescado en nuestros makis.', '4\nSobre una esterilla o toalla colocamos papel film y el jamón serrano.\nTruco: En mi caso, al no tener esterilla para liar sushi, he utilizado una toalla limpia bajo el papel film.', '5\nPara seguir con nuestros makis de melón con jamón, ponemos una capa de arroz sobre el jamón sin tapar del todo los extremos. El jamón sustituye al alga nori, típica en los makis japoneses.', '6\nColocamos los bantoncitos de melón en un extremo de la capa de arroz.', '7\nEnrollamos los makis de melón con jamón con una esterilla o toalla. Es importante ir apretando ligeramente mientras enrollas los makis.', '8\nFinalmente, cortamos los makis de melón con jamón con ayuda de un cuchillo afilado y servimos. Esta receta y las croquetas de cabrales y manzana son aperitivos originales para preparar en cenas con amigos.¡Esperamos vuestros comentarios!']",,2 comensales,30m,Entrante,Dificultad baja,,"['Recetas para Navidad', 'Recetas españolas']","['1 rodaja de Melón', '100 gramos de Arroz para sushi', '4 lonchas de Jamón serrano', '1 chorro de Vinagre', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-makis-de-melon-con-jamon-57075.html
Arroz frito con ajo,"El arroz frito con ajo es un platillo fácil y económico de hacer, ideal para preparar como guarnición de nuestras recetas navideñas, ya que viene bien con casi cualquier cosa. Sigue leyendo y descubre el paso a paso de ésta y muchas más recetas navideñas económicas, sólo en RecetasGratis.Net.","['1\nEl primer paso será cocer el arroz blanco con una cucharadita de mantequilla y una pizca de sal de ajo. Puedes utilizar cualquier tipo de arroz que prefieras. Una vez que el arroz esté cocido, dejar enfriar y reservar.', '2\nAparte, pica finamente el ajo y la cebolla.', '3\nSofríe el ajo y la cebolla en una sartén ya caliente con aceite de oliva y la mantequilla restante.', '4\nA continuación agrega el arroz y fríe de 3 a 4 minutos.', '5\nSirve el arroz frito con ajo en una fuente o bien en aros de emplatar para darle forma. Decora con hojas de hierbabuena fresca u hojuelas de ajo. Esperamos que disfrutes de ésta receta, y si tienes alguna duda, piensas que podríamos mejorarla o te interesa conocer más recetas para navidad, por favor escríbenos tus comentarios.']","Valoración: 3,3 (3 votos)",3 comensales,45m,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas para Navidad']","['300 gramos de Arroz', '3 dientes de Ajo', '½ pieza de Cebolla', '1 cucharada sopera de Mantequilla', '3 cucharadas soperas de Aceite de oliva']",https://www.recetasgratis.net/receta-de-arroz-frito-con-ajo-57052.html
Arroz con surimi,"Este delicioso arroz con surimi es una receta fácil, económica y práctica, especialmente pensada para los amantes de los sabores del mar. El arroz con surimi es un arroz nutritivo, hecho con una combinación nutritiva de verduras que podrás la hora del almuerzo. Toma nota de los ingredientes y descubre cómo preparar este deliciosos arroz con palitos de cangrejo.","['1\nAntes de realizar este delicioso arroz, el primer paso es alistar todos los ingredientes.', '2\nEn un wok con aceite, saltear la cebolla, la zanahoria y el pimiento rojo cortados en tiras delgadas hasta que este blando.', '3\nAgregar los champiñones cortados en láminas y el ajo finamente picado. Saltear unos minutos más, hasta que los champiñones estén dorados.', '4\nEs momento de agregar el maíz tierno y el surimi cortado en trozos pequeños, saltear durante unos minutos más, salpimentar.', '5\nFinalmente agregar el arroz cocido y la salsa de soja. Mezclar todo muy bien y cocinar unos minutos más. Puedes añadir arroz integral con quinoa si prefieres un plato más ligero.', '6\nServir el arroz con surimi con una rodaja de limón y disfruta. Esta receta de tupper es ideal para llevar al trabajo, ya que puedes recalentar sin problemas. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (4 votos),3 comensales,45m,Plato principal,Dificultad media,,[],"['2 tazas de Arroz blanco cocido', '100 gramos de Surimi', '80 gramos de Pimiento rojo', '80 gramos de Cebolla blanca', '80 gramos de Zanahoria', '100 gramos de Champiñones', '2 dientes de Ajo', '3 cucharadas soperas de Maíz tierno', '2 cucharadas soperas de Salsa de soja', '50 mililitros de Aceite de girasol', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-arroz-con-surimi-57021.html
Arroz con setas y foie,"Este arroz con setas y foie que hemos elaborado en RecetasGratis.net sigue la más pura tradición italiana, al estilo de un verdadero risotto. Lleva su tiempo y tienes que estar constantemente removiendo, pero el resultado merece la pena.","['1\nPara preparar el arroz con setas elegimos un arroz de risotto. En cuanto a las setas, nos decantamos por funghi italianos deshidratados, aunque esta exquisita receta se puede preparar con champiñones u otra variante.', '2\nEl primer paso es hidratar las setas. Las dejamos en remojo durante una media hora, así también irán soltando la tierra que puedan contener. El caldo que dejen también lo aprovecharemos para preparar el arroz con setas y foie.', '3\nEn una cacerola echamos un poco de aceite y la cebolla cortada. Dejamos que se dore generosamente durante unos minutos.', '4\nA continuación vertemos el arroz, lo rehogamos un poco con el aceite y luego vertemos un cucharón de caldo de verduras. Durante unos diez minutos dejaremos que se cocine el arroz, añadiendo caldo constantemente a medida que nos lo pida.', '5\nSeguidamente colamos las setas y las añadimos al arroz. El caldo de las setas lo reservamos. Lo dejamos en un bol sin moverlo, de tal forma que los restos de suciedad o polvo se aposenten al fondo. De esta forma podemos utilizar este aromático caldo, cogiendo siempre de la superficie con un cucharón.', '6\nA partir de ahora iremos añadiendo caldo de setas al risotto, en sustitución del caldo de verduras. Dejaremos que el arroz se cueza durante unos cinco minutos más junto a los funghi, y luego añadiremos el foie cortado a trozos.', '7\nIremos removiendo constantemente, añadiendo más caldo si es necesario, y pasados entre 15 y 20 minutos el arroz estará listo, con el foie derretido.', '8\nEmplatamos el arroz con setas y foie y añadimos unas escamas de queso parmesano. Es un plato que pide a gritos un vino tinto y, como acompañamiento, va bien una ensalada fresca de rúcula o espinacas, o bien una ensalada panzanella para seguir con el menú italiano. ¡Buen provecho!']",,4 comensales,45m,Plato principal,Dificultad media,,[],"['4 tazas de Arroz', '50 gramos de Funghi (setas)', '50 gramos de Foie', '½ litro de Caldo de verduras', '½ unidad de Cebolla', '1 pizca de Sal', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-arroz-con-setas-y-foie-56979.html
Quinoa con verduras al horno,"Una receta rápida, fácil y sobre todo, deliciosa, que puedes tomar caliente, templada o fría. La quinoa con verduras al horno es un plato lleno de sabor y aromas que no puedes perderte si quieres aprender a preparar algo diferente. Las verduras se podrían considerar perfectamente como el eslabón perdido entre el Imam Bayildi y el Confit Byaldi, del primero de ellos recogen los aromas del Bazar Egipcio, mientras que del segundo la textura proporcionada por la cocción el horno. Si a esto le sumamos el cofre de quinoa que las encierra, el resultado obtenido es un plato realmente espectacular.","['1\nEmpezamos la receta por la preparación de las verduras al horno. Para ello, corta en dados de 1 cm la berenjena, el calabacín, la cebolla, el pimiento rojo y el tomate. Incorpora el diente de ajo pelado y bien picado, sal, pimienta, canela, jengibre, mejorana y menta para sazonar las verduras.', '2\nColoca las verduras ya sazonadas en una fuente apta para horno y riégalas con un buen chorro de aceite, mezcla bien. Hecho esto, hornéalas a temperatura media-alta hasta que estén hechas y crujientes. A mitad de cocción es muy importante que las remuevas para que todas se hagan parejas. Cuando estén listas, prueba la sazón e incorpora más especias y condimentos si lo deseas, sin miedo. Solo debes tener cuidado con la canela.', '3\nReserva las verduras asadas y ponte manos a la obra con la quinoa. Para eliminar la saponina, deberás lavar la quinoa directamente bajo el agua del grifo. Usa un colador de malla fina para escurrir el exceso de agua.', '4\nPon a cocer la quinoa con las tres tazas de agua con sal durante 15 minutos aproximadamente, hasta que estén a tu gusto. No tapes la olla. Para saber si está cocinada, deberás fijarte en si los granitos se han hinchado y abierto, dejando ver los bordes blancos perlados.', '5\nCuando la quinoa esté en su punto, también observarás que se ha consumido prácticamente todo el agua. Eso sí, vigila que no se pasen de cocción porque entonces formarán una pasta, no quedarán al dente y la receta de quinoa con verduras al horno no estará perfecta. Escurre la quinoa y mézclala con la margarina vegana.', '6\nPara emplatar tienes dos opciones: mezclar la quinoa con las verduras y servirlo así, o realizar una presentación más elaborada. Si te has decantado por la segunda opción, coge un aro de emplatar, coloca en el fondo dos cucharadas de quinoa, sobre ella añade dos cucharadas de verduras al horno y cubre con otra capa de quinoa. Realiza este proceso por cada comensal.', '7\nCubre la preparación con un hilo de aceite y espolvorea un poco de canela y menta por encima. Y si quieres, decora con unas hojitas de tomillo fresco y hebras de azafrán. Cuando pruebes este plato de quinoa con verduras al horno, ¡no podrás dejar de cocinarlo! No lo dudes y prepara hamburguesas de garbanzos de segundo plato. Más recetas aptos para veganos en mi blog Cocina con Luz Verde.']",Valoración: 3 (2 votos),2 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para perder peso', 'Recetas al horno']","['1 unidad de Berenjena', '1 unidad de Calabacín', '1 unidad de Cebolla', '1 unidad de Pimiento rojo pequeño', '1 unidad de Tomate maduro', '1 diente de Ajo', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Jengibre en polvo', '1 pizca de Canela', '1 pizca de Mejorana', '1 pizca de Menta', '1 chorro de Aceite', '1 taza de Quinoa lavada (250 ml)', '3 tazas de Agua (720 mililitros)']",https://www.recetasgratis.net/receta-de-quinoa-con-verduras-al-horno-56977.html
