title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Arroz chino al vapor,,"['1\nPoner el arroz en un colador, lavarlo con un chorro de agua fría, frotando los granos con los dedos.', '2\nLavar bien hasta que el agua salga clara.', '3\nEscurrir. Verter el arroz en una cacerola y agregarle el agua.', '4\nLlevar a hervor y cocinar 10´.', '5\nEscurrir.', '6\nColocar el arroz sobre una servilleta húmeda en una canasta de bambú o en un colador de pastas y cocinar al vapor sobre una cacerola 30´.', '7\nCondimentar con salsa de soja.']","Valoración: 3,6 (29 votos)","['1 1/2 tza arroz', '4 1/2 tza agua hirviendo', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-arroz-chino-al-vapor-12270.html,,,,,,
Arroz con salchichas y vegetales mixtos,,"['1\nLavar y escurrir el arroz bien y ponerle los vegetales de lata oh frescos bien picados,cortar la salchicha en rodajas de medio pulgada osea un centrimetro poco mas o menos y echarla con el arroz,cortar cebolla y aji pimiento bien pequenos y machacar los ajos en un mortero calentar aceite y sofreir cebolla,aji,ajos y tomate juntos por 5 minutos revolviendo siempre agregar sofrito a arroz con la sal y la pimienta y despues agregar vino seco y 6oz de agua y la media cerveza.', '2\nRevolver bien y cocer a fuego mediano por diez minutos ho hasta que empieze a hervir entonce baja el fuego a bajo y deja cocinar hasta que todo el liquido haya desaparecido y el arroz este blando si lo hace en olla arrocera como yo lo hago no tiene problemas pues no tiene que vigilarlo solo une los ingredientes como dice arriba y activa el boton de cocinar en la olla y se olvida ella sola se apagara cuando alcanze la temperatura y coccion deseada.', '3\nAdornar con tiras de pimientos rojos oh pimientos morrones y guisantes verdes tiernos o una ramita de perejil fresco.', '4\nEsta receta da para 8 personas espero que le guste.', '5\nBon appetit.']","Valoración: 3,5 (23 votos)","['Dos tazas de arroz blanco', 'una salchicha (8oz) sin grasa (99% libre de grasa)', 'carne de pavo', 'una lata de 8oz de vegetales mixtos de cualquier marca', 'zanahoria', 'maiz', 'guisantes tiernos', 'varios tipos de habas', 'frijoles', 'media cebolla mediana', 'medio aji', 'pimiento verde', 'tres dientes de ajo', '1/4 de taza de aceite de olivas', '4oz de vino seco', 'media cerveza', 'sal', 'pimienta al gusto', 'una lata de pimientos morrones', 'una lata pequena (5oz) de guisantes verdes tiernos', 'dos ramitas de perejil fresco como garnish. (para adornar)']",https://www.recetasgratis.net/receta-de-arroz-con-salchichas-y-vegetales-mixtos-12191.html,,,,,,
Arroz con cafe,,"['1\nPONER la leche en olla al fuego junto con el azúcar y cocinar durante unos minutos.', '2\nLavar el arroz bajo el chorro del agua fría, escurrirlo bien un colador y agregarlo a la leche. Cocinar a fuego lento, revolviendo frecuentemente.', '3\nCUANDO el arroz esté casi en su punto, incorporar el café, mezclar bien y terminar la cocción.', '4\nPOR ULTIMO, retirar del fuego, verter en un recipiente y servir con las pasas rociadas por encima.', '5\nSIRVA frío o caliente a su gusto.']","Valoración: 3,3 (21 votos)","['2 litro de leche', '1/2 taza de azúcar', '1/2 taza de arroz', '1/2 taza de cafe concentrado', '1/4 taza de pasas']",https://www.recetasgratis.net/receta-de-arroz-con-cafe-12143.html,,,,,,
¡Receta Tradicional y Sencilla!,"Este arroz para Navidad se hace con nueces, maíz dulce, albahaca, cebolla y queso, una combinación de sabores excepcional. De esta forma, si buscas cómo hacer arroz navideño rápidamente has llegado al lugar adecuado. El plato que en RecetasGratis te ofrecemos sirve tanto para acompañamiento como para rellenar un pavo o un pollo, así que no tienes excusas para no probarlo porque te puede servir para mucho en una comida o cena festiva. Sigue leyendo y descubre la receta del arroz navideño rápido y sus ingredientes.","['1\nEn la licuadora introduce la albahaca, un chorrito de aceite de oliva y las nueces, licua bien y empieza a agregar la crema de leche poco a poco.', '2\nEn una sartén aparte, fríe la cebolla picada en aceite caliente. Una vez dorada, adiciona el arroz previamente cocinado en una olla a fuego lento.\nTruco: Si quieres puedes añadir más ingredientes al arroz navideño, como pimiento verde y rojo.', '3\nDale vueltas al arroz para mezclarlo con la cebolla frita y añade la mezcla de la licuadora. Sigue moviendo para que el arroz para Navidad con nueces se integre perfectamente.', '4\nDeja cocinar el arroz navideño unos minutos para que coja sabor y agrega los choclos desmenuzados o enteros, como más te guste. Recuerda que el choclo también es conocido como maíz, uno de los ingredientes que más utilizamos para las recetas navideñas.', '5\nDeja el arroz navideño un minuto más y antes de apagar el fuego añade el queso parmesano al gusto.', '6\nApaga el fuego y tapa la sartén para que se derrita el queso. Sirve el arroz navideño rápido bien caliente en una fuente adornada con tomates cherry. Esta receta de arroz navideño también es perfecto para rellenar el pavo de Navidad o hacer pollo relleno. ¡Pero sírvelo con lo que tú tengas costumbre!']","Valoración: 3,6 (28 votos)","['3 libras de arroz cocinado (1 kg y 300 g)', '1 manojo de albahaca', '½ taza de crema de leche o nata', '1 paquete de nueces', '1 bote de choclo dulce o maíz', '1 cebolla perla picada', '1 puñado de queso parmesano', '1 chorro de aceite de oliva', '1 chorro de aceite para freír', '1 pizca de sal', '1 pizca de pimienta', 'Tomates cherry para adornar']",https://www.recetasgratis.net/receta-de-arroz-navideno-rapido-12111.html,10 comensales,30m,Acompañamiento,Dificultad baja,,['Recetas para Navidad']
Arroz caldoso con salmón,,"['1\nLimpiamos y troceamos el salmón.', '2\nPicamos el ajo, la cebolla y el pimiento verde muy fino y lo sofreímos con el aceite a fuego suave.', '3\nA continuación subimos la intensidad del fuego y rehogamos el arroz.', '4\nMojamos el arroz poco a poco con el caldo de pescado y removemos con una espátula de madera.', '5\nCuando lleve 10 minutos de cocción añadimos los trocitos de salmón y agregamos sal al gusto.', '6\nCoceremos aproximadamente a fuego suave unos 18 - 20 minutos el arroz en total.', '7\nEspolvoreamos con perejil picado.', '8\nEl arroz debe quedar cremoso pero no desecho.', '9\nDejamos reposar unos minutos antes de servir.']","Valoración: 3,3 (21 votos)","['300 grs de arroz bomba', '400 grs de salmón sin piel ni espinas', '1 litro de caldo de pescado', '3 dientes de ajo', '1 cebolla pequeña', '2 pimientos verdes', '4 cdas de aceite', 'Sal al gusto', 'Perejil picadito']",https://www.recetasgratis.net/receta-de-arroz-caldoso-con-salmon-11654.html,,,,,,
Arroz Tapado Colombiano,,"['1\nEn una sarten freir la cebolla, ajo, sal pimienta y comino, cocinar hasta que la cebolla este transparente, agregar el tomate , mover. Incorporar la carne molida, dejar cocinar trantado de que no se formen bollo, agregar las pasas, aceituna y heuvo duro picado dejar reposar unos 15 minutos.', '2\nEn un molde de pirex, porner hasta lamitad de arroz presionar bien, vacear el relleno tapar con elresto de arroz. Presionar. Volterar en una fuente. Adornar con perejil picado']","Valoración: 3,4 (19 votos)","['2 tazas de arroz cocido', '1/2 kilo de carne molida', '1/2 taza de cebolla picada', '1 cucharadita de sal', '1/2 cucharadita de pimienta', '1/4 de cucharadita de comino', '1 tomate picado', '1/4 taza de pasas', '5 aceitunas picadas', '3 huevos duros', '1 cucharada de perejil picado']",https://www.recetasgratis.net/receta-de-arroz-tapado-colombiano-11522.html,,,,,,
Rissotto a la milanesa,,"['1\nEn una olla se pone al fuego el consomè con la sal para calentarlo, sin llegar a hervir, mantenièndolo a fuego suave a punto de hervor, mientras se prepara el rissotto.', '2\nEn una taza de ese consomè se pone aparte el azafràn a remojar.', '3\nEn una olla de fondo pesado se ponen las 2 cucharadas de mantequilla y el aceite a calentar.', '4\nSe agrega la cebolla y se cocina hasta marchitar. Se agregan el tuétano picadito y la pimienta y se cocinan unos 2 a 3 minutos hasta disolver el tuétano.', '5\nSe agrega el arroz y revolviendo-lo constantementecon cuchara de madera para que la grasa lo cubra completamente y no partir el arroz, se cocina un minuto o hasta que esté brillante.', '6\nSe agrega el vino y se cocina hasta que se consuma casi completamente.Se va agregando gradualmente el consomè (1/2 taza cada vez para esta cantidad de arroz.', '7\nNo se debe agregar mucho líquido a la vez se debe revolver constantemente para que nunca quede completamente sumergido (no es una sopa), raspando siempre el fondo y orillas de la olla para que no se pegue y pueda quemarse. Se agrega más consomè cada vez que se haya consumido el que agregó anteriormente, unos 2 minutos cada vez.', '8\nEl consomè con el azafrán se debe agregar las 2 últimas veces pues es mejor no cocinar demasiado el azafràn.', '9\nSe sabe que el rissotto está a punto, cuando al morder un grano se siente al dente es decir cocido pero firme, esto se obtiene aproximadamente a los 25 minutos desde agregado el arroz.', '10\nEl rissotto debe presentar un aspecto cremoso, mantecato y como dicen los italianos legato, es decir los granos separados pero unidos a la crema producida por el almidòn que es cedido lentamente por el arroz apropiado , es decir que se extienda suavemente en el plato al servirlo.', '11\nAl retirar la olla del fuego se le revuelve vigorosamente la cucharada restante de mantequilla y luego el queso parmesano.', '12\nDebe llevarse de inmadiato a la mesa, donde cada uno puede, si lo desea, agregar más queso parmesano rallado.']","Valoración: 3,4 (20 votos)","['5 tazas de consomè o caldo de carne', '1/2 a una cucharadita de sal', 'Unas 20 hebras de azafràn (se recomienda no usar onoto)', '2 cucharadas de mantequilla sin sal', '2 cucharadas de aceite', '1 cebolla mediana picadita, alrededor de media taza', '1 ò 2 cucharadas de tuètáno de res', '1/8 de cucharadita de pimienta blanca molida', '1/2 taza de vino blanco muy seco', '1 cucharada màs de mantequilla, para agregar al final', '1/2 taza de queso parmesano rallado.']",https://www.recetasgratis.net/receta-de-rissotto-a-la-milanesa-11484.html,,,,,,
Arroz congris o moro y cristianos,,"['1\nPoner ablandar,la alubia negra con un poquito de sl y un poquito de aceite,porun tiempo de 40 minutos, cuando esté blando, bajarlo.', '2\nEn una cazuela poner el ajo, cebolla,pimiento, todo bien picado, añadir oregano, comino y hoja de laurel, refreirlo todo bien y añadirle el arroz y revolver bien,una vez bien refrito el arroz con el sofrito, añadir el agua del frijol blando.', '3\nPoner tanta cantidad de esta agua como de arroz, ejemplo si pones 4 latas de arroz, poner 4 de esta agua de la alubia, y añadrle un poco de alubia, ponerlo en la candela y cocinarlo como un arroz común, cuando esté seco, bajarle la candela y rociarle un poco de vinagre y esperar que el aroz esté cocinado.']","Valoración: 3,9 (31 votos)","['1kg deAlubias negras', '1kg de arroz', 'ajo', 'cebolla', 'pimientos', 'oregano', 'comino', 'laurel', 'aceite', 'sal.']",https://www.recetasgratis.net/receta-de-arroz-congris-o-moro-y-cristianos-11465.html,,,,,,
Arroz imperial,,"['1\nAblande el pollo,despues saquelo y con esa agua cocina el arroz con el ajo,la cebolla,pure de tomate, comino,aparte del arroz, desmenuce el pollo y lo cocina en una sarten con ajo,cebolla vino seco,pure de tomate comino,aji,cuando ya este cocinado bien sequitosin salsa coja alguna fuente que sea onda y eche una capa de arroz,a todo lo ancho y largo de la fuente,una capa de pollo y una mayonesa,despues repita lo mismo ,arroz,pollo y mayonesa,y por ultimo siempre deje una capa de arroz para lo ultimo,si quiere......', '2\ny tiene queso rrayado,por ultimo le echa una capita.....', '3\nesta sugerencia es al gusto del consumidor.']","Valoración: 4,1 (59 votos)","['6 unidades de Muslo y contramuslo de pollo', '4 tazas de Arroz', '¼ kilogramo de Mayonesa', '1 cabeza de Ajo', '1 unidad de Cebolla al gusto', '1 tarro de Pure de tomate', '1 unidad de Aji grande', '1 pizca de Sal al gusto', '1 pizca de Comino']",https://www.recetasgratis.net/receta-de-arroz-imperial-11459.html,,,,,,
Arroz vietnamita,,"['1\nCalienta una cucharadade aceite en un wok, vierte los huevos con una pizca de sal y remuèvelos hasta que estèn cocidos por completo. Pica en tiras y resèrvalos.', '2\nAgrega otra cucharada de aceite en el wok, sofrìe la cebolla, el cebollìn,el ajo, el jengibre y los chiles. Cocina hasta que la cebolla se transparente. Sàcalos del wok y reserva.', '3\nSalteala carne de cerdo hasta que dore. Sàcala del wok y reserva. Cocina en el wok la zanahoria. las vainitas y el pimentòn. Cuando estèn casi cocidos añade el arroz y mezcla bien.', '4\nIncorpora la mezcla de cebolla y carne, el azùcar, la salsa de soya y remueve bien hasta que se mezcle. Añade el huevo picado. Sirve adornado con hojas de cilantro.']","Valoración: 3,6 (23 votos)","['3 Tazas de arroz ya cocido', '3 huevos batidos', '1/4 cucharadita de sal', '1/2 taza de aceite', '1 cebolla finamente picada', '6 ramas de cebollìn finamente picadas', '4 dientes de ajo machacados', '1 trozo de jengibre rallado de 5 cms', '2 chiles rojos sin semillas y picados finos (opcional)', '250 gramos de lomo de cochino (cerdo)', '100 gramos de vainitas picadas', '100 gramos dezanahorias cortadas en daditos', '2 cucharaditas de azùcar', '4 cucharadas de salsa soya', 'Cilantro fresco']",https://www.recetasgratis.net/receta-de-arroz-vietnamita-11334.html,,,,,,
