title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Saludable Paté de lentejas,,"['1\nPonemos todos los ingredientes en el vaso de la batidora.', '2\nLas especies una pizca de nada, no nos pasemos que luego nos matan el sabor de las lentejas y estropeamos el paté.', '3\nPasamos por la batidora hasta conseguir un puré homogeneo.', '4\nMetemos en la nevera una media hora más o menos para que los sabores se integren.']",,"['200 gr de lentejas cocidas', 'pimienta', 'comino', '1 ajo', '1/4 de cebolleta', 'Zumo de media lima (limón también vale)', 'sal', '3 cucharadas de aceite', 'tomillo', 'mostaza el polvo', 'orégano', 'perejil', 'curry (totalmente opcional, pero le da su toque)', 'perifollo (también totalmente opcional)', 'una ramita pequeña de apio']",https://www.recetasgratis.net/receta-de-saludable-pate-de-lentejas-50409.html,,,,,,
Delicioso Paté de Lentejas,,"['1\nHervir las lentejas rojas hasta que estén tiernas, colarlas y dejar que enfríen.', '2\nMientras, asar la berenjena en el horno untada en aceite. Cuando la notemos blanda, sacarla del horno, envolverla en papel, pelarla cuando se haya enfriado y picarla finamente.', '3\nSaltear las setas, limpias y picadas, con los ajos machacados y dos cucharadas de aceite.', '4\nMezclar las lentejas, la pulpa de la berenjena y las setas, y triturar hasta formar una pasta homogénea.', '5\nAliñar con la menta, el zumo de limón, sal, pimienta y un poco de aceite.']",,"['100 g de lentejas rojas', '1 berenjena', 'Aceite de oliva', '1 ramita de menta fresca', '2 dientes de ajo', '100 g de setas shiitake', 'El zumo de medio limón', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-delicioso-pate-de-lentejas-50408.html,,,,,,
Pate de Yoghurt a las finas hierbas light,,"['1\nEn un colador forrado con un lienzo o en un colador de manga de tela disponer el yogur y tapar.', '2\nEncajar el colador en una jarra o en el recipiente adecuado de forma que el escurridor quede en el aire y el suero caiga libremente, quedando recogido en la jarra.', '3\nGuardar así en la nevera durante dos días.', '4\nPasado ese tiempo, lavar los ajetes, las ramas de menta y la albahaca y después de secar, picar estos ingredientes muy finamente.', '5\nMezclar con el yogur junto con las nueces picadas y salpimentar.', '6\nServir dentro de tarritos individuales.']",,"['2 litros de yogur natural', '1 rama de albahaca fresca', '2 ajos', 'Pimienta de tres colores recién molida', '1 rama de menta fresca', '1 ó 2 cucharadas de nueces picadas', 'Sal']",https://www.recetasgratis.net/receta-de-pate-de-yoghurt-a-las-finas-hierbas-light-50407.html,,,,,,
Paté vegetariano de Tofu,,"['1\nSe echan todos los ingredientes en el vaso de la batidora y se bate hasta que quede una mezcla homogénea y sin grumos.', '2\nSe deja enfriar (recién hecho queda tipo salsa pero cuando enfría coge textura de paté) y se sirve con pan']",Valoración: 5 (1 voto),"['200 gr de Tofu', 'Dientes de ajo al gusto', '5 pimientos del piquillo de lata', '1 cucharada de aceite de oliva']",https://www.recetasgratis.net/receta-de-pate-vegetariano-de-tofu-50405.html,,,,,,
El mejor Ceviche de criadillas,,"['1\nSe cortan las criadillas en trocitos pequeños, mejor que estén congeladas para facilitar el manejo.', '2\nSe remojan en vinagre durante unos 5 minutos y se lavan, y luego se repite esta operación de nuevo.', '3\nSe pone agua a hervir y cuando está lista se meten las criadillas y se dejan 3 minutos, sazonando con ajo y sal.', '4\nDespués las ponemos a escurrir y se sirven sobre un picado de tomate, cebolla y perejil, y se rocían con limón.', '5\nPara terminar les puedes agregar un toque de salsa inglesa, y listo.']",,"['500 gr de criadillas (preferentemente congeladas)', 'Ajo (a gusto)', 'Perejil picado', 'Vinagre blanco c/n', 'Tomate', 'Cebolla', 'Limón']",https://www.recetasgratis.net/receta-de-el-mejor-ceviche-de-criadillas-50404.html,,,,,,
El mejor Ceviche de chochos,,"['1\nLavar y hervir los chochos, pelar (opcional), dejar en agua fría hasta preparar el resto, cocinar previamente los tomates y licuarlos, picar la cebolla como para curtido.', '2\nAgregar sal, el jugo de los limones, la pimienta agregar el licuado del tomate y los chochos, si se desea agregar un poquito de salsa de tomate.']",,"['½ libra de chochos', '2 limones', '1 cucharada de aceite de oliva', '1 manojito de culantro', 'Sal', '2 tomates riñones', 'Pimienta']",https://www.recetasgratis.net/receta-de-el-mejor-ceviche-de-chochos-50402.html,,,,,,
Exótico Ceviche de criadillas,,"['1\nLavar los huevos de toro, eliminar la piel o forro que los cubre, partir en trozos y ponerlos en un recipiente con agua y vinagre blanco por 5 minutos. Al tiempo escurre y repite la operación.', '2\nSe pone a hervir agua con sal y ajos picados, se añaden los huevos escurridos y se deja cocinar por 5 minutos. El tamaño se reduce significativamente.', '3\nSe escurren y se pican más finos si es de su preferencia.', '4\nPor otro lado se pica cebolla morada y blanca, chile dulce (pimiento), apio y culantro.', '5\nUn par de tomates maduros pero firmes (puede usarse sin semilla opcionalmente). Se mezclan bien todos los ingredientes y se condimenta con sal y pimienta.', '6\nLuego se baña con jugo de limón y estará listo para servirse. O bien se mantiene en refrigeración para que esté aún más frío.']",Valoración: 5 (1 voto),"['Agua', 'Vinagre blanco', 'Huevos de toro (criadillas)', 'Sal', 'Ajos', 'Huevos', 'Cebolla morada', 'Cebolla blanca', 'Chile dulce (pimiento)', 'Apio', 'Culantro', 'Tomates maduros', 'Pimienta', 'Jugo de limones']",https://www.recetasgratis.net/receta-de-exotico-ceviche-de-criadillas-50403.html,,,,,,
Ceviche de Chochos auténtico,,"['1\nLo primero que se hace es encurtir la cebolla con un limón amarillo y una lima. Para ver cómo, pulsa aquí.', '2\nEn un bol grande juntamos todos los ingredientes: el pimiento, el tomate, el cilantro, los chochos, la cebolla encurtida. Todo picado de un tamaño pequeño. Si no tenemos ají casero ya hecho, se mezcla en un mortero o en una batidora, un ají con un poco de zumo de limón y sal hasta formar una cucharada de pasta de ají, que añadimos al bol que tenemos en la nevera.', '3\nSi no gusta el picante, este paso se puede obviar, pero la verdad, a mí un ceviche sin ají me parece pecado. Aunque sea un poquito...', '4\nSe rocía todo con el jugo de las dos limas restantes y el otro limón amarillo, y lo metemos en la nevera cubierto por un film durante al menos quince minutos.', '5\nMientras tanto podemos ir haciendo nuestros acompañamientos.', '6\nEn este caso, he hecho maíz tostado y chifles, pero se pueden hacer otros: palomitas (canguil), yuca hervida o fritas en bastones, camote, maíz mote hervido, choclo tierno hervido y desgranado. Con hacer dos o tres, ya está.', '7\nSe pueden ir variando según lo que se tenga a mano.', '8\nEl plátano verde se pela, se parte en rodajas y se fríe para chifles. Si no sabes cómo, pincha aquí.', '9\nEl maíz para tostar, se fríe. Si no sabes cómo, pincha aquí.', '10\nUna vez que el ceviche ha reposado, se añade la cebolla encurtida al gusto, dejando una parte por si alguien quiere echarse más.', '11\nEl zumo de una naranja, una cucharada de ketchup que suaviza la acidez del limón, sal al gusto y un hilo de aceite. Se remueve todo bien y se prueba por si hay que rectificar de sal o ketchup.', '12\nColocamos nuestros acompañamientos aparte y lo servimos todo.']",,"['300 gr de chochos en salmuera', '1 pimiento verde', '1 tomate', '1 cebolla morada', '3 limas', '1 naranja', '2 limones amarillos', '2 cucharadas de cilantro fresco', '1 cucharada de ají casero o en su defecto, un ají machacado (si es que gusta el picante)', '1 cucharada colmada de ketchup', 'Sal al gusto', 'Acompañamientos', '1 plátano verde para freír chifles', '1 taza de maíz para tostar (cancha)']",https://www.recetasgratis.net/receta-de-ceviche-de-chochos-autentico-50401.html,,,,,,
El original ceviche de conchas negras,,"['1\nLavar bien las conchas negras, con escobilla de nylon, una vez limpias abrirlas, reservando su jugo en un recipiente, al sacarlas de las valvas.', '2\nEn un recipiente colocar las conchas negras con la cebolla y el ají limo picaditos, sazonar con sal al gusto y luego bañar toda la preparación con el jugo de los limones, mezclar bien todos los ingredientes.', '3\nServir acompañado con yucas sancochadas, sarandaja y canchita serrana.']",,"['Cincuenta conchas negras', 'Un ají limo picado', 'Una cebolla picada', 'Quince limones', 'Sal al gusto', 'Una cucharada de culantro picado']",https://www.recetasgratis.net/receta-de-el-original-ceviche-de-conchas-negras-50400.html,,,,,,
Ceviche peruano de Conchas negras,,"['1\nAbrir las conchas negras cuidadosamente.', '2\nRetirarlas de su caparazón.', '3\nLavarlas en agua fría.', '4\nColocarlas en un recipiente de vidrio.', '5\nIncorporar la cebolla picadita, un poquito de ajo molido, el rocoto picadito, la sal, la pimienta y el jugo de limón (recién exprimido).', '6\nRevolver bien.', '7\nServir acompañado de camote, canchita serrana y mote.', '8\nDecorar con rodajas de rocoto.']",,"['2 docenas de conchas negras', '1 cebolla roja picada en cuadritos', 'Pimienta', '1 rocoto picado en cuadritos', 'Ajo molido', 'Sal', 'Jugo de 8 limones', 'Camote sancochado', 'Maíz tostado (canchita)', 'Maíz tierno cocido y desgranado (mote)', '1 rocoto']",https://www.recetasgratis.net/receta-de-ceviche-peruano-de-conchas-negras-50399.html,,,,,,
