title,intro,order,votes,ingredientes,url
Deliciosos Pintxos de Queso azul,,"['1\nCortamos el pan en 12 rodajas.', '2\nHacemos en una sartén los tomatitos (unos 2 minutos) con un chorro de vinagre (éste no les aportará sabor sino que conservará el color de lo tomatitos) y un poco de sal.', '3\nVamos removiendo de vez en cuando. Los reservamos.', '4\nHacemos los huevos de codorniz (primero por una parte, luego le damos la vuelta para que se haga por la otra parte) y los sacamos en un plato.', '5\nCalentamos en el microondas el queso azul para que se ablande.', '6\nUntamos el queso en el pan, ponemos en cada rodaja un huevo frito, luego el palillo y pinchamos en cada palillo dos tomatitos cherry.']",,"['1 barra de pan', 'Palillos', '12 huevos de codorniz', '100 gr. de queso azul', '24 tomatitos cherries (aprox. 250 gr.)']",https://www.recetasgratis.net/receta-de-deliciosos-pintxos-de-queso-azul-50333.html
Pintxos de pimientos rellenos con merluza,,"['1\nEn un cazo, ponemos una buena cantidad de aceite, dos hojas de romero y ponemos la merluza a confitar (la idea es que el aceite cubra la merluza) a fuego bajo durante unos 15 minutos.', '2\nPor otro lado, cortamos en puerro en finas tiras y lo freimos en una sartén con un buen chorro de aceite hasta que adquiera un color tostado. Reservamos y salamos.', '3\nUna vez esté confitada la merluza, la hacemos migas y rellenamos el pimiento con la merluza que, previamente, hemos salado un poco.', '4\nPara el montaje, en una rebanada de pan, echamos en la base salsa tártara, una capa de crujiente de puerro, el pimiento relleno y decoramos con crema de módena.']",,"['1 Tronco de merluza', 'Salsa tártara', 'Pan de chapata', '1/2 Puerro', 'Romero', '1 Pimiento morrón entero', 'Sal', 'Aceite']",https://www.recetasgratis.net/receta-de-pintxos-de-pimientos-rellenos-con-merluza-50330.html
Deliciosos Pintxos de Pimientos rellenos con tortilla y anchoa,,"['1\nLavamos y secamos bien los pimientos, los untamos con aceite y los asamos en el horno precalentado a 180º (dependiendo del tamaño, tardaran unos 45 minutos mas o menos...)', '2\nCuando estén tiernos les cortamos un trozo por la parte de arriba, haciendo como una ""tapa"" y reservamos.', '3\nUna vez que los pimientos están listos los dejamos templar y los cortamos en rodajas al bies de mas o menos un dedo de grosor.', '4\nCortamos el pan de la misma manera y lo tostamos ligeramente en el horno o en la tostadora.', '5\nPara montar los pinchos colocamos una rodaja de pimiento relleno encima de cada rebanada de pan y decoramos con una anchoa.', '6\nA la hora de presentarlo en la mesa, nos quedará muy chulo si unimos todo con una brocheta y alternamos pimientos rojos y verdes.', '7\nPodemos tomarlos fríos o templados.']",,"['2 pimientos italianos grandes y los mas rectos posible', '3 huevos', 'Pan', 'Aceite', '3 patatas', 'Una lata de filetes de anchoa Serrats', 'sal']",https://www.recetasgratis.net/receta-de-deliciosos-pintxos-de-pimientos-rellenos-con-tortilla-y-anchoa-50329.html
Pintxo de Pato original,,"['1\nCortamos ocho rebanadas de pan de un centímetro de grosor y las tostamos encima de una sartén caliente. No hay que poner nada en la sartén.', '2\nExtendemos foie grass por encima de la rebanada de pan. Ponemos un poco de pimienta recién molida.', '3\nSobre el foie gtass colocamos dos lonchas de jamón de pato.']",,"['1 sobre de 100 grs de Jamón de Pato curado', '80 grs, una rodaja de Foie Grass de pato mi cuit', 'Pimienta negra en molinillo', 'Pan de baguette']",https://www.recetasgratis.net/receta-de-pintxo-de-pato-original-50328.html
Original Pintxo de tortilla de patata rellena,,"['1\nEn primer lugar, preparamos una tortilla de patata normal.', '2\nPara elaborar la pasta del relleno, mezclamos en un cuenco el bonito, la cebolleta y un huevo cocido, todo picado.', '3\nDespués, añadimos un poco de mayonesa y se mezcla todo bien.', '4\nUna vez preparado el relleno, cortamos la tortilla por la mitad con cuidado.', '5\nCon la ayuda de una cucharilla, colocamos el relleno sobre la base de la parte inferior de la tortilla y la volvemos a cubrir con la otra mitad.', '6\nTodo aquel que quiera darle un toque picante a la receta, puede emplear un poco de tabasco o finas hierbas.']",,"['5 patatas medianas', '1 lata de bonito', '5 huevos', '1 cebolleta', 'Mayonesa', '1 huevo cocido']",https://www.recetasgratis.net/receta-de-original-pintxo-de-tortilla-de-patata-rellena-50326.html
Pintxo delicioso de pato con pera nueces y queso roquefort,,"['1\nConfit de pato: se compra ya confitado con su propia grasa.', '2\nNo hay más que sacarlo de su envase al vacío y ponerlo en el horno a 195º unos 15 minutos con el horno arriba y abajo y aire. La grasa que suelta nos puede servir para confitar patatas o hacer otros platos con un potente sabor. He deshechado la piel.', '3\nCuando sale del horno, lo dejamos templar y lo desmigamos (separamos carne de hueso). Reservar para el emplatado.', '4\nPañuelos de pera: Se pueden comprar hechos (los hay congelados) o hacerlos uno mismo dependiendo de si sabemos hacer pasta fresca o no tenemos mucho tiempo.', '5\nEn este caso, el relleno de pera me parece original, porque lo normal es poner la pera en trozos y rellenar la pasta de pato, por ejemplo. Como lo hice una vez en los Raviolis negros de pato con pera.', '6\nSalsa roquefort o gorgonzola:Yo las salsas intento hacerlas sin nata. El queso tiene la suficiente grasa como para que funda fenomenal simplemente con un poco de leche.', '7\nUn golpe de microondas y estará perfecta (hay que utilizar más el microondas, que sirve para muchas cosas más que para calentar la leche o el café).', '8\nNueces:Lo mejor es rallarlas con microplane. Quedan muy finas, y muy ligeras, sin resultar pesadas. Ni siquiera parecen nueces ralladas, sino queso rallado, no os parece?', '9\nEl montaje es sencillo en este caso. Pondremos una cama de salsa, un pañuelo de pera por tapa y unos trozos de pato confitado.', '10\nPara finalizar, un poco de nuez rallada con microplane y un poco de cebollino para decorar.']",,"['1 confit de pato confitado al vacio (Lidl)', 'cebollino para decorar', 'pañuelos de pasta rellenos de pera', 'nueces', 'queso roquefort o similar (gorgonzola en este caso)']",https://www.recetasgratis.net/receta-de-pintxo-delicioso-de-pato-con-pera-nueces-y-queso-roquefort-50327.html
Pintxo de deliciosa patata rellena,,"['1\nCortamos las patatas en cilindros y las freímos.', '2\nEntre un cilindro de patata y otro se pone un poco de carne picada cocinada al gusto de cada uno.', '3\nSe reboza todo en pan rallado y huevo y se fríe en aceite muy caliente.']",,"['Patata', 'Pan rallado', 'Huevo', 'Carne picada']",https://www.recetasgratis.net/receta-de-pintxo-de-deliciosa-patata-rellena-50325.html
Pintxo de patata confitada y pulpo,,"['1\nPonemos en una cazuela agua a hervir.', '2\nCuando empiece a hervir añadimos sal gorda y las patas del pulpo. Desechamos las puntas, para otra preparación (ensalada por ejemplo).', '3\nDejamos que cueza durante 20 minutos, hasta que veamos que estén en su punto (podemos pincharlas con un palillo para saber si están ya cocidas). Dejamos enfriar dentro de la olla.', '4\nMientras se nos cuece el pulpo, pelamos las patatas y las cortamos en cuadrados del mismo grosor que las patas.', '5\nPonemos en un cazo abundante aceite para cubrir con ella los trozos de patata.', '6\nConfitamos a fuego suave (es decir, cocemos en aceite), durante 20 minutos (dependerá del tamaño y del tipo de patata).', '7\nUna vez que la patata esté hecha la sacamos sobre un papel de cocina, para que suelte el exceso de aceite.', '8\nPara hacer el aceite de pimentón, mezclamos en un cuenco unas cucharas de aceite de oliva virgen extra crudo, con un par de cucharitas (de café), de pimentón, dulce y/o picante.', '9\nDisolvemos y lo guardamos en un biberón.', '10\nMontamos el caldo para formar el aire de pimenton.', '11\nPara montar los pinchos, cortamos las patas en trozos del mismo tamaño que la patata.', '12\nPonemos en el fondo de cada cucharilla, un cuadrado de patata. Encima ponemos un trozo de pulpo y los insertamos con un palillo.', '13\nAliñamos con unas escamas de sal Maldon y unas gotas del aceite de pimentón.']",,"['4 patas de pulpo', 'Sal gruesa', '2 patatas', 'Sal Maldon', 'Pimentón de la Vera (dulce ó / y picante)', 'Aceite de oliva virgen extra', '6 grs. de Lecitina de soja', 'Medio litro del agua de cocción del pulpo', 'Pimentón de la Vera']",https://www.recetasgratis.net/receta-de-pintxo-de-patata-confitada-y-pulpo-50324.html
Pintxo de patata confitada y morcilla,,"['1\nMezclar el algin con el zumo de mango. Batir y dejar reposar.', '2\nEn otro bol disolver el calcic con el agua mineral.', '3\nCoger con la cucharilla de medias esferas o con la jeringuilla el zumo de mango y algin e irlo echando con cuidado en el agua con calci.', '4\nDejar que se cueza un par de minutos. Sacar con la cuchara colador, lavar en agua y dejar reposar en el tupper con aceite de girasol hasta su uso. Mejor el mismo día.', '5\nConfitar las rodajas de patatas, en aceite después de haberlas cocido unos 10 minutos.', '6\nPasar los trozos de morcilla por la plancha un par de minutos por lado.', '7\nEmplatar, con la patata, encima la morcilla, y al final el ravioli de mango, un poco de perejil picado y escamas de sal.']",,"['Algin', 'Zumo de mango', 'Agua mineral', 'Aceite de girasol', 'Morcilla', 'Perejil', 'Escamas de sal']",https://www.recetasgratis.net/receta-de-pintxo-de-patata-confitada-y-morcilla-50323.html
Pintxos de ostras gratinadas,,"['1\nPara elaborar la salsa holandesa, poner en un cazo la mantequilla a fundir; cuando esté fundida, retirar la espuma.', '2\nTemplar un bol al baño maría, verter dentro el zumo de limón y agregar las yemas.', '3\nBatir bien con una varilla hasta que vaya montando.', '4\nSazonar y añadir la mantequilla fundida poco a poco, sin dejar de batir. Reservar.', '5\nAbrir las ostras y soltarlas. Reservar la carne y el jugo. Tirar las conchas planas y colocar las profundas sobre una placa de horno cubierta con sal gruesa.', '6\nEn una sartén, con un poco de aceite, saltear las espinacas picadas con unas hojas de perejil.', '7\nSalpimentar e incorporar la nata y el caldo de las ostras. Dejar reducir un poco.', '8\nColocar sobre caca concha un poco de salsa de espinacas, la carne de la ostra y cubrir con un poco de salsa holandesa.', '9\nGratinar en el horno durante 2-3 minutos.']",,"['8 ostras', 'Aceite de oliva virgen', '100 grs de espinacas', '100 ml de nata', '1 puñado de hojas de perejil', 'sal gruesa', 'pimienta', '200 grs de mantequilla', '3 yemas de huevo', 'sal', 'zumo de medio limón']",https://www.recetasgratis.net/receta-de-pintxos-de-ostras-gratinadas-50322.html
