title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Ternasco Asado de Aragón,,"['1\nSazonar y untar el cordero y ponerlo en una fuente de horno.', '2\nAñadir la rama de romero y los dientes de ajo y meterlo al horno durante 40 ó 50 minutos.', '3\nA media cocción, dar la vuelta para que se dore por los dos lados.', '4\nRegar con el majado diluido con el vino blanco y terminar el asado.']","Valoración: 3,7 (19 votos)","['4 paletilla cordero lechal', '100 gr. manteca de cerdo', '1 rama romero', '200 gr. cebolla', '1 kg. patata', '3 diente ajo', 'aceite de oliva', 'sal', '3 diente ajo (majado)', '1 rama perejil (majado)', '2 copa vino blanco (majado)']",https://www.recetasgratis.net/receta-de-ternasco-asado-de-aragon-17757.html,,,,,,
Steak Tartar,,"['1\nPicar la carne de manera que quede muy fina, con un cuchillo.', '2\nPoner la carne cruda en un bol, añadir los demás ingredientes y ligar con las yemas de huevo.', '3\nServir enseguida.']","Valoración: 4,1 (10 votos)","['600 gr. solomillo (ternera)', '12 ud. alcaparras finamente picadas', '10 gota tabasco', '25 gr. cebolla o chalota finamente picada', 'cuchara sopera mostaza', '1 cuchara sopera ketchup', '3 ud. yema de huevo', '1 cuchara sopera perejil picado', 'salsa worcestershire (perrins)']",https://www.recetasgratis.net/receta-de-steak-tartar-17624.html,,,,,,
Solomillos en Salsa,,"['1\nSe les echa sal y pimienta a los solomillos.', '2\nEntretanto, en una cacerola antiaderente se rehogan las verduras que, previamente, se habrán cortado en láminas.', '3\nCuando estén a medio hacer, añadir los solomillos y seguir rehogando hasta que esté todo doradito.', '4\nLuego añadir el vaso de vino y un poco de agua hasta cubrir la carne.', '5\nHacer todo a fuego lento hasta que esté.', '6\nSi se ve que tiene la salsa clara, espesar con un poquito de harina disuelta en un poco de agua.', '7\nPara 4 personas.']","Valoración: 3,3 (43 votos)","['1 solomillo por persona', '500 gr champiñones frescos', '2 zanahorias', '1 cebolla', '1 vaso vino blanco']",https://www.recetasgratis.net/receta-de-solomillos-en-salsa-17553.html,,,,,,
Somarrillo,,"['1\nSe ponen los medallones de solomillo a dorar y se retiran.', '2\nEn esa misma sartén se echan los ajos machacados.', '3\nCuando están dorados se añade una cucharada de harina, la doramos, añadimos el vinagre y un poquito de agua.', '4\nSe deja cocer 3 minutos e incorporamos los medallones.', '5\nLo dejamos así 10 minutos y pasados los mismos, retiramos del fuego y servimos acompañados de patatas fritas o pimientos rojos.']",Valoración: 3 (2 votos),"['2 ud. solomillo de cerdo', '1/2 vaso aceite', '1/2 vaso vinagre', '1 cabeza ajo', 'sal', 'harina (un poco)']",https://www.recetasgratis.net/receta-de-somarrillo-17554.html,,,,,,
Solomillos al Whisky,,"['1\n1 preparaciónCortamos los solomillos en trozos de unos 3 cms.', '2\nLos salpimentamos y los doramos en la cazuela antiadherente con 3 cucharadas de aceite.', '3\nTienen que quedar poco hechos por dentro.', '4\nAñadimos el whisky y, cuando esté bien caliente, flambear y dejar reducir a fuego vivo.', '5\nQuitar los trozos de solomillo de la cazuela y reservar.', '6\nA la reducción de whisky, añadimos la nata, los quesitos cortados y la salsa de soja.', '7\nLigamos bien la salsa y dejamos que reduzca un poco.', '8\nProbamos y rectificamos la sal.', '9\nColocamos los solomillos sobre una fuente y servimos la salsa por encima con el perejil espolvoreado, y servimos.', '10\n2 notasPodemos acompañar el plato con unas patatitas baby hervidas y rehogadas en mantequilla.']",Valoración: 4 (12 votos),"['2 solomillos de cerdo', '2 bricks nata líquida', '1/2 vaso whisky', '1 cucharadita salsa de soja', '2 quesitos', '1 cucharadita perejil', 'aceite', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-solomillos-al-whisky-17551.html,,,,,,
Solomillos Cabreados,,"['1\nCubrir el fondo de una cazuela con el aceite de oliva.', '2\nEn frío vamos colocando sobre el aceite los ingredientes: las cebollas partidas en tiras, los ajos en láminas, y los solomillos en filetitos.', '3\nPonemos todo al fuego, al principio fuerte y después lento, tapamos y dejamos que suelten el jugo todos los ingredientes(cabreamos a los solomillos), dar vueltas al guiso mientras se va haciendo.', '4\nSalar y añadir la pastilla de caldo desmenuzada.', '5\nDejar que se vaya consumiendo el jugo y añadir el vino.', '6\nRegar con vino (2 vasos) y llevar a fuego fuerte.', '7\nSeguir manteniendo en el fuego hasta que se vaya evaporando, tiene que quedar una salsa muy ligada.', '8\nSi dejamos reposar unas horas el guiso antes de servir, sabe mejor.', '9\nVolver a calentar.', '10\nNOTA: Es una receta extremeña de la localidad de Plasencia y se puede degustar como tapa o ración en los bares de la ciudad.']","Valoración: 3,4 (37 votos)","['1 kg. solomillo de cerdo ibérico', '4 ud. cebolla', '1 cabeza ajo', 'vino de pitarra u otro que sea bueno', 'caldo de carne en pastilla', 'sal']",https://www.recetasgratis.net/receta-de-solomillos-cabreados-17552.html,,,,,,
Solomillo de Ternera al Jerez,,"['1\n1 preparaciónSalar el solomillo y poner en una fuente para microondas con un poco de aceite, la cebolla a trozos y los champiñones a láminas.', '2\nAgregar el Jerez.', '3\n2 cocciónConectar la sonda térmica procurando pincharla en el núcleo de la carne y programar el microondas 70º.', '4\nCuando alcance esta temperatura, retirar del microondas, agregar la trufa en láminas, tapar y reservar.', '5\n3 presentaciónCortar el solomillo en frío y servir con su propia salsa, puré de patatas y tomates asados como guarnición.']",Valoración: 4 (8 votos),"['1750 gr. solomillo de ternera', '1 ud. cebolla', '2 dl. vino de jerez seco', '250 gr. champiñón fresco', '1 ud. trufa', 'aceite de oliva', 'sal']",https://www.recetasgratis.net/receta-de-solomillo-de-ternera-al-jerez-17550.html,,,,,,
Solomillo de Cerdo a La Provenzal,,"['1\nPRIMERO PARTIMOS LOS SOLOMILLOS EN FILETES MAS O MENOS GRUESOS Y LES PONEMOS UN POCO DE SAL.ENTONCES LOS SALTEAMOS HASRTA QUE QUEDEN DORADOS. LOS RESERVAMOS.', '2\nPARTIMOS LA CEBOLLA A TAQUITOS PEQUEÑOS ES DECIR A CUADROS. Y LA SALTEAMOS HASTA QUE QUEDE POCHADA.', '3\nENTONCES LE AÑADIMOS EL JAMON TAMBIEN TROCEADO EN TROCITOS PEQUEÑOS EL HUEVO Y SOFREIMOS. EL HUEVO TAMBIEN A TROCITOS.', '4\nUNA VEZ SOFRITO TODO LE AÑADIMOS EL TOMATE Y LE DAMOS UNAS VUELTAS. A CONTINUACION LE PONEMOS UN POCO DE ROMERO Y TOMILLO AL GUSTO PERO NO DEMASIADO.', '5\nUNA VEZ FINALADO TODA ESTA OPERACION LE PONEMOS 2 VASOS DE AGUA Y LAS ACEITUNAS.ENTONCES LO PASAMOS POR EL TURMIX NO MUY PICADO PERO TAMPOCO MUY GRUESO.', '6\nLA DEJAMOS REDUCIR HIRVIENDO UNOS 10 MINUTOS.CUANDO ESTE REDUCIDA LA SALSA LE PONEMOS EL SOLOMILLO Y LO DEJAMOS 5 MINUTOS MAS HERVIR.', '7\nY YA ESTA LISTO PARA SEVIR.', '8\nDISPONER EN 4 PLATOS INDIVIDUALES DE 3 A 4 TROCITOS DE SOLOMILLO CON UN POQUITO DE SALSA CADA UNO POR ENCIMA.', '9\nCOMO GUARNICION PREPARAREMOS UNAS VERDURITAS SALTEADAS Y UNAS PATATITAS HERVIDAS.']","Valoración: 3,3 (36 votos)","['2 SOLOMILLOS DE CERDO', '1 CEBOLLA', '3 LONCHAS DE JAMON SERRANO', '1 HUEVO DURO', '40 G. DE TOMATE FRITO', '25 ACEITUNAS NEGRAS AMARGAS O PICADAS', 'SAL', 'ACEITE DE OLIVA', 'ROMERO', 'TOMILLO']",https://www.recetasgratis.net/receta-de-solomillo-de-cerdo-a-la-provenzal-17544.html,,,,,,
Salteado de Carne,,"['1\nPicar en trocitos el lomo, sofreirlo en aceite de oliva,agregarle ajo, pimienta y sal al gusto.', '2\nLuego echarle tomate, cebollas, pimenton y cilantro en trozos pequeños revolver todo y luego tapar por 20 minutos.', '3\nDespues de destapar colocar varias cucharadas de salsa de soya, y listo! nota: acompañar con arroz y papas al vapor.']","Valoración: 3,4 (5 votos)","['Lomo', 'Aceite de oliva', 'Ajo', 'Sal', 'Pimienta', 'Tomate', 'Cebolla', 'Pimentón dulce', 'Cilantro', 'Salsa de soja', 'PARA LA GUARNICIÓN', 'Arroz blanco cocido', 'Patata al vapor']",https://www.recetasgratis.net/receta-de-salteado-de-carne-17501.html,,,,,,
Redondo de Ternera Mechado,,"['1\nLimpiar y cortar la cebolla, la zanahoria y el puerro y colocarlo todo en una fuente de horno.', '2\nCon la ayuda de la aguja de mechar, insertar el bacon en la carne, salpimentar y colocar sobre las hortalizas.', '3\nMezclar el aceite y las hierbas aromáticas y regar la carne.', '4\nHornear a 180º durante media hora aproximadamente.', '5\nMientras se asa la carne regar con vino blanco y 5 minutos antes de que esté listo, añadir el coñac.', '6\nCuando la carne esté lista, retirar.', '7\nDejar reducir el caldo con las hortalizas, pasar la salsa por el chino y servir con la carne cortada en lonchas y la guarnición.', '8\nPara 8 personas.']","Valoración: 3,3 (37 votos)","['1200 gr redondo de ternera', '3 ud cebolla mediana', '200 gr bacon', '4 ud zanahoria mediana', '1 ud puerro', '25 cl vino blanco', '1 dl aceite de oliva', '25 cl caldo de carne', 'Sal', 'Pimienta', 'Nuez moscada', '1 ramillete hierbas aromáticas']",https://www.recetasgratis.net/receta-de-redondo-de-ternera-mechado-17357.html,,,,,,
