title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Albóndigas de cocido,,"['1\nPasa los garbanzos, el puerro y las zanahorias por el pasapuré.', '2\nAgrégale la carne picada y mézclalo todo bien (si queda demasiado ligero, añádele un poco de pan rallado).', '3\nDale forma a las albóndigas.', '4\nPara preparar la salsa de tomate, pon a pochar en una cazuela la cebolla, los tomates y los dientes de ajo, todo limpio y troceado.', '5\nSazona y añade también una pizca de azúcar.', '6\nDéjalo hacer durante 30 minutos. Pasa la salsa por un pasapuré.Reboza las albóndigas en harina y fríelas en una sartén con aceite.', '7\nSirve las albóndigas de cocido con la salsa de tomate y espolvorea con perejil picado. También puedes introducirlas en la salsa.', '8\nDéjalas hacer unos minutos y sirve.']","Valoración: 3,3 (24 votos)",,,,,,[],"['Para 4 personas', '250 gr. de zancarrón (morcillo) o carrilleras', '250 gr. de garbanzos cocidos', '2 zanahorias cocidas', '1 puerro cocido', 'Harina', 'Perejil picado', 'Aceite', 'Para la salsa de tomate', '4 tomates', '3 dientes de ajo', '1 cebolla', 'Aceite', 'Sal', 'Azúcar']",https://www.recetasgratis.net/receta-de-albondigas-de-cocido-13164.html
Albóndigas con jamón y queso,,"['1\nPica los dientes de ajo y la cebolla y pon a pochar en una sartén con aceite. Haz un corte (en forma de cruz) en la parte inferior de los tomates y escáldalos en una cazuela con agua hirviendo. Pélalos, trocéalos y añádelos a la sartén. Agrega una pizca de sal y de azúcar y cocina durante 20 minutos.', '2\nPon la miga de pan a remojar con un poco de leche. Cuando se empape bien retírale la leche sobrante. Mezcla en un bol, la carne picada, el jamón picado, el pan remojado y escurrido, el huevo y un poco de perejil picado. Salpimienta y amasa a mano hasta conseguir una masa homogénea.', '3\nCorta el queso en dados. Coge pequeñas porciones de carne, coloca en el centro de cada una, un dado de queso y forma las bolitas.', '4\nPásalas por harina y fríelas en una sartén con aceite. Sirve en el fondo de la fuente la salsa de tomate y coloca encima las albóndigas. Decora con una rama de perejil. Si te sobra carne picada, puedes saltearla en una sartén hasta que cambie de color y adquiera un tono marrón, sin que se cocine totalmente. Luego puede utilizarse sobre una pizza o cocinarla con salsa de tomate para hacer una salsa boloñesa.']","Valoración: 3,3 (24 votos)",,,,,,[],"['600 gr. de carne picada', '150 gr. de jamón', '100 gr. de queso', '1 huevo', '100 gr. de miga de pan', 'un poco de leche', '4 tomates', '1 cebolla', '1 pimiento verde', '2 dientes de ajo', 'harina', 'agua', 'aceite virgen extra Hojiblanca', 'sal', 'azúcar', 'pimienta', 'perejil']",https://www.recetasgratis.net/receta-de-albondigas-con-jamon-y-queso-13088.html
Jarretes de cordero,,"['1\nLimpia las patatas, envuélvelas en papel de aluminio.', '2\nColoca en una bandeja de horno e introduce en el horno (previamente calentado) a 200ºC, durante 35 minutos.', '3\nLimpia los jarretes, salpimiéntalos y ponlos a dorar en la olla rápida.', '4\nCuando estén dorados, añade la cebolla troceada y los ajos fileteados.', '5\nRehoga brevemente. Vierte el vino blanco, agua hasta cubrir y sazona.', '6\nCierra la olla y deja cocer durante 10 minutos desde el momento en que empiece a salir el vapor.', '7\nRetira los jarretes y cuela el caldo.', '8\nLimpia las judías verdes, retirando las puntas y los hilos.', '9\nPon un poco de aceite en una sartén y saltéalas brevemente.', '10\nCorta las patatas por la mitad y colócalas en una fuente, sirve al lado los jarretes y en el centro las judías.', '11\nRiega los jarretes con un poco de aceite selección carnes y espolvorea las patatas con perejil picado y sal.', '12\nNo tiréis el caldo resultante de cocer los jarretes porque puede resultar muy útil para añadir a cualquier plato de legumbres, guiso e incluso arroz.', '13\nPara aprovecharlo, no tenéis más que colarlo y después congelarlo en una hielera.', '14\nAl estar dividido en pequeñas porciones podréis coger solo la cantidad necesaria para cada ocasión.']","Valoración: 3,4 (26 votos)",,,,,,[],"['4 jarretes de cordero', '4 patatas', '200 gr de judías verdes', '1 cebolla grande', '6 dientes de ajo', '2 vaso de vino blanco', 'Agua', 'Aceite virgen extra Hojiblanca', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-jarretes-de-cordero-13073.html
Jamon york empanado,,"['1\nPasar las lonchas por la harina, el huevo y el pan rallado, a continuación freírlas en una sartén y colocarlas luego en el plato acompañándolas de patatas paja o patatas chips.']","Valoración: 3,4 (11 votos)",,,,,,[],"['4 lonchas gruesas de jamón york', '1 huevo', 'pan rallado', 'harina', '2 patatas paja', 'aceite']",https://www.recetasgratis.net/receta-de-jamon-york-empanado-13071.html
Hígado de ternera con pimientos verdes fritos,,"['1\nPela y pica las cebollas en juliana fina y ponlas a pochar en una sartén con aceite.', '2\nCuando estén bien doradas, agrega los tomates cherry y cocínalos durante 5 minutos más.', '3\nPon el vinagre en un bol, pela y pica los dientes de ajo en láminas y añádelos.', '4\nRetira los nervios y los bordes de los filetes de hígado y colócalos en el bol.', '5\nDéjalos macerar durante unos 10-15 minutos.', '6\nRetíralos, escúrrelos bien, sálalos y pásalos por una mezcla de pan rallado y perejil picado.', '7\nPincha los pimientos con un palillo y ponlos a freír en una sartén con aceite.', '8\nRetíralos a un plato y sálalos.', '9\nSirve los filetes de hígado, acompáñalos de los pimientos verdes fritos y de la fritada de cebolla y tomate.', '10\nAntes de freír un filete de hígado es recomendable retirarle los bordes con un cuchillo.', '11\nDe esta forma al freír no se encogerán ni abombarán.']","Valoración: 3,5 (27 votos)",,,,,,[],"['Para 4 personas', '4 filetes de hígado de ternera', '4 cebollas', '250 gr. de tomates cherry', '24 pimientos verdes pequeños', '4 dientes de ajo', 'aceite virgen extra Hojiblanca', '3 cucharadas de vinagre', 'sal', 'perejil picado']",https://www.recetasgratis.net/receta-de-higado-de-ternera-con-pimientos-verdes-fritos-13034.html
Hígado de ternera al vino tinto,"En esta receta aprenderás a preparar hígado al vino tinto con champiñones, un plato perfecto para acompañar con arroz blanco o una ensalada verde. Sigue leyendo y prepara con RecetasGratis.net esta delicia.","['1\nCortar el hígado en dados de 1 centímetro o centímetro y medio de grosor. Salpimentamos y salteamos la carne en una sartén con aceite de oliva y un diente de ajo.', '2\nRetiramos el hígado y pochamos en la misma grasa la cebolla picada finamente. Cuando empiece a coger color se añade una cucharada de harina, rehogamos hasta que tome color.', '3\nA continuación añdimos los champiñones, un vaso de vino tinto y las especias que se desee (tomillo, salvia, orégano...).', '4\nSubimos el fuego y mantenemos el hervor durante 2 o 3 minutos. Añadimos el hígado y dejamos cocer durante otros 3 o 4 minutos, sin dejar que se haga excesivamente.', '5\nServir inmediatamente el hígado al vino tinto, sin dejar que se enfríe, y acompañándolo de patatas fritas o patatas al horno.']","Valoración: 3,5 (31 votos)",4 comensales,45m,Plato principal,Dificultad media,,[],"['600 gramos de Hígado de ternera en tacos', 'Hierbas aromáticas al gusto', '100 gramos de Champiñones cocidos', '1 unidad de Cebolla picada', '1 vaso de Vino tinto', '1 cucharada sopera de Harina', '1 pizca de Pimienta', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-higado-de-ternera-al-vino-tinto-13032.html
Hígado de cordero salteado,,"['1\nFiletea los dientes de ajo y pica el pimiento y la cebolla en juliana fina. Pon a pochar en una sartén con un poco de aceite.', '2\nCuando esté bien pochado, sazona y añade el hígado cortado en tacos previamente salpimentados.', '3\nRehógalo bien y agrega el jerez, la salsa de tomate y las patatas fritas. Guísalo unos minutos y espolvorea con perejil picado.', '4\nAparte, en una cazuela con agua hirviendo y un chorro de vinagre escalfa los huevos.', '5\nSirve el hígado acompañado de los huevos escalfados, tambien espolvoreados con perejil picado.']","Valoración: 3,4 (27 votos)",,,,,,[],"['500 gr. de hígado de cordero', '4 huevos', '1 cebolla', '1 pimiento verde', '2 dientes de ajo', '4 cucharadas de salsa de tomate', '½ copa de jerez', 'Patatas fritas en tacos', 'Agua', 'Aceite virgen extra Hojiblanca', 'Vinagre', 'Sal', 'Pimienta', 'Perejil picado']",https://www.recetasgratis.net/receta-de-higado-de-cordero-salteado-13031.html
Higado al jerez,,"['1\nPica finamente las cebollas, el pimiento y el ajo. Pochalo bien en una cazuela con aceite. Sazona y añade unos granos de pimienta.', '2\nDespués, agrega la harina y rehoga. Incorpora el hígado troceado en tacos y sazonado.', '3\nUna vez rehogado, vierte el jerez y un poco de agua y espolvorea con perejil picado.', '4\nDeja que todo cueza unos 15 minutos aproximadamente.', '5\nMientras tanto, pela, corta las patatas en dados y fríelas en aceite caliente.', '6\nAñade las patatas fritas, espolvorea con perejil, dale un último hervor y sirve.']","Valoración: 3,4 (25 votos)",,,,,,[],"['Para 4 personas', '800 grs. de hígado de ternera', '1 cebolla y 1 cebolleta', '1 pimiento verde', '1 cuch. de harina', '1 diente de ajo', '1/2 vaso de jerez', '1/2 vaso de agua', '2 patatas', 'Perejil picado', 'Aceite', 'Sal', 'Unos granos de pimienta']",https://www.recetasgratis.net/receta-de-higado-al-jerez-13029.html
Filetes rellenos de verduras,,"['1\nPela las patatas y la calabaza y trocéalas. Ponlas a cocer en la olla rápida con agua. En 4 minutos estarán a punto. Pásalas por el pasa purés, salpimienta, espolvorea con un poco de perejil picado y mezcla bien.', '2\nLimpia las verduras (ajos frescos, judías verdes y cebolletas). Corta las judías en 2 y las cebolletas en 4 a lo largo. Pon todo a pochar en una sartén con un poco de aceite. Salpimienta los filetes y rellénalos con las verduras. Enróllalos, ciérralos con un palillo y pásalos por pan rallado.', '3\nAplasta con el cuchillo los dientes de ajo sin pelar y ponlos a freír en una sartén con aceite. Añade los filetes, fríelos, y escúrrelos sobre papel absorbente de cocina.', '4\nSirve el puré en el centro de una fuente. Riégalo con aceite y coloca encima los rollitos de filete. Si quieres evitar intoxicaciones alimentarias, lávate las manos antes de manipular las carnes y evita utilizar los mismos utensilios para alimentos crudos y cocinados.']",,,,,,,[],"['8 filetes de redondo de ternera', '8 ajos frescos', '8 judías verdes', '2 cebolletas', '400 gr. de calabaza', '3 patatas', 'pan rallado', 'agua', 'aceite virgen extra Hojiblanca', 'sal', 'pimienta', 'perejil picado']",https://www.recetasgratis.net/receta-de-filetes-rellenos-de-verduras-12887.html
Filetes rellenos de pimientos,,"['1\nCuece la pasta en agua hirviendo con sal y un chorro de aceite.', '2\nEscurre, refréscala con agua y resérvala bien escurrida.', '3\nSalpimenta los filetes y rellénalos con unas tiras de pimiento asado, envolviéndolos sobre si mismos. (pínchalos con un palillo o átalos con cuerda de liz para que no se suelten al freir).', '4\nPásalos por harina, huevo batido y pan rallado.', '5\nFrie en abundante aceite caliente y acompáñalos con la pasta salteada con unos taquitos de jamón y 2 dientes de ajo pelados y enteros.', '6\nPuedes decorar el plato con trozos de limón y perejil.', '7\nEs importante que los filetes sean finos y que los pimientos estén recién asados y pelados.']","Valoración: 3,8 (4 votos)",,,,,,[],"['Para 4 personas', '4 filetes finos de ternera', '2 pimiento asado y pelado', 'Harina', 'huevo batido', 'pan rallado', '200 grs. de pasta', '100 grs. de jamón curado', '2 dientes de ajo', 'Aceite', 'agua', 'Perejil picado', 'sal', 'pimienta', '1 limón']",https://www.recetasgratis.net/receta-de-filetes-rellenos-de-pimientos-12886.html
