title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Ponche Chevalier,,"['1\nEn un recipiente grande mezcle desde el jugo de limones hasta el vermouth dulce, refrigere por dos horas.', '2\nAl momento de servir vierta la mezcla en una ponchera con un bloque de hielo, agregue la champagne y el agua efervescente.']","Valoración: 3,3 (42 votos)","['El jugo de 12 limones', '1 taza de azúcar en polvo', '2 tazas de cognac o brandy', '2 tazas de ron blanco', '2 botellas de clarete', '2 tazas de vermouth dulce', '1/2 botella de champagne', '1 botella grande de agua efervescente']",https://www.recetasgratis.net/receta-de-ponche-chevalier-19830.html,,,,,,
Oasis,,"['1\nCombine en el vaso mezclador con cubitos de hielo.', '2\nRemueva y vierta sobre un vaso alto.', '3\nDecore con una rodaja de limón y bolitas de sandía.']","Valoración: 3,3 (42 votos)","['1 Medida de Vodka', '1/2 Medida de Licor de Cherry', '1/4 Medida de Jugo de Limón', '3 Medidas de Jugo de Sandia']",https://www.recetasgratis.net/receta-de-oasis-19809.html,,,,,,
Mint tequila,,['1\nVierta todos los ingredientes en la batidora. Utilice velocidad media durante 20 seg. Sirva en una copa de cóctel.'],"Valoración: 2,8 (10 votos)","['3/4 Medida de Tequila', '6 Hojas de Menta', '1/4 Medida de Jugo de Limón', '1 Cucharadita de Azúcar', '1/2 Taza de Hielo Picado']",https://www.recetasgratis.net/receta-de-mint-tequila-19800.html,,,,,,
¡Una long drink chocolateada!,"El cóctel lumumba es una bebida llamada así por el político congoleño Patrice Lumumba. Es muy fácil y práctica de hacer ya que solamente se necesitan 2 ingredientes para elaborar. Si quieres que sea un poco menos calórico, intenta preparar el batido de chocolate de forma casera. Sigue leyendo los pasos que te damos en RecetasGratis y consigue esta bebida súper dulce y deliciosa.","['1\nMezclar la copa de brandy y el batido de chocolate.\nTruco: También se pueden utilizar otras bebidas alcohólicas de alta graduación como el amaretto, el coñac o el ron.', '2\nServir en un vaso largo o copa alta.', '3\nTambién se puede servir el cóctel lumumba como bebida caliente.No te pierdas otros cócteles o bebidas famosos o curiosos como:Cóctel BelliniCóctel destonilladorCóctel piedra\nTruco: Se puede añadir un poco de crema de leche o nata montada por encima.']","Valoración: 3,4 (44 votos)","['1 copa de brandy', '1 batido de chocolate']",https://www.recetasgratis.net/receta-de-coctel-lumumba-19784.html,1 comensal,10m,,Dificultad baja,,[]
Luces de La Habana,,"['1\nColocar los cuatro cubos de hielo en un vaso.', '2\nAgregar los dos licores en el vaso, el Malibú y el Midori. La medida de la receta (60 cc.) equivale a un vaso de chupito. El Malibú es un ron de coco y el Midori es un licor de melón de color verde intenso.', '3\nAñadir el jugo de piña y de naranja cuidando que quede una capa de cada color. Para lograr esto es necesario utilizar zumo natural, de lo contrario será bastante complicado.', '4\nCompletar con agua mineral y disfrutar del cóctel Luces de La Habana.']","Valoración: 3,6 (52 votos)","['60 centímetros cúbicos de Malibú', '60 centímetros cúbicos de Midori', '150 centímetros cúbicos de Jugo de piña', '150 centímetros cúbicos de Jugo de naranja', '60 centímetros cúbicos de Agua', '4 cubos de Hielo']",https://www.recetasgratis.net/receta-de-luces-de-la-habana-19783.html,1 comensal,15m,,Dificultad baja,,[]
Licor de Higos Secos,,"['1\nPara este tipo de licores se usa una botella de boca ancha, se colocan uno a uno los higos ayudándose con un palito de anticucho en forma ordenada y metiendo al medio los aliños.', '2\nEl primer día se agrega el rhum, el segundo día el aguardiente y el tercer día el almíbar que debe ser clara.', '3\nPonerla al sol durante una semana y a seguir 4 meses a la sombra en el lugar en donde acostumbre a guardar los licores.', '4\nAl final de los 4 meses puede resolver colarlo o dejarlo con las frutas adentro, (yo dejo las frutas adentro y después las utilizo para queque ingles.']","Valoración: 3,4 (43 votos)","['1/2 kilo de higos secos bien sanitos', '1/2 kilo de azúcar hecha almíbar', '2 tazas de rhum (ron negro)', '2 tazas de aguardiente de cana o mejor de uva', '3 hojas frescas de higuera', '1 palo de vainilla', '3 clavos de olor']",https://www.recetasgratis.net/receta-de-licor-de-higos-secos-19770.html,,,,,,
Licor de grosella,,"['1\nLavar las grosellas, escurrirlas, ponerlas en una fuente y aplastarlas con un tenedor.', '2\nPasarlas a una terrina, y poner en ellas el aguardiente. Dejar en maceración 24 horas.', '3\nPreparar un almíbar disolviendo, a fuego lento el azúcar con el agua. Cocer 5 min. Y dejar enfriar.', '4\nPasar la maceración por tamiz de tela, prensando un poco, para extraer el máximo de jugo.', '5\nMezclar con el almíbar frío y poner en botellas con unas hojas de grosellero.', '6\nSe puede consumir enseguida.', '7\nUtilización: con piña y melocotón (natural o en almíbar), con helado de vainilla.']","Valoración: 3,4 (45 votos)","['¾ kg. grosella roja', '½ l. aguardiente de orujo', '½ kg. azúcar', '¾ l. Agua']",https://www.recetasgratis.net/receta-de-licor-de-grosella-19766.html,,,,,,
Licor de grosella con vainilla,,"['1\nLavar las grosellas y las hojas, escurrirlas y secarlas sobre un paño limpio Pasarlas a un tarro, previamente esterilizado, alternándolas con las hojas de grosellero, y la vainilla partida en varios trozos.', '2\nAñadir el orujo, tapar y dejar en maceración durante 2 meses.', '3\nPasado este tiempo, filtrar por un tamiz de tela y reservar este orujo.', '4\nPoner las grosellas con los ¾ l.', '5\nDe agua en un recipiente amplio, y triturarlas ligeramente con una batidora de mano.', '6\nPasar por tamiz de tela, poner este líquido en la cazuela de confituras, añadir el azúcar y disolver a fuego lento.', '7\nCocer 5 min.', '8\nY dejar enfriar.', '9\nMezclar con el orujo reservado, pasar a botellas y esperar 1 mes antes de consumir.', '10\nServir frío o con hielo.', '11\nUtilización: con piña y melocotón (natural o en almíbar), con helado de vainilla, con sorbete de frambuesa.']","Valoración: 3,4 (43 votos)","['Para 2 l. escasos de licor.', '1 kg. grosella roja', '6 hojas de grosellero', '1 l. aguardiente de orujo', '1 vaina de vainilla natural', '½ kg. azúcar', '¾ l. Agua.']",https://www.recetasgratis.net/receta-de-licor-de-grosella-con-vainilla-19767.html,,,,,,
Licor de café casero,Aprende cómo hacer licor casero con esta receta fácil de RecetasGratis.net. El licor de café casero será un aperitivo perfecto y además podrás utilizarlo al preparar algunos postres.,"['1\nMezclar los granos de café con el anís estrellado y el aguardiente, y dejar macerar 24 horas.', '2\nUna vez pasado este tiempo, lavar bien las naranjas y el limón.', '3\nCortar las cáscaras en juliana.', '4\nEscaldarlas en agua hirviendo, escurrirlas y reservar.', '5\nHacer un almíbar con el azúcar y el agua y añadir las pieles de los cítricos.', '6\nDejar enfriar el licor de café, incorporar el aguardiente y filtrar en una botella bonita.']","Valoración: 3,3 (44 votos)","['100 gramos de Café en grano de tueste natural', '250 gramos de Azúcar (1¼ tazas)', '1 litro de Aguardiente', '100 mililitros de Agua', '1 unidad de Naranja', '1 unidad de Limón', '5 piezas de Anís estrellado']",https://www.recetasgratis.net/receta-de-licor-de-cafe-casero-19763.html,10 comensales,24h,,Dificultad baja,,[]
La jirafa,,"['1\nSe pone hielo picado en un vaso.', '2\nSe añade El tequila y el zumo de naranja.']","Valoración: 3,3 (42 votos)","['1 Copa de tequila', '1 vaso de zumo de naranja']",https://www.recetasgratis.net/receta-de-la-jirafa-19751.html,,,,,,
