title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Ensalada 7 pisos,,"['1\nPicar la cebolla en pedazos bien pequeños. Picar los huevos de igual manera. Si no encuentra la bolsita de bacon, compre el paquete y lo pone en el microhondas a tostar y luego lo tritura.', '2\nPonen todos los ingredientes en capas en un recipiente y refrigerarlo. Al momento de servir mezclar con mayonesa.', '3\nBuen provecho.']","Valoración: 3,7 (37 votos)",,,,Dificultad baja,"['1 capa de 1 lechuga romana', '1 capa de 5 huevos hervidos', '1 capa de 1 lata de sweet peas', '1 capa de 1 bolsita de Bacon', '1 capa de Queso parmesano', '1 capa de Queso Cheddar o el de su preferencia', '1 cebolla lila', 'Mayonesa']",https://www.recetasgratis.net/receta-de-ensalada-7-pisos-37502.html,,
Ensalada de manzana y nueces,"Disfruta de una de las ensaladas dulces más populares de las fechas decembrinas. Hablamos de la ensalada de manzana y nueces navideña, esa ensalada cremosita con el toque crujiente de la nuez que simplemente no debes dejar de probar.RecetasGratis trae para ti una receta muy práctica y sencilla de esta ensalada, para que la prepares en casa y sorprendas a tu familia en la cena de Navidad o Año Nuevo. Sigue leyendo y aprende cómo hacer ensalada de manzana y nuez.","['1\nPara comenzar la receta de ensalada de manzana y nueces, prepara el recipiente donde harás la ensalada. Asegúrate de que sea grande y amplio. En él, vacía la media taza de almíbar del durazno, la crema ácida y la leche condensada y mezcla hasta lograr que se integre todo.', '2\nPica los duraznos en almíbar en cuadros pequeños. Si no te gusta el durazno, puedes sustituirlo por alguna otra fruta en almíbar, como piña, o incluso agregar ambas frutas, ya que la ensalada de manzana y nuez quedará igualmente exquisita.', '3\nIntroduce los duraznos cortados en el recipiente de la crema y mezcla.', '4\nPela la manzana y pícala en cuadritos de tamaño similar al de los duraznos, ve agregándola al recipiente de la crema y mezcla.\nTruco: te recomendamos pelar y picar una por una cada manzana para evitar que se empiecen a oxidar.', '5\nCuando hayas picado toda la manzana, mezcla muy bien para integrarla con todo. Si lo prefieres, puedes añadir más fruta como uva o pera.', '6\nPica la nuez en trocitos medianos. La cantidad de este ingrediente es al gusto, de manera que puedes añadir más si quieres notar todavía más su presencia en la ensalada. Agrégala al recipiente y mezcla por última vez para que se integren todos los ingredientes.\nTruco: puedes agregar también uvas pasas en la mezcla o añadirla al momento de servir.', '7\n¡Y listo! Sirve tu ensalada de manzana y nueces, disfrútala fría y acompáñala con más nuez o uva pasa. Si no vas a servirla al momento o quieres que los ingredientes se acaben de asentar, puedes tapar el recipiente con papel film y reservarlo en la nevera.']","Valoración: 4,1 (59 votos)",10 comensales,30m,Postre,Dificultad baja,"['1 kilogramo de manzana amarilla', '1 lata de durazno en almibar', '½ taza de almíbar del durazno', '400 gramos de crema ácida', '1 lata de leche condensada', '50 gramos de nuez pecana (al gusto)', '50 gramos de uvas pasas (opcional)']",https://www.recetasgratis.net/receta-de-ensalada-de-manzana-y-nueces-37479.html,,['Recetas para Navidad']
ENSALADA BRASILEÑA,,"['1\nPICA LA MANZANA EN CUBOS MEDIANOS , RAYA LA ZANAHORIA Y PICA LA PIÑA Y PONLOS EN UN TOPER O EN UN REFRACTARIO CON TAPA Y REVUELVELAS.', '2\nEN OTRO TRASTE GDE REVUELVE LA LECHE CONDENSADE LA MEDIA CREMA LA CREMA LA MIEL Y EL JUGO DE LA PIÑA .', '3\nAGREGA ESTA MEZCLA A LA FRUTA TAPA Y DEJA REPOSAR PARA QUE SE INTEGREN LOS SABORES .', '4\nESPOLVOREA LA NUEZ Y SIRVE', '5\nAPROX 10 PERSONAS.']",Valoración: 4 (77 votos),,,,Dificultad baja,"['1 kilogramo de MANZANAS', '½ unidad de ZANAHORIA', '2 latas de PIÑA EN ALMIBAR', '2 latas de LECHE CONDENSADA', '2 latas de MEDIA CREMA', '1 litro de CREMA', '1 lata de JUGO DE UNA LATA DE LAS PIÑAS', '4 cucharadas soperas de MIEL DE ABEJA', '1 pizca de NUEZ PICADA AL GUSTO']",https://www.recetasgratis.net/receta-de-ensalada-brasilena-37390.html,,
Ensalada de pasta de colores,"Si te gustan las típicas ensaladas de pasta, esta ensalada veraniega es perfecta para ti. Utiliza la pasta corta que más te guste y aliña con una salsa hecha con mayonesa, mostaza y unos cuantos ingredientes extras para conseguir una riquísima ensalada de pasta de colores, ya verás como esta receta no e defrauda.","['1\nCocinar la pasta con el cubito de ajo y la sal china hasta que esté en su punto. Recuerda comprobar siempre el tiempo de cocción recomendado por el fabricante para que la pasta te quede perfecta.Cuando la pasta esté lista, escurre y reserva en un bol para que se enfríe a temperatura ambiente.', '2\nAparte, en otro bol más pequeño, mezcla el resto de los ingredientes hasta formar una crema. Bate la mantequilla junto con la mayonesa, mostaza, sal y pimienta. Agrega también cebolla, chile y culantro picado todo finamente.Si quieres hacer tu mismo la mayonesa puedes seguir cualquiera de estas recetas paso paso:Mayonesa caseraMayonesa veganaMayonesa sin huevo', '3\nComprueba la sazón de la crema de aderezo y cuando esté a tu gusto, mezcla con la pasta. Revuelve bien para que se reparta por todo el conjunto y la pasta quede toda bien impregnada. Refrigera hasta el momento de servir.', '4\nSirve la ensalada de pasta de colores sobre una cama de lechuga y a disfrutar. Esta ensalada fresca es ideal para llevarte de pic-nic o para un día de playa y recuerda que siempre puedes añadir ingredientes extras como tomates secos, bacon, jamón, o guisantes.']","Valoración: 2,5 (2 votos)",3 comensales,15m,Entrante,Dificultad baja,"['1 libra de Pasta corta', '½ libra de Mantequilla', '¼ taza de Mayonesa', '1 cucharadita de Mostaza', 'Culantro', '1 Cebolla', '1 Chile dulce', '1 pizca de Sal y Pimienta', '1 pizca de Ajinomoto o Sal china', 'Ajinomoto (sal china)', 'Cubito de ajo']",https://www.recetasgratis.net/receta-de-ensalada-de-pasta-de-colores-37321.html,,['Recomendada para vegetarianos']
¡Con pollo y huevo cocido!,Prueba esta deliciosa y facilísima receta de ensalada de papa y pasta con pollo y huevo duro para disfrutar con toda la familia en cualquier momento porque se necesita muy poco tiempo para hacerla y queda de rechupete. Verás que siguiendo el paso a paso de RecetasGratis te resulta muy sencilla su preparación pero aún así ¡está buenísima!,"['1\nEn una olla grande con 1 litro y medio de agua colocar el pollo que previamente se ha cortado en pedazos pequeños, el cubito de caldo de gallina y las papas cortadas en cuadritos.', '2\nCocinar a fuego medio y esperar a que el pollo y las papas estén blandas y hayan soltado sustancia.', '3\nAñadir las conchas de pasta y los huevos y esperar 15 minutos hasta que estas estén completamente hidratadas y cocidas con los jugos del pollo y la papa. Puedes utilizar otro tipo de pasta corta en vez de conchitas para hacer esta ensalada fría de papa y pasta si lo prefieres.\nTruco: Sacar los huevos a los 10 minutos para que no se pasen de cocción.', '4\nUna vez que está cocido se cuela todo el contenido y se pasa a una fuente o ensaladera con los huevos duros troceados.', '5\nAgregar los guisantes cocidos, la cebolleta en rodajas y los tomates en trocitos a la ensalada de patatas y pasta.', '6\nAñadir la salsa mayonesa y remover la ensalada de pasta y papa con cuidado para no triturar los tubérculos.\nTruco: Añade más mayonesa o cualquier otra salsa de tu preferencia si lo deseas.', '7\nPara servirla, colocar las hojas de lechuga crespa como cama o nido en la base del plato. Luego añadir toda la ensalada de papa con pollo y pasta por encima, espolvorear un puñado de semillas de eneldo y servir tibia inmediatamente o fría esperando un poco. ¡Como más te guste!\nTruco: Esta misma ensalada de patatas también puede prepararse con atún en lugar de pollo.']","Valoración: 3,5 (26 votos)",3 comensales,45m,Plato principal,Dificultad baja,"['250 gramos de pasta en conchitas (u otra pasta corta)', '1 libra de papas', '1 pechuga de pollo grande', '1 cubo de caldo de gallina concentrado', '4 hojas de lechuga crespa', '2 cebolletas', '100 gramos de guisantes cocidos', '2 tomates grandes', '300 gramos de mayonesa', '2 chorros de huevos', '1 pizca de semillas de eneldo']",https://www.recetasgratis.net/receta-de-ensalada-de-papa-y-pasta-36903.html,,[]
Ensalada de col picante,,"['1\nSe parte el jitomate a la mitad, se le quita las semillas y se pica en cubos pequeños.', '2\nSe le agrega la col previamente cortada en forma juliana, se agrega el cilantro y el chile picados y se sazona con sal y limon.']","Valoración: 3,9 (20 votos)",,,,Dificultad baja,"['1 col mediana', '4 jitomates', 'Cilantro', '5 chiles serranos picados', 'Sal', 'Limon']",https://www.recetasgratis.net/receta-de-ensalada-de-col-picante-36595.html,,
ENSALADA DE ORELLANAS(hongos) Y QUESO,,"['1\nTaje finamente las orellanas y póngalas en una ensaladera.', '2\nAparte prepare una salsa mezclando el aceite de oliva con el jugo de limón y condimente con una pizca de sal y pimienta, revolviendo ligeramente.', '3\nAgregue a las orellanas el queso parmesano y vierta encima el aderezo preparado revolviendo delicadamente.', '4\nEspolvoree la ensalada con el perejil y sirva inmediatamente.', '5\nAcompañe con pan tajado integral.']","Valoración: 3,7 (41 votos)",,,,Dificultad baja,"['500 g de orellanas Frescas Enteras', '¼ de libra de queso parmesano rallado', '6 Cucharadas de aceite de oliva', '1 Cucharadita de perejil picado', 'El jugo de un limón', 'Sal', 'pimienta al gusto']",https://www.recetasgratis.net/receta-de-ensalada-de-orellanas-hongos-y-queso-36186.html,,
ensalada turca,,"['1\nLimpiar todas las verduras frescas cortar a gusto: lechuga, tomate, verdeo,morron rojo,rabanitos (se pueden utilizar las hojas tiernas)rallar fino la remolacha y la zanahoria,abrir las latas escurrir el liquido mezclando las arverjas y los granos de choclo,cortar los esparragos a gusto,picar los huevosduros,retirar el atun de la lata o del envase, mezclar con el pollo,colocar todo en un bols grande o en una fuente agregar sal,aceite,pimienta negra y aceto balsamico,revolver, probar y sazonar nuevamente si es necesario,decorar con hojas de cilantro o perejil, servir a gusto.']",Valoración: 4 (12 votos),,,,Dificultad media,"['1 planta lechuga', '2 tomates', '1 cebolla de verdeo a gusto', '1 morron rojo sin piel', '1 zanahoria', '1 bulbo de remolacha', '1 lata de arverjas', '1 lata granos de choclo', '1 paquete de esparragos (o 1 lata de esparragos)', 'rabanitos tiernos cantidad a gusto', '2 huevos duros', '1 lata de atun entero', '200gms.,300gms.de pollo deshuesado (cualquier parte)', 'sal', 'aceite', 'pimienta negra, a gusto', 'aceto balsamico.']",https://www.recetasgratis.net/receta-de-ensalada-turca-36036.html,,
Ensalada colorida,,"['1\nCubrir una fuente con hojas de lechuga formando un ""colchón"". Colocar el arroz en el borde y formar un círculo más adentro con los porotos, las arvejas y las zanahorias. En el centro ubicar los huevos y el tomate. Esparcir por encima ciboulette y albahaca.']","Valoración: 3,3 (27 votos)",,,,Dificultad baja,"['2 zanahorias', '1/2 kilo de porotos de mantecas', '1/2 kilo de arvejas', '1 tasa de arroz', '3 huevos duros', '1 lechuga', '2 tomates en cubos', '5 hojas de albahaca', '2 cdas. de ciboulette', '1 pizca de sal', 'Aceita', 'Limón a gusto']",https://www.recetasgratis.net/receta-de-ensalada-colorida-35776.html,,
Ensalada de papa y huevo cocido,"La ensalada de patata y huevo cocido que te proponemos en RecetasGratis es muy sencilla y rápida de hacer, además de deliciosa y completa. Si empleamos mayonesa light para su elaboración, el resultado será una ensalada fresca mucho más saludable, aunque nosotros nos hemos decantado por la salsa tradicional. Así mismo, podemos añadir más vegetales a la lista de ingredientes, como zanahoria o pimiento, puesto que estos productos solo incrementan el valor nutricional del plato.Quédate con nosotros y descubre cómo hacer ensalada de papa y huevo cocido, una receta básica que no puede faltar en tu recetario.","['1\nCuece las papas en agua hirviendo a fuego medio y añade una pizca de sal y aceite de oliva si quieres potenciar el sabor. En otro cazo, pon los huevos a cocer. Con 10 minutos de cocción para los huevos será suficiente, las papas pueden tardar entre 10 y 15 minutos. Deben quedar blandas, pero un poco firmes.\nTruco: te recomendamos pelarlas y cortarlas en cubos más bien pequeños para que se cocinen más rápido.', '2\nCuando las papas estén listas, retíralas y pásalas por agua fría para cortar la cocción. Después, colócalas en la fuente que usarás para servir la ensalada de papa y huevo.', '3\nUna vez que los huevos estén cocidos, sácalos del cazo, pásalos por agua fría y retira la cáscara. Trocéalos y añádelos al bol con las papas. Luego, pica el apio y la cebolla finamente. Ahora tienes dos opciones, puedes agregar estos ingredientes directamente a la ensalada o dejarlos 5 minutos en un recipiente con 3 cucharadas de vinagre de manzana, una pizca de sal y pimienta negra para reducir un poco el sabor de la cebolla.\nTruco: puedes cortar un huevo en rodajas y reservarlo para decorar la ensalada de papa.', '4\nAñade las aceitunas cortadas por la mitad y la cebolla en caso de haberla dejado unos minutos reposando. Para complementar la ensalada de papa y huevo, incorpora la mayonesa al gusto, sal y pimienta y mezcla bien.Si lo prefieres, puedes hacer tu propia salsa siguiendo nuestra sencilla receta de mayonesa casera. O, si quieres, puedes sustituirla por salsa tártara por ejemplo.\nTruco: para potenciar el sabor de la ensalada de papa puedes agregar crema ácida (la misma cantidad que de mayonesa) y una cucharada de mostaza.', '5\n¡Listo! Sirve la ensalada de patata y huevo cocido a modo de entrante o plato único. Como plato principal, rinde para dos personas, mientras que como acompañamiento puede dar para cuatro o seis personas, en función de las raciones. Sin duda, esta ensalada de papa es perfecta para servir como acompañamiento del típico pavo horneado para Navidad o Acción de Gracias.\nTruco: puedes añadir zanahoria rallada, pimiento picado...', '6\nEn este vídeo te enseñamos a hacer ensalada de papa y huevo con una salsa todavía más especial, ¡no te lo pierdas!']","Valoración: 3,9 (42 votos)",2 comensales,45m,Entrante,Dificultad baja,"['4 papas medianas', '½ pieza de apio', '1 bote de mayonesa', '1 bote de aceitunas', '4 huevos medianos', '1 pizca de sal', '1 pizca de pimienta', '½ pieza de cebolla morada']",https://www.recetasgratis.net/receta-de-ensalada-de-papa-y-huevo-cocido-35208.html,,['Recomendada para vegetarianos']
