title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Cocido de garbanzos con botillo del Bierzo,,"['1\nEnvolvemos el botillo en papel de aluminio y lo cocemos en una olla con agua durante 1 hora y 30 minutos.', '2\nEn otra cazuela ponemos los garbanzos, que habremos dejado en agua templada desde la noche anterior, con el hueso de lacón y la carne de cocido y cocemos durante dos horas, añadiéndoles un poco de sal.', '3\nCocemos el repollo en una cazuela con agua hirviendo y una pizca de sal durante 30 o 45 minutos, dependiendo de la dureza de la verdura.', '4\nEn otra cazuela cocemos durante 30 minutos las patatas y los chorizos, todo junto.', '5\nUna vez que tengamos cocinados todos los ingredientes, prepararemos un refrito sofriendo en el aceite de oliva los dos dientes de ajo fileteados con el pimentón y lo verteremos encima del repollo las patatas y los garbanzos.', '6\nSe sirve todo junto pero no mezclado.']","Valoración: 3,4 (8 votos)","['200 gramos de garbanzos.', '1 hueso de lacón.', '400 gramos de carne de cocido.', '1 repollo o berza pequeña.', '1 botillo de 1kilo y medio.', '300 gramos de patatas.', '3 chorizos frescos.', '6 cucharadas de aceite de oliva.', '2 dientes de ajo.', '1 cucharadita de pimentón.', 'Sal.']",https://www.recetasgratis.net/receta-de-cocido-de-garbanzos-con-botillo-del-bierzo-28756.html,,,,,,
¡Receta Fácil y Tradicional!,"Esta vez os traigo a RecetasGratis un guiso de patatas con bacalao, un plato de cuchara tradicional y casero. Los guisos de patatas son una delicia ya que cogen el sabor de lo que se le ponga y, en esta ocasión, este pescado que da un sabor riquísimo a los tubérculos y a la salsa. Por eso y más, os mostramos cómo hacer guiso de patatas con bacalao de una forma fácil y tradicional.Además, verás que no se necesita muchísimo tiempo para preparar este guiso de bacalao con patatas y ahora que se acerca Semana Santa es un plato que no puede faltar en la mesa. Si os gusta este pescado esta receta fácil de patatas con bacalao os va a encantar, y encima te ayudará a coger energías, sobre todo en los días de más frío.","['1\nEmpezaremos friendo los trozos de bacalao. Los pasamos por harina y freímos a fuego fuerte un minuto por cada lado. Sacamos y reservamos.\nTruco: si no compras el pescado desalado tendrás que dejarlo en remojo toda la noche y cambiarle el agua varias veces para que el bacalao con patatas no te quede muy salado.', '2\nPicamos la cebolla y el pimiento. En la cazuela donde vayamos a preparar el guiso de bacalao con patatas pondremos un poco de aceite y, cuando esté caliente, añadimos la cebolla y el pimiento y los dejamos cocinar hasta que estén pochados.', '3\nRallamos los tomates y los incorporamos a la cazuela junto con las demás verduras. Lo dejamos unos minutos para que se cocinen.', '4\nPonemos la cucharadita de pimentón dulce y los ajos picados, y enseguida removemos la sartén con todas las verduras de las patatas guisadas con bacalao.', '5\nPelamos las patatas y las troceamos (antes de terminar de cortar las patatas las rompemos o chasqueamos para que suelten el almidón). Las añadimos a la cazuela con todo el sofrito, lo removemos y dejamos unos minutos las patatas con todo y removiendo.', '6\nAñadimos agua hasta cubrir bien las patatas y dejamos cocinar hasta que estas estén hechas.\nTruco: si hiciera falta añadiremos más agua a la olla donde preparamos el bacalao con patatas guisadas.', '7\nCuando estén las patatas guisadas, probamos de sal y añadimos un poco si es necesario. Después, ponemos los trozos de pescado y cocinamos el guiso de bacalao con patatas unos 5-8 minutos.', '8\nApagamos y servimos enseguida el bacalao guisado con patatas para que esté bien caliente. Si queréis podéis espolvorear por encima un poco de perejil fresco.El guiso de patatas y bacalao tiene una combinación de sabores inigualable debido a estos 2 ingredientes principales que lo componen, por eso, si queréis conocer otras recetas en las que podéis combinar estos 2 ingredientes no os perdáis estas sugerencias o visitad mi blog Cocinando con Montse donde también encontraréis muchas más:Tortillitas de bacalaoEnsalada de patata con bacalaoPatatas con huevo y bacalaoBuñuelos de bacalao y patatas']","Valoración: 4,2 (20 votos)","['1 kilogramo de patatas', '4 trozos de bacalao desalado', '1 cebolla', '1 pimiento verde', '2 dientes de ajo', '2 tomates maduros rallados o 5-6 cucharadas soperas de tomate triturado', '1 cucharada postre de pimentón dulce', '1 pizca de sal', '1 chorro de aceite de oliva', 'agua']",https://www.recetasgratis.net/receta-de-guiso-de-patatas-y-bacalao-28745.html,4 comensales,45m,Plato principal,Dificultad baja,,"['Recetas para Semana Santa', 'Recetas españolas']"
Guisado de ternera con cerveza,,"['1\nCalentamos el aceite en una olla exprés.', '2\nRehogamos la carne salpimentada a fuego fuerte hasta que pierda el color crudo.', '3\nIncorporamos la cebolla cortada en tiras, el ajo picado finito, la cerveza y el caldo.', '4\nCerramos la olla y dejamos cocer unos 20-30 minutos después de que empiece a hervir (el tiempo depende de la potencia de cada olla).', '5\nRetiramos del fuego y dejamos enfriar media hora con la olla tapada.', '6\nSacamos la salsa de la olla, la pasamos por el colador chino o por el pasapurés y vertemos sobre la carne.', '7\nEste guiso resulta más sabroso si se come al día siguiente de su elaboración.', '8\nSi queremos que nos quede más espesa la salsa.', '9\nLe añadimos una cucharadita de maicena disuelta en caldo y le damos un hervor para que quede un poco más densa.']","Valoración: 3,6 (7 votos)","['600 g de carne de ternera para guisar en dados', '200 g de cebollas cortadas en tiras finas (en juliana)', '1 diente de ajo picado', 'Una lata de cerveza', 'Un vaso de caldo de carne', '1 cucharadita de sal', '4 cucharadas de aceite de oliva']",https://www.recetasgratis.net/receta-de-guisado-de-ternera-con-cerveza-28353.html,,,,,,
Guiso de liebre al pimentón,,"['1\nLimpiamos la liebre y cortamos en trozos pequeños.', '2\nPelamos y picamos muy pequeñitas las cebollas.', '3\nAsamos los pimientos a la parrilla o en el horno.', '4\nPelamos los pimientos y cortamos en tiras finas.', '5\nCalentamos agua en un cazo y sumergimos los tomates durante 30 segundos, retiramos y los pelamos sacando las semillas y cortándolos en trozos.', '6\nEn una cazuela, calentamos la manteca y freímos las cebollas picadas.', '7\nSazonamos con una pizca de sal y 2 cucharadas de pimentón pero bajando un poco el fuego para que no se queme el pimentón.', '8\nAgregamos los trozos de liebre y removemos para que se frían un poco y cojan el color del pimentón.', '9\nAñadimos el vaso de vino tinto, el vaso de agua y la hoja de laurel.', '10\nTapamos la cazuela y cocemos a fuego muy lento durante 2 horas, rociando de vez en cuando con un poco de agua o caldo si se seca el guisado.', '11\nAñadimos los tomates picados y el pimiento transcurridos 2 horas de cocción y dejamos cocer durante 20 minutos más.', '12\nPonemos al final el punto de sal y servimos en la misma cazuela.']","Valoración: 3,9 (10 votos)","['1 liebre.', '30 g de manteca de cerdo (se puede sustituir por 1 dl de aceite de oliva de 1º).', '250 g de cebolla.', '250 g de tomates.', '2 pimientos morrones.', '1 vaso de vino tinto crianza.', '1 vaso de agua.', '1 hoja de laurel', 'pimentón', 'sal.']",https://www.recetasgratis.net/receta-de-guiso-de-liebre-al-pimenton-28320.html,,,,,,
Guiso de cordero,,"['1\nCortamos el cordero en trozos no muy grandes.', '2\nCalentamos la mitad del aceite y doramos los trozos de cordero.', '3\nDesechamos el aceite donde lo hemos cocinado y la grasa que ha soltado.', '4\nColocamos el resto del aceite en la misma cazuela y agregamos la cebolla picada, salteamos y añadimos los tomates pelados y picados.', '5\nCondimentamos con la sal, la pimienta, el laurel, el ajo y el perejil y cocinamos el conjunto unos 3 ó 4 minutos.', '6\nDespués de este tiempo agregamos el vino.', '7\nIncorporamos los trozos de cordero, las zanahorias cortadas en rodajas y las patatas, en trozos grandes.', '8\nAgregamos el caldo caliente y cocinamos a fuego suave, con el recipiente tapado, durante 20 minutos.', '9\nIncorporamos, por último, los guisantes.', '10\nCocinamos hasta que el cordero esté tierno.']","Valoración: 4,5 (83 votos)","['1 pizca de Perejil', '1½ kilogramos de Cordero', '100 gramos de Cebolla', '100 gramos de Tomate', '½ vaso de Vino blanco', '1 pizca de Sal y pimienta', '1 hoja de Laurel', '1 diente de Ajo', '1 vaso de Aceite de oliva', '100 gramos de Zanahorias', '4 unidades de Patatas', '1 taza de Caldo de carne', '100 gramos de Guisantes']",https://www.recetasgratis.net/receta-de-guiso-de-cordero-28309.html,,,,,,
Guisado de carcamusa con patatas,,"['1\nCortamos la carne de guisar en trozos regulares y no demasiados grandes.', '2\nElaboramos un sofrito en una cazuela con el aceite de oliva caliente, la cebolla, los dientes de ajo, el puerro, la zanahoria cortado en brounoisse (cortado en trocitos pequeños).', '3\nCuando la verdura está blandita y cocinada añadimos una cucharadita de harina, un chorrito de vino y otro de tomate frito. Una vez tenemos el sofrito listo, añadimos la carne junto con la hoja de laurel, añadimos agua o caldo de carne justo hasta cubrir la carne y dejamos cocinar durante 2 horas a fuego suave.', '4\nEstamos atentos a que la carne esté tierna y en ese momento añadimos los pimientos morrones cortados en cuadraditos, las patatas peladas y cortadas en cubos regulares o torneadas en forma de avellanas y los guisantes.', '5\nDejamos cocinar hasta que el guiso esté tierno y la guarnición cocida.Esperamos que repose el guiso 30 minutos antes de servir para que se concentre su sabor.']","Valoración: 3,2 (10 votos)","['700 gramos de carne de guisar', '50 gramos de cebolla', '1 puerro', '1 zanahoria', '3 dientes de ajo', '1 pimiento morrón', '100 gramos de guisantes', '200 gramos de patatas', '1 hoja de laurel', '6 cucharadas de aceite de oliva virgen', '1 cucharada de harina', '1/2 copa de vino blanco', '6 cucharadas de salsa de tomate natural', 'Sal', 'pimienta']",https://www.recetasgratis.net/receta-de-guisado-de-carcamusa-con-patatas-28250.html,,,,,,
Estofado de patatas y pulpo,,"['1\nPonemos a cocer media cebolla en una cazuela con agua a fuego fuerte.', '2\nCuando empiece a hervir el agua, sumergimos el pulpo cogido por la cabeza y lo sacamos rápido.', '3\nRepetimos esta operación tres veces y después dejamos hervir durante 15 minutos.', '4\nPelamos las patatas y las cortamos en dados.', '5\nAñadimos las patatas en el cocido del pulpo.', '6\nPinchamos el pulpo y las patatas y dejamos cocer todo durante 20 minutos.', '7\nRetiramos la olla del fuego y reservamos el pulpo y las patatas.', '8\nEn una sartén con aceite doramos los ajos picados, media cebolla y el laurel.', '9\nRetiramos del fuego y dejamos enfriar.', '10\nAgregamos a la salsa el pimentón dulce y una pizca de pimentón picante.', '11\nCortamos el pulpo en rodajas y colocamos encima de las patatas.', '12\nAgregamos la salsa y servimos.']","Valoración: 4,3 (14 votos)","['Para 4 personas', '1 pulpo de 2 kilos.', '600 gramos de patatas.', '1 cebolla.', '1 decilitro de aceite.', '2 dientes de ajo.', '1 hoja de laurel.', '½ cucharadita de pimentón dulce.', '1 pizca de pimentón picante.']",https://www.recetasgratis.net/receta-de-estofado-de-patatas-y-pulpo-27647.html,,,,,,
Pota guisada con pimientos,,"['1\nTroceamos la pota en tiras anchas.', '2\nPicamos en juliana (tiras finas) las cebollas y el pimiento verde.', '3\nPicamos los dientes de ajo.', '4\nEn una cazuela de barro doramos las cebollas y el pimiento verde.', '5\nAñadimos el ajo y la pota.', '6\nSin dejar de remover añadimos el vaso de vino blanco.', '7\nCubrimos justo de agua y tapamos dejando a fuego lento media hora.', '8\nAntes de servir, troceamos los pimientos de piquillo y colocamos encima del guiso con un poco de perejil recién picado, damos un hervor, ponemos a punto de sal y servimos.']","Valoración: 3,9 (37 votos)","['1 kilo de Pota (puede ser sepia o calamar)', '2 cebollas.', '2 pimientos verde.', '1 lata de pimiento de piquillo.', '2 dientes de ajo.', '1 vaso de vino blanco.', '1 ramita de perejil.', '6 cucharadas de aceite de oliva.', 'Sal.']",https://www.recetasgratis.net/receta-de-pota-guisada-con-pimientos-27604.html,,,,,,
Guiso de pescado,,"['1\nPoner en un colador con la sal el pescado cortado en rodajas.', '2\nDejarlo 1 hora.', '3\nSaltear en el aceite el ajo y las cebollas cortadas en aros.', '4\nAgregar el pescado lavado.', '5\nAñadir el tomate picado, el pimiento cortado en trocitos, el caldo, el vino, y las zanahorias y papas cortadas en daditos.', '6\nCondimentar con las hoja de laurel y cuatro o cinco granos de pimienta negra.', '7\nCocinar lentamente hasta que esté cocido (aproximadamente 40 min.).', '8\nIncorporar la lata de arvejas.', '9\nDejar a fuego suave 3 o 4 minutos más.']","Valoración: 3,4 (62 votos)","['1 Kg. salmón', '2 cch. aceite de maíz', '1 diente(s) ajo', '2 unids. cebollas', '1 unid. tomate', '1/2 unid. pimiento rojo', '1/2 taza(s) caldo de verduras', '1/2 taza(s) vino blanco', '2 unids. zanahorias', '2 unids. papas', '1 ram. laurel', '1 pizca pimienta', '1 lata(s) arvejas', '1 pizca sal gruesa']",https://www.recetasgratis.net/receta-de-guiso-de-pescado-26990.html,,,,,,
Guiso de Canguro,,"['1\nCombinar el vino, el cebollino, el ajo y la cebolla picada en un recipiente hondo.', '2\nAñadir el canguro y dejar macerar en el frigorífico durante al menos 2 horas.', '3\nCalentar el aceite en la sartén y añadir la carne.', '4\nAsar durante 2 minutos a fuego fuerte.', '5\nSi se prefiere más cocido, asar durante 2 minutos más.', '6\nRetirar del fuego y conservar caliente.', '7\nAñadir el líquido de maceración y la nata a los jugos de asar la carne, poner al fuego bajo y dejar hervir durante 3 minutos o hasta que la salsa espese un poco.']","Valoración: 3,3 (57 votos)","['1 taza de un buen vino tinto', '1 cucharadita de cebollino picado', '1 diente de ajo picado', '1 cebolla pequeña', '500 gr de solomillo de canguro', '1 cucharada de aceite', '½ taza de nata']",https://www.recetasgratis.net/receta-de-guiso-de-canguro-26789.html,,,,,,
