title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Una opción de botana excelente!,"Después de tantas cosas que pasaron por acá, hoy decidí hacer esta receta de tortitas de brócoli veganas, ya que esto de la cocina me relaja. En fin... El brócoli me gusta mucho, así que vi esta receta de tortitas veganas de brócoli y decidí hacerla. Me parece que es muy sencilla de elaborar y que sus ingredientes son muy asequibles y prácticos, así que te animo a que te pongas manos a la obra conmigo y juntos preparemos esta súper receta de tortitas de brócoli sin ningún producto de origen animal.","['1\nPrimero, para preparar estas tortitas de brócoli veganas piqué el brócoli y lo procesé un poco en la licuadora.', '2\nPosteriormente, añadimos los ingredientes como el ajo molido y mezclamos.', '3\nA continuación, agregamos la mostaza, aunque podéis utilizar otras salsa de vuestra preferencia para añadir a estas tortitas veganas de brocoli.', '4\nSeguidamente añadimos el comino, el vinagre, la linaza y el aceite de oliva. Las semilla de linaza ayudarán a sustituir el huevo en estas tortitas veganas fáciles para que se compacten mejor.', '5\nA continuación, picamos el perejil. también podéis utilizar cilantro o albahaca por ejemplo.', '6\nEl ajo y la cebolla que se picaron lo sofreímos un poco en una sartén con un poco de aceite.', '7\nDespués añadimos el perejil picado a la mezcla de las tortitas de brócoli sin queso.', '8\nRevolvemos todo y añadimos 1/2 taza de harina de garbanzos, y añadimos con forme necesitemos.', '9\nAl final armamos las tortitas de brócoli fitness.', '10\nY en un sartén con poco aceite dejamos que las tortitas de brócoli fit se cuezan 10 minutos de cada lado aproximadamente.', '11\nPor último, servimos las tortitas de brócoli veganas a nuestro gusto.']","Valoración: 4,3 (3 votos)",2 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin gluten']","['1 pieza de Brócoli', '¼ Cebolla picada', '1 diente de Ajo picado', '1 cucharada sopera de Aceite de oliva', '1 cucharada sopera de Ajo en polvo', '1 cucharada sopera de Comino molida', '1 cucharada sopera de Linaza molida', '1 cucharada sopera de Vinagre', '1 cucharada sopera de Mostaza', '½ taza de Harina de garbanzos']",https://www.recetasgratis.net/receta-de-tortitas-de-brocoli-veganas-62597.html
Tortilla de espinacas con carne,"Un tipo de tortilla poco tradicional pero muy rica es la tortilla que te vamos a explicar a continuación. Muchas veces tienes un poco de carne en la nevera, ya sea carne picada o carne de pollo o carne de ternera y piensas que no va a quedar bien con una tortilla, pero esto no es cierto. Si la combinas con espinacas verás que queda muy rico. Aquí te explicamos como hacerlo.","['1\nSofreir los trocitos de carne junto a la espinaca (añadir sal y pimienta al gusto). Poner un chorrito de aceite en la sartén. Puedes añadir un poco de pimienta negra para potenciar el gusto de la tortilla de espinacas con carne.', '2\nEn un envase, con los 2 huevos batidos previamente, incorporar la carne y espinaca. mezclar nuevamente', '3\nVertir la mezcla en el sartén con un poco de aceite. Esperar que se cocine y listo! Puedes acompañar la tortilla de espinacas con carne con una ensalada de lechuga y tomate.']","Valoración: 4,5 (2 votos)",2 comensales,10m,,Dificultad baja,,[],"['200gr de espinacas', '80gr trocitos de carne', '2 huevos', 'sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-tortilla-de-espinacas-con-carne-62557.html
Tortilla de bacalao y pimiento verde,"Ya sabéis lo mucho que me gustan las tortillas, en casa las tomamos mucho y me apañan muchas cenas. Son rápidas de preparar y muy versátiles, aceptan los ingredientes que sean, todo queda rico.Pues bien, esta que os traigo hoy es todo un clásico y de las más ricas que podréis probar nunca y es que pocas cosas hay que superen una buena tortilla de bacalao. En serio, es algo espectacular :) El bacalao es un pescado muy sabroso (que también sabéis que me encanta) y por eso queda especialmente bien en tortilla o revuelto.Esta tortilla de bacalao y pimiento verde es ideal, como digo, para una cena gourmet :) Uno de los plato típicos de la cocina española que no os podéis perder.","['1\nEl primer paso para hacer nuestra tortilla de bacalao será calentar el aceite en una sartén y saltear la cebolla picada muy fina.', '2\nCuando empiece a estar tierna, añadimos el pimiento también picado finamente. Removemos y dejamos hacer hasta que quede todo pochado.', '3\nEntonces añadimos el bacalao desmigado y removemos bien. Para hacer esta tortilla de bacalao no hace falta añadir nada de sal ya que el bacalao aportará la suficiente.Dejamos hacer, removiendo de vez en cuando, hasta que quede todo bien hecho.', '4\nPor otro lado, batimos los huevos con una pizca de sal en un bol aparte. Cuando lo tengamos, añadimos el sofrito de bacalao y mezclamos bien.A continuación, untamos un poco de aceite en la misma sartén en la que hemos preparado el sofrito de bacalao y pimientos, y vaciamos la mezcla de huevo para poner a cuajar la tortilla a fuego bajo.', '5\nIremos volteando la tortilla periódicamente para que se haga igualmente por ambos lados y cuando esté cuajada a nuestro gusto, la retiramos del fuego y colocamos en un plato.', '6\nNada más prepararla estará muy caliente, así que esperaremos unos minutos antes de servir nuestra rica tortilla de bacalao y pimiento verde. Ya veréis que absoluta delicia!No os olvidéis de visitar mi blog Mins Cocina para ver más recetas estupendas como ésta :)Y desde RecetasGratis te recordamos que si te ha sobrado bacalao salado desmigado, puedes preparar otros platos como los canapés de bacalao o la famosa ensalada de bacalao y naranja, también muy popular en la cocina española.']",Valoración: 5 (1 voto),3 comensales,15m,Cena,Dificultad media,,"['Receta sin lactosa', 'Receta sin gluten', 'Recetas españolas']","['6 Huevos XL', '250 gramos de Bacalao desmigado desalado', '1 Cebolleta pequeña', '1 Pimiento verde', '1 pizca de Sal', '3 cucharadas soperas de Aceite de oliva']",https://www.recetasgratis.net/receta-de-tortilla-de-bacalao-y-pimiento-verde-62419.html
Tortitas de arroz integral caseras,"Estas tortitas de arroz integral caseras son un entrante fácil y rápido de hacer. Es una receta de aprovechamiento, ya que puedes aprovechar el arroz que te sobró del día anterior. Vamos a servir las tortitas de arroz sobrante con un sofrito de champiñones y cebolla y hummus de garbanzos, pero puedes elegir cualquier relleno que más te guste. Al ser una receta de tortitas de arroz veganas utilizaremos la harina de garbanzos para sustituir el huevo.Pásate por mi blog Vegspiration donde encontrarás recetas veganas para todos los gustos.","['1\nEn un bol pequeño pon la harina de garbanzos y añade varias cucharadas de agua batiendo con un tenedor hasta que la mezcla obtenga la consistencia de un huevo batido. Al ser una receta de tortitas de arroz veganas, de esta forma sustituiremos el huevo.', '2\nEn un recipiente mezcla el arroz, con la harina, la sal, el ajo y la cebolla en polvo y la mezcla de la harina de garbanzos. Remueve bien y aplasta un poco la masa con un tenedor.\nTruco: Si el arroz está un poco pasado de cocción, la masa de las tortitas de arroz integral quedará mejor.', '3\nCalienta una sartén con aceite. Coge porciones de masa de arroz, haz unas bolitas con las manos y aplástalas hasta obtener una tortita de arroz casera redonda. Freímos las tortitas por ambos lados hasta que se doren.', '4\nLamina los champiñones y corta la cebolla en juliana. Saltea la verdura hasta que quede blanda.', '5\nColoca encima da cada tortita de arroz sobrante varias hojas de rúcula, la cebolla y varias láminas de champiñones, una cucharadita de hummus y espolvorea con semillas de sésamo.\nTruco: Si no os gusta esta combinación podéis acompañar las tortitas de arroz rellenas con otros ingredientes que os gusten.', '6\n¡Y listo! Ya podemos degustar estas deliciosas tortitas de arroz integral caseras con hummus y champiñones.']",Valoración: 5 (1 voto),4 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin azúcar']","['10 unidades de Champiñones', '1 unidad de Cebolla', '1 manojo de Rúcula', '½ taza de Hummus de garbanzos', '1 cucharadita de Semillas de sésamo', '1 cucharada sopera de Aceite vegetal', '2 tazas de Arroz integral cocido', '2 cucharadas soperas de Harina de trigo', '3 cucharadas soperas de Harina de garbanzos', '½ cucharadita de Sal', '½ cucharadita de Ajo en polvo', '½ cucharadita de Cebolla en polvo', '3 cucharadas soperas de Aceite vegetal']",https://www.recetasgratis.net/receta-de-tortitas-de-arroz-integral-caseras-62350.html
Tortilla de calabacín con jamón ibérico,"La tortilla española por excelencia es la famosa tortilla de patatas, pero se pueden hacer tortillas de patatas con todo tipo de extras, de hecho existe una gran discusión sobre si la original lleva o no cebolla, pero aparte de esto, podemos hacer tortilla de patatas con chorizo, o incluso tortilla de rellena de jamón y queso.La receta que te enseñamos a continuación, es una de estas variaciones y se trata de un rico plato con calabacín, cebolla y jamón ibérico, una combinación muy mediterránea y deliciosa. Si quieres saborear esto, no pierdas detalle de las instrucciones y prepárate a disfrutar de un buen trozo de nuestra tortilla de cabalacín con jamón ibérico.","['1\nPara hacer nuestra tortilla de calabacín y cebolla empezamos por lavar, secar y cortar el calabacín en rodajas finas. Pelamos la cebolla y las patatas y las cortamos de la misma forma que el calabacín.Ponemos a calentar una sartén con el aceite de oliva y cuando esté caliente añadimos la cebolla y la patata. Cuando empiece a trasparentarse, añadimos el calabacín.', '2\nSalamos ligeramente, removemos y tapamos la sartén. Cuando las verduras estén tiernas, añadimos los taquitos de jamón y freímos durante un par de minutos. Luego retiramos y colocamos en un escurridor para eliminar el exceso de aceite.', '3\nA continuación, ponemos los huevos en un bol grande, los salpimentamos y los batimos, añadimos el perejil picado y mezclamos con los demás ingredientes.Calentamos nuevamente la sartén donde hicimos el sofrito, añadiendo unas gotas de aceite, y cuando esté caliente, echamos la mezcla de huevos. Dejamos que la tortilla cuaje lentamente y luego le damos la vuelta para dejar que se haga por el otro lado.Si tienes duda sobre el proceso de cocción de esta tortilla de patatas con calabacín, echa un vistazo a la receta de la tortilla de patatas con cebolla y perejil, con fotos en todos los pasos.', '4\nFinalmente, retira de la sartén y corta en porciones la tortilla de calabacín con jamón ibérico, ya verás que está exquisita y que puedes comerla a cualquier hora del día, como principal o guarnición. Y no olvides que si quieres seguir cocinando recetas como esta, puedes visitar La Cocina de Catina, un fantástico blog donde encontrarás todo tipo de platos. ¡Esperamos tus comentarios!']","Valoración: 4,5 (2 votos)",4 comensales,45m,Entrante,Dificultad baja,,[],"['1 Calabacín grande', '1 Cebolla', '2 Patatas', '2 cucharadas soperas de Perejil picado', '100 gramos de Jamón ibérico cortado en tquitos', '6 Huevos', '50 mililitros de Aceite de oliva', '1 cucharadita de Sal', '1 pizca de Pimienta negra molida']",https://www.recetasgratis.net/receta-de-tortilla-de-calabacin-con-jamon-iberico-62433.html
Tortilla de bacalao sin cebolla,"Aunque la más famosa de la cocina española sea la tortilla de patatas, las tortillas se pueden hacer con muchos ingredientes, desde todo tipo de verduras hasta embutidos y pescados, como la que haremos a continuación con bacalao.Esta tortilla de bacalao sin cebolla es una delicia, es muy fácil de hacer y con ella podrás hacer que los pequeños coman más pescado, de hecho la podrás servir sola, dentro de un bocadillo o como parte del plato principal del día.","['1\nPara hacer esta tortilla de bacalao, el pescado debe estar sin piel y sin espinas, para poder desmigarlo en trozos pequeños.', '2\nEn una sartén ponemos parte del aceite, guardamos 2 cucharadas y calentamos bien. Ponemos los ajos cortados en láminas y la guindilla, salteamos unos segundos y antes que se doren, incorporamos el bacalao.Dejamos cocinar el conjunto durante unos 5-7 minutos. Removemos, salamos e incorporamos el perejil picado.', '3\nA continuación, sacamos la guindilla de la sartén y también eliminamos el líquido que se haya generado por la cocción del bacalao, escurriendo todo.', '4\nAparte, batimos los huevos con una pizca de sal y añadimos el bacalao. En una sartén ponemos el resto del aceite y cuando esté caliente ponemos la mezcla.Bajamos a fuego medio y continuamos con la cocción hasta que la tortilla cuaje por ambos lados.', '5\nDejamos reposar la tortilla de bacalao sin cebolla unos 10 minutos, cortamos en 4 trozos, acompañamos con una guarnición de nuestro gusto y listo. ¡¡Que aproveche!!!Para acompañar esta fantástica tortilla, desde RecetasGratis te recomendamos probar una ensalada de zanahoria rallada y un poco de pan italiano casero.']","Valoración: 4,7 (3 votos)",4 comensales,45m,,Dificultad baja,,[],"['750 gramos de Lomo de bacalao limpio', '8 Huevos', '2 dientes de Ajo', '1 Guindilla', '1 pizca de Sal', '125 mililitros de Aceite de oliva', '1 manojo de Perejil picado']",https://www.recetasgratis.net/receta-de-tortilla-de-bacalao-sin-cebolla-62383.html
Tortilla de patatas con cebolla tierna,"Si quieres saber cómo hacer una buena tortilla de patatas y cebolla tierna y jugosa de una forma fácil y rápida que puedas hacer en cualquier ocasión que necesites ya tengas invitados o no, te recomendamos que le eches un vistazo a esta receta de tortilla de patatas perfecta con cebolla frita que Noaamarilla ha compartido con RecetasGratis.No te pienses que el proceso de elaboración de una tortilla de patatas con cebolla jugosa es muy difícil, tan solo es cuestión de práctica así que anímate y ¡ponte manos a la obra!","['1\nLo primero que haremos para comenzar a hacer esta receta de tortilla de patatas con cebolla tierna es reunir todos los ingredientes. Después hay que cortar el tubérculo y la cebolla en tacos.', '2\nUna vez cortado todo, el tubérculo se pone en una cazuela con 750 ml de agua y un poco de sal, y lo dejamos unos 20/25 minutos cuando empiece a hervir a fuego lento. Asimismo, la cebolla la ponemos en una sartén con un poco de aceite y la sofreímos. Una vez pase el tiempo, dejamos que el relleno de la tortilla de patatas perfecta que se enfríe.', '3\nAhora reunimos los cinco huevos, separamos la yema y la clara del huevo. Batimos la clara por separado de la yema, y una vez batido todo bien lo juntamos todo.', '4\nMetemos las patatas cocidas y la cebolla frita con el huevo. Lo juntamos y lo depositamos en una sartén con un poco de aceite a fuego lento para evitar que se pegue la tortilla de patatas esponjosa.', '5\nEsperamos 4 minutos aproximadamente por cada lado mientras le damos una forma redonda a la tortilla de patatas con cebolla tierna y listo.']",,4 comensales,45m,Plato principal,Dificultad baja,,['Recetas españolas'],"['1 kilogramo de Patatas', '5 Huevos', '1 chorro de Aceite', '1 pizca de Sal', '1 Cebolla', '750 mililitros de Agua']",https://www.recetasgratis.net/receta-de-tortilla-de-patatas-con-cebolla-tierna-62339.html
Tortitas de lentejas veganas,"Las tortitas de lentejas y avena que se muestran a continuación son perfectas para servir durante la cena, ya que, además de ser ligeras, están cargadas de vitaminas, fibra, proteína y minerales. Por otro lado, al representar las legumbres una fuente natural excelente de hidratos de carbono, también son aptas para deportistas.Son muy sencillas y rápidas de hacer, de manera que podemos elaborarlas en prácticamente cualquier momento y disfrutar de un plato completo a la par que sabroso. ¿Te animas a cocinarlas? Pues sigue el paso a paso y aprende en RecetasGratis cómo hacer tortitas de lentejas veganas.","['1\nSalteamos el ajo y la cebolla para empezar a preparar las tortitas de lentejas veganas.', '2\nDespués, colocamos los champiñones troceados en la misma sartén y seguimos cocinando, removiendo para evitar que se pegue la preparación.', '3\nDejamos que los champiñones se cocinen un rato hasta que suelten agua para después colocar las lentejas escurridas.', '4\nLuego, incorporamos el cilantro y seguimos cocinando los ingredientes de las tortitas de lentejas veganas.', '5\nMolemos todo. Yo solo usé una machacadora para después dejar enfriar y poner dos cucharadas de avena molida para que compacte la masa de las tortitas de lentejas.', '6\nY como estaba ya cocido todo, formé las tortitas de lentejas y las serví con una ensalada y mayonesa.', '7\nSi quieres descubrir otras recetas veganas tan sencillas y deliciosas como esta, revisa las siguientes propuestas:Tortitas de coliflor veganasHamburguesa vegana de espinacas']","Valoración: 4,5 (2 votos)",2 comensales,30m,Cena,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['1 taza de Lentejas cocidas', '5 Champiñones picados', 'Ramas de cilantro picado', '2 Cebollas cambray picadas', '1 diente de Ajo picado', '2 cucharadas soperas de Avena molida']",https://www.recetasgratis.net/receta-de-tortitas-de-lentejas-veganas-62288.html
Omelette de jamón y queso,"Hoy vamos a preparar un delicioso desayuno, se trata de una tortilla francesa rellena que acompañares con frijoles y algo de verdura, sano y con todo lo que nuestro cuerpo necesita para empezar el día con energía.Podemos preparar huevos de muchas formas, pero lo mejor de cocinarlos como una tortilla es que podemos disfrutar distintas texturas y sabores en el mismo plato. Vamos entonces a preparar este rico omelette con jamón y queso que ¡está para repetir!","['1\nEl primero paso para hacer nuestra tortilla francesa es romper los dos huevos y batirlos. Cuando se hayan integrado podremos salpimentar al gusto con sal y pimienta o cualquier otra especia que solamos utilizar.', '2\nA continuación, derretimos un poco de mantequilla en una sartén. Si queremos podemos usar aceite o una buena sartén anti-adherente, pero la mantequilla le dará muy buen sabor a nuestro omelette relleno.', '3\nMantenemos la llama al mínimo y empezamos a cocinar los huevos batidos. Cuando veamos que empieza a hacerse la parte de abajo, rellenamos con las lonchas de jamón y el queso.para hacer esta tortilla francesa rellena puedes usar cualquier tipo de queso, preferiblemente uno que se derrita al calor.', '4\nEsperamos un par de segundos y con mucho cuidado doblamos la tortilla, formando una media luna. Tapamos y terminamos de cocinar para que el omelette quede tierno en el centro y listo.', '5\nPrepara un plato con frijoles refritos y sirve el omelette de jamón y queso recién hecho. Puedes decorar con un poco de aguacate, tomate y naranja para darle vida y color. ¡Buen provecho!Y si quieres probar con otros rellenos, no dejes de probar la tortilla de aguacate y cebolleta o la tortilla francesa de espinacas.']",Valoración: 4 (1 voto),1 comensal,10m,Desayuno,Dificultad baja,,[],"['2 Huevos', '2 lonchas de Jamón cocido', '70 gramos de Queso', '1 cucharada postre de Mantequilla', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-omelette-de-jamon-y-queso-62158.html
Huevos fritos con patatas y jamón,"Los huevos fritos con patatas y jamón forman parte del repertorio de recetas españolas conocidas como tapas. Se trata de un plato cargado de sabor y textura, puesto que combina el intenso aroma del jamón serrano con la delicadeza del huevo y la suavidad de la patata. Es una de esas recetas que nunca te cansas de degustar y con la que, seguro, levantarás el ánimo de más de un invitado. ¿Te agrada la idea y te apetece saber cómo hacer huevos con patatas y jamón? Sigue leyendo y cocina de la mano de RecetasGratis este exquisito plato.","['1\nFreír los huevos uno a uno en aceite caliente. Cuando estén hechos, reservar para continuar con la elaboración del plato.Para restar un poco de grasa, se pueden freír los huevos sin aceite siguiendo la receta compartida en RecetasGratis.', '2\nCuando los huevos estén hechos, freír las patatas peladas y cortadas a tiras o rodajas, ¡como más nos guste! Reservar sobre papel absorbente para retirar el exceso de grasa.', '3\nAhora, para montar el plato, colocar los huevos fritos sobre las patatas fritas y adornar con el jamón ibérico troceado.', '4\n¡Listo! Hacer estos huevos fritos con patatas y jamón no puede ser más fácil y rápido. Además, es perfecto para elaborar un menú a base de tapas, con croquetas de setas, calamares a la plancha con ajo y perejil, o las recetas que más nos guste. ¡Buen provecho!']",Valoración: 4 (2 votos),2 comensales,15m,Entrante,Dificultad baja,,['Recetas españolas'],"['2 Huevos', 'Jamón ibérico al gusto', '2 Patatas', 'Aceite y sal']",https://www.recetasgratis.net/receta-de-huevos-fritos-con-patatas-y-jamon-62117.html
