title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Champiñones con huevos revueltos,,"['1\nLávense muy bien los champiñones, tratando no dejar de tierra en su interior. Cortarlos en trocitos y ponerlas a cocer en agua con la sal y el jugo de limón. Aparte con el aceite caliente y la cebolla picada, se rehoga esta muy despacio cuando este transparente se añaden los champiñones, se dan vueltas y se incorporan los huevos bien batidos con un poco de sal. Se le da una vuelta o dos para que no se resequen y se retiran.Se sirven acompañadas de las rebanadas de pan tostado. Servir los champiñones en cazuelitas adecuadas.']","Valoración: 3,6 (60 votos)","['400 gr. de champiñones ( setas, hongos)', '2 huevos', '1 cebolla tamaño pequeño', 'jugo de 1 limón', 'aceite', 'sal', 'rebanadas de pan tostados con mantequilla']",https://www.recetasgratis.net/receta-de-champinones-con-huevos-revueltos-22745.html,,,,,,
Colchón de espinacas con huevos,,"['1\nCocer las espinacas en ½ taza de agua hasta que estén tiernas, escurrirlas, apretándolas para que suelten todo el agua.', '2\nFundir la mantequilla y rehogar el bacon y el diente de ajo picado hasta que empiecen a tomar color, añadir las espinacas picadas. Mezclar todo bien y rehogar un par de minutos.', '3\nPoner las espinacas repartidas en cuatro cacerolitas individuales, hacer un hueco en el centro y por dos huevos en cada una.', '4\nEspolvorear con el queso rallado y hornear hasta que la clara se cuaje.']","Valoración: 3,3 (48 votos)","['1 Kg. de espinacas', '100 gr. de bacon cortado en juliana', '8 huevos', '1 cucharada de mantequilla', '1 diente de ajo picado', '50 gr. de queso rallado', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-colchon-de-espinacas-con-huevos-22742.html,,,,,,
Receta original argentina (MUY FÁCIL),"En el norte argentino, con la llegada de los días fríos o lluviosos, en los hogares se preparan las populares tortillas santiagueñas, que no son otra cosa que tortillas a la parrilla. Llevan este nombre porque se crearon en la provincia de Santiago del Estero. Se trata de una simple y deliciosa tortilla cuya masa es una mezcla de harina, manteca o grasa, agua y sal. Originariamente, se cocinan a la parrilla, dado que las brasas le da un gusto especial. Sin embargo, en la actualidad, por comodidad o rapidez, se cocinan también bien en una plancha o al horno. La receta de las tortillas santiagueñas se fue expandiendo por toda Argentina y por diferentes países. Al ser tan rica, no es exclusiva de días fríos o lluviosos..., ¡pero sí obligatoria! RecetasGratis te presenta los pasos a seguir para que disfrutes de estas deliciosas tortillas a la parrilla, la plancha o al horno en una merienda, desayuno o cuando gustes. Sigue leyendo y descubre con nosotros cómo hacer tortilla santiagueña argentina.","['1\nColoca la harina y la grasa o manteca derretida en un bol y mezcla con una cuchara. Luego, ve agregando el agua tibia y la sal sin dejar de mezclar. Debe quedar una masa que no sea muy pegajosa. Si no te queda compacta, puedes añadir más harina.\nTruco: para hacer la tortilla santiagueña con chicharrón, deberás fundir la grasa hasta obtener pedazos fritos que tendrás que picar después.', '2\nAmasa muy bien hasta que la masa de la tortilla santiagueña quede suave y lisa. Haz una bola y resérvala en el frigorífico durante 1 hora aproximadamente.', '3\nLa receta de tortilla santiagueña original indica que se debe hacer a la parrilla, pero si no cuentas con una, no te desalientes, lo puedes hacer a la plancha o bifera y obtendrás el mismo y delicioso resultado. Haciéndola de cualquiera de las 3 formas, deberás calentar antes donde realizarás la cocción. Ahora, estira la masa y dale forma. Colócala directamente sobre la plancha o parrilla para cocinarla.', '4\nCocina a fuego bajo primero de un lado y luego del otro. De esta forma, evitas que quede cruda por dentro y consigues que se cocine pareja. El tiempo de cocción es de 5 a 10 minutos.\nTruco: también puedes cocinar la tortilla santigueña al horno colocándola en una bandeja enharinada y pinchándola con un tenedor. El tiempo de cocción aproximado es de 30-40 minutos a 180 ºC.', '5\nCuando la tortilla santiagueña casera esté dorada por ambos lados, ya estará lista. Disfrútala con unos ricos mates. Otras recetas perfectas para estos días son:Cuernitos de grasaBolas de fraileBizcochitos de grasa']","Valoración: 3,5 (55 votos)","['½ taza de harina común (70 gramos)', '½ taza de harina leudante o de repostería', '1 vaso de agua tibia', '1 cucharadita de sal', '2½ cucharadas soperas de manteca o grasa']",https://www.recetasgratis.net/receta-de-tortilla-santiaguena-22723.html,2 comensales,45m,Desayuno,Dificultad muy baja,,['Recetas argentinas']
Tortillas de harina tradicionales,,"['1\nCierne el harina y la sal sobre un tazón; agrega la manteca y mezcla hasta que la pasta tenga una consistencia grumosa.', '2\nPoco a poco, añade el agua hasta que forme una bola; cúbrela con una toalla de cocina y déjala reposar unos 30 minutos.', '3\nPara formar las tortillas, haz los testales del mismo tamaño y palotéalos formando círculos delgados.', '4\nAhora cuece las tortillas sobre un comal caliente; cuando estén cocidas de un lado, voltéalas y aplánalas ligeramente con la yema de los dedos; déjalas hasta que les aparezcan manchones de color café claro.']","Valoración: 3,8 (8 votos)","['4 1/2 tazas de harina', '1 cucharadita de sal', '3 cucharadas de manteca vegetal', '1/2 taza de agua tibia (o la necesaria).']",https://www.recetasgratis.net/receta-de-tortillas-de-harina-tradicionales-22719.html,,,,,,
Tortillas de harina con manteca de cerdo,"Las tortillas de harina con manteca de cerdo son tradicionales de la cocina mexicana. Hacerlas en casa es muy sencillo y el resultado increíble, de manera que sigue leyendo y descubre en RecetasGratis el paso a paso para preparar tus propias tortillas de harina mexicanas.","['1\nPara empezar a preparar las tortillas con manteca de cerdo, mezcla primero la harina con la sal y el polvo de hornear y tamiza.', '2\nForma un volcán con la mezcla anterior y coloca en el hueco central la manteca de cerdo. Empieza a mezclar y cuando la masa lo requiera, añade agua caliente poco a poco.', '3\nEs recomendable no incorporar toda la cantidad de agua de golpe, puesto que es posible que la masa de las tortillas de harina con manteca de puerco necesite menos o más. El resultado debe ser una masa homogénea y consistente.', '4\nDivide la masa en bolitas más pequeñas y aplástalas con las manos. Coloca las bolas sobre la mesa de trabajo y cúbrelas con un paño limpio y ligeramente húmedo. Deja que reposen durante media hora aproximadamente.', '5\nPasado el tiempo de reposo, pon a calentar el comal o una sartén en su defecto. Mientras tanto, extiende cada bola con un rodillo para formar las tortillas de harina.', '6\nCocina las tortillas de harina con manteca de cerdo de una en una. Cuando observes que empiezan a formarse burbujas de aire, dale la vuelta y cocina por el otro lado. En general, no suelen tardar más de 20-30 segundos en hacerse por cada lado, ¡así que atento/a!', '7\n¡Listo! Ya puedes disfrutar de tus tortillas de harina con manteca de puerco. Y si no tienes ideas para hacer tus tacos, aquí tienes algunas:Tacos dorados de frijoles refritosTacos de suadero']","Valoración: 3,5 (60 votos)","['½ kilogramo de harina de trigo', '⅓ cucharada sopera de sal', '1 cucharadita de polvo de hornear', '150 gramos de manteca de cerdo', '1 taza de agua caliente (o cantidad necesaria)']",https://www.recetasgratis.net/receta-de-tortillas-de-harina-con-manteca-de-cerdo-22718.html,10 comensales,45m,,Dificultad baja,,['Recetas mexicanas']
Huevos con erizos,,"['1\nPreparar los erizos: Para abrirlos , cortarlos por la parte cóncava, donde esta la boca del erizo, ponerlos boca abajo y dejar que escurra un líquido negro.', '2\nSeparar con una cucharilla el coral adherido a las paredes y pasarlo a una cazuela de fondo grueso, mejor si es de cobre estañado, y hacer en ella los huevos removiendo sin parar con una cucharilla.', '3\nCuando empiecen a espesar , apartarlos del fuego y seguir removiendo fuera para que terminen de hacerse con e el calor que han tomado .', '4\nDeben quedar de textura muy cremosa.', '5\nPoner al fuego la cazuelita con el coral y antes de que comience a hervir , montar suavemente con la mantequilla restante (25 gr. ).', '6\nServir los huevos en los caparazones con la salsa.']",Valoración: 4 (3 votos),"['14 huevos', '2Kg de erizos de mar', '100 gr. de mantequilla', 'sal', 'pimienta.']",https://www.recetasgratis.net/receta-de-huevos-con-erizos-22280.html,,,,,,
Bolitas de queso Gouda,,"['1\nColocar en un recipiente el queso finamente rallado.', '2\nMezclar los huevos, sin amasar.', '3\nAgregar la harina y amasar vigorosamente.', '4\nSi le falta consistencia a la mezcla, puede agregar más harina, hasta que se pueden formar bolitas de unos 2-3 cm. de diámetro.', '5\nFreír las bolitas en abundante aceite, no muy caliente, hasta que estén doradas.', '6\nSacarlas y colocarlas sobre papel absorbente de cocina.', '7\nServir sobre unas hojas de lechuga o unas hojas de perejil acompañado de unas galletitas saladas.']",,"['250 gr. de queso Gouda', '3 huevos', '3 cucharadas de harina de trigo']",https://www.recetasgratis.net/receta-de-bolitas-de-queso-gouda-19130.html,,,,,,
Huevos en salsa con laurel,,"['1\nEchamos el aceite en la sartén y dejamos que se caliente.', '2\nDespués echamos el ajo bien picadito y dejamos que se dore.', '3\nCon una cuchara vamos echando harina hasta que se espese un poco.', '4\nLuego todo lo que hemos preparado lo vertimos en una cazuela junto con un poquito de cerveza, agua, la pastilla de caldo, la hoja de laurel, los guisantes (opcional) y por ultimo los huevos partidos por la mitad.']",Valoración: 1 (10 votos),"['8 Huevos cocidos', '1 Chorrito de aceite', '1 Ajo', '1 Hoja de Laurel', '1 Lata de Cerveza', '1 Pastilla de caldo de carne', '1 Bote pequeño de Guisantes', 'Harina']",https://www.recetasgratis.net/receta-de-huevos-en-salsa-con-laurel-19106.html,,,,,,
Tortilla Paisana,,"['1\npreparaciónPartir patatas en cuadraditos pequeños y freir lentamente.', '2\nBatir huevos y añadir ingredientes troceados.', '3\nñadir patatas ya fritas mezclar y pasar por la sartén para cuajarlo.', '4\npresentacióncon lechuga,zanahoria rallada y tomate aliñadao al gusto.']","Valoración: 3,3 (39 votos)","['6 patatas', '5 huevos', '1 bote de guisantes pequeño', '2 lonchas de jamón de York', '2 lonchas de queso', 'sal', 'aceite de oliva', '1 lata pequeña de pimientos']",https://www.recetasgratis.net/receta-de-tortilla-paisana-17866.html,,,,,,
Tortilla Española original,,"['1\nPelar y cortar en trocitos la patata y la cebolla, freír en abundante aceite a fuego medio sin dejar que cojan mucho color. Escurrir bien el aceite y salar. En un bol, batir los huevos y mezclar las patatas.', '2\nPoner una sartén antiadherente, al fuego con un poco de aceite, dejar que se caliente bien y echar la mezcla de huevos y patatas. Cocer a fuego lento, dar la vuelta a la tortilla y terminar por el otro lado.']","Valoración: 3,3 (39 votos)","['1 kg. patata', '1 ud. cebolla', '6 ud. huevo', '1 l. aceite de oliva', 'sal']",https://www.recetasgratis.net/receta-de-tortilla-espanola-original-17864.html,,,,,,
