title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Frijoles con pata de cerdo,Sácale el máximo provecho a tu olla de presión y aprende a cocinar unos frijoles con cerdo deliciosos y más fáciles de cocina de lo que parece.,"['1\nDeja los frijoles en remojo con abundante agua desde la noche anterior a la preparación para que ablanden. Al día siguiente, llévalos a una de presión con agua y junto con la pata de cerdo troceada. Cocina por 45 minutos a fuego medio-alto.\nTruco: Añade agua hasta que se cubran por completo los frijoles y la carne.', '2\nPasado este tiempo, destapa la olla de presión con cuidado y baja ligeramente el fuego. Aparte, haz un sofrito con tomate, cebolla y el colorante. El tomate debe estar pelado y picado finamente, al igual que la cebolla. \nTruco: Puedes añadir más ingredientes al sofrito, esto es al gusto.', '3\nCuando el sofrito esté listo, lo pasamos a la olla con los frijoles y la carne. Corrige la sazón con un poco de sal si es necesario y vuelve a tapar la olla. Continua con la cocción por 15 minutos más y listo. \nTruco: Si ha quedado mucho caldo, deja que se consuma manteniendo la olla al fuego pero sin la tapa.', '4\nDisfruta de los frijoles con pata de cerdo y acompaña con un poco de arroz blanco o tortillas de maíz.']","Valoración: 4,2 (6 votos)",4 comensales,45m,Plato principal,Dificultad media,,[],"['½ libra de Frijol rojo', '1 unidad de Pata de cerdo', '2 unidades de Tomate rojo', '2 unidades de Cebolla morada', '1 pizca de Sal', '1 pizca de Colorante alimentario']",https://www.recetasgratis.net/receta-de-frijoles-con-pata-de-cerdo-47176.html
Lentejas sencillas y rápidas,"Para preparar unas lentejas sencillas y rápidas solo debes añadir todos los ingredientes en crudo y ponerlos a cocer, te quedará un plato muy bueno. Asimismo, para hacer un plato de lentejas sencillas y rápidas debes dejarlas que se cocinen durante 40-50 minutos o utilizar una olla rápida que las tienes cocinadas en 10 minutos. Además, para hacer que este plato te quede más completo puedes añadir unas patatas para que se cuezan junto con las lentejas, unas cucharas de arroz, carne, costillas de cerdo, chorizo, tocino, etc.En RecetasGratis te enseñamos cómo hacer lentejas sencillas y rápidas. ¡A cocinar!","['1\nPara hacer las lentejas sencillas y rápidas lo primero lava bien las lentejas.', '2\nPon una cazuela o una olla con un chorro de aceite de oliva, añade la carne, dórala a fuego medio.', '3\nPreparamos las verduras, las lavamos y las cortamos por la mitad. Mezcla con la carne, añade el tomate frito, el pimentón y los dientes de ajo. Rehoga todo bien un par de minutos. Añade las hojas de laurel.', '4\nPon las lentejas en la olla y cubre con agua fría, déjalas hasta que empiecen a hervir.', '5\nDeja se cocinen las lentejas a fuego medio durante 40 minutos, si ves se quedan muy espesas añade más agua. añade un poco de sal y una cucharadita de comino si te gusta. Y déjalas se terminen de cocinar. Si las quieres hacer más rápido utiliza una olla rápida en 10 minutos las tienes listas.', '6\nCuando veas que están cocidas las lentejas, pruébalas para rectificar si hace falta. Si te gustan añade unas patatas troceadas, arroz... así te queda un plato más completo. Coge las verduras ya cocinadas y tritúralas con un poco de caldo y añádelo a las lentejas, esto dará más sabor al plato.', '7\n¡Ya están listas para comer las lentejas rápidas! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']","Valoración: 4,5 (4 votos)",4 comensales,1h 30m,,Dificultad baja,,[],"['400 gramos de lentejas', '300 gramos de carne (costillas de cerdo, chorizo...', '1 trozo de pimiento verde', '2 dientes de ajos', '1 cebolla', '1 zanahoria troceada', '1 hoja de laurel', '2 cucharadas soperas de tomate frito', 'aceite de oliva', 'sal', '1 cucharada postre de comino', '1 cucharada postre de pimentón']",https://www.recetasgratis.net/receta-de-lentejas-sencillas-y-rapidas-46327.html
Judiones de La Granja con verduras,"Los judiones de La Granja de bote son unas fabes/alubias perfectas para los guisos y estofados. Tienen una textura suave y carnosa lo que hará tus platos de legumbres aún más contundentes y saciantes. Este guiso de Judiones de La Granja con verduras que comparto en RecetasGratis combina dos ingredientes deliciosos: los judiones y las alcachofas. Junto con otras verduras, como zanahoria, calabaza, puerro y patatas, crearemos un opción excelente para un rico almuerzo de invierno.","['1\nCorta la cebolla y el ajo en dados, trocea la zanahoria, el puerro y la calabaza en trozos pequeños y la patata en trozos medianos.', '2\nCalienta una olla con aceite y prepara un sofrito de cebolla, ajo, puerro junto con el pimentón y la hoja de laurel hasta que la cebolla se ponga translúcida.', '3\nIncorpora al sofrito los judiones de la Granja, las patatas, las alcachofas y la zanahoria y cocina la verdura removiendo de vez en cuando durante 3-4 minutos.', '4\nAñade a la olla con el guiso de judiones de La Granja la calabaza, salpimienta y vierte dentro el vino y el caldo de verduras. Lleva el caldo a ebullición y mantén el hervor durante 2-3 minutos. A continuación, baja el fuego a medio y cocina el guiso hasta el caldo se reduzca a la mitad o más dependiendo de tus preferencias.', '5\nSirve el guiso de judiones de La Granja con verduras en platos hondos o cuencos de barro. Si te han gustado estos judiones de La Granja sin carne no te pierdas este otra receta de guiso de coliflor y patatas tan especial, o entra en mi blog Vegspiration para descubrir muchos más platos de cuchara veganos que te encantarán.']",Valoración: 5 (1 voto),4 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['500 gramos de judiones de La Granja cocidos', '300 gramos de alcachofas congeladas', '1 cebolla', '2 zanahorias', '150 calabaza', '2 dientes de ajo', '150 mililitros de vino blanco', '4 patatas', '½ puerro', '1 cucharadita de pimentón dulce', '1 cucharadita de sal', '1 pizca de pimienta negra', '1 hoja de laurel', '2 cucharadas soperas de aceite de oliva', '½ litro de caldo vegetal']",https://www.recetasgratis.net/receta-de-judiones-de-la-granja-con-verduras-45430.html
Enfrijoladas mayas,,"['1\nSe sofríen las tortillas de maíz, se sacan de la sartén.', '2\nSe rellenan de cochinita pibil de la chata.', '3\nSe bañan con frijol negro, se pone cebolla morada y se sirven bien calientes']",Valoración: 5 (1 voto),2 comensales,30m,,Dificultad baja,,[],"['Cebolla morada', 'Tortillas de maiz', 'cochinita pibil', 'frijol negro']",https://www.recetasgratis.net/receta-de-enfrijoladas-mayas-43793.html
Lentejas con chorizo de cerdo y vino blanco,Plato tradicional de lentejas con chorizo de cerdo y vino blanco en esta receta os vamos a explicar una receta tradicional. Verás como el chorizo le da un gustito muy interesante al plato de lentejas.,"['1\nDejar las lentejas en remojo durante 12 horas, si quieres saltarte este paso puedes usar lentejas hay hervidas, las puede comprar en conserva, no son tan buenas pero no tendrás que perder tanto tiempo.', '2\nPicar una cebolla y cortar los chorizos en rodajas de 1 y 1/2cm aproximado, poner a rehogar la cebolla y las rodajas de chorizos juntos de esta manera no se usa aceite y se doran con el jugo de los chorizos.', '3\nUna vez dorados ambos ingredientes se agrega el tomate y el morrón picados bien finitos y se le agrega 1/2 vaso de vino blanco, dejar que los ingredientes se cocinen con el vino luego, que el vino se consumió se agrega pure de tomate y 1 y 1/2 litro de agua, se condimenta y sala a gusto, teniendo en cuenta que el chorizo ya esta condimentado y largo todo su jugo en la preparación.', '4\nDurante el hervor del agua se agrega una papa cortada en cubos pequeños y las lentejas escurridas.', '5\nDejar a fuego medio con la cacerola destapada hasta que queden las papas tiernas y la preparación quede una consistencia casi espesa. Como condimento también se pueden agregar dos hojas de laurel. Al servir se le agrega queso rallado en el plato de lentejas con chorizo de cerdo y vino blanco']","Valoración: 3,4 (38 votos)",4 comensales,24h,,Dificultad alta,,[],"['½ kilogramo de lentejas', '4 unidades de chorizo de cerdo', '1 unidad de cebolla', '1 unidad de aji morron', '1 unidad de tomate', '200 mililitros de puré de tomate', '1 unidad de ajo', '1 pizca de sal gruesa', '1 pizca de pimenton dulce', '1 litro de agua', '1 chorro de vino blanco']",https://www.recetasgratis.net/receta-de-lentejas-con-chorizo-de-cerdo-y-vino-blanco-43499.html
Frijoles de la Olla Chihuahua STYLE,,"['1\n1. Antes que nada limpar muy bien los frijoles, quitar las piedras y todos los frijoles quebrados, lavar y enjaguar en agua muy bien y escurrir.', '2\n2. En una olla de cocion lenta se ponen el agua, los frijoles y se agregan el resto de los ingredientes ""MENOS LA SAL"" .', '3\n3. Se recomienda hacer esto en la noche; prender la olla en low (fuego bajo), a las ocho horas hay que checar muy bien que no le falte agua, si todo esta bien se retiran la cebolla, los ajos y el laurel y se agrega la sal y se deja otra hora mas.', '4\nDeben de quedar con suficiente caldo para que no se hagan malos , PROVECHO¡¡¡¡¡']","Valoración: 4,3 (10 votos)",,,,Dificultad baja,,,"['2 Tza. frijol (pinto ò mantequilla)', '2 Lts. agua (1 lto. por cada taza de frijol)', '5 dientes de ajo', '1/2 cebolla bca.', '1 cda. aceite', '3 hojas de laurel', '1 cda. sal (al gusto)']",https://www.recetasgratis.net/receta-de-frijoles-de-la-olla-chihuahua-style-43349.html
Garbanzos viejos,,"['1\nSe deja en remojo los garbanzos la noche antes en agua.Cocer los garbanzos y cuando esten tienos dejarlos aparte.', '2\nEn una sartén,freir todo junto; chorizo y morcilla(a quien le guste) y trocitos de pollo (todo cortado en trozos pequeños).', '3\nLe añadiis,un chorreoncito de vino blanco y no tirar la salsa que se hace.en otra sarten freir patatasy mezclar todo junto.anadir la sal al guso.']","Valoración: 3,5 (8 votos)",,,,Dificultad baja,,[],"['Garbanzos', 'Chorizo', 'Morcilla', 'Pollo', 'Vino blanco', 'Patatas', 'Sal']",https://www.recetasgratis.net/receta-de-garbanzos-viejos-43032.html
Potaje de garbanzos fácil,"Si no sabes cómo preparar este potaje de garbanzos fácil no te pierdas los pasos que te enseñamos a continuación en RecetasGratis. Verás lo sencillo que es hacer un guiso de garbanzos con esta receta si sigues todas las instrucciones. Además, te vamos a dar algunos trucos para que de ablanden las legumbres más rápidamente y tardes menos tiempo en hacer este cocido de garbanzos fácil, aunque siempre puedes utilizar garbanzos de bote como alternativa para ahorrar tiempo o cocerlos en una olla exprés rápida o a presión.","['1\nDeja en remojo los garbanzos la noche anterior bien cubiertos de agua tibia en un lugar fresco y seco con la cucharadita de bicarbonato de sodio y una pizca de sal, así se ablandarán más rápidamente en unas 8 - 10 horas más o menos.', '2\nPrepara un sofrito con los pimientos y los ajos picados en una sartén o cazuela con un poco de aceite de oliva y sal.\nTruco: Añade una cebolla picada si', '3\nEscurre, lava bien y después cuece los garbanzos en una olla (con agua mineral embotellada mejor y una hoja de laurel si quieres) hasta que las legumbres estén bien cocidas. El agua embotellada es más blanda que la corriente y ayudará a cocer más rápidamente el cocido de garbanzos fácil. Y el laurel le otorgará un toque extra de sabor.Si aún así no sabes cómo se cuecen los garbanzos échale un vistazo a esta artículo sobre cómo cocer bien los garbanzos de UnComo.\nTruco: Si cueces las legumbres en una olla express ahorrarás mucho más tiempo de cocción.', '4\nCuando estén cocidos, añade el sofrito, las espinacas (si quieres), el puñado de arroz y la pastilla de Avecrem, y sigue cocinando el guiso de garbanzos fácil hasta que no quede ni muy claro ni muy espeso y el arroz esté cocido.', '5\nSirve el potaje de garbanzos fácil y rápido recién hecho como plato principal, y de aperitivo puedes probar esta sabrosa receta de pimientos del piquillo relleno de bacalao por ejemplo para hacer un menú completísimo.']","Valoración: 3,3 (35 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['1 paquete de garbanzos', '1 pimiento verde', '1 pimiento rojo', '1 cebolla', '4 dientes de ajo', '1 puñado de arroz', '1 pastilla de caldo de pollo concentrado Avecrem', '1 pizca de sal', '1 chorro de aceite', '1 cucharadita de bicarbonato de sodio', '1 paquete de espinacas o acelgas congeladas (opcional)', '1 cebolla (opcional)', '1 hoja de laurel (opcional)']",https://www.recetasgratis.net/receta-de-potaje-de-garbanzos-facil-42690.html
Lentejas al curry,"Las lentejas son un alimento vegetal muy rico en proteínas, este plato es ideal para las personas vegetarianas que no consumen carne, aparte el curry y las otras especias como el cardamomo le aportan mucho sabor. Las lentejas al curry son perfectas para consumir a la hora del almuerzo acompañados de arroz basmati.","['1\nAntes de realizar esta receta, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con aceite a fuego bajo, sofreír la cebolla y el ajo, cortado finamente, hasta que esté blanda la cebolla. Luego añadir una hoja de laurel, el comino, el cardamomo, el curry y el ají en polvo, mezclar todo.', '3\nAgregar el tomate pelado y picado finamente, sofreír a fuego bajo con la olla tapada hasta que el tomate suelte sus jugos.', '4\nAñadir las lentejas, mezclar muy bien y agregar 3 tazas de agua. Tapar y cocinar a fuego bajo durante 1 hora. Transcurrido este tiempo, destapar la olla y cocinar 20 minutos a fuego alto hasta que reduzca un poco, rectificar sabor con sal y pimienta.', '5\nFinalmente servir las lentejas con curry y cardamomo, servir con un poco de yogur para nivelar el picor de las especias y acompañar con arroz basmati. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 3,9 (60 votos)",3 comensales,1h 30m,Plato principal,Dificultad media,,['Recomendada para veganos'],"['1 taza de Lentejas', '1 cucharadita de Cardamomo en polvo', '1 cucharadita de Curry en polvo', '1 cucharadita de Jengibre en polvo', '1 cucharadita de Comino en polvo', '1 pizca de Aji en polvo', '1 unidad de Cebolla blanca', '2 dientes de Ajo', '2 unidades de Tomates rojos', '30 mililitros de Aceite de girasol', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-lentejas-al-curry-42572.html
ENFRIJOLADAS TLAXMALAQUENAS.,,"['1\nEn la licuadora licuas los frijoles,chiles, ajo,epazote,la crema, y sal.', '2\nYa una vez licuado todo , en un sarten agregas una cucharada de olivo y fries tantita cebolla y ya media frita la cebolla le agregas lo que licuaste lo dejas que se cosine un poquito a que tome su primer herbor ya una vez que irbio en otro sarten pone tantito aceite y pasa las tortillas a que se calienten con el aceite y unavez que ya las paso las pasa por los frijolitos que cosio como si fuera aser enchiladas una vez que esta la tortilla enbarrada de frijol sele pone el queso y cebolla picada y se dobla ala mitad y asi continua con el resto se les puede poner verdura como lechuguita y quesito ensima estan muy rica. Atte: Erendira uribe marban.']",Valoración: 3 (1 voto),,,,Dificultad media,,,"['Porcion para 2 personas', '12 tortillas de maiz', '1 taza de frijoles cosidos', '1 o 2 chiles serranos', '1/2 taza de sour creme DEISY', '4 ramitas de epazote verde', '1 ajo . sal al gusto', 'cebolla', 'quezo en polvo al gusto']",https://www.recetasgratis.net/receta-de-enfrijoladas-tlaxmalaquenas-42326.html
