title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Camarones al mojo isleño,,"['1\n1. En un sarten caliente el aceite de oliva.', '2\n2. añada en este orden: ajos, cebolla, pimientos, ajos. Dore. 3. Agregar los camarones y cuando esten en su punto añadir la pasta de tomate, mover y agregar los demas ingredientes.', '3\n4. Cocine por 5 minutos. 5. Se chupara los dedos.']","Valoración: 4,1 (21 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['16 unidades de Camarones pelados', '½ unidad de Cebolla blanca, morada y amarilla', '½ unidad de Pimiento morrón verde, amarillo y rojo', '½ unidad de Tomate', '¼ cucharadita de Pasta de tomate', '¼ cucharadita de Ajo molido', '¼ taza de Caldo de pollo', '¼ taza de Agua (60 mililitros)', '1 pizca de Sal', '1 pizca de Pimienta', '1 chorro de Aceite de oliva o mantequilla']",https://www.recetasgratis.net/receta-de-camarones-al-mojo-isleno-9443.html
Camarones albemar,,"['1\nEl camaron ya limpio se abre por el lomo se deja la cola (para mejor presentacion).', '2\nSe le pone la leche, la crema, 5 rebanadas de queso amarillo, chile chipotles al gusto, 2 cucharaditas de conseome en polvo, la sal y pimiente se licuan ya lista la salsa se derrite la mantequilla y se sasona la cebolla, el ajo y el apio junto son los camarones para sasonarlos 5 minutos depues se le pone la salsa y se dejan que sueltn el hervor y listo.', '3\nSe acompañan con una cama de arroz blanco, verdura o pure de papa segun el gusto.']","Valoración: 3,9 (7 votos)",,,,,,,"['Camarones (pelados y lavados)', 'Cebolla finamente picada', 'Apio finamenrt picado', 'Mantequilla', 'Queso amarillo', 'Leche', 'Crema', 'CHile chipotle', 'Sasonador', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-camarones-albemar-9352.html
Pulpo y camarones al mojo de ajo,,"['1\nSe frien los camarones y el pulpo en un sarten con aceite y se agrega el ajo y el chile sin dejar que se doren,luego se añade el jugo de limon y las salsas dejando que hiervan unos minutos.', '2\nSe sirve y se acompaña con arroz blanco.']","Valoración: 4,2 (33 votos)",,,,,,,"['½ kilogramo de Camarones grandes y limpios', '1 kilogramo de Pulpo bien cocido y en cubos', '¼ taza de Aceite', '¼ taza de Ajo picado', '2 unidades de Chiles pasillas cortados en tiritas', '¼ taza de Jugo de limon', '4 cucharadas soperas de Jugo maggi', '4 cucharadas soperas de Salsa inglesa']",https://www.recetasgratis.net/receta-de-pulpo-y-camarones-al-mojo-de-ajo-9246.html
Langostinos a la plancha,"¿Eres un amante del marisco y buscas recetas sencillas? ¡Has llegado al lugar adecuado! En esta receta aprenderás a cocinar langostinos a la plancha, un plato fácil y muy sabroso. Te daremos todos los detalles sobre esta técnica de cocina y, además, te enseñaremos a llevarla a cabo en una sartén, para todas aquellas personas que no disponen de plancha. Vamos a por el paso a paso que en RecetasGratis.net te detallamos y prepara esta exquisita receta de langostinos.","['1\nEl primer paso para realizar nuestra receta de langostinos a la plancha es prealistar los ingredientes. Recuerda que este marisco se encuentra en diferentes tamaños, escoge el que más desees.', '2\nLo primero que vamos a hacer es retirar la cáscara que recubre los langostinos, también se debe retira la vena que se encuentra en el lomo, el cual es el intestino del animal.', '3\nUna vez limpios los langostinos, puedes realizar una marinada con un poco de vino blanco o cava, ajo, pimienta negra y perejil fresco. Marina durante 30 minutos en la nevera o refrigerador nuestros langostinos. Esto lo hacemos para darle un toque de sabor extra a la receta.', '4\nMezcla bien los ingredientes del paso anterior y, una vez marinados los langostinos, retíralos de la nevera o refrigerador.', '5\nAhora viene el paso más importante, que es la cocción de nuestro marisco. Lleva una sartén antiadherente a fuego medio y deja que se caliente muy bien. Para poder cocinar los langostinos a la plancha es fundamental que la sartén sea antiadherente. Si dispones de plancha, perfecto, utiliza este utensilio.', '6\nUna vez caliente, adiciona un chorro de aceite de oliva. Utilizaremos muy poca cantidad, puesto que este tipo de cocción se caracteriza por la poca cantidad de aceite que emplea.', '7\nAñade los langostinos a la sartén y ponlos uno detrás de otro para que estos tengan una cocción pareja, deja el fuego a intensidad media y deja cocinar durante unos 5 minutos aproximadamente. Recuerda que los mariscos no deben sobrecocinarse.', '8\nDale vuelta a los langostinos con la ayuda de unas pinzas y deja cocinar durante otros 5 minutos más. Si deseas, puedes añadir el jugo del marinado al final de la cocción, ya que contiene vino blanco y esto dará un toque especial y delicioso a nuestra receta. Agrega sal y pimienta si consideras que es necesario y apaga el fuego.', '9\nSirve nuestros langostinos a la plancha acompañando con un puré de patatas o con arroz blanco, añade un poquito de perejil fresco encima al momento de servir y ¡listo! Y si quieres servir este plato a modo de entrante o aperitivo, puedes preparar mejillones al vapor para complementarlo.']",Valoración: 4 (23 votos),4 comensales,45m,Entrante,Dificultad media,,[],"['500 gramos de Langostinos', '1 cucharadita de Perejil fresco', '1 cucharadita de Aceite de oliva', '2 dientes de Ajo', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-langostinos-a-la-plancha-9245.html
Chilpachole de jaiba y camarones,,"['1\nSe tuestan los chiles sobre el comal,se desvenan y se ponen a hervir en poca agua durante 2 minutos,se dejan en remojo,se sofrie la cebolla con la carne de jaiba en el aceite, y se muelen los chiles en la licuadora con el agua en que hirvieron junto con el ajo y la sal,se cuela la salsa y se vierte sobre la jaiba dejandola hervir durante 5 minutos luego se agregan 8 tazas de agua y el epazote y se deja hervir otros 7 minutos mas por ultimo se añade la papa partida en trozos pequeños y el camaron se sirve caliente.']","Valoración: 4,2 (84 votos)",,,,,,,"['1 unidad de Chile guajillo', '4 unidades de Chiles anchos', '½ taza de Aceite', '1 unidad de Cebolla picada', '½ kilogramo de Carne da jaiba limpia sin hueso y sin cascara', '2 dientes de Ajo', '1 pizca de Sal al gusto', '1 rama de Epazote', '1 unidad de Papa grande cocida y partida en cuadritos', '¼ kilogramo de Camaron cocido para cocte']",https://www.recetasgratis.net/receta-de-chilpachole-de-jaiba-y-camarones-9242.html
Langosta especial,,"['1\nHierva las langostas con sal y pimienta.', '2\nDespués límpielas,córtelas en trocitos.', '3\nColoque en una fuente los chicharos,los espárragos y los huevos duros en ruedas.', '4\nSazone con aceite y vinagre.', '5\nColoque ahora los trocitos de langosta con el aguacate en trozos.', '6\nCubralo con la mayonesa, sirva frio.', '7\nACOMPAÑE CON GALLATAS SALADAS.']","Valoración: 3,4 (13 votos)",,,,,,,"['2 langostas', '1/2 taza de chicharos(arvejas,guisantes)', '1 lata de puntas de espárragos', '4 huevos duros(cocidos)', '8 cucharaditas de aceite de oliva', '2 cucharadas de vinagre', '2 aguacates(paltas)', '1/2 taza de mayonesa', 'Sal', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-langosta-especial-9212.html
Hamburguesa de camaron,,"['1\nSe pone a cocer los camarones en agua hirviendo, con un poco de sal, se sacan y se escurren muy bien, se lava y se desinfecta la lechuga, el tomate se rebana en rodajas no muy gruesas, se parte el pan y se pone en la plancha de la estufa a que se caliente un poco.', '2\nCuando ya esta un poco caliente se unta una mitad de mayonesa y la otra de mostaza, en una sarten antiadeherente, se pone queso formando una tortita y se le acomodan camarones al gusto, cuando empiece a gratinar el queso, inmediatamente, se pone en el pan, agregando la lechuga, el tomate y captsu al gusto.']","Valoración: 3,8 (5 votos)",,,,,,,"['6 Piezas de pan para hambuerguesa', '500 grs., de camarón chico', '300 grs., de queso que gratine', '1 lechuga', 'tomate', 'Ketchup', 'mayonesa', 'mostaza']",https://www.recetasgratis.net/receta-de-hamburguesa-de-camaron-8992.html
Brochetas de camarón asadas,,"['1\nLos camarones se sazonan con limòn,sal,ajo y pimienta, se van ensartando en unos palillos de madera largos y de manera alternada:', '2\nCamaròn;tocino,pimiento verde,cebolla y pimiento rojo.', '3\nRepetir la operaciòn hasta llenar los palillos.', '4\nPonerlos sobre una parrilla antiadherente a fuego bajo hasta que todos los ingrediantes estèn ligeramente asados.', '5\nBUEN PROVECHO']","Valoración: 4,3 (32 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['16 unidades de Camarones pelados', '1 unidad de Cebolla', '1 unidad de Pimiento verde', '1 unidad de Pimiento rojo', '8 lonchas de Tocino', '2 cucharadas soperas de Jugo de limón', '1 pizca de Ajo en', '1 pizca de Sal', '1 pizca de Pimienta molida']",https://www.recetasgratis.net/receta-de-brochetas-de-camaron-asadas-8734.html
Camarones a la diabla con naranja,,"['1\nEn la mantequilla se frien el ajo y los chiles picaditos, se le agregan los camarones y se dejan sazonar con sal y pimienta.', '2\nSe incorporan el jugo de naranja la katsup y el cilantro, se tapa unos momentos y se sirve con un buen arroz.']","Valoración: 4,1 (21 votos)",,,,,,,"['1 kilogramo de Camarón (ya sin cáscara)', '1 pizca de Mantequilla al gusto', '1 botella de Salsa katsup o pure de tomate', '8 unidades de Chiles secos asados', '1 diente de Ajo', '½ taza de Jugo de naranja', '1 manojo de Cilantro picado (una cantidad generosa)']",https://www.recetasgratis.net/receta-de-camarones-a-la-diabla-con-naranja-8644.html
Cóctel de cangrejo,,"['1\nLimpie las setas eliminando el pie y la tierra.', '2\nLávelas con un trapo humedecido, córtelas en rodajas finas con un instrumento para cortar trufas y póngalas en una copa con el zumo de limón para evitar que se ennegrezcan.', '3\nQuite el hilo a las judías verdes, límpielas y cuézalas en una cacerola con un poco de agua salada, calculando unos 25 minutos de cocción a partir de la ebullición.', '4\nEscúrralas, déjelas enfriar y córtelas en trozos de 2 o 3 centímetros de largo.', '5\nQuite la piel de los tomates y córtelos en dados tratando de no romperlos.', '6\nEn la copa que contiene las setas agregue las judías verdes y los tomates preparados, la carne de cangrejo sin el líquido y divida la en tiras.', '7\nCondimente la mezcla con aceite, un poco de sal y una pizca de pimienta recién molida, remueva bien y espolvoree la superficie con los cebollinos finamente picados.']","Valoración: 3,4 (10 votos)",,,,,,,"['250 g de carne de cangrejo en lata', '250 g de setas frescas', '250 g de judías verdes', '2 tomates medianos', 'Cebollines', 'Zumo de limón', 'Aceite', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-coctel-de-cangrejo-8256.html
