title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Calamares a la italiana,,"['1\nSe limpian y se cortan los calamares en trozos, se sazonan y se rehogan con tres dientes de ajo muy picaditos.', '2\nAparte, freír el tomate con las especias y dos dientes de ajo picados hasta que la salsa esté espesa.', '3\nEn una fuente de horno colocar los calamares y el sofrito de tomate.', '4\nEspolvorear por encima el queso rallado.', '5\nIntroducir al horno y gratinar.']",,"['1 kilo de calamares', '750 gramos de tomate triturado', '5 dientes de ajos', '200 gramos de queso rallado', '1 pellizco de pimienta', '1 pizca de tomillo', '1 pizca de orégano', '1 pizca de perejil', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-calamares-a-la-italiana-37812.html,,,,,,
Buñuelos de langostinos con salsa,,"['1\nPara preparar la pasta, batir las claras de huevo a punto de nieve con una pizca de sal.', '2\nAñadir unas gotas de zumo de limón y la fécula.', '3\nPelar los langostinos, conservando sólo las colas.', '4\nRebozarlos con la pasta preparada anteriormente e introducirlos en el aceite tibio para freír.', '5\nFreír los langostinos hasta que estén bien dorados y dejar escurrir sobre papel absorbente.', '6\nServir muy calientes.', '7\nPara hacer la salsa, poner a hervir 4 cucharones de agua, el concentrado de tomate, media cucharadita de sal, el azúcar y vinagre al gusto.', '8\nDejar hervir unos 5 minutos.']","Valoración: 4,4 (5 votos)","['1,5 cucharadas de fécula de patata', '100 ccs de aceite', '1 chorrito de vinagre', '2 huevo las claras', '6 cucharadas de azúcar', '1 cucharada de tomate concentrado', '1 kilo de langostinos grandes', '4 gotas de zumo de limón', '1 cucharadita de sal']",https://www.recetasgratis.net/receta-de-bunuelos-de-langostinos-con-salsa-37796.html,,,,,,
Buñuelos de cangrejo con langostinos,,"['1\nEscurrir la carne de cangrejo y quitar los posibles cartílagos.Ponerla en un bol con los langostinos pelados, el tocino sin piel y cortado a trocitos.', '2\nBatir hasta obtener un picadillo fino.', '3\nDespués añadir el azúcar, la pimienta y el “nouc mam”. Mezclar bien.', '4\nPoner la harina, la harina de maíz y la levadura en una ensaladera grande, mezclar bien, formar un hueco y agregar el agua, poco a poco, para obtener una masa espesa.', '5\nBatir las claras de los huevos a punto de nieve con una pizca de sal y luego incorporarlas con cuidado a la pasta.', '6\nAgregar el picadillo a la pasta, mezclar bien.', '7\nFormar bolas con una cuchara grande o cortar en triángulos e introducirlos en el aceite caliente, dejar freír hasta que por fuera estén bien dorados.', '8\nEscurrir sobre papel absorbente y servir.']","Valoración: 3,4 (9 votos)","['2 huevo las claras', '1 pizca de sal', '300 gramos de langostinos', '1 cucharada de levadura', '1 pizca de pimienta', '100 ccs de aceite', '1 lata de cangrejo', '1 cucharada de nouc mam', '50 gramos de harina de maíz', '1 pizca de azúcar', '150 ccs de agua', '75 gramos de tocino', '125 gramos de harina']",https://www.recetasgratis.net/receta-de-bunuelos-de-cangrejo-con-langostinos-37794.html,,,,,,
Almejas en salsa de coco,,"['1\nLas almejas se pueden comprar con concha.', '2\nLavarlas bien y ponerlas a cocinar hasta que se abran.', '3\nLuego sacarlas de la concha y separar el agua luego para utilizarla en la cocción.', '4\nUna vez hecho esto, picar muy pequeño el tomate, la cebolla y el pimiento y el ajo, y se pone a freír con el aceite hasta que se cocinen.', '5\nLuego agregar las almejas y un poco del caldo del cocimiento de las almejas.', '6\nY se deja cocinar unos 15 minutos o hasta que el caldo se seque.', '7\nCuando esto ocurra echar el caldo de sustancia y la leche de coco.', '8\nEn este punto se puede agregar sal si es necesario.', '9\nDejar cocinar y estar revolviendo constantemente para evitar que se queme, y no tapar la olla, para que la leche no se corte.', '10\nCuando la leche se halla consumido un poco y este cremosa la cocción, se apaga el fuego.', '11\nLo podemos acompañar con arroz blanco bien calientito.']",,"['2 cucharaditas de aceite', '5 dientes de ajo triturados', '2 kilos de almejas', '1 cebolla cabezona grande', '2 cocos su leche', '1 pastilla de caldo', '1 pimiento grande', '1 pizca de sal', '1 tomate grande']",https://www.recetasgratis.net/receta-de-almejas-en-salsa-de-coco-37591.html,,,,,,
Almejas al cava,,"['1\nPoner las almejas con agua fría y sal durante 1 hora para que expulsen toda la arena.', '2\nLavarlas y reservarlas.', '3\nPicar la cebolla muy pequeña y ponerla a pochar en la sartén con un poco de aceite.', '4\nEn el mortero triturar los ajos con las guindillas y el perejil y añadirlo a la cebolla cuando este pochada.', '5\nAñadir el cava, un poco de sal y las almejas.', '6\nCuando estén abiertas retirar del fuego y servir caliente.']","Valoración: 3,4 (9 votos)","['1 kilo de almejas', '1 cebolla', '2 guindillas cayenas', '2 dientes de ajo', '1 ramito de perejil', '1 copa de cava', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-almejas-al-cava-37590.html,,,,,,
Almejas a la parmesana con salsa de tomates,,"['1\nLavar bien en agua las almejas.', '2\nAbrirlas y despresar de sus conchas y lavarlas nuevamente dejando las almejas o machas en sus respectivas conchas.', '3\nAliñar cada una de ellas con unas gotas de limón, un poquito de mantequilla y pimienta.', '4\nUntarlas con salsa de tomate y agregar por ultimo u trocito de queso.', '5\nPoner al horno caliente durante 4 minutos.', '6\nServirlas inmediatamente.']",Valoración: 3 (1 voto),"['2 kilos de almejas o machas', '200 gramos de queso', '2 limón', '120 gramos de mantequilla', '225 gramos de salsa de tomates', '1 pellizco de pimienta']",https://www.recetasgratis.net/receta-de-almejas-a-la-parmesana-con-salsa-de-tomates-37589.html,,,,,,
canarones hawaiianos,,"['1\nMesclar el jugo y el capeador.', '2\nPela y desvena los camarones, cortados casi hasta el final sin que se te corten en dos,se introducen en esta pasta, se estilan y se bañan en el coco y se enfríen.', '3\nCon un poco de jugo de pina, se le vierten picados en trocitos la pina y la cereza que sera una salsa, la cual se espesa con el capeador (es importante hacerlo en frio). Después se calienta y se bañan los camarones ya fritos.']",Valoración: 2 (1 voto),"['6 camarones medianos', '50 gr pina en conserva', '50 gr cerezas', '200 ml de jugo de pina', '200 gr capeador', 'coco deshidratado']",https://www.recetasgratis.net/receta-de-canarones-hawaiianos-37491.html,,,,Dificultad media,,
Camarones empanizados fritos,"Para preparar esta receta de camarones empanizados debes saber que ka cantidad de marisco indicada es orientativa, ya que puedes añadir todos los camarones que quieras. Así mismo, proponemos emplear polvo para empanizar, pero puede seleccionar el que más te guste, puesto que lo que realmente le da el sabor a la receta es la harina ya preparada. Así pues, la diferencia está en el grado de crujiente que quieras, en base a esto deberás escoger uno u otro.No te pierdas el paso a paso que en RecetasGratis compartimos para enseñarte cómo hacer camarones empanizados, ¡te encantará!","['1\nPela los camarones dejando solo la cola y córtalos por el lomo para retirarles el tubo digestivo de color negro. Una vez hecho esto, ya los habremos limpiado y dejado con forma de mariposa.', '2\nCoge un recipiente y prepara la harina para empanizar los camarones. Para ello, mézclala con el ajo puro en polvo, sal y pimienta. Si quieres, puedes agregar más especias y variar las cantidades para adaptarlas a tu gusto.', '3\nAparte, bate los huevos y resérvalos en ese plato, no los mezcles con la harina. Coge un tercer plato y coloca el empanizador escogido. Puedes utilizar panko, pan molido..., lo que quieras que aporte un toque crujiente a los camarones empanizados.', '4\nCoge una sartén grande con el aceite suficiente como para cubrir los camarones y ponla a fuego medio para que el aceite se caliente.', '5\nPara rebozar los camarones, pasa cada uno de ellos primero por la harina preparada, procurando que se pegue muy bien por todos lados. Luego, pásalos por el huevo batido y, finalmente, por el polvo para empanizar.', '6\nFríe los camarones rebozados cuando el aceite esté caliente hasta que se doren. Una vez dorados, resérvalos sobre papel absorbente para retirar el exceso de aceite.', '7\n¡Listo! Ya puedes servir la receta de camarones empanizados fritos, acompañada de tu salsa favorita, como por ejemplo salsa teriyaki, salsa de soja, salsa tártara, salsa barbacoa...']","Valoración: 3,7 (43 votos)","['500 gramos de camarones', '1 vaso de harina', '1 cucharadita de ajo en polvo', '1 pizca de sal', '1 pizca de pimienta', '2 huevos', '1 pizca de polvo para empanizar']",https://www.recetasgratis.net/receta-de-camarones-empanizados-fritos-37477.html,4 comensales,30m,Entrante,Dificultad baja,,[]
Camarones a la diabla con chiles huajillo,,"['1\nPoner a derretir la mantequilla, freir la cebolla junto con el ajo picado, agregar los camarones previamente descongelados y lavados.', '2\nLicuar los chiles hervidos en la licuadora y sin colar agrega la salsa, dejar cocer por 4 minutos, retirar el exceso de agua o caldo, agrega la salsa habanera de tu preferencia, la salsa catsup, sal y pimienta, listo.', '3\nAcompaña con galletas saladas y limones.', '4\nDeliciosos, ideales para ver un buen partido de futbol.', '5\nSaludos.']","Valoración: 3,9 (13 votos)","['1 pizca de Condimentos', '500 gramos de Camarones de pacotilla (cocidos y pelados)', '5 cucharadas soperas de Mantequilla', '1 unidad de Cebolla blanca en rodajas', '2 dientes de Ajo picados', '7 unidades de Chiles huajillo o chilaca hervidos', '1 chorro de Salsa habanera al gusto', '1 botella de Salsa catsup al gusto', '1 pizca de Sal', '1 pizca de Pimienta al gusto', '1 unidad de Limones', '1 paquete de Galletas saladas']",https://www.recetasgratis.net/receta-de-camarones-a-la-diabla-con-chiles-huajillo-37286.html,,,,Dificultad alta,,
Pulpo feira congelado,,"['1\nSi el pulpo es fresco, teneis que llevar a ebullición, el agua que en una olla adecuada habreis colocado previamente.', '2\nUna vez hecho ésto al pulpo se le “asusta” o sea de le ablanda para que no nos quede duro introduciéndolo y sacándolo cinco veces en esa misma agua.', '3\nSi el pulpo es congelado se le introduce directamente en el agua hirviendo.', '4\n¿Como se sabe cuando el pulpo está tierno?, muy fácil, en el agua de la cocción introducís una de las patatas que sea grande y cuando la pincheis y se encuentre tierna, el pulpo está igual.', '5\nA ese agua, le añadís unas hojas de laurel que le dan un buen aroma.', '6\nCon el pulpo ya cocido, comenzad a cortar las membranas que unen los tentáculos, si ya sé que es un engorro, pero el resultado queda mucho mejor así.', '7\nMientras tanto poneis a cocer sobre veinte minutos el resto de las patatas en el agua que quedó del pulpo, de esa manera adquieren mas sabor, o ya sabeis, cuando se pinche y esten tiernas,', '8\nCuando estén cocidas las patatas se escurren y se pelan a medida que vuestros dedos puedan aguantar la temperatura y mientras se enfrian.', '9\nCon una tijera de cocina id cortando los tentáculos del pulpo en rodajas regulares.', '10\nLos trocitos que sean pequeños así los que resulten de la cabeza reservadlo para hacer un salpicón o encebollarlos.', '11\nBueno, ya lo tenemos todo, ¡ea! pues llega la hora de comer y vamos a emplatar, sobre uno preferiblemente de madera como el de la foto.', '12\nVamos a colocar rodajas de patatas cocidas del tamaño de como medio centímetro, posteriormente y encima de ellas, colocamos las de pulpo.', '13\nAhora por este orden, introducís el plato en el microondas ( donde previamente habreis colocado un vaso con agua ) lo calentais durante minuto y medio.', '14\nLo sacais, regais el pulpo y las patatas con abundante aceite de oliva para luego poder “mojar”, seguidamente la sal gruesa.', '15\nFinalmente el pimentón picante tamizado finamente. Lo del vaso de agua es para que no se reseque el pulpo.']","Valoración: 3,4 (32 votos)","['Un pulpo fresco o congelado de 1,5 kg.', '500 gramos de patatas', 'Aceite de oliva virgen extra', 'Sal', 'Pimentón picante', '2 hojas de laurel']",https://www.recetasgratis.net/receta-de-pulpo-feira-congelado-37207.html,,,,Dificultad baja,,
