title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
camarones a la markeza,,"['1\nSe nececitan camarones grande , un poco de marlin ya preparado y tan bien un poco de tocino o panceta y mantequilla y pan paar en panizar se abren los camarones y se les rellena con el marlin , y se le envuelve el tocino y despues se enpaniza con el pan molido y se bire con mantequilla y se sirve con ensalada verde y arroz blanco.']","Valoración: 3,4 (19 votos)",,,,Dificultad media,"['Tocino', 'Mantequilla', 'Arroz blanco', 'Pan molido']",https://www.recetasgratis.net/receta-de-camarones-a-la-markeza-32291.html,,
Brochetas de camarón,,"['1\nEn un recipiente agregue los camarones pelados, los chiles morrones en cuadritos, las papas y las cebollitas. Puedes añadir la cantidad de papas y de cebollas que quieras.', '2\nLos ajos y la mantequilla junto con el consomé los vas a licuar y se lo vas agregar a los camarones, chiles, cebollitas y las papas.', '3\nMuévelo todo y deja que repose durante media hora para que todos los ingredientes se impregnen de sus aromas.', '4\nAgarras un palito, son unos palos grandecitos que puedes conseguir en cualquier tienda grande, pon un camarón, papa, camarón, cebolla, camarón, chile y camarón para formar la brocheta.', '5\nHaz lo mismo con el resto de brochetas hasta que termines con los ingredientes. Ahora tendrás que cocinar las brochetas de camarón a la brasa hasta que estén bien hechas.']","Valoración: 3,8 (449 votos)",6 comensales,45m,Entrante,Dificultad media,"['2 kilogramos de Camarones', '2 sobres de Ajo peladas', '1 paquete de Cebollas y papas pequeñas', '1 puñado de Chiles morrón de los tres colores', '1 paquete de Mantequilla', '½ cucharada sopera de Consomé de pollo']",https://www.recetasgratis.net/receta-de-brochetas-de-camaron-32252.html,,[]
bogavante de ferias,,"['1\nSe pone a hervir agua y sal con algunas verduras (zanahoria,piel de tomate,cebolla..).', '2\nCuando esté lista el agua,se introducen las pinzas del bogavante (con un corte para poder abrirlas mejor) durante 5/7 min', '3\nSacar las pinzas y reservar junto a la cola del bogavante cortada por la mitad.', '4\nHervir las espinacas y reservar;filetear los ajos.', '5\nTrocear la cebolla,el tomate seco y la zanahoria hervida en daditos.', '6\nLa corteza de mandarina (sin parte blanca) y el cilantro en tiras finas.', '7\nLa guindilla o pimiento picante por la mitad,sin pepitas.', '8\nSe deja macerar todo con el orégano,aceite y un poco de zumo de mandarina a modo de vinagreta.', '9\nCon la cabeza del bogavante preparamos un caldo muy reducido que añadiremos a la vinagreta anterior en el último momento', '10\nSe parte por la mitad la cabeza y se sofrie con un poco de tomate triturado,ajo y cebolla picada;añadimos un chorrito de jerez o vino blanco, dejamos evaporar e incorporamos un cazo de agua. Dejar reducir lentamente hasta obtener un caldo denso.', '11\nFinalmente saltear las espinacas con el ajo y el bogavante por separado.', '12\nDisponer en el plato y salsear con la vinagreta+el caldo reducido en caliente.']","Valoración: 3,3 (18 votos)",,,,Dificultad media,"['1 bogavante', 'Cebolla morada', 'Tomate seco', 'Zanahoria', 'Cilantro', 'Orégano', 'Corteza de mandarina', 'Guindilla fresca', 'Espinacas', 'Ajos']",https://www.recetasgratis.net/receta-de-bogavante-de-ferias-32094.html,,
Pudding “7 minutos”,,"['1\nPonga todos los ingredientes en el vaso, excepto las aceitunas, los pepinillos y la salsa rosa y programe 15 seg. En vel. 4.', '2\nA continuación, ponga la mariposa en las cuchillas y programe 7 min.', '3\nA 90º en vel. 2.', '4\nRectifique la sazón.', '5\nVierta la mezcla en un molde de corona, déjelo enfriar y desmolde.', '6\nCubra con salsa rosa y adórnelo según su gusto.', '7\nTambién puede hacer un “sandwichon”, como en la foto.', '8\nPara ello compre pan Bimbo (puede ser integral de 8 cereales, el normal o ambos) y quítele la corteza.', '9\nForre un molde de plum-cake con film transparente, procurando que sobresalga por los bordes de todo el molde.', '10\nHumedezca el pan con mantequilla y acabando con una de pam.', '11\nCúbralo con film transparente y déjelo reposar en el frigorífico.', '12\nCuando vaya a servirlo, tire del film transparente para desmoldarlo, colóquelo en una bandeja de servir, cúbralo con salsa rosa y adórnelo al gusto.', '13\nSugerencia: Puede utilizar este pudding para rellenar tomates crudos o barquitas de pepino.']","Valoración: 3,3 (18 votos)",,,,Dificultad alta,"['3 latas de 115 g de mejillones en escabeche, escurrir el líquido', '2 pimientos morrones( 140 g aproximadamente)', '1 bote de leche ideal', '4 huevos', 'Pimienta y', 'sal( con moderación)', 'Aceitunas sin hueso y pepinillos(opcional)', 'Salsa rosa']",https://www.recetasgratis.net/receta-de-pudding-7-minutos-32096.html,,
Lady rolleto,,"['1\nSe dejan marinando los langostinos con un día de antelación, posteriormente se cuecen en una solución a partir de la mezcla del vino blanco y el tinto.', '2\nUna vez los mariscos alcancen un punto medio tiempo de cocción se detiene su cocción y se procede a la elaboración de las brochettes.', '3\nEn este punto se dispone una tira de panceta, sobre ella en orden sucesivo, una lonja de mossarela, una lámina de champignon, una lonja de pimiento morrón rojo y finalmente un langostino en sentido transversal.', '4\nInmediatamente se principia a enrrollar este canellonni de modo prolijo, para luego ensrtarlo en la brochette, se repite este procedimeinto hasta integrar cuatro cannelonni por brochette.', '5\nAparte se prepara una vinagreta con emulsión elaborada desde el jugo de naranja y el aceite de maní u oliva, llévense las brochettes a la pariila hasta que la mossarella funda mientras se pincelan con la vinagreta, salpimentar al gusto cuando esté por llegar a su punto la preparación, con agrado.']","Valoración: 3,4 (21 votos)",,,,Dificultad media,"['1 Kilo de langostinos', '1/2 kilo de tocineta (panceta) en tiras de ancho medio', '1/2 kilo de mossarella en láminas', '6 pimientos (pimentones) morrones rojos', '1/2 kilo de champignones', '1 taza de aceite de maní u oliva', '1 taza de jugo de naranjas dulces', '1 taza de vino blanco', '1 taza de vino tinto', 'Pimienta']",https://www.recetasgratis.net/receta-de-lady-rolleto-32075.html,,
cigalas cubanas salteadas,,"['1\nSe hierben 5minutos las cigalas, junto con las cebollas, el pimenton y el limon cortado a trozos que se dejaran durante 25 minutos mas.', '2\nSe trituran las verduras una vez cocidas y se saltea el pure junto con el foie, cuando disminuye el volumen del salteado a la mitad se tira la nuez moscada.', '3\nPara terminar, se ponen en una cazuela de ceramica las cigalas y se flamean con el ron, se añade el sofrito y se deja en el horno a temperatura media durante 20-25min, depende del horno.', '4\nPerfecto para acompañar con un albariño bien fresquito']","Valoración: 3,2 (42 votos)",,,,Dificultad alta,"['2 kg de cigalas', '2 cebollas dulces', '1 pimenton verde', 'Medio vaso de ron', '2 limones', 'Foie de jabugo', 'Una nuez moscada', 'Aceite', 'Agua', 'Sal']",https://www.recetasgratis.net/receta-de-cigalas-cubanas-salteadas-32042.html,,
Pincho de Pulpo,,['1\nSe cuece el pulpo y se trocea. Se hacen los Pinchos atravesando varios trozos de pulpo con un palillo y se añade pimentón.'],"Valoración: 3,2 (19 votos)",,,,,"['Pulpo', 'pimentón']",https://www.recetasgratis.net/receta-de-pincho-de-pulpo-31981.html,,
Montadito de Txangurro,,"['1\nSe cuece y se desmiga el txangurro.', '2\nSe pica muy fino el cogollo y la cebolla y se mezcla con el txangurro.', '3\nSe le añade la crema de cangrejo y se le puede dar un toque de picante con Tabasco, al gusto.', '4\nSe sirve en tartaleta de hojaldre o tostada.']",,,,,,"['Txangurro', 'cebolleta', 'cogollo de Tudela', 'y crema de cangrejo']",https://www.recetasgratis.net/receta-de-montadito-de-txangurro-31953.html,,
Langostinos con bechamel,,"['1\nCocer los langostinos en agua y sal.', '2\nPelarlos y poner 2 piezas en un palillo.', '3\nHacer una bechamel con la mantequilla (130 gr.), la harina y la leche y sazonar.', '4\nEnvolver los langostinos con la bechamel.', '5\nDejar enfriar.', '6\nRebozar con huevo y pan rallado y freír.']","Valoración: 3,4 (19 votos)",,,,,"['1 kg. de langostinos', 'tres cucharadas de harina', 'un litro de leche', 'mantequilla', 'huevo', 'pan rallado.']",https://www.recetasgratis.net/receta-de-langostinos-con-bechamel-31890.html,,
Gambas a la gabardina crujientes,"Gambas a la gabardina, una receta sencilla que está muy buena y que es típica comerla en los bares de tapa. Las gambas a la gabardina llevan un rebozado con cerveza y harina, aunque según la zona en la que se preparen este rebozado puede cambiar algún ingrediente.Con esta receta la gamba queda muy buena y jugosa, con un rebozado muy crujiente y sabroso. Es ideal para servir en una cena informal con amigos, puesto que es muy rápida de hacer, o para darnos un capricho en cualquier momento. Sigue leyendo y descubre en RecetasGratis cómo hacer gambas a la gabardina.","['1\nLimpiamos las gambas, quitamos la cabeza y la cáscara del cuerpo dejando el final de la cola. Las salamos al gusto y las reservamos.', '2\nPreparamos el rebozado de las gambas a la gabardina. Para ello, en un bol ponemos la harina, el huevo, la cerveza, la levadura y un poquito de sal. Lo removemos todo y mezclamos bien, de tal forma que no queden grumos.', '3\nNos ha de quedar una masa un poco espesa, de manera que si nos ha quedado muy clara añadiremos más harina, mientras que si es al contrario echaremos un poco más de cerveza.', '4\nPonemos una sartén con abundante aceite de oliva al fuego. Mientras se calienta, aprovechamos para empezar a rebozar las primeras gambas a la gabardina.', '5\nCuando el aceite esté caliente, vamos añadiendo las gambas a la sartén para dorarlas por ambos lados. Recomendamos freír las gambas rebozadas en tandas de 3-4 para que no se enfríe el aceite.', '6\nConforme se vayan haciendo, las vamos sacando y las colocamos sobre un plato con papel de cocina para absorber el exceso de aceite, ya que de lo contrario no quedarán unas gambas a la gabardina crujientes. Repetimos estos pasos hasta acabar con las gambas.', '7\nCon estas cantidades os sobrará masa, que podéis aprovechar para rebozar y freír pescado que también queda muy bueno. Esta receta de gambas a la gabardina es ideal para servir con otras tapas, como unas patatas al ajillo y un carpaccio de bacalao. Más recetas fáciles y rápidas en mi blog Cocinando con Montse.']","Valoración: 2,3 (11 votos)",2 comensales,30m,Entrante,Dificultad baja,"['12 gambas', '100 mililitros de cerveza', '1 huevo', '125 gramos de harina', '1 cucharada postre de levadura', '1 pizca de sal', '1 vaso de aceite de oliva']",https://www.recetasgratis.net/receta-de-gambas-a-la-gabardina-crujientes-31867.html,,[]
