title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Deliciosa Pizza de la Huerta,,"['1\nPara la masa: Colocar en un cuenco la harina, el polvo para hornear y la sal, mezclar bien y hacer un hueco en el centro.', '2\nAñadir en el hueco la leche y el agua tibias junto con el aceite.', '3\nMezclar hasta obtener un bollo tierno. De ser necesario agregar un poco más de harina.', '4\nEstirar con las manos aceitadas la masa dentro de un molde especial para pizza hasta llegar a los bordes.', '5\nPara la cobertura:Dorar la cebolla previamente cortada en finas rodajas, agregar el ají rojo y el verde cortado en juliana.', '6\nAñadir el perejil previamente picado, pimentón dulce y nuez moscada.', '7\nCubrir la masa de pizza con la preparación anterior.', '8\nCocinar en horno precalentado a 200º por espacio de unos 20 minutos o hasta que la masa está cocida.', '9\nSi se desea puede cubrirse con mozzarella y llevar cinco minutos más al horno hasta que el queso se haya derretido.']",,"['2 tazas de cebollas cortadas en rebanadas finas', '1 taza de perejil picado', '1 taza de morrón rojo y verde', '1 cucharada de pimentón dulce', '1 pizca nuez moscada', 'Para la Masa', '2 tazas de harina', '2 cucharaditas de para hornear', '3 cucharadas de aceite de oliva', '1/4 taza de leche tibia', '1/4 taza de agua tibia', '1 cucharadita de sal']",https://www.recetasgratis.net/receta-de-deliciosa-pizza-de-la-huerta-50629.html,,,,,,
Práctica Pizza funghi,,"['1\nColocamos la harina a modo de montaña sobre la encimera o mejor sobre un molde de silicona ya que nos ahorrará tiempo posterior a la hora de limpiar.', '2\nAgregamos la levadura y mezclamos.', '3\nAñadimos el agua tibia previamente salada y el aceite poco a poco, amasamos con cuidado hasta que todos los ingredientes estén perfectamente mezclados y obtengamos una masa elástica.', '4\nDejamos reposar tapada con un paño de cocina media hora.', '5\nCon la ayuda de un rodillo de cocina extendemos la masa y la colocamos sobre una bandeja de horno untada en aceite.', '6\nLavamos las setas y las cocinamos por separado en una sartén con un poco de aceite de oliva hasta que hayan perdido el agua que sueltan.', '7\nUna vez tengamos la masa extendida sobre la bandeja, ponemos encima la salsa de tomate, las setas por cuartos y el queso, espolvoreamos con orégano e introducimos en el horno previamente calentado a 220º entre 15 y 20 minutos.']",,"['Una nuez de levadura', '250 cc. De agua', '500 grs. De harina', '2 cucharadas de aceite', 'Sal', 'Hydnum rufescens', 'Boletus edulis o pinicola', 'Craterellus cornucopioides (Trompeta de los muertos)', 'Queso rallado al gusto', 'Salsa de tomate', 'Lactarius deliciosus (Níscalo)', 'Orégano', 'Aceite']",https://www.recetasgratis.net/receta-de-practica-pizza-funghi-50625.html,,,,,,
Original Pizza hawaiana,,"['1\nLo primero que haremos es preparar los ingredientes.', '2\nPara ello, cortaremos en trozos el jamón y partiremos en cubos la piña.', '3\nHecho esto, extendemos bien la masa de esta pizza hawaiana, de forma que nos quede con un grosor uniforme. Hecho esto, untamos la masa con tomate frito y cubrimos después con el queso rallado.', '4\nAhora, repartiremos por encima el jamón cocido y la piña.', '5\nEl que quiera, en este momento, puede espolvorear un poquito de orégano Introducimos nuestra pizza en el horno precalentado a 240ºC, durante aproximadamente 12 minutos, o hasta que la masa empiece a ponerse doradita.', '6\nTranscurrido el tiempo de horneado, sacamos la pizza hawaiana del horno, y ya podremos sevirla y disfrutar de ella.']","Valoración: 4,4 (11 votos)","['1 masa para pizza', 'Tomate frito', '4 rodajas de piña', 'Queso rallado', 'Orégano (opcional)', '4 ó 5 lonchas de jamón cocido']",https://www.recetasgratis.net/receta-de-original-pizza-hawaiana-50621.html,,,,,,
Pizza hawaiana de jamón y piña,,"['1\nPrecalentar el horno a 450°F-232°C , para referencia en la pizzerias comerciales se suele usar la temperatura de los hornos hasta 700°F-371°C.', '2\nExtender la salsa de pizza de manera uniforme sobre la corteza, introducir en el horno y cocinar 5 minutos, es decir sacarla cuando está a media cocción.', '3\nCubrir con queso mozzarella, jamón, piña para la primera opción...', '4\nMozzarella, Jamón, Piña y cebolla, para la segunda...', '5\nHornear la pizza en el horno hasta que la corteza se dore y el queso se haya derretido', '6\nBuen provecho!']","Valoración: 3,8 (4 votos)","['1 lata (20 oz. - 567 gr.) Trozos de piña-tidbits (escurrido)', '340 gr. Jamón (en cubos) equivalente a 2 tazas o 12 oz.', '907 gr (32 oz.) Queso Mozzarella rallado, 2 tazas por pizza', '2 taza Salsa para pizza (16 oz. - 473 cc. o más)', '3 u. Pizza grande (pre-hechas, mezcla de caja, hecho en casa, etc.)']",https://www.recetasgratis.net/receta-de-pizza-hawaiana-de-jamon-y-pina-50620.html,,,,,,
Original Pizza caprichosa,,"['1\nPrecalentar el horno, para que alcance la temperatura de 180ºC.', '2\nUna vez que tengamos la masa para pizza lista, vamos a ir preparando el resto de ingredientes que componen la pizza caprichosa.', '3\nContinuaremos por pelar y cortar la cebolla, muy finamente.', '4\nPara no echar la cebolla cruda en la pizza, la echaremos en una sartén con un poco de aceite, para que se sofría a fuego lento.', '5\nCuando la cebolla haya adquirido un color dorado, añadiremos el bacon cortado en tacos y la carne de pechuga de pollo troceada para dejar que se dore un poco.', '6\nCuando la carne esté dorada, tanto el bacon como el pollo, añadiremos la nata a la sartén junto a una pizca de sal.', '7\nCuando el sofrito esté listo, lo echaremos en un plato hondo o bol, para espolvorear sobre él el queso parmesano, así con el calor que desprende, el queso se derretirá.', '8\nEcharemos el sofrito, ya con el queso parmesano, sobre la masa de pizza, con mucho cuidado de que no se salga por sus bordes.', '9\nAñade por encima los champiñones laminados, la piña troceada, el queso mozzarella y un poco de orégano.', '10\nMete la pizza caprichosa en el horno y deja que se haga de 15 a 20 minutos en el horno, o bien, hasta que sus bordes queden dorados y el queso fundido.']",,"['1 masa de pizza grande', '100 gr. de bacon en tacos', '2 rodajas de piña en su jugo', '100 gr. de pechuga de pollo', '45 gr. de queso mozzarella', '75 ml. de nata líquida', '120 gr. de queso parmesano', '100 gr. de champiñones laminados', 'Orégano', '1 cebolla', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-original-pizza-caprichosa-50619.html,,,,,,
La mejor Pizza caprichosa,,"['1\nl vvuole caprichosa de pizza se adorna con aceitunas verdes y negro, alcachofas, champiñones en aceite de oliva y lo inevitable de tomate y mozzarella.', '2\nPrepare la base de la masa utilizando una de las técnicas sugeridas.', '3\nDespués de que la masa ha subido, dividir la masa en cuatro pedazos y rodar cada pieza sobre una superficie enharinada, con un rodillo.', '4\nEl formulario debe ser adaptado a la bandeja de hornear utilizado y puede ser rectangular o redonda.', '5\nLas dosis son suficientes para cuatro moldes redondos de 30 cm de diámetro, si te gusta la pizza crujiente, pero si lo prefiere suave de alta rollo de pizza la masa en dos bandejas de horno.', '6\nBaste con una cucharada de aceite de oliva en el fondo de las ollas y adaptar las hojas.', '7\nPreparar la salsa de tomate mezclando el pasado con el resto del aceite de oliva y sal.', '8\nUnte la mezcla sobre la superficie de la pizza y dejar reposar durante 20 minutos en un lugar cálido.', '9\nMientras tanto precalentar el horno a 220 ° C y Cortar la mozzarella en rodajas finas o cubos y preparar los otros ingredientes: los champiñones cortados por la mitad, pepinos en rodajas finas y las aceitunas sin hueso y cortados por la mitad.', '10\nHornee las pizzas y cocinar durante unos 15 minutos. Sacar del horno y disponer el queso mozzarella en cubos y todos los demás ingredientes.', '11\nHornear de nuevo durante unos 5 minutos. Los tiempos de cocción deben ser ajustados para que su horno.', '12\nServir caliente o tibia.']",,"['Masa básica para 4 personas', 'Setas en aceite de oliva - 60 g', 'Verde Oliva - 60 g', 'Aceitunas negras - 60 g', 'Mozzarella - 250 g', 'Aceite extra virgen de oliva - 3 cucharadas', 'Salsa de tomate - 400 g', 'Alcachofas en aceite de oliva - 10']",https://www.recetasgratis.net/receta-de-la-mejor-pizza-caprichosa-50618.html,,,,,,
Raviolis cuatro quesos,,"['1\nDerrite en una olla la manteca.', '2\nRetírala del fuego y agrega la harina y la leche, revolviendo continuamente para no formar grumos.', '3\nLlévala al fuego y agrega los quesos gruyere, parmesano, cuartirolo y roquefort, la crema doble y la pizca de pimienta.', '4\nCalienta y revuelve continuamente sin dejar hervir.', '5\nSirve sobre los ravioles cocidos y escurridos.']",Valoración: 5 (1 voto),"['1/2 taza de queso cuartirolo rallado', '1 taza de leche', '1/2 taza de queso gruyere rallado', '1/3 de taza de queso parmesano rallado', '1 cucharada de queso roquefort', '1 taza de crema doble', '2 cucharadas de manteca', '2 cucharadas de harina', 'Una pizca de pimienta', '200 ravioles']",https://www.recetasgratis.net/receta-de-raviolis-cuatro-quesos-50617.html,,,,,,
Deliciosos Raviolis cuatro quesos,,"['1\nEn un bol mezclar el queso ricotta, el mascarpone, la mozzarella y 4 cucharaditas de queso parmesano rallado.', '2\nCortar la masa de pasta por la mitad (en dos hojas). Cubrir una de ellas con un paño húmedo.', '3\nEn la otra, ir colocando en montoncitos la mezcla de quesos, dejando medio dedo de distancia con el borde. Cubrirla con la otra hoja de pasta.', '4\nComenzando desde el borde, presione suavemente alrededor de cada montoncito para que salga el aire.', '5\nEspolvoree con un pco de harina. Con una rueda de pasta acanalada, corte a lo largo de cada lado y entre cada montículo para hacer pequeñas formas de pasta.', '6\nPonga los raviolis sobre un paño de cocina enharinado y espolvoréelos con un poco más de harina. Deje que se sequen.', '7\nUna vez secos, hiérvalos en abundante agua con sal. Una vez que compruebe que están tiernos, escúrralos bien. Colóquelos en un plato caliente.', '8\nDerrita la mantequilla en una sartén a fuego lento; salpiméntelo al gusto. Viértalo sobre los raviolis, añada queso parmesano rallado y perejil picado.']",,"['General', '3 cucharadas de mantequilla sin sal', 'harina de trigo', 'perejil picado', 'pimienta', 'sal', '1/2 kg de pasta para raviolis', 'Para el relleno', '2 cucharada/s de queso mascarpone', '2 cucharada/s de queso ricotta', '2 cucharadas de queso mozzarella rallado', '6 cucharadita/s de queso parmesano rallado']",https://www.recetasgratis.net/receta-de-deliciosos-raviolis-cuatro-quesos-50616.html,,,,,,
Spaghetti carbonara con nata,"La salsa carbonara es una de las salsas blancas para pasta más famosas que existe. Según la tradición y la receta original italiana, la salsa se hace a base de huevo, pero una variación muy conocida es la que incluye un poco de nata o crema de leche entre sus ingredientes.Precisamente esa variante es la que haremos en esta receta de espaguetis rápidos y fáciles, una salsa carbonara con huevo y nata que nos ayudará a salir de apuros cuando no tengamos mucho tiempo para cocinar.Guarda esta receta en tu carpeta de pastas favoritas y vamos con los spaghetti carbonara con nata, unos espaguetis con salsa que te enamoraran.","['1\nAlistar todos los ingredientes para preparar nuestros espaguetis con salsa blanca. Aprovecha y pon a calentar agua en una olla para cocinar la pasta más adelante.Ten en cuenta que la medida ideal de pasta por persona es de 80-100 gramos.', '2\nCortar la tocineta y picar el ajo finamente.', '3\nUtiliza una olla o una sartén y calienta la tocineta para que vaya soltando su propio aceite, entonces añade el ajo para empezar con el sofrito base de la salsa carbonara.En este momento lo más probable es que el agua de la otra olla ya esté hirviendo, así que añade los espaguetis con un poco de sal, aceite y cocina hasta que estén en su punto. Comprueba el tiempo de cocción recomendado por el fabricante de la pasta.', '4\nMientras se cocina la pasta, agregamos el vino blanco al sofrito y revolvemos para despegar lo que haya quedado en el fondo, dejamos reducir a la mitad.', '5\nAgregamos la crema de leche junto con el huevo y mezclamos vigorosamente hasta obtener una mezcla homogénea. Rectificamos con sal y pimienta nuestra salsa carbonara con nata.Cuando la pasta esté lista, escurre y reserva.', '6\nPara servir, coloca la pasta recién hecha y bien caliente en el plato y baña con la salsa, rociando un poco de queso rallado por encima.Los spaghetti carbonara con nata son una delicia y los puedes preparar de forma rápida y fácil para resolver la cena o la comida cuando no tengas mucho tiempo.']","Valoración: 4,5 (4 votos)","['100 gramos de Espaguetis', '50 gramos de Tocino', '1 Huevo', '4 onzas de Crema de leche', '2 onzas de Vino blanco', '1 diente de Ajo', '30 gramos de Queso parmesano', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-spaghetti-carbonara-con-nata-50593.html,1 comensal,10m,Plato principal,Dificultad baja,,[]
Raviolis en salsa de maní.,,"['1\nPrealistar todos los ingredientes.', '2\nLavar la cebolla de verdeo y en una tabla cortarla en rodajas medianas. Reservar.', '3\nEn una tabla cortar el mani ( queremos que queden partes no tan finas, es decir que quede grueso y se note que es maní esa es la caracteristica principal y decoración del plato) Si no les gusta el maní con cascara se puede utilizar el otro sin ningun inconveniente', '4\nCocinar las raviolis (en este caso son de quatro quesos) en una olla con agua hirviendo. Dejarlas aproximadamente durante 10 minutos que estan al dente o hasta el punto de cocción que usted desee.', '5\nEn un sartén grande derretir la mantequilla o la manteca y dorar la cebolla de verdeo o larga.', '6\nUna vez este bien dorada adicionar el mani troceado. Dejar conservar durante cinco minutos.', '7\nAdicionar la crema de leche, el ajo finamente picado y la mostaza. dejar conservar durante unos dos a tres minutos aproximadamente.', '8\nPor ultimo adicionar los raviolis y mezclar bien para que queden bien distribuidos los ingredientes en la preparación. Dejar conservar unos dos minutos mas.', '9\nServir los raviolis acompañado de queso rallado encima.']",,"['400 gramos de raviolis rellenos ( de su preferencia)', '2 ramas de cebolla de verdeo o larga.', '100 ml de crema de leche.', '150 gramos de mani sin pelar.', '50 gramos de mantequilla o manteca.', '1 cucharada de mostaza dijon.', '1 diente de ajo.', 'Sal.', 'Pimienta.']",https://www.recetasgratis.net/receta-de-raviolis-en-salsa-de-mani-50203.html,,,,,,
