title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Ñoquis suizos masa,,"['1\nSe mezcla el queso crema con las llemas hasta que quede todo bien unido , se le agrega una pisca de sal y se le va incorporando la harina de a poco mientras seguimos mezclando, hasta que se forme la masa.', '2\nA lo ultimo tendran que usar las manos , amazando y seguir agregandole harina hasta que los dedos dejen de pegarse en la masa.', '3\nPor ultimo se hacen chorisitos y se cortan los ñoquis.', '4\nSe pueden llevar al frezzer mientras que se hace una salsa o simplemente se calienta el agua hasta que hierva y se colocan los ñoquis hasta que floten en el agua.', '5\nPara 2 personas.', '6\nTiempo estimado: 30 min.']","Valoración: 3,3 (4 votos)",,,,Dificultad baja,"['300g de queso crema', '2 yemas', '200 gr de ahrina comun aprox', 'Sal a gusto']",https://www.recetasgratis.net/receta-de-noquis-suizos-masa-36326.html,,
CANALONES,,"['1\nLOS CANALONES LOS HAGO DE LA SIGUIENTE MANERA:', '2\nSE SOFRIE LA CEBOLLA SE AÑADE LA ZANAHORIA EL POLLO EL AJO Y RAMA DE LAUREL CUANDO EMPIEZE EL POLLO A DORARSE AÑADIR LOS TROZOS DE PIERNA DE JAMON AÑADIR EL TOMATE CORTADO A TROCITOS YCUANDO HAGA SU HERVOR AÑADIR UNA COPA DE VINO Y SAL AL GUSTO A LOS 20 MINUTOS DE HECHAR EL VINO QUITAR DEL FUEGO. SE DESMIGA EL POLLO EL JAMON LA ZANAHORIA Y LOS HAGOS SE LE AÑADE EL CALDO QUE HAYA QUEDADO SIEMPRE COLANDOLO SE LE AÑADE 5 HUEVOS DUROS Y UN POCO DE BECHAMEL PARA QUE NO QUE DE SECO A LA HORA DE TRITURAR. ESPERO QUE OS GUSTE ESTA RECETA POR QUE ESTAN BUENISIMOS PROBARLO.']",Valoración: 4 (3 votos),,,,Dificultad media,"['1 POLLO A TROZOS', '1 KILO DE PIERNA DE JAMON A TROZOS', 'ZANAHORIA', 'CEBOLLA', 'AJO', 'HUEVOS DUROS', 'VINO', 'SAL', 'TOMATE', 'LAUREL']",https://www.recetasgratis.net/receta-de-canalones-36325.html,,
raviolis con nata,,"['1\nSe cuecen los raviolis (como indique el envase) Mientras se rehoga la cebolla picadita (cantidad al gusto).', '2\nSe incorpora a continuación el jamón y la nata.', '3\nSe deja un ratito, hasta que espese.', '4\nSe escurren los raviolis, emplatamos y la salsita por encima.', '5\nSe puede echar queso rallado por encima también.']",Valoración: 4 (76 votos),,,,Dificultad baja,"['Unos 250 grs de raviolis(los compro rellenos de queso)', 'un paquetito de nata', 'cebolla', 'jamón serrano picadito', 'una cucharada de aceite', 'sal.']",https://www.recetasgratis.net/receta-de-raviolis-con-nata-36157.html,,
Espaguetis a la boloñesa,,"['1\nPrimero echa agua en una olla mediana hasta un poco más de la mitad, échale un chorrito de aceite y el avecrem y deja que hierva.', '2\nCuando esté el agua en ebullición, echa los espaguetis a la olla y cuece a fuego medio.', '3\nEn unos 7 minutos retíralos del fuego y cuela.', '4\nResérvalos en la misma olla con los 25gr de mantequilla para que no se peguen unos con otros.', '5\nTrocea la media cebolla, la zanahoria y el medio calabacín en pequeños trozos, para que se hagan bien.', '6\nEn una sartén de tamaño mediano echa un chorro de aceite y cuando se caliente echa la cebolla, la zanahoria, el calabacín, las especias y la sal. Luego baja el fuego.', '7\nRemueve de vez en cuando y a los 10 minutos vierte el medio vaso de vino blanco. Sube el fuego un poco y deja que rebaje.', '8\nCuando estén hechas las verduras (la cebolla y el calabacín tienen que estar como transparentes y blanditos), vierte la carne picada y con ayuda de una cuchara de palo desmigaja la carne y ve dándole vueltas hasta que se haga.', '9\nUna vez hecha la carne, vierte el bote de tomate frito casero y 2 ó 3 cucharadas de azúcar para quitar la acidez al tomate.', '10\nSube el fuego y deja unos 7 ó 10 minutos que se mezcle todo, removiendo de vez en cuando.', '11\nCuando el tomate frito se haya mezclado apaga el fuego y echa el contenido de la sartén en la olla donde guardábamos los espaguetis.', '12\nMezcla bien y sirve terminando con un poco de queso rallado. A disfrutar de los espaguetis a la boloñesa.', '13\nPuedes añadir queso rallado si gusta.', '14\nA COMER!']","Valoración: 3,7 (38 votos)",3 comensales,30m,Plato principal,Dificultad baja,"['200gr. de espaguetis.', '200gr. de carne picada.', 'Media cebolla de tamaño mediano.', 'Medio calabacín.', 'Una zanahoria.', 'Medio vaso (pequeño) de vino blanco.', 'Un bote de tomate frito casero.', '25gr. de mantequilla.', 'Aceite de oliva.', 'perejil', 'albahaca', 'romero', 'tomillo', 'ajedrea', 'salvia (todas en pocas cantidades).', 'Es opcional.', 'Sal.', 'Azúcar.', 'Un Avecrem.']",https://www.recetasgratis.net/receta-de-espaguetis-a-la-bolonesa-35958.html,,[]
canelones rellenos de carne y acelga,,"['1\nLos canelones se pueden preparar con una masa liviana, cortarla después de estirada muy fina, en cuadrados de más o menos 10 cm. de lado, cocinándolos luego en abudante agua hirviendo con sal y recién entonces rellenarlos y condimentarlos.', '2\nSi se estirara la masa muy fina (de crepes), pueden rellenarse sin cocinar previamente los cuadrados.', '3\nDerretir la manteca en una olla pequeña, incorporarle la harina y mezclar.', '4\nAgregar toda la leche o caldo y cocinar a fuego moderado, revolviendo continuamente con un batidor de alambre.', '5\nDejar de hervir de 2 a 3 minutos.', '6\nDorar la cebolla picada en la manteca.', '7\nAgregar la carne muy bien picada y saltearla a fuego fuerte.', '8\nAñadir las acelgas picadas y mezclar.', '9\nRetirar del fuego, e incorporar el queso, la sal, la pimienta, la nuez moscada y el huevo.', '10\nRellenar los canelones con esta preparación.', '11\nCubrirlos con una salsa blanca, o si prefieren de tomate, e introducir en horno regular a una temperatura de 180 ºC, de 15 a 20 minutos.', '12\n!buen apetito!']","Valoración: 3,8 (36 votos)",,,,Dificultad baja,"['70 gr. de manteca', '2 cucharadas de harina', '1/2 litro de leche (o caldo de carne/aves/verduras o pescado)', 'sal', 'pimienta', 'nuez moscada', '1 cebolla grande', '70 gr. de manteca', '1/2 kilo de carne picada', '2 atados de acelgas', '4 cucharadas de queso fresco', 'sal', 'pimienta', 'nuez moscada', '1 huevo duro']",https://www.recetasgratis.net/receta-de-canelones-rellenos-de-carne-y-acelga-35957.html,,
espagueti con carne,,"['1\nPoner a cosinar la pasta, en una olla con agua un poco de aceite y un poco de sal para darle un poco de sabor.se deja por 0 min. cocinando.', '2\nSofreir la carne molida con el chile dulse, en otra sarten con la margarina.']","Valoración: 3,7 (41 votos)",,,,Dificultad alta,"['1lb de carne molida', '1lb de espagueti', '1 taza de queso parmesano', '1/4 de chiledulse', '2 tomates', '3 hojas de tomio', '2 hojas de laurel']",https://www.recetasgratis.net/receta-de-espagueti-con-carne-35681.html,,
Espaguetis a la anchoa y champiñones,,"['1\nCocemos los espagueis y salteamos los champiñoes cortado al gusto de cada uno.', '2\nCogemos las anchos y le sacamos todo el aceite y la pasamos al mortero y las prensamos hasta que quede como una pasta.', '3\nUna vez salteados los champiñones los mezclamos con la pata de anchoas y la nata liquida.', '4\nMezclamos y ejamos que la nata empieze el hervir, para juto en eso momento parar el fuego. Esta salsa la mezclamos con los espaguetis una vezescurridos y ya podemos disfrutar!!']","Valoración: 3,8 (39 votos)",,,,Dificultad media,"['Espaguetis', 'Champiñones', 'Aceite', 'Anchoas', 'Nata líquida']",https://www.recetasgratis.net/receta-de-espaguetis-a-la-anchoa-y-champinones-35519.html,,
¡Más sabroso imposible!,Un plato muy rico que combina perfectamente la carne picada en salsa con la pasta de lasagna o lasaña. A continuación en RecetasGratis te explicaremos cómo hacer esta rica receta de pasticho Bologna paso a paso ¡y en menos de 1 hora!,"['1\nColocar y sofreír ligeramente con las 4 cucharadas de aceite 1/2 cebolla, 6 aceitunas, las tiras de anchoa picadas, 2 dientes ajo picados pequeños y 1/4 de la lata de guisantes.', '2\nAgregar los tomates pelados y con un tenedor ir aplastando los tomates pelados y cocinar a fuego lento todo entre 45- 60 minutos. Poco a poco ir removiendo de vez en cuando la salsa del pasticho Bologna. Al final, agregar sal según gusto y una cucharadita de azúcar para corregir la acidez .', '3\nAparte sofreiremos la carne molida con la 1/2 cebolla pequeña restante cortada junto a el ajo que queda. Agregar un poco de sal y cuando esté casi cocinada juntarla con la salsa que estaba casi lista y cocinar todo a fuego lento 10 minutos más.', '4\nCocinar la pasta para lasaña o pasticho en agua hirviendo con sal y un poco de aceite hasta que se ablande, y luego pasar las láminas a un caldero o bol con agua fría y reservarlas aparte.', '5\nPara la presentación final del pasticho Bologna poner en un molde de aluminio rectangular grande en el fondo una capa abundante de la salsa con carne, luego una capa de láminas de pasta, luego otra capa de salsa... además de colocar un poco de guisantes, jamón, mozzarella, un puñado esparcido de parmesano, y luego repetir con una capa nueva de pasta, de salsa igual al anterior y así hasta finalizar la última solo con salsa y queso parmesano, y llevar al horno por 30-45 minutos o hasta que el queso de arriba esté derretido.', '6\nPresentar el pasticho Bologna recién horneado con un poco de perejil picado por encima.También puedes probar otras recetas de pastichos de diferentes sabores como las siguientes:Pasticho de carne molidaPasticho con jamón y quesoPasticho de berenjenaPasticho venezolano']","Valoración: 3,5 (32 votos)",6 comensales,45m,Plato principal,Dificultad media,"['1/2 kilo carne molida fina de primera magra', '1 lata de tomate pelados (1 kg)', '1 cebolla pequeña', '1 lata de guisantes pequeña', '3 dientes de ajo', '500 g de queso mozzarella', '200 g de parmesano italiano Grana Padano', '6 aceitunas negras pequeñas en salmuera', '1 lata de anchoas saladas', '6 cucharadas aceite vegetal de maíz', '3 paquetes de pasta en hoja para lasagna o pasticho', '100 g de jamón cocido rebanado']",https://www.recetasgratis.net/receta-de-pasticho-bologna-35508.html,,['Recetas italianas']
canalones de fiesta major,,"['1\nFreiren una sarten con abundante acite de oliva carne de tocino preferentemente cabeza de lomo la carne de ternera que sea tierna y muslos de pollo cuando empieze a dorar agregamos media langoniza de cerdo ,los sesos de cordero y el fua yo siempre utilizo la marca celestine es muy suave .', '2\nA continuacion cortamos cebollas tiernas a juliana ,dos ajos ,,dos zanahorias muy pequeñas y un pimiento rojo pelado dejar cocer junto con la carne a fuego lento .', '3\nDejar enfriar deshosar y triturar con la un,dos,tres o mejor con la tradicional picadora manual de nuestras abuelas .', '4\nSe deja reposar en la nevera cuado este frio añadimos una tarrina de queso fresco yo utilizo filadelphia , trabajamos la masa con las manos para que quede homojenea y la guardamos en la nevera.', '5\nLas cantidades depende si utilizamos los canalones como plato principal o como entrante normalmente compro 100g de carne entre tocino y ternera 1muslo de pollo un palmo de langoniza por persona de sesos 2por cada 4 personas y fua 100g cada 6 personas 1 ceboolla tierna cada 2 personas 1pimiento rojo cada 6personas 2 ajos cada 6personas 2zanahorias cad 6 personas .', '6\nHervir la masa de canalones ,dejar enfriar encima del mostrador de la cocina peviamente untado con un poco de aceite y rellenar con la masa preparar las bandejas con abundante mantequilla y colocar los canalones .', '7\nPreparamos la bechamel en una sartes freimos 2 cebollas por 6personas las cabollas tiernas y cotadas muy pequeñas incorporamos la leche 1litro mas 2 cucheradas de harina removiendo continuamente cuando enpieze a espesar le pondremos una cucharada de mantequilla no margarina y rralladura de nuez noscada al gusto , caliente la incorporamos a los canalones procurando que queden cubiertos de bechamel yo la paso previamente por un chino para que quede muy fina, preparamos una mezcla de quesos rallados a nuestro gusto y ya podemos gratinar .', '8\nEstos canalones los puedes preparar y congelar quedan francamente bien y es muy comodo .', '9\nQue te salgan bien y buen provecho!']","Valoración: 4,1 (10 votos)",,,,Dificultad media,"['aceite de oliva', 'carne de tocino', 'media langoniza de cerdo', 'sesos de cordero', 'Cebollas', '2 Ajos', '2 Zanahorias', '1 Pimiento rojo']",https://www.recetasgratis.net/receta-de-canalones-de-fiesta-major-35431.html,,
Lasagna de carne,,"['1\nSe guisa la carne sasonada, se cose la pasta con el aceite, la cebolla, el ajo, y la hoja de laurel.', '2\nSe pone en un molde engrasado con mantequilla una capa de pasta, una de salsa,y una de carne asi hasta acabar, se mete al horno a unos 35 grados centigrados por 1/2 hora y listo.', '3\nSe sirve con ensalada al gusto.']","Valoración: 3,6 (31 votos)",6 comensales,30m,Plato principal,Dificultad media,"['1 paquete de Pasta para lasaña', '2 botes de Salsa para pizza', '1 kilogramo de Carne molida', '500 gramos de Queso mozarella', '1 chorro de Aceite', '1 unidad de Cebolla', '1 diente de Ajo', '1 hoja de Laurel', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-lasagna-de-carne-35369.html,,['Recetas al horno']
