title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Espaguetis con pollo,,"['1\nRetirar la piel de las pechugas cocinarlas dejarlas enfriar y desmenuzar.', '2\nEn el caldo de las pechugas se cocinan los espaguetis reservando una taza de caldo.', '3\nCuando estén blandos se retiran se dejan enfriar por si solos, luego en un recipiente grande se empieza a mezclar espaguetis, pechuga desmenuzada salsa de tomate y mayonesa se integran bien y se calientan un poco para servir.', '4\nSe acompaña de pan tajado o ensalada de verduras.']","Valoración: 4,3 (133 votos)",6 comensales,30m,,Dificultad baja,,[],"['4 unidades de Pechuga de pollo', '½ kilogramo de Espaguetis', '1 tarro de Mayonesa', '1 tarro de Salsa de tomate']",https://www.recetasgratis.net/receta-de-espaguetis-con-pollo-32305.html
Espaguetis al horno,,"['1\nSe hierve el espagetti, se licua la salsa de tomate se frie el chorizo primero, luego se le incorpora el tocino, despues se le agrega el jamon una vez que este fritos estos ingredientes se le agrega la salsa de tomate.', '2\nEn un traste pones la mita de la barra de mantequilla (barra de 250grs.) y le pones una capa de pasta y una capa de salsa, otra capa de pasta y otra capa de salsa la ultima capa debe ser de salsa se le agrega la otra mitad de mantequilla en cuadritos esparciendolos por tada el area, le agregas las rebanadas de queso amarillo.', '3\nLo tapas y lo pones uno 5 minutos en el horno si no tienes horno dejalo a fuego lento por unos 15 minutos en la estufa.', '4\nLo sirves con queso blanco y vuala.']","Valoración: 3,5 (20 votos)",4 comensales,30m,Plato principal,Dificultad baja,,['Recetas al horno'],"['1 paquete de Espagueti', '250 gramos de Tocino', '250 gramos de Jamón cocido', '250 gramos de Chorizo', '1 paquete de Queso amarillo rallado', '1 bote de Salsa de tomate']",https://www.recetasgratis.net/receta-de-espaguetis-al-horno-32160.html
lingüinis al fileto,,"['1\nlos tomates deben ser escalfados previamente para pelarlos.', '2\nRetirarle las cemillas y picarlos en filetes finos.', '3\nLuego se coloca una caserola con el aceite de oliva.', '4\nCaliente se le agrega el ojo picado en filet.', '5\nAntes de que se quemen se le agrega el tomate y la pasta (muy al Dente) y la hojas de albahaca.', '6\nSi se quiere se le agrega un poco de napole para dar mas consistencia.']","Valoración: 3,7 (26 votos)",,,,Dificultad media,,,"['4 tomates maduros', 'aceite de oliva', '3 dientes de ojo', '5 o 6 hojitas de albahaca', 'sal y pimienta']",https://www.recetasgratis.net/receta-de-linguinis-al-fileto-32018.html
spaguetti con pimientos,,"['1\nSe pone a hervir el agua con una pisca de sal, unas gotas de aceite y una hoja de laurel, cuando este hirviendo agrega la pasta.', '2\nCuando esta este cocida se escurre y pone en agua fria,', '3\nEn un sarten se pone media barra de matequilla, se agreaga un chile pimiento morron verde en trocitos, cuando este suave se le grega una lata mediana de champiñones en rebanadas, cuando estos esten bien dorados se le pone una pisca de consome de pollo, se agrega la pasta del spaguetti mezclando bien, se agrega media lata de media crema neztle y un 1/4 de crema y se le sasona con consome de pollo y pimienta al gusto se deja hervir con la crema por 5 min.']","Valoración: 3,5 (17 votos)",,,,Dificultad media,,,"['una paquete de pasta de spaguetti', 'una hoja de laurel', 'unas gotas de aceite vegetal', 'sal', 'un chile pimiento morron', 'una lata de champiñones rebanados', 'media crema neztle', '1/4 de crema', 'consome de pollo en polvo']",https://www.recetasgratis.net/receta-de-spaguetti-con-pimientos-31474.html
Lasagna Ferrara,,"['1\nSalsa bolognesa', '2\n1.Poner agua a hervir 2.Picar finamente tocino 3.Picar finamente albahaca y perejil por separado 4.Cortar la cebolla, apio y zanahoria en brunoise (cubos) 5.Preparar jitomate concasé 6.Freír en un poco de aceite de oliva y mantequilla el tocino y la zanahoria 7.Agregar la cebolla, apio, orégano seco, pimienta y ajo picado. 8.Sofreír todo hasta que la cebolla este transparente 9.Agregar la carne y mover constantemente para prevenir la formación de bolas. 10.Agregar el jitomate concasé y el puré de jitomate, cocinar a fuego medio por más o menos 35 min. 11.Retirar del fuego y agregar las hierbas frescas 12.Sazonar (sal y pimienta y si se desea consomé de pollo en polvo)', '3\nSalsa mornay:', '4\n1.Fundir la mantequilla en un sartén y mezclarla con harina usando una pala de madera (roux rubio de preferencia) 2.Agregar la leche, una pizca de nuez moscada y pimienta y mezclar usando un batidor globo. 3.Una vez que la bechamel tome la consistencia adecuada (en este caso un tanto espesa) se agrega el queso y se espera que se funda en la salsa) 4.Sazonar con consomé de pollo y/o sal.', '5\nMontaje de la lasagna ferrara', '6\n1.Precalentar el horno 2.Poner una capa ligera de salsa mornay o bechamel en el fondo del molde y después una capa de pasta. 3.Cubrir con salsa bolognesa y encima colocar otra capa de pasta, para continuar con bolognesa y nuevamente pasta y nuevamente mornay y así sucesivamente, la ultima capa deberá ser de mornay y en su defecto una mezcla de mornay y bolognesa 4.Cubrir con queso rallado o en rebanadas, tapar con papel aluminio y meter al horno 5.Se debe hornear a 180º C tapada durante media hora y luego sin tapar por mas o menos 15 minutos o hasta que es queso gratine.', '7\nJitomate concasé: (cortar una cruz en la piel de la parte inferior del jitomate, quitar el “ombligo” y pasar por agua hirviendo durante un minuto, posteriormente se pone en agua fría el jitomate, se pela, se le retiran las semillas y se corta en cubos (brunoise de 7 mm.)']",Valoración: 4 (216 votos),,,,Dificultad alta,,,"['cebolla', 'apio', 'orégano seco', 'pimienta', 'ajo picado', 'albahaca', 'perejil']",https://www.recetasgratis.net/receta-de-lasagna-ferrara-31452.html
ESPAGUETIS CON RÚCOLA Y CHAMPIÑÓN AL PARMESANO,,"['1\nEn una olla poner dos litros de agua a cocer.', '2\nCuando rompe el hervor añadir sal, un chorro de aceite de oliva y una cucharadita de nuez moscada.', '3\nAñair los espaguetis sin romperlos y dejarlos cocer removiéndolos con una espátula o cuchara.', '4\nRetirar a un escurridor dejándolos al dente y pasar ligeramente por agua fría para evitar que se ablanden.', '5\nReservar.', '6\nRetirar el extremo arenoso a los champiñones y pasar por el chorro de agua fría.', '7\nCortar en láminas finas y se reserva.', '8\nEn una sartén con 25 gr de mantequilla dorar los ajos prensados con los champiñones.', '9\nSalpimentar y saltear cinco minutos.', '10\nAñadir la nata y dejar reducir a fuego medio duante cinco minutos más.', '11\nMientras, templar el resto de la mantequilla en una cazuela amplia; echar los espaguetis que deben estar bien sueltos y saltear dos minutos para templarlos.', '12\nAñadir las hojas de rúcola entera y darle una vuelta en la cazuela.', '13\nColocar los espaguetis en un molde de corona y volcar sobre la fuente de presentación.', '14\nRetirar el molde y poner los champiñones a la crema en el centro.', '15\nServir espolvoreados de queso parmesano rallado.']","Valoración: 3,8 (16 votos)",,,,,,,"['50 gr de mantequilla o margarina vegetal', '75 gr de parmesano rallado y sal', 'Un chorrito de aceite de girasol', '200 ml de nata líquida', '60 gr de rúcola (se puede sustituir por espinacas frescas)', '350 gr de champiñones silvestres', '1/2 kg de espaguetis largos y finos', 'Pimienta negra y nuez moscada', '2 dientes de ajo']",https://www.recetasgratis.net/receta-de-espaguetis-con-rucola-y-champinon-al-parmesano-29890.html
LASAÑA MARGARITA,,"['1\nEngrasar con el aceite una fuente de horno de aproximadamente 20 centímetros. Extender en la fuente 120 gr de la salsa de tomate y reservar.', '2\nMezclar el queso ricotta, las dos cucharadas de albahaca, la pimienta y la sal. Reservar.', '3\nTrabajar la lasaña según indicaciones del fabricante y poner en la fuente ya cubierta con salsa de tomate una capa de pasta.', '4\nExtender encima una capa de ricotta y otra de tomate.', '5\nRepetir el proceso con los restantes ingredientes y terminar con una capa de pasta y tomate. Cubrir con una hoja de papel de aluminio y hornear 25 minutos a 190 °C.', '6\nDestapar la lasaña , espolvorear con parmesano y albahaca y gratinar cinco minutos.']","Valoración: 1,8 (16 votos)",,,,,,,"['800 g de salsa de tomate ya preparada', '30 ml aceite de oliva', '450 g queso ricotta', '2 cucharadas albahaca fresca picada', 'Pizca de pimienta', 'Sal', '1 caja de lasagna', '2 cucharadas queso parmesano rallada', 'Albahaca picada para espolvorear']",https://www.recetasgratis.net/receta-de-lasana-margarita-29846.html
Espaguetis a la putanesca con salsa,,"['1\nCalentar el aceite e fuego medio y sofreir los ajos, sin que tomen color marrón.', '2\nUna vez transparente el ajo añadir el tomate, perejil, aceitunas, orégano, alcaparras, anchoas y guindilla.', '3\nEste plato es picante, por tanto la cantidad de guindilla puede variar de acuerdo al gusto personal.', '4\nDejar cocer la salsa diez minutos.', '5\nAproximadamente.', '6\nReservar.', '7\nHervir la pasta al dente en abundante agua con sal.', '8\nEscurrir y mezclar con la salsa.', '9\nServir inmediatamente.']","Valoración: 3,6 (14 votos)",,,,,,,"['250 g espaguetis', '30 ml aceite de oliva virgen', '3 dientes de ajo machacados', '700 g puré de tomate', '2 cucharadas perejil fresco picado', '3 cucharadas aceitunas verdes picadas', '2 cucharadas orégano picado fresco', '3 cucharadas alcaparras picadas', '4 cucharaditas anchoas picadas', '1/4 de cucharadita de guindilla molida al gusto']",https://www.recetasgratis.net/receta-de-espaguetis-a-la-putanesca-con-salsa-29847.html
Pizza marinera con gambas,,"['1\nCalentar el horno a 220° C.', '2\nCortar en juliana una cebolla y picar el ajo.', '3\nEn una sartén rehogarlos con el aceite, hasta que la cebolla esté transparente, pero no dorada.', '4\nMezclar con el tomate triturado y el orégano, la sal y la pimienta.', '5\nReservar.', '6\nRehogar la cebolla restante, también en juliana y reservar.', '7\nEscurrir los mejillones.', '8\nCortar en lonchas el tomate, y éstas por la mitad y reservar.', '9\nSobre las bases de pizza poner una capa generosa del sofrito de tomate.', '10\nDistribuir la cebolla en juliana y la mozzarella.', '11\nDistribuir los mejillones, las gambas y el tomate.', '12\nHornear entre 12 y 15 minutos hasta que la baxe esté crujiente y el queso fundido y dorado.']","Valoración: 3,3 (4 votos)",,,,,,,"['2 bases de pizza ya preparadas', '80 ml aceite de oliva', '2 cebollas', '200 g tomate frito', '2 dientes de ajo', '1 cucharadita orégano seco', 'Sal', 'Pimienta negra recién molida', '180 g mejillones en conserva', '180 g gambas peladas cocidas', '200 g mozzarella desmenuzada', '2 tomates maduros']",https://www.recetasgratis.net/receta-de-pizza-marinera-con-gambas-29628.html
Fideos fritos crujientes,,"['1\nRemojar en agua caliente los fideos 20 minutos. Escurrir.', '2\nPaso 2 Calentar el aceite y saltear los fideos junto con las cebollas. Añadir los brotes y el pimiento con el jamón. Remover y dejar cocer dos minutos.', '3\nPaso 3 Mezclar la salsa de soja, el tomate, el azúcar y el caldo. Incorporar a los fideos y remover. Dejar cocer unos minutos y servir calientes.']","Valoración: 4,7 (3 votos)",,,,,,,"['250 gramos de Fideos chinos', '3 cucharadas soperas de Aceite', '1 manojo de Cebollas cortadas en juliana', '200 gramos de Soja', '1 unidad de Rojo en juliana', '200 gramos de Jamón ahumado en trozos grandes', '3 cucharadas soperas de Salsa de soja', '3 cucharadas soperas de Tomate frito', '1 cucharadita de Azúcar', '100 mililitros de Caldo de ave']",https://www.recetasgratis.net/receta-de-fideos-fritos-crujientes-29573.html
