title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Merluza con habas,,"['1\nCocer la merluza en medio litro de agua junto con un poco de aceite, sal, laurel, y una cebolla.', '2\nPelar y picar la otra cebolla, rehogarla en aceite- Añadir a la cazuela el pimentón, la otra hoja de laurel, la harina, el caldo de la cocción del pescado colado y las habas sin descongelar, salpimentar.', '3\nDejar cocer unos 20 minutos.', '4\nAntes de concluir la cocción, agregar la merluza desmenuzada.', '5\nRaspar y lavar las zanahorias, los pimientos, los calabacines y los puerros.', '6\nCortar los ingredientes en tiras finas y largas.', '7\nCocerlas, escurrirlas y reservar.', '8\nCocer las gambas en agua hirviendo con sal y pelarlas.', '9\nCortar cada lomo de merluza por la mitad a lo largo y sazonar al gusto.', '10\nRellenarlos con las verduras (reservar algunas para la salsa) y las gambas.', '11\nUntar una fuente con mantequilla y colocar los lomos de merluza.', '12\nRegar con el vino y un poco de fumet y cocer al horno unos 10 minutos.', '13\nFundir la mantequilla en una sartén, añadir la harina y dejar que se dore.', '14\nVerter el fumet y cocer, removiendo, hasta espesar.', '15\nAñadir a esta bechamel 1 vaso de salsa americana y mezclar bien.', '16\nCubrir los lomos con el resto de la salsa americana y adornar con las verduras.']","Valoración: 3,7 (13 votos)","['400 gr. de merluza', '1 bolsita de habas congeladas', '2 cebollas', '1 cucharada de harina', '1 cucharada de pimentón', '2 hojas de laurel', 'aceite', 'pimienta']",https://www.recetasgratis.net/receta-de-merluza-con-habas-26030.html,,,,,,
Merluza a la sal,,"['1\nEntera con cabeza y sin limpiar las escamas.', '2\nSe muy fresca no hace falta limpiarle las entrañas, si hay dudas sobre la frescura, sacarle las tripas y cerrar la cavidad lo más posible para que no entre la sal.', '3\nEn una fuente para horno, colocar una capa de sal, encima poner la merluza, terminar cubriendo de sal.', '4\nSalpicar con un poco de agua toda la superficie y poner en el horno a 175º C.', '5\nDurante una hora.', '6\nServir tal como sale del horno a la mesa.', '7\nRomper la crosta de sal con un cuchillo grande y sacarla sin que queden restos por encima del pescado.', '8\nQuitar la piel del pescado y sacar la carne para servir.', '9\nNota: La capa de abajo no importa quitarla, el pescado está protegido por su propia piel y no coge el sabor de la sal.']","Valoración: 3,3 (57 votos)","['1 merluza de 1500 gr. (900 gr. de carne comestible) entera con cabeza y sin limpiar las escamas', '2 Kg. de sal semi gorda']",https://www.recetasgratis.net/receta-de-merluza-a-la-sal-26019.html,,,,,,
Merluza al horno con salsa de verduras,,"['1\nSe cortan los medallones de merluza y se escaldan en el fumet de pescado durante 10 minutos.', '2\nEn una cacerola de tamaño mediano se vierte el cava y se deja reducir durante 2 minutos, antes de agregar el azúcar, la salsa de verduras, el zumo de los limones y la mitad del queso.', '3\nSe hierve por espacio de 15 minutos, añadiendo en el último momento un chorrito de aceite crudo y una pizca de mantequilla.', '4\nNo es necesario ligar la mezcla, bastará con que quede espesa.', '5\nPreparación de la salsa: se hierven los champiñones con un poco de agua, se escurren y se rehogan.', '6\nDeben reservarse para incorporarlos más tarde a la salsa.', '7\nUna vez colado el fumet de pescado se introducen las verduras, previamente troceadas, y se hierven.', '8\nA continuación se retiran del fuego, se escurren y se rehogan, reservándolas hasta ligar la salsa.', '9\nPor otra parte se rehoga en aceite, a fuego suave, el jamón.', '10\nSe le agrega el pimentón y más tarde las bolitas de enebro y pimienta, previamente machacadas con unas gotas de aceite, y se retira.', '11\nA continuación se vierte un poco de agua, se remueve bien y se mezcla con las verduras y champiñones.', '12\nSe pasa este preparado por la trituradora antes de incorporarse a la reducción del cava.', '13\nSe dispone la merluza en fuentes individuales de horno, a ser posible ovaladas, rodeada de unas patatas al vapor.', '14\nSe baña con salsa, se distribuyen por encima unas nueces de mantequilla, se espolvorea con el queso restante y se hornea durante 10 minutos, sin gratinar.', '15\nTras retirar las fuentes puede adornarse la merluza con los pimientos asados y cortados en tiras alargadas.']","Valoración: 3,3 (57 votos)","['2 medallones de merluza por persona', 'Fumet de pescado', '1 vaso grande de vino de cava', '1 cucharadita rasa de azúcar', '200 gr de queso manchego o de Parma', '3 cucharadas de aceite', '2 limones', 'Mantequilla', 'Patatas al vapor', '2 pimientos encarnados', 'Salsa de verduras', '3 cebollas grandes blancas', '8 ajos tiernos', '10 zanahorias', '3 tomates maduros de tamaño mediano', 'Fumet de pescado', '100 gr de champiñones frescos', '100 gr de jamón serrano o país', '1 cucharadita rasa de pimentón', '6 bolitas de enebro,', 'Unos granos de pimienta blanca']",https://www.recetasgratis.net/receta-de-merluza-al-horno-con-salsa-de-verduras-26023.html,,,,,,
Medallones de rape al horno con pimientos,,"['1\nEn una sartén ponemos un poco de aceite y los ajos cortados en láminas, a fuego lento dejamos dorar, añadimos los medallones de rapé y los pimientos, sazonamos de sal, añadimos un poco de fumé y metemos a horno fuerte por espacio de seis minutos aproximadamente.']","Valoración: 3,3 (57 votos)","['1 kg de rapé limpio', '16 pimientos del piquillo', '2 dientes de ajo', '½ vaso de fumé de pescado', 'Aceite de oliva']",https://www.recetasgratis.net/receta-de-medallones-de-rape-al-horno-con-pimientos-25991.html,,,,,,
Medallones de salmón,,"['1\nLavar el salmón fresco y picarlo sobre una tabla en trozos muy menudos.', '2\nPicar la parte blanca de la cebolleta, las alcaparras, los pepinillos y el eneldo.', '3\nEn un cuenco, mezclar los ingredientes picados, salpimentar y añadir el aceite.', '4\nCubrir con film transparente y meter al frigorífico durante 12 horas.', '5\nExtender las lonchas de salmón ahumado sobre papel de aluminio untado con aceite para que queden unidas como si fueran una sola loncha.', '6\nColocar el picadillo de salmón fresco macerado encima del salmón ahumado y formar un rollo apretado.', '7\nMeter al congelador durante varias horas.', '8\nCortar en rodajas de un dedo de grosor aproximadamente y ponerlas en una fuente.', '9\nPintar la superficie con aceite y servir acompañado de salsa de eneldo, de cebollino o de mostaza, o con mahonesa o salsa rosa.']","Valoración: 3,3 (57 votos)","['300 g. de salmón fresco limpio', '200 g. de salmón ahumado en lonchas grandes', '1 cebolleta mediana', '1 cucharada de sal', '1 cucharadita de pimienta', '3 cucharadas de aceite', '2 cucharadas de alcaparras', '1 cucharadita de eneldo, 3-4 pepinillos']",https://www.recetasgratis.net/receta-de-medallones-de-salmon-25992.html,,,,,,
Masa para rebozar pescado,,"['1\nMezclar convenientemente el aceite junto con las yemas de huevo y la leche.', '2\nAñadir poco a poco la harina, mezclada con la levadura Royal, hasta conseguir que todo quede bien ligado.', '3\nAñadir las dos claras batidas a punto de nieve, mezclar suavemente sin batir y dejar reposar 1/2 hora.', '4\nCortar el pescado elegido, lavar y rociar con limón, dejar escurrir.', '5\nPasar el pescado por harina y por la masa y freír en una sartén con bastante aceite bien caliente.', '6\nAcompañar con una buena ensalada.']","Valoración: 3,3 (57 votos)","['tiras de pescado( lenguado, rape, filetes de dorada o pescada)', '1/2 sobre de levadura Royal', '2 huevos', 'sal', '6 cucharadas de aceite de oliva', '300 cc. de leche tibia', 'pimienta', '275 gr. de harina']",https://www.recetasgratis.net/receta-de-masa-para-rebozar-pescado-25989.html,4 comensales,45m,,Dificultad baja,,[]
Masa para freir pescado,,"['1\nColocas la harina en un recipiente (por ejemplo de porcelana o plástico) y sobre ella las dos cucharas de levadura (yo he hecho tanto con la levadura de panaderia como con la de repostería que es mas fina), añades también la sal. Mezclas todo bien.', '2\nComienzas a echar en esa mezcla el sifón removiéndola continuamente (a ver si consigo explicarme cuanto sifón debes echar, ya que depende de la calidad de la harina: Tu vas haciendo pruebas muy a menudo conforme vas añadiendo el sifón poco a poco.', '3\nLas pruebas las haces con la cuchara que estas removiendo: coges pasta y la dejas escurrir, al principio será un mazacote que no se desprenderá de la cuchara, poco a poco se ira aligerando y, cuando la masa se escurra de la cuchara despacio - todavía le cuesta desprenderse y caerse, se escurre pero parece que quiere quedarse unida- , bueno pues en este momento esta la masa en su punto. Déjala una hora al tempero y veras que la masa ha incrementado bastante su volumen debido a la fermentación.', '4\nCoges los calamares, las gambas, la merluza o el bacalao, lo que quieras, lo sumerges en esta masa y lo pasas directamente a una freidora o sartén con abundante cantidad de aceite (aquí notaras si tienes la pasta bien echa ya que querrá escurrirse del alimento que has rebozado pero le costará hacerlo.', '5\nBueno, ahora lo fríes mas o menos a tu gusto.', '6\nHay algunas personas que a esa masa le añaden colorante del de las paellas que digo yo, sale el frito mas oscuro de color, no tan blanquecino.', '7\nOtras la hacen con cerveza en lugar de sifón. Yo he probado de todas las formas y la de arriba es la que mas me gusta.']","Valoración: 3,6 (28 votos)","['1/2 Kg. harina', '2 cucharadas de levadura (o 2 sobres de los que venden en cajitas de repostería),', 'sifon', '1 pizca de sal.']",https://www.recetasgratis.net/receta-de-masa-para-freir-pescado-25988.html,6 comensales,10m,,Dificultad baja,,[]
Llampuga amb tumbet,,"['1\nPelar y cortar las patatas en rodajas. Freír las patatas cortadas en una sartén con aceite de oliva. Disponer las patatas fritas en una cazuela de barro o similar.', '2\nCortar las berenjenas en rodajas y sazonarlas con un poco de sal y pimienta. Freírlas junto con los dientes de ajo ligeramente aplastados, en la sartén donde hemos frito las patatas.', '3\nCortar los pimientos en trozos regulares después de limpiarlos. Retirar larte del aceite restante de la sartén y freír los trozos de pimiento junto con dos dientes de ajo aplastados.', '4\nDisponer los pimientos en la cazuela junto con las patatas y las berenjenas. Limpiar el pescado eliminando las vísceras y la cabeza. Lavarlo y cortarlo en rodajas grandes.', '5\nSazonar de sal y pimienta los trozos de pescado. Añadir aceite a la sartén y freír el pescado. Disponer los trozos de pescado sobre las hortalizas fritas.', '6\nRetirar parte del aceite da la sartén y rehogar dos dientes de ajo fileteados. Añadir la pulpa de tomate y sazonar con sal y pimienta y una pizca de azúcar. Dejar cocer a fuego moderado 5 minutos.', '7\nVerter la salsa sobre el pescado frito. Dejar reposar unos 15 minutos antes de servir. Este plato se puede servir a temperatura ambiente.']","Valoración: 3,3 (57 votos)","['1200 gr. de lampuga', '250 gr. de berenjenas', '150 gr. de pimientos rojos', '150 gr. de pimientos verdes', '4 dl. de aceite de oliva', '4 dientes de ajo', '400 gr. de tomate pelado y sin pepitas', 'Sal', 'Pimienta blanca', 'Harina']",https://www.recetasgratis.net/receta-de-llampuga-amb-tumbet-25977.html,,,,,,
Lubinas al horno,,"['1\nLimpiar los pescados y lavarlos. Secarlos. Colocarlos en una fuente de horno condimentados con sal y pimienta y regarlos con aceite.', '2\nEntrar la bandeja al horno fuerte hasta que las lubinas se doren. Durante la cocción regarlas una o dos veces con su jugo. Pelar los ajos, picarlos y agregarlos en los últimos minutos.', '3\nYa fuera del horno, decorar las lubinas con el perejil trinchado. Acompañar este plato con patatas hervidas al vapor y asadas al horno, al mismo tiempo que el pescado.']","Valoración: 3,3 (58 votos)","['4 lubinas', '2 dientes de ajo', '1 vasito de aceite', '1 limón', 'Sal', 'Pimienta', '1 ramito de perejil']",https://www.recetasgratis.net/receta-de-lubinas-al-horno-25974.html,,,,,,
Lubina con almejas al cava,,"['1\nSe limpia la lubina, se filetea y se sazona con sal; a continuación se pasa por harina y se dora en una sartén.', '2\nUna vez dorada se traslada a una cazuela de barro con un poco de salsa por debajo, se disponen las almejas y las patatas alrededor.', '3\nSe cubre con el resto de la salsa y se introduce en el horno durante 10 minutos.', '4\nPreparación de la salsa: en una sartén se vierte el aceite, para sofreír el ajo con el laurel y la guindilla; cuando se ha dorado un poco el ajo se agregan la cebolla y el pimiento cortado muy fino.', '5\nSe rehogan durante 15 minutos a fuego lento y después se añade la harina.', '6\nSe deja cocer el conjunto durante 5 minutos y se flamea con el brandy y el cava, antes de añadir la mantequilla y el agua de las almejas previamente abiertas.', '7\nSi es necesario se le añade un poco de fumet de pescado.', '8\nSe sirve muy caliente, con los espárragos y el perejil picado por encima.', '9\nPara 4 personas.']","Valoración: 3,3 (57 votos)","['1 1/4 kg de lubina', '400 gr de almejas', '1 diente de ajo', 'Sal', '2 ramas de perejil', '4 espárragos', '200 gr de patatas cucharilla', 'Salsa de cava', '1/4 de L de aceite', '1 hoja de laurel', '1/4 de guindilla', '2 cebollas', '1 pimiento verde', '50 gr de harina', '1/2 copa de brandy', '1/4 de L de vino de cava', '50 gr de mantequilla']",https://www.recetasgratis.net/receta-de-lubina-con-almejas-al-cava-25967.html,,,,,,
