title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Original Helado de Chocolate suizo,,"['1\nBatir los huevos con el azúcar, vainilla y mezclar todo muy bien hasta que el volumen sea el doble.', '2\nPor otro lado nos pondremos a batir la nata, que deberá de subir de tamaño para luego mezclarlo con los huevos y demás.', '3\npoco a poco vamos añadiendo el cacao y mezclando suavemente todo, hasta que tome el color deseado.', '4\nEn unos moldes agregamos esta rica mezcla y lo dejamos en el congelador durante varias horas, un mínimo de 8 y después ya podemos servir estos ricos helados de chocolate.', '5\nSi es un buen chocolate suizo, mucho mejor, porque disfrutarás mucho.']","Valoración: 4,8 (5 votos)","['1 litro de nata líquida', '8 huevos', '300 gramos de azúcar glasé', '1 cucharada de azúcar', '8 cucharadas de cacao puro']",https://www.recetasgratis.net/receta-de-original-helado-de-chocolate-suizo-50521.html,,,,,,
Delicioso Helado de Chocolate con Pasas al Rhum,,"['1\nPoner el helado de chocolate en un cuenco.', '2\nMezclar ½ taza de pasas picadas y ¼ de taza de ron en un cazo pequeño, y calentar a fuego lento removiendo hasta que las pasas estén hidratadas.', '3\nDejar enfriar.', '4\nCuando estén bien frías mezclar con el helado, removiendo para que quede bien integrado todo.', '5\nPoner en un recipiente y pasarlo al congelador, al menos durante una noche.', '6\nAntes de servir dejar unos minutos fuera del congelador para que se ablande.']",,"['1 Tarrina de helado de chocolate de 1 litro -ablandado-', '¼ de taza de ron', '½ taza de uvas pasas (sin pepitas)']",https://www.recetasgratis.net/receta-de-delicioso-helado-de-chocolate-con-pasas-al-rhum-50519.html,,,,,,
Original Helado de Chocolate con Pasas al Rhum,,"['1\nColocar la mariposa en las cuchillas.', '2\nAgitar bien el envase de nata y verterla en el vaso, poniendo en marcha la máquina en velocidad 3 1/2, sin programar tiempo. Estar pendiente para parar la máquina en el momento en que esté montada (vigilar, porque un exceso de batido hará que la nata se convierta en mantequilla).', '3\nRetirar en un bol y reservar en el frigorífico.', '4\nSin lavar el vaso, poner el azúcar y el agua y programar 10 minutos, 100º en velocidad 2.', '5\nUna vez terminado el tiempo, volver a poner velocidad 4, sin programar tiempo e ir añadiendo las yemas poco a poco.', '6\nA continuación, programar 2 minutos, 70º, velocidad 4.', '7\nIncorporar el chocolate troceado, poner velocidad 1, sin tiempo, e ir subiendo la velocidad poco a poco hasta alcanzar la velocidad 6, comprobando que haya quedado una mezcla homogénea; en caso contrario, continuar unos segundos en velocidad 6.', '8\nAñadir las pasas y el ron y mezclar durante 15 segundos en velocidad 2.', '9\nAcabar de unir con la espátula, poner la mezcla en un recipiente grande y dejar enfriar.', '10\nCuando esté frío, incorporar la nata montada mezclando de forma envolvente. Verter la crema en un recipiente con tapa e introducirlo en el congelador.', '11\nRetirar del congelador de 10 a 15 minutos antes de servir.']",,"['750 de nata para montar (35% M.G. mínimo)', '100 g de pasas', 'De 6 a 8 yemas de huevo', '200 g de azúcar', '100 g de agua', '200 g de chocolate fondant', '50 g de ron añejo']",https://www.recetasgratis.net/receta-de-original-helado-de-chocolate-con-pasas-al-rhum-50520.html,,,,,,
Yogurt saborizado casero,,"['1\nEntibiar la leche. Colocar la leche en polvo y mezclar muy bien con batidor de globo.', '2\nIncorporar el Yogurt y mezclar. Tapar y colocar en un sitio cálido por unas 4 a 5 horas.', '3\nPasado este tiempo, llevar a la nevera hasta el siguiente día.', '4\nPara la mermelada de fresas:Colocar las fresas junto con el azúcar y unas 6 cucharadas de agua a fuego muy bajo.', '5\nDejar cocinar hasta obtener la consistencia de mermelada.', '6\nOtra opción es licuar las fresas con azúcar y cocinarlas por varios minutos para obtener un sirope.']",Valoración: 5 (3 votos),"['4 cucharadas de yogurt natural', '2 tazas de fresas picaditas', '3 cucharadas de lechera en polvo', 'azúcar a gusto o edulcorante artificial si lo deseas más light', '1/2 litro de leche']",https://www.recetasgratis.net/receta-de-yogurt-saborizado-casero-50518.html,,,,,,
Cuernitos de nuez,,"['1\ncrema la mantequilla y ve agregando las 8 cucharadas de azúcar, la vainilla, la nuez y la harina poco a poco hasta que te quede una masa que no se peguen el las manos. en una charola, embarra mantequilla para que los cuernos no se peguen. dale forma de cuernos a la masa y hornea durante 15 a 20 min. la temperatura dependiendo el horno. ya que estén cocidos antes de que se enfríen espolvoréalos con la media taza de azúcar glas. ya que están espolvoreados ya están listos para comerse']","Valoración: 4,5 (8 votos)","['250 gramos de Mantequilla', '8 cucharadas soperas de Azúcar glas', '150 gramos de Nuez molida', '1 cucharadita de Vainilla', '½ taza de Harina (70 gramos)', '½ taza de Azúcar glas']",https://www.recetasgratis.net/receta-de-cuernitos-de-nuez-50461.html,20 comensales,30m,Postre,Dificultad baja,,"['Recetas al horno', 'Recetas mexicanas']"
Salsa de chocolate mexicana,"La salsa de chocolate es ideal para acompañar cualquier tipo de postre. En especial, encaja a la perfección con las tortas elaboradas a base de cítricos, por el contraste de sabores y aromas que ofrece. Sigue leyendo y descubre los pasos para elaborar con RecetasGratis.net salsa de chocolate mexicana.","['1\nCogemos una cacerola y ponemos a calentar la leche con el chocolate troceado, hasta que se funda y disuelva. Una vez fundido, añadimos la harina poco a poco y sin dejar de mover.', '2\nUna vez integrada la harina, añadimos la crema de leche y seguimos mezclando. Bajamos el fuego para evitar que hierva. Por último, incorporamos el azúcar y seguimos moviendo para que se disuelva por completo.', '3\nCuando la salsa de chocolate mexicana esté lista, la retiramos del fuego y dejamos entibiar para servirla sobre nuestros postres favoritos, como coulant de chocolate o torta de naranja.']",,"['1 tableta de Chocolate', '1½ tazas de Harina (210 gramos)', '½ litro de Leche', '250 mililitros de Crema de leche (1¼ tazas)', '1 taza de Azúcar (200 gramos)']",https://www.recetasgratis.net/receta-de-salsa-de-chocolate-mexicana-50446.html,2 comensales,15m,Postre,Dificultad baja,,['Recetas mexicanas']
Compota de manzana verde,"La compota de manzana verde es muy fácil de preparar. Tan solo se trata de hacer un almíbar de azúcar y macerar la manzana en él. Este delicioso postre de manzana es perfecto para combinar con otras preparaciones, te aseguro que le dará un toque muy especial a los platos de siempre.","['1\nAlistar todos los ingredientes de la lista para la compota de manzana.', '2\nEn una olla agregar el agua, el azúcar y la astilla de canela. Calentar hasta formar un almíbar ligeramente espeso.', '3\nCuando se logre el almíbar, retirar la astilla de canela, incorporar las manzanas y las hojas de hierbabuena. Cocinar a fuego lento hasta que el almíbar se reduzca.', '4\nSe puede licuar o dejar los trozos pequeños de fruta. La comporta de manzana verde la puedes servir en frío o caliente. Te recomiendo probarla en compañía de un helado de plátano o como relleno de una crepe con frutas y yogur.']","Valoración: 4,7 (7 votos)","['500 gramos de Manzana verde (pelada y cortada en cubos pequeños)', '150 gramos de Azúcar (¾ taza)', '200 mililitros de Agua', '1 unidad de Astilla de canela', '4 hojas de Hierbabuena']",https://www.recetasgratis.net/receta-de-compota-de-manzana-verde-50380.html,4 comensales,45m,Postre,Dificultad baja,,[]
Flan de queso manchego,,"['1\nSe licuan leches y quezo, ya bien licuados, se carameliza azúcar se fondea el molde con el azúcar dorada, cuando esta frió, se vacía lo licuado, se tapa con papel de aluminio, se pone una olla que tenga parrilla para que le pongas agua abajo, como una olla tamalera', '2\nPones el molde de que tu gustes, te sugiero uno redondo de corona, cuando hierba el agua de la olla baja el fuego a que se cosa con poco fuego x tiempo necesario, cuando insertas un cuchillo y sale limpio ya esta listo.', '3\nLo dejas enfriar, lo metes al refri...ya frió despegas las orillas con un cuchillo o pala y desmoldas adorna con frutos secos']",,"['2 latas de lechera( nestle )', '2 latas de leche carnation', '1 quezo manchego de 400 gms']",https://www.recetasgratis.net/receta-de-flan-de-queso-manchego-50351.html,,,,Dificultad baja,,[]
Pastel Galés original,,"['1\nColocar en un bol azúcar negra, ralladura de naranja, los huevos de a uno e ir batiendo, luego colocar oporto que aporta mucha humedad, incorporar harina y polvo para hornear tamizados, las pasas, ciruelas y nueces previamente enharinadas.', '2\nMezclar bien todo y colocar en un molde de muffin para hacer moldes individuales.', '3\nHorno bien fuerte al principio y luego horno bajo, para que queden altos.']",,"['320 g Harina', '50 g Azúcar blanca', '4 Huevos', '200 g Azúcar negra', 'Ciruelas negras', '180 g Manteca', '100 g Pasas de uva', '3 cdas Polvo para Hornear', '50 g Nueces picadas', 'Ralladura de piel de 1 naranja', '250 cc Oporto']",https://www.recetasgratis.net/receta-de-pastel-gales-original-50231.html,,,,,,
Deliciosa Tarta de Membrillo,,"['1\nComenzamos preparando la masa quebrada, necesita reposo y así después mientras refrigera iremos caramelizando los membrillos.', '2\nOtra opción sería utilizar hojaldre, en cuyo caso, simplemente dejaríamos descongelar.', '3\nEn un bowl, disponemos la harina, el azúcar, las arenas de sal, y la mantequilla cortada a taquitos, unimos todo con los dedos, como haciendo una especie de ""arenado"", a continuación añadimos el huevo batido, el agua y seguimos integrando hasta unir la masa.', '4\nÉste tipo de masas se trabajan lo justo, no es conveniente amasarlas en exceso. Envolvemos en film y dejamos reposar en la nevera un par de horas.', '5\nPara preparar la cubierta dispondremos en una sartén a fuego lento, el azúcar, la mantequilla y la vaina de vainilla hasta que se forme una especie de caramelo.', '6\nAñadimos los membrillos, previamente pelados, descorazonados y cortados en mitades.', '7\nVamos dejando que se hagan y ablanden dándoles vueltas con cuidado.', '8\nSon mucho más duros que las manzanas, por lo que necesitan más tiempo al fuego.', '9\nYo los tuve cerca de 40 minutos, los retiré del fuego cuando al pinchar estaban blandos.', '10\nUna vez que estén listos, retiramos del fuego y vertemos todo el conjunto, los membrillos y el caramelo (excepto la vainilla) en un molde previamente enmatequillado.', '11\nNo recomiendo que sea desmoldable, por temor a que se nos pueda escapar líquido del caramelo.', '12\nRetiramos la masa del frigorífico y estiramos hasta dejarla de un centímetro de espesor.', '13\nCubrimos todo el fruto haciendo una ligera presión por los bordes y remetiendo la masa por todo el contorno. Horneamos unos 30 minutos en horno precalentado a 180º, hasta que observemos que la masa adquiera un color dorado.']",Valoración: 5 (2 votos),"['Para la masa;', '100 grs mantequilla', '50 grs azúcar', '350 grs harina de repostería', '1 huevo', 'una pizca sal', '40-50 ml agua fría', '200 grs de azúcar', 'membrillos pelados, descorazonados y partidos a la mitad', 'una o dos vainas de vainilla', '25 grs de mantequilla']",https://www.recetasgratis.net/receta-de-deliciosa-tarta-de-membrillo-50232.html,,,,,,
