title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
quemadito de coco,,"['1\nEn una tartera o budinera se prepara bastante caramelo que quede clarito, en otor bols se mezclan los huevos con el coco y el azucar,se forma una pasta y se coloca en la tartera se aplasta para que no quede aire y se lleva a horno precalentado aproximadamente 40 minutos.', '2\nPara saber si estas listo al moverlo se debe despegar de los bordes, el caramelo debe quemarse un poquito , se desmolda en caliente y se puede comer solo o acompañado con crema sin azucar ligeramente batida.']",Valoración: 4 (50 votos),,,,Dificultad baja,"['350 grs. de coco rallado', '350 grs. de azucar blanca', '5 huevos', 'azucar para caramelo c/n']",https://www.recetasgratis.net/receta-de-quemadito-de-coco-41567.html,,
YOGUR LÍQUIDO DE FRESA,,['1\nSe lavan las fresas y se trocean. Se ponen en un bol con el azúcar a macerar. Cuando suelten el jugo se ponen en el vaso de la batidora. Se le echan los yogures.Se bate bien. Se le echa el vaso de leche. Se vuelve a batir todo junto. Se sirve frio'],Valoración: 5 (2 votos),,,,,"['250 gr. fresas', '2 yogures naturales', '2 cucharadas de azúcar', '1 vaso leche']",https://www.recetasgratis.net/receta-de-yogur-liquido-de-fresa-41172.html,,
SORBETE DE NARANJAS CON NATA,,"['1\nPicar el hielo en la th, con golpes de turbo o vel. 5-7-9', '2\nAñadir lan naranjas y el limón y ponerlo unos segundoa a vel. 5.7.9', '3\nAñadir el azúcar, la nata y el cava y poner a vel. 9 durante 3 ó 4 segundos para mezclar bien', '4\nServir en copas']","Valoración: 3,4 (9 votos)",,,,,"['2-3 bandejas de hielo', '8-10 naranjas pelas', '1 limón pelado y sin pepitas', 'Nata (puede ser ligera o para montar)', '70 gr de azúcar (depende de cada uno)', 'Un buen chorreón o de cava o de Gaseosa blanca']",https://www.recetasgratis.net/receta-de-sorbete-de-naranjas-con-nata-41157.html,,
Sorbete de melocotón con Thermomix,"¿Preparando el postre para una cena especial? pues tenemos la receta perfecta para ti, qué te parece preparar un sorbete de frutas y para hacerlo mejor todavía, te explicamos como hacerlo usando tu robot de cocina favorito. El sorbete de melocotón con Thermomix es un postre elegante y fresco, así que anímate y a cocinar.","['1\nEscurra los melocotones, séquelos con papel de cocina y parta cada mitad de melocotón en cuatro.', '2\nColoca estas piezas de fruta en una bandeja y lleva al congelador hasta que se hayan solidificado. Entonces, reserva los melocotones en bolsas plásticas, esto con el fin de que no se quemen por el frío.\nTruco: Siguiendo este procedimiento puedes usar otras frutas como por ejemplo, mandarinas en gajos.', '3\nCuando vayas a preparar el sorbete, coloca empieza por colocar en el vaso de la Thermomix los limones junto con el azúcar y el agua. Puedes modificar la cantidad de azúcar al gusto, con menos también queda bien, también recuerda que los limones deben estar bien pelados, sin nada de piel blanca que puede amargar el sorbete.', '4\nTritura todo programando la máquina por 10 segundos a velocidad máxima. Pasado este tiempo, incorpore la mitad de los melocotones congelados y vuelve a programar pero por 30 segundos esta vez y a velocidad 10.', '5\nA continuación, añade el resto de la fruta y programa de nuevo la Thermomix para triturar a velocidad 10. Ayúdate con la espátula hasta que quede una crema fina y homogénea.', '6\nSirve el sorbete de melocotón con Thermomix en copas elegante, decorando con unas hojas de menta y a disfrutar.']",Valoración: 3 (2 votos),6 comensales,15m,Postre,Dificultad baja,"['2 botes de Melocotón en su jugo', '170 gramos de Limón (pelados sin piel blanca)', '300 gramos de Azúcar (1½ tazas)', '100 mililitros de Agua', '1 puñado de Hojas de menta', 'Guindas o fruta para decorar']",https://www.recetasgratis.net/receta-de-sorbete-de-melocoton-con-thermomix-41155.html,,[]
Uvas confitadas,,"['1\nUn kilo de uvas negras, peladas y sin pipas.', '2\nUn kilo escaso de azúcar.', '3\nCocerlas veinte minutos en el azúcar y la mitad de agua.', '4\nO sea, poner un kilo de azúcar, menos un poco, no completo el kilo, con un vaso de agua.', '5\nCuando empiece hacerse almíbar, poner las naranjas peladas y cortadas en trocitos.', '6\nRetirar del fuego y dejar reposar.', '7\nAl día siguiente seguir la cocción hasta que el azúcar se haga almíbar fuerte.', '8\nEn ese momento, se pone el zumo de un limón.', '9\nSe retiran del fuego y se mete en frascos de cristal.']",Valoración: 3 (2 votos),,,,,"['800 gramos de azúcar', '1 limón', '2 naranjas', '1 kilo de uva negra']",https://www.recetasgratis.net/receta-de-uvas-confitadas-39572.html,,
Tarta helada de melocotón,"Uno de nuestros favoritos con melocotón es la crema de melocotón con nata, pero lo cierto es que existe mucha variedad a la hora de preparar postres fríos con frutas, sobre todo el melocotón.El que te enseñamos a continuación no es otro que la tarta helada de melocotón, hecha con una crema dulce y galletas,lo que le da una textura especial a este rico postre. No dejes de probarlo y ponte a cocinar ya con RecetasGratis.net.","['1\nEmpieza por batir la crema de leche con la mantequilla y la leche condensada hasta que se integren ambos ingredientes por completo.Para hacer esta torta helada es muy importante que la crema de leche esté muy fría y para no perder esta temperatura, coloca el bol donde vas a batir todo sobre otro lleno de hielo.', '2\nPor otro lado, hierve el café y deja que enfríe. Una vez frío mezcla esto con el almíbar de los melocotones. A continuación humedece las galletas María en este preparación, remoja pero sin empaparlas para que no se ablanden o se rompan.', '3\nAhora para armar la torta helada, ubica un molde de cristal y empieza colocando una capa de galletas, luego una capa de crema batida de crema batida y termina con melocotones cortados en tiras.', '4\nRepite el procedimiento hasta acabar con los ingredientes y decora este postre frío al gusto. Reserva en la nevera un par de horas para que cuaje.', '5\nDisfruta de la tarta helada de melocotón a la hora de postre y recuerda que puedes seguir este mismo procedimiento mezclando varios tipos de frutas, quedará un postre frío delicioso.']",Valoración: 5 (1 voto),4 comensales,3h,Postre,Dificultad baja,"['80 centímetros cúbicos de Café', '3 vasos de Crema de leche o Nata', '40 Galleras María', '125 centímetros cúbicos de Mantequilla', '200 gramos de Melocotón en almíbar', '1 vaso de Leche condensada']",https://www.recetasgratis.net/receta-de-tarta-helada-de-melocoton-39525.html,,[]
Tarta semifría de yogurt,,"['1\nMontar la nata solamente un poco, que no adquiera dureza alguna.', '2\nAparte, dejar en remojo las hojas de gelatina con el agua fría.', '3\nCuando las hojas de gelatina estén blandas, calentar un poco el agua con las hojas de gelatina, hasta que quede todo bien mezclado.', '4\nMezclarle después los yogures y el azúcar, y, finalmente la nata montada.', '5\nCuando tengamos la mezcla terminada, meterlo todo en un molde de aro, engrasado con aceite, y espolvoreado con azúcar lustre.', '6\nEn el fondo del molde, habremos colocado primero el disco de plancha de bizcocho, bañado con un poco de almíbar con licor (ron, kirsch, etc…).', '7\nCuando tengamos el molde lleno hasta arriba, le daremos unos golpecitos contra la mesa, para asegurarnos que la mezcla queda bien apretada dentro del molde, y que no queden cavidades de aire dentro.', '8\nMeteremos el molde en el frigorífico, y cuando la tarta haya quedado cuajada, con una paleta extenderemos la mermelada de fresa por encima.', '9\nAl final, sacaremos el molde, estirándolo con la punta de los dedos por la parte de arriba.']","Valoración: 3,4 (34 votos)",,,,,"['6 hojas de gelatina', '80 gramos de azúcar', '500 ccs de nata líquida', '250 ccs de agua fría', '250 gramos de yogurt', '100 gramos de mermelada de fresa', '1 plancha de bizcocho']",https://www.recetasgratis.net/receta-de-tarta-semifria-de-yogurt-39479.html,,
Tarta de zanahoria III,,"['1\nCocer las zanahorias y rallarlas.', '2\nMezclar las zanahorias el coco y el azúcar.', '3\nPreparar un molde y poner los brioches en el fondo abiertos, hasta cubrir la superficie del molde.', '4\nVerter la pasta formada por las zanahorias, el coco y el azúcar.', '5\nTapar con el resto de los brioches.', '6\nOprimir la tarta con una superficie plana dentro del molde. Dejar en la nevera un mínimo de 18h.', '7\nUn consejo práctico de presentación: Sacarla del molde y ponerla en una bandeja.', '8\nPicar avellanas, sin piel, espolvorearlo por encima junto con el resto de coco rallado.', '9\nSe puede adornar con nata y cerezas confitadas.']","Valoración: 4,6 (8 votos)",,,,,"['100 gramos de avellanas', '250 gramos de azúcar', '3 brioches', '12 cerezas confitadas', '200 gramos de coco rallado', '100 ccs de nata montada', '2 kilos de zanahoria']",https://www.recetasgratis.net/receta-de-tarta-de-zanahoria-iii-39468.html,,
Tarta de crema de limón,,"['1\nLa masa o base de la tarta se hace mezclando los siguientes ingredientes: poco a poco se va uniendo la mitad de la mantequilla con la harina para lo que se habrá ablandado solo un poco la mantequilla, a esta mezcla se va añadiendo una yema de la que reservaremos la clara, se añade una sexta parte del azúcar, el agua y una pizca de sal.', '2\nNo amasaremos mucho, solo hasta conseguir una masa sólida, que dejaremos reposar una media hora.', '3\nTiempo que se emplea para hacer la crema, en un cazo se pone dos tercios del azúcar, el resto de la mantequilla, la mitad de los huevos enteros, la raspadura de los limones y el zumo de estos limones, lo mezclaremos bien y lo pondremos a fuego muy bajo hasta conseguir una fina crema a la que se añade la maicena diluida en un poco de agua, se sigue calentando con mucho cuidado de que no se pegue hasta conseguir una crema que se desprenda fácilmente del fondo.', '4\nSe reserva.', '5\nEn un molde de aro previamente untado de mantequilla extenderemos la masa sobre el fondo y sobre los laterales cubriendo la mitad de la altura del aro, con un tenedor, se pinchara el fondo y se meterá al horno medio fuerte hasta que la masa adquiera un color dorado.', '6\nCuando se haya enfriado un poco, se saca con cuidado el aro del molde y procederemos a cubrir el fondo con la crema.', '7\nA continuación, se prepara el merengue con la mitad de las claras de huevo a punto de nieve más un sexto del azúcar.', '8\nEste merengue se dispondrá sobre la crema haciendo algún adorno con la punta de un tenedor.', '9\nSe mete la tarta por unos segundos en el horno, para que con el grill al máximo tome un poco de color el merengue, con cuidado de que no se queme, solo tiene que tomar un cierto color dorado, con esta operación finalizamos la terminación de la tarta.']",Valoración: 4 (6 votos),,,,,"['2 cucharadas de agua', '18 cucharadas de azúcar', '200 gramos de harina', '7 huevos', '3 limones', '1 cucharadita de maicena', '260 gramos de mantequilla', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-tarta-de-crema-de-limon-39461.html,,
Postre de gelatina y crema de leche,"¿A quién no le gusta la gelatina? aprende con RecetasGratis.net a preparar un colorida gelatina con crema de leche, se trata de una receta fácil con la que seguro sorprenderás a todos a la hora del postre, así que no pierdas más tiempo y ¡a cocinar!","['1\nDiluir la gelatina sin sabor en agua caliente siguiendo las instrucciones del paquete. Aparte, preparar las gelatinas de diferentes sabores separadas en recipientes (cada sabor en un recipiente). Los recipientes individuales son rectángulos mejor, te será más fácil cortar las gelatinas una vez cuajadas.', '2\nCuando las gelatinas de sabores estén cuajadas, puedes cortarlas con moldes para galletas pequeños. Así, puedes dar la forma que quieras. Coloca los trozos de gelatinas en una refractaria intercalando los colores.', '3\nAparte, licua las tres leches, luego incorpora la gelatina sin sabor ya diluida y un chorrito de esencia de vainilla. Acaba de mezclar bien.', '4\nVierte la mezcla anterior sobre las gelatinas de sabores y reserva el postre en la heladera para que cuaje rápidamente.', '5\nSi lo prefieres, en lugar de preparar el postre de gelatina y crema de leche en un molde grande, puedes repartirlo en moldes individuales. Cuando esté listo, sírvelo tal cual o con coulis de fresa por encima.']","Valoración: 3,6 (38 votos)",4 comensales,3h,Postre,Dificultad baja,"['3 cucharaditas de Gelatina neutra', '2 cucharaditas de Gelatina de distintos sabores y colores', '250 mililitros de Crema de leche (1¼ tazas)', '200 mililitros de Leche condensada', '250 mililitros de Leche evaporada', '1 chorro de Esencia de vainilla']",https://www.recetasgratis.net/receta-de-postre-de-gelatina-y-crema-de-leche-39150.html,,[]
