title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Salsa chimichurry,,"['1\n1.-Se muele en la licuadora todos los condimentos.', '2\nY listo...', '3\n2.-se acompaña con carne asada.']","Valoración: 3,7 (96 votos)","['1 taza de aceite', '1 taza de vinadre de manzana', '40 chiles de arbol', '40 dientes de ajo', '2 cucharaditas de sal']",https://www.recetasgratis.net/receta-de-salsa-chimichurry-9906.html,,,,,,
Aderezo de nuez y almendras,,"['1\nSe muelen las nueces y las almendras. Se agrega la mostaza,el chile,la sal,el azucar,y el vinagre y despues se integra el aceite poco a poco para que no se corte. Y ya esta lista exquisita para ensaladas de frutas y verduras.']","Valoración: 3,3 (15 votos)","['10 nueces', '10 almendras', '1/4 cucharada de mostaza', '1/4 cucharada de chile piquino', '1 chile chipotle adobado molido', '1/4 cucharadita de sal', '1 cucharadita de azucar', '5 cucharadas de aceite', '1 cucharada de vinagre']",https://www.recetasgratis.net/receta-de-aderezo-de-nuez-y-almendras-9907.html,,,,,,
Manteca saborizada,,"['1\nEsta manteca se utiliza para pastas,carnes blancas,incluso para untar,es muy util y rica.', '2\nLa manteca tiene que estar blanda y ahi es donde agregamos el sabor que queremos si es de, pimienta negra recien molida,la unimos bien con la manteca y colocamos en un papel flim.', '3\nHacemos un rollito lo cerramos bien con el papel y llevamos a la heladera, hasta que enfrie y lo tenemos en frio.cuando la queremos utilizar cortamos rodajas y ya esta listo.', '4\nLos gustos pueden ser provenzal,oregano,albaca,estragon lo que a ustedes mas les agrade.', '5\nNota tambien se puede hacer con ajos.']","Valoración: 3,5 (13 votos)","['500 gramos de manteca', 'Pimienta en grano', 'Provenzal', 'Oregano', 'Albaca', 'Estragon']",https://www.recetasgratis.net/receta-de-manteca-saborizada-9763.html,,,,,,
Salsa inglesa,"La salsa inglesa, también conocida como salsa Worcestershire o salsa Perrins, es un potenciador del sabor para aderezar ensaladas, sandwichs mixtos, espaguetis o carnes. Asimismo, se puede encontrar fácilmente en los supermercados en una pequeña botella de cristal, pero también puedes elaborarla en casa de manera sencilla.Por ello, si quieres saber cómo prepararla en casa, en RecetasGratis te enseñamos cómo hacer salsa inglesa de manera fácil y sencilla. ¡Vamos con la receta!","['1\nPara empezar con la receta de salsa inglesa, primero pela la cebolla y pícala finamente. Pela también el diente de ajo, trocea y machaca en un mortero.', '2\nSeguidamente, añade tanto la cebolla como el ajo machacado en una cazo, añade el vinagre blanco, la mostaza en grano, el trocito de jengibre, la pimienta negra en grano, el calvo de olor, las dos vainas de cardamomo, la melaza y la salsa de soja. Remueve y deja que se caliente a fuego suave.', '3\nMientras la mezcla para la salsa inglesa se va calentando, vuelve a coger el mortero, trocea las dos anchoas y añade la sal, la canela y el curry, machaca hasta conseguir una pasta.', '4\nVe añadiendo poco a poco el agua mientras remueves con la mano del mortero.', '5\nSube un poco el fuego y añade a la mezcla para la salsa la pasta de anchoas, sal y curry disuelta en el agua. Remueve un poco para integrar y deja que la salsa vaya reduciendo durante 40 minutos.', '6\nCuando tengas lista la salsa inglesa, deja que entibie y tritura bien con una batidora eléctrica.', '7\nY ya tienes lista para utilizar la salsa inglesa casera. Para conservarla, guarda en un bote hermético en la nevera hasta tres semanas. ¡Cuéntanos en los comentarios qué te ha parecido receta!Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']","Valoración: 4,4 (120 votos)","['1 cebolla pequeña', '1 diente de ajos', '250 mililitros de vinagre blanco', '2 cucharadas de postre de mostaza en grano', '1 trozo de jengibre fresco', '1 cucharadita de pimienta negra en grano', '1 cucharadita de clavo de olor', '2 vainas de cardamomo', '75 mililitros de melaza', '75 mililitros de salsa de soja', '2 cucharadas de postre de sal', '2 anchoas', '1 cucharadita de curry', '1 cucharadita de canela molida', '125 mililitros de agua']",https://www.recetasgratis.net/receta-de-salsa-inglesa-9563.html,10 comensales,30m,Acompañamiento,Dificultad baja,,[]
Salsa de parcha,,"['1\nMuela todo en la licuadora.', '2\nPonga en una olla y espese con slurry (maicena disuelta en agua.', '3\nEchele el vino y deje por por 3 minutos.', '4\nRefrigerar.', '5\nEs riquisima con mariscos, especialmente langosta.']","Valoración: 3,8 (17 votos)","['2 shallots', '( sino tiene puede usar 2 cebollas pequeñas)', '2 onzas mantequilla', '3 taza jugo de parcha, es preferible usar parcha, pero sino, compre el jugo de parcha', '1/4 taza azucar', '1 cdta. comino', '1 cdta. pizca jengibre fesco', '1 onza vino blanco']",https://www.recetasgratis.net/receta-de-salsa-de-parcha-9524.html,,,,,,
¡Un aderezo fácil y rápido!,"El aderezo César con mayonesa es una de las salsas más famosas por ser el ingrediente principal de la clásica ensalada César. Ya sea hecha de forma tradicional o con pollo, el secreto de estas ensaladas es el sabor único de su aderezo. En RecetasGratis te enseñamos cómo hacer la salsa César con mayonesa ¡en menos de 5 minutos!, una preparación perfecta para ensaladas y otros platos como pastas o aperitivos.","['1\nComo en la mayoría de mis recetas, el primer paso es alistar los ingredientes. Ten en cuenta que para preparar este aderezo César con mayonesa para ensaladas no usaremos nada de sal, ya que será suficiente la que aportan el queso y las anchoas.', '2\nColoca todos los ingredientes en un procesador de comida o un pica todo. Procesa hasta conseguir una salsa César casera uniforme y de textura homogénea.Si quieres, para hacer que este aderezo César más fácil y rápido, puedes sustituir el huevo y el aceite por mayonesa de bote o casera, aunque batiéndolo todo al final es eso mismo lo que conseguimos, más el resto de sabores.Sigue esta receta de mayonesa casera si deseas hacerla tú mismo en vez de comprarla ya hecha.', '3\nA continuación, prueba el aderezo César fácil de hacer y corrige la intensidad de sabor agregando más ingredientes al gusto. Yo he tenido que añadir un poco más de aceite, queso y pimienta. Vuelve a procesar todo muy bien.', '4\nDeposita la salsa césar con mayonesa en una salsera y conserva en la nevera hasta el momento de servir. Con esta salsa podrás aderezar la ensalada césar clásica, la ensalada césar de berros o incluso un plato de espaguetis con langostinos.']","Valoración: 3,7 (17 votos)","['3 filetes de anchoa', '60 gramos de queso parmesano', '1 cucharadita de salsa inglesa', '1 huevo (o mayonesa)', '1 chorro de aceite (o mayonesa)', '½ cucharadita de vinagre', '½ cucharadita de zumo de limón', '1 cucharada postre de mostaza', '1 pizca de pimienta', '1 diente de ajo']",https://www.recetasgratis.net/receta-de-salsa-cesar-con-mayonesa-9523.html,2 comensales,15m,Acompañamiento,Dificultad baja,,[]
Salsa Borracha para carne asada,,"['1\nSe cortan los ingredientes en rajitas como de 1/2 cm por 2 cms (jitomate, cebolla y chile).', '2\nSe sofrien en el aceite y ya que la cebolla este transparente se le agrega la cerveza y el cubo de caldo de pollo.', '3\nIdeal para acompañar carnes asadas a las brazas.']","Valoración: 4,1 (11 votos)","['2 o 3 cebollas dependiendo del tamaño', '3 jitomates', 'Unos 16 jalapeños frescos', '1 cerveza', '1 cubo de caldo de pollo', 'Aceite el necesario']",https://www.recetasgratis.net/receta-de-salsa-borracha-para-carne-asada-9376.html,,,,,,
Mayonesa de jengibre,,['1\nMezclar bien todos los ingredientes en un recipiente y refrigerar por una hora.'],"Valoración: 3,7 (3 votos)","['1/2 taza de mayonesa', '2 cucharadas de jugo de limón', '2 cucharadas de jugo de jengibre']",https://www.recetasgratis.net/receta-de-mayonesa-de-jengibre-9264.html,,,,,,
Salsa de chile jalapeño,,"['1\nSe ponen a cocer los chiles jalapeños en suficiente agua que los cubra, ya cocidos.', '2\nSe licuan con el resto de los ingredientes, se deja enfriar y se refrigera.']","Valoración: 3,8 (16 votos)","['1 kilo de chiles jalapeños', '1/4 taza de vinagre blanco', '2 dientes de ajo', '1 cdta. de pimienta negra molida', '1/4 cdta. de oregano molido']",https://www.recetasgratis.net/receta-de-salsa-de-chile-jalapeno-9103.html,,,,,,
"Salsa de albahaca, (para spaguetti o tallarin)",,"['1\nPoner en la licuadora todos los ingredientes e ir vertiendo aceite de oliva, hasta obtener un espesor de salsa.', '2\nUna vez licuada ésta, llevarla a ebullición.', '3\nSi queda muy fuerte el sabor, se le puede agregar crema de leche para suavizar.', '4\nPoner las nueces picaditas y servir con la pasta, agregando queso rallado por encima.', '5\nPuesta en un frasco y añadiendo aceite de oliva hasta cubrir la salsa, dura mucho tiempo si se la mantiene en la heladera.']","Valoración: 4,3 (43 votos)","['4 cucharadas soperas de Hojas de albahaca', '1 cucharadita de Perejil picado', '1 cucharadita de Hojas de orégano', '3 cucharadas soperas de Nueces, peladas y picadas finas', '3 cucharadas soperas de Queso Parmesano', '2 dientes de Ajo', '1 botella de Aceite de oliva, lo necesario', '1 pizca de Sal, a gusto']",https://www.recetasgratis.net/receta-de-salsa-de-albahaca-para-spaguetti-o-tallarin-9082.html,,,,,,
