title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Puré de champiñones,"Entre la comida reconfortante se encuentran los purés, sobre todo cuando se comen bien calentitos, pues suelen sentar muy bien en el estómago y son un primer plato fabuloso. El puré de champiñones es de esos purés que calientan bien el cuerpo y además se disfrutan comiéndolos al máximo. De ese modo, si te gustan los purés, no dudes en probar este exquisito puré de champiñones.Si quieres saber cómo hacer puré de champiñones casero y con todo el sabor, sigue leyendo. ¡Vamos con la receta!","['1\nLava bien el puerro y sécalo. Seguidamente, trocéalo finamente y lamina los champiñones con un cuchillo afilado.\nTruco: reserva dos champiñones enteros para decorar.', '2\nAñade en una sartén amplia al fuego las cucharadas de aceite y una vez está bien caliente pon el puerro con un poquito de sal. Sofríe a fuego medio pero sin que llegue a quemarse el puerro.\nTruco: si quieres un sabor aún más intenso, utiliza champiñones Portobello.', '3\nCuando el puerro esté sofrito añade los champiñones y sigue sofriendo unos 5 o 10 minutos más removiendo de vez en cuando con una cuchara.', '4\nCuando estén sofritos los champiñones, añade el caldo vegetal, remueve y deja cocer durante 15 minutos.\nTruco: puedes usar caldo de pollo si lo prefieres.', '5\nA continuación, añade la nata líquida, remueve, baja el fuego y deja cocer 5 minutos más.\nTruco: si quieres restar calorías cambia la nata por leche evaporada y si quieres una opción vegana, añade crema de soja o leche de coco.', '6\nCuando tengas cocinado el puré de champiñones, deja entibiar un poco y tritura con unas varillas eléctricas.', '7\nAdemás, si te apetece decorar tu puré de champiñones, lamina los dos champiñones enteros que habíamos reservado y córtalos muy finos. Engrasa ligeramente una sartén o plancha y asa en ella las láminas de champiñones por las dos caras.', '8\nSirve el puré de champiñones en cuatro boles decorados con unas láminas de champiñones asados. Sirve enseguida en la mesa y a disfrutar de este delicioso puré. ¡A comer! Si lo deseas, puedes acompañar con picatostes caseros. Cuéntanos qué te ha parecido la receta y, si te animas a elaborarla en casa, envíanos una foto con el resultado final, estamos deseando verla.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']",,4 comensales,30m,Entrante,Dificultad baja,,['Recomendada para vegetarianos'],"['1 puerro', '3 cucharadas soperas de aceite de oliva', '500 gramos de champiñones', '800 mililitros de caldo vegetal', '400 mililitros de nata líquida', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-pure-de-champinones-76580.html
Caldo gallego receta de la abuela,"El caldo gallego receta de la abuela es un plato tradicional de la cocina gallega, una elaboración contundente y muy reconfortante. Asimismo, como todos los platos tradicionales en cada casa, lo preparan de una manera pero la base es la misma, los ingredientes principales son las alubias, los grelos, las patatas y el lacón típico de Galicia. Para ello, para hacer el caldo gallego necesitamos tiempo, aproximadamente un total de 2-3 horas si lo preparamos en una olla normal a fuego medio. Sin embargo, si tienes una olla rápida en 40 minutos lo tienes listo y también queda muy bien.En RecetasGratis te enseñamos cómo hacer caldo gallego receta de la abuela. ¡A cocinar!","['1\n¿Te preguntas cómo se hace el caldo gallego? Para preparar el caldo gallego receta de la abuela prepara las alubias. Para ello, ponlas en remojo un día antes o un mínimo de 12-15 horas.', '2\nPrepara toda la carne para hacer el caldo. Asimismo, lava los huesos salados y reserva las patatas, el chorizo, la col, los grelos o berza.', '3\nPon una olla con abundante agua fría e incorpora las alubias, el trozo de unto, la panceta, jamón y la carne. Déjalo a fuego fuerte hasta que empiece a hervir.\nTruco: el unto es una grasa blanca que se echa en los caldos, se puede poner manteca de cerdo. Con un trozo de 50 gr. tenemos suficiente.', '4\nCuando empiece a hervir deja unos 20 minutos y ves retirando la espuma y las impurezas que se van formando en el caldo. Luego, déjalo cocinar durante 1 hora a fuego medio. Si se queda seco añade más agua.', '5\nPasada la hora mira como están las alubias y, si están casi tiernas, podemos preparar los demás ingredientes.', '6\nPela las patatas, las puedes añadir enteras o partidas por la mitad. A continuación, lava la col o las verduras y córtalas en trozos, añádelas, también el chorizo. Según la época puedes añadir los grelos, es la verdura típica de Galicia, si no los encuentras puedes poner berza o si te gustan unas acelgas. Deja cocer todo hasta que esté todo cocido. Prueba de sal y, si hace falta, añade un poco.\nTruco: si preparas este caldo de un día para otro aún estará más bueno.', '7\nSirve el caldo de grelos gallego y añade la carne en una fuente. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,2h 30m,,Dificultad baja,,[],"['200 gramos de alubias blancas', '4 patatas', '1 hueso de jamón', '1 trozo de panceta salado', '1 trozo pequeño de unto', '1 berza, grelos, col', '2 chorizo', '1 hueso de espinazo, lacón', '1 hueso salado (costilla-oreja...)']",https://www.recetasgratis.net/receta-de-caldo-gallego-receta-de-la-abuela-76514.html
Sopa fría de coditos hawaiana,"Si de pastas populares se trata, la sopa fría de coditos es una de las favoritas de la mayoría. Al ser una preparación completamente fría, se puede disfrutar en cualquier lugar y a cualquier hora, ya que no necesita calentarse. Por ello, si te aburrió la misma sopa fría de coditos de siempre, en esta oportunidad traemos una deliciosa receta de ensalada de coditos con piña. La base de toda receta hawaiana es, sin duda, el jamón y la piña, además, puedes añadir más sabor y no puede faltar el queso.En RecetasGratis te enseñamos cómo hacer sopa fría de coditos hawaiana. ¡A comer!","['1\nPara hacer esta receta de coditos hawaianos, primero cocina la pasta de coditos de acuerdo con las instrucciones de su empaque. Puedes añadir a la cocción especias como orégano seco y un poco de sal, esto es completamente al gusto. Cuando esté lista, drena el agua y reserva.', '2\nPara la crema o salsa de la sopa, en un recipiente coloca la media crema, la mostaza, el almíbar, el aceite de oliva, una pizca de orégano seco y una pizca de sal. Mezcla todo muy bien hasta que se integre por completo. Luego, reserva.', '3\nDespués, pica en cubitos pequeños el jamón o salchicha. También pica en cubos más o menos del mismo tamaño que el jamón, la piña en almíbar y lo mismo con el queso amarillo. Este último lo puedes sustituir por queso manchego o algún queso al gusto, es completamente opcional.', '4\nCuando tengas todos los ingredientes listos, es momento de juntar todo. En un bol o recipiente agrega la pasta cocida, la salsa de media crema y mostaza, el jamón o salchicha picados al igual que la piña en almíbar picada. Mezcla cuidadosamente hasta que se integre por completo todos los ingredientes, comprueba de sabor y si lo ves necesario puedes añadir un poco más de sal al gusto.', '5\nY así de fácil es preparar una sopa hawaiana. Como puedes hacer una preparación en frío, se puede disfrutar prácticamente al momento. Además, si quieres añadir un toque extra de sabor puedes agregar perejil picado o seco. ¡Ya puedes servir la deliciosa sopa!']",,5 comensales,30m,Acompañamiento,Dificultad baja,,[],"['200 gramos de coditos', '200 gramos de media crema', '150 gramos de jamón o salchicha', '50 gramos de queso amarillo tipo americano', '2 cucharadas soperas de aceite de oliva', '2 cucharadas soperas de mostaza amarilla', 'sal y pimienta al gusto', '½ taza de almíbar', '1 taza de piña en almíbar', '1 pizca de orégano seco']",https://www.recetasgratis.net/receta-de-sopa-fria-de-coditos-hawaiana-76432.html
Cocido sin olla express,"El cocido sin olla express es un plato muy completo de cuchara que no puede faltar en los días de frío. Asimismo, prepararlo te servirá para hacer varios platos: una sopa, unos garbanzos, un puré con las verduras y acompañar con la carne del caldo. Además, si te sobra carne puedes preparar unas croquetas caseras deliciosas. ¡Un plato que se cuece poco a poco, una elaboración de toda la vida.En RecetasGratis te enseñamos cómo hacer cocido sin olla express. ¡A cocinar!","['1\nEl día anterior debes añadir los garbanzos en remojo en una cazuela con abundante agua con un poco de sal. Debes tener unas 12 horas en remojo.', '2\nPrepara el cocido. Para ello, lava la carne, los huesos, el pollo, las carcasas, etc.', '3\nCoge una olla grande y añade 2-3 litros de agua. A continuación, coloca los huesos, la carne, el pollo, menos las verduras, ni los garbanzos. El chorizo o la morcilla deja para el final. Debes dejar el fuego fuerte hasta que empiece a hervir. Por otro lado, con ayuda de una cuchara retira la espuma que se forma en la superficie.', '4\nCuando tengas limpio el caldo, añade los garbanzos. Si tienes una maya introduce dentro y así los podrás retirar cuando estén listos. Luego, deja que se cocine a fuego medio durante 2 horas.', '5\nPela y lava las verduras, corta en trozos o en dos o tres partes. A continuación, pasadas 2 horas añade las verduras y las patatas enteras. Deja que se siga cocinando 1 hora o un poco más. Si observas que necesita más agua, añade más. Prueba de sal e incorpora más si hace falta.', '6\nPasadas las 3 horas, ya tendrás el cocido listo. Mira que esté todo bien cocido como los garbanzos, las patatas y verduras. En este punto puedes añadir el chorizo o la morcilla y dejarlo unos 30 minutos más para que se cueza todo junto.', '7\nTambién puedes freír la morcilla y añadirla en el momento de servir. A continuación, retira la carne, los garbanzos y las verduras, las pasamos a una fuente. Cuela el caldo y ya lo tendrás para hacer una sopa, para hacer unos garbanzos o hacer un puré con las verduras con un poquito del caldo. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,6 comensales,3h,,Dificultad baja,,[],"['250 gramos de garbanzos secos', '1 trozo de ternera para el caldo', '2 huesos blanco, de rodilla', '1 trozo de costilla o hueso salada', '1 trozo de hueso de jamón', '1 muslo de pollo', '1 carcasas de pollo o pavo', '1 trozo de tocino fresco ( opcional)', '1 morcilla o chorizo', '2 trozos de patatas', '3 rebanadas de apio', '1 vaina de cebolla', '2 zanahorias']",https://www.recetasgratis.net/receta-de-cocido-sin-olla-express-76368.html
Pancita de res con garbanzos,"La pancita de res es un platillo que se puede encontrar casi en todo México, en algunos lugares se conoce como mondongo o menudo de res y, la más popular es con chile rojo, pero en algunas regiones se puede preparar en salsa verde. Este rica receta es favorita de muchos para reconfortar después de un largo día, tiene el balance perfecto entre picor, textura y, sobre todo, sabor.Por ello, si quieres aprender cómo hacer pancita de res con garbanzos, sigue cada uno de los pasos y tips que vamos a compartir para que al final puedas disfrutar de un platillo digno del desayuno, almuerzo y comida. ¡A cocinar!","['1\nPara comenzar la receta de pancita de res con garbanzos, primero lava muy bien la pancita, pica en trozos y lleva a cocinar en una olla con suficiente agua, 2 dientes de ajo, 1 trozo de cebolla y una cucharada de sal, puedes hacerlo en olla normal, pero en esta tardará mucho más. Te recomiendo que uses una olla de presión para que sea más rápido, deja cocinar por un mínimo de 1 hora, la pancita debe quedar suave. \nTruco: un tip para quitar el olor e impurezas de la pancita consiste en añadir jugo de limón y dale un primer hervor para que suelte su espuma, después se enjuaga y se vuelve a poner en agua limpia.', '2\nLimpia los chiles guajillo, retirando las semillas, venas y tallo. Luego, pon a remojar en agua caliente junto con los chiles morita para que se suavicen y sea más fácil moler.', '3\nCuando los chiles estén suavizados, lleva a la licuadora con un trozo de cebolla, dos dientes de ajo y pimienta negra, esta puede ser molida o entera. Licúa todo por al menos 1 minuto para que quede perfectamente molido.', '4\nEn una olla calienta dos cucharadas de aceite y, cuando esté caliente, vierte la salsa de chiles colando previamente. Luego, agrega una ramita de epazote fresco y deja que se sofría por unos 3 minutos a fuego medio bajo.', '5\nCuando esté sazonado, agrega los garbanzos precocidos ymezcla. A continuación, añade un poco de sal al gusto y deja cocinar durante unos 5 minutos más a fuego bajo.\nTruco: puedes usar garbanzos secos, solamente te recomiendo dejar reposar por una noche para que no tarden mucho en cocerse, en algunos supermercados los venden enlatados, puedes usar estos y ahorrarte tiempo en la preparación.', '6\nCuando la salsa con los garbanzos esté sazonada, será momento de agregar la pancita de res cocida. Seguido por el caldo de la misma cocción de la pancita, mezcla y deja cocinar todo junto por 20 minutos o hasta que compruebes que los garbanzos ya estén completamente cocidos. Este último paso puedes hacerlo en olla normal o una olla de presión, si usas esta última el tiempo de cocción será de unos 5 minutos.', '7\nPasado el tiempo de cocción ya puedes servir la pancita de res con garbanzos. Asimismo, agrega cebolla picada unas hojitas de epazote fresco y unas gotas de jugo de limón. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,6 comensales,2h 30m,Plato principal,Dificultad baja,,['Recetas mexicanas'],"['1 kilogramo de panza de res limpia', '250 gramos de garbanzos precocidos', '100 gramos de chile guajillo', '3 chiles morita', '1 cabeza de ajos', '1 cebolla', 'sal al gusto', '4 pimientas negras o pimientas gordas', '1 pizca de orégano seco', '1 rama de epazote fresco', 'agua la suficiente', '2 cucharadas soperas de aceite o manteca', '3 limones']",https://www.recetasgratis.net/receta-de-pancita-de-res-con-garbanzos-76384.html
Receta FÁCIL y SENCILLA,"La crema de langostinos cocidos es una crema excelente para preparar en estas fiestas de Navidad. Gracias a su rico y libero sabor, esta receta es perfecta para usar como entrante en las próximas comidas decembrinas. Esta elaboración también la podemos preparar con gambones, de esta forma tendrías una crema de gambones. Asimismo, esta crema es una receta fácil de hacer que podemos preparar el día anterior y tenerla listo en un momento. No tenemos ninguna duda de que será el plato estrella en tus celebraciones.En RecetasGratis te enseñamos cómo hacer crema de langostinos. ¡Vamos a ello!","['1\nPara empezar con esta fácil receta de marisco debes preparar el caldo de pescado. Para ello, primero debes pelar los langostinos, quitando las cabezas y la cáscara del cuerpo. Luego, prepara las espinas de pescado para el caldo.\nTruco: puedes substituir los langostinos por gambas, de esta forma, tendrás una receta de crema de gambas facilísima.', '2\nEn una cazuela debes poner un chorro de aceite de oliva. Después, añade las cabezas y las cáscaras de los langostinos. Por último, debes añadir los ajos pelados y dejarlos un par de minutos para que se doren.', '3\nCuando los ajos estén dorados, debes añadir el resto de espinas, el trozo de puerro y cubrirlos con agua. Para acabar con el caldo de pescado, tienes que añadir un poco de sal y dejarlo 15 minutos.\nTruco: puedes añadir también mejillones y hacer una crema de langostinos y mejillones.', '4\nA continuación, debes poner en una sartén con un chorro de aceite la cebolla pelada y picada. Mientras se hace la cebolla, pondremos a un lado las rebanadas de pan para que se tuesten. Cuando estén tostadas, debes sacarlas y dejar que la cebolla se poche.', '5\nCuando la cebolla esté pochada, es el momento de añadir la cucharada de pimentón. Luego, debes remover y añadir el tomate frito. Después vuelve a mezclar y añade el brandy. Ahora, deja unos minutos para que se reduzca el alcohol. Cuando el caldo ya esté terminado, añadiremos un poco de este al sofrito.', '6\nA continuación, debes saltear en una sartén con un poco de aceite los langostinos y sálalos. Por último, reserva unos cuantos para acompañar esta fácil crema de marisco.', '7\nSeguidamente, debes poner todo el sofrito en un vaso batidor o un bol junto un poco de caldo, las rebanadas de pan tostado y los langostinos. Ahora, tritura bien.\nTruco: si te gusta más lisa la crema se puede pasar después por un chino.', '8\nPara finalizar con esa receta de crema de langostinos sin nata, debes pasar la crema a una cazuela. Una vez ahí, prueba si está bien de sal y pimienta y, si es necesario, rectifica. El punto de espesor de la crema es a tu gusto, siempre se puede ir añadiendo más caldo de pescado o, por lo contrario, se puede añadir un chorrito de crema de leche para darle más cremosidad a la crema de langostinos.', '9\nNo olvides servir la crema acompañada de los langostinos que hemos reservado junto un poco de perejil. ¿Qué te pareció esta receta? ¡Cuéntanos en los comentarios!']",,4 comensales,1h 30m,,Dificultad media,,[],"['1 kilogramo de espinas para caldo', '600 gramos de langostinos', '1 cebolla', '2 dientes de ajos', '1 trozo de puerro', '4 cucharaditas de tomate frito', '1 cucharada postre de pimentón dulce', '2 rodajas de pan del día anterior', '50 mililitros de brandy', '1 loncha de agua', '1 chorro de aceite de oliva', '1 pizca de sal', '1 pizca de pimienta', '1 puñado de perejil picado']",https://www.recetasgratis.net/receta-de-crema-de-langostinos-76376.html
Caldo de pollo sin verduras,"El caldo de pollo casero sin verduras consta de una deliciosa elaboración que sienta muy bien en los días de frío. Además, debes saber que preparar caldo es muy sencillo, solo debes tener buenos ingredientes, sobre todo, es importante que el pollo esté exquisito, sea bien fresco, de esta forma, te saldrá un buen caldo sin grasa y sin verduras. Si lo deseas, puedes hacer una buena olla de caldo y así tener para varios días, también se puede congelar en botes y tener en cualquier momento.En RecetasGratis te enseñamos cómo hacer caldo de pollo sin verduras. ¡A cocinar!","['1\n¿Te preguntas cómo preparar caldo de pollo sencillo? Pues bien, para empezar con la receta de caldo de pollo sin verduras, primero debes preparar el pollo. Asimismo, limpia bien retirando la piel y toda la grasa que tenga este. Luego, limpia las carcasas de sangre y restos. Al muslo se debe quitar también la piel.\nTruco: se puede añadir más huesos de pollo, con carne o sin carne y, luego, se puede aprovechar la carne para preparar croquetas.', '2\nLava los huesos, el salado es un hueso de rodilla ,el hueso salado le da sabor al caldo y que quede más blanco.\nTruco: el hueso salado le da sabor al caldo.', '3\nColoca una olla con 2 litros de agua a calentar y añade todos los ingredientes, el agua debe cubrir todo. Asimismo, si hace falta añade más agua. Deja hasta que empiece a hervir y, cuando empiece a tener espuma, retira y limpia bien de las impurezas. Cuando no salga más espuma y esté limpio, deja a fuego medio cocinar una 1 y media - 2 horas.\nTruco: si tienes una olla express o rápida solo debes dejar unos 30-40 minutos, dependiendo de la olla.', '4\nCuando esté el caldo, apaga, retira los huesos y el pollo.', '5\nCuela el caldo y reserva en la nevera unas horas o toda una noche. Al día siguiente se habrá formado una capa dura, esta es la grasa que ha soltado el pollo. Puedes retirarla con una cuchara.', '6\nPuedes limpiar los huesos, retirar la carne que tenga y acompañar el caldo con ellos. Asimismo, cuando pongas el caldo a calentar para consumir, prueba de sal y rectifica.', '7\nYa solo queda servir el caldo o sopa de pollo light con alguna pasta o como consomé utilizando los trocitos de pollo. ¡A comer este buen caldo de pollo blanco! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.Los restos que han quedado de pollo, puedes utilizarlo para acompañar el caldo si no quieres añadir pasta o para hacer unas croquetas de cocido o croquetas de pollo y jamón.']",,4 comensales,1h 30m,,Dificultad baja,,[],"['2 litros de agua', '2 carcasas de pollo', '1 muslo', '1 hueso salado', '1 huesos de ternera', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-caldo-de-pollo-sin-verduras-76244.html
Receta FÁCIL y RÁPIDA,"La sopa de castañas es un plato de otoño, calentito y muy bueno. Una sopa o crema con una textura cremosa, suave y aromática, esta tiene muchos beneficios que aportan fibra y vitaminas. Una elaboración sencilla y rápida de preparar. Además, debes aprovechar la temporada de castañas, ya que es muy corta y con ellas puedes elaborar platos salados o dulces, como por ejemplo: una crema dulce, pasteles o acompañar platos con carne.Asimismo, en RecetasGratis te enseñamos cómo hacer sopa de castañas. ¡A cocinar!","['1\nPara empezar con la receta de sopa de castañas, primero debes realizar unos cortes en la parte central de cada castaña para que se cuezan bien.', '2\nAñade un cazo con agua a calentar y, cuando empiece a hervir el agua, introduce las castañas cortadas. Debes dejar que se cocinen unos 15 minutos. Cuando estén cocidas, retíralas y deja que se templen para poder manejarlas.', '3\nPica la cebolla y el puerro. A continuación, coloca una cazuela con un chorro de aceite a calentar y añade las verduras, deja que se pochen un poco y, a la mitad, añade el diente de ajo.', '4\nCuando estén frías las castañas, pélalas.', '5\nAñade las castañas peladas a la cazuela junto con las verduras, rehoga con todo.', '6\nCuando estén ya rehogadas, añade el caldo, el vaso de agua, un poquito de sal y pimienta. Deja cocinar hasta que queden bien cocidas las castañas, unos 15 minutos aproximadamente.', '7\nCuando tengas ya bien cocido todo, tritura con la batidora o robot hasta que queden bien finas. La sopa puede quedar líquida o un poquito más espesa como una crema, como prefieras. Sin embargo, es mejor triturar la sopa con poco agua, así añadirás líquido hasta dejarla con la consistencia que te guste.', '8\nVuelve a colocar la cazuela al fuego con la sopa de castañas y añade un chorro de nata o crema de leche, mezcla bien. A continuación, prueba de sal y pimienta, rectifica si hace falta. Si lo prefieres, también puedes añadir un poco de tomillo y servir bien calentita.', '9\n¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,2 comensales,45m,,Dificultad baja,,[],"['250 gramos de castañas', '1 cebolla', '1 trozo de puerro', '1 diente de ajo', '1 vaso de caldo de pollo o verduras', '1 vaso de agua', '50 mililitros de nata o crema de leche', '1 chorro de aceite de oliva', '1 puñado de sal', '1 pizca de pimienta', '1 cucharada postre de tomillo (opcional)']",https://www.recetasgratis.net/receta-de-sopa-de-castanas-76273.html
Crema de champiñones vegana,"La crema o sopa de champiñones vegana es una deliciosa elaboración calentita, ideal para una cena ligera. Además, es muy suave y su sabor a champiñones la hace realmente deliciosa. Por otro lado, en nuestro caso hemos incorporado tomillo, pero si no os gusta podéis omitirlo o añadir otras que te gusten, pero sin quitar sabor a los champiñones. Asimismo, aprende en RecetasGratis cómo hacer crema de champiñones vegana. ¡Vamos allá!","['1\nPara empezar con la receta de la crema de champiñones vegana, primero limpia los champiñones, corta en láminas finas o en trozos más pequeños, así se cocinarán antes.\nTruco: si lo deseas, puedes comprar los champiñones ya laminados.', '2\nColoca una cazuela a fuego medio con un chorrito de aceite y, a continuación, pela la cebolla y córtala en trozos pequeños. Luego, añádela a la cazuela, deja que se cocine y se quede pochada.', '3\nCuando empiece a coger color la cebolla, añade los champiñones, rehógalos, déjalos que se cocinen y adquieran un poco de color para que suelten más sabor. Ve removiendo todo. A continuación, pela la patata, córtala en trozos y añade junto a los champiñones, remueve.\nTruco: si lo deseas, puedes prescindir de la patata y no añadirla, solo necesitarás menos caldo para que quede una crema espesa.', '4\nAñade los dientes de ajos picados y déjalos unos minutos que se cocinen sin dejar de mover y sin que se quemen.', '5\nAñade el caldo e incorpora un poco de sal y pimienta. Deja cocinar unos 15 minutos o hasta que las patatas estén cocidas.', '6\nCuando ya tengas las patatas cocidas, tritura toda la mezcla y, si observas que está muy caldoso, retira un poco de caldo. A continuación, sigue triturando y, si hace falta, añade el caldo según te guste el punto de la crema.', '7\nVuelve a incorporar la crema en el fuego y añade un buen chorro de leche de coco, mezcla muy bien.\nTruco: prueba para rectificar y, si hace falta, añade más sal o pimienta.', '8\nCalienta bien la crema y sirve. Asimismo, para servir puedes saltear unos trozos de champiñones y añadirlos por encima, espolvorea un poco de tomillo y listo. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",Valoración: 5 (1 voto),4 comensales,30m,,Dificultad baja,,[],"['500 gramos de champiñones', '1 patata (opcional)', '1 cebolla', '2 dientes de ajos', '1 litro de caldo de verduras', '200 gramos de leche de coco', '1 chorro de aceite de oliva', '1 pizca de sal', '1 pizca de pimienta negra', '1 puñado de tomillo']",https://www.recetasgratis.net/receta-de-crema-de-champinones-vegana-76258.html
Pozole amarillo o mixteco,"El pozole es uno de los platillos tradicionales de México y populares, sobre todo durante las festividades patrias. En esta ocasión, desde RecetasGratis te vamos a enseñar a preparar un pozole amarillo, originario de Oaxaca, también conocido como pozole mixteco. La base de todos los pozoles es básicamente el maíz, pero lo que distingue esta receta de pozole amarillo de otras es que se utiliza la hoja santa para darle sabor y aroma, y además se usa el chile puya y el chile guajillo. Tradicionalmente se prepara con carne de puerco, pero también se puede hacer con pollo, como haremos con esta receta.Si quieres aprender cómo hacer pozole mixteco de Oaxaca para disfrutar estas próximas fiestas patrias, sigue leyendo.","['1\nPara hacer la receta de pozole amarillo o mixteco, primero cuece el maíz. Para ahorrar tiempo, te recomiendo usar el maíz pozolero precocido. Así, en una olla con suficiente agua, agrega el maíz, una cucharadita de sal y una cucharadita de orégano seco y, si quieres ahorrar todavía más tiempo, también pon a cocinar la pechuga de pollo junto con el maíz. Sazona al gusto. Si utilizas olla normal deja cocinar alrededor de una hora y media, pero si utilizas una olla a presión el tiempo de cocción será de unos 40 o 45 minutos. Cuando esté cocido el maíz, reserva y continúa con la receta.\nTruco: recuerda que también puedes hacer el pozole mixteco con puerco.', '2\nPara preparar el adobo del pozole amarillo, en una sartén caliente tatema o asa los chiles puya y guajillo, qué deben estar limpios, es decir, sin tallo y, si lo prefieres, sin semillas ni venas. También pon a asar la cebolla y los dientes de ajo hasta que estén ligeramente dorados.', '3\nCuando estén los ingredientes tatemados, licúalos con una taza de agua o caldo de pollo, los clavos de olor, el comino y un poco de sal y pimienta. Tritura todo por al menos 3 minutos para obtener una salsa muy ligera.', '4\nCalienta una olla lo suficientemente grande y añade una cucharada de aceite o manteca. Luego, vierte la salsa licuada previamente colada para eliminar las semillas de los chiles y lo que pueda quedar de los clavos de olor, y deja cocinar a fuego medio-alto hasta que comience a hervir.', '5\nCuando la salsa hierva, es momento de agregar el maíz pozolero ya cocido y la pechuga de pollo deshebrada. También agrega un litro y medio de agua o caldo de pollo y enseguida la hoja santa troceada, mezcla y deja cocinar hasta que comience a hervir. Una vez que hierva, comprueba el sabor y si lo ves necesario puedes agregar un poco más de sal, pimienta y orégano.', '6\nCuando esté listo el pozole amarillo o mixteco, puedes servirlo y acompañarlo con lechuga rallada, cebolla picada y rábano picado, y disfrutarlo con unas ricas tostadas de maíz, crema y queso fresco. ¡A comer!', '7\nY si quieres aprender a preparar otras recetas tradicionales, en este VÍDEO te enseñamos a preparar el pozole rojo:']",,8 comensales,1h 30m,Plato principal,Dificultad baja,,['Recetas mexicanas'],"['1 kilogramo de maíz pozolero precocido', '1 cucharada sopera de orégano seco', '1 cucharadita de sal', '1 pechuga de pollo limpia', '4 chiles puya', '4 chiles guajillo', '½ cebolla mediana', '2 dientes de ajo', '1 pizca de comino', '3 clavos de olor', '1 hoja de santa', '1 pizca de sal y pimienta al gusto', '1 cucharada sopera de aceite o manteca', '2 tazas de lechuga rallada', '1 taza de cebolla picada', '1 taza de rábanos picados', '1 pizca de oregano seco al gusto', '1 paquete de tostadas de maíz', 'Crema al gusto', '!ueso fresco al gusto']",https://www.recetasgratis.net/receta-de-pozole-amarillo-o-mixteco-76163.html
