title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Crema de espinacas con huevos,,"['1\nCalentar un vaso de agua salada en una cazuela.', '2\nCocer las espinacas durante 15 minutos.', '3\nEscurrir, y picarlas finamente.', '4\nColocar los huevos en un cazo. Cubrir con agua.', '5\nHervir durante 5 minutos. Retirar del fuego, pero no del cazo.', '6\nPreparar la salsa Bechamel. Cortar en triángulos las rebanadas de pan.', '7\nCalentar el aceite en una sartén. Freír los triangulos de pan. Retirar.', '8\nEn el mismo aceite, freír las pasas y piñones durante 2 minutos.', '9\nPelar los huevos. Encender el grill.', '10\nColocar las espinacas en una fuente refractaria.', '11\nAgregar las pasas y piñones, y mezclar. Disponer encima los huevos.', '12\nRecubrir con la salsa Bechamel.', '13\nEspolvorear con el queso rallado. Gratinar durante lo minutos. Adornar la fuente con los triángulos de pan.']","Valoración: 3,2 (6 votos)","['1 kg Espinacas congeladas', '4 Huevos', '4 rebanadas Pan de molde', '4 rebanadas Queso gruyére rallado', '50 g. Pasas', '50 g piñones', '1 dl Aceite (6 cucharadas).', 'un tazón Salsa Bechamel (ver receta).', 'Sal', 'pimienta.']",https://www.recetasgratis.net/receta-de-crema-de-espinacas-con-huevos-7006.html,,,,,,
Sopa de plátano verde,"Aprende a preparar una sopa de verduras diferente y original utilizando plátano verde como principal ingrediente. Un plato de cuchara que te devolverá la energía al cuerpo, la sopa de plátano verde es ideal para la cena o para servir como entrante.","['1\nSe sofríe la cebolla y el ajo en el aceite. Luego, se agregan los plátanos verdes pelados y cortados en trozos, se deja cocinar durante 2 o 3 minutos.', '2\nAgrega el consomé de carne, tapa la olla y deja cocinar hasta que los plátanos estén bien blandos.', '3\nDescartar el ajo y pasar la sopa de plátano verde por un triturador o licuadora antes de servir. Sírvela acompañada de tostadas y una ensalada verde.']","Valoración: 3,7 (7 votos)","['1 unidad de Cebolla regular picada', '2 cucharadas soperas de Aceite', '6 tazas de Consomé de carne', '3 unidades de Ajos porros picados', '2 cubos de Pollo', '½ unidad de Panela de margarina', '3 unidades de Plátanos verdes']",https://www.recetasgratis.net/receta-de-sopa-de-platano-verde-6957.html,1 comensal,30m,Plato principal,Dificultad baja,,[]
Gazpacho blanco,"El gazpacho blanco andaluz o ajoblanco de almendras, es una excelente opción de sopa fría para todos aquellos que prefieren una receta original y no los gazpachos andaluces tradicionales. Por ello, si tú eres una de esas personas, no te pierdas esta receta de gazpacho blanco con almendras. Esta elaboración no contiene tomates, sino almendras, asimismo, el sabor de este gazpacho blanco cordobés o extremeño es mucho más suave que el auténtico gazpacho andaluz. También es una buena opción como entrante a la hora de dárselo a los más pequeños de la casa.En RecetasGratis te enseñamos cómo hacer gazpacho blanco de almendras. ¡Sorprende a los tuyos!","['1\nPara empezar con la receta de gazpacho blanco, primero debes añadir las almendras en remojo unas horas, así conseguirás que se reblandezcan y se puedan triturar con más facilidad. Si las prefieres sin reblandecer, puedes saltarte este paso, pero la batidora debe ser potente, si no te costará mucho.\nTruco: si dispones de un robot de cocina para triturar el gazpacho, te quedará mejor, conseguirás una textura mucho más fina.', '2\nEn un bol añade las almendras, el ajo, un poco de sal, el vinagre y el pan del día anterior o de unos días atrás, aún mejor. La cantidad del pan puede variar según te guste más o menos. A continuación, incorpora agua y deja unos minutos para que el pan se reblandezca.\nTruco: si tienes problemas porque el ajo te repite, quita el germen del centro, así no repetirá.', '3\nTritura con la batidora hasta obtener una crema lo más fina posible, la textura es al gusto. Si lo deseas, puedes añadir más agua si hace falta y más pan si te gusta con una textura más espesa. Cuando tengas la textura que te gusta, añade el aceite de oliva virgen extra poco a poco hasta que se emulsione la mezcla. A continuación, deja el bol en la nevera varias horas para que quede bien fría.', '4\nCuando vayas a servir el gazpacho blanco, debe estar bien frío. Asimismo, retira de la nevera y sirve en platos hondos rociando un chorrito de aceite de oliva. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",Valoración: 4 (168 votos),"['200 gramos de almendra cruda pelada', '150 gramos de miga de pan', '1 diente de ajo pelado', '500 mililitros de agua fría', '100 mililitros de aceite de oliva virgen extra', '2 cucharadas soperas de vinagre de Jerez', '1 cucharadita de sal']",https://www.recetasgratis.net/receta-de-gazpacho-blanco-31295.html,4 comensales,30m,Entrante,Dificultad baja,,['Recetas españolas']
Sopa de chile poblano y panela,,"['1\nEn una sartén,caliente el aceite y sancoche en el los chiles,la cebolla y el ajo. Despues licuelos con 1 taza de agua.', '2\nCuele a una olla de tamaño mediano lo licuado, añádale 4 tazas de agua y el consomé: deje que todo hierva durante 10 minutos. Agregue entonces el elote y deje que la sopa hierva unos 5 minutos mas.', '3\nJusto cuando vaya a llevar la sopa a la mesa, añádale la crema, y antes de servirla, ponga en cada plato unos cuantos cuadritos de queso.']",Valoración: 4 (9 votos),"['3 chiles poblanos, desvenados, sin semillas y cortados en trozos', '3 cucharadas de aceite', '1 cucharada copeteada de cebolla picada', '1 diente de ajo', '2 cucharadas de consome de pollo granulado', '1 elote desgranado o una lata pequeña de elote', '1/4 litro de crema espesa', '100g de queso panela, cortado en cuadritos']",https://www.recetasgratis.net/receta-de-sopa-de-chile-poblano-y-panela-31297.html,2 comensales,45m,Plato principal,Dificultad media,,[]
Sopa de verduras light,,"['1\nCortar las verduras en cuadraditos bien pequeños, excepto los choclos que se cocinarán enteros.', '2\nPoner en ½ olla grande, agua a hervir, cuando esté en ebullición colocar primero las zanahorias, a los 10 minutos las papas, calabaza y batatas, a los 10 minutos los demás ingredientes menos la sal.', '3\nCocinar a fuego lento aproximadamente 45 minutos, para que la sopa tome consistencia, cuando esté lista apagar el fuego, agregar el aceite y la sal.']",Valoración: 4 (4 votos),"['4 zanahorias', '2 papas', '1 calabaza chica', '2 batatas', '4 choclos', '100 gr. arvejas', '2 puerros', '2 cebollas de verdeo', '1 rama de apio', 'Sal marina a gusto', '1 cucharada de aceite de oliva']",https://www.recetasgratis.net/receta-de-sopa-de-verduras-light-31258.html,,,,,,
Consomé en Thermomix,"Los consomés son unos caldos concentrados de verduras, carnes o pescados que por lo general se sirven calientes como entrantes en las comidas. Estas sopas calientes tienen su origen en Francia y se pueden hacer con muchos ingredientes diferentes. Además, se puede tomar solo el caldo que queda de la cocción, o bien podemos utilizar ese caldo para comerlo junto con el resto de ingredientes troceados, o incluso para cocer fideos o algún otro tipo de pasta, y acabar haciendo una rica sopa. Por estas y otras muchas utilidades más, desde RecetasGratis.net os enseñamos paso a paso cómo hacer un sencillo y rápido consomé con Thermomix.","['1\nEl primer paso para preparar este consomé con Thermomix es pelar, lavar y trocear todas las verduras: las zanahorias, las patatas, el puerro y el apio.', '2\nSeguidamente, echa todos los ingredientes troceados junto con el maíz y las pastillas de caldo en el vaso de Thermomix y cúbrelos con agua, procurando que no pase de los 2 litros en total. Luego programa la máquina 40 minutos a temperatura Varoma y a velocidad 1.', '3\nCuando empiece a salir el vapor, coloca sobre la tapadera del recipiente Varoma con verduras, una pechuga de pollo, una pechuga de pavo o los ingredientes que desees.', '4\nAl terminar los 40 minutos, puedes agregar más líquido, hasta completar los dos litros.', '5\nPor último, cuélalo todo y tómate el caldo para disfrutar de tu consomé con Thermomix, o bien tritúralo a velocidad 4 para que que se noten los trozos de las verduras. Puedes servirlo con huevo duro troceadito y espolvorear con perejil.Y si te gustan las sopas calientes prueba estas recetas que te recomendamos:Sopa minestroneSopa florentinaSopa de ajo']","Valoración: 3,3 (15 votos)","['2 Zanahorias medianas', '1 Patata', '1 Puerro grande', '1 rama de Apio', '1 lata de Maíz', '2 pastillas de Caldo de pollo', 'Agua hasta cubrir']",https://www.recetasgratis.net/receta-de-consome-en-thermomix-30954.html,4 comensales,45m,Entrante,Dificultad baja,,[]
Sopa de verduras con Thermomix,"Las sopas de verduras son ideales para días de frío o para recuperarnos de un resfriado. Aunque sin duda, la mejor sopa es que la cocina nuestra madre, si tienes un Thermomix en casa la tarea no es tan complicada. Sigue esta receta fácil con Thermomix y aprende a preparar una deliciosa sopa de verduras.","['1\nPara empezar a prepara este rico caldo con Thermomix, lo primero que debes hacer es lavar y trocear bien la verdura. Para ello, coloca toda la verdura en el vaso y programa por 6 segundos a velocidad 3 y medio. Puedes modificar el tiempo de triturado dependiendo del tamaño que quieras que tenga la verdura en la sopa.', '2\nCuando la verdura esté toda picada al gusto, añade al vaso el agua junto con el caldo concentrado. Pon a trabajar la Thermomix y programa 20 minutos con velocidad 1 y 100º de temperatura.', '3\nPasado este tiempo, prueba la sopa de verduras y corrige la sazón con sal o pimienta si es necesario. Puedes añadir otro tipo de ingredientes en este punto como huevo, espinacas o acelgas. Simplemente deja que se hagan con el calor de la sopa.', '4\nDisfruta de un buen plato de la sopa de verduras con Thermomix y buen provecho. Esta sopa es muy fácil de hacer, ligera y es un plato que siempre viene bien en los días de frío. Y si quieres utilizar tu robot de cocina para preparar otros platos como este puede echarle un vistazo a la receta de sopa de tomate con Thermomix.']",Valoración: 3 (4 votos),"['2 unidades de Nabo', '1 unidad de Patata', '3 unidades de Puerro', '3 unidades de Zanahoria', '700 mililitros de Agua', '1 unidad de Pastilla de caldo concentrado de verduras']",https://www.recetasgratis.net/receta-de-sopa-de-verduras-con-thermomix-30922.html,2 comensales,30m,,Dificultad baja,,['Recomendada para vegetarianos']
Sopa de tomate con Thermomix,"Un caldo elaborado a base de tomate, una sopa de verduras con un color rojo característico que la hace fácilmente reconocible. La sopa de tomate no sólo se sirve para calentar el cuerpo sino que también se utiliza como base para otros platos. Si te interesa probar este plato sigue la receta paso a paso de la sopa de tomate con Thermomix y ¡buen provecho!","['1\nEl primer paso para preparar esta clásica sopa de tomate será picar el pimiento y a cebolla. Para ello, coloca estos ingredientes en el vaso y programa la Thermomix por 5 segundos a velocidad 3-5.', '2\nCuando termine, añade el aceite y vuelve a programar por 5 segundos pero con velocidad 1 y 100º de temperatura.', '3\nA continuación, añade los tomates al vaso y programa por 20 minutos repitiendo la misma velocidad y la misma temperatura. Cuando pase este tiempo tritura todo a velocidad 5.', '4\nPara continuar preparando la sopa de tomate con Thermomix incorpora todo el agua junto con la hierbabuena, la sal y el pan troceado. Progra por 12 minutos a 100º con velocidad 1.', '5\nCuando termine esta última programación ya podrás servir la sopa de tomate con Thermomix. Esta sopa la puedes servir como entrante o bien caliente, recién hecha, para un fría noche de invierno. Otra sopa deliciosa que también puedes preparar con ayuda de tu Thermomix es la sopa de ajo.']","Valoración: 3,7 (20 votos)","['250 gramos de Pan viejo o del día anterior', '100 centímetros cúbicos de Aceite de oliva', '2 unidades de Pimiento verde', '1 unidad de Cebolla', '1 kilogramo de Tomate natural triturado', '1 manojo de Hierbabuena', '1 cucharadita de Sal', '½ litro de Agua']",https://www.recetasgratis.net/receta-de-sopa-de-tomate-con-thermomix-30918.html,4 comensales,15m,Entrante,Dificultad baja,,[]
Sopa de calabaza y zanahoria con Thermomix,"La sopa de verduras que hemos preparado con la Thermomix está cargada de energía y vitaminas, puesto que los ingredientes que la componen cuentan con un elevado aporte nutricional. Centrándonos en los protagonistas de la receta, podemos destacar la cantidad de vitamina A y C tanto de la calabaza como de la zanahoria, su potente efecto diurético y su capacidad para combatir el estreñimiento. De esta forma, si tienes problemas para ir al baño esta sopa puede convertirse en tu mejor remedio.Quédate en RecetasGratis y descubre cómo hacer sopa de calabaza y zanahoria con Thermomix paso a paso, verás que en apenas unos minutos tendrás listo un plato completo y apto tanto para veganos como para vegetarianos.","['1\nLo primero que debess hacer para empezar a prepara la sopa de calabaza con Thermomix es triturar la cebolla introduciéndola pelada en el vaso de la máquina y programándola para 5 segundos a velocidad 5.', '2\nLuego, añade la mantequilla y calienta la preparación durante 3 minutos a 80 ºC de temperatura y velocidad 1. Pasado este tiempo, incorpora la calabaza pelada y troceada, las zanahorias también peladas y la albahaca al gusto. Programa la Thermomix para 20 segundos a velocidad 4 para triturar los ingredientes.', '3\nUna vez triturado todo, añade el caldo de verduras y cocina la sopa de calabaza y zanahoria con Thermomix durante 10 minutos a 98 ºC de temperatura.', '4\nPasado el tiempo indicado, agrega los ingredientes restantes y cocina la sopa de verduras durante 1 minuto más. Después, programa la Thermomix para 7 segundos a velocidad 8 con la intención de triturar los alimentos y ofrecer un plato suave y sin grumos.', '5\nSirve la sopa de calabaza y zanahoria con Thermomix caliente para ayudar a regular la temperatura corporal y combatir el frío. Como ves, se trata de un plato muy completo a nivel nutricional y, sobre todo, delicioso, puesto que ofrece todo un contraste de sabores y aromas. Si quieres conocer otra receta igual de sabrosa pero con ingredientes distintos, no te pierdas la sopa minestrone con Thermomix.']","Valoración: 4,2 (6 votos)","['450 gramos de Calabaza', '3 cucharadas soperas de Nata o crema de leche', '1 litro de Caldo de verduras', '1 cucharada sopera de Mantequilla vegetal', '1 pizca de Azúcar', 'Albahaca', '225 gramos de Zanahorias', '1 Cebolla', '3 Tomates frescos']",https://www.recetasgratis.net/receta-de-sopa-de-calabaza-y-zanahoria-con-thermomix-30913.html,4 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']"
Sopa de cebolla con Thermomix,Te gustan las sopas y tienes una Thermomix en casa pues ¡a qué esperas para preparar las mejores sopas con Thermomix!En RecetasGratis tenemos un gran listado de recetas exclusivas para hacer con Thermomix y en esta ocasión te enseñamos una sopa de cebolla con huevo y queso que hará que se te haga agua la boca. Sigue leyendo a pon en marcha tu máquina para disfrutar de esta rica sopa de cebolla con Thermomix.,"['1\nPara poder disfrutar de esta suculenta sopa de cebolla con huevo en Thermomix, lo primero que debes hacer es cortar la cebolla en juliana y ponerla junto al aceite por 5 minutos a velocidad 1 con temperatura de 100 ºC.', '2\nPasados los 5 minutos, añadir el agua y cocer durante 20 minutos en velocidad 1 y mantener la misma temperatura de 100 ºC.\nTruco: Recuerda que en las recetas con Thermomix lo más importante es programar la máquina correctamente.', '3\nMientras, aprovecha y reparte el pan en 4 cazuelas de barro. Cuando la Thermomix haya acabado el proceso, vacía la sopa de cebolla francesa de la Thermomix en cada uno de los cuencos.', '4\nYa para darle el toque final, pon un huevo en cada cazuela y espolvorear con el queso rallado por encima. Gratinar en el horno y servir. Debe quedar el huevo con la clara cuajada y la yema blanda.', '5\nHacer sopa de cebolla con Thermomix es muy fácil y es un plato perfecto para una noche fría. Y si tienes una Thermomix y quieres sacarle el máximo provecho puedes preparar otras sopas como la famosa sopa ministrone o una elegante crema de nécoras.']","Valoración: 3,4 (5 votos)","['400 gramos de cebolla', '15 mililitros de aceite de oliva', '4 huevos', 'Pan tostado o picatostes', '1 taza de queso parmesano rallado', '1 litro de agua']",https://www.recetasgratis.net/receta-de-sopa-de-cebolla-con-thermomix-30914.html,4 comensales,15m,Entrante,Dificultad baja,,['Recomendada para vegetarianos']
