title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
pastel de zapallitos al horno,,"['1\nCortar los zapallitos en trozos, salarlos y colocarlos en una olla para que queden tiernos, no deshechos, largan un jugo que tambien se utiliza.', '2\nPor otro lado rehogar en una sarten con aceite las cebollas, el morron y la carne picada hasta que este algo cocida.', '3\nLuego mezclar todo con los zapallitos, agregar queso rallado y los huevos crudos, corregir la sal y agregar pimienta a gusto y oregano.', '4\nForrar una asadera de horno con tajadas de pan cortado muy fino, volcar encima la mezcla de los zapallitos y rociar todo con pan rallado y trozitos de manteca.', '5\nSi se quiere puede cubrirse con salsa blanca.', '6\nSe cocina en una cacerola revolviendo hasta que espese.', '7\nSe cocina en horno moderado unos 20 minutos o hasta que la superficie quede doradita.']","Valoración: 3,8 (31 votos)",,,,Dificultad media,"['8 zapallitos de tronco', '1/2 kilo de carne picada', '2 cebollas', '1/2 morron rojo', '1/2 morron verde', '4 huevos', 'queso rallado', 'salsa blanca - opcional', '1/2 litro de leche', '100 gr de harina o maizola', 'sal', 'pimienta', 'nuez moscada']",https://www.recetasgratis.net/receta-de-pastel-de-zapallitos-al-horno-33931.html,,
Berenjenas con jamón York y queso,,"['1\nDESPUES DE PELAR LA BERENJENA, SE VA CORTANDO A LO LARGO Y LUEGO POR LA MITAD.', '2\nSE COGE UNA PARTE DE ELLA Y SE LE PONE JAMON COCIDO, QUESO, OTRA VEZ JAMON COCIDO Y LUEGO OTRA BERENJENA.', '3\nCUANDO YA ESTEN TODAS LAS BERENJENAS RELLENAS, SE PASAN POR HUEVO Y PAN RALLADO Y SE FRIEN EN ABUNDANTE ACEITE DE OLIVA Y A CONTINUACION A DEGUSTARLAS. BUEN PROVECHO.']","Valoración: 3,6 (123 votos)",1 comensal,30m,Entrante,Dificultad baja,"['1 unidad de Berenjena', '2 lonchas de Jamón cocido', '2 lonchas de Queso', '1 unidad de Huevo', '½ taza de Pan rallado', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-berenjenas-con-jamon-york-y-queso-33891.html,,[]
ESPARRAGOS AL GRATIN,,"['1\nSe cocinan los esparragos al dente en una cacerola con abundante agua y sal a gusto, se pasan por agua fria para terminar la coccion.', '2\nSe colocan en una fuente, uno al lado de otro, teniendo cuidado de no montarlos.', '3\nSe coloca el queso en la parte de la cabeza de los esparragos y se espolvorea pimienta, va al horno, pre calentado a fuego medio por 15 min, solo para que se derrita el queso; si es microondas a media potencia por 50 seg.', '4\nUna vez listos, se colocan en los platos de entrada, 6 por persona y se sirve caliente.']","Valoración: 3,3 (21 votos)",,,,Dificultad baja,"['Para 6 personas.', '36 esparragos del mismo grozor y largo.', '174 de queso mantecoso para derretir', 'pimienta', 'Sal a gusto']",https://www.recetasgratis.net/receta-de-esparragos-al-gratin-33652.html,,
AGUACATE CON ANCHOAS,,"['1\nSE DESCARNAN LOS AGUACATES, SE APLASTA LA PULPA MEZCLANDOLA CON LAS ANCHOAS PICADAS MUY FINAMENTE, SE LE AÑADE UN CHORRITO DE LIMON AL GUSTO LA PIMIENTA Y COMO DOS CUCHARADAS DE CAFE DE ACEITE DE OLIVA.', '2\n(EL ACEITE DE LAS ANCHOAS NO DEBE INCLUIRSE EN LA MASA)', '3\nPRESENTAR FRIO Y ACOMPAÑAR CON UN BUEN VINO DE MONTILLA.']",Valoración: 4 (42 votos),,,,Dificultad baja,"['2 AGUACATES', '1 LATA DE ANCHOAS', 'PIMIENTA', 'ACEITE DE OLIVA', 'ZUMO DE LIMON']",https://www.recetasgratis.net/receta-de-aguacate-con-anchoas-33638.html,,
Pastel de coliflor al horno,"Hoy vamos a preparar un pastel de coliflor al horno al que le pondremos un poco de jamón dulce para tentar a los más pequeños y hacer que los niños de casa disfruten comiendo coliflor. Esta receta te servirá para resolver una cena rápida o una guarnición en una comida familiar, este pastel de coliflor con jamón y queso rinda bastante, es muy fácil de hacer y está para chuparse los dedos... todo son ventajas con esta receta paso a paso.Crema de leche, queso y patatas son los ingredientes extra de este plato con coliflor, todo cosas que seguro tienes por casa y que son fáciles de conseguir, así que no pongas más excusas y atrévete con un plato nuevo y disfruta comiendo coliflor cada día.","['1\nEmpezaremos por cocinar la coliflor. Para ello, la lavamos muy bien y partimos lo cogollos. Ponemos todo esto en una olla con agua y sal y dejamos que hierva hasta que esté suave y tierna. Escurrimos y reservamos.', '2\nPor otro lado, lavamos muy bien la patatas, pelamos y cortamos en rodajas finas. Es importante que la patatas sean naturales y no congeladas para que nuestro pastel de coliflor quede con la textura adecuada.Aprovechamos y cortamos la cebolla en aros y el jamón en tiras gruesas.', '3\nPara armar el pastel vegetal colocamos la coliflor en el fondo de una fuente para horno. Encima irán las patatas, luego la cebolla y por último las tiras de jamón.Bañamos todo esto con la nata para cocinar y sazonamos con una pizca de nuez moscada.', '4\nMetemos la fuente al horno pre-calentado a 150 ºC y mantenemos la cocción hasta que veamos que la nata se ha consumido por completo.Entonces, abrimos el horno y añadimos una buena capa de queso rallado. Dejamos en el horno hasta que gratine durante unos 5-10 minutos y listo.', '5\nServimos nuestro pastel de coliflor al horno y disfrutamos de un trozo bien caliente. Este plato de coliflor lo podemos comer a la hora de la cena o como plato principal junto con un rico atún a la plancha con ajo y perejil.Y si quieres probar otros platos parecidos te recomiendo revisar la receta paso a paso del pastel de patata y bacon, ¡está buenísimo!']","Valoración: 3,5 (27 votos)",4 comensales,45m,,Dificultad baja,"['2 kilogramos de Coliflor', '200 gramos de Jamón cocido', '½ litro de Nata para cocinar o Crema de leche', '1 pizca de Nuez moscada', '1 pizca de Sal', '4 Patatas', '100 gramos de Queso rallado', '1 Cebolla']",https://www.recetasgratis.net/receta-de-pastel-de-coliflor-al-horno-33597.html,,['Recetas al horno']
Hash browns,,"['1\nLava y pela las papas.', '2\nRalla las patatas con la parte gruesa del rallador. Pica finamente la cebolla y uego mezcla con las papas ralladas.', '3\nÉchele bastante sal y pimienta a la mezcla y mientras ponga a calentar el aceite en la sartén.', '4\nMientras, forme unas tortitas con la mezcla. Fría hasta que estén doradas de ambos lados si es necesario agregarles más aceite.', '5\nDejar los hash brown escurrir sobre papel de cocina para que absorba el exceso de aceite y sirve con huevos fritos y algo de bacon... buen provecho. Espero que les guste!!!!']","Valoración: 3,8 (33 votos)",2 comensales,15m,Desayuno,Dificultad baja,"['6 unidades de Papa', '2 unidades de Cebolla', '6 cucharadas soperas de Aceite', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-hash-browns-33504.html,,['Recomendada para veganos']
PASTEL DE ELOTE,,"['1\nENGRASA CON MANTEQUILLA TU OLLA ESPRES. DEAPUES LICUA TODO Y LO PNES. TAPA TU OLLA EXPRESS SIN LA BOKILLA.', '2\nDEJALO 30 MN. A FUEGO LENTO.', '3\nTARA UN DE LICIOSO PAN DE ELOTE']","Valoración: 4,1 (57 votos)",,,,Dificultad baja,"['1.UNA LATA DE ELOTES', '2.HARINA DE TRIGO 1/2 TAZA', '3.4 HUEVOS', '4.100 G.DE MANTEQUILLA (SIN SAL)', '5.UNA LECHERA']",https://www.recetasgratis.net/receta-de-pastel-de-elote-33267.html,,
Nopales con carne,,"['1\nSe ponen los nopales en una olla a hervir en agua con un ajo cebolla y sal hasta que esten cocidos.', '2\nYa cocidos se les elimina el agua y se reservan.', '3\nAparte en un sarten con aceite se pone a dorar un poquito la carne sasonada con sal, pimienta y ajo.', '4\nDespues se le agrega el tomate, cebolla y chile se cocina a fuego medio tapado por unos minutos, y se le baja el fuego se deja otros minutos mas y se le agrega agua para que no quede seco y Listo! puedes acompañarlo con frijoles de la olla o arroz blanco o arroz guisado-rojo.', '5\nTortillas de maiz y una jarra de limonada...=D espero les guste.']","Valoración: 4,1 (46 votos)",,,,Dificultad baja,"['1 taza de Nopales cortados en cuadritos o tiras', '1 kilogramo de Carne molida de res puede ser carne para asar tambien, pero que no este muy grasosa', '1 unidad de Cebolla picada en cuadritos', '1 unidad de Tomate rojo picado en cuadritos', '1 unidad de Chile verde california', '1 cucharadita de Aceite', '1 taza de Agua (240 mililitros)', '1 diente de Ajo picado o ajo en polvo', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-nopales-con-carne-33189.html,,
coliflores rellenas,,"['1\nSe ponen a cocer las coliflores con agua, ajo y consome granulado.', '2\nYa que se cocieron se ponen a estilar, despues se toman dos flores y se aprietan bastante fuerte para estilar toda el agua.', '3\nSe toma una rebanadita de queso fresco y se pone justo en el medio despues se bate el huevo a punto de turron y se capea, asi se hacen hasta terminar las coliflores. Para la salsa.', '4\nSe acitrona el ajo y la cebolla y se licua junto con el tomate rojo y el consome.', '5\nSe guisa lo licuado y se agrega el agua al gusto y se deja hervir junto con las tortitas de coliflor por dies minutos... y a disfrutar.']","Valoración: 3,5 (25 votos)",,,,Dificultad baja,"['Dos coliflores grandes', 'Dientes de ajo', 'Consome granulado', 'Queso fresco', 'Queso panela', '8 huevos', 'Tres tomates rojos', 'Un trozo de cebolla', 'Aceite el necesario']",https://www.recetasgratis.net/receta-de-coliflores-rellenas-33061.html,,
variaciones sobre las berenjenas,,"['1\n2 berebjenas en ruedas, ponerlas en agua y sal para que pierdan lo amargo.', '2\nSe frien y se van poniendo en un papel de cocina para que absorba el aceite.', '3\nEn una fuente de horno se unta de mantequilla o margarina se pone salsa de tomate, encima la berenjena, una capa de jamon de yok, otra de queso y por ùltimo otra capa de salsa de tomate, queso rayado y al horno a gratinar.', '4\nPara que no absorba tanto aceite mi hija cuece la ruedas de las berenjenas y tambien resulta.']","Valoración: 3,4 (22 votos)",,,,Dificultad baja,"['2 berenjenas', 'Agua', 'Sal', 'Aceite', 'Mantequilla o margarina', 'Salsa de tomate', 'Jamón york', 'Queso en lonchas', 'Queso rayado']",https://www.recetasgratis.net/receta-de-variaciones-sobre-las-berenjenas-33056.html,,
