title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Mahshi Papa,,"['1\nEn general las papas, zanahorias o pimientos rellenos no se sirven como platos principales pero es una buena costumbre agregarlos a la cocción tanto del kusa o betenján.', '2\nSimplemente se ahuecan (la zanahoria requiere cierta destreza) y se rellenan con el relleno básico agregándolas a la cocción del kusa o betenjan respetando el caldo de cada receta.', '3\nLa papa se cocinará lavada pero no pelada, la zanahoria pelada y el pimiento limpio de semillas.']","Valoración: 3,3 (54 votos)","['Papa', 'Zanahoria', 'Pimiento']",https://www.recetasgratis.net/receta-de-mahshi-papa-zanahoria-pimiento-25291.html,,,,,,
Malfatis Babel,,"['1\nSancochar la espinaca y picarla finito. Agregar el queso ricotta, el parmesano, el huevo y sazonar.', '2\nAmasar y formar bolitas, acomodar estas en un plato rociarle salsa blanca y luego rociarle la napolitana.', '3\nUn poco de queso parmesano encima y llevar a gratinar al horno. Gratinado y listo, nos toca disfrutarlo.']","Valoración: 3,4 (55 votos)","['2 k. de espinaca', '300 gr. de queso ricotta', '100 gr. de queso, parmesano', '1 huevo', 'Sal', 'Pimienta', 'Nuez moscada', 'Salsa blanca', 'Salsa napolitana (roja)']",https://www.recetasgratis.net/receta-de-malfatis-babel-25293.html,,,,,,
Lechuga salteada,,"['1\nEn una sartén o cazuela de barro, poner el aceite o la mantequilla.', '2\nCuando esté caliente echar los ajos, sofreírlos hasta que estén casi dorados.', '3\nLuego, añadir la lechuga, rehogarla hasta que esté cocida.', '4\nServir como guarnición o si se es vegetariano como plato.']","Valoración: 4,2 (10 votos)","['1 lechuga cortada en juliana', '2 dientes de ajos cortados en láminas finas', 'dos cucharadas de aceite de oliva o de mantequilla.', 'sal', 'pimienta.']",https://www.recetasgratis.net/receta-de-lechuga-salteada-25282.html,,,,,,
Latkes de papa,"Los latkes de papas son uno de los platos más populares de la festividad judía de Janucá, además de muy fáciles de realizar. Consisten en rallar la papa y mezclarla con huevo, para después freírla. Quedan unas tortitas muy crocantes y llenas de sabor. Sigue el paso a paso que en RecetasGratis.net te detallamos y aprende a elaborar estos latkes judíos.","['1\nAntes de realizar esta receta judía, el primer paso es alistar todos los ingredientes.', '2\nPela y ralla las papas, mézclalas con el zumo de limón para evitar que se oxiden y déjalas reposar durante 15 minutos.', '3\nTrascurrido este tiempo, cuela las papas para escurrir muy bien el agua que tengan, deben quedar lo más secas posible. Luego, mézclalas con el huevo, sal y pimienta.', '4\nPon una sartén con aceite al fuego. Con una cuchara agrega un poco de la mezcla anterior al aceite caliente y fríe las tortitas de papa a fuego medio durante cinco minutos. Los latkes deben quedar dorados. Pásalos por papel absorbente cuando estén para eliminar el exceso de grasa.', '5\nSirve los latkes de papas y disfrútalos. Puedes comerlos acompañados de carne, como un beef de ternera.']","Valoración: 3,4 (59 votos)","['2 unidades de Patatas', '1 unidad de Huevo', '500 mililitros de Aceite', '1 unidad de Limón', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-latkes-de-papa-25277.html,2 comensales,45m,,Dificultad baja,,[]
Hojaldre de puerros y setas,,"['1\nEstirar la masa de hojaldre y forrar un molde de tarta, de bordes altos, pinchar el fondo para que no suba y poner en el horno a 200º C durante 10 minutos.', '2\nSacar y reservar.', '3\nLimpiar y lavar los puerros y cortar en anillas.', '4\nLimpiar y trocear las setas.', '5\nPoner una sartén al fuego con aceite de oliva y saltear primero los puerros y antes de que doren añadir las setas y espolvorear una pizca de tomillo.', '6\nDejar al fuego, hasta que reduzcan el líquido.', '7\nBatir los huevos, añadir la nata, añadir el perejil, salpimentar y mezclar las setas.', '8\nVolcar el preparado sobre el hojaldre y poner en horno caliente entre 30 y 45 minutos (dependiendo del horno y la temperatura) hasta observar que se ha cuajado.', '9\nServir templada o fría.', '10\nNOTA: Si queda algún trozo, envolver en papel de aluminio ó envase apropiado y congelar.', '11\nSoluciona una pequeña comida, ese día que te quedas ""en blanco"" delante del frigo y no sabes que hacer.']","Valoración: 3,3 (54 votos)","['400 g. de setas, variadas (champiñones, setas de cardo, etc)', '200 c.c. nata líquida', '4 huevos', 'Perejil', 'Tomillo', 'pimienta', 'sal', '450 G. Masa hojaldre congelada']",https://www.recetasgratis.net/receta-de-hojaldre-de-puerros-y-setas-25250.html,,,,,,
Guisantes con almendras,,"['1\nDesgranar los guisantes y lavarlos.', '2\nLimpiar, lavar y picar el perejil.', '3\nFundir la mantequilla en una sartén y cuando esté espumeando, agregar los guisantes.', '4\nSazonar con sal y pimienta.', '5\nPicar gruesas las almendras y añadirlas a los guisantes, junto con los tomates escurridos y aplastados y el perejil.', '6\nRectificar de sal y proseguir la cocción a fuego vivo durante unos 20 minutos.', '7\nDespués, agregarle la nata, removerlo bien y servirlo bien caliente como guarnición a unos buenos filetes.']",,"['1 Kg. de guisantes', '100 gr. de almendras peladas', '400 gr. de tomates de lata', '1 ramito de perejil', '3 cucharadas de nata', '40 gr. de mantequilla', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-guisantes-con-almendras-25230.html,,,,,,
Guisantes a la romana,,"['1\nCocer los guisantes en agua hirviendo con un poco de sal.', '2\nPelar y picar la cebolla y cortar la panceta a tiras.', '3\nEn una cazuela con un poco de aceite, freír la cebolla hasta que esté dorada.', '4\nAñadir la panceta y saltear unos minutos.', '5\nAñadir los guisantes.', '6\nMezclar bien y rehogar durante 5 minutos más. Servir acompañado de unos huevos escalfados.', '7\nPara 4 personas.']",Valoración: 3 (8 votos),"['600 gr. de guisantes', '6 lonchas de panceta', '1 cebolla', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-guisantes-a-la-romana-25229.html,,,,,,
Guisantes a la catalana,,"['1\nTrocear el tocino a dados pequeños.', '2\nDesgranar los guisantes.', '3\nPelar y cortar finamente la cebolla y los ajos tiernos.', '4\nAtar en ramillete las hierbas aromáticas.', '5\nCalentar el aceite en una cazuela al fuego y freír los dados de tocino.', '6\nCuando empiecen a dorarse, añadir la cebolla y los ajos tiernos; mantener a fuego medio hasta que empiecen a tomar color.', '7\nAgregar entonces los guisantes desgranados y las hierbas, rehogándolas un poco.', '8\nIncorporar el agua, el anís y el moscatel.', '9\nPoner un poco de sal.', '10\nTapar la cacerola poniendo un papel de barba bajo la tapadera y mantener a fuego muy lento durante 30-45 minutos.', '11\nDe vez en cuando, agitar la cazuela para evitar que se pegue. Si queda poco jugo puede añadirse un poco de agua.', '12\nLos guisantes de primavera, dulces y tiernos, son los indicados para preparar este plato que resulta exquisito dentro de su sencillez.']","Valoración: 2,8 (62 votos)","['2 Kg. de guisantes (peso con vaina)', '4 ramitas de mejorana fresca', '100 g de tocino entreverado Aceite 1 dl', '2 cebollas tiernas ½ copita de anís seco', '3 ajos tiernos (ajetes)', '½ copita de moscatel', '4 ramitas de hierbabuena fresca', '1 vaso de agua']",https://www.recetasgratis.net/receta-de-guisantes-a-la-catalana-25227.html,,,,,,
Gratinado con Cebolla Blanca,,"['1\nSaltear las cebollas (previamente cortadas a la pluma) en las 4 cucharadas de mantequilla, espolvorearlas con sal y tapar la olla para que suden.', '2\nNo deben dorar.', '3\nCuando están lacias y transparentes se retiran del fuego y se escurren del líquido que soltaron.', '4\nGuardar el líquido.', '5\nSeguir cocinando las cebollas hasta que empiecen a amarillear.', '6\nNO DORAR.', '7\nLuego se acomodan en un molde refractario y se espolvorean con queso parmesano rallado.', '8\nHacer una salsa blanca con las 6 cucharadas de mantequilla, 8 cucharadas de harina y el líquido de las cebollas mezclado con la leche evaporada.', '9\nDebe quedar una salsa blanca dura.', '10\nSe retira del fuego y se le agrega la mostaza, el pimiento y se sazona con sal y pimienta al gusto.', '11\nAgregarle la crema de leche de a pocos.', '12\nUsar solo la necesaria para que tome la consistencia de una salsa ligera.', '13\nCubrir las cebollas con esta salsa, espolvorear con parmesano rallado y pan molido y llevar al horno a gratinar por 15 a 20 minutos.', '14\nSe puede preparar con anticipación y se gratina antes de servir.']","Valoración: 3,4 (56 votos)","['8 a 9 cebollas blancas grandes.', '4 cucharadas de mantequilla.', '1 3/4 taza de leche evaporada.', '3 cucharadas de mostaza.', '2 cucharaditas pimiento verde molido.', 'queso parmesano rallado.', '6 cucharadas de mantequilla.', '8 cucharadas de harina.', '2 tazas de crema de leche.', '2 cucharadas de pan rallado.', 'sal', 'pimienta al gusto.']",https://www.recetasgratis.net/receta-de-gratinado-con-cebolla-blanca-25217.html,,,,,,
Gratén de calabacines,,"['1\nLimpiar los calabacines y cortarlos en dados pequeños.', '2\nRallar finamente la cebolla.', '3\nCalentar el aceite en una sartén, o cazo con tapa, y rehogar la carne y la cebolla.', '4\nAgregar el zumo de limón y 1/2 taza de agua, salpimentar y cocer, destapado, durante 10 minutos, a fuego suave. añadir los calabacines y dejarlo cocer todo durante 15 minutos más.', '5\nPicar finamente el perejil y el eneldo, añadir ambas especias a la sartén y mezclarlo todo bien.', '6\nBatir los huevos y la leche, salpimentar y añadir la mitad del queso.', '7\nEngrasar una fuente refractaria y espolvorear el fondo con 1 cucharada de pan rallado.', '8\nVerter la mezcla de carne y verdura, espolvorear la superficie con el resto del pan rallado y el queso.', '9\nMeter al horno y gratinar, a 180ºC, durante 30 minutos.']","Valoración: 4,1 (10 votos)","['800 g de calabacines', '6 cucharadas de aceite de oliva', '400 g de carne de ternera picada', 'zumo de 1/2 limón', 'sal', '1 cebolla', 'pimienta recién molida', '1 ramillete de perejil', '1 ramillete de eneldo', '4 huevos', '2 cucharadas de leche', '100 g de queso Parmesano recién rallado', 'grasa para el molde.']",https://www.recetasgratis.net/receta-de-graten-de-calabacines-25214.html,,,,,,
