title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Mayonesa criolla,,"['1\nAntes de preparar la receta, coloca el recipiente, la taza de la licuadora o del procesador por 10 minutos en la nevera.', '2\nMezcla a velocidad lenta la yema de huevo con el limón, la sal y la pimienta.', '3\nAñade el agua caliente mientras bates la yema.', '4\nContinua el batido hasta que la yema adquiera un color amarillo claro.', '5\nComienza a añadir el aceite, gota a gota, hasta que se haya incorporado a la mezcla.', '6\nLuego agrega el aceite con un chorrito continuo.', '7\nSe añadirá tanto aceite a la vez como la cantidad que se haya incorporado.', '8\nLa mayonesa se comenzara a espesar.', '9\nSabrás que ha llegado a su punto si notas que la superficie de la emulsion se ve brillosa.', '10\nHacer mayonesa es facil si tienes los ingredientes a temperatura ambiente.', '11\nLos puedes combinar en un recipiente, en una licuadora o en un procesador.', '12\nEl aceite se añade para lograr la emulsión que será la mayonesa.']","Valoración: 3,4 (18 votos)","['1 yema de huevo', '1/2 cucharadita de sal', '1 cucharada de jugo de limon', '1 cucharadita de agua caliente', '1 taza de Aceite de Oliva Extra Virgen Goya', '1 pizca de pimienta cayena (si lo deseas)']",https://www.recetasgratis.net/receta-de-mayonesa-criolla-6974.html,,,,,,
Salsa criolla,,"['1\nCombine todos los ingredientes en una olla o caldero a fuego moderado por espacio de 20 a 30 minutos.', '2\nMueva periódicamente.']",Valoración: 3 (1 voto),"['1 frasco de salsa para spaguetis RAGU', '1/2 latita de pasta de tomate', '2 cucharada de sofrito', '1/2 cucharada de orégano', '3 hojas de laurel', '1 cucharada de aceite de oliva', '1 sobre concentrado de jamón', '1 cucharada de azúcar granulada', '1/2 taza de vino tinto (OPCIONAL)']",https://www.recetasgratis.net/receta-de-salsa-criolla-6966.html,,,,,,
aderezo para ensalada.,,"['1\nse coloca el azucar a fuego medio a que se haga caramelo, se vierte el ajonjoli para que estos queden garapiñados se dejan enfriar, mientras tanto se mezcla el chorrito de vino, con el vinagre y la miel de abeja, se vate muy bien, y se deja reposar, se le agrega la pimeineta y la sal a la ensalalada, y se le añade la mezcla, y para adornar se le espolvorea el ajonjoli garapiñado.']","Valoración: 3,8 (23 votos)","['1 1/4 de tza miel de abeja', '1a tza ajonjoli', '3 1/4 de tza vinagre de manzana (dulce)', 'menos de 1 1/4 tza vino blanco y/o rosado', 'pimienta negra al gusto', 'sal', 'azucar al gusto']",https://www.recetasgratis.net/receta-de-aderezo-para-ensalada-31358.html,,,,Dificultad alta,,
Chimichurri casero,,"['1\nSe pica las hojas del perejil sin el tallo, lo mismo que la cebolla, el pimentón y el ajo. Picar todo lo más pequeño posible sin licuar, luego mezclar con los demás ingredientes.', '2\nLa cantidad de aceite dependerá de lo liquido que desees tu salsa. Con el chimichurri ya listo, queda vaciar todo en un recipiente de vidrio y dejar que se integren los sabores reservando en un lugar freso por lo menos dos días.', '3\nPasado este tiempo ya podrás servir la salsa chimichurri como acompañante de cualquier tipo de carne como por ejemplo conejo, costillas o asado.']","Valoración: 3,7 (20 votos)","['1 manojo de Perejil crespo', '1 diente de Ajo', '½ unidad de Pimentón rojo', '½ unidad de Pimentón verde', '½ unidad de Cebolla blanca', '1 chorro de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Orégano seco']",https://www.recetasgratis.net/receta-de-chimichurri-casero-31271.html,1 comensal,15m,Plato principal,Dificultad media,,['Recetas argentinas']
Puré de porotos negros,,"['1\nEl poroto negro que luego de haberse remojado toda una noche, se cocino en tres partes de agua con ajo, laurel y cebollita.', '2\nSe deja enfriar y se licua agregandole aceite, vinagre, sal, pimienta y lo que tu imaginación te dicte.', '3\nHe probado a mezclarlo con pure de papas por ejemplo', '4\nEsta salsa de porotos negros es ideal para acompañar carnes y verduras crudas.', '5\nTambién lo uso para tapeos y tacos. Y como reemplazo de la mayonesa en sandwiches.']","Valoración: 3,8 (20 votos)","['Poroto negro', 'Agua', 'Ajo', 'Laurel', 'Cebollita', 'Aceite', 'Vinagre', 'Pimienta']",https://www.recetasgratis.net/receta-de-pure-de-porotos-negros-31261.html,,,,Dificultad alta,,
Pico de gallo puertoriqueño para tacos,,"['1\nPonga el tomate, el chile, la cebolla, el ajo, el cilantro y 2 cucharadas de jugo de lima en un tazón (recipiente) mediano.', '2\nSazone con sal y pimienta y mezcle bien, Sazone con mas jugo de lima y sal si asi lo desea.', '3\nEsta receta se combina con galletitas saladas , tacos o como usted guste.']","Valoración: 3,3 (15 votos)","['2 tomates madurospicados finos', '3-3 chiles jalapeños frescos picados finos', '1 cebolla pequeña, picada fina', '1 diente de ajo, picado en trocitos', '1/4 taza de cilantro fresco picado fino 2-3 cucharadas de jugo de lima (limón verde)', 'sal', 'pimienta negra molida']",https://www.recetasgratis.net/receta-de-pico-de-gallo-puertoriqueno-para-tacos-31183.html,,,,,,
Salsa vinagreta con Thermomix,"La salsa vinagreta es un salsa muy conocida y utilizada en todo el mundo, que tiene como ingrediente principal al vinagre o cualquier otro líquido ácido (como el zumo de limón), y que se utiliza en una gran variedad de platos de carne, pescado, verduras, mariscos, etc... Normalmente la salsa vinagreta se puede acompañar con verduras cortadas en brunoise o con algún elemento en salazón o encurtido como las anchoas o los pepinillos en vinagre, pero en esta ocasión, en RecetasGratis.net te vamos a enseñar a hacer una salsa vinagreta con Thermomix de una manera rápida y sencilla, con cebolla, pimiento rojo y pimiento verde.","['1\nLo primero que tenemos que hacer para hacer esta sencilla salsa vinagreta con Thermomix es reunir todos los ingredientes necesarios.', '2\nEl siguiente paso que puedes hacer para ahorrar tiempo e ir más rápido es poner a agua a hervir y cocer los huevos unos 12 minutos para que queden duros.', '3\nA continuación, el próximo paso es cortar las verduras en aros, así que lava un poco los pimientos, pela y lava la cebolla, y después, córtalo todo en aros o rodajas.', '4\nLuego quítale la cáscara a los huevos y mételos junto con todos los otros ingredientes y verduras en la Thermomix y pícalos a velocidad 3 ½, hasta conseguir el tamaño deseado.', '5\n¡Y eso es todo! Si quieres puedes añadir a la salsa vinagreta con Thermomix unos palitos de cangrejo como ingrediente extra, o puedes probar a hacer otras salsas como la salsa de cilantro, la salsa de laurel o la salsa pesto con piñones.']","Valoración: 3,3 (15 votos)","['½ unidad de Pimiento verde', '½ unidad de Pimiento rojo', '1 unidad de Cebolla', '2 unidades de Huevo', '1 rama de Perejil (hojas)', '2 cubiletes de Aceite de oliva', '1 cubilete de Vinagre', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-salsa-vinagreta-con-thermomix-30848.html,2 comensales,15m,,Dificultad baja,,[]
Salsa templada para ensaladas y verduras con Thermomix,"Preparar una salsa templada para ensaladas y verduras templadas con Thermomix nunca había sido tan fácil gracias a RecetasGratis.net. ¿Quién dijo que las ensaladas solo se podían aderezar con aceite, vinagre y sal? Pues con esta receta que os proponemos nunca más os aburriréis a la hora de aderezar un buen plato de verduras o de hojas verdes. No te pierdas este paso a paso y aprende a elaborar una sencilla y rápida salsa templada para ensaladas y verduras templadas con Thermomix .","['1\nPara elaborar esta receta de salsa templada para ensaladas y verduras con Thermomix lo primero que tenemos que hacer es reunir todos los ingredientes.', '2\nDespués tritura las nueces en el vaso de Thermomix durante unos segundos y a velocidades 5-7-9 progresivo, para conseguir una buena textura en nuestra salsa templada para ensaladas y verduras con Thermomix. Luego retira las nueces del vaso y resérvalas para más tarde.', '3\nA continuación, pon el resto de los ingredientes en el vaso y programe 4 minutos, a una temperatura de 60ºC y a velocidad 4.', '4\nSeguidamente, añade las nueces reservadas y programa 1 minuto a la misma temperatura de 60ºC y a velocidad 1.', '5\nPor último, calienta a fuego lento tu salsa templada para ensaladas y verduras con Thermomix y sírvela caliente o templada en tus platos preferidos. Puedes utilizar esta salsa para ensaladas de endibias, espárragos, achicoria, repollo, lechuga, etc. o para hacer las siguientes recetas que a continuación te recomendamos:Ensalada primaveralAlcachofas con verdurasEnsalada Niçoise', '6\nY con verduras cocidas.']","Valoración: 3,5 (17 votos)","['150 gramos de Aceite', '50 gramos de Mantequilla', '50 gramos de Salsa de soja', '3 cucharadas soperas de Mostaza', '70 gramos de Nueces', 'Tabasco (al gusto)']",https://www.recetasgratis.net/receta-de-salsa-templada-para-ensaladas-y-verduras-con-thermomix-30844.html,4 comensales,10m,,Dificultad baja,,[]
Salsa para pollo con Thermomix,,"['1\nPonga todos los ingredientes del apartado A en el vaso y programe 30 minutos, temperatura Varoma, velocidad 1 (Se pondrá el recipiente con el pollo sobre la tapadera para que se haga al mismo tiempo).', '2\nCuando termine, añada la nata, sal y pimienta, y triture durante 20 segundos en velocidad máxima.', '3\nA continuación programe 7 minutos, 100º, velocidad 2.', '4\nRectifique de sal y sírvala caliente.']","Valoración: 3,3 (15 votos)","['600 gramos de Vino', '200 gramos de Zumo de naranja', '70 gramos de Orejones', '70 gramos de Ciruelas pasas sin hueso', '360 gramos de Nata para cocinar o crema de leche', '2 latas pequeñas de Nata la Lechera para cocinar', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-para-pollo-con-thermomix-30835.html,8 comensales,45m,,Dificultad media,,[]
Salsa de tomate con Thermomix,Sigue esta receta con Thermomix paso a paso y aprende cómo preparar una salsa de tomate casera de forma fácil y rápida. La salsa de tomate con Thermomix es una de esas recetas que debes tener en tu recetario para prepararlo en cualquier ocasión.,"['1\nHacer esta salsa es muy fácil, lo primero que tienes que hacer es colocar el aceite, la cebolla, el ajo y la zanahoria en el vaso de la Thermomix y triturar por 10 segundos a velocidad 5.', '2\nA continuación, limpia las paredes ayudándote con la espátula y vuelve a programar por 3 minutos con 100º de temperatura y a velocidad 2.', '3\nAgrega el tomate, sazona con un poco de sal y pimienta y programa por 30 minutos, nuevamente a temperatura 100º y velocidad 1.', '4\nPasado este último proceso de cocción con la Thermomix ya la salsa de tomate está lista, pero si deseas modificar la textura puedes triturar por 20 segundos a velocidad 8.', '5\nDisfruta de la la salsa de tomate con Thermomix con tu plato de pasta favorito o utilízala para cocinar una carne guisada o una estupenda pizza casera.']",Valoración: 4 (10 votos),"['1½ kilogramos de Tomate triturado de lata', '100 gramos de Cebolla', '1 diente de Ajo', '1 unidad de Zanahoria', '1 cucharadita de Azúcar', '½ cubilete de Aceite', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-salsa-de-tomate-con-thermomix-30829.html,1 comensal,30m,Acompañamiento,Dificultad baja,,[]
Salsa de roquefort con Thermomix,"El roquefort es un queso de oveja azul que proviene de la región francesa de Causses del Averyon. Este tipo de queso es muy reconocido a nivel mundial pero no le gusta a todo el mundo ya que tiene una sabor fuerte muy particular y un olor a moho intenso. Si eres de los que ama que ama los quesos azules, no te pierdas esta receta de salsa de roquefort con Thermomix que te presentamos en RecetasGratis.net.","['1\nEl primer paso para preparar esta salsa de roquefort con Thermomix es reunir todos los ingredientes necesarios. Asegúrate de quitar bien la piel del queso roquefort en el caso de que lo hayas comprado en cuña. Si lo has comprado en lonchas no será necesario.', '2\nA continuación, echa todos los ingredientes menos la pimienta negra molida en el vaso de Thermomix y prográmala 6 minutos a una temperatura de 85ºC y a velocidad 4.\nTruco: Si prefieres que la salsa te quede más cremosa y sabrosa, mejor utiliza nata líquida en lugar de leche.', '3\nUna vez esté todo mezclado, añade la pimienta negra molida al gusto y vuelve a triturara la salsa 10 segundos más hasta que encuentres el punto deseado de pimienta. Si quieres puedes añadir más y repetir la misma operación.', '4\nPor último, sirve tu salsa roquefort con Thermomix en un cuenco y ¡disfrútala! Que sepas que combina genial con casi todas las carnes y algunas verduras como :Solomillo al roquefortEntrecot al roquefortEndivias con roquefort y jamónEnsalada de roquefort y manzana']",Valoración: 4 (15 votos),"['200 gramos de Roquefort o queso azul', '2 Huevos', '400 gramos de Leche o nata líquida', '1 pizca de Pimienta negra molida']",https://www.recetasgratis.net/receta-de-salsa-de-roquefort-con-thermomix-30827.html,4 comensales,10m,Acompañamiento,Dificultad baja,,[]
Salsa de queso cabrales con Thermomix,"La salsa de queso cabrales con Thermomix es perfecta para acompañar todo tipo de carnes y pescados, puesto que su intenso sabor aporta a estos alimentos un contraste espectacular. Y es que para los amantes de los quesos no hay nada mejor que una crema de queso azul para condimentar las comidas, ya que además de encajar con carnes y pescados, también es ideal para ensaladas y verduras crudas a modo de dip.Con la Thermomix podemos tener recetas listas en menos de 10 minutos, y sin apenas haber invertido esfuerzo en ellas. De esta forma, podemos invertir el tiempo ganado en otras tareas u ocupaciones, y elaborar recetas fáciles y deliciosas a la vez. Quédate en RecetasGratis y descubre cómo hacer salsa de cabrales con Thermomix para darle un toque de sabor diferente a tus comidas.","['1\nHacer salsa de queso cabrales con Thermomix es muy fácil y rápido, puesto que te llevará menos de 10 minutos. Para ello, lo primero que debes hacer es dejar listos todos los ingredientes y comprobar que no te falta ninguno. En este sentido, si no dispones de queso cabrales, puedes emplear otro similar como el roquefort.', '2\nUna vez que lo tienes todo listo, ¡ya puedes preparar tu salsa de queso para carne y pescado! Para hacerla, simplemente debes introducir en el vaso de la Thermomix todos los ingredientes, es decir, la crema de leche, el requesón, la leche, la mantequilla, la maicena para espesar, el queso cabrales, el coñac, la sal y la pimienta al gusto.', '3\nCuando estén todos los ingredientes en el vaso, para preparar la salsa de queso cabrales con Thermomix programa la máquina para 7 minutos a 100 ºC y velocidad 4. Pasado el tiempo establecido, prueba la salsa y rectifica sabor con sal si lo consideras necesario.', '4\n¡Listo! Ya puedes servir la salsa de queso cabrales con Thermomix para acompañar un filete de atún a la plancha, por ejemplo, un steak al horno, la ensalada que más te guste o verduras, en su versión cruda o cocinada.']","Valoración: 3,5 (18 votos)","['1 cubilete de Nata o crema de leche', '100 gramos de Requesón', '100 gramos de Leche', '1 cucharada sopera de Mantequilla', '1 cucharada sopera de Maicena', '100 gramos de Queso cabrales', '1 chorro de Coñac', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-de-queso-cabrales-con-thermomix-30822.html,2 comensales,10m,Acompañamiento,Dificultad baja,,[]
Salsa a la pimienta verde con Thermomix,"La salsa de pimienta verde es una de las salsas más clásicas con las que se suelen acompañar carnes, pero lo cierto es que esta deliciosa salsa sirve para acompañar verduras e incluso algunos pescados. Sigue el paso a paso de esta receta fácil y disfruta de la deliciosa salsa de pimienta verde con Thermomix.","['1\nPara empezar a preparar esta salsa de pimienta, aparta los siguientes ingredientes: la pimienta verde, la pastilla de caldo y la nata. El resto de ingredientes colócalos dentro del vaso de la Thermomix y programa por 6 segundos a velocidad 3 1/2.', '2\nPasado este tiempo, vuelve a programar por 7 minutos a velocidad 4 pero con temperatura de 100º.\nTruco: Si quieres sentir los trozos de champiñones en la salsa programa a velocidad 1 en vez de 4.', '3\nA continuación, añade el resto de los ingredientes apartados, con sola la mitad de la pimienta, y programa la Thermomix por 8 minutos repitiendo la temperatura de 100º y la velocidad 4.', '4\nPara terminar la salsa de pimienta, incorpora el resto de la pimienta verde en el vaso y programa 3 minutos más, bajando a 90º la temperatura y la velocidad a 1. La velocidad 1 es para que no tritura por completo la pimienta.', '5\nLa salsa de pimienta con Thermomix la puedes conservar en la nevera por un par de días y combinarla con cualquier tipo de carne a la parrilla como una punta de anca o un lomo ancho.']","Valoración: 3,6 (8 votos)","['50 gramos de Pimienta verde', '150 gramos de Champiñones (blanqueados en limón)', '1 unidad de Cebolla mediana', '1 unidad de Puerro (la parte blanca)', '1 diente de Ajo', '3 cubiletes de Nata líquida o Crema de leche', '1 unidad de Pastilla de caldo de carne o pollo', '2 cucharadas soperas de Mantequilla', '1 cucharada sopera de Aceite']",https://www.recetasgratis.net/receta-de-salsa-a-la-pimienta-verde-con-thermomix-30820.html,4 comensales,30m,Acompañamiento,Dificultad baja,,[]
Salsa tres quesos con Thermomix,"El queso roquefort, el queso parmesano y el queso emmental son tres tipos de queso muy diferentes pero que dan muy buen sabor si los combinas juntos. Por eso, hoy en RecetasGratis.net te vamos a enseñar a hacer esta salsa tres quesos con Thermomix de una manera muy fácil y rápida, y con muy pocos ingredientes. Además, es un salsa que podrás usar para muchísimos platos de carnes, como por ejemplo el lomo en salsa de queso o el solomillo en salsa de queso; pero también para platos con verduras, arroz o pastas como los fetuccini en salsa de tres quesos.","['1\nLo primero que tenemos que hacer para preparar esta deliciosa receta de salsa tres quesos con Thermomix es reunir todos los ingredientes necesarios.', '2\nEl siguiente paso es coger el vaso de la Thermomix e introducir los huevos (sin cáscara), la nata líquida, el queso roquefort, el queso emmental y el queso parmesano.', '3\nA continuación, programa la Thermomix durante 6 minutos a una temperatura de 85ºC y a velocidad 4.', '4\nUna vez está todo mezclado, vuelca la salsa tres quesos enseguida en un cuenco, y añade sal y pimienta al gusto. Remuévela bien ¡y listo!Esta salsa tres quesos con Thermomix queda estupenda con verduras gratinadas al horno (coliflor, alcachofas, judías verdes....). También puedes ponérsela a todo tipo de pastas al horno (macarrones, espaguetis...) o a un arroz gratinado con verduras.']","Valoración: 3,5 (17 votos)","['50 gramos de Roquefort u otro queso azul', '75 gramos de Queso parmesano', '75 gramos de Queso emmental', '2 unidades de Huevo', '400 mililitros de Nata líquida', '1 pizca de Pimienta blanca molida', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-salsa-tres-quesos-con-thermomix-30819.html,4 comensales,10m,Acompañamiento,Dificultad baja,,[]
Mojo picón rojo con Thermomix,"El mojo picón es una salsa tradicional de las Islas Canarias, España, y se caracteriza por aportar un toque de picante a las comidas que acompaña. Existe dos tipos de mojo picón, el verde y el rojo, aunque en esta receta mostraremos el paso a paso para aprender a elaborar la segunda opción.Quédate en RecetasGratis y descubre cómo hacer mojo picón rojo con Thermomix, una salsa ideal para acompañar todo tipo de carnes y pescados, así como las típicas papas arrugadas canarias. Cuando veas lo fácil y rápido que es elaborarlo con este popular robot de cocina, ¡no querrás dejar de hacerlo!","['1\nAntes de ponernos manos a la obra con la receta de mojo picón en Thermomix, dejamos listos todos los ingredientes. Para ello, troceamos los tomates maduros y los escurrimos antes de utilizarlos. Luego, limpiamos el pimiento rojo retirando el tallo y las semillas que se encuentran en su interior. Retiramos también el tallo de la guindilla.', '2\nAhora que lo tenemos todo listo, añadimos en el vaso de la Thermomix todos los ingredientes y los trituramos durante 3 minutos a velocidad 9.', '3\nPasado el tiempo anterior, programamos la máquina para un minutos más a velocidad 6-9. ¡Listo! Servimos el mojo picón rojo con Thermomix en una salsera para que cada comensal se añada la cantidad que quiera. Es típico servir esta salsa para condimentar papas arrugás, aunque también es ideal para carnes y pescados, como pollo a la plancha.']","Valoración: 3,4 (16 votos)","['1 Pimiento rojo mediano', '3 Tomates maduros', '1 cabeza de Ajos pelados', '½ cucharadita de Orégano', '½ cucharadita de Comino', '1 cucharadita de Sal', '1 cucharadita de Pimentón dulce', '1 Guindilla pequeña', '250 mililitros de Aceite', '250 mililitros de Agua', '50 mililitros de Vinagre']",https://www.recetasgratis.net/receta-de-mojo-picon-rojo-con-thermomix-30809.html,2 comensales,10m,Acompañamiento,Dificultad baja,,['Recetas españolas']
