title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Crema de Brócoli y Zanahoria,"La crema de brócoli y zanahoria es un plato saludable, nutritivo y muy bajo en calorías, puesto que la vamos a preparar con agua en lugar de leche. Así mismo, se trata de una receta que se presta a múltiples variaciones, pudiendo hacer crema de brócoli, zanahoria y puerro, crema de brócoli y zanahoria con patata o crema de brócoli, zanahoria y cebolla, por ejemplo.En RecetasGratis vamos a mostrar nuestra receta de crema de zanahoria y brócoli e iremos indicando en cada paso cómo sustituir ingredientes o qué otras verduras se pueden añadir. Además, cocinaremos los vegetales en la olla express para ahorrar tiempo, pero también daremos los tiempos de cocción de la olla convencional. Así pues, sigue leyendo para descubrir con nosotros cómo hacer crema de brócoli y zanahoria de todas las formas posibles.","['1\nLava y corta todas las verduras. Vierte el litro de agua en la olla y añade el puerro, la zanahoria pelada y el calabacín. Si quieres que tu crema de brócoli y zanahorai tenga más sabor a zanahorai, añade 3 o 4 piezas en lugar de 2. Así mismo, puedes sustituir el calabacín por 2 patatas o utilizar medio calabacín y 1 patata.', '2\nAgrega las acelgas y el brócoli, así como sal al gusto y un chorrito de aceite. Recuerda retirar los filamentos transparentes de las acelgas para que la crema quede homogénea. Y si prefieres no agregar este ingrediente, puedes eliminarlo directamente de la receta o sustituirlo por espinacas.\nTruco: Puedes añadir más agua si quieres, ya que aunque no utilices luego todo el líquido, te quedará un caldo de verduras delicioso.', '3\nTapa la olla y cuenta unos 15 minutos de cocción en olla rápida y unos 30 minutos en olla normal, en ambos casos a fuego medio-bajo. Pasado el tiempo, retira las verduras con una espumadera para colocarlas en otro recipiente.\nTruco: Si haces la crema de brócoli y zanahoria en olla express, saca todo el vapor antes de abrirla.', '4\nAñade la mitad del caldo y tritura con una batidora eléctrica de mano. También puedes triturar las verduras en la licuadora. El caldo restante será un caldo de verduras depurativo y delicioso, de manera que puedes reservarlo para tomarlo caliente y depurar tu organismo o para elaborar otras recetas con él. Si quieres, puedes utilizar 2 litros de agua en lugar de 1 para obtener una mayor cantidad de caldo.\nTruco: Si quieres que la crema quede más líquida, ve añadiendo más caldo pero siempre poco a poco.', '5\nPuedes servir la crema de brócoli y zanahoria fría o caliente. Como ves, esta crema de brócoli y zanahoria sin leche es ligera, saludable y buenísima. La zanahoria aporta un extra de suavidad y sabor a la crema, igual que el brócoli y el calabacín. No obstante, recuerda que puedes adaptar los ingredientes a tu gusto. Al modificar las cantidades o los alimentos que añadas, el color del crema cambiará. Por ejemplo, si usas más vegetales verdes, como en nuestro caso, el color será más verdoso, mientra que si agregas más zanahoria, el color tenderá a ser más naranja.']",,4 comensales,30m,Cena,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa']","['1 brócoli', '2 zanahorias', '1 calabacín', '1 puerro', '½ manojo de acelgas', '1 pizca de sal', '1 chorro de aceite de oliva', '1 litro de agua']",https://www.recetasgratis.net/receta-de-crema-de-brocoli-y-zanahoria-73848.html
Receta FÁCIL y LIGHT,"La crema de cilantro es muy fácil de hacer, está deliciosa y es muy nutritiva. Además, puede servirse tanto fría como caliente, de manera que es ideal para cualquier época del año. En apenas 15 minutos tendremos listo un plato para cenar o para acompañar cualquier tipo de carne, pescado o elaboración vegetariana en caso de seguir este tipo de alimentación.El cilantro es una hierba que aporta muchísimo sabor a los platos, por ello es muy utilizada en una infinidad de recetas. Así mismo, adopta un especial protagonismo en las gastronomías en las que las especias son muy utilizadas, como la cocina mexicana o la cocida india. Si eres de los que adoran este tipo de sabores, la crema que compartimos en RecetasGratis te encantará. Por ello, te invitamos a seguir la receta con atención para descubrir con nosotros cómo hacer crema de cilantro.","['1\nPon una cazuela a calentar con un trozo de mantequilla y añade cebolla cortada en cubos, rehógala y remueve. Deja que se quede la cebolla transparente para poder seguir con la receta.', '2\nVierte el brandy y ve removiendo mientras lo agregas. Es muy importante añadirlo con mucho cuidado para que no se prenda. Una vez añadido por completo, pasa al siguiente paso inmediatamente.', '3\nAgrega el vaso de agua y baja el fuego si lo tienes alto. Tapa la cazuela y deja que cueza todo durante 2 minutos en cuanto rompa a hervir.', '4\nPasados los dos minutos, añade una pastilla de caldo desmenuzada y sigue removiendo para que se integre bien todo. Si quieres hacer la crema de cilantro con pollo, opta por usar una pastilla con este sabor. Ahora bien, si prefieres una crema de cilantro vegana, mejor utiliza una pastilla de caldo de verdura.También puedes añadir directamente caldo de pollo o caldo de verduras reduciendo la cantidad de agua para compensar el líquido total.', '5\nCorta con las manos o las tijeras las ramas de cilantro y deposita los trozos en la cazuela, dejando que cueza tapado durante 3 minutos. Con eso bastará mientras vas realizando los siguientes pasos.\nTruco: No dejes que el cilantro cueza más tiempo del necesario o perderá su color verde intenso y la frescura de su sabor.', '6\nAñade el queso crema, remueve y cuece durante 1 minuto más. Si no te apetece queso crema puedes sustituirlo por otro queso de tipo cremoso, pero nunca un queso con demasiado sabor o la crema de cilantro no será tan intensa.', '7\nAgrega la crema de soja o nata para cocinar y retira del fuego la cazuela. Ya solo tienes que pasar la preparación por un procesador o triturarlo todo con una batidora eléctrica de mano.\nTruco: Para hacer una crema de cilantro light, recomendamos optar por crema de soja o sustituir este ingrediente en su totalidad por agua o caldo.', '8\nSirve la crema de cilantro bien calentita, acompañada de tostones de pan. Otra opción totalmente válida es servir pollo con crema de cilantro por encima, pasta o pescado, ya que encaja a la perfección con todas estas recetas. Así pues, no dudes en cocinar unos filetes de pechuga a la plancha, en hervir un poco de pasta o asar el pescado que más te guste al horno.']",Valoración: 3 (2 votos),2 comensales,15m,Cena,Dificultad baja,,"['Recomendada para vegetarianos', 'Receta sin azúcar', 'Recetas al vapor']","['1 manojo de cilantro', '½ cebolla dulce', '1 pastilla de caldo de pollo o verduras', '1 vaso de agua', '1 vaso pequeño de queso crema light', '1 cucharada sopera de mantequilla', '200 mililitros de crema de soja o nata', '3 cucharadas soperas de brandy']",https://www.recetasgratis.net/receta-de-crema-de-cilantro-73789.html
¡Receta FÁCIL y DELICIOSA!,"Las cremas siempre sientan muy bien y más cuando hace frío, pues templan nuestro cuerpo a la vez que nos llenan fácilmente. Esta receta de crema parmentier no es la excepción, se trata de una crema cuyo ingrediente principal es la patata y es muy sencilla de preparar. Su hermano, el parmentier de patata, es también un acompañante excelente para cualquier almuerzo.Asimismo, la crema parmentier es una receta francesa parecida a la crema vichyssoise, pero utiliza menos puerro en sus ingedientes. Al igual que su paisana, puede consumirse como entrante o durante las cenas, así como también puede disfrutarse fría durante el verano. Agrega esta preparación a tu menú de exquisitos entrantes, acompáñanos en RecetasGratis y descubre cómo hacer crema parmentier.","['1\nCalienta aceite de girasol en una olla honda e introduce la patata cortada en rodajas muy gruesas. Ve removiendo a fuego suave para que suelte el almidón y no se dore sino que más bien vaya reblandeciéndose.', '2\nPasados 5 minutos, añade el puerro cortado a trozos, pero solo la parte blanca. Reserva la parte verde para aprovecharla al final de la receta. Remueve y rehoga hasta que el puerro tome color.', '3\nVierte el caldo de pollo en la olla, tápala y deja cocer al vapor durante 15 minutos aproximadamente. Verás que la patata queda deshecha y suave.\nTruco: Si no tienes caldo de pollo, también puedes utilizar agua y añadir sal.', '4\nMientras se cuece la patata y el puerro, corta tiritas de las ramas verdes del puerro que habías apartado. Añade aceite a una sartén y saltea las tiras de puerro sin dejar que se quemen. Apártalas cuando ya estén hechas y déjalas sobre papel de cocina para que absorban el exceso de aceite.', '5\nCuando ya tengas la cocción de la patata y el puerro casi listos, ve añadiendo un poco de sal y pimienta, remueve y deja 2 minutos más.', '6\nAgrega la leche evaporada y aparta del fuego. Toma una trituradora o procesadora de alimentos y tritura hasta que te quede una crema superfina y untuosa.', '7\nAhora, el factor sorpresa: toma las tiras de puerro que tenías apartadas y añádelas a tu crema parmentier. Decorará el plato y, a su vez, le dará un punto delicioso a cada cucharada.']","Valoración: 4,5 (2 votos)",2 comensales,30m,Entrante,Dificultad baja,,['Recetas al vapor'],"['1 patata grande', '2 puerros', '1 vaso de caldo de pollo', '1 pellizco de sal y pimienta', '1 vaso de leche evaporada', '3 cucharadas soperas de aceite de girasol']",https://www.recetasgratis.net/receta-de-crema-parmentier-73787.html
"Receta FÁCIL, SALUDABLE y Económica","Sopa de champiñones, una receta rica y sencilla, ideal para una cena ligera. Este es un plato calentito que nos permite regular la temperatura y recuperar la energía a la vez que disfrutamos de una receta deliciosa. Además, esta sopa es muy sencilla y perfecta para los amantes de las setas porque contiene todo el sabor de los champiñones. Por otro lado, se trata de una sopa muy versátil, ya que también podemos servirla a modo de entrante durante el almuerzo o la comida. Por último, cabe destacar que es económica, nutritiva y depurativa. ¿Qué más podemos pedir? Si tú también quieres aprovecharte de todas sus bondades, sigue leyendo y descubre en RecetasGratis cómo hacer sopa de champiñones.","['1\nPela y pica la cebolla y el ajo en trozos muy pequeños. Estos ingredientes aportan un extra de sabor a la sopa de champiñones y potencian sus propiedades depurativas, pero si prefieres no notar su textura, puedes triturarlos.', '2\nPon una cazuela al fuego con un chorro de aceite y añade la cebolla y el ajo para pocharlos.', '3\nCorta los champiñones en trozos pequeños y agrégalos a la cazuela. Remueve y deja que se cocinen estos ingredientes hasta que las setas cojan un poco de color.\nTruco: Deja algunos trozos más grandes para notarlos en la sopa.', '4\nCuando esté todo pochado, vierte el caldo. Puedes utilizar caldo de verduras para preparar la sopa de champiñones vegana o hacer la sopa de champiñones con pollo agregando caldo de pollo. Y si en estos momentos no dispones de caldo, también puedes añadir agua y una pastilla de consomé. En cualquier caso, deja que la sopa se cocine durante 15-20 minutos a fuego medio-bajo.', '5\nPara que el caldo quede con más consistencia, coge un bol, añade un poco del caldo, la cucharadita de harina y unos cuantos champiñones y tritura.', '6\nEcha todo esto a la cazuela de la sopa y agrega sal y pimienta al gusto. Deja que hierva, prueba y si ves que está a tu gusto apaga el fuego.', '7\nSirve la sopa de champiñones con un poco de perejil espolvoreado por encima. De esta forma es perfecta para cenar porque es ligera y saludable, además de nutritiva. No obstante, también se puede acompañar con un poco de pan, preferiblemente pan integral casero. Ahora bien, ¿qué nutrientes aporta exactamente? ¿Por qué decimos que es depurativa? Lo explicamos a continuación.']","Valoración: 3,7 (3 votos)",2 comensales,45m,Cena,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso']","['250 gramos de champiñones', '1 cebolla', '1 diente de ajo', '1 puñado de perejil', '600 mililitros de caldo de verduras', '1 chorro de aceite', '1 pizca de sal', '1 pizca de pimienta', '1 cucharada postre de harina']",https://www.recetasgratis.net/receta-de-sopa-de-champinones-73755.html
¡Receta Clásica y Rápida!,"El parmentier es una crema de patatas que se utiliza en cocina como crema de acompañamiento de platos principales o como base de otras recetas. Además, es perfecta para adornar diferentes platos, tales como los pasteles salados. Más allá de su versatilidad, la forma más popular de utilizar el parmentier es en el hachis parmentier, también conocido como pastel de pastor, un plato hecho con carne de ternera y con esta receta de parmentier de patata que te presentamos.¿Ya has pensado cómo emplear esta deliciosa y fácil receta de origen francés? Te contamos cuáles son los ingredientes que necesitas y cómo hacer parmentier de patata para que te quede de otro mundo.","['1\nLava las patatas, y ponlas sin pelar en una olla. Cubre con agua y cuece unos 30 minutos o hasta que estén tiernas sin llegar a deshacerse.', '2\nEscurre el agua y déjalas enfriar un poco. Pela las patatas con cuidado de no quemarte. Pon las patatas en un bol amplio y chafa con un tenedor, un prensador o pásalas por un pasapurés, como más cómodo te resulte.', '3\nTrocea la mantequilla, añádela a la patata y mezcla bien.', '4\nAñade la leche caliente poco a poco, no la añadas toda, ve mezclando y busca la textura que más te guste. Si quieres usar el parmentier como puré, necesitarás que quede un poco más espeso. En cambio, si lo quieres usar como crema, déjalo un poco más líquido. Añade también sal y pimienta al gusto.\nTruco: Para conseguir la textura de las fotos hemos empleado justo 60 ml de leche.', '5\nSirve el parmentier de patata caliente o frío, dependiendo de cómo lo quieras usar o disfrutar. También puedes meterlo en una manga pastelera y adornar con él tus platos o decorar pasteles salados.Espero que os haya gustado y os invito a que visitéis mi blog, Cakes para ti.']",,4 comensales,45m,Acompañamiento,Dificultad baja,,[],"['500 gramos de patatas', '15 gramos de mantequilla', '75 mililitros de leche caliente', '1 pizca de sal', '1 pizca de pimienta negra recién molida']",https://www.recetasgratis.net/receta-de-parmentier-de-patata-73748.html
¡Receta Casera FÁCIL!,"Tradicional de la cocina andaluza, esta receta de sopa de picadillo es una delicia culinaria muy popular de las provincias de Sevilla y Almería. Como no existe nada mejor que una sopa para curar los malestares y hacernos sentir cálidos y en casa, en RecetasGratis te queremos contar todos los detalles de su preparación para que consientas a tus seres queridos con un plato muy completo y nutritivo.La sopa de picadillo se hace con muslo de pollo, huevo y vegetales varios. Como suele suceder con todas las recetas de caldos, cada hogar tiene su forma particular de prepararlo, así que te animamos a personalizarla a tu gusto y con tus verduras favoritas. Continúa leyendo, descubre cómo hacer sopa de picadillo y ya verás cómo te la piden en casa muchas veces más.","['1\nEn una olla a presión, pon 2 litros de agua y llévala a ebullición. Mientras tanto, ve añadiendo los ingredientes. Comienza por la carne para que se cueza antes que lo demás. Deja cocinar durante 15 minutos sin tapar.', '2\nAñade las verduras troceadas en mitades, agrega la sal y cierra la olla a presión durante 20 minutos. Luego, saca y reserva la carne y las verduras colando el caldo. Utiliza el caldo para preparar una sopa con fideos o arroz. Cuando esté lista, añade unas hojas de hierbabuena.', '3\nCuece un par de huevos y tuesta o fríe unos cuadritos de pan. Corta unos trocitos de jamón en cubitos pequeños y desmenuza la carne.', '4\nSirve la sopa bien caliente y, en otro plato, sirve el picadillo para que cada comensal lo agregue a su gusto. Si, además, añades trocitos de zanahoria, ¡tu sopa de picadillo quedará riquísima!']","Valoración: 4,5 (4 votos)",4 comensales,45m,,Dificultad baja,,[],"['1 muslo y contra muslo de pollo', '2 ramas de apio', '2 zanahorias', '2 huevos', 'Trocitos de jamón al gusto', '1 rebanada de pan (opcional)', '1 rama de hierbabuena', '1 hueso de rodilla o espinazo', '3 cucharaditas de sal', '1 tallo de puerro', '2 litros de agua']",https://www.recetasgratis.net/receta-de-sopa-de-picadillo-73675.html
Crema de Zanahoria y Patata,"Las cremas siempre son una opción deliciosa y nutritiva para los días en los que queremos disfrutar de una cena ligera o un entrante fácil de digerir. Esta receta de crema de patata y zanahoria no es la excepción. Es una preparación rica y perfecta para los niños, sobre todo si las verduras no son sus favoritas. En RecetasGratis, te contamos todos los detalles de este plato rápido y fácil de hacer. Una receta que podrás acompañar con picatostes o con huevo cocido. Quédate con nosotros y descubre cómo hacer crema de zanahoria y patata.","['1\nPica las zanahorias y las patatas en rodajas. Corta la cebolla en daditos. Pica también el ajo en pedacitos y reserva.', '2\nEn una olla honda, pon el aceite para rehogar las cebollas hasta que estén transparentes.', '3\nAñade el resto de las verduras y vierte el litro de agua en la olla, junto con la pastilla de Avecrem, la nata líquida y los condimentos. Deja que todo se cocine hasta que las verduras se ablanden.', '4\nVierte todo en una licuadora o trituradora hasta tener la crema de zanahoria y patata lista. ¡Sirve y disfruta!']","Valoración: 4,5 (2 votos)",6 comensales,30m,,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin gluten']","['6 zanahorias', '3 patatas', '1 cebolla', '100 mililitros de nata líquida', '1 litro de agua', '3 cucharadas soperas de aceite de oliva', 'Sal y pimienta al gusto', 'Perejil al gusto', '1 pastilla de Avecrem', '1 diente de ajo']",https://www.recetasgratis.net/receta-de-crema-de-zanahoria-y-patata-73566.html
Receta FÁCIL y RÁPIDA,"La época de castañas es una de las más efímeras del año, por ello debemos aprovecharlas bien cuando llegan y exprimirlas al máximo preparando deliciosas recetas como esta. A todos nos encanta sentir el olor de las castañas asadas que se venden en la calle, comprar una paperina y disfrutar comiéndolas calientes, y es precisamente con estas castañas con las que haremos la receta que compartimos a continuación. En esta oportunidad te enseñamos a preparar un sencillo puré de castañas en un santiamén, que podrás usar para acompañar platos de carne asada o a la parrilla. Este mismo puré se puede hacer dulce para rellenar y cubrir una tarta. Por todo ello, se trata de una receta sofisticada con múltiples posibilidades. En cualquier caso, acentuaremos los sabores sin desvirtuar el aroma de las castañas.Mostramos todos los trucos y recomendaciones para adaptar la receta en los distintos pasos, de manera que sigue leyendo para descubrir cómo hacer puré de castañas asadas.","['1\nPara empezar con la receta de puré de castañas, primero debes saber que si no encuentras castañas asadas, lo primero que deberás hacer es asar las castañas al horno haciendo un corte cada una de ellas y horneándolas durante 25 minutos a 180-200 ºC. Pélalas cuando estén.\nTruco: también puedes escaldarlas durante 2 minutos en agua hirviendo. Luego, sumérgelas en agua fría y pélalas con un cuchillo.', '2\nLleva a ebullición el medio vaso de agua con la pastilla de caldo de verduras ya disuelta. Cuando hierva, agrega las castañas, tapa la olla y cocina durante 10 minutos. Si pasado este tiempo las castañas siguen duras, cocínalas 5 minutos más. En este caso, es posible que sea necesario agregar un poco más de agua.\nTruco: a la hora de decidir la cantidad de líquido que se añade es importante tener en cuenta que este tipo de purés se espesan mucho al enfriarse. Para que quede más ligero, bastará con añadir un chorrito de agua y calentar a fuego lento.', '3\nIncorpora la crema de soja y cocina a fuego lento durante 5 minutos, removiendo despacio pero de forma constante para evitar que se corte. No debe llegar a hervir.\nTruco: también puedes usar crema de leche e, incluso, crema de coco para dar al puré de castañas un toque diferente.', '4\nAparta la olla del fuego y deja que la preparación se entibie. Bate los ingredientes con una batidora eléctrica de mano, en la licuadora o un vaso batidor para obtener el puré de castañas. La consistencia del puré es al gusto, aunque cabe destacar que lo habitual es que quede bastante espeso. Si quieres que quede más ligero, simplemente añade un poco de agua. ¡Ya casi está la receta de puré de castañas!\nTruco: otra forma de aligerar el puré de castañas es añadiendo un poco más de crema de soja o de leche.', '5\nAhora que sabes cómo hacer puré de castañas, ten en cuenta que el puré queda más cremoso cuando está caliente (como se observa en la imagen), pero espesa considerablemente conforme se enfría. De esta forma, si quieres servirlo frío o templado puedes añadir un poco más de líquido. Así mismo, puedes incrementar la cantidad de castañas si quieres obtener una consistencia todavía más espesa. Lo importante es encontrar el punto que nos guste.']",,4 comensales,30m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['12 castañas asadas y peladas', '100 mililitros de crema de soja (también se puede usar crema de leche)', '1 pastilla de caldo vegetal disuelta en 1/2 vaso de agua', '1 pellizco de pimienta blanca (opcional)']",https://www.recetasgratis.net/receta-de-pure-de-castanas-73481.html
"¡Receta Fácil, Cremosa y Light!","La calabaza es un alimento delicioso, sano, equilibrado e increíblemente versátil. Suele abundar más en otoño e invierno, pero la encontramos de muchos modos y en cualquier estación. De todos modos, también es posible congelarla para que nos dure un poco más de tiempo a pesar de que la temporada haya acabado.Aunque la receta de sopa de calabaza que preparamos es súper ligera y excelente para dietas para adelgazar, no deja de ser menos deliciosa. La combinación de las verduras y el toque de jamón serrano que le hemos agregado le dan un toque espectacular que la hará la receta perfecta para los días de frío. En RecetasGratis te enseñamos cómo hacer sopa de calabaza, ¡vamos a ello y buen provecho!","['1\nPela y limpia la calabaza. Si ya la has comprado en bolsa y limpia, puedes saltarte esta parte. Córtala en trocitos pequeños para que sea más fácil de cocinar.', '2\nPela y limpia el puerro. Quítale la parte verde, pues solo utilizarás la zona de la cabeza y la parte blanca. Corta en rodajas.', '3\nColoca el aceite de oliva en una cazuela. Agrega primero el puerro y déjalo sofreír un par de minutos a fuego lento.', '4\nSofríe el resto de las verduras y déjalas 3 minutos a fuego medio.', '5\nAñade la calabaza y el caldo de verduras. No le agregues sal, puesto que el caldo ya debe llevarla. Tapa la cazuela y deja cocer 20 minutos a fuego lento.', '6\nTritura bien las verduras para que te quede una sopa de calabaza cremosa. Si es necesario, puedes añadir más caldo.', '7\nEspolvorea un poco de pimentón de la vera y virutas de jamón previamente cocinadas en el microondas por 1 minuto. ¡Emplata y disfruta tu sopa de calabaza y puerro calientita! Si te provocan más recetas saludables con calabaza, tenemos muchas opciones para ti:Calabaza a la planchaCalabaza al horno con canelaMilanesas de calabaza al hornoJugo de zanahoria y naranja con calabaza\nTruco: No te pases con el pimentón o podrías alterar el sabor de la sopa.']",Valoración: 5 (1 voto),2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso']","['300 gramos de calabaza', '1 trozo de hinojo', '1 trozo de apio', '1 pieza de puerro', '1 litro de caldo de verdura', '3 cucharadas soperas de aceite de oliva', '1 cucharada postre de pimentón de la vera', '1 cucharada sopera de de virutas de jamón serrano']",https://www.recetasgratis.net/receta-de-sopa-de-calabaza-73393.html
¡Receta TRADICIONAL!,"En RecetasGratis te traemos una de esos platos que nos fascinan por los detalles de su preparación. La gran variedad de verduras y carnes de esta receta de puchero canario nos regala un plato caldoso delicioso y lleno de nutrientes. Se la dedicamos a nuestros lectores canariones que la preparan con tanto cariño y habilidad, pues la hemos hecho lo más tradicional posible. El puchero canario será la comida perfecta para esos días en los que deseas comer algo de fácil digestión, pero al mismo tiempo muy completo. ¡Acompáñanos y descubre cómo hacer puchero canario!","['1\nAlista los ingredientes del puchero canario. Si necesitas hacer comida para más personas, puedes agregar más ingredientes de forma proporcional.', '2\nEn esta ocasión haremos puchero canario en olla express. Llena la olla de agua, pero no hasta el borde. Lleva el agua a ebullición e introduce los garbanzos y la carne para que se vayan cocinando. Cierra la olla y deja cocer por 20 minutos.', '3\nCorta la zanahoria y la mazorca en trozos grandes. Comenzarás a sentir el aroma inconfundible de este caldo de verduras y carne, ¡pero todavía falta! Agrega sal, cierra la olla y sigue cocinando por 10 minutos.', '4\nSi el caldo se está desbordando, puedes sacar algún hueso o carcasa. De esta forma, tendrás espacio suficiente para agregar el resto de las verduras. Deja cocer 10 minutos más.', '5\nEsta parte es clave en la cocción del potaje canario, se le llama “templar” el puchero. Coge un par de ajos y unos 5 clavos de olor. Asimismo, puedes coger también azafrán o cúrcuma. Machaca todos estos ingredientes y añade media taza de aceite de oliva y media de agua a la mezcla, integra bien e introdúcela en el caldo.', '6\nSirve tu puchero canario colocando los ingredientes por separado: las verduras y los garbanzos por una parte y la carne por otra.']","Valoración: 4,5 (4 votos)",2 comensales,1h 30m,Plato principal,Dificultad media,,"['Receta sin azúcar', 'Recetas españolas']","['1 trozo de costilla de cerdo', '2 patatas pequeñas (papas)', '1 puñado de garbanzos (garbanzas)', '1 cebolla mediana', '1 mazorca de maíz (piña)', '1 calabacín (bubango)', '1 trozo de calabaza', '1 pieza de zanahoria', '1 puñado de judías verdes o habichuelas', '1 col', '1 batata', '1 kilogramo de carne de pollo', '1 trozo de ternera o vaca', '1 trozo de cerdo o cochino', '1 pieza de gallina o carcasas de gallina']",https://www.recetasgratis.net/receta-de-puchero-canario-73311.html
