title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Aros de cebolla rebozados crujientes,,"['1\nPelar la cebolla y cortarla en aros finos.', '2\nPoner en agua fría durante 30 minutos.', '3\nMezclarr la harina, la levadura y la sal. Deshacer la yema de huevo en la leche, añadir el aceite y unirlo con la harina hasta formar una crema pastosa.', '4\nEscurrir y secar los aros, sumergir uno a uno en la pasta y freír en abundante aceite.']","Valoración: 3,4 (55 votos)","['1 cebolla grane', '1 taza de harina', '1 cucharada de levadura en polvo', '1 yema de huevo', '1 vasito de leche', '1 cucharada de aceite', 'Aceite para freír en abundancia', 'sal']",https://www.recetasgratis.net/receta-de-aros-de-cebolla-rebozados-crujientes-24955.html,,,,,,
Apio a la crema,,"['1\nSeparar las ramas del apio del corazón y, con un cuchillo, eliminar todos los filamentos que queden. Picar la cebolla muy fina, el ajo y la parte blanca del puerro.', '2\nRehogarlos con mantequilla. Añadir los trozos de apio y rehogarlos a fuego lento, dándoles la vuelta de vez en cuando. Sazonar con sal y pimienta.', '3\nTaparlo y dejarlo cocer durante 15 minutos. Regarlo con la nata, removerlo, taparlo de nuevo y proseguir la cocción 20 minutos hasta que el apio esté tierno y la salsa espesa.']","Valoración: 3,8 (37 votos)","['1 rama de Gruesa de apio verde o blanco', '1 unidad de Cebolla', '2 dientes de Ajo', '1 unidad de Puerro pequeño', '50 gramos de Mantequilla', '½ vaso de Nata', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-apio-a-la-crema-24951.html,4 comensales,45m,,Dificultad baja,,[]
Antipasto a la griega,,"['1\nSeparar el tallo de las hojas de apio, lavar y quitar lo filamentos de los tallos.', '2\nSaltear en tres cucharadas de aceite de oliva.', '3\nMientras tanto pele los calabacines, córtelos en rodajas.', '4\nCortar la cebolla muy fina.', '5\nAñadir la cebolla y los calabacines al apio.', '6\nDiluir el concentrado de tomate en un vaso de agua.', '7\nAñadir el vino y el tomate a la verdura.', '8\nAgregar las pasas y poner el zumo de los limones sobre la verdura.', '9\nCocinar durante 30 minutos.', '10\nSazonar.', '11\nServir con unas hojas de albahaca por encima.']","Valoración: 3,4 (56 votos)","['1 manojo de apio blanco', '4 calabacines', '1 cebolla', '2 cucharadas de pasas', '2 limones', '1 cucharada de concentrado de tomate', '1 vaso de vino blanco', '6 hojas de albahaca', 'consumé', 'aceite de oliva', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-antipasto-a-la-griega-24949.html,,,,,,
¡Súper crujientes y fáciles de hacer!,"¿Te apetecen unas alcachofas con jamón? Aunque sea un poco entretenido limpiar las alcachofas, es una tarea sencilla y te van a quedar mucho mejor que las alcachofas en conserva (pese a que siempre puedes utilizar estas últimas). Para preparar las alcachofas rebozadas crujientes solo hacen falta, además de alcachofas, un poco de jamón serrano, huevo y pan rallado.Las alcachofas favorecen la flora intestinal y son diuréticas. Además, contienen hierro, magnesio y vitamina C. Es una verdura muy completa e ideal para introducir en una dieta de adelgazamiento. De modo que no dejes escapar este plato de alcachofas rebozadas con crujiente de jamón que te mostramos en RecetaGratis porque va a encantar a todos tus comensales.","['1\nEl primer paso es limpiar las alcachofas para la preparación de las alcachofas rebozadas con jamón. Para ello, comenzamos quitando las hojas exteriores hasta que no quede ninguna verde, dejaremos solo las amarillas. Pelamos un poco la base y el tallo de la alcachofa y le cortamos la parte superior por la mitad en horizontal (toda la parte verde).', '2\nUna vez quitadas todas las hojas, metemos las alcachofas en agua con el zumo de medio limón para que no se oxiden. También puedes pasar el limón directamente por cada alcachofa.', '3\nCuando hayamos terminado de limpiar las hortalizas y pasarlas por limón, cocemos las alcachofas en abundante agua hirviendo con un poco de sal durante 5-7 minutos. Una vez cocidas, escurrimos bien el agua.', '4\nPara preparar el crujiente de jamón, colocamos las lonchas entre dos hojas de papel sulfurizado (papel antiadherente para horno) y tenemos dos opciones:Meter al horno a 200 ºC durante 15 minutos con un recipiente pesado encima.Cocinar al microondas a máxima potencia durante 1 minuto / 1 minuto y medio (también con algún recipiente pesado encima).', '5\nEstas alcachofas rebozadas con huevo se preparan como cualquier otro rebozado. Pasamos las alcachofas por huevo batido y pan rallado, quitando el exceso de pan rallado antes de freírlas.\nTruco: Antes de rebozarlas las hemos cortado por la mitad.', '6\nFreímos las alcachofas rebozadas en abundante aceite de oliva hasta que queden doradas por todas partes. Nosotros las hemos partido por la mitad antes de rebozarlas para que estén más crujientes y se cocinen antes. Una vez fritas, las dejamos reposar sobre papel absorbente.', '7\nServimos las alcachofas rebozadas con jamón crujiente en virutas por encima y, ¡a comer! También puedes elaborar otras opciones, como las alcachofas al ajillo o las alcachofas con almejas.']","Valoración: 3,4 (55 votos)","['6 alcachofas', '2 lonchas de jamón serrano', '1 huevo', '6 cucharadas soperas de pan rallado', '1 pizca de Sal', '1 limón', '300 mililitros de aceite de oliva']",https://www.recetasgratis.net/receta-de-alcachofas-rebozadas-con-jamon-24939.html,2 comensales,30m,Entrante,Dificultad media,,"['Receta sin lactosa', 'Receta sin azúcar']"
Alcachofas guisadas,,"['1\nDisolver la pastilla de caldo concentrado en unos ¾ de litro de agua caliente y reservarlo.', '2\nPoner a dorar los ajos en una cazuela con aceite. Cuando estén ligeramente dorados, retirarlos del fuego y machacarlos en el mortero con el azafrán y las almendras.', '3\nPelar los tomates, rallarlos y rehogarlos en el aceite de freír los ajos. En este mismo aceite verter, junto con el tomate, la parte tierna de las alcachofas, frotadas previamente con el limón. Añadir seguidamente la picada de ajo, azafrán y almendras y el caldo concentrado.', '4\nTapar la cacerola y dejar cocer todo, a fuego moderado, hasta que las alcachofas estén tiernas. Remover de vez en cuando con una cuchara de madera. Probar la salsa y rectificar de sal si es necesario.', '5\nNo olvidar acompañar este plato con un buen pan, ya que la salsa que resulta de la cocción es deliciosa. Cuando apagues el fuego, dejar reposar un poco las alcachofas.']","Valoración: 3,4 (57 votos)","['8 alcachofas', '1/2 kilo de tomates', '10 almendras', '3 dientes de ajo', '8 cucharadas de aceite', '1 pastilla de caldo', '1 limón', 'azafrán', 'sal']",https://www.recetasgratis.net/receta-de-alcachofas-guisadas-24938.html,,,,,,
Alcachofas con chirlas,,"['1\nEn una cazuela plana (mejor si es de barro), se pone el aceite a calentar, se echan los ajos muy finamente picados y se deja que se doren.', '2\nSucedido, a fuego muy fuerte, se echan las almejas y se dejan al fuego removiendo bien la cazuela hasta que se abran.', '3\nUna vez abiertas, se echa un poco del agua de cocer las alcachofas y las mismas alcachofas removiendo con cuidado para que no se rompan y quede una mezcla homogénea.', '4\nSe deja hervir 5 minutos.']","Valoración: 4,3 (8 votos)","['Dos dientes de ajo', '1 Kg. de chirlas', '8 alcachofas', 'Aceite.']",https://www.recetasgratis.net/receta-de-alcachofas-con-chirlas-24932.html,,,,,,
Alcachofas a la provenzal,,"['1\nDespués de limpiar y cortar las alcachofas, ponerlas en el recipiente de agua acidulada para que no se descoloren.', '2\nEn una sartén, calentar 2-3 cucharadas del aceite con la mantequilla. Añadir las alcachofas, sazonarlas con sal, cocinarlas sobre un fuego medio lentamente hasta quedar tiernas y empiecen a tomar un poco de color.', '3\nSacar las alcachofas y tirar el aceite. En el mismo sartén, añadir el aceite restante, añadir los champiñones y cocinarlos hasta que suelten el agua. Añadir el tomate y cocinar un minutos mas. Añadir el ajo, las olivas y las hierbas picadas. Añadir las alcachofas y cocinar a fuego lento unos 5 minutos más. Probar para sal, esparcir con un poco de pimienta y unas hierbas picadas.']","Valoración: 3,3 (54 votos)","['500 gramos alcachofas pequeñas, divididas en cuartos quitándoles el corazón', '1 litro de agua', '2 cucharadas de zumo de limón', '4-6 cucharadas soperas de aceite de oliva', '1 cucharada sopera de mantequilla', '250 gr. de champiñones, cortados en rodajas finas', '1 tomate maduro, pelado, sin semillas y troceado', '2 dientes de ajo picados', '½ taza de aceitunas negras, deshuesadas', '2 cucharadas soperas de estragón fresco, picado', '2 cucharadas soperas de perejil picado', 'sal', 'pimienta negra molida fresca, no de bote']",https://www.recetasgratis.net/receta-de-alcachofas-a-la-provenzal-24928.html,,,,,,
Alcachofas al infierno,,"['1\nSe rellenan las alcachofas poniendo entremedio de las hojas, menta fresca.', '2\nUnas dos hojas por alcachofa.', '3\nSe les rocía aceite de oliva y sal a gusto.', '4\nFinalmente se ponen sobre una parrilla directamente sobre las brasas ( carbones encendidos al rojo pero sin llama).', '5\nSe queman por fuera pero al centro quedan muy sabrosas.']","Valoración: 3,4 (56 votos)","['Alcachofa', 'Aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-alcachofas-al-infierno-24930.html,,,,,,
Alcachofas a la parmesana (Artichauts à la parmesane),,"['1\nLavar y deshojar las alcachofas, para conservar solo los corazones (potitos en chileno). ç', '2\nCortarlos en tajadas pequeñas (a lo ancho).', '3\nCocerlos 5 minutos en agua hirviendo con sal.', '4\nEstrujar y meter en una fuente con el jugo de limón y poner agua fría hasta taparlos.', '5\nDejar 10 minutos.', '6\nDespués se secan y estrujan para pasarlos por la harina.', '7\nFreírlos 5 minutos de cada lado en el aceite de oliva.', '8\nSacarles el aceite poniendo los pedazos en papel absorbente.', '9\nCortar la Mozzarella en tajadas finas.', '10\nEn un recipiente para hornear, poner las frituras de alcachofas y échelo un poco de sal.', '11\nEsparcir el parmesano.', '12\nMeta el recipiente en el horno a 200º C durante 30- 40 minutos.', '13\nSacar cuando el queso este derretido y que la superficie se ponga dorada...', '14\nServir con hojas de lechuga y un poco de zanahoria rallada para el ""look"".']",Valoración: 4 (10 votos),"['5 Alcachofas', '2 limones', '300 g de mozzarella', '150 g de parmesano rallado râpé', '4 cucharadas chicas de harina', 'aceite de oliva', 'sal.']",https://www.recetasgratis.net/receta-de-alcachofas-a-la-parmesana-artichauts-a-la-parmesane-24926.html,,,,,,
Alcachofas a la española,,"['1\nCortar el tallo de las alcachofas y quitarles las hojas exteriores y las puntas.', '2\nSi se frotan enseguida con zumo de limón se evitará que no se pongan oscuros.', '3\nPonerlas a cocer en agua y sal, a la que se le añaden unas corteza de limón.', '4\nCuando estén tiernas, ponerlas a escurrir.', '5\nPoner un poco de aceite en una cazuela y freír lentamente la cebolla picadita sin que tome color.', '6\nCuando esté blanda y dorada, no quemada, agregar la harina y rehogarla.', '7\nAñadir a la cazuela las alcachofas, el vino y el caldo, sazonando con sal y pimienta y dejar que se cuezan despacio unos 10 minutos. Procurar que la salsa queda espesita']","Valoración: 4,1 (15 votos)","['1 pizca de Condimentos', '2 kilogramos de Alcachofas', '1 unidad de Cebolla', '2 cucharadas soperas de Harina', '1 copa de Vino blanco', '1 vaso de Caldo', '1 chorro de Aceite', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-alcachofas-a-la-espanola-24924.html,4 comensales,30m,Entrante,Dificultad baja,,['Recomendada para veganos']
