title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pimientos rellenos de calamar,"Los pimientos del piquillo van muy bien con el bacalao, el atún, los chipirones, los boquerones y todos los crustáceos. Realzan de forma muy especial los platos de huevos, ligan con el arroz, las patatas y las pastas y acomodan a la fragilidad de los hojaldres. Por último, desempeñan un magnífico papel como guarnición.","['1\nLimpia bien los calamares y reserva las tintas.', '2\nPica los ajos, las cebollas y los tomates y ponlos a pochar en la olla rápida con un poco de aceite.', '3\nSazona y agrega los calamares limpios y el vino blanco.', '4\nCierra la olla y cocina todo junto durante 5 minutos.', '5\nRetira los calamares y pícalos finamente. Disuelve las tintas con un poco de sal y agrégalas a la salsa.', '6\nDeja que hierva durante 5 minutos y tritura con la batidora.', '7\nPara la bechamel, pon el aceite en una sartén, agrega la harina y rehoga brevemente.', '8\nVierte la leche poco a poco sin dejar de remover.', '9\nAñade una pizca de sal y otra de nuez moscada.', '10\nIncorpora los calamares picados.', '11\nMezcla bien y deja templar la masa. Introduce la masa en una manga pastelera de plástico y rellena los pimientos.', '12\nColócalos en una placa de horno e introdúcela en el horno hasta que se calienten.', '13\nSirve un poco de salsa negra en el fondo del plato y coloca encima los pimientos rellenos.']","Valoración: 3,3 (24 votos)",4 comensales,30m,Plato principal,Dificultad media,,"['Recetas al horno', 'Recetas españolas']","['16 unidades de Pimientos del piquillo', '¾ kilogramo de Calamares', '2 unidades de Cebollas', '2 unidades de Tomate', '3 dientes de Ajo', '1 vaso de Vino blanco', '1 chorro de Aceite de oliva', '1 pizca de Sal', '½ litro de Leche', '2 cucharadas soperas de Harina', '1 chorro de Aceite de oliva', '1 pizca de Sal', '1 pizca de Nuez moscada']",https://www.recetasgratis.net/receta-de-pimientos-rellenos-de-calamar-13202.html
Pimientos rellenos de carne al horno,"Los pimientos rellenos de carne al horno son un plato contundente normalmente de invierno por su alto contenido calórico, pero sin duda un plato que gusta a casi todo el mundo. Para que te queden los pimientos rellenos de carne picada más vistosos puedes usar pimientos verdes y rojos si acaso. Sigue el paso a paso que compartimos en RecetasGratis y consigue este plato tan original y colorida siempre que gustes.","['1\nPica las verduras de los pimientos rellenos de carne picada y sofríelas, pasados unos minutos que notes que están listas añade el vino blanco, remueve un poco y añade la carne molida. Deja evaporar el alcohol y cocina la carne.Puedes sustituir los dientes de ajo por una cucharadita de esta receta de pasta de ajo o mantequilla de ajo y perejil.', '2\nMientras se hace (15 minutos más o menos) corta la parte de arriba de los pimientos como ves en la imagen y límpialos por dentro para luego rellenarlos.', '3\nUna vez hecha la carne déjala reposar unos minutos y seguidamente rellena los pimientos hasta el borde sin sobrepasarlo, y ve precalentando el horno a 200 °C. Corona los pimientos con el queso rallado.', '4\nA continuación pelas las patatas y córtalas como más te gusten. El corte de las mías es tipo puente nuevo. Se pelan las patatas y se limpia por cada lado hasta dejarlas lisas por todas sus caras. A continuación se cortan bastones de un dedo de grosor aproximadamente. Fríelas a 160 °C para que se hagan por dentro y no se quemen por fuera.', '5\nIntroduce los pimientos rellenos de carne picada al horno unos 20 minutos y baja a 180 °C. Si los quieres más hechos y tostados deja la temperatura a 200 °C y vigila el aspecto que quieres que tengan.', '6\nY ya no queda más que espolvorear orégano y disfrutar estos pimientos rellenos de carne al horno tan fáciles y ricos.']","Valoración: 2,9 (30 votos)",4 comensales,45m,,Dificultad baja,,['Recetas al horno'],"['4 pimientos rojos', '2 dientes de ajo', '½ cebolla', '1 pimiento verde', '1 zanahoria', 'Vino blanco', '500 gramos de carne picada o molida', '2 patatas', '1 puñado de queso rallado', '1 pizca de orégano', 'Aceite de oliva', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-pimientos-rellenos-de-carne-al-horno-13203.html
Judias blancas a la bilbaina,,"['1\nRemojar las judías, manteniéndolas cubiertas de agua fría durante 12 horas. Escurrirlas y ponerlas a cocer en agua fría con sal, a fuego muy lento.', '2\nEn cuanto el agua empiece a hervir se apaga el hervor con un vasó de agua fría. Repetir la operación tres veces. Tardarán algo más de una hora en cocer dependiendo del tipo de judía.', '3\nCocer en cazuela aparte las patatas, peladas y cortadas en trozos que no sean muy grandes. Unirlas a las judías y mantener a fuego lento mientras preparamos el sofrito. Sofreír la cebolla y los dientes de ajo, picados muy finos, sin que se doren, a fuego muy lento, hasta que estén transparentes.', '4\nIncorporar entonces los pimientos morrones, muy picados y una puntita de guindilla. Mantener a fuego lento, removiendo con una cuchara de madera, durante 3 ó 4 minutos. Añadir el jamón. Remover un par de veces antes de incorporar el sofrito a la cazuela de las judías.', '5\nLigar el guiso moviendo la cazuela en lugar de usar una cuchara, para evitar que se rompan las judías. Mantener al fuego unos minutos antes de ajustar punto de sal y servir.']",Valoración: 1 (1 voto),,,,,,[],"['1 kg. de judías blancas', '2 ajos', '100 grs. de jamón curado', '2 patatas', '3 pimientos morrones', 'Guindilla', '1 cebolla', 'Aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-judias-blancas-a-la-bilbaina-13074.html
Patatas con puerros y zanahoria,,"['1\nPoner en una cazuela un poco de aceite, rehogar la cebolla picada y añadir la patata troceada.', '2\nA los cinco minutos añadir el agua cubriendo dos dedos y cuando comience a hervir, añadir los puerros limpios y troceados con un grosor de 1/2 cm.', '3\nDejar cocer a fuego lento durante 30 minutos.', '4\nAñadir un chorro de aceite virgen crudo un momento antes de servir (una cucharada por comensal).', '5\nPara 4 personas.']","Valoración: 3,3 (28 votos)",,,,,,[],"['4 patatas', '2 zanahorias', '4 puerros', '1 cebolla, 3 dientes de ajo', '1 cucharada de sal', '8 cucharadas de aceite', 'Agua hasta cubrir']",https://www.recetasgratis.net/receta-de-patatas-con-puerros-y-zanahoria-13011.html
"Patatas con chorizo, jamon y morcilla",,"['1\nEn una cazuela con aceite, pocha la cebolla y el pimiento picados con una pizca de sal.', '2\nDespués, añade los trozos de chorizo, el jamón en tacos y sofríelo durante unos minutos.', '3\nA continuación, agrega el laurel, el pimentón y rehoga.', '4\nPor último, agrega las patatas, peladas y troceadas y moja con el caldo.', '5\nCuécelo durante 20-25 minutos, retirando el laurel a mitad de cocción.', '6\nMientras, en una sartén con aceite, fríe la morcilla en rodajas enharinadas.', '7\nFinalmente, sirve el guiso de patatas y coloca la morcilla frita por encima.', '8\nGuiso de patatas con los apreciados ingredientes cárnicos derivados del cerdo que rememora sabores populares.', '9\nTodo lo que buscas para tu cocina aquí']","Valoración: 3,7 (9 votos)",,,,,,[],"['Para 4 personas', '1 kg de patatas.', '2 cebollas rojas.', '1 pimiento verde.', '2 hojas de laurel.', '8 trozos de chorizo.', '8 trozos de morcilla.', '150 g de jamón serrano', '1 cuch. de pimentón. un poco de harina.', '1 1/2 l de agua (o caldo)', 'Aceite', 'sal']",https://www.recetasgratis.net/receta-de-patatas-con-chorizo-jamon-y-morcilla-12989.html
Espinacas Aurora,,"['1\nCon la máquina en velocidad 5, deje caer los dientes de ajo por el bocal, para trocearlos. Baje con la espátula los residuos que hayan quedado en las paredes del vaso.', '2\nVierta el aceite en el vaso y programe 3 minutos, temperatura Varoma, velocidad 1. Pare la máquina.', '3\nA continuación, ponga la mariposa en las cuchillas, agregue las patatas y programe 10 minutos, temperatura 100º, velocidad 1.', '4\nPor último, incorpore las pasas, las espinacas, la mantequilla, los piñones, la pastilla de caldo o sal y la pimienta. Programe 15 minutos, 100º, velocidad 1.', '5\nCuando termine la cocción, rocíe con un chorro de vinagre, si lo utiliza, y compruebe si las patatas están hechas.', '6\nNOTA: Si utiliza las espinacas congeladas, descongélelas y escúrralas bien antes de su preparación.']","Valoración: 3,7 (30 votos)",,,,,,[],"['70 ml de aceite', '6 dientes de ajo', '250 g. de patatas cortadas en', 'rodajas', '50 g. de pasas', '250 g. de espinacas troceadas', '1 cucharada de mantequilla', '30 g. de piñones aprox', '1 pastilla de caldo o sal', '1 chorrito de vinagre (opcional)', 'Pimienta']",https://www.recetasgratis.net/receta-de-espinacas-aurora-12859.html
Espinacas con guisantes,,"['1\nCuece los guisantes durante 15 minutos con agua y sal. Escurre y reserva.', '2\nPica finamente la cebolla y los ajos. Echa sal y dóralos en una sartén con aceite.', '3\nPica el bacon y añádelo a la sartén. Cuando esté dorado, echa los guisantes y mezcla.', '4\nLimpia las espinacas y cuécelas en la vaporera durante 15 minutos con agua y sal. Cuando estén hechas, resérvalas.', '5\nEn una cazuela pequeña calienta aceite. Corta el pimiento morrón en tiras y fríelas. Mezcla la harina y vierte la leche poco a poco mezclando bien. Echa sal y deja hervir durante unos minutos sin dejar de revolver.', '6\nPon en el fondo de un recipiente de horno las hojas de espinacas. Coloca los guisantes encima, cubre todo con la bechamel y gratina en el horno a 200ºC durante 3 minutos.', '7\nSaca del horno las espinacas con guisantes y adorna con perejil.']","Valoración: 3,3 (24 votos)",4 comensales,30m,Entrante,Dificultad baja,,['Recetas al horno'],"['300 gramos de Espinacas', '300 gramos de Guisantes', '100 gramos de Bacon', '1 unidad de Cebolla', '2 dientes de Ajo', '½ unidad de Pimentón morrón', '1 vaso de Leche', '2 cucharadas soperas de Harina', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-espinacas-con-guisantes-12860.html
Esparragos con vinagreta,,"['1\nEmpieza con la vinagreta, para ello pica finamente la cebolleta, el pimiento verde y el diente de ajo.', '2\nColoca en un bol y añade aceite, vinagre y sal al gusto.', '3\nDeja reposar la vinagreta hasta que absorba todos los sabores.', '4\nPica finamente , por separado la yema y la clara del huevo cocido y reserva .', '5\nSirve los espárragos en una bandeja.', '6\nCubre con la vinagreta y añade la yema a un lado de la fuente y la clara al otro.', '7\nElaboración muy sencilla que aporta un toque de ligereza a cualquier menú.']","Valoración: 3,3 (24 votos)",,,,,,[],"['16 - 20 espárragos de lata', '1 cebolleta', '1/2 pimiento verde', '1 diente de ajo', '1 huevo cocido', 'Aceite de oliva', 'Vinagre', 'Sal']",https://www.recetasgratis.net/receta-de-esparragos-con-vinagreta-12854.html
Espárragos a la plancha,"Si te gustan los espárragos y te gusta disfrutar de todo su sabor en recetas sencillas, esta receta de espárragos a la plancha es ideal para ti. Descubre los trucos para cocinar unas espárragos a la plancha deliciosos y acompaña tus platos de cada día con una guarnición elegante y sana.","['1\nCorta la parte inferior de los espárragos y pélalos comenzando por la punta.', '2\nCuécelos en agua hirviendo con sal y una pizca de azúcar durante 15 minutos aproximadamente.Es muy importante escurrir de inmediato los espárragos una vez cocidos evitándose así que queden demasiado blandos.', '3\nPara preparar la mayonesa, echa en una jarra los huevos, el aceite, un chorro de vinagre y una pizca de sal y bátelo con la batidora empezando por el fondo de la jarra y subiendo poco a poco para evitar que se corte.Si tienes dudas con respecto a esta preparación, puedes echar un vistazo a la receta paso a paso de mayonesa casera.', '4\nCalienta una sartén, apenas untada con un poco de aceite y cocina los espárragos a la plancha, previamente escurridos. Ten cuidado que no se rompan durante la cocción.', '5\nFinalmente, sirve los espárragos a la plancha y acompaña el plato con un poco de la mayonesa recién preparada y otros complementes como salmón ahumado o aceitunas. ¡Buen provecho!Y si quieres probar más recetas con espárrago, te recomendamos probar el salteado de espárragos con gambas y el risotto de espárragos, ¡una delicia!']","Valoración: 3,3 (24 votos)",4 comensales,15m,Acompañamiento,Dificultad baja,,['Recomendada para perder peso'],"['16 Espárragos frescos', '1 puñado de Aceitunas', 'Aceite de oliva', '1 pizca de Sal', '1 pizca de Azúcar', 'Agua', '2 Huevos', '¼ litro de Aceite de oliva', '1 chorro de Vinagre', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-esparragos-a-la-plancha-12849.html
Endivias dos quesos,,"['1\nPon a cocer las endivias en una cazuela con agua y una pizca de sal durante 10 minutos.', '2\nPica finamente la cebolla y ponla a pochar en una cazuela con un poco de aceite.', '3\nAgrega la harina (2 cucharadas), rehoga bien, añade el queso azul y mezcla bien.', '4\nVierte la leche poco a poco y trabaja la masa hasta que espese.', '5\nExtiende la bechamel sobre una fuente apta para el horno y gratínala.', '6\nCorta las endivias por la mitad a lo largo, coloca sobre cada una, un trozo de queso de cabra, pásalas por harina, huevo y pan rallado y fríelas (como si fuera un huevo frito, dejando el queso hacia arriba) en una sartén con aceite.', '7\nEscúrrelas sobre una fuente cubierta con papel absorbente de cocina.', '8\nColócalas sobre la bechamel y decora con unas ramas de perejil.', '9\nCuando frías las endivias, es importante hacerlo con mucho cuidado dejando el queso hacia arriba e ir rociando la superficie con el aceite caliente como si fuera un huevo frito.']","Valoración: 3,3 (24 votos)",,,,,,[],"['4 endivias', '1 cebolla', '100 gr. de queso suave', '100 gr. de queso azul', '½ l. de leche', 'huevo batido', 'harina', 'pan rallado', 'agua', 'aceite virgen extra Hojiblanca', 'sal', 'perejil']",https://www.recetasgratis.net/receta-de-endivias-dos-quesos-12721.html
Repollitos saltedos,,"['1\nFreír en una sartén los daditos de panceta hasta que estén crocantes. Retirar y reservar.', '2\nAgregar un poco de manteca en la sartén y saltear los repollitos. Añadir sal y pimienta y espolvorear con la cebolla de verdeo.', '3\nDesglacear removiendo el fondo de la fritura con cerveza. Llevar a ebullición y reducir la salsa a fuego fuerte.', '4\nAñadir a la sartén la crema con unas gotas de jugo de limón.', '5\nTambién se puede gratinar unos minutos al horno, agregando queso rallado por encima.']","Valoración: 2,2 (11 votos)",,,,,,,"['1 kilogramo de Repollitos de Bruselas hervidos firmes', '250 gramos de Panceta ahumada en cubitos', '1 unidad de Huevo', '½ vaso de Cerveza', '1 unidad de Cebolla de verdeo picada', '100 gramos de Crema de leche', '1 gota de Jugo de limón', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-repollitos-saltedos-12465.html
