title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Salsa de ajo vegana,"Esta salsa vegana de ajo es otra manera de degustar el ajo. Una receta fácil que estará lista en menos de lo que piensas y que te servirá para darle un toque de sabor extra a tus mejores platos o si prefieres, para degustar con galletas saladas.","['1\nEl primer paso para hacer este dip vegano, es asar los ajos. Para ello, corta la parte superior de la cabeza de ajos, dejando al descubierta la punta de los dientes. Coloca esto sobre un trozo de papel de aluminio y añade sal y aceite de oliva. Envuelve el ajo haciendo un paquete y lleva al horno a 180ºC por unos 40-45 minutos.', '2\nA continuación, tritura los ajos con el queso y el perejil. Puedes hacerlo en un mortero o utilizar un robot de cocina. \nTruco: Tritura al gusto hasta conseguir la consistencia deseada', '3\nFinalmente, añade el aceite en forma de hilo y ve mezclando poco a poco hasta que se intergre por completo a la salsa.', '4\nConserva en la nevera y saca al momento de servir. El dip de ajo vegano lo puedes servir como aperitivo con galletas saladas o utilizar como ingrediente para aderezar otros acompañar otros platos como una pasta marinera vegetariana o unas hamburguesas de lentejas y tofu.']","Valoración: 4,5 (2 votos)",4 comensales,15m,Entrante,Dificultad baja,,['Recomendada para veganos'],"['1 cabeza de Ajo', '150 gramos de Queso vegano', '1 chorro de Aceite de oliva', '1 cucharada sopera de Perejil fresco']",https://www.recetasgratis.net/receta-de-salsa-de-ajo-vegana-57106.html
"Volovanes rellenos de tomate, olivada y queso","Los volovanes rellenos de tomate, olivada y queso son una receta muy fácil y rápida de preparar, ideal como aperitivo para una cena con amigos. Además, como son montaditos fríos, los puedes dejar listos con antelación. Descubre cómo preparar estas tapas al estilo griego, con tomate, paté de aceituna y queso feta, a través de estos sencillos pasos de RecetasGratis.net.","['1\nAquí tenemos los ingredientes para este aperitivo de inspiración griega. La olivada es de aceituna negra, mientras que el queso feta lo hemos elegido ya cortado en daditos. Los volovanes son confeccionados, pero también puedes elaborar los tuyos propios siguiendo esta sencilla receta de masa de hojaldre.', '2\nEmpezamos cortando los tomatitos cherry en dos mitades y mezclándolos en un plato con los daditos de queso feta.', '3\nA continuación prepara los volovanes siguiendo las instrucciones pertinentes. En mi caso, los he puesto dos minutos en el microondas y luego con un cuchillo he vaciado la parte interna.', '4\nPon una cucharada de olivada en el interior de cada volován para empezar a rellenarlos.', '5\nRellena el volován con la mezcla de tomate y queso feta, con la ayuda de una cuchara.', '6\nFinalmente, corona cada volován griego con otra cucharadita de queso feta. Los volovanes rellenos de tomate, olivada y queso ya están preparados y listos para consumir; si lo prefieres, los puedes dejar preparados con bastante tiempo de antelación. No olvides acompañarlos a la mesa con un poco de orégano, sal y pimienta negra para aquellos comensales que prefieren las comidas más condimentadas. Y si quieres más recetas de aperitivos para acompañar los volovanes, te aconsejamos elaborar unos blinis de salmón, hummus de berenjena o huevos rellenos.']",Valoración: 4 (1 voto),6 comensales,15m,Entrante,Dificultad baja,,[],"['6 unidades de Volovanes', '3 cucharadas soperas de Queso feta', '12 cucharadas de postre de Olivada', '12 unidades de Tomatitos cherry']",https://www.recetasgratis.net/receta-de-volovanes-rellenos-de-tomate-olivada-y-queso-57236.html
Ají de aguacate,"El ají de aguacate es típico de Colombia e ideal para acompañar muchos tipos de comidas, como papas al horno o una deliciosa carne a la parrilla. Es recomendable consumir este dip para untar rápido para evitar la oxidación del aguacate, por lo que si todavía no sabes con qué acompañar tu plato principal, sin duda esta es una opción estupenda.Sigue leyendo y descubre con RecetasGratis.net cómo hacer ají de aguacate y realza el sabor de tus mejores platos o sorprende a todos a la hora del picoteo.","['1\nAntes de realizar este delicioso ají de aguacate, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con agua hirviendo y vinagre, cocina el huevo por 15 minutos. Transcurrido este tiempo, pela el huevo y córtalo en trozos pequeños, reserva.\nTruco: El vinagre hace que la cáscara del huevo se despegue mejor.', '3\nEn un bol aparte, mezcla el aguacate triturado con el tomate sin piel y la cebolla, ambos ingredientes cortados en cubos pequeños.', '4\nEs momento de agregar el huevo troceado, el ají tabasco, el zumo del limón, el cilantro cortado finamente, sal y pimienta al gusto. Mezcla bien estos ingredientes para obtener un ají colombiano bien integrado.', '5\nFinalmente, sirve el ají de aguacate y disfruta. Como comentamos al principio, esta receta es ideal para servir a modo de guarnición para empanadas de carne, filetes a la parrilla o pescados a la plancha. ¡Buen provecho y no olvides dejar tu comentario!']","Valoración: 4,7 (3 votos)",3 comensales,30m,,Dificultad baja,,['Recetas colombianas'],"['3 unidades de Aguacate', '1 unidad de Huevo', '1 unidad de Tomate rojo', '50 gramos de Cebolla blanca', '2 unidades de Limón', '1 cucharadita de Ají tabasco', '1 rama de Cilantro', '30 mililitros de Vinagre', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-aji-de-aguacate-57228.html
Ceviche de vieiras y gambas,"Para los amantes del ceviche y el marisco, en esta receta traemos una opción diferente, en la que combinaremos los exquisitos sabores de las gambas con las vieiras, el aguacate y otros ingredientes que detallamos a continuación. Si tienes una comida con amigos o familiares y todavía no sabes qué cocinar, sin lugar a dudas quedarás como el perfecto anfitrión con este entrante. Además, resulta la opción perfecta para servir durante la festividad de Navidad, u otras celebraciones. Sigue leyendo y descubre los pasos para aprende a preparar este sofisticado ceviche de vieiras y gambas.","['1\nEl primer paso para realizar esta receta es prealistar los ingredientes del ceviche de vieiras. El ají de mango es opcional, si no lo consigues puedes utilizar cualquier otro tipo de ají.', '2\nLo primero que vamos hacer es limpiar las gambas o langostinos, retirando la cáscara que las recubre y quitando la vena del lomo, ya que este es el intestino del animal. Hecho esto, lleva una olla honda con suficiente agua a fuego medio, cuando alcance el punto de ebullición agrega todos los mariscos y deja cocinar por 30 segundos, retira de inmediato y corta la cocción con agua fría para evitar que se sobrecocinen.', '3\nUna vez que los mariscos estén fríos, córtalos en trozos medianos (reserva cuatro langostinos o gambas para decorar los platos) y llévalos a un bol para mezclarlos con el resto de ingredientes y continuar con la elaboración del ceviche de vieiras.', '4\nAdiciona la cebolla morada finamente picada y el zumo de los limones. Deja marinar en este líquido durante 15 minutos aproximadamente.', '5\nUna vez marinados los ingredientes del ceviche de vieiras, agrega el cilantro finamente picado y el aguacate en cuadros medianos. Si el aguacate está muy maduro y se desbarata al cortarlo no importa si lo introduces, así lo importante es que se mezcle bien con nuestro ceviche.', '6\nPor último, adiciona la leche evaporada y el ají de mango. Recuerda que si no tienes ají de mango puedes añadir el picante que sea de tu elección, yo quise elegir este porque me parece deliciosa la mezcla de sabores. Rectifica con sal o pimienta negra si lo consideras necesario, y ya tendremos lista nuestra receta.', '7\nSirve la receta de ceviche de vieiras y gambas decorando cada uno de los platos con un langostino entero encima y espolvoreando un poquito de cilantro fresco. Me pareció una presentación muy linda servir el ceviche en copas de margarita, pues da un toque elegante a nuestra receta. Puedes acompañar este entrenate con totopos o trozos de plátano verde fritos. Si has preparado esta receta, ¡no olvides dejar tus comentarios! Buen provecho.']",Valoración: 5 (1 voto),4 comensales,45m,Entrante,Dificultad media,,['Recetas para Navidad'],"['500 gramos de Vieiras frescas', '1 unidad de Aguacate fresco', '12 unidades de Gambas o langostinos frescos', '1 unidad de Cebolla morada', '100 mililitros de Leche evaporada', '2 cucharaditas de Cilantro', '4 unidades de Limones', '1 pizca de Ají de mango', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-ceviche-de-vieiras-y-gambas-57198.html
Ceviche de plátano,"Para todas aquellas personas que sigan una dieta vegetariana o vegana y quieran disfrutar de un buen ceviche, ¡tenemos la solución! En esta receta proponemos elaborar un delicioso y refrescante ceviche de plátano verde, con los ingredientes propios del típico ceviche pero sustituyendo los mariscos por esta fruta tan apetecible. Sigue leyendo y descubre con RecetasGratis.net los pasos para preparar esta receta con plátano y disfrutar de una buena comida.","['1\nEl primer paso para realizar esta receta vegana es prealistar los ingredientes. Lo idea es que el plátano verde sea grande, pero si no tienes puedes utilizar varios medianos. Si no eres vegano, puedes sustituir la crema de coco por queso crema.', '2\nLo primero que vamos a hacer es pelar el plátano verde y cortarlo en cuadros medianos como se observa en la fotografía. Luego, lleva los trozos a una olla honda y cocina hasta que estén blandos. Retira del agua y reserva para que estos se enfríen.', '3\nEn un tazón o bol adiciona los plátanos previamente cocinados, la cebolla blanca finamente picada, los tomates en cuadros y el perejil. Mezcla muy bien todos los ingredientes para seguir con la elaboración del ceviche vegano.', '4\nAdiciona sal, pimienta negra, el vinagre de frutas, el zumo de los limones y el perejil, lo ideal es que se maceren los ingredientes de la misma manera que se haría en un ceviche tradicional.', '5\nUna vez se maceren los ingredientes de nuestro ceviche de plátano, agrega la crema de coco para dar un toque de cremosidad a la preparación. Recuerda que si eres vegetariano puedes optar por usar queso crema. Mezcla muy bien los ingredientes.\nTruco: Si deseas y te gusta el picante puedes añadirle un poco.', '6\nAbre los aguacates y retira el hueso que contiene en el centro, rellena cada uno de los aguacates con el ceviche de plátano y espolvorea un poquito de perejil por encima. Puedes acompañar este entrante con tofu ahumado o una ensalada vegana.']","Valoración: 4,3 (3 votos)",4 comensales,45m,Entrante,Dificultad media,,['Recomendada para veganos'],"['2 unidades de Aguacates medianos', '1 unidad de Plátano verde', '4 unidades de Limones', '1 unidad de Cebolla blanca', '2 unidades de Tomate', '1 cucharadita de Perejil fresco', '2 cucharadas soperas de Vinagre de frutas', '1 taza de Crema de coco', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-ceviche-de-platano-57197.html
Hojaldre de jamón y queso al horno,"Este rollito de jamón y queso es muy fácil de elaborar y muy rápido de comer, por lo rico que está. Hecho con jamón curado, queso y hojaldre, este plato es perfecto para comer a cualquier hora o servir como aperitivo. Espero que les salga igual de rico, crujiente y con el queso derretido que se mezcle con el sabor del jamón y para ver más de mis recetas visita mi blog Lo Que Come Luis.","['1\nComenzamos por lavarnos muy bien las manos, colócate el gorro de cocina y al lío. Cogemos la masa de hojaldre y la colocamos en papel de horno, cortándola en 4 partes en vertical.', '2\nCogemos las lonchas de queso y las cortamos a la mitad, colocando 2 mitades de loncha de queso por cada rectángulo de masa de hojaldre.\nTruco: Puedes usar el queso que más te guste', '3\nUna vez colocadas las lonchas de queso en la masa de hojaldre iremos colocando el jamón encima de las lonchas de queso.\nTruco: Si lo prefieres puedes sustituir el jamón por cualquier otro ingrediente de tu preferencia', '4\nCuando tengamos colocado todo el jamón, doblaremos por ambos lados el hojaldre, de manera que se nos quede como un rulo, tapado por todos lados. Una vez conseguidos los rulos bien tapados, cogemos el huevo y lo batimos para luego, untarlo por todo el rollito, así conseguiremos un color dorado.', '5\nCuando hayamos untado el huevo por todas partes, lo introducimos en el horno precalentado a 180º por unos 7-8 minutos, hasta que veamos que coge el color dorado y haya alcanzado el suficiente volumen.', '6\nEste hojaldre de jamón y queso al horno es perfecto para picotear. Si necesitas preparara una mesa de aperitivos para Navidad o alguna ocasión especial puedes combinarlos con otros platos como unos volovanes de pollo o unas rosas de hojaldre. ¡QUÉ APROVECHE!']",,4 comensales,15m,Entrante,Dificultad baja,,['Recetas al horno'],"['1 lámina de Masa de hojaldre', '150 gramos de Jamón', '5 lonchas de Queso', '1 unidad de Huevo']",https://www.recetasgratis.net/receta-de-hojaldre-de-jamon-y-queso-al-horno-57204.html
¡Tremendamente sabrosos!,"En RecetasGratis te mostramos cómo preparar fáciles y deliciosos pastelitos de carne, una receta apta para niños y adultos y que viene bien para las fiestas o reuniones familiares especiales como Navidad o Año Nuevo, sobre todo típicos de países como El Salvador y Honduras, aunque se conocen en toda América Latina. Con esta receta de pastelitos de carne molidapuedes estar segura que tus pequeños comerán más de un bocado sin preocuparse de qué está hecho el relleno, así que sigue leyendo y no te pierdas el paso a paso de estos pastelitos de carne picada tan sencillo y rápidos de preparar.","['1\nEl primer paso para preparar los pastelitos de carne será picar finamente el ajo y las almendras, pica también el apio en rebanadas, el jitomate en cubos chicos y la cebolla en tiritas.', '2\nEn una sartén a fuego medio agrega el aceite y la mantequilla, una vez que estén calientes sofríe el ajo y la cebolla.', '3\nCuando la cebolla se torne transparente agrega las pasitas y las almendras picadas. Sofríe por tres minutos y agrega el jitomate y la cebolla. Deja en el fuego sin dejar de mover por tres minutos más.', '4\nTranscurrido ese tiempo agrega la carne picada, una vez que esté casi cocida por completo agrega el puré de tomate. Sazona con sal y pimienta.', '5\nDeja el relleno de los pastelitos de carne molida en la estufa a fuego bajo y moviendo constantemente, hasta que esté bien seco y la carne cocida.', '6\nRetira el relleno del fuego y agrega la crema de leche. Permite que el relleno se enfríe por completo mientras trabajas el hojaldre.', '7\nAparte, unta una charola para hornear con mantequilla y cúbrela con papel encerado. Estira la masa de hojaldre sobre una superficie limpia y con un corta pastas redondo o bien con un vaso, corta círculos y pásalos a la charola.', '8\nColoca una cucharada de relleno en el centro de cada círculo.', '9\nPinta los bordes del círculo con la yema de huevo batida con una gotas de agua y cubre los pastelitos de carne picada con otro círculo de masa.', '10\nCon las puntas de un tenedor aprieta los bordes de cada pastelito de carne para que queden bien cerrados. Una vez que estén cerrados barniza los pastelitos de carne molida con la yema de huevo restante. Hornea por 10 minutos a 200 ºC, transcurrido ese tiempo baja la temperatura del horno a 180 ºC y hornea por 15 minutos más o hasta que los pastelitos de carne picada estén bien cocidos y ligeramente horneados.\nTruco: Recuerda que el tiempo de horneado dependerá de la potencia de tu horno.', '11\nLos pastelitos de carne pueden servirse calientes o fríos. Esperamos que disfrutes de este bocadillo, y si te ha gustado ésta receta no dejes de leer RecetasGratis para descubrir muchas más recetas de pastelitos rellenos como esta empanada de carne picada.']",,4 comensales,45m,Entrante,Dificultad baja,,"['Recetas para Navidad', 'Recetas al horno']","['500 gramos de pasta de hojaldre', '1 pieza de yema de huevo', '400 gramos de carne picada de res', '75 gramos de uvas pasas', '75 gramos de almendras', '1 rama de apio', '2 dientes de ajo', '2 piezas de jitomate', '1 pieza de cebolla', '200 gramos de puré de tomate', '1 taza de crema de leche (200 mililitros)', '2 cucharadas soperas de aceite de oliva', '1 cucharadita de mantequilla', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-pastelitos-de-carne-57083.html
Flautas de papa con chorizo,"Las flautas son un antojito mexicano que forma parte de la cocina tradicional mexicana. Se consumen todo el tiempo, a la hora del almuerzo, en la comida de la tarde o para cenar. En cualquier tiempo son una buena elección. En RecetasGratis.Net te damos la receta de las flautas de papa con chorizo.","['1\nLo primero es juntar todos los ingredientes para poder elaborar las flautas mexicanas. Luego, lavamos las papas con un cepillo bajo el chorro del agua.', '2\nPara hacer el relleno de estas flautas mexicanas, ponemos a cocer la papa en agua con una cucharada de sal, por espacio de 15 a 20 minutos, o hasta que estén blandas.\nTruco: Podemos probar si están blandas picamos con un cuchillo.', '3\nUna vez cocida, sacamos las papas, dejamos escurrir y que se enfríen un poco. Retiramos las cáscaras y procedemos a machacarlas para preparar un puré con ellas. Reservamos aparte el puré. En otro recipiente cocemos el tomate, el chile, un diente de ajo y un trozo de cebolla para preparar la salsa.', '4\nPor otro lado, rebanamos en rodajas finas el chorizo y lo freímos en una sartén.', '5\nAl sofrito de chorizo le agregamos la papa y con esta mezcla rellenamos las tortillas para hacer las flautas. Recuerda que, si deseas, puedes hacer tú mismo las tortillas de maíz.', '6\nFreímos las flautas en abundante aceite hasta que queden bien doradas.', '7\nLas retiramos de la sartén y las dejamos que escurran sobre papel absorbente.', '8\nUna vez escurridas, acomodamos las flautas de papa con chorizo en un platón les ponemos encima crema, queso rallado y salsa verde. Prepara un ceviche de palmitos para acompañar o una ensalada de elote.']",Valoración: 5 (1 voto),8 comensales,45m,Plato principal,Dificultad baja,,['Recetas mexicanas'],"['1 kilogramo de Papa.', '1 kilogramo de Tortillas para flautas.', '500 gramos de Chorizo.', '500 mililitros de Crema', '500 gramos de Queso rallado.', '1 pieza de Cebolla morada.', '1 litro de Aceite.', 'Para la salsa verde.', '500 gramos de Tomate verde.', '5 piezas de Chile serrano.', '1 diente de Ajo', '1 pieza de Cebolla.', '1 manojo de Cilantro.']",https://www.recetasgratis.net/receta-de-flautas-de-papa-con-chorizo-57064.html
Blinis de salmón,Los blinis de salmón que te proponemos en RecetasGratis.net son fáciles de preparar y te resuelven una cena ligera. También son un aperitivo para Navidad muy apetitoso. Aprende a preparar estos blinis fáciles con estos sencillos pasos.,"['1\nPreparamos los ingredientes para los blinis de salmón con queso fresco. El salmón es ahumado, para el queso puedes optar por la marca Philadelphia y el yogur es recomendable que sea casero.', '2\nEmpezamos preparando los blinis. En un bol bate el huevo, añade el yogur, la harina, la levadura y un poco de sal y remueve bien.', '3\nVierte en una sartén pequeña con un poco de aceite medio cucharón de la crema resultante, déjalo dorar no más de un minuto y dale la vuelta. En un minuto o menos estará hecho el blini, déjalo en un plato y continúa con el resto de la crema.', '4\nEn unos 10 minutos ya tendrás hechos todos los blinis. Estos canapés para Navidad son realmente muy fáciles de hacer, ¿verdad?', '5\nEspera unos minutos para que se enfríen y a continuación extiende el queso fresco por encima.', '6\nColoca el salmón ahumado sobre el queso, cortado previamente. Añade unas gotas de limón y cebollino cortado, y sirve directamente con una copa de vino blanco seco. Verás que como entrante en una cena de Navidad este canapé de salmón no defraudará a nadie.']",,4 comensales,30m,Entrante,Dificultad baja,,['Recetas para Navidad'],"['1 unidad de Huevo', '1 unidad de Yogur', '1 taza de Harina (140 gramos)', '½ sobre de Levadura', '100 gramos de Salmón ahumado', '100 gramos de Queso fresco', '1 rama de Cebollino', '½ unidad de Limón', '1 pizca de Sal', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-blinis-de-salmon-57132.html
Nachos con chili y queso,"El chili es una salsa espesa elaborada primordialmente con carne, frijoles y chiles. En RecetasGratis.net te enseñaremos a preparar esta receta de nachos que va muy bien como botana.","['1\nPara preparar estos nachos con chili y queso, vamos a reunir todos los ingredientes necesarios. Procedemos a lavarnos las manos y enseguida lavamos los pimientos, jitomates y el apio. Limpiamos el ajo y la cebolla.', '2\nAhora picamos el ajo, la cebolla, los pimientos, los jitomates y el apio. En una sartén vertemos un chorro de aceite. Sofreímos el ajo primero y luego la cebolla.', '3\nCuando la cebolla se vuelva transparente agregamos la carne, revolvemos y luego agregamos los condimentos juntos. Mezclamos muy bien.', '4\nEl siguiente paso es agregar los pimientos junto con el apio.', '5\nEnseguida añadimos el puré de jitomate. Revolvemos muy bien.', '6\nAhora vamos a agregar los frijoles, adicionamos un poco del caldo de frijoles. Tapamos, bajamos la lumbre, y dejamos que se cueza de 30 a 40 minutos.\nTruco: El chili debe de quedar espeso.', '7\nAhora vamos armar nuestra botana. Ponemos una capa de frijoles refritos en el platón en el que vamos a servir los nachos.\nTruco: El chili lo puedes preparar todo lo picante que te guste.', '8\nAcomodamos los totopos de la manera que más nos agrade.', '9\nPonemos el queso sobre los nachos.', '10\nVertemos la salsa de chili y agregamos chiles en vinagre al gusto.', '11\nServimos los nachos con chili y queso, y para acompañar esta botana, ¿qué tal una cerveza bien fría? Y si quieres conocer otras recetas con nachos, no te pierdas las siguientes:Nachos con guacamoleNachos con carne']",Valoración: 5 (1 voto),10 comensales,45m,Entrante,Dificultad baja,,['Recetas mexicanas'],"['500 gramos de Carne molida de res', '1 pieza de Cebolla', '2 dientes de Ajos', '1 pieza de Pimiento rojo', '1 pieza de Pimiento verde', '375 mililitros de Puré de tomate', '300 gramos de Jitomate', '375 gramos de Frijoles cocidos', '1 rama de Apio', '1 cucharadita de Pimenton', '1 cucharadita de Pimienta de cayena', '1 chorro de Chile seco molido', '1 paquete de Tortillas para nachos', '1 botella de Queso para nachos', '1 lata de Chiles en vinagre', '1 cucharada sopera de Sal', '1 taza de Frijoles refritos']",https://www.recetasgratis.net/receta-de-nachos-con-chili-y-queso-57061.html
