title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Salbutes o tostadas Yucatecas,,"['1\nPara hacer el escabeche, en un tazón colocar el chile picado (sin semilla) la cebolla, la cabeza de ajos, el orégano, el vinagre, sal y pimienta y dejar reposar durante toda la noche (mientras más tiempo es mejor, porque se acentúa el sabor).', '2\nTrabajar la masa con un poco de agua y sal.', '3\nFormar tortillas pequeñas, pero más gruesas que las normales.', '4\nCocer en un comal a fuego medio y después sofreírlas en aceite o manteca caliente, pero no permitas que se doren.', '5\nPoner en un papel absorbente.', '6\nDistribuir la carne de pavo o pollo y el escabeche al gusto sobre los “salbutes”, corona con rodajas de aguacate, lechuga y queso rayado.']",Valoración: 4 (16 votos),"['500 gramos de masa para tortillas', '0,5 pechuga de pavo o pollo cocida y deshebrada', '40 ccs de aceite', '2 chiles verdes asados', '2 cebollas moradas finamente rebanadas en pluma', '1 cabeza de ajos asada', '1 cucharadita de orégano seco bien triturado', '150 ccs de vinagre de manzana', '1 pizca de sal', '1 pizca de pimienta', '1 lechuga limpia y desinfectada en rebanadas', '1 aguacate en rodajas', '60 gramos de queso rallado']",https://www.recetasgratis.net/receta-de-salbutes-o-tostadas-yucatecas-39271.html,,,,,,
Rollitos de pollo con salsa de champiñones,,"['1\nSalar las piezas de pollo deshuesado, formar rollitos con cada pedazo de pollo y envolverlos con una pieza de tocino sujetándolos con un mondadientes.', '2\nSellar con un poco de aceite los rollitos en una sartén, luego colocarlos en una fuente y meterlos al horno medio por espacio de 45 minutos, hasta que estén bien cocidos.', '3\nEn la misma sartén que se usó para sellar los rollitos, colocar la mantequilla, agregar la cebolla cortada en cubitos pequeños y cuando este dorada, agregar los champiñones, cocer.', '4\nLuego se añade el vino, la crema de leche y se sazona con sal y pimienta. Separar.', '5\nUna vez cocidos los rollitos se sirve colocando por encima la salsa de champiñones.']","Valoración: 3,3 (30 votos)","['6 pollo, piezas deshuesadas', '1 vaso de vino blanco', '1 cucharada de mantequilla', '1 pizca de sal', '1 taza de champiñones, cortados en rodajas', '1 cebolla', '1 chorrito de aceite', '1 taza de crema de leche', '6 tocino, lonchas', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-rollitos-de-pollo-con-salsa-de-champinones-39252.html,,,,,,
Quiche de queso y bacon,,"['1\nExtender el hojaldre y colocarlo sobre un molde antiadherente, no muy alto, sobre el fondo y los laterales.', '2\nSe hornea un poco, pinchando el fondo con un tenedor, para que no suba la masa.', '3\nPicar el bacon y se añaden en un bol, el bacon, la nata, los huevos y el queso desmenuzado.', '4\nBatir todo con una varilla y echar la mezcla encima del hojaldre.', '5\nHornear hasta que se cuaje la quiche y esté dorada.']",Valoración: 5 (1 voto),"['1 lámina de hojaldre', '4 huevos', '200 gramos de bacon', '1 paquete de queso en lonchas', '125 ccs de nata líquida']",https://www.recetasgratis.net/receta-de-quiche-de-queso-y-bacon-39202.html,,,,,,
Pinchos de mariscos con papas salteadas,,"['1\nCortar todos los mariscos no de manera pequeña sino en trozos grandes, ponerlos intercalados en los palitos de pinchos y pasarlos por la parrilla hasta que estén listos.Cortar las patatas en cuadritos y hervirlas un poco con sal hasta que estén al dente, luego saltearlas con mantequilla y cualquier hierba aromática ponerle sal y pimienta y las patatas.']","Valoración: 3,7 (3 votos)","['100 gramos de calamares', '100 gramos de camarones', '100 gramos de langostinos', '100 gramos de pulpo', '1 pizca de sal', '50 gramos de manteqilla', '400 gramos de patatas', '1 ramito de hierbas aromáticas', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-pinchos-de-mariscos-con-papas-salteadas-38973.html,,,,,,
Pincho en cerveza,,"['1\nSe corta la carne como habitual.', '2\nSe añade la cebolla cortada en juliana, la sal, pimentón dulce, perejil.', '3\nSe puede poner tomate fresco troceado, eneldo y ajo picado.', '4\nSe cubre con cerveza rubia.', '5\nSe deja en reposo durante 2-3 horas y a la parilla.']","Valoración: 3,4 (31 votos)","['1 kilo de carne de cerdo', '0,5 cucharaditas de pimientón dulce', '1 pizca de sal', '1 pizca de especias varias', '3 cebolla', '150 gramos de eneldo', '0,5 litro es de cerveza rubia', '150 gramos de perejil', '1 tomate troceadito']",https://www.recetasgratis.net/receta-de-pincho-en-cerveza-38971.html,,,,,,
Montaditos de brie y espárragos,,"['1\nCortar el pan a rodajas y tostar en el horno.', '2\nLavar y cortar la parte dura de los espárragos, sazonar y asar con unas gotas de aceite, vuelta y vuelta con la plancha bien caliente.', '3\nCortar rebanadas de queso y darles también un golpe de calor en la misma plancha.', '4\nMontar un trozo de queso encima de cada rebanada de pan tostado y encima dos puntas de espárragos.', '5\nServir enseguida.']","Valoración: 3,4 (31 votos)","['4 rodajas de pan', '200 gramos de queso brie', '150 gramos de espárragos verdes', '1 pellizco de sal', '2 cucharaditas de aceite']",https://www.recetasgratis.net/receta-de-montaditos-de-brie-y-esparragos-38705.html,,,,,,
Melocotones rellenos de marisco,"Receta de melocotón relleno de marisco, lógicamente esta receta admite cambio de ingredientes, por marisco podemos entender cualquier tipo de marisco, yo voy a usar gambas, palitos de cangrejo y atún, se que el atún no es marisco pero es el que va a ligar todo el relleno, espero que os guste y lo adaptéis a vuestro gusto.","['1\nSe escurren bien las mitades de melocotón y se rellenan con una mezcla que previamente se ha hecho con los huevos duros, el atún escurrido, los palitos de cangrejo rallado o a trocitos pequeños y las gambas o langostinos, la mayonesa y la salsa de tomate.También se le pueden añadir piñones o pasas. Puedes usar melocotones naturales, en ese caso es recomendable que sean maduros y que los vacíes bien, también quítales la piel.', '2\nImportante que los melocotones estén guardados previamente en la nevera para que estén bien fríos, no sólo en el momento de comerlos sino también para decorar y preparar el plato.A la mezcla que hemos comentado anteriormente le podemos agregar los ingredientes que queramos de marisco, lo importante es que los mezclemos bien y mantengan una buena proporción entre salsa y producto, estas son las claves del plato.Si quieres puedes hacer la mayonesa casera y no olvides que en RecetasGratis te podemos enseñar cómo hacer huevos cocidos perfectos.', '3\nCuidado en usar un tenedor para mezclar ya que puedes dañar el producto una espátula de plástico o las propias manos te ayudarán más a hacer el relleno del melocotón con marisco que estamos preparando.', '4\nPara presentar el plato te recomiendo que una bandeja blanca, queda mucho mejor, extiendas la lechuga cortadita pequeña y encima los melocotones bien fríos, después los rellenas con la mezcla que has realizado. Algunos platos de melocotones rellenos van al horno y se les da calor, en este caso NO, ya que es un entrante frío.']","Valoración: 3,4 (32 votos)","['200 gramos de Atún en aceite', '3 Huevos duros', '1 taza de Mayonesa', '4 Melocotones en almíbar, partidos por la mitad', '4 Surimi o Palitos de cangrejo', '100 centímetros cúbicos de Tomate de bote en salsa', '12 Gambas o langostinos cocidos', '3 hojas de Lechuga']",https://www.recetasgratis.net/receta-de-melocotones-rellenos-de-marisco-38676.html,4 comensales,30m,Entrante,Dificultad baja,,[]
Humitas con albahaca,,"['1\nLos choclos o panojas de maíz se pelan y se guardan las hojas más bonitas para emplearlas después.', '2\nSe desgranan y se muelen en el procesador o batidora junto con las hojas de albaca.', '3\nLa cebolla se fríe en el aceite hasta que este transparente.', '4\nLuego se mezcla con la los choclos molidos.', '5\nLas hojas seleccionadas se lavan y se unen las partes anchas.', '6\nLuego se agrega la mezcla, en proporción al tamaño de las hojas.', '7\nSe doblan de la siguiente manera.', '8\nLos lados se juntan, después se doblan las puntas, se amarra todo con hilo grueso.', '9\nSe colocan en una olla con agua hervida y un poco de sal.', '10\nSe dejan ahí hasta que el choclo se cueza unos 20 minutos.', '11\nSe sirven en las mismas hojas con ensalada de tomate y se les agrega sal a gusto.']",Valoración: 3 (10 votos),"['1 ramito de albaca', '10 maíz o choclos maduros', '2 cebollas', '1 pizca de sal', '2 cucharadas de aceite']",https://www.recetasgratis.net/receta-de-humitas-con-albahaca-38535.html,,,,,,
Entrada palta reina,,"['1\nPartir las paltas o aguacates por la mitad a lo largo.', '2\nDejarlas en agua con sal y zumo de limón por 45 minutos para que no se pongan negras.', '3\nRetirar el hueso y pelar.', '4\nDesmenuzar la pechuga y mezclar con la mayonesa y el pimiento rojo picado muy fino.', '5\nRellenar con esta mezcla.', '6\nPoner media palta por plato sobre una cama de porotos verdes cortados a lo largo, cocidos y aliñados.', '7\nDecorar con zanahoria cocida, cortada en rodajas y aceitunas.']","Valoración: 4,3 (7 votos)","['3 paltas grandes (aguacates)', '1 pechuga de pollo cocida', '1 taza de mahonesa', '6 aceitunas', '0,5 pimiento rojo cocido', '750 gramos de porotos verdes (judias)', '1 limón, zumo', '1 zanahoria']",https://www.recetasgratis.net/receta-de-entrada-palta-reina-38287.html,,,,,,
Entrada de tomates,,"['1\nCortar los tomates en cuatro círculos cada uno y mantenerlos armados en su misma forma, una rodaja sobre la otra.', '2\nPicar los choritos o mejillones y unirlos con la cebolla y el perejil.', '3\nAliñar con el zumo de limón, la sal, la pimienta y la mayonesa.', '4\nUnir bien esta mezcla para que quede fácil de intercalar entre tajada y tajada de tomate.', '5\nLavar la lechuga, picarla fina y aliñar.', '6\nColocar un poco de lechuga sobre cada plato.', '7\nPoner el tomate cortado en círculos alternando cada rodaja con la mezcla de choritos y cebolla.', '8\nPresionar para que quede firme.', '9\nAdornar con aceitunas negras.']","Valoración: 4,3 (4 votos)","['6 tomates regulares rojos pelados', '1 taza de choritos (mejillones) cocidos o en conserva', '3 cucharadas de perejil picado', '0,5 cebolla picada fina', '1 limón, zumo', '1 lechuga para acompañar', '0,5 tazas de mayonesa', '6 aceitunas negras', '1 pizca de sal', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-entrada-de-tomates-38286.html,,,,,,
