title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Paella de bogavante al horno,,"['1\nDisponer en una paellera al fuego y verter en ella un vaso de aceite.', '2\nPartir longitudinalmente los bogavantes y dorarlos bien por ambas caras.', '3\nCuando estén listos, retirarlos.', '4\nEn el mismo aceite se echa la cebolla, los pimientos y dos dientes de ajo, todo muy picadito.', '5\nUna vez rehogado se agrega todo el marisco a excepción del bogavante.', '6\nSaltear durante unos minutos.', '7\nUna vez echo se añaden los tomates picados, desechando todas las semillas que se puedan.', '8\nLuego verter el arroz y un poquito de azafrán.', '9\nSe rehoga nuevamente y luego se vierte el fumet de pescado.', '10\nCuando empiece ha hervir rectificaremos de sal y añadiremos una picada hecha con ajo y perejil.', '11\nLo mantendremos hirviendo durante cinco minutos y decoraremos la paella con las mitades de bogavante.', '12\nUna vez decorada la introduciremos en el horno durante 10 minutos, procurando que no se queme.']","Valoración: 3,3 (42 votos)","['dos bogavantes de 500-600 gr. cada uno', '400 gr. de arroz', '1 cebolla grande', '2 pimientos, uno verde y el otro rojo', '2 tomates maduros', '3 ó 4 dientes de ajo', '1 vaso pequeño de aceite de oliva', 'sal', 'pimienta', '5-6 ramitas de perejil', '250 gr. de gambas peladas', '150 gr. de calamar troceado', '150 gr. de almejas', '850 ml. de fumet de pescado.']",https://www.recetasgratis.net/receta-de-paella-de-bogavante-al-horno-19541.html,,,,,,
Paella de camarones y pollo,,"['1\nColocar el pollo en una olla con agua fría, sal, cebolla y zanahoria, llevar a ebullición y cocer durante 40 minutos.', '2\nLimpiar y poner los camarones en un colador sobre la olla donde esta el pollo para que se ablanden un poco.', '3\nPelar los camarones y echar las cabezas y concha al caldo del pollo.', '4\nPasado los 40 minutos, sacar el pollo, dejar enfriar y deshuesar, echar los huesos al caldo y dejar cocinar por otros 10 minutos.', '5\nColar el caldo y reservar 1 litro al calor. Poner el aceite a calentar en una paellera, dorar el ajo y la ñora picada y sin semillas, retirar del aceite y machacar en un portero con un poco de caldo.', '6\nEn el mismo aceite rehogar la carne del pollo, los camarones y el arroz.', '7\nPoner la ñora y el ajo en un colador o chino y verte el caldo a través del colador, machacando para que la ñora suelte toda la sustancia y el color.', '8\nContar 20 minutos cuando empiece a hervir y reducir el fuego a media cocción. Pasado este tiempo, retirar la paellera del fuego, tapar con un paño y dejar reposar unos minutos antes de servir.']","Valoración: 3,5 (48 votos)","['500 gr. de arroz', '1/2 pollo en trozos', '250 gr. de camarones', '1 diente de ajo', '1 ñora o pimiento choricero', 'Sal', '1 cebolla', '1 zanahoria']",https://www.recetasgratis.net/receta-de-paella-de-camarones-y-pollo-19542.html,,,,,,
Paella con magro,,"['1\nPoner 4 cucharadas de aceite en una sartén y freír muy despacio la cebolla picada y cuando tome color añadir el tomate picado sin piel ni semillas, sazonar, rehogar despacio durante unos minutos, calentar el resto del aceite en la paellera, rehogar el magro cortado en trozos, los embutidos cortados en ruedas, añadir la preparación de cebolla y tomate pasada por el pasapurés, remover para que se mezcle bien y añadir el arroz y 1 litro de agua o caldo.', '2\nContar 20 minutos en cuanto empiece a hervir.', '3\nMachacar en el mortero el ajo, perejil, una pizca de sal y el azafrán, desleír con un poco de agua templada, verter y mezclar rápido con el arroz.', '4\nPasado 10 minutos añadir los guisantes y los pimientos cortados en tiras.', '5\nTerminada la cocción, retirar la paellera del fuego y dejar reposar unos minutos antes de servir.']","Valoración: 3,3 (44 votos)","['500 gr. de arroz', '250 gr. de magro ( carne magra del cerdo próxima al lomo)', '1 morcilla', '1 chorizo', '1 latita de guisantes', '1 latita de pimientos morrones', '8 cucharadas de aceite', '1 cebolla pequeña', '1 tomate', '1 ramita de perejil', 'azafrán.']",https://www.recetasgratis.net/receta-de-paella-con-magro-19537.html,,,,,,
Paella con salchichas,,"['1\nCocer las costillitas en agua con sal durante 3/4 de hora.', '2\nSacar y separar la carne del hueso y seguir cociendo hasta que este blanda.', '3\nPartir en dos cada salchicha.', '4\nPoner el aceite a calentar en la paellera.', '5\nFreír la ñora previamente picada y sin semillas.', '6\nSacar y machacar en el mortero junto con el azafrán y un poco de caldo.', '7\nMedir el caldo (doble cantidad que de arroz) añadir el azafrán y dejar al calor.', '8\nRectificar la sazón.', '9\nEn la misma grasa de la paellera dorar la cabeza de ajo, las salchichas y la carne de las costillitas.', '10\nAñadir el arroz si las salchichas sueltan demasiada grasa quitar un poco.', '11\nRehogar y verter el caldo pasándolo por un colador o un chino y apretando para que la ñora suelte toda la sustancia y color.', '12\nEn cuanto empiece a hervir contar 20 minutos y reducir el fuego a media cocción.', '13\nTerminado el tiempo.', '14\nRetirar y dejar reposar la paella unos minutos antes de servir.', '15\nPara 5 personas.']","Valoración: 3,3 (44 votos)","['500 gr de arroz', '500 gr de costillitas picadas en trozos', '6 salchichas', '6 cucharadas de aceite', '1 cabeza de ajos', 'Sal', '1 ñora ( pimentón muy picante, guindilla)', 'Azafrán']",https://www.recetasgratis.net/receta-de-paella-con-salchichas-19538.html,,,,,,
Paella alicantina,,"['1\nEn una paella, poner el aceite y freír las ñoras.', '2\nRetirarlas y, en el mismo aceite, freír los ajos picados.', '3\nCuando empiecen a tomar color, añadir los tomates troceados y luego las alcachofas en trozos y los guisantes.', '4\nIncorporar también los pescados troceados y los mejillones.', '5\nPor último, añadir el arroz y dejarlo sofreír unos instantes.', '6\nEspolvorear con el pimentón y el azafrán.', '7\nMachacar en el mortero las ñoras, añadirles una taza de agua caliente y colarlas por un colador chino encima del arroz, junto con las otras 7 tazas de agua hirviendo.', '8\nDejar cocer unos cinco minutos a fuego vivo y otros 10 a fuego suave.', '9\nTambién se puede sustituir el fuego suave introduciendo la paella en el horno hasta que esté cocido el arroz.', '10\nPara 4 personas.']","Valoración: 3,4 (45 votos)","['4 tazas de arroz', '150 gr de congrio', '150 gr de rape', '12 mejillones', '4 alcachofas', '2 tomates', '100 gr de guisantes', '3 dientes de ajo', '4 ñoras', '1 cucharada de pimentón dulce', '2 papeletas de azafrán', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-paella-alicantina-19534.html,,,,,,
Paella con pollo en trozos,,"['1\nLimpiar y abrir al vapor las almejas y mejillones, colar el jugo que han soltado y poner en una olla al fuego con 3/4 litros de agua, quitar una de las conchas a los moluscos y echarla a la olla.', '2\nPelar los camarones y echar las cabezas y conchas al caldo de los moluscos, dejar hervir a fuego lento.', '3\nLimpiar los calamares y cortar en anillos.', '4\nRallar o picar muy fino la cebolla.', '5\nQuitar las semillas al pimentón y picar.', '6\nRallar los tomates.', '7\nAbrir y escurrir los guisantes y pimientos morrones.', '8\nCortar los pimientos morrones en tiras, reservar.', '9\nSazonar el pollo y las costillitas, triturar juntos el perejil y el ajo.', '10\nPoner a calentar el aceite en una paellera, dorar el pollo y las costillitas, rehogar las cigalas, removiendo con cuidado para que no se rompan, sacar y reservar.', '11\nAñadir los calamares y los camarones al pollo, rehogar y a continuación incorporar la cebolla, el tomate y el pimentón, freír despacio, unos minutos antes de añadir el ajo y el perejil, remover, agregar los guisantes bien escurridos, machacar el azafrán con un poco del caldo, añadir el pimentón en polvo, mezclar todo muy bien, añadir a la paella por ultimo echar el arroz y rehogar unos minutos moviendo para que no se queme, colar el caldo y medir doble cantidad de liquido que de arroz, probar el punto de sal y verterlo muy caliento sobre la paellera.', '12\nPasado 10 minutos reducir el fuego y colocar en forma decorativa las cigalas, mejillones y almejas, cocer despacio otros 10 minutos y en ultimo momento añadir las tiras de pimiento morrón.', '13\nTerminado el tiempo de cocción, retirar la paellera del fuego y tapar con un paño, dejar reposar unos minutos antes de servir.']","Valoración: 3,4 (43 votos)","['400 gr. de arroz', '1/2 pollo picado en trozos', '250 gr. de costillitas de cerdo picadas en trozos', '250 gr. de calamares', '250 gr. de camarones', '500 gr. de cigalas', '250 gr. de almejas', '1 latita de guisantes', '1 latita pequeña de pimientos morrones', '1 cebolla', '2 tomates', 'unas hebras de azafrán', '1 pimentón verde', '3 dientes de ajos', '2 ramitas de perejil', '1/2 cucharadita de pimentón en polvo', '6 cucharadas de aceite', 'sal.']",https://www.recetasgratis.net/receta-de-paella-con-pollo-en-trozos-19531.html,,,,,,
Paella con calamares y mejillones,,"['1\nAbrir los mejillones al vapor.', '2\nCalentar el aceite en una paellera, sofreír el pimentón y sacarlo, echar el pollo, freírlo bien y sacarlo, sofreír los calamares y sacarlos, incorporar entonces el tomate y el arroz, rehogar bien y añadir el caldo hirviendo ( el doble de la cantidad de arroz).', '3\nSazonar.', '4\nMachacar los ajos, perejil y azafrán.', '5\nDiluirlos en un poco de caldo y añadir a la paellera, junto con los guisantes, calamares, pollo y pimentón verde.', '6\nCocer durante 20 minutos y antes de terminar la cocción colocar encima los mejillones y las tiras de pimiento morrón.', '7\nDejar reposar 5 minutos cubierto con un paño húmedo antes de servir.', '8\nPara 4 personas.']","Valoración: 3,4 (5 votos)","['400 gr de arroz', '1/2 pollo cortado en trozos', '500 gr de mejillones', '250 gr de calamares limpios y picados en aros', '1 pimentón verde, sin semillas y cortado en tiras', '1 pimiento morrón cortado en tiras', '1/2 taza de tomate cortado en trozos y frito', '1 latita de guisantes', '1 litro de caldo', '3 dientes de ajos', 'Azafrán', 'Perejil', '8 cucharadas de aceite', 'Sal']",https://www.recetasgratis.net/receta-de-paella-con-calamares-y-mejillones-19530.html,,,,,,
Arroz para sushi con vinagre de manzana,"En esta ocasión aprenderás a preparar arroz para sushi fácilmente. Se trata de una receta muy sencilla y rápida, con la que podrás elaborar tu propio sushi de forma más económica. Sigue leyendo y descubre con RecetasGratis.net el paso a paso.","['1\nPon el agua a hervir y añade el arroz para sushi cuando alcance el punto de ebullición. Baja el fuego, tapa la olla y deja que se cocine hasta que el arroz absorba todo el líquido.', '2\nCoge una cacerola pequeña y mezcla el vinagre con el jugo de limón, el azúcar y la sal. Lleva esta mezcla a ebullición, baja el fuego cuando hierva para que se cocine a fuego lento hasta que el azúcar esté completamente disuelto.', '3\nCuando el arroz esté listo, añádelo a la mezcla anterior una vez el azúcar se haya disuelto. Mezcla y deja que se cocine hasta que el arroz haya absorbido todo el líquido. Retira del fuego y deja que se enfríe.', '4\nEl arroz para sushi ya está listo. Ahora puedes emplearlo para preparar sushi de salmón, sushi de aguacate o sushi california roll.']","Valoración: 3,4 (43 votos)","['1 taza de Agua (240 mililitros)', '135 gramos de Arroz de grano corto', '½ cucharadita de Vinagre de manzana', '½ cucharadita de Jugo de limón', '2 cucharadas soperas de Azúcar', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-arroz-para-sushi-con-vinagre-de-manzana-19505.html,2 comensales,30m,,Dificultad baja,,[]
Arroz frito tres delicias,,"['1\nCalentar dos cucharadas de aceite en un wok o sartén y saltear el ajo picado. En cuanto tome color agregar las gambas cortadas en trozos de 1 cm. Saltearlas removiendo hasta que estén casi cocidas y se vuelvan rosa.', '2\nAñadir el jerez y, en cuanto deje de sisear, retirar las gambas y reservarlas.', '3\nBatir los huevos en un recipiente aparte y salpimentar. Revolver el arroz en un recipiente aparte para que quede suelto.', '4\nPoner dos cucharadas de aceite en un wok o sartén, añadir las cebolletas y sofreírlas durante 1 minuto. Echar los huevos batidos y remover con una espátula de madera hasta que estén secos y sueltos.', '5\nAñadir el arroz al wok y mezclar bien. Añadir la salsa de soja y el jamón sin dejar de remover. Luego echar las gambas y mezclar. Deja al fuego hasta que se calienten bien todos los ingredientes.', '6\nEl arroz frito tres delicias se sirve de inmediato y bien caliente. Y si te gustan los arroces fritos seguro te gustará el arroz frito con piña.']",Valoración: 3 (9 votos),"['4 tazas de Arroz cocido (700 gramos)', '200 gramos de Gambas peladas', '8 cucharadas soperas de Aceite', '2 dientes de Ajo', '1 cucharada sopera de Jerez', '3 unidades de Cebolleta picadas', '2 unidades de Huevo', '1 vaso de Guisantes cocidos', '1 vaso pequeño de Jamón york picado', '2 cucharadas soperas de Salsa de soja']",https://www.recetasgratis.net/receta-de-arroz-frito-tres-delicias-19484.html,6 comensales,30m,Plato principal,Dificultad baja,,[]
Arroz chaufa tres sabores,,"['1\nLos camarones, el chancho asado, la gallina y la cebolita china picarlos en cuadraditos.', '2\nMezclar los huevos con la sal y la pimienta.', '3\nFreír las tortillas.', '4\nPoner al fuego la sartén con 3 cucharadas de aceite y freír los ajos con el kion y añadir los camarones, el chancho y la gallina.', '5\nRevolver y agregar la tortilla, luego sazonar con el aji-no-moto y la sal y echar el sillao.', '6\nMezclar hasta que esté uniforme el arroz. Para sacar se agrega la cebollita china picada.']","Valoración: 3,9 (7 votos)","['100 gr de colitas de camarones sancochadas', '100 gr de chancho asado', '100 gr de gallina sancochada', '4 tazas de arroz cocido', '12 cebollitas chinas', '5 huevos', '5 cucharadas de aceite', '2 dientes de ajos', '1/2 cucharadita de Kion', '1 1/2 cucharadita de Sillao', '2 1/2 cucharadita de sal', '5 cucharadas de aceite', '1/2 cucharadita de Aji-no-moto', 'Glumato de Sodio']",https://www.recetasgratis.net/receta-de-arroz-chaufa-tres-sabores-19474.html,,,,,,
