title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Los tradicionales e inigualables!,"Prepara unos tradicionales tortos de maíz con el paso a paso que te mostramos en RecetasGratis y sorprende a todos con un plato diferente.Los tortos asturianos son una receta asturiana típica que puede ser similar a las tortillas mexicanas de maíz y se acompañan con huevo frito o carne picada con chorizo, y otros ingredientes. A diferencia de las tortillas mexicanas, los tortos de maíz se fríen en abundante aceite de oliva en vez de ir cocinados a la plancha.Las recetas con harina de maíz son fundamentales en una dieta sin gluten. Por eso, puedes eliminar la cantidad de harina de trigo de este plato de tortos, aumentar ese porcentaje de harina de maíz y hacer la receta sin gluten, apta para celíacos.","['1\nReunimos todos los ingredientes para preparar los tortos de maíz.', '2\nEn un bol mezclamos las harinas con la sal y el agua tibia y vamos mezclando. Es importante que el agua no esté fría para que la masa de los tortos asturianos se forme sin grumos y de forma sencilla.', '3\nFormamos una masa homogénea y la dejamos reposar unas 6 horas. Este masa paras tortos de maíz no requiere amasado.', '4\nCortamos bolitas pequeñas de la masa de los tortos caseros y las extendemos/estiramos con ayuda de un rodillo, como indicamos en la imagen.', '5\nFreímos los tortos de maíz en abundante aceite de oliva a fuego fuerte. Dejamos que se doren por ambos lados.', '6\nEs importante dejar reposar los tortos asturianos sobre papel absorbente para que suelten el exceso de aceite y queden deliciosos.', '7\nEstos tortos de maíz se pueden acompañar con huevo frito. Y si quieres preparar un menú típico asturiano, anímate a cocinar una fabada asturiana con judías de bote, ¡está deliciosa!']",Valoración: 4 (2 votos),4 comensales,8h,Acompañamiento,Dificultad media,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin gluten', 'Recetas españolas', 'Recetas asturianas']","['100 gramos de Harina de maíz', '30 gramos de Harina de trigo', '1 pizca de Sal', '125 mililitros de Agua templada', '400 mililitros de Aceite de oliva']",https://www.recetasgratis.net/receta-de-tortos-de-maiz-63980.html
Sándwich mixto gratinado al horno,"Este sándwich mixto gratinado al horno no tiene desperdicio porque se puede hacer fácilmente y sirve tanto de entrante, aperitivo, tapa, o como plato para picotear si tienes invitados en casa o estás celebrando algún evento. Sigue la receta que Jaine Osorio ha compartido con la app de RecetasGratis y verás lo rico que está relleno de jamón y queso.","['1\nEngrasar molde con un poco de aceite o un trozo de mantequilla donde quieras hornear el sándwich gratinado con bechamel.', '2\nColocar los panes de molde en la fuente de horno. Puedes escoger los de tamaño estándar o los que son un poco más grandes para hacer unos sándwiches mixtos al horno bien grandes.', '3\nColocar por encima una loncha de jamón y otra de queso, o más de una si lo prefieres. Asimismo, puedes probar otros ingredientes para hacer el sándwich gratinado al horno.', '4\nColocar otro trozo de pan de molde por encima de cada uno para taparlo.', '5\nCubrir con salsa bechamel y hornear los sándwiches de jamón y queso al horno a 180 ºC.', '6\nServir el sándwich mixto gratinado al horno con bechamel recién hecho entero o cortado por la mitad.']",Valoración: 4 (1 voto),8 comensales,1h 30m,Entrante,Dificultad baja,,['Recetas al horno'],"['Salsa bechamel', 'Panes de molde', 'Jamón en lonchas', 'Queso en lonchas']",https://www.recetasgratis.net/receta-de-sandwich-mixto-gratinado-al-horno-63956.html
Blanditas de Veracruz,"Una receta propia de la gastronomía veracruzana de México son las blanditas y gracias a Maylopez, una usuaria de nuestra app de RecetasGratis, podemos prepararlas fácilmente. Échale un vistazo a estas blanditas de Veracruz y sigue las instrucciones paso a paso para disfrutarlas.","['1\nEn una sartén con un poco de aceite agregar las tortillas mexicanas y cocinar una por una sin dejar dorar (tostar).', '2\nYa que pasamos todas las tortillas, las ponemos en un plato, las embarramos de frijol y las espolvoreamos de chorizo.', '3\nAgregamos lechuga, el queso y encima de las blanditas veracruzanas la salsa al gusto. ¡Buen provecho!Si estás interesado en otras recetas propias de esta región no te pierdas:Camarones enchilados estilo VeracruzHuevos a la veracruzanaEstrujadas caseras paso a paso']",Valoración: 5 (2 votos),2 comensales,15m,Entrante,Dificultad baja,,"['Recetas mexicanas', 'Recetas veracruzanas']","['1 taza de frijoles fritos', '6 tortillas', 'Chorizo al gusto ya cocido', '1/2 lechuga picada', 'Queso', 'Salsa de jitomate']",https://www.recetasgratis.net/receta-de-blanditas-de-veracruz-63912.html
¡Con mermelada y mayonesa!,"No podrás resistirte al sabor de estas tostas de bacon y queso gratinadas al horno con mayonesa de curry verde y mermelada de tomate que nos ha traído nuestro amigo de la app Chef_titos a RecetasGratis, una receta paso a paso muy fácil y rápida de hacer que te servirá para triunfar con un entrante delicioso y muy visual. ¡Pruébalas!","['1\nCortar el bollo de pan en tostas en diagonal.', '2\nCortar el queso en bastones y enrollarlos con las tiras de bacon.', '3\nHacer la mahonesa de curry verde echando un poco de pasta de curry verde un poco de salsa de soja y unas cucharadas de mayonesa. Y mezclar todo bien hasta que esté homogéneo.', '4\nNapar cada tosta de bacon y queso con la mezcla.', '5\nHornear entre 180 y 200 °C hasta que el queso se derrita y se gratine la salsa entre 2 y 4 minutos aproximadamente. Las recetas de tostas gratinadas son aún más deliciosas si cabe.', '6\nAñadir un poco de mermelada de tomate encima de las tostas de bacon y queso gratinado y decorar al gusto.']",,4 comensales,15m,Entrante,Dificultad baja,,[],"['Bollos de pan para tostas (preferiblemente de sésamo o pipas o cereales)', 'Tiras de bacon', 'Queso Arzua o similar (tetilla, etc.)', 'Mahonesa', 'Pasta de curry verde', 'Salsa de soja', 'Mermelada de tomate']",https://www.recetasgratis.net/receta-de-tostas-de-bacon-y-queso-63891.html
¡Más sencillo y sabroso imposible!,"¿Habías oído hablar del hummus de tomate seco? Pues se trata de un hummus de garbanzos y tomate pero en lugar de ser frescos, estos están deshidratados o se encuentran conservados en aceite, como si de anchoas de tratasen. Son muchos los usos del tomate deshidratado pero esta vez en RecetasGratis te vamos a enseñar solo uno de ellos para que consigas preparar esta receta de hummus de tomate seco fácil y súper rápida, ¡y a disfrutar comiendo sano!","['1\nLo primero que tenemos que hacer para preparar este hummus de tomate seco es hidratar los tomates secos en el caso de que no estén en aceite en conserva y estén solamente deshidratados: para ello, colocamos los tomates deshidratados en un plato o recipiente cubiertos con agua durante 24 horas, luego los secamos bien con papel de cocina y los dejamos en otro recipiente o plato cubiertos de aceite durante una semana en la nevera.\nTruco: Si utilizáis tomates secos en aceite os ahorraréis mucho más tiempo en prepara la receta de hummus.', '2\nPosteriormente, colocamos los garbanzos sin escurrirlos demasiado con un pelín del caldo de cocción o de conserva si son de bote en una batidora/procesadora de alimentos.\nTruco: En el caso de que los garbanzos sean secos tendrás que dejarlos en remojo y cocerlos previamente.', '3\nA continuación, añadimos a la batidora los tomates secos hidratados (sin escurrirlos tampoco demasiado de aceite), los dientes de ajo partidos por la mitad (sin el germen de su interior) y la cucharadas de tahini.Si prefieres probar un hummus sin tahini aquí tienes la receta fácil y rápida para hacerlo en casa.', '4\nSeguidamente, agregamos el comino, el pimentón, la sal y la pimienta al gusto, el chorro de limón y las hojas de perejil o cilantro fresco, y trituramos el hummus de garbanzos y tomate hasta obtener una especie de puré homogéneo.', '5\nAhora comprobamos la textura y el sabor y rectificamos con sal o alguna especia si es necesario. Si vemos que el hummus de tomate seco nos ha quedado muy espeso, podemos añadir un poco más de caldo de las legumbres o de aceite de oliva virgen extra para hacerlo más líquido.', '6\nPor último, con ayuda de una lengua pastelera o espátula de cocina vertemos el hummus de tomate seco en el recipiente o bandeja que queramos ¡y listo!No te olvides de probar también estas otras recetas de hummus variadas que te recomendamos:Hummus de remolachaHummus de berenjenaHummus de lentejas']",,4 comensales,10m,Entrante,Dificultad baja,,['Recomendada para veganos'],"['400 gramos de Garbanzos cocidos de bote o caseros', '2 dientes de Ajo', '100 gramos de Tomates secos deshidratados o en aceite', '2 cucharadas soperas de Tahini', '1 rama de Cilantro o perejil fresco', '1 cucharadita de Comino', '1 cucharadita de Pimentón dulce', '30 mililitros de Aceite de oliva virgen extra', '1 pizca de Sal', '1 pizca de Pimienta', '1 chorro de Zumo de limón']",https://www.recetasgratis.net/receta-de-hummus-de-tomate-seco-63845.html
¡Te sorprenderá su increíble sabor!,"¡Palomitas, palomitas y más palomitas de maíz! Dulces o saladas siempre resultan un aperitivo muy atractivo para grandes y chicos. ¿Quién no se imagina en el cine o en casa con un gran recipiente lleno de palomitas?Las palomitas caseras son deliciosas y por su versatilidad, así jamás te aburrirán. Por eso existen las palomitas estilo gourmet donde se mezclan sabores atrevidos con el maíz. Existen muchas opciones porque el maíz, gracias a su sabor neutral, puede combinar con casi todo.Además, las cotufas resultan una alternativa nutricional muy atractiva por sus bajas calorías e infinitos beneficios nutricionales. Por todas sus cualidades culinarias y aportes nutritivos, RecetasGratis seleccionó para ti esta receta: palomitas al curry. Imagina el sabor muy marcado del curry con la maravillosa textura del maíz de palomitas... ¡mmm!En vacaciones o celebraciones icónicas como Halloween o Navidad puedes disfrutar con amigos y familiares de esta deliciosa receta de palomitas de maíz al curry. ¡Sí! En Halloween son ideales para completar la mesa o para asustarte frente al televisor durante un maratón de pelis de terror o misterio… ¡Buuuu!Esta receta de palomitas caseras trae dos aderezos adicionales que resultan perfectos para combinar si no sabes cómo hacer palomitas al curry. Primero está la receta base que es curry y maíz en grano. La primera opción adicional es: miel y curry. La segunda opción adicional es: curry, limón y cilantro. Las tres versiones resultan muy fáciles de preparar. Para la receta base sólo necesitas un cazo con aceite muy caliente y agregas a las palomitas el curry. Cocinas, sacudes un poco y… ¡listo! Añade sal, si lo prefieres.Para la primera opción adicional de aderezo: agregas a la receta base un aderezo de curry y miel. Solo necesitas mezclar la miel y el curry. ¡Sí, así de fácil! La pasta obtenida la revuelves con las cotufas de maíz y listo. El segunda aderezo opcional es curry, limón y cilantro. A la receta base de palomitas al curry le agregas este aderezo. La mezcla es simple: zumo de limón, ralladura de cascara de limón, curry y trocitos de cilantro. Luego, mezclas todo con las cotufas caseras. La cantidad de curry, en todas las opciones, también depende de tu gusto.","['1\n¡Sólo tres ingredientes! Sí, te lo dije, esta opción culinaria es económica y deliciosa. Además, posees la opción de elegir entre tres aderezos opcionales para enriquecer el sabor de las palomitas de maíz con curry. ¡Mmm!', '2\nUtiliza una cacerola, vierte aceite en ella y espera a que esté bien caliente. Cubre el cazo con una tapa. Así, no saltarán por doquier las cotufas de maíz.', '3\nLas palomitas estarán listas cuando ya no escuches más explosiones. ¡Listo! Ya puedes degustar las palomitas de maíz con curry espolvoreando una pizca de la especia por encima y mezclando todo bien. Las cocinas unos minutos, sacudes un poco y añades sal al gusto si quieres. Este es el paso final. ¡Sí, así de sencillo! Sin embargo, tengo para ti otras opciones adicionales para disfrutar.', '4\nDeposita las palomitas de maíz con curry dentro de un bol y reserva. En otro envase, prepara el aderezo de curry y la miel. Mezcla ambos ingredientes hasta crear una pasta y luego vierte en el bol de las palomitas reservadas. Remueve muy bien, hasta integrar ambos productos. ¡Muy sencillo!Otra opción es el aderezo de curry, limón y cilantro. El proceso es semejante al paso anterior. Reserva por un lado las palomitas al curry. Mientras, en otro bol vierte el zumo de limón, la ralladura de cáscara de limón y el cilantro picado muy finito. Mezcla los tres ingredientes y agrega la pasta resultante a las palomitas de maíz. Remueve bien, hasta integrar el aderezo. ¡Fácil entre lo fácil!\nTruco: La miel suaviza el sabor del curry. Mientras que el aderezo de limón, otorga frescura al aperitivo.', '5\n¡Estas palomitas al curry son un vicio! Te aseguro que cuando las pruebes, no podrás parar de comerlas. Cualquiera de estas tres versiones con curry te deleitará... tenlo por seguro.Esta receta es demasiado sencilla, ideal para prepararla un domingo o un día festivo. ¿Qué esperas para degustarlas? Por favor, cuéntame si te agrada esta receta y si la preparas, deleita a todos nosotros con tu ingenio.']",,2 comensales,15m,Merienda,Dificultad baja,,[],"['1 taza de Maiz de palomitas', '6 cucharadas soperas de Curry', '6 cucharadas soperas de Curry', '3 cucharadas soperas de Miel', '1 cucharada sopera de Curry', '1 pizca de Limón rallado', '1 chorro de Zumo limón']",https://www.recetasgratis.net/receta-de-palomitas-al-curry-63766.html
Palomitas de Oreo y chocolate blanco,"Las palomitas de maíz son uno de los aperitivos más populares del mundo…pero las galletas oreo no se quedan atrás. Por esta razón existen miles de versiones de ambas golosinas. ¿Quién puede negarse a probar tales delicias?La mayoría de las personas, asocian las palomitas caseras con descanso, alegría y esparcimiento. Es decir, durante las grandes festividades no pueden pasar por alto estas delicias. Pero… ¿imaginas un golosina con ambos componentes? Pues, aquí te traigo una receta muy especial y apetitosa de palomitas de oreo y chocolate blanco. RecetasGratis se complace en presentarte un dúo imbatible, exclusivo para tus horas de ocio, entretenimiento y… glotonería: palomitas de galleta Oreo. ¡Sí, créelo! Puedes disfrutar la textura suave y algo crujiente de las cotufas de maíz, combinadas con la particular dulzura de las galletas oreo. Y como si fuera poco, ambos bañados ¡en el sofisticado sabor del chocolate blanco!La palomitas de maíz con Oreo, resultan un aperitivo ideal para compartir o incluso… ¡disfrutar a solas! Durante las celebraciones de los últimos meses del año, estas palomitas caseras pueden dar mucho que hablar. Sea frente al televisor, durante un maratón de películas de terror o navideñas. O también luciéndose en la mesa durante las fiestas de Halloween.Este aperitivo/postre con Oreo es muy fácil de preparar, créeme, sólo necesitas preparar las cotufas, triturar las galletas oreo, derretir el chocolate, mezclar todo y… ¡servir! Si no sabes cómo hacer palomitas de Oreo, esta receta es tan fácil de cocinar que resulta ideal para prepararla con los peques de la casa. Aunque es recomendable que un adulto siempre supervise para evitar accidentes, y por supuesto, esto dependerá de la edad del niño.","['1\nDispón en la mesa de trabajo los ingredientes y utensilios necesarios para esta receta. Los postres con Oreo son irresistibles... así que ¡prohibido comerse algunos ingredientes antes de empezar!', '2\nPrepara un cazo con aceite y espera a que caliente. Agrega el maíz para las palomitas caseras y cubre el recipiente con una tapa.', '3\nCuando escuches el último estallido de estas palomitas de maíz en sartén, podrás retirar el cazo del fuego. Retira todos los granos que no han explotado.', '4\nTrituras las galletas Oreo con el mortero. Existen otras alternativas para triturar estas galletas: licuadora, procesador eléctrico, mixer, etc. ¡Los postres con Oreo son fáciles de preparar!', '5\nDerrite el chocolate en baño María o en el microondas. Para este proceso sólo necesitas colocar un cazo pequeño dentro de un cazo más grande. Remueve hasta que el chocolate se derrita.', '6\nUtiliza un bol para colocar las palomitas dulces. Añade el chocolate. Mezcla. ¡Qué deliciosas palomitas con chocolate blanco!', '7\nAñade las galletas trituradas y mezcla muy bien hasta integrar todos los ingredientes.', '8\n¡A degustar! Estas deliciosa golosina de palomitas de Oreo y chocolate blanco será una irresistible tentación para este otoño. La preparación es muy simple y el resultado...¡exquisito!Prueba estas exquisitas palomitas deli y por favor, comparte tu experiencia con nosotros.']",Valoración: 4 (2 votos),2 comensales,15m,Merienda,Dificultad baja,,[],"['1 taza de Maíz para palomitas', '200 gramos de Chocolate blanco', '7 Galletas Oreo']",https://www.recetasgratis.net/receta-de-palomitas-de-oreo-y-chocolate-blanco-63765.html
Brochetas de pollo a la plancha,Estas brochetas de pollo a la plancha que esta vez os enseño a preparar en RecetasGratis las preparamos muy a menudo en verano cuando tenemos alguna reunión familiar o con amigos. Pero podemos disfrutar de esta brochetas de pollo y pimiento en cualquier momento del año ya que sus ingredientes los encontramos en el mercado cualquier día. Tomad buena nota porque os van a encantar y ¡desaparecerán a medida que las vayáis retirando del fuego! No olvidéis visitar mi blog Los dulces secretos de Cuca donde comparto muchas más recetas con vosotros.,"['1\nEn primer lugar, para preparar estas brochetas de pollo y verduras a la plancha, comenzamos limpiando las pechugas de pollo y les quitamos la piel (si la tienen) y cualquier resto de grasa que les quede. Las cortamos en daditos de aproximadamente el mismo tamaño, las ponemos en un bol y ponemos sal y pimienta. Removemos bien y reservamos.\nTruco: Puedes utilizar el aliño para brochetas de pollo que se te antoje pero yo prefiero ponerle solamente sal y pimienta.', '2\nLavamos y secamos los pimientos, y los abrimos, les quitamos el rabito y las semillas del interior. Los partimos en cuadrados de un tamaño similar a los dados de pollo que hemos cortado. Reservamos.', '3\nPor último, pelamos la cebolla y la partimos en cuadrados de un tamaño similar al de los cuadrados de pimiento y los dados de pechuga de pollo. Separamos las capas y reservamos.', '4\nPara montar las brochetas de pollo y pimiento necesitaremos palillos de madera. Vamos pinchando y alternando trozos de cebolla, de pollo y de pimiento tal y como veis en estas brochetas a la plancha de la portada, o siguiendo el orden que más os guste.', '5\nCuando tengamos todas las brochetas de pollo y verduras listas pintamos la plancha con un chorrito de aceite de oliva y cuando esté caliente las colocamos encima. Las vamos girando para que se hagan bien por todos lados y las retiramos del fuego cuando estén hechas.Si no podéis ponerlas todas a la vez tendremos que cocinar las brochetas a la plancha por tandas. O también se pueden hacer en la barbacoa.', '6\nNo olvidéis acompañar las brochetas de pollo a la plancha de una deliciosa ensalada de patata o de pepino, y elegid un buen postre como una tarta de queso o un risotto dulce con chocolate para hacer una comida redonda.']",Valoración: 4 (1 voto),6 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['2 pechugas de Pollo', '2 Cebollas', '2 Pimientos verdes', '1 Pimiento rojos', '1 chorro de Aceite oliva virgen extra', '1 pizca de Sal', '1 pizca de Pimienta negra molida']",https://www.recetasgratis.net/receta-de-brochetas-de-pollo-a-la-plancha-63640.html
"Empanadas de carne, jamón y queso","Consigue unas ricas y sabrosas empanadas de carne, jamón y queso con una deliciosa masa de yogurt que podrás hacer y conservar en la nevera para utilizarla siempre que quieras, gracias a este paso a paso que nos ha traído nuestra amiga de la app Rocisilva a RecetasGratis. ¡Pruébalas y deja un comentario con tu opinión sobre la receta!","['1\nPrepara la masa de empanadas de yogurt: para ello cernir 1 kg de harina junto con 1 cucharadita de sal y en el centro poner una taza de manteca blanda, se toma con un litro de yogurt natural, se amasa, se divide en 4 porciones, se guarda en bolsita de nylon en la heladera. Luego se sacan de a una cada porción, se estiran, se cortan medallones y se rellenan de lo que se quiera para hacer las empanadas al horno.', '2\nPara elaborar el relleno de carne de las empanadas de jamón y queso al horno poner en una cacerola 100 gramos de manteca, marchitar 2 cebollas finamente picadas, agregar 1/2 kg de de carne picada, un morrón rojo y un tomate pelado y picado. Dejar cocinar la carne, agregar la cucharadita de fécula de maíz para espesar el jugo. Cocinar un momento y retirar. Poner 100 gramos de pasas de uva, 3 huevos duros picados, 100 gramos de aceitunas verdes picadas, jamón a tiras y condimentos. Se puede agregar 200 gramos de queso rallado también.', '3\nRellenar las empanadas de carne jamón y queso y hornear en horno caliente unos 20 a 25 minutos.']",,12 comensales,6h,Entrante,Dificultad media,,[],"['1 kg de harina', 'Sal', '1 taza de manteca', '1 litro de yogurt', '100 g de manteca', '1/2 kg de carne picada', '1 morrón rojo', '100 gramos de pasas', '2 cucharadas de fécula de maíz', '100 gramos de aceitunas verdes picadas', '200 gramos de queso rallado', '2 cebollas', '1 tomate', '3 huevos duros picados', 'Sal', 'Pimienta', 'Condimentos al gusto', 'Jamón a tiras']",https://www.recetasgratis.net/receta-de-empanadas-de-carne-jamon-y-queso-63726.html
Sopes de chorizo mexicanos,Estos sopes de chorizo mexicanos son facilísimos de hacer si ya tienes la masa hecha previamente porque en media hora ya los puedes tener listos para comer. Sigue leyendo el paso a paso que Maylopez ha compartido con RecetasGratis y verás lo ricos y sabrosos que están estos sopes mexicanos con chorizo.,"['1\nHacer una pequeña tira de masa de sopes mexicanos como la de la fotografía.', '2\nAplanarla en la tortillera... Quedara así...', '3\nPonerla a cocer en el comal.', '4\nYa que has hecho varias tortillas ovaladas retirarlas del fuego.', '5\nComenzamos a guisar el chorizo con un poco d aceite.', '6\nHacemos una salsa de jitomate con chile verde.', '7\nEmbarramos los sopes mexicanos con frijoles y espolvoreamos el chorizo.', '8\nAgregamos encima lechuga, con el queso y la cebolla al gusto.', '9\nBañamos los sopes mexicanos de chorizo al gusto con la salsita que preparamos de jitomate... Y listo....']","Valoración: 4,5 (2 votos)",4 comensales,30m,Entrante,Dificultad baja,,['Recetas mexicanas'],"['1 kg masa de sopes', '1/4 queso', '1/4 chorizo', '1/2 lechuga', '1/4 cebolla picada', '1/2 taza de frijoles molidos']",https://www.recetasgratis.net/receta-de-sopes-de-chorizo-mexicanos-63653.html
