title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Tamales de mani,,"['1\nRallar los choclos.', '2\nAbrir los ajíes mirasol secos, despepitar y desvenar.', '3\nLavar bien y hervir con agua por 5 minutos.', '4\nEliminar agua y licuar con un poco de aceite vegetal.', '5\nFormar una pasta.', '6\nEn una sartén colocar 2 cucharadas de manteca y cuando esté caliente freír la cebolla finamente picada, el ajo, sal, pimienta, pasta de ají molido y la carne de pollo cortada en trozos regulares.', '7\nUna vez que el pollo esté dorado, añadirle agua o caldo (que cubra) y dejar que el pollo se cocine a fuego lento.', '8\nAparte, en una olla poner los 200 g de manteca.', '9\nUna vez que ésta haya derretido se agregan los choclos rallados y se mueve constantemente.', '10\nLuego se incorpora la preparación anterior (el pollo, los condimentos y el caldo).', '11\nDejar cocinar hasta que la masa de choclo esté cocida y haya espesado.', '12\nFinalmente para armar el tamal se pone un poco de la mezcla del choclo al interior de las hojas de plátano o las pancas de choclo (uniendo 2) previamente lavadas.', '13\nColocar un trozo de pollo, un cuarto de huevo cocido, maní tostado y aceituna.', '14\nCubrir con un poco más de la mezcla del choclo. Envolver con las hojas de plátano y atarlo con tiras de la misma hoja.', '15\nUna vez armados todos los tamales, cocinarlos en una olla grande con poco agua por espacio de una hora. Servir con salsa criolla.', '16\nNivel de dificultad: 1. Tiempo de preparación: 15 min. Tiempo de cocción: 30. Vegetariana.']",Valoración: 3 (4 votos),"['10 choclos grandes (maíz, elote)', '½ k (1 lb) pollo', '3 dientes de ajo', '50 g (1/8 lb) maní tostado', '200 g (1/2 lb) manteca', '12 aceitunas negras sin pepas', '1 cebolla grande', '4 ají mirasol secos', '3 huevos cocidos', 'Sal', 'Pimienta', 'Ají al gusto', 'Pancas de choclo u hojas de plátano', 'Salsa criolla']",https://www.recetasgratis.net/receta-de-tamales-de-mani-15857.html,,,,,,
Tamales hondureños,"Los nacatamales o tamales hondureños son un plato típico de Honduras que suele prepararse para grande celebraciones como las de Navidad y Año Nuevo. Aunque se preparación puede resultar tediosa se trata de una receta muy sencilla, así que si quieres comer en familia un plato con tradición sigues los pasos de esta receta hondureña y a disfrutar.","['1\nPara hacer la masa, el primer paso es colocar la harina en un bol con agua. La cantidad de agua será la necesaria para que la masa quede suave y sin grumos.', '2\nAparte, haz una salsa licuando el ajo, la cebolla, el culantro y el tomate. Sazona con sal, pimienta y los condimentos que más te gusten. Puedes usar un poco de cominos molidos y orégano.', '3\nMezcla esta salsa con la masa de harina de maíz hasta que se integre bien todo. Lleva esto a una olla y cocina a fuego lento junto con la manteca de cerdo. Mueve de forma constante hasta conseguir que la masa tenga una consistencia dura y gelatinosa. Reserva y deja enfriar.', '4\nPara hacer el relleno, prepara la carne al gusto, sofríe un poco de arroz cocido, papas y garbanzos. La carne de cerdo la puedes preparara siguiendo la receta del pulled pork sandwich, para el arroz utiliza un arroz blanco clásico.', '5\nPar armar los nacatmales hondureños, primero coloca un trozo de papel aluminio y encima un cuadrado de hoja de plátano. Entonces, coloca un porción de masa en el centro, encima un poco de carne, arroz, patatas y garbanzos.', '6\nA continuación, envuelve los tamales de forma tradicional, tratando de que todo el relleno quede dentro, bien ajustado. Puedes amarrar con una tira de la misma hoja o con cordel de cocina. Si quieres una explicación detalla de este paso puedes revisar la receta de los tamales criollos peruanos.', '7\nCocina los tamales al vapor, así que para ello coloca un poco de agua en una olla alta con unas hojas de plátano al fondo y encima ve colocando los tamales intercalados. Tapa y deja que el agua hierva durante unos 60-90 minutos.', '8\nDisfruta de todo el sabor de los tamales hondureños. Y si de tamales se trata en ReetasGratis.net tenemos muchas más recetas que te pueden interesar:Tamales agrios Tamales canariosTamales de verdolagas']","Valoración: 3,7 (47 votos)","['4 libras de Harina de maíz', '1 paquete de Hojas de plátano', '3 libras de Manteca de cerdo', '2 dientes de Ajo', '1 trozo de Culantro', '½ unidad de Cebolla', '2 unidades de Tomate', '1 pizca de Sal y Pimienta', 'Carne', 'Arroz cocido', 'Garbanzos', 'Patatas cocidas']",https://www.recetasgratis.net/receta-de-tamales-hondurenos-15858.html,30 comensales,45m,Plato principal,Dificultad media,,"['Recetas para Navidad', 'Recetas al vapor']"
Tacos al pastor de soya,"Los tacos al pastor son uno de los tacos mexicanos más famosos. Pero, si por alguna razón no puedes consumir carne, la soya texturizada es una alternativa excelente ya que es rica en proteína y otros nutrientes. En RecetasGratis.Net te mostraremos como preparar unos tacos de soya al pastor deliciosos, fáciles de elaborar y muy saludables.","['1\nPara llevar a cabo esta receta de tacos al pastor de soya, vamos a reunir todos los ingredientes necesarios. Lavamos nuestras manos y procedemos a elaborarla. Si no es posible adquirir la soya saborizada, sigue la receta de tacos al pastor con la soya natural-', '2\nVamos a hidratar la soya texturizada, para ello ponemos a calentar el agua en una recipiente hasta que hierva. Vaciamos el contenido del paquete de soya en un bol y vertimos el agua hirviente, tapamos y dejamos que repose de 10 a 15 minutos.', '3\nMientras la soya se hidrata preparamos el resto de ingredientes. Para ello, lavamos, pelamos y rebanamos la piña, la cebolla la cortamos en rodajas finas y el cilantro lo lavamos, desinfectamos y lo picamos. Para preparar la salsa, asamos un diente de ajo, un trozo de cebolla, los chiles y tomates. Procedemos a licuarlos, vaciamos en una salsera, probamos de sal y agregamos cilantro picado.', '4\nColamos la soya para eliminar el exceso de agua, presionamos con nuestras manos para eliminar excedentes. Colocamos una sartén en la estufa a fuego moderado, agregamos un chorrito de aceite y procedemos a freír la cebolla en rebanadas, y cuando esté transparente agregamos la piña.', '5\nPasados 3 a 5 minutos agregamos la soya texturizada ya hidratada y movemos permitiendo que se mezclen muy bien los ingredientes.', '6\nPara armar los tacos al pastor de soya, mojamos las tortillas con un poco de aceite y las calentamos en un comal. Entonces ponemos un cucharada del guiso de soya al pastor, cilantro picado, un trozo de piña y salsa verde al gusto. Una receta mexicana espectacular!']","Valoración: 4,1 (108 votos)","['1 paquete de Soya texturizada sabor al pastor', '1 kilogramo de Tortillas de maíz', '1 pieza de Piña', '500 gramos de Cebolla', '250 gramos de Limones', '1 manojo de Cilantro', '2 litros de Agua', '500 gramos de Tomate verde', '100 gramos de Chiles serranos', '1 trozo de Cebolla', '1 diente de Ajo', '3 ramas de Cilantro', '1 cucharadita de Sal']",https://www.recetasgratis.net/receta-de-tacos-al-pastor-de-soya-15856.html,6 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin gluten', 'Recetas mexicanas']"
Sincronisadas,,"['1\nSe calientan las tortillas de harina y se les unta crema y se calientan en un sarten con mantequilla a fuego lento.', '2\nYa que esten listas las tortillas se les agrega el queso y jamón en dos tortillas como un sandwich, se calienta en una sarten hasta que el queso se redita, se saca , se abre las tortillas y se les agregas las verduras.', '3\nSe parten en cuatro pedazos como una pizza.']","Valoración: 3,4 (34 votos)","['1/4 kl. jamon', 'Crema', '8 tortillas de harina', 'Cebolla rebanada', 'Tomate rebanado', 'Queso', 'Lechuga rebanada', 'Jalapeños', 'Mantequilla']",https://www.recetasgratis.net/receta-de-sincronisadas-15851.html,,,,,,
Fajitas mexicanas mixtas,"Las fajitas son un platillo mexicano muy popular pues además de ser delicioso resulta muy fácil de preparar. Esta receta de fajitas mexicanas mixtas se prepara con carne de pollo y de res, entre otros vegetales comunes en la alacena, así que sigue leyendo RecetasGratis.net y no te pierdas el paso a paso de ésta rica y nutritiva comida.","['1\nEl primer paso para preparar nuestras fajitas mexicanas será limpiar los champiñones retirando con cuidado la piel que los cubre, como se muestra en la foto, y cortarlos en cuartos.', '2\nLava el resto de las verduras, retira tapas y bases de los pimientos, haz un corte transversal como se muestra en la fotografía. Puedes utilizar pimientos dulces rojos, verdes o amarillos al gusto.', '3\nCon cuidado retira las venas y semillas del pimiento. Corta los pimientos en rebanadas delgadas (juliana) y reserva.', '4\nCorta la cebolla en mitades y después en rebanadas delgadas.', '5\nCorta el chile serrano en rodajas no muy gruesas y reserva. Antes de cortar el chile puedes untar tus dedos con muy poco aceite para evitar que ardan.', '6\nLava tu tabla de corte o utiliza una diferente y con las manos limpias corta el pollo en tiritas. Reserva.', '7\nAparte, corta las milanesas de res en tiritas.', '8\nEn un sartén grande calienta a fuego alto dos cucharadas de aceite, saltea ligeramente la cebolla y el chile.', '9\nUna vez que la cebolla cambie de color y se torne transparente, agrega la carne de res.', '10\nPermite que la carne suelte un poco de jugo y a medio cocer agrega las tiritas de pollo. Cocina por cinco minutos más sin dejar de mover.', '11\nPasado ese tiempo agrega las rebanadas de pimiento y champiñones e intégralos bien con las fajitas mixtas. Sazona con sal y pimienta al gusto.', '12\nUna vez que las verduras estén cocidas al gusto, ajusta el fuego a bajo y cubre las fajitas con rebanadas de queso manchego o algún otro queso para gratinar, como queso oaxaca o mozzarella. Tápalas y retira de la estufa.', '13\nMantén las fajitas tapadas hasta el momento de servir para evitar que se enfríen. Acompáñalas con tortillas calientitas y tu salsa favorita. Esperamos que disfrutes de esta receta de fajitas mexicanas mixtas y si tienes alguna duda o piensas que podríamos mejorarla, no dudes en escribir tus comentarios.']","Valoración: 3,8 (64 votos)","['250 gramos de Pechuga de pollo', '250 gramos de Milanesa de res', '50 gramos de Chile serrano', '150 gramos de Cebolla', '200 gramos de Pimiento', '100 gramos de Champiñones', '250 gramos de Queso manchego', '2 cucharadas soperas de Aceite vegetal']",https://www.recetasgratis.net/receta-de-fajitas-mexicanas-mixtas-15801.html,5 comensales,30m,Plato principal,Dificultad media,,['Recetas mexicanas']
Arepa de huevo,,"['1\nPoner la harina en un tazón junto con la sal y el azucar.', '2\nAñadir poco a poco el agua hasta que se forme una masa manejable muy blanda.', '3\nCuando la masa este lista se deben formar las arepas, para eso, se hacen bolitas un poco más grandes que una bola de golf, y finalmente se aplastan hasta que queden unas tortillas de medio centímetro de espesor.', '4\nAparte, se pone a calentar en un caldero aceite vegetal suficiente para que las arepas naden en él.', '5\nSi la masa quedo bien.. lo que sucede es que las arepas se inflan un poco dejando un espacio dentro de ellas, donde se pondra el huevo crudo (y la carne..', '6\nSi así lo quiere) el huevo se introduce haciendo un orificio a la arepa por alguno de sus bordes, y lueg tapandolo con un poco de masa cruda que se debe reservar para ello.', '7\nLuego se pone a freir nuevamente solo para que el huevo se cocine así como el nuevo tapón de masa.', '8\nSe comen calientes con ají picante o suero.', '9\nEs un plato típico de la costa caribe colombiana.', '10\nEs preferible que la masa quede bien blanda, de otra forma dificilmente se inflará en el aceite.']","Valoración: 3,4 (36 votos)","['dos tazas de harina de maiz.', 'agua.', 'una cucharadita de sal.', 'media cucharadita de azucar.', 'huevo.', 'carne molida (opcional)']",https://www.recetasgratis.net/receta-de-arepa-de-huevo-15786.html,4 comensales,30m,,Dificultad media,,[]
Alambres mexicanos,"Los alambres mexicanos forman parte de la gastronomía tradicional de México y han ido evolucionando a lo largo de los años hasta convertirse en lo que se conoce hoy en día, carne de res, principalmente, salteada con cebolla, chile y otros ingredientes que detallamos a continuación y servida sobre tortillas de maíz a modo de taco.Actualmente son muchas las recetas de alambres existentes, y es que cada región de este país aporta y elabora platos diferenciados. No obstante, si lo que buscas es un paso a paso sencillo, con ingredientes fáciles de encontrar y lo más cerca posible a la receta original, sigue leyendo y descubre en RecetasGratis cómo hacer alambres mexicanos.","['1\nPara empezar a preparar los alambres mexicanos se debe cortar la carne de res en fajitas o tiras si se utiliza bistec de res, y hacer lo mismo con el tocino. Si se emplea carne de res picada, como en nuestro caso, este paso no será necesario.', '2\nAparte, se pica la cebolla, el pimiento morrón y el chile poblano. Cabe destacar que se puede emplear pimiento verde o rojo (o la mitad de cada uno) y el chile que más te guste.', '3\nAhora, se saltea la cebolla picada en aceite caliente hasta que se vuelva transparente. En este punto, se añade el pimiento y se remueve para integrar.', '4\nCuando se observe blando el pimiento, se añade el chile, se da un par de vueltas y se agrega la carne de res. Luego, una vez que la carne esté casi hecha, para seguir con la elaboración de los alambres mexicanos se incorpora el tocino troceado.', '5\nAhora solo queda añadir sal y pimienta el gusto. Se sirven los alambres mexicanos sobre las tortillas de maíz previamente pasadas por la plancha para calentarlas. Anímate a probar esta sencilla receta de alambres mexicanos de res y tocino y no olvides dejar tu comentario. Y si quieres descubrir otras ideas, consulta el paso a paso para preparar alambre de pollo y dinos qué te parece.']","Valoración: 3,3 (39 votos)","['½ kilogramo de Carne de res', '150 gramos de Tocino', '1 Cebolla', '1 Chile poblano', '1 Pimiento morrón', '1 pizca de Sal', '1 pizca de Pimienta', '5 Tortillas de maíz']",https://www.recetasgratis.net/receta-de-alambres-mexicanos-15783.html,5 comensales,45m,Plato principal,Dificultad baja,,['Recetas mexicanas']
Crema de queso para untar,"Si tienes que armar una mesa de picoteo o pasapalos qué mejor que preparar unas cuantas cremas de untar caseras para tener a todos los invitados contentos. En RecetasGratis tenemos un gran listado de recetas ideales para presentar como aperitivo, pero si no tienes tiempo que perder en la cocina y simplemente quieres algo para acompañar, esta crema de queso es un dip magnifico. Ponte manos a la obra o guarda esta receta fácil es tu carpeta de favoritos porque seguro que la necesitarás para salir de un apuro. ¡A cocinar!","['1\nPonemos un cazo de fondo grueso al fuego, con la llama baja, y unimos la mantequilla con la harina. Remueve hasta cocer un poco.', '2\nPasados un par de minutos, añadimos la leche a la mezcla poco a poco, y vamos disolviendo la harina hasta conseguir una crema ligeramente espesa.Puedes usar crema de leche o nata para cocinar si prefieres.', '3\nCuando tengas esta crema bien caliente, añadimos el queso desmenuzado y empezamos a batir hasta integrarlo y hacer que se disuelva en la crema. Para terminar sazonamos con una pizca de sal.Para hacer este dip de queso puedes usar cualquier tipo de queso, siempre y cuando sea uno que se funda al calor. Recuerda que dependiendo del tipo de queso que utilices no necesitarás añadir ni nuez moscada ni pimienta.', '4\nSirve nuestra crema de queso para untar en un tazón y perfuma con un poco de pimienta y nuez moscada por encima. Este dip es ideal para poner en el centro de la mesa acompañado de crudites, palitos de queso y galletas saladas.']","Valoración: 3,7 (49 votos)","['1 cucharada sopera de Mantequilla', '2 cucharadas soperas de Harina de trigo', '½ taza de Leche o Crema', '250 gramos de Queso', '1 pizca de Sal y Pimienta', '1 pizca de Nuez moscada']",https://www.recetasgratis.net/receta-de-crema-de-queso-para-untar-15625.html,4 comensales,10m,Entrante,Dificultad baja,,[]
Buñuelos de yuca cubano,,"['1\nEmpezamos a realizar estas yucas cubanas quitando las venas a la yuca y se tritura hasta que tenga la consistencia de una masa.', '2\nSe le agregan las yemas de los huevos, el azúcar y la sal.', '3\nSe amasa hasta que quede una mezcla homogénea con pequeñas porciones de la mezcla, se hacen bolitas de unos 2,5 cm. de diámetro.', '4\nSe fríen en abundante aceite caliente y a fuego alto, hasta que doren.', '5\nSe retiran del aceite y se colocan sobre papel absorbente para eliminar el exceso de grasa.', '6\nEn una olla a fuego lento, se disuelve el papelón en el agua y se añaden los clavos de olor, o hasta que espese como melao.', '7\nSe retira del fuego y se eliminan los clavos. Se deja enfriar las yucas cubanas.', '8\nEn una bandeja, se colocan las bolitas aún tibias y se bañan con el melao.', '9\nSe puede aromatizar el melao con 4 hojas de naranjo. Aquí te dejamos otra excelente receta de yuca.']","Valoración: 3,8 (48 votos)","['1 kg. de yuca sancochada', '3 yemas de huevo batidas', '2 cucharadas de azúcar', '1 cucharadita de sal', '4 tazas de aceite de maíz papel absorbente', '1/2 panela de papelón blanco en trocitos', '1 1/4 tazas de agua', '6 clavos de olor']",https://www.recetasgratis.net/receta-de-bunuelos-de-yuca-cubano-15574.html,6 comensales,30m,,Dificultad baja,,['Recomendada para vegetarianos']
Ceviche de camarones,"El ceviche es un plato conocido a nivel mundial, consiste en 'cocinar' los alimentos con un marinado de zumo de limón y cebolla roja o morada. En este caso te enseñamos a preparar un sencillo, pero delicioso, plato de ceviche de camarones, anímate y prueba esta exquisitez.","['1\nSi vas a preparar esta receta de ceviche con camarones frescos, lo primero que debes hacer es poner un cazo con abundante agua e hervir. Cuando rompa el hervor, añade los camarones y deja que se cocinen unos 15-30 segundos. Luego saca y escurre.', '2\nAparte, raya el tomate y reserva. Pica finamente la cebolla y déjala macerar con el zumo de la mitad de los limones. También pica finamente el cilantro.', '3\nPasados unos minutos, mezcla el tomate y el cilantro con la cebolla y sazona con un punto de sal y pimienta. Si quieres que un ceviche picante, puedes añadir en este paso un punto de salsa tabasco o picante.', '4\nPara terminar, pela los camarones y mezcla con la marinada anterior. Añade el zumo del resto de los limones también y vuelve a corregir el sabor con sal si hace falta. Deja reposar al menos unos 15 minutos para que el ácido de limón haga su efecto.', '5\nSirve el ceviche de camarones acompañando con un poco de galletas de saladas o chips caseros como los chips de boniato o los típicos chips de plátano.La salsa de tomate y la mostaza son extras que podrás añadir al gusto a la hora de servir el plato. ¡Buen provecho!']","Valoración: 3,9 (100 votos)","['1 kilogramo de Camaron', '½ unidad de Tomate', '½ unidad de Cebolla (roja)', '1 cucharada sopera de Salsa de tomate (ketchup)', '1 cucharada sopera de Mostaza', '10 unidades de Limones criollos (pequenos)', '1 pizca de Sal', '1 pizca de Pimienta, al gusto', '1 manojo de Cilantro finamente picado al gusto']",https://www.recetasgratis.net/receta-de-ceviche-de-camarones-15460.html,4 comensales,45m,Entrante,Dificultad baja,,[]
