title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Carne guisada a la jardinera,,"['1\nPoner en olla aceite,cuando esté caliente añadir el tomate,pimiento, toda la verdura,cebolla(en taco) y el ajo,rehogar durante 5 minutos.', '2\nAñadir la carne y remover durante 3 minutos,añadir agua sin llegar a cubrir la verdura y carne,se le añade una cucharadita de comino molido y 2 hojas de laurel,se deja guisar hasta que la carne esté hecha(si se hace en olla express dejar pitar la olla 15 minutos) y listo para comer.']",Valoración: 5 (2 votos),,,,Dificultad baja,"['500 gr de carne de jamón de cerdo troceada', '1/2 cebolla', '1 Ajo(diente)', '100 gr judias verdes cortadas', '50 gr guisantes', '2 zanahorias(peladas y cortadas en taquitos)', '1/2 tomate(pelado y troceado)', '1 pimiento', 'Aceite oliva', 'Cominos molidos', 'Laurel']",https://www.recetasgratis.net/receta-de-carne-guisada-a-la-jardinera-43551.html,,
ternera a la crema,,"['1\nEn una olla se echa la carne y se recubre con agua fria. Se le da un hervor, se retira la grasa con una espumera y se disminuye el fuego. Se añadelas zanaorias enteras y raspadas la cebolla, los ajos las hiervas aromaticas la sal y la pimienta. se tapa y se deja hervir a fuego lento durante dos horas. se mescla dos cucharadas de harina con matequilla caliente y se agregan a la olla. se deja hervir durante 5 min. La salsa debe quedar suave sin ser espesa. En el momento de servir se bate la yema del huevo en la nata y se incorpora a la olla apartada del fuego se echan unas gotas de limon. se sirve en una fuente honda. se pueden agregar 150g de champiniones durante la coccion.']",,,,,Dificultad media,"['tiempo de preparacion 15 min', 'tiempo de coccion 2 horas', '11/4 de carne de ternera', '100 g de mantequilla', '1 huevo', '1 cebolla', '1 escalonia (cebollin, chalote)', '2 zanahorias', '100 g de nata (crema)', '2 cucharadas soperaa de harina', 'laurel', 'tomillo', 'limon', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-ternera-a-la-crema-43510.html,,[]
Puerco en adobo,"Aprende con RecetasGratis.net cómo hacer el famoso puerco adobado mexicano. Se trata de una receta fácil con una sabor intenso gracias a la salsa que lleva la carne, una mezcla de distintos tipos de chiles exquisita!","['1\nHervir la carne con unos dientes de ajo y un poco de cebolla, agregar sal en cuanto empiece a hervir.', '2\nMientras, desvenamos los chiles y los pasamos por un comal sin quemarlos. Luego, se dejan remojar unos 10 minutos para que ablanden. Entonces, se licuan con la cebolla asada, los dientes de ajo, los clavos y un poco de caldo de cocción de la carne, reservamos la salsa.', '3\nUna vez la carne esté cocida y tierna, se pone a freír con un poco de aceite. Cuando empiece a ponerse dorada se agrega la salsa en la sartén y dejamos sazonar con las hiervas de olor y un poco más de caldo.', '4\nLa consistencia del puerco en adobo debe ser similar a la del mole, ni muy espeso ni muy aguado. Este plato lo puedes acompañar con un arroz a la jardinera o unas tortillas de maíz.']","Valoración: 3,4 (39 votos)",6 comensales,1h 30m,Plato principal,Dificultad media,"['1 kilogramo de Carne de cerdo', '4 piezas de Clavos de olor', '2 dientes de Ajo', '1 trozo de Cebolla', '100 gramos de Chile pulla', '100 gramos de Chile guajillo (no picoso)', '100 gramos de Chile ancho', '100 gramos de Chile pasilla', '1 puñado de Hierbas de olor (tomillo y laurel)', '5 cucharadas soperas de Aceite o Manteca']",https://www.recetasgratis.net/receta-de-puerco-en-adobo-43496.html,,['Recetas mexicanas']
Carnitas estilo Hidalgo,Aprende cómo preparar las deliciosas carnitas estilo Hidalgo con esta receta que te explica algunos trucos de cocción para que la carne de cerdo quede perfecta y con un sabor irresistible.,"['1\nEn el vaso de la licuadora se vierte el jugo de naranja junto con el ajo finamente picado, la pimienta negra y la cebolla picada. Licua muy bien estos ingredientes hasta conseguir un salsa más o menos espesa.', '2\nAparte, calienta la manteca a fuego alto hasta que esté hirviendo. Recuerda que esta receta esta hecha para un gran número de personas por lo que necesitarás un caso lo suficientemente grande. \nTruco: Si quieres variar las cantidades de la receta, recuerda que la manteca siempre debe ir en proporción a la cantidad de carne. Debes usar la misma cantidad o incluso un poquito más para que alcance a cubrirla por completo.', '3\nBaja un poco el fuego, dejando la llama a medio gas y agrega con cuidado la carne. Deja cocinar por 10 minutos y entonces añade el agua. Verás como el agua empieza a hervir rápidamente y evaporarse, este proceso es que comienza a cocer la carne.\nTruco: Puedes usar lomo, costilla o cabeza, la pierna no es muy recomendable porque tiende a secarse mucho.', '4\nPasados otros 10 minutos, añade a la olla donde tienes la carne el marinado de naranja preparado anteriormente junto con las cáscaras de naranja y la leche.\nTruco: En este punto es recomendable no mover mucho la preparación, simplemente ten una cuchara de madera en el cazo para mantener que la carne se pegue al fondo.', '5\nContinua con la cocción de las carnitas estilo Hidalgo durante una hora y pasado este tiempo añade los cueros y la sal.\nTruco: Durante este tiempo de cocción es importante que el fuego no este muy alto para que no se queme la manteca y que la carne siempre este cubierta y nunca al aire.', '6\nPara hacer la sal, mezcla 2 litros de agua con 100 gramos de sal de mar. Cuando este bien disuelta incorpórala a la olla con la carne y sube a fuego alto para cocinar durante 3 minutos. Pasado este tiempo, baja la llama a fuego bajo y continua con la cocción durante una hora más.', '7\nPasado este tiempo, ve sacando los trozos de carne que ya estén cocidos, así como las cáscaras de naranja y los restos de las hierbas aromáticas.', '8\nSirve las carnitas estilo Hidalgo con un poco de cebolla picadita, unas tortillas de maíz y la salsa que más te gusta, como por ejemplo la salsa de siete chiles o la riquísima salsa chimole.']","Valoración: 3,8 (76 votos)",20 comensales,3h,Plato principal,Dificultad media,"['10 kilogramos de Carne de cerdo', 'Sal (ver preparación)', '1 litro de Jugo de naranja (conservar las cáscaras)', '¼ cabeza de Ajo', '1 cucharada sopera de Pimienta negra molida', '1 Cebolla', '1 manojo de Hierbas de olor', '1 litro de Leche entera (o 2 latas de leche Clavel)', '1 pizca de Sazonador', '10 kilogramos de Manteca', '2 litros de Agua']",https://www.recetasgratis.net/receta-de-carnitas-estilo-hidalgo-43482.html,,['Recetas mexicanas']
Tortitas de Carne Molida,"La carne molida es un ingrediente muy agradecido, ya que con ella se pueden hacer miles de platos. Esta receta de tortitas de carne molida siempre suele ser, además, una de las favoritas de los niños de la casa. Pues bien, hoy en RecetasGratis, traemos una nueva receta que te ayudará a salir de la rutina y a consentir a tu familia a la hora de la comida. Hoy te enseñamos cómo hacer tortitas de carne molida, una especie de hamburguesas perfectas para comer al plato o con pan.A lo largo de la receta, te damos algunos consejos y trucos para que tus tortas de carne molida te queden perfectas, así que no dejes de revisar todos los pasos y prepárate para disfrutar de una tortitas de carne picada que están para chuparse los dedos. Con un toque de mostaza, zanahoria, chile serrano y cebolla, ¡sabemos que te encantarán!","['1\nEmpezamos por alistar todos los ingredientes de la lista. Entonces, lavamos todo y picamos finamente la cebolla, los ajos, la zanahoria y el chile. Aparte, batimos el huevo entero, yema y clara y también rallamos la calabacita pero solo la cáscara, sin llegar a la parte de las semillas.En cuanto al tocino o bacon, es opcional. Si te gusta y quieres incluirlo en nuestra receta de tortitas de carne picada, necesitaremos unas 8 lonchas, el cálculo es de lonchas por hamburguesa.', '2\nA continuación, ubicamos un bol profundo y colocamos todos los ingredientes dentro. Amasamos para que la carne se impregne de todos los sabores, comprobando la sazón de la carne y la textura.El huevo batido y la ralladura de calabacitas hará que nuestras tortitas de carne caseras queden compactas.\nTruco: Puedes usar una mezcla de carne de res y cerdo para que las hamburguesas queden más jugosas', '3\nCuando tengamos la carne molida lista, pasamos a darle forma a las tortitas. Para ello, divide la carne en pequeñas porciones, forma bolitas y aplástalas con la manos hasta darles la forma clásica.Si has decidido usar tocino en este receta, ahora ha legado el momento de usarlo, así que envuelve cada tortita de carne picada en una o dos tiras de bacon.', '4\nCalentamos una sartén con unas gotas de aceite y cocinamos la tortitas de lado y lado hasta que la carne este dorada y hecho en el centro. Mantén la llama baja y tapa la sartén para que se conserven los jugos de la carne durante la cocción.', '5\nLas tortitas de carne molida se pueden comer de muchas formas, ya sea solas al plato con una guarnición de ensalada de pasta y piña, por ejemplo o bien las puedes usarlas para presentar unas súper hamburguesas.Si quieres hacer hamburguesas, solo necesitarás algunas verduras extras, pan para hamburguesas y salsa. ¡Buen provecho!']","Valoración: 4,7 (133 votos)",4 comensales,15m,Plato principal,Dificultad baja,"['½ kilogramo de carne molida de res', '2 zanahorias', '2 calabacitas medianas', '¼ cebolla blanca', '3 dientes de ajo', '1 chile serrano', '1 huevo', '2 cucharadas soperas de mostaza', '1 pastilla de caldo concentrado de pollo', '1 pizca de sal y pimienta', 'Tocino en lonchas (opcional)']",https://www.recetasgratis.net/receta-de-tortitas-de-carne-molida-43439.html,,[]
cerdo horneado con piña y cerezas,,"['1\nSe corta en pedazos la carne y se coloca en una olla con la mayonessa, los ajos, el oregano, la salsa inglesa, el chile dulce licuado, el consome de pollo.', '2\nSe lleva a sofreir a fuego lento por unos 10 minutos luego agregamos el jugo de naranja, la piña y las cerezas.', '3\nCuando este empiece a consumir el liquido destapamos la olla para que espece, servir cuando este caramelizado.', '4\nPuedes acompañarlo con un delicioso arroz con vegetales y una ensalada de lechuga.']","Valoración: 3,4 (38 votos)",,,,Dificultad alta,"['500 grms de carne de cerdo fresca previamente lavada con limon', '1 lata de piña en rodajas', '1 lata de cerezas', 'Media taza de miel', '3 sobres de consome de pollo', '1 cucharada de mayonessa', '3 cucharadas de salsa inglesa', '3 hojitas de oregano', '3 dientes de ajo grande y machucados', '1 chile dulce licuado', '2 tazas de jugo de naranja']",https://www.recetasgratis.net/receta-de-cerdo-horneado-con-pina-y-cerezas-43104.html,,[]
Cerdo guisado,,"['1\nPicas la carne de cerdo en cubitos, le agregas la mitad del jugo de limón, lo pones a sofreír a fuego medio, le echas el ajo picado, la cebolla, los pimientos picados, la sal y la pimienta al gusto. Luego que esté un poco dorado le agregas el vino blanco.', '2\nLa salsa de tomates, y resto del jugo de limón y dejas hervir por 15 minutos, luego sirve con arroz blanco.']","Valoración: 3,6 (52 votos)",5 comensales,1h 30m,Plato principal,Dificultad baja,"['1 kilogramo de Carne de cerdo sin grasa', '1 unidad de Pimiento rojo y uno verde', '1 cucharadita de Salsa de tomate', '1 taza de Jugo de limon', '1 taza de Vino blanco', '1 unidad de Cebolla grade picada en cubitos', '2 dientes de Ajo picaditos', '1 cucharadita de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta al gusto']",https://www.recetasgratis.net/receta-de-cerdo-guisado-43095.html,,[]
carne asada con naranja,,"['1\nLimpie la carne y perfórela. Adóbela con el ajo machado, la pimienta y la naranja agria, y cúbrala con las ruedas de cebolla y el ají; manténgalas en esta preparación por lo menos 3 horas, pero puede tenerla adobada desde la noche anterior.', '2\nSofría las tiras de bacon hasta que suelten toda la grasa; escurra la carne y dórela en esa grasa; después añada el vino seco y el jugo de dos naranjas.', '3\nCocínela bien tapada hasta que esté blanda, agregando jugo de naranja, según sea necesario, para que no se pegue.']","Valoración: 3,3 (33 votos)",,,,Dificultad alta,"['2 lb de carne bien suave y del dia bien condimentada', '3 naranjas bien asidas', '1/2 taza de salsa inglesa', '2 cebollas en rodajas', 'sal al gusto', '2 chiles dulces rojos', 'Ajo', 'Vino']",https://www.recetasgratis.net/receta-de-carne-asada-con-naranja-42960.html,,[]
carne de puerco en rojo,,"['1\nSe cose la carne con media taza de agua hasta que se consuma el agua y sal al gusto. Se le coloca aceite o manteca al gusto hasta que se dore los chiles se tuestan , se desvenan.', '2\nSe mulen con los ingredientes y un poco de sal se cuela y se le agrega a la carne, pero antes qitale el exeso de grasa es al gusto.']",Valoración: 4 (7 votos),,,,Dificultad media,"['1 kilo costilla de puerco', '15 chiles guajillo del que pica o el que no pica a escojer de preferencia que sean', '2 dientes de ajo', '4pimientas grandes', '4 clavos', '4 pimientas chicas', 'una pisca de oregano']",https://www.recetasgratis.net/receta-de-carne-de-puerco-en-rojo-42910.html,,
lomo al horno (especial para celebraciones),,"['1\nVinagreta:picar 4 dientes de ajo y perejil. agregar sal, pimienta, aceite y vinagre reservar.', '2\nCortar las papas en rodajas de 2 cm de espesor hervir por 5 minutos y reservar.', '3\nCortar la cebolla y los tomates en cuartos y las zanahorias en juliana medianas. hervir los 4 huevos.', '4\nYa con todos los ingredientes preparados colocar el lomo en una placa para horno grande salar y marinar con la vinagreta, pasar los huevos por la vinagreta y mechar el lomo.', '5\nEn un bowl grade colocar las papas, cebollas, zanahorias y los tomates y verter toda la vinagreta que nos quedo, colocar todas las verduras alrededor del lomo y llevar a horno fuerte por 45min dar vuelta el lomo, mover las verduras y hornear 45 min mas.', '6\nespero que puedan disfrutar mi receta, se puede utilizar cualquier corte de carne o pollo, es una receta ideal para recibir comenzales ya que se puede preparar con anticipación y luego solo calentar en el horno.']","Valoración: 3,3 (33 votos)",,,,Dificultad media,"['1 lomo(1.5kg aprox)', '6 papas (medianas)', '2 zanahorias', '2 cebollas', '2 tomates', '4 huevos', 'ajo', 'perejil', 'sal', 'pimienta', 'aceite', 'vinagre blanco', 'comensales 6-8']",https://www.recetasgratis.net/receta-de-lomo-al-horno-especial-para-celebraciones-42869.html,,
