title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Carne en vara,"Nada mas típico que este plato en nuestra Venezuela amada. Sólo lleva dos ingredientes. No se acostumbra ponerle ningún condimento, la autentica carne llanera asada solo lleva sal y candela. El secreto de la carne en vara esta en la cocción lenta sobre las brasas a base de leña, la cual debe ser de una buena madera seca, como guamo y se debe evitar leños de pino por que producen olores amargos. El humo de la leña natural le da un sabor característico a esta carne, Por lo que no resulta igual que al hacerla con carbón vegetal comercial. Claro que viviendo en ciudad no podemos darnos el lujo de andar arreando leña, por lo que nos conformaremos realizarla con carbón. Ideal para quien tiene suficiente espacio y así poder compartir con los amigos degustando unas cervecitas frías y una buena partida de domino.","['1\nLa carne debe estar troceada en piezas largas de gran tamaño, la cantidad depende de cuántos comensales disponga. Los cortes de carne se deben insertar o se enchuzan en estacas, que se ponen alrededor de una hoguera a fuego lento, luego de haberle puesto sal. y dando vuelta periódicamente para que de cocine por todas partes.', '2\nLas estacas deben estar separadas de las brasas a fin de que la carne se cocine lentamente y no se queme por fuera y quede cruda por dentro. Además, para que absorba el dulce sabor ahumado del humo de la leña quemándose, no se acostumbra ponerle ningún condimento, la verdadera carne asada en vara solo lleva sal y candela.', '3\nEn lineas generales y dependiendo el tipo de corte y el grosor de la misma, la carne se monta en las brasas aproximadamente por 5 horas. Puedes acompañar la carne en vara con una ensalada típica de palmito y aguacate.\n\n\n\n\n\n\nImagen: Panoramio.com']",Valoración: 4 (3 votos),4 comensales,6h,Plato principal,Dificultad media,,"['Recetas venezolanas', 'Recetas llaneras']","['2 kilogramos de Carne', '1 puñado de Sal']",https://www.recetasgratis.net/receta-de-carne-en-vara-55168.html
Albóndigas de tofu y soja,"Si quieres comer un plato vegano en vez de las convencionales albóndigas de carne no te pierdas esta receta de albóndigas de tofu y soja con las que descubrirás uno de los tantos platos que puedes preparar con tofu fresco. Toma nota de los ingredientes y sigue el paso a paso de RecetasGratis para conseguir unas albóndigas de tofu veganas realmente deliciosas, mucho más saludables que las de carne y caseras. Puedes comértelas solas como plato principal o utilizarlas para como complemento de otros platos que lleven albóndigas. Además, gracias a la salsa de soja y a las semillas de sésamo tostado estas tienen un toque oriental especial. Así que no te lo pienses más y ¡manos a la obra!","['1\nPara empezar a elaborar estas albóndigas de tofu y soja, primero desmenuza el bloque de tofu con un tenedor en un bol.', '2\nA continuación, ralla la zanahoria y escurre su jugo. Añádela al tofu.', '3\nDespués dora ligeramente el ajo picado con un poco de perejil, pan rallado, semillas de sésamo y un chorro de salsa de soja.', '4\nLuego mezcla bien todo y forma las albóndigas de tofu veganas. Si fuera necesario para su consistencia añade un poco de harina blanca.', '5\nSeguidamente reboza cada albóndigade tofu y soja con un poco de harina blanca.', '6\nA continuación calienta el aceite y fríe las albóndigas de tofu veganas hasta que se doren, luego retíralas y sécalas en una bandeja con papel absorbente.', '7\nAhora y puedes servir tus albóndigas de tofu y soja o utilizarlas con recetas caseras de siempre como la samfaina, el caldo con pelotas, con salsa de tomate, con salsa agridulce y guisantes verdes, etc...']",Valoración: 4 (1 voto),2 comensales,45m,Plato principal,Dificultad media,,"['Recomendada para veganos', 'Recetas japonesas']","['½ paquete de Tofu fresco', 'Pan rallado', '1 Zanahoria rallada', '1 diente de Ajo picado', 'Perejil picado', '1 chorro de Salsa de soja', '2 cucharadas soperas de Semillas de sésamo tostado (opcional)', 'Harina blanca', 'Aceite para freír']",https://www.recetasgratis.net/receta-de-albondigas-de-tofu-y-soja-24920.html
Asado negro con tocineta,"El asado negro es una comida típica de la región central de Venezuela y aunque es un plato laborioso, no tiene mayores complicaciones y la recompensa es una carne tierna y jugosa bañada en una exquisita salsa negra con toques amargos y dulzones. Aprende a preparar el original asado negro venezolano y sorprende a tu familia.","['1\nEn un bol se cortan en trozos muy pequeños todos los ingredientes y se le agregan los condimentos al gusto.', '2\nSe toma la pieza de carne y se agujerea con la punta de un cuchillo haciendo huecos profundos, luego se corta la carne por la mitad (a lo largo) dejando medio centímetro de carne unida en el fondo. El muchacho redondo es una pieza de carne de res de forma redonda y cilindríca conocido en otros países como redondo.', '3\nPara continuar con la preparación de nuestro asado negro, inserta los ingredientes ya cortados, especialmente la tocineta, en los agujeros hechos.', '4\nUna vez rellenos los agujeros, rellenar el medio con el resto de los ingredientes, luego amarrar con el hilo dándole vueltas alrededor para que se compacte y cierre la abertura hecha.', '5\nSi se puede, deja macerar por lo menos una hora antes de cocinar. Calienta un caldero y agrega el aceite. Mientras, mójate las manos y empápalas del azúcar.', '6\nCon ella, aplica a la carne por toda su superficie hasta ver que esté bien empapada de azúcar. El resto del azúcar, agrégala a los ingredientes que te quedaron del relleno.', '7\nApártalos por un momento. Cuando el aceite esté bien caliente, coloca la carne y deja que se dore lo más posible (deja que llegue al punto de casi quemada).', '8\nDórala por todos lados, de esta manera el aceite con el azúcar tomará un color negruzco. Cuando esté bien dorada agrega los ingredientes que te sobraron, deja que se frían bien.', '9\nUna vez estén bien fritos, agrega agua hasta tapar el trozo de carne. Deja cocer a fuego lento por una hora aproximadamente o hasta que la carne se ablande lo suficiente.', '10\nCuando la carne del asado negro se ablande, sácala del caldero, retira el hilo y corta en rodajas de 1 cm. de grosor.', '11\nVuelve a colocarla en el caldero con el agua que ya debe estar más espesa. Rectifica la sazón y agrega los tomates cortados en trozos.', '12\nDeja cocer a fuego lento hasta que toda la carne haya tomado un color negruzco parejo.', '13\nPara servir, acompaña el asado negro con arroz blanco, puré de papas o alguna guarnición con sabores dulces como el plátano tentación.']","Valoración: 4,6 (85 votos)",5 comensales,1h 30m,Plato principal,Dificultad media,,"['Recetas para Navidad', 'Recetas venezolanas', 'Recetas caraqueñas']","['1½ kilogramos de Muchacho redondo', '2 unidades de Cebollas', '1 unidad de Pimentón rojo', '5 dientes de Ajo', '8 unidades de Ajíes dulces', '3 ramas de Cebollín', '200 gramos de Tocineta', '1 pizca de Sal', '3 unidades de Tomates enteros', '1 taza de Azúcar (200 gramos)', '1 paquete de Pabilo o hilo grueso', '½ taza de Aceite', '1 pizca de Pimienta', '1 pizca de Comino']",https://www.recetasgratis.net/receta-de-asado-negro-con-tocineta-6514.html
Costilla de cerdo a la miel,,"['1\nSe parte la costilla en porciones de agárrame y cómeme en dos mordidas., (calcular las mordidas para cada quien).', '2\nPara que la costilla no quede cruda, primera se cuece en agua hirviendo por un espacio de media hora a fuego medio, el agua se ha sazonado con un poquito de sal.', '3\nSe mezcla la salsa de tomate, el ajo finamente picado (puede sustituirse por pasta de ajo, de la que venden en el supermercado) y la miel de abeja, se le añade pimienta.', '4\nSe prende el carbón y se espera a que este listo (esto significa, que este quemándose el carbón, y este caliente la parrilla donde se asaran las costillitas).', '5\nSe unta cada costilla con la salsa y se pone en la parrilla (es obvio que la parrilla tiene que estar en el asador).', '6\nMucho cuidado que esto se cocina bien rápido en menos de cinco minutos, tocara darles vuelta a las costillas, porque ni no se le queman.', '7\nDisfrute de estas costillas, junto con arroz blanco y ni hablar de una cerveza bien fría.']","Valoración: 3,5 (52 votos)",4 comensales,45m,Plato principal,Dificultad baja,,[],"['1 pizca de Pimienta', '1 kilogramo de Costillas de cerdo', '3 dientes de Ajo picados finamente', '½ taza de Salsa de tomate', '1 cucharada sopera de Miel de abeja', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-costilla-de-cerdo-a-la-miel-20821.html
Filet mignon,"El filet mignon es un tipo de corte en francés, aunque a lo largo de los años se ha popularizado como una receta que dispone de distintas variantes. En RecetasGratis te enseñamos a preparar filet mignon en salsa de vino, con alcachofas y queso, ¡sigue leyendo!","['1\nCocer los 4 corazones de alcachofa con agua, sal y limón. Si se prefiere, se puede utilizar alcachofas en conserva o de bote.', '2\nCocer unos 200 g de guisantes y rellenar las alcachofas. Poner un poco de queso rallado por encima y gratinar.', '3\nPreparar una salsa para carnes. Puedes revisar la receta de reducción de vino de Oporto.', '4\nSaltear los filetes en una sartén con un poco de mantequilla. También se pueden cocinar a la plancha o la parrilla.', '5\nMontar el plato de la siguiente forma: colocar el filete en un lado, la alcachofa en otro y encima del filete una hebra de trufa. Por último, bañar el filet mignon con la salsa.']","Valoración: 3,5 (11 votos)",4 comensales,30m,Plato principal,Dificultad baja,,[],"['4 solomillos de ternera (200 g cada uno)', 'Salsa Oporto', '4 alcachofas', '4 hebras de trufa', 'Mantequilla', 'Queso rallado', '200 gramos de guisantes']",https://www.recetasgratis.net/receta-de-filet-mignon-20449.html
Carne mechada al ajillo,,"['1\nUsa un trozo de carne de que tu suelas usar para hacer mechado. Si quieres alguna sugerencia, cinta de lomo de cerdo o ternera. En un mortero machacas los ajos con el perejil, la pimienta y algo de sal hasta formar casi una pasta verde.', '2\nAbres en la carne agujeros que la atraviesen en su longitud.', '3\n(Yo meto un cuchillo de los alargados y le doy vueltas para redondear) En esos agujeros, (unos tres son los recomendables) introduzco con los dedos la pasta de ajo y perejil.', '4\nSi te sobra alguna la untas por fuera de la carne.', '5\nPasas el trozo de carne por harina y la doras en una cacerola con un fondo de aceite.', '6\nCuando esté dorada, le viertes un vaso de un buen vino blanco y seco.', '7\nLe añades otro vaso de agua hasta que la cubra en dos tercios.', '8\nLa ponéis a hervir dando la vuelta de vez en cuando, pero no tapéis el recipiente, que tiene que evaporar alcohol y agua para que se haga la salsa.', '9\nCuando probéis la salsa y esta tenga el punto de acidez y de concentración que a vosotros os gusta, añadís la sal que creáis que le falta o le rectificáis lo que os parezca.', '10\nEs decir si la queréis más ácida le añadís un poquito más de vino, si la queréis mas suave, un chorreón de agua más, si más espesa, un poco de harinita tostada, etc. (De eso seguro que sabéis más que yo).', '11\nSe saca la carne y de sea enfriar, y si no la tocáis hasta el día después, es mejor.', '12\nLa salsa se guarda aparte.', '13\nCuando la sirváis, corta la carne en frío en rodajas.', '14\nLa salsa se calienta y se sirve a parte en salsera.', '15\nLa carne se puede comer con salsa y sin ella, como tapa, en bocadillo, como plato con arroz blanco o puré de lo que se quiera o ensalada o las tres cosas.', '16\nDura varios días, y es la manera de preparar la carne mechada menos insípida que conozco.']","Valoración: 3,8 (59 votos)",4 comensales,45m,Plato principal,Dificultad media,,[],"['Carne', 'Ajos', 'Perejil fresco', 'Pimienta en grano', 'Sal gorda', 'Aceite de oliva.']",https://www.recetasgratis.net/receta-de-carne-mechada-al-ajillo-20357.html
Lomo de cerdo a la naranja,"Preparar un delicioso lomo de cerdo a la naranja es muy sencillo si tienes esta receta fácil que RecetasGratis pone a vuestra disposición en esta ocasión. Se trata de un cinta de lomo a la naranja cocinada con unas cebollitas platillo y un poco de vino dulce, y por supuesto, con una exquisita salsa de naranja. No te pierdas los ingredientes ni el paso a paso y prepara este lomo de cerdo a la naranja para toda la familia.","['1\nLo primero que hay que hacer para preparar este lomo de cerdo a la naranja es limpiar la cinta de lomo para quitarle bien la grasa y la piel sobrante.', '2\nA continuación se coloca la cinta de lomo en una cazuela con un chorro de aceite de oliva caliente y se sella bien para que quede dorada.', '3\nUna vez dorado el lomo de cerdo, se pelan las cebollitas, se agregan a la cazuela y se doran junto con la carne.', '4\nSeguidamente se añade el Jerez y el zumo exprimido para cocinar la salsa del lomo de cerdo a la naranja y se deja alrededor de unos 30 minutos, con cuidado de que no se reseque la carne pero tiene que quedar bien hecha.Si vemos que se está resecando el lomo se añade un poco más de líquido, y si la salsa de naranja queda clara hay que reducirla; tiene que quedar casi como un jarabe.\nTruco: El lomo de cerdo en salsa tiene que quedar jugoso pero no seco.', '5\nUna vez esté cocinada la carne y espesa la salsa, el lomo de cerdo a la naranja estará listo.Se puede servir sirve mitad cortado y lo otro no, o como se quiera. Se puede acompañar con rodajas de naranja peladas, las cebollitas doradas y la salsa por encima, pero sobre todo, que esté bien caliente todo. Y también acompañar con una ensalada Waldorf o un puré de patatas.']","Valoración: 3,9 (69 votos)",4 comensales,45m,Plato principal,Dificultad baja,,[],"['1 kilogramo de Cinta de lomo de cerdo', '1 kilogramo de Cebollas platillo', '2 vasos de Zumo de naranja exprimido', '1 copa de Jerez u Oporto']",https://www.recetasgratis.net/receta-de-lomo-de-cerdo-a-la-naranja-16378.html
Ahogado de carne con plátano verde,"Para aquellos días en los que no sabes qué cocinar pero te apetece comer un plato completo y sabroso, en esta receta de RecetasGratis.net te proponemos elaborar un ahogado de carne con plátano verde. Se trata de un estofado realmente fácil, con ingredientes que todos tenemos en casa y delicioso. ¡No te lo pierdas!","['1\nPara realizar nuestro ahogado de carne con plátano verde, lo primero que debes hacer es poner a sofreír en el aceite la cebolla y el tomate previamente picado. Luego, echa salsina y sal al gusto.', '2\nDespués de haber dejado sofreír un ratito el ahogado se le echa la carne en trozos y se deja cocinar por unos 10 minutos aproximadamente.', '3\nTras haber dejado que la carne coja bien el ahogado se agregan los plátanos estillados y se deja cocinar a fuego medio hasta que termine. Puedes servir este delicioso plato acompañado de arroz blanco o la ensalada que más te guste.']","Valoración: 4,7 (3 votos)",6 comensales,45m,Plato principal,Dificultad baja,,[],"['1 cabeza de Tomate y cebolla', '1 cucharadita de Salsina', '1 cucharadita de Sal', '2 kilogramos de Carne', '3 unidades de Plátanos', '1 cucharadita de Aceite', '1 manojo de Cilantro']",https://www.recetasgratis.net/receta-de-ahogado-de-carne-con-platano-verde-55151.html
Thermomix: Migas,,"['1\nEl día anterior, corte el pan, como para torrijas, póngalo en un paño de cocina y salpíquelo con agua para humedecerlo.', '2\nCierre bien el paño formando como un hatillo y humedézcalo también por fuera.', '3\nResérvelo así hasta su uso.', '4\nPara trocear las migas, hágalo vertiendo en el vaso de 100 en 100 g y troceando 5 segundos a velocidad 3 1/2 cada vez. Resérvelas.', '5\nPrepare una sartén de bordes altos o una olla.', '6\nFrote el fondo con la manteca de cerdo, dejando en la misma la manteca que sobre. Añada el aceite, ponga al fuego y cuando esté caliente, agregue los ajos a los que habrá dado un corte para que no salten.', '7\nFríalos hasta que estén muy dorados y retírelos con una espumadera.', '8\nIncorpore el chorizo y el jamón a continuación, dándoles vueltas rápidas, y vierta encima las migas y el pimentón.', '9\nA partir de ese momento, remueva constantemente con la espumadera para que el pan pierda la humedad.', '10\nCuando vea que están sueltas las migas, rectifique la sazón y sírvalas acompañadas de uvas de moscatel.']","Valoración: 4,1 (113 votos)",4 comensales,1h 30m,,Dificultad alta,,['Recetas españolas'],"['500 g. de pan de hogaza.', '100 g. (1 cubilete) de aceite.', '8 dientes de ajo.', '1 cucharadita de pimentón dulce.', '100 g. de jamón serrano en trocitos.', '100 g. de chorizo.', '30 g. de manteca de cerdo.', 'Agua para remojar el pan.', 'Sal.', 'Uvas de moscatel']",https://www.recetasgratis.net/receta-de-thermomix-migas-30999.html
Thermomix: Pate de Jamon Cocido,,['1\nBatir todo en el Thermomix hasta conseguir una pasta cremosa.'],"Valoración: 2,6 (9 votos)",2 comensales,15m,,Dificultad baja,,[],"['¼ kilogramo de Jamón cocido', '1 lata de Anchoas', '125 gramos de Mantequilla']",https://www.recetasgratis.net/receta-de-thermomix-pate-de-jamon-cocido-30717.html
