title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Sangria de cava con zumo de naranja,,"['1\nAlistar todos los ingredientes.', '2\nCortar las naranjas y extraer el zumo, reservar dos rodajas para decorar.', '3\nCortar las frutas en cubos pequeños mezclar con el zumo de naranja, el zumo de medio limón y el azúcar. Reservar en la nevera 1 hora.', '4\nLlevar la mezcla a una jarra de vidrio.', '5\nAgregar el cava y las rodajas de naranja, mezclar. Servir en copas con hielo y disfrutar de la refrescante sangría de cava con naranja. Y si prefieres, también puedes probar la sangría de vino.']","Valoración: 4,6 (5 votos)",4 comensales,15m,,Dificultad media,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin sal', 'Recetas españolas', 'Recetas catalanas']","['1 botella de Cava', '2 unidades de Naranja', '1 unidad de Manzana verde', '5 unidades de Fresa', '1 unidad de Durazno', '½ unidad de Limón', '2 cucharadas soperas de Azúcar', 'Hielo']",https://www.recetasgratis.net/receta-de-sangria-de-cava-con-zumo-de-naranja-51931.html
Cóctel Bellini,"El cóctel Bellini es una preparación que combina champán con melocotón. Se dice que es original de un bar en Venecia, Italia pero lo cierto es que es un cóctel famoso en todo el mundo. Aprende a prepararlo siguiendo las instrucciones exactas con RecetasGratis.net y disfruta de un buen cóctel Bellini, ¡Salud!","['1\nAlistar todos los ingredientes para hacer este famoso cóctel con champán.', '2\nEn una copa agregar el zumo de melocotón. Puedes usar la copa clásica para beber cava o champán o una copa tipo de vino.', '3\nAgregar el champán poco a poco para que no pierda las burbujas.', '4\nTerminar con unas gotas de zumo de limón.', '5\nServir y decorar con una rodaja de melocotón. El cóctel Bellini es ideal para servir como aperitivo en una reunión o cena especial y si te gustan los cócteles con champán puedes probar el sorbete de melón y cava.']",Valoración: 4 (1 voto),1 comensal,15m,,Dificultad baja,,['Recetas italianas'],"['½ vaso pequeño de Zumo de melocotón', '1 vaso pequeño de Cava o Champán', '1 chorro de Zumo de limón', '1 trozo de Melocotón natural']",https://www.recetasgratis.net/receta-de-coctel-bellini-51929.html
Ponche Caliente frutal,,"['1\nAlistar los ingredientes.', '2\nDisolver el azúcar con el agua sobre el fuego.Agregandole la canela (opcional), y cuando rompa el hervor debe retirarse.', '3\nAgregar las rodajas de limón, retirar del fuego y dejar reposar 1 hora.', '4\nLuego se incorpora el vino y se calienta nuevamente hasta llegar al punto de ebullición.Si se desea menos fuerte se agrega 500 cc. más de agua.', '5\nRetirar el fuego, dejar entibiar un poco, servir y verter en cada vaso una cucharadita de miel.', '6\nA disfrutar!']",Valoración: 5 (2 votos),,,,Dificultad baja,,,"['500 gr. de Azúcar', '500 cc. de Agua', '6 rodajas de Limón', '2 cucharadas de miel', '1 lt. de Vino Tinto']",https://www.recetasgratis.net/receta-de-ponche-caliente-frutal-51899.html
Batido cremoso de dulce de leche al Whisky Y Cocoa,,"['1\nAlistar todos los ingredientes.', '2\nEn la estufa, calentar un poco la leche hasta que quede tibia.', '3\nEn la licuadora colocar la leche, el dulce de leche y el whisky, batir muy bien.', '4\nServir en una copa.', '5\nDecorar con crema chantilly y cocoa, degustar.']",,,,,,,,"['1 vaso de leche', '35 gr de whisky', '35 gr de dulce de leche', 'cocoa', '1 copa']",https://www.recetasgratis.net/receta-de-batido-cremoso-de-dulce-de-leche-al-whisky-y-cocoa-51846.html
Black orchid,,"['1\nAlistar todos los ingredientes.', '2\nEn un vaso grande colocar el vodka', '3\nAgregar el zumo de limón.', '4\nAgregar el licor Creme de Violette y mezclar muy bien.', '5\nEn una copa colocar mucho hielo.', '6\nServir el cóctel y decorar con una rodaja de limón.']",,,,,,,,"['20 gr vodka', '10 gr zumo de limón', '20 gr licor Creme de Violette', '7 gr jarabe simple']",https://www.recetasgratis.net/receta-de-black-orchid-51844.html
Ponche sangriento para Halloween,"En RecetasGratis.net te enseñamos a preparar un rico ponche para niños, ideal para la noche de Halloween. Utilizaremos agua, azúcar, golosinas, y algunos ingredientes sorpresa que detallamos a continuación para darle un toque especial, diferente y terrorífico. ¡No te pierdas el paso a paso de este ponche sangriento!","['1\nAlistar todos los ingredientes para preparar este ponche sangriento para Halloween.', '2\nLo primero que vamos a hacer es preparar la mano de muerto. Para ello, llena el guante de látex con agua y resérvalo en el congelador durante 3 horas, o hasta que esté totalmente congelado.', '3\nCoge una fuente de cristal honda y vierte el agua, añade el polvo de cereza (o refresco de cereza), el azúcar y mezcla bien. El resultado debe ser un líquido del color de la sangre. Introduce la mano congelada en el borde del cuenco.', '4\nAgrega varios gusanos de golosina ácidos en el interior del ponche.', '5\nFinalmente. añade unas gotas de colorante rojo y negro sobre la mano, simulando la sangre. Este ponche sin alcohol es ideal para una fiesta de Halloween infantil, con huesitos de merengue .']",Valoración: 5 (3 votos),4 comensales,15m,,Dificultad baja,,[],"['1 litro de Agua', '80 gramos de Polvo de cereza (o refresco de cereza)', '20 gramos de Azúcar pulverizado', '1 unidad de Guante de láteX', 'Gusanos ácidos', 'Colorante rojo comestible', 'Colorante negro comestible']",https://www.recetasgratis.net/receta-de-ponche-sangriento-para-halloween-51816.html
Smoothie de mora y galletas oreo,,"['1\nPrealistar los ingredientes.', '2\nEn un bowl adicionar el helado de mora y la leche.Mezclar.', '3\nAdicionar las galletas oreo y mezclar con el mixer hasta que se incorporen todos los ingredientes.', '4\nAdicionar el hielo y mezclar.', '5\nServir decorando con un poco de galletas oreo encima.Disfrutar.']","Valoración: 4,7 (7 votos)",,,,,,,"['5 paquetes de galletas oreo.', '1000 ml de leche entera.', '300 gramos de helado de mora.', 'Hielo (opcional).']",https://www.recetasgratis.net/receta-de-smoothie-de-mora-y-galletas-oreo-51691.html
Arroz con maíz y canela,,"['1\nPoner el claro de maíz con algunos maíces en una olla', '2\nMoler el arroz remojado', '3\nHechar el azúcar , el arroz remojado de un día ya molido ,la canela,la leche y la pizca de salRevolver todo asta tener una mescla espesa, se sirve en un posillo y tomar calienta']",Valoración: 5 (1 voto),,,,Dificultad baja,,[],"['Arroz previamente remojado 1 día', 'Claro de maíz', 'Leche', 'Canela en polvo', 'Sal', 'Azucar blanca']",https://www.recetasgratis.net/receta-de-arroz-con-maiz-y-canela-51684.html
Leche merengada,,"['1\nAlistar todos los ingredientes.', '2\nEn una olla calentar la leche junto con la canela en astilla y la ralladura del limón, dejar hervir.', '3\nEn un bowl bien grande batimos las claras de huevo hasta que estén a punto de nieve o que cuando volitemos el bowl nuestras claras no se caigan,', '4\nCuando estén bien montadas las claras agregamos el azúcar pulverizada y mezclamos muy bien hasta que quede un merengue muy bien montado.', '5\nCon mucho cuidado para no sacar el aire, mezclamos el merengue con la leche hasta integrar muy bien.', '6\nServir bien fría y espolvorear con un poco de canela en polvo.']",Valoración: 5 (1 voto),,,,,,,"['300 gr leche', '100 gr claras de huevo', '200 gr azúcar impalpable', 'canela en astilla', '1 limón', 'canela en polvo']",https://www.recetasgratis.net/receta-de-leche-merengada-51664.html
Receta de frappuccino de vainilla casero,"En RecetasGratis te enseñamos cómo hacer frappuccino en casa de forma fácil y rápida para que puedas disfrutar de esta bebida siempre que quieras. Para hacer este café helado, simplemente se debe introducir todos los ingredientes en la licuadora, batir y decorar con crema batida. Para potenciar el sabor, se puede añadir un poco de vainilla al gusto e, incluso, canela en polvo. Sigue leyendo y descubre todos los detalles de la receta de frappuccino de vainilla en RecetasGratis.","['1\nAntes de nada, prepara el café con agua como de costumbre. Para la receta de frappuccino de vainilla casero sirve cualquier tipo de café, de manera que selecciona el que más te guste.', '2\nEn el vaso de la licuadora, vierte el café frío, la leche, la vainilla y el azúcar y mezcla bien.', '3\nAgrega hielo picado al gusto y sigue licuando para que el frappuccino de vainilla casero quede bien frío.', '4\nYa solo queda servir el frappuccino casero en un vaso y decorar con crema batida o crema chantilly. Ahora que sabes cómo hacer frappuccino en casa, ¿a qué esperas para elaborarlo?']",,1 comensal,10m,Desayuno,Dificultad baja,,[],"['½ taza de café', '350 gramos de azúcar (1¾ tazas)', '2 tazas de leche (480 mililitros)', '1 taza de agua (240 mililitros)', 'Hielo al gusto', '½ cucharada sopera de esencia de vainilla', 'Crema batida o crema chantilly']",https://www.recetasgratis.net/receta-de-receta-de-frappuccino-de-vainilla-casero-51625.html
