title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
sangria tradicional,,"['1\nEn un vaso jaibolero, exprimir 2 limones, agregar de jarabe de granadina, ron, vino tinto y agua minieral.']","Valoración: 3,6 (80 votos)",,,,Dificultad media,"['Limones', 'Jarabe de granadina', 'Ron', 'Vino tinto', 'Agua']",https://www.recetasgratis.net/receta-de-sangria-tradicional-41761.html,,
RONPOM,,"['1\nEn un bol grande se baten los huevos junto a el azucar.', '2\nSe agrega la leche y la crema sin dejar de batir, vieta el ron y siga batiendo energicamente, hasta q el azucar este completamente disuelta.', '3\nFinalmente agregar las esencias. refrigere y sirva bien frio.']","Valoración: 3,3 (33 votos)",,,,Dificultad baja,"['1 litro de crema de leche', '6 huevos', '2 tazas de leche entera', '1 1/2 taza de ron', 'Esencia de vainilla', 'Esencia de canela', '1 taza de azucar']",https://www.recetasgratis.net/receta-de-ronpom-41601.html,,
Coquito con canela,,"['1\nMezcle la leche evaporada con la condensada,luego mezcle la crema de coco,asegurese de q la leche evaporada,la condensada y la crema de coco esten bien mezcladas para luego mezclar la canela y por ultimo el ron bacardi superior.', '2\nPuede servir hasta un galon de coquito.']","Valoración: 3,6 (38 votos)",,,,Dificultad alta,"['media botella de ron bacardi superior', '1 lata de leche evaporada', '1 lata de leche condensada', '2 latas de crema de coco', '2 cucharaditas de canela en polvo']",https://www.recetasgratis.net/receta-de-coquito-con-canela-41570.html,,
Pisco sour peruano auténtico,"En esta receta de RecetasGratis.net te enseñaremos a prepara el auténtico pisco sour peruano. Se trata de un procedimiento muy sencillo y rápido, lo único que tienes que hacer es reunir los ingredientes que especifidamos a continuación, ¡toma nota!","['1\nIntroduce el hielo en la licuadora, el zumo de limón, el pisco y la clara de huevo y tritúralo hasta que el hielo esté bien picado y la clara montada. Es muy importante introducir la clara para obtenerla espuma que tanto caracteriza a este cóctel peruano.', '2\nAñade el jarabe de goma y sigue batiendo. Luego, sirve el pisco sour peruano en vasos individuales y decora con unas gotas de amargo de angostura. Esta es la receta tradicional, si deseas conocer una variante con azúcar te animamos a que visites esta receta de pisco sour.']","Valoración: 2,6 (5 votos)",2 comensales,30m,,Dificultad baja,"['90 mililitros de Pisco puro (quebranta)', '30 mililitros de Jugo de limón', '30 mililitros de Jarabe de goma', '½ unidad de Clara de huevo', '2 gotas de Amargo de angostura', '2 cubos de Hielo']",https://www.recetasgratis.net/receta-de-pisco-sour-peruano-autentico-41496.html,,['Recetas peruanas']
Bebida de El capitan,,"['1\nDistribuiir en dos vasos los dos ingredientes y agregar hielo.', '2\nDELICIOSO.', '3\nNivel de dificultad: 1. Tiempo de preparación: 5 min.', '4\nTiempo de cocción: 0.']",Valoración: 3 (11 votos),,,,,"['1/2 Vaso de PISCO PERUANO', '1/2 Vaso de Vermuth rojo', '1/2 Taza de hielo']",https://www.recetasgratis.net/receta-de-bebida-de-el-capitan-41495.html,,
Cocktail de durazon en almibar,,"['1\nVacear la leche, la lata de durazno con el almibar, el azúcar, hielo y pisco, licuar hasta que todo este triturado.', '2\nServir en copas altas y espolvorear canela molida.']","Valoración: 4,2 (6 votos)",,,,,"['1 lata de durazno', '1 tarro de leche evaporada', '12 cubitos de hielo', '5 cucharadas de azúcar', '2 copas de Pisco Peruano']",https://www.recetasgratis.net/receta-de-cocktail-de-durazon-en-almibar-41490.html,,
Charronegro de tequila,,"['1\nSirva el tequila en un vaso con hielo y mézclelo con el jugo del limón, agregue un chorlito de agua mineral y llénelo con refresco cola.']",Valoración: 4 (1 voto),,,,,"['1 onza de tequila', '1 onza de coca-cola', '1 onza de agua mineral', 'el jugo de 1/2 limón', 'Hielo']",https://www.recetasgratis.net/receta-de-charronegro-de-tequila-41487.html,,
Bebida la jirafa,,['1\nSe pone hielo picado en un vaso. Se añade El tequila y el zumo de naranja.'],Valoración: 2 (25 votos),,,,,"['1 Copa de tequila', '1 vaso de zumo de naranja']",https://www.recetasgratis.net/receta-de-bebida-la-jirafa-41482.html,,
Machacao para chupitos,,"['1\nEn vaso largo, poner dos cubitos de hielo, añadir el tequila y terminar con tónica o limonada.']","Valoración: 3,4 (9 votos)",,,,,"['1/5 de Tequila', '4/5 de tónica o limonada']",https://www.recetasgratis.net/receta-de-machacao-para-chupitos-41483.html,,
Cocktail Daiquiri blanco,,"['1\nEste cóctel se puede preparar con una infinidad de sabores distintos, lo único es cambiar la fruta a su gusto. el original se preparar con bacardí pero con tequila es superior.', '2\nEn un cubilete con hielo picado se mezclan todos los ingredientes, servir en una copa champaña.', '3\nSi se desea el daiquiri helado, se le añadirá abundante hielo picado.']",Valoración: 4 (3 votos),,,,,"['Hielo picado', 'Jarabe natural', 'Jugo de limón', 'Durazno', 'Tequila o bacardí blanco']",https://www.recetasgratis.net/receta-de-cocktail-daiquiri-blanco-41479.html,,
Coctel margarita refrescante,,"['1\nEn un cubilete o en la licuadora se pone el jugo de limón, un poco de licor de naranja, el hielo picado y tequila blanco al gusto, se batir.', '2\nSe sirve en una copa champaña escarchada con sal.', '3\nDecorar con una rodaja de limón.', '4\nPara escarchar: se moja el borde de la copa y en un plato con sal se apoya para que todo el borde tenga una capa de sal.']","Valoración: 3,3 (33 votos)",,,,,"['tequila blanco', 'el jugo de un limón fresco', 'licor de naranja', 'hielo picado', 'sal']",https://www.recetasgratis.net/receta-de-coctel-margarita-refrescante-41480.html,,
Coctel tequila limon,,"['1\nPorne en un vaso un caballito de limón, luego uno de tequila, añadir agua mineral al gusto, depués otra vez tequila y terminamos con limón agua mineral, añadir sal al gusto.']",Valoración: 4 (4 votos),,,,,"['Tequila,', 'limón,', 'Agua mineral', 'sal']",https://www.recetasgratis.net/receta-de-coctel-tequila-limon-41466.html,,
Café irlandés con nata,"El café irlandés ni que algunos lo puedan pensar no es la bebida nacional de Irlanda, es una bebida popular en los países anglosajones que hace unos años se introdujo en todo el mundo. Una de las cosas más destacadas del café irlandés es la combinación de café, whisky y la nata. Es una bebida que se toma caliente y si se quiere reducir el peso del whisky se puede quemar el alcohol.","['1\nLo primero que debes hacer es poner a calentar el whisky con el azúcar hasta hervir. Hecho esto, coge cuatro vasos anchos y vierte en el fondo un poco de esta mezcla. Para conseguir hacer el auténtico irish coffee con nata es fundamental que el licor sea irlandés.', '2\nSobre el whisky vierte el café muy caliente ya preparado. Mézclalo muy bien. Aparte, bate la crema de leche hasta obtener una consistencia similar a la crema chantilly. Para más detalles, consulta esta receta de nata montada.', '3\nCubre cada uno de los vasos con la crema para obtener tu café irlandés con nata. Puedes utilizar una manga pastelera para dar la forma que quieras. El irish coffe se bebe sin remover, de manera que la nata quede en la superficie hasta el último sorbo.']",Valoración: 4 (65 votos),4 comensales,30m,,Dificultad baja,"['½ litro de Café', '40 gramos de Azúcar', '200 gramos de Nata líquida (crema de leche)', '1 vaso de Whisky irlandés']",https://www.recetasgratis.net/receta-de-cafe-irlandes-con-nata-41449.html,,[]
Licor de moras con vodka,,"['1\nLlenar 1/4 de la botella de moras.', '2\nLas 12 almendras machacadas.', '3\n4 cucharadas de azúcar.', '4\nLlenar a completar con el vodka (de buena calidad, sin casi sabor).', '5\nDejas quieto, preferentemente en un lugar fresco y con poca luz.', '6\nLos 5 primeros días agitas la botella 5 minutos.', '7\nDejas reposar 30 días.', '8\nSi lo dejas más tiempo interviene en la maceración las pequeñas pepitas de madera y suelta.', '9\nFiltras.', '10\nReposo de al menos tres meses, y mejor seis.', '11\nEl resultado es un líquido rojo trasparente suave como el terciopelo y con la fuerza del vodka.']",,,,,,"['Moras de zarza, enteras y bien maduras (NO las de árbol)', 'Una botella de vodka', '12 almendras', 'Azucar']",https://www.recetasgratis.net/receta-de-licor-de-moras-con-vodka-41440.html,,
Sangría con melocotón,,"['1\nPelar los melocotones y partirlos por la mitad.', '2\nQuitar el hueso y cortarlos en rodajas finas. Ponerlos en un recipiente con el azúcar y el brandy.', '3\nAñadir el vino tinto un vaso de zumo de naranja y 1/2 de limón, la canela y la espiral de corteza de limón.', '4\nSe sirve muy fría y con una cuchara de madera.']","Valoración: 4,4 (17 votos)",,,,,"['3 unidades de Melocotón', '50 gramos de Azúcar (¼ taza)', '50 mililitros de Brandy', '1½ litros de Vino tinto', '1 rama de Canela', '1 vaso de Zumo de naranja', '½ vaso de Zumo de limón', '1 unidad de Corteza de limón cortada en espiral']",https://www.recetasgratis.net/receta-de-sangria-con-melocoton-41412.html,,
Café veneciano casero,,"['1\nDisolver el azúcar en 1/2 litro de agua y añadir el café soluble y el vino de Marsala. Verterlo en la cubeta del congelador hasta que esté helado. Raspar la superficie con una cucharita, para obtener la consistencia de un granizado. Repartirlo en 4 copas y poner en cada una de ellas una cucharada de nata. Espolvorearlo con un poco de cacao en polvo.']",,,,,,"['4 cucharadas de azúcar', '4 cucharadas de nata azucarada', '4 cucharaditas de café soluble', '1 copita de vino de Marsala']",https://www.recetasgratis.net/receta-de-cafe-veneciano-casero-41414.html,,
Terremoto trago Chileno,,"['1\nVierta dos litros de vino blanco helado en una jarra.', '2\nAgregue 300 cc de pisco.', '3\nAñada cinco cucharadas grandes del helado, tres de azúcar y revuelva suavemente.', '4\nSi desea al servir agregue más helado en cada vaso.', '5\nTrago dulce que puede engañarlo y alcoholizarlo más de la cuenta.']","Valoración: 3,4 (34 votos)",,,,,"['Vino blanco', 'Pisco', 'Helado de piña', 'Azúcar']",https://www.recetasgratis.net/receta-de-terremoto-trago-chileno-41408.html,,
VINO TINTO AL COCO,,"['1\nFacil !!', '2\nMezclas todos los ingredientes, revuelves bien, prendes la vela para 24 horas, se toman la botelliota de vino tinto, y ya esta !!.', '3\nAmor por todos lados para degustar de un rico Coco dulce con Pimienta negra.', '4\nQue lo disfrutes, comentame despues que tal te fue.. !! Suerte !']",Valoración: 4 (3 votos),,,,,"['2 cucharaditas de azucar', '1 pizca de sal', '1 pizca de pimienta negra', '1 coco rayado', '1 litro de vino tinto']",https://www.recetasgratis.net/receta-de-vino-tinto-al-coco-41400.html,,
Sangria facil,,"['1\nLave las naranjas y el limon con jabon y enjuaguelos con agua fria.', '2\nExprima las naranjas necesarias para completar 1 taza de jugo.', '3\nCorte media naranja en 4 rodajas delgadas,y saque del limon otras 4 rodajas del mismo grueso que las de naranja.', '4\nEche el jugo de naranja y las rodajas de limon y naanja en una jarra con capacidad de 2 litros.', '5\nPele las frutas que vaya a utilizar para la sangria y despues cortelas en pedazos pequeños.', '6\nAgreguelas al jugo que tiene la jarra.', '7\nAñada entonces el vino y el azucar,y revuelva hasta que se disuelva el azucar.', '8\nPor ultimo,agregue el agua de soda y unos cubitos de hielo.']","Valoración: 3,4 (35 votos)",,,,,"['1/2 botella de vino tinto o rosado', '1 taza de jugo de naranja', '4 rodajas de limon', '4 rodajas de naranja', '1/2 taza de frutas finamente picadas', '4 cucharadas de azucar', 'Agua de soda (la suficiente para completar', '1.5 litros de refresco)', 'Cubitos de hielo']",https://www.recetasgratis.net/receta-de-sangria-facil-41397.html,,
