title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Ensalada de frutas con salsa de yogur,"Una ensalada de frutas con yogur, seguro que en eso estabas pensando cuando llegaste a RecetasGratis.net. En esta ocasión te enseñamos cómo preparar una original ensalada de frutas con un aderezo diferente, una salsa de yogur dulce que hará de este plato el postre o el desayuno perfecto.Anímate y disfruta de la ensalada de frutas con salsa de yogur ya mismo.","['1\nEl primer paso será lavar, pelar y picar todas las frutas (menos la parchita) en trozos del mismo tamaño. Colocarlas en una dulcera de vidrio y mezclar bien para que se reparta la fruta de forma uniforme.', '2\nMezclar el zumo de limón con el azúcar hasta que ésta se disuelva y añadir este líquido al bol con las frutas. Tapar con papel transparente. Reservar en la nevera.', '3\nPara hacer la salsa de yogur sólo debes mezclar todos los ingredientes en la batidora y vaciar el contenido en una salsera.', '4\nDisfruta de esta deliciosa ensalada de frutas con yogur durante el desayuno o como postre. Recuerda servir la salsa aparte para que cada comensal se sirva al gusto.']","Valoración: 4,2 (109 votos)",5 comensales,15m,Desayuno,Dificultad baja,,['Recomendada para vegetarianos'],"['1 unidad de Piña', '1 unidad de Melón', '300 gramos de Fresas', '300 gramos de Uvas blancas', '1 vaso pequeño de Zumo de limón', '3 unidades de Mango', '3 cucharadas soperas de Azúcar', '2 unidades de Yogur natura (250 gramos)', '1 lata de Jugo concentrado de parchita o maracuyá', '½ lámina de Leche condensada']",https://www.recetasgratis.net/receta-de-ensalada-de-frutas-con-salsa-de-yogur-12234.html
Ensalada de pepino con crema agria,,"['1\n1. Se pelan los pepinos. Se les eliminan las semillas. Se cortan en tajaditas. Se ponen en un envase aparte.', '2\n2. Se prepara una vinagreta batiendo los demàs ingredientes menos la crema agria y se le revuelve a los pepinos.', '3\nSe mete a la nevera de media a una hora y cuando se va a servir, se saca el envase de la nevera, se escurre completamnte el lìquido que tenga el envase y, en una ensaladera, se le revuelve la crema agria para servir la ensalada de inmediato.']",,,,,,,,"['3 pepinos grandes, unos 600 gramos, unas 4 tazas ya pelados, sin semillas y cortados en tajaditas', '1/4 de taza de jugo de cebolla', '1.1/2 cucharadita de sal', '1/8 de cucharadita de pimienta blanca, molida', '2 cucharadas de azùcar', '1 cucharadita de vinagre de vino', '1 cucharada de agua', '4 cucharadas de crema agria']",https://www.recetasgratis.net/receta-de-ensalada-de-pepino-con-crema-agria-11700.html
Ensalada de palmito con aguacate,,"['1\n1) Se prepara la vinagreta poniendo en el envase de una trituradora o en un frasco todos los ingredientes de la vinagreta y se bate hasta emulsionar bien.', '2\nSe pone aparte.', '3\n2) Se corta la pulpa de un aguacate en cubitos de 1 centìmetro de lado aproximadamente y el palmito en trocitos de 1 centìmtro de largo, se revuelven y se les agrega la vinagreta.']","Valoración: 4,1 (47 votos)",,,,,,,"['1 Aguacate de 1/2 kilo aproximadamente', '250 gramos de palmito escurrido', '1/3 de taza de aceite', '4 cucharadas de vinagre', '6 cucharadas de agua', '1.1/2 cucharadas de azùcar', '1 cucharadita de sal', '1/2 cucharadita de mostaza preparada.']",https://www.recetasgratis.net/receta-de-ensalada-de-palmito-con-aguacate-11651.html
Ensalada de papas con alcaparras,,"['1\nPreviamente se preparan las alcaparras asì: Se escurren y se enjuagan muy bièn para eliminarles elexceso de sal o de vinagre, segùn el caso.', '2\nSe escurren de nuevo y se les agrega vino blanco seco y luego aceite de oliva y se dejan macerar en un envase d vidrio en la nevera hasta cuando se vayan a utilizar.', '3\n2) Se pelan las papas Se cortan en rodajas delgadas.', '4\nSe enjuagan.', '5\nSe escurren.', '6\nSe ponen en una olla con el agua y la sal y se cocinan hasta ablandar, unos 15 minutos.', '7\n3) En el vaso d una trituradora se ponen los ingredientes para la vinagreta menos las alcaparras y se baten hasta emulsionar bien.', '8\nSe le revuelven aparte las alcaparras y todo se revuelve a las papas calientes Se deja enfriar la ensalasa o se mete a la nevera hasta el momento de servir.']","Valoración: 3,3 (21 votos)",,,,,,,"['1/2 taza de alcaparras preparadas segùn se indica en el inicio de la PREPARACION, con vino blanco seco y aceite de oliva', '1 kilo de papas, preferiblemente no muy grandes para obtener rodajas pequeñas y uniformes', '5 tazas de agua y dos cucharaditas de sal para cocinarlas', '1 cebolla pequeña cortada en tajaditas', '1/3 de taza de aceite', '2 cucharadas de vinagre', '2 cucharadas de agua', '1 cucharadita de sal', '1/8 de cucharadita de pimienta blanca molida', '1/2 cucharada de mostaza preparada']",https://www.recetasgratis.net/receta-de-ensalada-de-papas-con-alcaparras-11653.html
"Ensalada de radicchio, manzana y zanahoria",,"['1\n1) Se lavan y se escurren las hojas de radicchio.', '2\nSe cortan en tiritas finas.', '3\nSe lava la zanahoria, se pela y se ralla por la parte gruesa del rallo.', '4\nSe pelan las manzanas, se les elimina el corazòn y las semillas y se corta la pulpa en tajaditas.', '5\nSe mezcla todo en un envase.', '6\n2) En un frasco se ponen los ingredientes de la vinagreta, se baten hasta emulsionar bien y se revuelve a los vegetales en el envase.', '7\nSe mete en la nevera hasta el momento de servir, cuando se revuelve nuevamente.']","Valoración: 4,1 (18 votos)",,,,,,,"['1 Radicchio rojo de unos 200 gramos', '1 zanahoria mediana, unos 150 gramos', '2 manzanas firmes, unos 400 gramos.', 'INGREDIENTES PARA LA VINAGRETA.', '1/4 de taza de aceite', '1 cucharada de azùcar', '1 cucharada de vinagre', '2 cucharadas de agua', '1/2 cucharadita de mostaza', '1 cucharadita de sal', '1/16 de cucharadita de pimienta molida.']",https://www.recetasgratis.net/receta-de-ensalada-de-radicchio-manzana-y-zanahoria-11612.html
Ensalada de lechugas con aderezo de mostaza dulce,"Para los amantes de la ensalada, en esta ocasión traemos una opción saludable y llena de sabor. En ella, utilizaremos tres tipos diferentes de lechuga, la criolla, la portuguesa y la romana, y elaboraremos un aderezo a base de mostaza Dijon, ¡toda una delicia! Toma nota del paso a paso que en RecetasGratis.net te mostramos y prepara esta exquisita ensalada de lechugas.","['1\nLava los tres tipos de lechuga con agua y limón y trocéalas. Aparte, pela las dos mandarinas y separa los gajos.', '2\nPara preparar el aderezo para la ensalada introduce en la licuadora o un recipiente de borde alto el vinagre, el jugo de naranja, una pizca de sal y pimienta, la mostaza Dijon y el azúcar. Bate bien hasta integrar todos los ingredientes.', '3\nCuando esté bien mezclado, añade el aceite poco a poco y sin dejar de batir. Coge una fuente y coloca los tres tipos de lechuga y los gajos de mandarina.', '4\nBaña la ensalada de lechuga con el aderezo de mostaza y, a modo de decoración, coloca algunas almendras tostadas fileteadas. Prepara unas milanesas de carne como plato principal, salmón a la plancha o hamburguesas de tofu.']","Valoración: 4,2 (78 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['400 gramos de Lechuga criolla, portuguesa y romana', '2 unidades de Mandarinas peladas', '4 cucharaditas de Aceite', '¼ taza de Jugo de naranja', '1 cucharadita de Vinagre', '1 cucharadita de Mostaza Dijon', '1 cucharadita de Azúcar o edulcorante', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-ensalada-de-lechugas-con-aderezo-de-mostaza-dulce-11340.html
Ensalada César de berro,"La ensalada César de berros es prácticamente igual a la ensalada césar clásica. También se le puede añadir pollo y el secreto es contar con una buena salsa César de aderezo. A diferencia de la lechuga, el berro le da a este plato un sabor más fuerte y menos amargo. Anímate y prueba una ensalada tradicional pero con un toque diferente, con RecetasGratis.net, innovar en la cocina nunca fue tan fácil.","['1\nEl primer paso para preparar esta deliciosa ensalada verde es reunir todos los ingredientes. La gracia de esta ensalada César son los berros, pero si no los consigues, puedes utilizar canónigos. Aunque no son lo mismo, pertenecen a la misma familia y tiene un sabor bastante parecido.', '2\nPara hacer el aderezo César, procesa todos los ingredientes de la salsa hasta obtener una textura homogénea y suave. Si quieres más detalles, puedes consultar la receta de salsa César casera.', '3\nA continuación, para hacer los crutones o picatostes, corta el pan en cubos y sofríe en la sartén con un poco de mantequilla hasta que estén dorados y crocantes. Si no tienes pan viejo en casa, puedes comprarlos ya listos.', '4\nA continuación, coloca el verde en un bol y mezcla con una buena porción de salsa y los crutones. Mezcla bien hasta que la salsa bañe todos los ingredientes por completo. Recuerda que la cantidad de salsa y crutones es al gusto.', '5\nPara servir la ensalada César con berros, te recomiendo usar un aro de metal para emplatar, así le darás un toque elegante a este deliciosa ensalada fresca. Puedes decorar con tomates cherry para darle color o lo que desees. Este plato es perfecto para acompañar unos muslos de pollo al limón.']","Valoración: 3,8 (24 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['3 filetes de Anchoa', '60 gramos de Queso parmensano', '1 cucharadita de Zumo de limón', '1 unidad de Huevo', '1 chorro de Aceite', '½ cucharadita de Vinagre', '½ cucharadita de Salsa inglesa', '1 cucharada postre de Mostaza', '1 diente de Ajo', '1 pizca de Pimienta', '100 gramos de Berros', '2 trozos de Pan viejo o Crutones']",https://www.recetasgratis.net/receta-de-ensalada-cesar-de-berro-11311.html
Ensalada de gallina fría,,"['1\nSe cocina la gallina picada en dos, con un ajo porro, una cebolla grande cortada en cruz y un pimentòn sin semillas hasta ablandar.', '2\nSe deja enfriar y se corta en trocitos o se esmecha.', '3\nSe cocinan las papas con sal hasta que esten blandas pero firmes.', '4\nEn un envase grande se mezclan la gallina, las papas, la cebolla, el cèlery y los espàrragos y se aliña con la vinagreta, luego se agrega la mayonesa y por ùltimo los petit-pois.', '5\nSe guarda en la nevera por dos horas.', '6\nImportante: Los espàrragos y petit-pois deben estar bien escurridos.']","Valoración: 3,9 (27 votos)",,,,,,,"['1 gallina grande limpia y lavada, sin piel', '2 o 3 kilos de papas peladas y cortadas en cubitos', '2 latas de espàrragos blancos cortados en trocitos, dejando algunos enteros para decorar', '4 tallos de cèlery picaditos', '2 cebollas picadas menuditas', '2 tazas de petit-pois', '1.1/2 taza de mayonesa', '1 taza de aceite', '1/2 taza de vinagre', '1/4 taza de agua', '3 dientes de ajo machacados', 'sal', 'pimienta', '1 cucharadita de mostaza', '1 cucharadita de azùcar']",https://www.recetasgratis.net/receta-de-ensalada-de-gallina-fria-11274.html
Ensalada de germinado de alfalfa,"Si no sabes cómo preparar los germinados para comer puedes escharle un ojo a esta receta de ensalada de germinado de alfalfa donde podrás utilizarlos perfectamente de manera cruda en una combinación de sabores que no te defraudará. Así, esta vez en RecetasGratis te explicamos cómo consumir unos brotes de alfalfa de manera saludable para que nos aporten todos las propiedades nutritivas que contienen a nuestro organismo.","['1\nEn un recipiente agrega la lechuga y los brotes de alfalfa.\nTruco: Es conveniente no calentar ni cocinar todos los tipos de germinados porque si no pierden sus propiedades nutritivas.', '2\nEn otro recipiente combina los champiñones, los tomates, los elotes,las aceitunas y la cebolla.\nTruco: Todos los ingredientes son al gusto y se pueden quitar estos o añadir otros según tus preferencias.', '3\nColoca estos ingredientes sobre la lechuga y los brotes de alfalfa en una ensaladera o recipiente apto, mezcla todo y agrega el queso y un poco de aceite de oliva y sal.', '4\nSirve la ensalada de germinado de alfalfa acompañada de tu salsa favorita o de un buen plato principal como un salmón al horno con salsa de soja y sésamo y de postre, unos deliciosos muffins de chocolate y avena fitness por ejemplo.']",Valoración: 4 (51 votos),4 comensales,10m,Entrante,Dificultad baja,,['Recomendada para vegetarianos'],"['2 tazas de germinados de alfalfa', '1 lechuga pequeña cortada en trocitos', '½ kilogramo de champiñones frescos blancos y rebanados', '2 jitomates colorados rebanados', '1 lata de granos de elotes (o maíz dulce)', 'Aceitunas al gusto', '250 gramos de queso manchego chihuahua en cuadritos', '1 puñado de cebolla fileteada desflemada', 'Aceite de oliva', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-ensalada-de-germinado-de-alfalfa-11259.html
Ensalada de papa con atún,"Hoy vamos a preparar un plato de patatas cocidas con atún de lata, un plato humilde que no afectará tu bolsillo pero que sin duda alegrará la mesa de casa. Esta ensaladilla de atún y patatas es muy fácil de hacer y aunque solo necesites unos pocos ingredientes, el sabor es estupendo.Ya verás que esta ensalada de verano la disfrutarán los pequeños y los adultos. Anímate y cocina con RecetasGratis una rica ensalada de papa con atún, ¡no te llevará más de 10 minutos!","['1\nLava y pela las papas para luego cortarlas en cubos medianos. Entonces cocina en agua hirviendo hasta que estén ligeramente blandos. Escurre y reserva.Es importante no cortar la papa muy pequeña porque no queremos hacer un puré de papa, solo queremos hacerla para que quede tierna y que tenga un tamaño medio, como el que se ve en la foto principal de esta receta fácil.', '2\nPor otro lado, mientras dejamos que las papas enfríen a temperatura ambiente, escurrimos bien el atún y lo ponemos en la licuadora junto con la mayonesa, la cebolla y el perejil. Trituramos todo hasta formar una pasta de atún, comprueba la sazón y corrige con sal y pimienta al gusto.Recuerda que puedes hacer tu propia mayonesa con la receta de mayonesa casera o de la mayonesa sin huevo, en caso de que no puedas comer este alimento, típico en la preparación de la mayonesa.', '3\nUne la mezcla de atún a las papas, revolviendo y haciendo que todo se reparta de forma uniforme. Reserva las papas con atún de lata la ensalada en la nevera hasta el momento de servir para que nuestra ensalada esté fresquita.', '4\nA la hora de servir la ensalada de papa con atún coloca una cama de lechuga en el plato y coloca la mezcla encima. Esta ensalada la podrás presentar como primer plato y si quieres puedes añadir extras como maíz o huevo cocido.']","Valoración: 3,7 (32 votos)",2 comensales,15m,Entrante,Dificultad baja,,[],"['½ Lechuga', '4 Papas', '1 trozo de Cebolla', '1 manojo de Perejil', '2 latas de Atún', '2 cucharadas soperas de Mayonesa', '1 manojo de Perejil', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-ensalada-de-papa-con-atun-10933.html
