title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Receta FÁCIL y RICA!,"El seitán, también llamado carne vegetal, es una receta hecha con gluten de trigo y es muy utilizado en la alimentación vegana y vegetariana. Puesto que su color y su textura son parecidos a los de la carne, muchas personas lo usan para sustituirla. El gluten es rico en proteínas, aunque no contiene todos los aminoacidos esenciales para cubrir nuestra necesidad diaria. Es, además, bajo en carbohidratos.Podemos encontrar seitán en recetas de comida asiática, así como también lo podemos preparar con lentejas, con arroz o salteado con vegetales. Si alguna vez te has preguntado cómo hacer seitán casero de una forma fácil y sencilla, en RecetasGratis te enseñamos todos los pasos que necesitas para conseguirlo. Sin más preámbulos, ¡vamos a ello!","['1\nPrepara un bol amplio para que puedas preparar la masa más cómodamente. Utiliza la misma medida de agua que de gluten, es decir, un tazón de gluten por uno de agua.', '2\nHaz una mezcla con el agua y la harina de gluten. Remueve con una cuchara de madera hasta que se integren ambas y comienza a amasar. No necesita más de 3 minutos de amasado, verás que comienza a adquirir un aspecto de esponja.', '3\nCubre el recipiente de la masa con papel film y deja que la masa repose por 20 minutos.', '4\nMientras tanto, pon a hervir agua y añade las pastillas de caldo de verduras y la soja.\nTruco: No será necesario que añadas sal, puesto que las pastillas de caldo y la soja ya llevan.', '5\nRetira el papel film y agarra la masa con las manos. Ve apretándola hasta formar una bola, debe haber adquirido una textura muy chiclosa, lisa y elástica. Introduce la masa del seitán en el agua hirviendo.', '6\nTapa la olla y deja cocinar el seitán por una hora sin bajar el fuego. En este punto, irá adquiriendo el sabor del caldo de verduras y la soja. Cuando esté listo, apaga el fuego y déjalo reposar hasta que se enfríe totalmente.\nTruco: Si preparas el seitán casero en la noche, puedes dejarlo reposar hasta el día siguiente.', '7\nUna vez frío, podrás cortar el seitán como desees y aprovecharlo en algunas de las sugerencias que te damos más adelante.\nTruco: Puedes conservarlo tapado en papel film en el congelador o con el agua de su cocción en la nevera durante una semana.']",Valoración: 4 (1 voto),6 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar']","['250 gramos de gluten puro', '250 mililitros de agua natural', '2 pastillas de caldo de verduras o caldo casero', '70 mililitros de soja liquida', '2 litros de agua (para hervir)']",https://www.recetasgratis.net/receta-de-seitan-casero-73916.html
Potaje de ACELGAS Murciano,"El potaje de acelgas es un plato muy tradicional del campo murciano. Puede prepararse una versión vegetariana y otra con morcilla, así como también pueden añadirse garbanzos. De cualquier forma, el resultado será un plato de cuchara muy nutritivo y bajo en grasas, perfecto para llenarnos de energía de forma saludable y entrar en calor. Si tienes una huerta, no dudes en hacer el potaje con tus propias verduras y hierbas cosechadas en casa, así podrás disfrutar de una receta hecha de la forma más tradicional y auténtica posible. A pesar de que lleva ingredientes muy sencillos y humildes, este guiso absorbe muy bien la combinación de todos sus sabores y nos brinda un plato riquísimo. Quédate hasta el final y descubre cómo hacer potaje de acelgas.","['1\nLava las hojas de acelga bajo el grifo para que queden limpias de impurezas. Déjalas en una escurridera.', '2\nCorta en pedazos medianos los pimientos, la cebolla y el ajo. Rehoga todo durante al menos 4 minutos mientras remueves.', '3\nPrepara una tacita con todas las especias juntas para que se mezclen entre sí. Corta el tomate en taquitos de un dedo de grozor y añádelo al sofrito junto con las especias. Remueve y deja que cocine por 3 minutos.', '4\nPasado el tiempo, añade el agua con vinagre a la olla y deja que rompa a hervir por 2 minutos.', '5\nAgrega ahora las judías blancas y, seguidamente, corta las acelgas un palmo de ancho y retira sus puntas. Añade las hojas de acelga a la olla junto con el resto de ingredientes. Pensarás que no van a caber, pero después se quedan en nada.\nTruco: En este paso también puedes añadir los garbanzos si deseas agregarlos.', '6\nContinúa guisando y añade las escamas de sal al punto, agrega la morcilla si gustas. Remueve con sumo cuidado, tapa la olla a presión y deja que cueza por 25 minutos.', '7\nYa tienes tu potaje de acelgas con judías preparado, puedes servirlo en una cazuela de barro para que los comensales puedan disfrutar 100% de este delicioso plato. Acompáñalo con unas rodajas de pan de hogaza y un buen vaso de vino, ¡y a disfrutar!']",,4 comensales,45m,Plato principal,Dificultad baja,,"['Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Recetas españolas']","['400 tarros de judías blancas', '1 pimiento verde (medio)', '1 pimiento rojo', '2 dientes de ajo', '1 cucharada postre de pimentón de la vera, comino y ñora', '1 pellizco de pimienta', '3 pellizcos de sal o sal maldon (opcional)', '1 tomate maduro', '2 piezas de morcilla (opcional)', '4 ramas de acelgas', '1 chorro de aceite de oliva virgen extra', '2 vasos de agua con un chorro de vinagre', '1 hoja de laurel']",https://www.recetasgratis.net/receta-de-potaje-de-acelgas-73904.html
Grelos con Garbanzos y Chorizo,"Los grelos con garbanzos y chorizo son un completo y delicioso plato de cuchara para los días de frío. Tiene muchas cualidades positivas, puesto que las legumbres contienen proteína vegetal, fibra, vitaminas y minerales, los grelos aportan vitamina B9 y E, principalmente, y el chorizo proporciona un extra de sabor increíble, además de proteínas.Este plato se cocina a fuego lento, como antiguamente hacían nuestras abuelas, para conseguir un guiso mucho más sabroso y contundente. Si te apetece probar este potaje de grelos con garbanzos, sigue leyendo y descubre el paso a paso que compartimos en RecetasGratis para aprender cómo hacer grelos con garbanzos y chorizo.","['1\nPon a remojo los garbanzos y déjalos durante toda la noche para que se hidraten. Al momento de cocinar el plato, escurre los garbanzos y cuécelos en una olla con agua y el trozo de jamón durante 45 minutos a fuego lento.\nTruco: Para acelerar el proceso y hacer el potaje de grelos con garbanzos más rápido te recomendamos adquirir garbanzos de bote.', '2\nAparte, coloca las ñoras en un cazo con agua y llévalas a ebullición durante 15 minutos a fuego medio. Después, sácalas, retira la carne del interior y resérvala.\nTruco: Debe salir fácil la carne de la ñora pero, si no fuese así, vuelve a cocinarlas durante unos minutos más.', '3\nCorta la cebolla en trozos medianos y el chorizo a rodajas gruesas. Calienta en una sartén un poco de aceite y sofríe la cebolla y el chorizo. Verás que el chorizo suelta su jugo y aceite, sustancias que serán un punto clave para enriquecer este plato de grelos con grabanzos tan exquisito.', '4\nAñade todo el sofrito a la olla con los garbanzos justo cuando lleven 45 minutos de cocción y agrega, también, la hoja de laurel y la patata cortada en dos mitades. Deja que se cocine todo junto durante 10 minutos más.', '5\nPasado el tiempo de cocción, incorpora la carne de las ñoras, los grelos, espolvorea la pastilla de caldo para darle más sabor y un punto de sal, así no tendrás que añadirle más. Remueve y deja que se cocine el guiso 7 minutos más.', '6\n¡Y listo! Recomendamos servir la receta de grelos con garbanzos y chorizo inmediatamente para disfrutar de este riquísimo plato bien calentito. Puedes acompañar el potaje con un poco de pan, y si es casero mucho mejor. Para ello, puedes revisar estas recetas:Pan casero esponjosoPan casero con harina integral']",Valoración: 3 (2 votos),3 comensales,1h 30m,,Dificultad baja,,"['Recetas españolas', 'Recetas gallegas']","['1 cuenco de garbanzos secos o en conserva', '1 patata mediana', '300 gramos de grelos (frescos o de bote)', '2 chorizos secos', '3 ñoras', '2 hojas de laurel', '1 cebolla', '1 pastilla de caldo de pollo', '1 litro de agua', '3 cucharadas soperas de aceite de oliva', '3 pellizcos de sal', '1 trozo de jamón serrano (opcional).']",https://www.recetasgratis.net/receta-de-grelos-con-garbanzos-y-chorizo-73587.html
¡Receta Aromática y Deliciosa!,"Los aromas que desprende esta receta de guiso de calabaza impregnarán tu cocina y convertirán tu hogar en un verdadero refugio de otoño. En RecetasGratis, ya tenemos ganas de abrigarnos y disfrutar de preparaciones calientitas y llenas de calor hogareño. Por eso, te traemos este guiso de cocción lenta y, con paciencia y amor, conseguirás un plato delicioso para todos en casa.Puedes acompañar el guiso de calabaza con pollo maíz, garbanzos, lentejas u otras legumbres, así como también puedes agregarle arroz o quinoa. En este caso, hemos decidido añadirle garbanzos, pero ya puedes elegir tú los ingredientes que más te agraden. Lo importante es disfrutar de la combinación de sabores y las texturas de las verduras cocinadas a fuego lento. Continúa leyendo y aprende cómo hacer guiso de calabaza, ¡te hará agua la boca!","['1\nPela y corta la cebolla, el ajo y los pimientos y póchalos en una cazuela honda con un poco de aceite de oliva. También puedes agregar puerro o cebolleta si lo deseas. Añade un poco de sal.', '2\nPela y corta la zanahoria en rodajas, y corta patatas en tacos pequeños. Agrégalos a la cazuela junto a la calabaza y el tomate, cortados en trozos. Vierte el agua o el caldo de verduras, el tomate frito y condimenta con la sal y las especias. Deja cocinando a fuego medio-bajo durante unos 40 minutos o hasta que la calabaza esté tierna.', '3\nAgrega los garbanzos y el cilantro al guiso y sigue cocinando unos 5-10 minutos más.', '4\n¡Sirve y disfruta tu guiso de calabaza y garbanzos caliente y recién hecho! Si lo deseas, puedes adornar con unas hojitas de perejil.']","Valoración: 3,7 (3 votos)",4 comensales,45m,,Dificultad media,,[],"['550 gramos de calabaza', '2 patata', '3 zanahorias', '1 pimiento verde', '1 pimiento rojo', '3 dientes de ajo', '1 cebolla', '1 tomate', '1 lata de garbanzos cocidos', '2 cucharaditas de pimiento dulce', 'Sal y pimienta al gusto', '1 cucharadita de cúrcuma', '1 cucharadita de comino', 'Cilantro fresco al gusto (opcional)', '2 cucharadas soperas de aceite de oliva', '3 tazas de agua o caldo de verduras', '3 cucharadas soperas de tomate frito']",https://www.recetasgratis.net/receta-de-guiso-de-calabaza-73467.html
Estofado de Ternera en OLLA EXPRÉS,"El estofado es una comida de cuchara que se prepara, normalmente, para los días más frescos porque nos permite regular la temperatura corporal. No obstante, también es un plato que podemos consumir en cualquier mes del año, ya que está delicioso y es muy nutritivo. Para ello, podemos hacerlo de ternera, de pollo o de cualquier tipo de carne que nos guste.En esta ocasión vamos a preparar un estofado de ternera fácil y rápido porque usaremos la olla exprés. Así, sigue leyendo y descubre en RecetasGratis cómo hacer estofado de ternera en olla exprés, una receta con mucho sabor que te encentará.","['1\nPon en una olla exprés una tacita de aceite y haz un sofrito rápido de ajo laminado. Sin que se queme, apártalo y sofríe la carne en el mismo aceite para sellarla por fuera y lograr que no pierda su jugo. Durante este proceso la carne puede soltar algo de agua pero no importa, en cuanto coja color querrá decir que está lista.', '2\nAñade medio litro de agua a la carne y cierra la olla exprés para que tenga una primera cocción de 20 minutos. Después, abre y agrega el vino, el medio litro restante de agua, las especias, el sofrito de ajo laminado y, por último, zanahorias, cebollas, patatas y champiñones, todo esto troceado y en crudo. Incorpora también sal al gusto, cierra de nuevo la olla y cuece durante 10 minutos más.Al agregar las verduras en crudo conseguimos que los jugos de las especias y los vegetales se fusionen y nos den como resultado un estofado de ternera en olla exprés con una salsa realmente exquisita.\nTruco: Esta segunda cocción es uno de los trucos para hacer que la carne esté tan tierna que se deshaga en la boca.', '3\nSi prefieres la verdura más al dente, cuécela durante 5 minutos en la segunda cocción, aunque con 10 queda en el punto exacto.', '4\nRetira una patata de la olla para triturarla con un poco de caldo. Luego, agrega este puré al guiso y deja que se cocine durante unos minutos para que acabe de espesar la salsa. De esta forma, queda un estofado de ternera en olla rápida más espeso y saludable, sin agregar más calorías con espesantes o harinas.', '5\nYa solo queda probarlo y decidir si es necesario agregar un poco más de sal o no. Las recetas en olla express siempre nos permiten elaborar platos deliciosos en un tiempo mucho más reducido. Esta carne guisada en olla rápida es un estofado de ternera fácil y sabroso, con el que se consigue una carne muy tierna y jugosa. Puedes acompañar este plato con una ensalada verde y preparar un postre de limón.']",Valoración: 3 (1 voto),6 comensales,1h 30m,Plato principal,Dificultad media,,[],"['500 gramos de ternera (a ser posible de babilla cortada en pedazos no muy grandes)', '2 zanahorias', '1 bolsa de champiñones portobello o cualquier otra seta', '3 dientes de ajo', '2 cebollas medianas', '4 patatas medianas', '1 taza de aceite de oliva', '1 cucharadita de sal al gusto', '1 vaso de vino tinto', '2 cucharaditas de especias (comino, albahaca y pimentón de la vera)', '1 litro de agua', '4 clavos']",https://www.recetasgratis.net/receta-de-estofado-de-ternera-en-olla-expres-73210.html
¡Receta FÁCIL para Carnes!,"El níscalo o rebollón es un hongo muy común en España y sus nombres varían según la región. Se oxida con facilidad, por lo que puede tomar un color verdoso, pero sigue siendo comestible. Se pueden encontrar por los bosques y pinares durante el otoño, especialmente, después de los días de lluvia, ya que se reproducen mucho más que en las épocas de sequía.Aunque hay muchas formas de cocinar níscalos para aprovecharlos en tus platillos, en esta ocasión, en RecetasGratis, te proponemos preparar una deliciosa receta de níscalos con patatas. Se trata de un plato de cuchara delicioso, con pocos ingredientes y que le da mucho protagonismo a este hongo tan apreciado en la gastronomía española. ¡Sigue leyendo y aprende cómo hacer níscalos con patatas junto a nosotros!","['1\nPrepara los ingredientes de los níscalos con patatas. Quítale las semillas al pimiento y pícalo. Pela la cebolla y pícala también. Haz lo mismo con los dientes de ajo y pícalos o déjalos enteros, según tu gusto. Por último, pela las patatas y cháscalas.\nTruco: Para chascar las patatas, mete el cuchillo en la patata, pero sin llegar hasta el final, y rompe formando trozos de patata. De esta forma, la patata suelta el almidón y trabará un poquito el caldo.', '2\nEn una olla amplia, pon el aceite de oliva, caliéntalo y añade la cebolla, el pimiento picado y los ajos. Sofríe unos 3 o 4 minutos, dando vueltas con una cuchara de madera de vez en cuando.', '3\nIncorpora las patatas y dale vuelta al guiso para que las patatas se impregnen bien de los sabores del sofrito. Sofríelas durante 2 minutos.', '4\nVierte el vino blanco, remueve y deja que el alcohol se evapore unos 2 minutos.', '5\nCubre el guiso con el agua hasta que las patatas queden sumergidas; necesitarás aproximadamente 800 ml de agua. Añade sal al gusto y la hoja de laurel.', '6\nPor último, añade los níscalos limpios y troceados si son muy grandes. Remueve el guiso de níscalos con patatas, tapa y déjalo cocer durante 1 hora o hasta que la patata esté tierna.\nTruco: Es aconsejable no mojar los níscalos debajo del grifo para su limpieza, mejor utilizar un pañito húmedo. Si están muy sucios, puedes lavarlos bajo el grifo y consumirlos enseguida, pues pierden sabor.', '7\nDeja reposar los níscalos con patatas para que ganen más sabor o sírvelos enseguida, según prefieras.Espero que probéis este guiso pues está riquísimo y si os apetece, podéis visitar mi blog Cakes para ti, donde encontraréis nuevas recetas.']",Valoración: 4 (5 votos),4 comensales,2h 30m,Plato principal,Dificultad baja,,['Recetas españolas'],"['1 cebolla', '1 pimiento rojo no muy grande', '2 dientes de ajo', '4 patatas medianas', '100 mililitros de vino blanco de buena calidad', '800 mililitros de agua (3⅓ tazas)', '400 gramos de níscalos', '3 cucharadas soperas de aceite de oliva', '1 hoja de laurel', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-niscalos-con-patatas-73191.html
Receta de la Abuela Típica de Cádiz,"Las papas con choco son un guiso muy típico de la región de Andalucía, especialmente de Cádiz. Se trata de un plato caliente fácil de preparar y muy rico, ideal para el día a día pero, sobre todo, para los días de frío, pues nos reconforta y nos ayuda a recuperar fuerzas. Además, es muy digestivo dada la poca grasa que tiene, ya que está lleno de verduras y elaborado con pescado.Si no lo has probado todavía, te animamos a hacerlo porque el sabor de este plato lleno de tradición te encantará. En RecetasGratis compartimos una receta muy detallada, con ingredientes del día a día para que disfrutes de este típico guiso andaluz tan rico. Sigue leyendo y descubre cómo hacer papas con choco, una receta de la abuela estilo Cádiz que no dejará indiferente a nadie.","['1\nCorta el choco en trozos no muy grandes y reserva. La receta de papas con choco que compartimos rinde para 4 personas, por lo que, en caso de querer hacer más será necesario aumentar las cantidades de los ingredientes.', '2\nPica la cebolla y el pimiento, pela las zanahorias y córtalas en rodajas. Aparte, pela los tomates y tritúralos. Reserva todas las verduras. Para pelar mejor los tomates recomendamos hacer un corte en cruz y escaldarlos un par de minutos.\nTruco: Puedes utilizar tanto pimiento rojo como verde o una mezcla de ambos.', '3\nPon un chorro de aceite de oliva en una olla amplia y sofríe el pimiento y la cebolla.', '4\nCuando empiece a ponerse transparente la cebolla, añade las zanahorias cortadas en rodajas y los tomates triturados. Sigue cocinando el sofrito. Como decíamos, esta es la receta de papas con choco estilo Cádiz, las papas con choco estilo Huelva acostumbran a llevar más tomate triturado.', '5\nIncorpora el vino blanco y deja que hierva durante un minuto para que se vaya evaporando el alcohol.', '6\nAñade los guisantes congelados y el choco. Remueve bien la preparación y deja que se integren los sabores de los ingredientes. En la receta de papas con chocos estilo Huelva se suele triturar el sofrito antes de agregar el choco, de manera que puedes hacerlo si prefieres preparar esta versión del tradicional guiso gaditano.\nTruco: Para hacer papas con choco con orégano, agrega ahora esta especia al gusto.', '7\nVierte los 800 ml de agua y añade sal al gusto, un poco de pimienta negra recién molida, la hoja de laurel y el pimentón dulce. Tapa y deja cocer a fuego suave hasta que el choco esté tierno. En función de lo dura que sea la carne, el guiso tardará una hora o algo más en estar listo. De todas formas, cocer bastante el caldo solo hará que esté aún más rico el guiso, de manera que no hay problema si nos pasamos un poco de tiempo.', '8\nCuando el choco esté tierno, prueba el caldo y rectifica de sal si es necesario. Pela las patatas, cháscalas y agrégalas al caldo para que se cuezan. Tardarán alrededor de 40 minutos en estar tiernas.\nTruco: Si te apetece hacer papas con choco y gambas, añade el marisco 10 minutos antes de finalizar la cocción de las patatas.', '9\nPuedes servir de inmediato el guiso o dejar que repose un tiempo, puesto que estará muy rico de todas las formas. La receta de papas con choco es una de las más tradicionales de Andalucía y de todo el país en general, por su sabor y por la cantidad de nutrientes que aporta. Por este motivo, existen diferentes versiones, ¡todas ellas deliciosas! Dinos, ¿con cuál te quedas?Espero que te haya gustado la receta y la disfrutes en casa. Te invito también a que visitéis mi blog, Cakes para ti, donde encontrarás estupendas recetas en él.']","Valoración: 4,4 (5 votos)",4 comensales,2h 30m,Plato principal,Dificultad baja,,"['Recetas españolas', 'Recetas andaluzas']","['1 choco grande', '1 cebolla', '1 pimiento rojo no muy grande', '2 zanahorias', '2 tomates pequeños', '1 puñado de guisantes congelados', '1 vaso de vino blanco', '4 patatas medianas', '1 cucharadita de pimentón dulce', '1 pizca de sal', '1 pizca de pimienta negra', '1 chorro de aceite de oliva virgen', '1 hoja de laurel', '800 mililitros de agua (3⅓ tazas)']",https://www.recetasgratis.net/receta-de-papas-con-choco-73135.html
Locro de Zapallo Peruano,"El locro es un plato tradicional de la gastronomía de América Latina en general, siendo una receta destacada, sobre todo, en Argentina, Perú y Bolivia. Aunque la receta más popular es la del locro de carne, lo cierto es que podemos prepararlo con múltiples ingredientes, como el que compartimos en RecetasGratis.El locro de zapallo es uno de los platos más apreciados por su sencilla elaboración, bajo coste y elevado valor nutricional. En función del país en el que se prepare sus ingredientes pueden variar ligeramente, sin embargo, en todos ellos se sigue el mismo proceso de elaboración. Como decimos, esta preparación es muy nutritiva por los vegetales que contiene y, a su vez, es vegetariana. De esta forma, para los que sigan una dieta ovo-lácteo vegetariana, esta receta es perfecta. Sigue leyendo y descubre con nosotros cómo hacer locro de zapallo peruano, ¡al final indicamos cómo preparar también las versiones argentina y boliviana!","['1\nLavamos y pelamos las verduras. Luego, cortamos todos los ingredientes que se deban trocear, así estarán listos para realizar la receta de locro de zapallo más rápido.', '2\nEn una olla colocamos el aceite y, cuando esté caliente, incorporamos la cebolla para rehogarla.', '3\nLuego, añadimos la zanahoria a la cebolla, salamos al gusto y salteamos ambos ingredientes.', '4\nColocamos la cucharadita de ají molido y revolvemos para seguir con la preparación del locro peruano. En esta receta, se suele utilizar ají amarillo, sin embargo, en otros países es común optar por otros tipos de ají. En Argentina, por ejemplo, se utiliza el ají dulce.', '5\nIncorporamos el zapallo y la papa a la olla, condimentamos con orégano y sazonamos un poco más. Después, revolvemos. Podemos hacer esta receta con cualquier tipo de zapallo, por lo que no necesariamente debemos escoger un zapallo peruano. En Argentina, se suele emplear el zapallo anco para hacer el locro, por ejemplo.', '6\nVertemos los 300 cc de agua potable y revolvemos nuevamente. Tapamos la olla y dejamos cocinar el locro peruano por 10 minutos.', '7\nCuando pase el tiempo, destapamos y añadimos el choclo cortado junto con las arvejas verdes, rectificamos de sal si es necesario. Dejamos el locro de zapallo tapado nuevamente hasta que finalice la cocción de todos los ingredientes.', '8\nPor último, incorporamos la crema de leche o la leche evaporada, revolvemos y dejamos la preparación al fuego unos minutitos más. Luego, apagamos el fuego y apartamos la olla. La receta de locro peruano tradicional se elabora con leche evaporada, sin embargo, si no la conseguimos podemos decantarnos por la crema de leche. Así mismo, podemos hacer la leche evaporada en casa siguiendo este sencillo paso a paso.', '9\nJusto antes de apagar el fuego, añadimos a la olla pedazo de queso fresco. Luego, ¡servimos y disfrutamos de este magnífico plato! Como hemos visto, el locro de zapallo es fácil y económico, ya que se necesitan productos que todos podemos tener en nuestras despensas y lo único que debemos hacer es cortarlos y añadirlos a la olla.\nTruco: Sirve el locro de zapallo con arroz hervido para completar el plato.']",Valoración: 4 (2 votos),4 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas peruanas']","['1 cebolla', '1 zanahoria', '500 gramos de zapallo', '1 papa pequeña', '1 choclo amarillo (mazorca)', '100 gramos de arvejas enlatadas', '300 centímetros cúbicos de agua potable', '1 pizca de sal fina', '1 cucharadita de ají amarillo', '1 pizca de orégano', '100 centímetros cúbicos de crema de leche o leche evaporada', '50 centímetros cúbicos de aceite neutro', 'Queso fresco']",https://www.recetasgratis.net/receta-de-locro-de-zapallo-peruano-72711.html
Potaje de Garbanzos con Acelgas y Bacalao,"El potaje de vigilia acostumbra a prepararse a base de garbanzos, bacalao y espinacas. No obstante, en esta ocasión sustituiremos las espinacas por pencas de acelgas, que también ofrecen un toque de sabor increíble. De esta forma, vemos como, hoy en día, son muchas las recetas que existen alrededor de este plato tan tradicional, ya que podemos encontrar el potaje de garbanzos con bacalao andaluz, que suele hacerse con pimientos choriceros y patata, el potaje de acelgas con bacalao murciano e, incluso, el potaje de vigilia sin bacalao, destinado para aquellas personas que no consumen pescado.En todos los casos anteriores, estamos ante platos llenos de sabor y tradición, que nos permitirán disfrutar de una comida nutritiva y completa. Para aprender a preparar esta particular receta de potaje de garbanzos con bacalao y acelgas, no te pierdas el paso a paso compartido en RecetasGratis.","['1\nPicamos todas las verduras a dados pequeños y los ajos a láminas. Yo utilicé las hojas de las acelgas para hacerlas hervidas y los tallos para este plato, de esta forma se aprovecha todo el producto.', '2\nPrecalentamos el aceite en una olla adecuada y ponemos los ajos hasta que ""bailen"" o cambien ligeramente de color.', '3\nEn este punto, añadimos la cebolla y el pimiento y rehogamos durante un par de minutos.', '4\nIncorporaramos el tomate y rehogamos un minuto más para seguir con la receta de garbanzos con bacalao y acelgas.', '5\nAñadimos las pencas y seguimos rehogando todos los ingredientes. Si queremos, podemos agregar también las hojas de las acelgas.', '6\nAñadimos el laurel para potenciar el sabor del potaje de garbanzos con acelgas y bacalao y removemos.', '7\nPonemos el pimentón, removemos y enseguida incorporamos en vino blanco y dejamos la preparación hasta que evapore el alcohol.', '8\nAñadimos el caldo, tapamos y dejamos cocinando el potaje de garbanzos con bacalao y acelgas a fuego medio durante 15 minutos. En caso de utilizar garbanzos de bote, en lugar de usar el caldo de la cocción puedes utilizar otros caldos como el caldo de ave, de pescado o de verduras.', '9\nIncorporamos los garbanzos y removemos para integrarlos en el caldo.', '10\nAñadimos el bacalao, removemos con cuidado y dejamos al fuego 5 minutos más. Si quieres añadir sal, ten cuidado porque el bacalao ya contiene sal.', '11\nY ya tenemos nuestro plato terminado. Dejaremos reposar para que sienten bien los sabores y serviremos la receta de potaje de garbanzos con bacalao y acelgas. ¡Buen provecho!']","Valoración: 4,6 (8 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recetas para Semana Santa', 'Recetas españolas']","['500 gramos de bacalao desalado al punto de sal', '500 gramos de garbanzos previamente cocidos en agua, sal y una cebolla', '300 gramos de tallos o pencas de acelgas', '4 dientes de ajo cortados en láminas', '1 cebolla mediana', '1 pimiento rojo pequeño', '1 hoja de laurel', '1 pizca de sal al gusto', '2 tomates maduros', '1 vaso de vino blanco', '½ litro de agua de los garbanzos', 'Aceite de oliva virgen extra (cantidad necesaria)', '1 cucharadita de pimentón dulce']",https://www.recetasgratis.net/receta-de-potaje-de-garbanzos-con-acelgas-y-bacalao-72056.html
¡Un guiso senegalés exquisito!,"El mafé es un guiso tradicional de la cocina senegalesa que consiste en una de las variaciones de los guisos de frutos secos populares prácticamente en todos los países de África. Es un guiso hipercalórico, es decir, lleva varios ingredientes que aportan una gran cantidad de calorías. Sus ingredientes principales suelen ser la carne (al ser una receta de mafé vegana sin ingredientes de origen animal utilizaremos seitán o cualquier otra carne vegetal cuya receta puedes encontrar en mi perfil de RecetasGratis), vegetales ricos en almidones, como yuca y patata y verduras variadas, tales como, cebolla, zanahoria, berenjena, judías verdes, tomate, pimiento, también puedes añadir otras verduras por ejemplo, col, batata, calabaza, etc. El ingrediente clave del mafé senegalés es la crema o mantequilla de algún fruto seco y la más utilizada es la crema de cacahuetes. Este estofado de cacahuete se suele acompañar de arroz blanco.","['1\nPela y corta en dados la yuca, la batata o las patatas, la cebolla, el pimiento y la berenjena, y corta en trozos las judías verdes y en rodajas la zanahoria.', '2\nCalienta una olla con aceite y sofríe el seitán cortado en dados con un poco de sal y de pimienta. Cuando el seitán o la carne vegetal se dore lo retíralo de la olla y resérvalo.', '3\nEn la misma olla pocha la cebolla. Cuando empiece a dorarse añade el pimiento y sofríe hasta que la verdura quede blanda.', '4\nIncorpora la crema de cacahuetes al sofrito y remueve. Si prefieres hacerlo tú mismo en vez de comprarla, puedes echar un vistazo a esta receta de crema de cacahuetes casera sin azúcar tan fácil.', '5\nTritura el tomate y añádelo a la olla junto con la sal, pimienta y opcionalmente el chile picante picado muy fino, mezcla hasta que todos los ingredientes estén integrados y cocina durante un par de minutos.', '6\nAñade medio litro de agua y cuando rompa a hervir añade media pastilla de caldo vegetal y las verduras: la yuca, la patata, las judías verdes, la zanahoria, la berenjena y el seitán o la carne vegetal.', '7\nCocina la verdura del mafé de Senegal hasta que esté tierna y se reduzca el caldo.', '8\nSirve la receta de mafé vegana con arroz blanco como he hecho yo. ¡Una combinación estupenda! Y si quieres completar tu menú internacional te propongo preparar de postre este estupendo mbourake senegalés o visitar mi blog Vegspiration para encontrar mucha más recetas de cocina de todo el mundo.']",Valoración: 4 (1 voto),2 comensales,3h,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Receta sin gluten']","['200 gramos de seitán u otra carne vegetal', '1 cebolla', '½ taza de crema de cacahuetes', '½ pimiento rojo', '½ yuca', '2 patatas', '1 zanahoria', '1 tomate grande', '1 chile picante (opcional)', '½ berenjena', '1 puñado de judías verdes', '1 pieza de pimienta negra', '1 chorro de aceite vegetal', '½ cucharadita de sal', '½ pastilla de caldo vegetal']",https://www.recetasgratis.net/receta-de-mafe-vegano-70450.html
