title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Moqueca,,"['1\nUno de los clásicos platos de la costa del nordeste del Brasil.', '2\nEsta es una particular receta dónde se combinan los sabores del tomate, el coco, el caju, el dendé (aceite de palma) y los frutos del mar.', '3\nLa moqueca es especialmente buena acompañada con caipirinha, bebida hecha con jugo fresco de lima, una pizca de azúcar y licor de caña de azúcar llamado cachaça.', '4\nCalentar en una cazuela el aceite de dendé a fuego mediano, agregar los pimientos y la cebolla, saltear cerca de 10 minutos; agregar los tomates, la pasta de tomate, el caldo de pescado, el tomillo y la mitad del cilantro.', '5\nAumentar la temperatura hasta que hierva, y bajar a fuego lento agregando los trozos de pescado.', '6\nCocinar 10 minutos.', '7\nIncorporar los camarones y cocinar otros 4 minutos.', '8\nApagar el fuego y agregar las castañas picadas y revolver suavemente, poner la otra mitad del cilantro picado, cubrir y dejar reposar unos 5 minutos.', '9\nDividir el arroz en cazuelitas, añadir la sopa y servir. ¡Buen Provecho!']","Valoración: 4,1 (28 votos)","['ara 4 personas 3 cuchara sopera aceite de dendé', '1 ud. pimiento rojo cortado en tiras', '1 ud. pimiento amarillo cortado en tiras', '10 ud. chiles frescos, pelados, sin semillas y picados', '1 ud. cebolla (cortada en aros finos)', '6 ud. tomate pera, pelado y cortado en cubos', '3 cuchara sopera pasta de tomate', '1 1/2 l. caldo de pescado', '6 rama tomillo fresco', '6 rama cilantro (picado finamente)', '100 c.c. leche de coco', '500 gr. pez espada (lomo cortado en 4 trozos)', '500 gr. camarón (mediano, pelado)', '1/2 taza castaña del cajú (tostadas y picadas)', '2 taza arroz blanco cocido']",https://www.recetasgratis.net/receta-de-moqueca-16786.html,,,,,,
La Carbonada Criolla,,"['1\nEsta es una clásica y tradicional receta del nordeste argentino, una combinación de pedazos de choclo, duraznos maduros, papas y carne servidas en una calabaza; este es uno de los platos de la madre tierra, que encorajan hasta escalar una montaña después de ingerido.', '2\nLimpiar la calabaza con un paño húmedo.', '3\nCortar con un cuchillo de deshuesar, 3 pulgadas por debajo del tallo, de modo que resten dos pedazos, uno de los cuales, el menor, servirá de tapa; extraer la pulpa de la tapa, cortarla en cubos y guardar.', '4\nAhuecar la calabaza retirando las semillas y parte de la pulpa, cuidando de dejar un espesor de 1/2 a 3/4 de pulgada (aprox).', '5\nEn un recipiente, mezclar la harina, la paprika, el chile, la pimienta blanca, la sal y el orégano.', '6\nAgregar la carne y mezclar hasta cubrir perfectamente.', '7\nPrecalentar el horno a temperatura media.', '8\nCon dos cucharas de aceite y un pincel, pintar el interior y la cáscara de la calabaza, incluyendo la tapa y colocar en una fuente honda en el horno unos 15 minutos.', '9\nDejar enfriar.', '10\nEn otro recipiente, mezclar los pedazos de durazno con el vinagre balsámico y dejar reposar.', '11\nCalentar en una olla el resto del aceite a fuego fuerte y agregar la carne y dorarla bien por espacio de 12 minutos, luego agregar la cebolla, el ajo y el apio y cocinar otros 5 minutos.', '12\nAgregar el caldo, hojas de laurel y el comino y llevar a hervor.', '13\nLuego, reducir la temperatura, tapar y cocinar a fuego lento por espacio de 1 1/2 horas.', '14\nDestapar la olla y agregar los trozos de maíz y los de zanahoria.', '15\nElevar la temperatura hasta punto de hervor y cocinar otros 10 minutos (aprox.).', '16\nEn ese momento, se agregan los trozos de calabaza y los duraznos.', '17\nRevolver y cocinar por 10 minutos.', '18\nCuidadosamente, con un cucharón, llenar la calabaza y cubrirla con la tapa que se dispuso para ello y cocinar en el horno 30 minutos.', '19\nLlevar la calabaza a la mesa y retirar la tapa, servir con un cucharón.', '20\n¡Buen Provecho!']","Valoración: 3,7 (25 votos)","['1 ud. calabaza grande de 4 ó 5 kl', '1/4 taza harina', '1 cucharadita paprika húngara', '1 cucharadita chipolte (chile en polvo)', '1 cucharadita pimienta blanca en polvo', '1 cuchara sopera sal', '1 cucharadita orégano seco', '2 kg. carne guitarra i costillar deshuesado, cortado en tiras de 1 pulgada', '1/4 taza aceite de oliva', '4 ud. duraznos frescos, pelados y cortados en tajadas', '2 cuchara sopera azúcar', '1/4 taza vinagre balsámico', '1 ud. cebolla picada', '5 diente ajo', '3 ud. apio (tallo picado)', '4 l. caldo o fondo de vaca', '2 hoja laurel', '1 cucharadita cominos', '2 ud. choclo dulces, cortados en rodajas', '2 ud. zanahoria cortadas en rodajas finas']",https://www.recetasgratis.net/receta-de-la-carbonada-criolla-16525.html,,,,,,
Mansaf con yogurt,,"['1\nSe refrie la carne con la cebolla.', '2\nSe añade el yogur liquido ( si no estas en un pais árabe o se disuelve el yogur seco (yamid) con agua caliente).', '3\nSe deja cocer junto con la carne hasta que esté bastante blanda.', '4\nSe prepara el arroz solo.', '5\nCdo la carne y el arroz están en su punto, se presenta en una bandeja redonda en la que se pone una capa de pan sharak pero si no estás en país árabe no es necesario, a continuación el arroz extendido en toda la banadeja, se pone encima la carne y se riega con el caldo de yogur, se decora con los piñones fritos encima y se sirve con platos de esa salsa al lado.']",,"['1 K. Cordero', '750 g. arroz', '1 cebolla', '200 g. piñones', '2 litros yogur']",https://www.recetasgratis.net/receta-de-mansaf-con-yogurt-16390.html,,,,,,
Guiso de pavo,,"['1\nPelar y picar por separado la cebolla y el tomate.', '2\nCalentar el aceite en una cazuela y freir las almendras. Sacarlas y reservar.', '3\nFreir los trozos de pavo hasta que se doren.', '4\nAñadir entonces la cebolla, la cabeza de ajos y el laurel.', '5\nCuando todo empiece a dorarse, agregar el tomate, y rehogar hasta que pierda algo de líquido.', '6\nVerter el vino seco, dejar reducir un poco.', '7\nAñadir el agua sazonar, tapar y cocer a fuego medio durante 40 minutos.', '8\nMientras tanto, pelar las patatas, trrocear y freir ligeramente en aceite abundante.', '9\nPicar las almendras en el mortero e incorporar a la cazuela junto con las patatas.', '10\nRectificar el punto de sal tapar de nuevo y cocer durante 20 minutos más.', '11\nSe puede sustituir la carne de pavo por pollo o gallina.']","Valoración: 3,5 (37 votos)","['500 gramos de carne de pavo en trozos pequeños', '2 cebollas', '1 tomate maduro', '12 almendras', '1 vasito de vino seco', '1 hoja de laurel', '1 tacita de aceite de oliva', '1 cabeza de ajos', '2 vasos de agua', '1/2 kg de patatas', 'aceite para freir', 'sal']",https://www.recetasgratis.net/receta-de-guiso-de-pavo-16087.html,,,,,,
Guiso a la Jimena,,"['1\nSaltear la cebolla picada chiquita junto con los morrones tambien picados, hasta que esten bien tiernos.', '2\nCuando este todo bien tiernito le agregamos la carne picada junto con el chorizo picado en dadito y dejamos que se cocine a fuego lento.', '3\nCuando la carne cominza a largar juguito ya está, no dejemos que se reseque.', '4\nEn ese momento le agregamos el tomate triturado, junto con los 2 vasos de agua y el caldo de carne.', '5\nCuando comienza a hervir le ponemos el arroz, la sal, el azucar y el oregano.', '6\nCuando el arroz esté listo a comer !!!!! Se puede servir con limon y queso rallado.']","Valoración: 3,4 (34 votos)","['2 tazas de arroz', '1/2 Kg. de carne picada', '1 cebolla', '1/2 morron rojo', '1/2 morron verde', '1 lata de tomate triturado', '1 caldo de carne', '2 vasos de agua', '1 chorizo', 'Sal a gusto', '1 cucharadita de oregano', '1 cucharada de sal']",https://www.recetasgratis.net/receta-de-guiso-a-la-jimena-15991.html,,,,,,
Locro de queso,,"['1\nSofreír en la mantequilla, la cebolla y la manteca de color hasta que la papa tome un aspecto transparente.', '2\nLuego agregar el agua hirviendo y esperar a que la papa se suavice agregando la sal, la pimienta, la leche, el queso rallado y, por último, la crema de leche revolviendo constantemente hasta que el caldo espese. Servir con una rodaja de aguacate.']","Valoración: 3,3 (6 votos)","['3 libras de papas (patatas)picadas en cuadritos', '3 tazas de agua', '2 cebollas blancas picadas', '½ cucharada de mantequilla', '1 cucharadita de manteca roja', 'sal', 'pimienta al gusto', '½ taza de leche', 'aguacate', '5 onzas de queso']",https://www.recetasgratis.net/receta-de-locro-de-queso-15653.html,4 comensales,1h 30m,,Dificultad media,,[]
Locro de papa,"El locro de papa es un plato tradicionalmente preparado por los pueblos originarios de América, elaborado con los ingredientes propios de cada región y que se ha ido adaptando a las nuevas eras, sumando ingredientes novedosos. Por ejemplo, este locro, que hoy en día es parte de los emblemáticos platos ecuatorianos, ha incorporado a su receta original, la cebolla, la leche y el queso, importados al continente por los inmigrantes europeos. Asimismo, puedes servirlo como plato principal para reconfortarte un día de frío y para respetar un poco la temática, puedes servir en cuencos de barro. Además, este tipo de vajilla también mantiene muy bien la temperatura del plato.En RecetasGratis te enseñamos cómo hacer locro de papa. ¡A cocinar!","['1\nPara empezar con la receta de locro de papa, primero pela 1 patata, córtala en cubos y disponla en un recipiente con agua para que no se oxiden mientras preparas los siguientes pasos.', '2\nLava la segunda papa y córtala en cubos pequeños. A continuación, llévala a la freidora de aire a 200 ºC durante 12 minutos para que queden doradas y crocantes. Si no tienes freidora, puedes hacerlas en el horno, freírlas o, simplemente, utilizar todas las papas en el primer paso. Aquí solo buscamos darle una segunda textura muy rica al locro, combinando la cremosidad de las papas cocidas con agua y leche, con el crujiente de las papas fritas.', '3\nPela y pica la cebolla para saltearla en una olla con 1 cucharadita de aceite y el fuego medio. En este caso, utilizamos solo 1 cucharadita de aceite para hacer una versión saludable, sin embargo, si lo deseas, puedes usar más aceite y/o reemplazarlo por manteca.', '4\nCuando la cebolla esté transparente, agrega las papas que habías cortado junto con el agua en remojo, donde hay una gran parte del almidón, ideal para hacer un locro cremoso. También añade la leche y los condimentos.\nTruco: si realizas esta receta para alguien vegano o intolerante a la lactosa, puedes reemplazar la leche por vegetal. En caso de ser intolerante, también puedes utilizar leche deslactosada.', '5\nCuando empiece a hervir el locro ecuatoriano de papa, baja el fuego a medio y cocina por unos 20 minutos con la olla medio tapada. Pisa la papa para lograr una textura uniforme y sirve tu locro con las papas doradas. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']","Valoración: 3,8 (6 votos)","['2 papas grandes', '400 centímetros cúbicos de agua', '100 centímetros cúbicos de leche', '1 diente de ajo', '1 cebolla grande', '1 cucharadita de aceite', '1 cucharadita de nuez moscada', '1 cucharadita de pimienta', '1 cucharadita de comino']",https://www.recetasgratis.net/receta-de-locro-de-papa-15651.html,2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para vegetarianos', 'Receta sin gluten', 'Receta sin sal']"
Como hacer Cazuela de fideos a la malagueña,,"['1\nPoner el bacalao en remojo 24 horas cambiando el agua o freir los boquerones picar fino por separado el pimiento, la cebolla y el tomate sin piel raspar y trocear las zanahorias; pelar y trocear las patatas desgranar los guisantes y las habas quitar las hojas duras de las alcachofas, cortar la mitad superior y trocear en cuartos calentar el aceite en una cazuela y sofreir el pimiento, tomate y cebolla añadir el resto de las verduras, los boquerones o el bacalao troceado y las almejas y dar una vuelta a todo agregar agua, un poco de sal y un pellizco de azafrán tapar y cocer durante 30 minutos poner luego los fideos y cocer 10 minutos más.']","Valoración: 3,9 (17 votos)","['1/4 kg de boquerones o bacalao salado', '1/4 kg de almejas', '1/4 kg de fideos medianos', '1 tomate', '1 cebolla', '1 pimiento morrón', '125 gramos de habas frescas', '125 gramos de guisantes', '2 zanahorias', '3 alcachofas', '1 patata', 'una tacita y media de aceite de oliva', '1 litro de agua', 'azafrán', 'sal']",https://www.recetasgratis.net/receta-de-como-hacer-cazuela-de-fideos-a-la-malaguena-15613.html,,,,,,
Potaje de alubias blancas,,"['1\nEn visperas se echan a remojo las alubias.', '2\nA continuación en un olla se incorporan las alubias las carnes,chorizos, morcillas,las verduras,el pimentón dulce y un poco de sal.', '3\nSe tapa y se deja hervir aproximadamente 1 hora si es olla express hasta que la alubia esta tierna.', '4\nCuando este todo tierno se separan las verduras y se trituran en la tourmix para incorporlas después. También se separan las carnes, los chorizos,morcilla...etc en una fuente.', '5\nA continuación se añade el arroz y se deja cocer hasta que este tierno.', '6\nSe sirve caliente el guiso de primer plato y las carnes de segundo plato que es lo que llamamos la pringá Si no os apetece no incorporeies el arroz, pero a mi me gusta mas asi.']",,"['1/2 kilo de alubias blancas', '1 tomate', '2 pimietos', '1 zanahoria', '1 trozo de tocino de papada', '2 chorizos', '2 morcillas serranas', '1 trozo de costilla fresca de cerdo', '1 trozo de carne de cerdo sin hueso', '1 taza pequeña de arroz por persona']",https://www.recetasgratis.net/receta-de-potaje-de-alubias-blancas-14727.html,,,,,,
guiso de zapallos italianos,,"['1\nLavar los zapallos y ponerlos a cocer enteros con piel por 10 min, dejar enfriar luego partirlos y separar el interior de la cascara, el interior ponerlo en una cacerola y agregar pan remojado, queso, huevos, sal y pimienta una vez que tome consistencia apagar y servir con arroz o papas doradas.']","Valoración: 3,5 (34 votos)","['7 zapallos italianos', '3 huevos', '300 gr de queso gauda', 'sal', 'pimienta', '2 panes remojados en leche']",https://www.recetasgratis.net/receta-de-guiso-de-zapallos-italianos-14617.html,,,,,,
