title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Lentejas estofadas con chorizo,"Esta vez con RecetasGratis preparamos un guiso muy tradicional: unas lentejas estofadas con chorizo, un rico plato de cuchara que no puede faltar en nuestras mesas sobre todo en invierno, ya que es muy contundente y va genial para pasar bien el frío. Este plato de lentejas de la abuela rápido y sencillo se puede preparar con antelación de un día para otro y aún estarán más buena. Cómo veis, estas lentejas estofadas fáciles son muy completas y nutritivas para toda la familia porque llevan verduras, costillas, chorizo y legumbres. ¡Seguro que os van a gustar!","['1\nPreparamos todos los ingredientes. Lavamos las lentejas bajo el chorro del grifo con agua fría.', '2\nPonemos una cazuela al fuego con un buen chorro de aceite, añadimos las costillas en trozos pequeños y las doramos a fuego fuerte.', '3\nUna vez doradas las costillas bajamos el fuego a fuego medio. Cortamos el chorizo en rodajas y lo añadimos junto a las costillas. Lo rehogamos.', '4\nAñadimos a la cazuela el resto de ingredientes de las lentejas de la abuela: el pimiento en un trozo, la cebolla pelada y entera, la hoja de laurel y el tomate frito, y removemos.', '5\nAñadimos agua y las lentejas a la olla y empezamos a cocinar las legumbres.', '6\nAñadimos un poco de sal y media cucharadita de comino (opcional) a la lentejas estofadas.', '7\nDejamos cocinar hasta que las lentejas estofadas fáciles estén en su punto. Cuando estén las probaremos de sal y rectificamos.', '8\nSi os gustan más espesas y queréis aprovechar las verduras, triturarlas y echarlas a las lentejas estofadas con chorizo, que les darán mucho sabor. ¡Y listas para comer!En mi blog Cocinando con Montse descubrirás muchísimas más recetas tradicionales aparte de estas sabrosas lentejas con chorizo como las que cocinaban las abuelas de antaño como por ejemplo los chorizos al vino blanco o el conejo al ajillo con vinagre.']",Valoración: 4 (6 votos),4 comensales,1h 30m,,Dificultad baja,,[],"['400 gramos de lentejas', '250 gramos de costilla de cerdo', '1 chorizo', '1 cebolla', '1 trozo de pimiento verde', '4 cucharadas soperas de tomate frito', '1 hoja de laurel', '1 cucharadita de comino en polvo (opcional)', '1 pizca de sal', '1 chorro de aceite']",https://www.recetasgratis.net/receta-de-lentejas-estofadas-con-chorizo-71176.html
De babi panggang,"Babi panggang es una salsa a base de tomate que tradicionalmente se usaba para un plato de cerdo asado de la cocina-fusión holandésa-indonesia-china. Se trata de una salsa parecida a la salsa agridulce, muy típica de la gastronomía asiática, cuyos ingredientes principales son puré de tomate, jengibre, azúcar, vinagre, salsa de soja, cebolla y ajo. La salsa queda bien con todas las carnes, pero en esta receta, en vez de utilizar la carne de cerdo, vamos a usar una alternativa vegetal que es el tempeh, un producto elaborado a base de soja fermentada y muy rico en proteínas de origen vegetal. Anímate y prueba el tempeh en salsa que comparto en RecetasGratis.","['1\nPica la cebolla y el ajo muy finito. Calienta una olla con aceite y sofríe la cebolla y el ajo hasta que se ablanden.', '2\nAñade el tomate triturado y cocina durante 2 minutos removiendo de vez en cuando.', '3\nIncorpora el concentrado de tomate, el jengibre fresco rallado, el zumo de limón, el azúcar, vinagre, el agua y la sal, remueve y cocina a fuego medio durante 12-15 minutos removiendo para que no se queme.', '4\nA continuación, incorpora la fécula de maíz, mezcla bien y cocina otros 2-3 minutos hasta que la salsa babi panggang espese.', '5\nCorta el tempeh en rodajas y cocínalas en la sartén por ambos lados hasta que se doren. Incorpora las rodajas de tempeh en la olla con la salsa y remueve para que se impregnen bien.', '6\nSirve el tempeh en salsa babi panggang con arroz basmati y/o unas verduras al horno por ejemplo.Conoce muchas más recetas con tempeh en mi blog Vegspiration y dime cuál es la que te has gustado más.']",Valoración: 4 (1 voto),4 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['250 gramos de tempeh de soja', '1 taza de tomate triturado', '1 cucharadita de jengibre fresco rallado', '½ cebolla', '2 dientes de ajo', '2 cucharadas soperas de zumo de limón', '2 cucharadas soperas de aceite vegetal', '1 cucharada sopera de tomate concentrado', '2 cucharadas soperas de vinagre de arroz', '2 cucharadas soperas de azúcar moreno', '1 pizca de sal', '1 cucharada sopera de fécula de maíz', '½ taza de agua (120 mililitros)']",https://www.recetasgratis.net/receta-de-tempeh-en-salsa-70741.html
9 recetas vegetarianas con garbanzos,"El garbanzo es una legumbre muy popular en el medio oriente que es rica en fibras, minerales, proteínas y vitaminas, haciéndola excelente para incorporarla a nuestra dieta. Además, se trata de un alimento económico y sencillo de cocinar, que podemos encontrar ya cocido en botes o en forma de harina para sacar todo su potencial. Por este motivo, en RecetasGratis te enseñaremos 10 recetas vegetarianas fáciles con garbanzos, variadas, deliciosas, nutritivas y perfectas para todos los gustos.",[],,,,,,,,,https://www.recetasgratis.net/articulo-9-recetas-vegetarianas-con-garbanzos-70490.html
Guiso vegano de alubias,"Este guiso de alubias blancas con verduras y trigo sarraceno es un guiso ""one pot"", una técnica que se ha puesto de moda debido a su rapidez. Se trata de un estofado que se prepara en una cazuela u olla, como indica su nombre en inglés, sin necesidad de utilizar ningún otro utensilio, ¡así de fácil! Este en particular que traigo a RecetasGratis, es un guiso vegano de alubias con alto contenido en proteínas de origen vegetal provenientes de las judías, el trigo sarraceno y el kale, perfecto para llevar una dieta saludable y para los deportistas. Además posee un sabor ahumado con toque de limón que te va a encantar.","['1\nEl primer paso es opcional: corta los tomates en trozos medianos y hornéalos durante 20 minutos a 180 grados. Los tomates asados darán un toque de sabor diferente, pero puedes saltarte este paso si no dispones de mucho tiempo.', '2\nCorta la zanahoria, el puerro, el apio y la mazorca de maíz en rodajas, el ajo en láminas y el kale en trozos medianos.', '3\nCalienta el aceite en una olla y pocha el puerro, el ajo, el apio y la zanahoria durante 5 minutos removiendo de vez en cuando hasta que se ablanden. Añade el pimentón y remueve.', '4\nIncorpora a la olla las judías blancas, el trigo sarraceno, los tomates, el maíz, el tomillo y el caldo vegetal.', '5\nLleva el caldo a ebullición, baja el fuego y cocina el guiso de alubias blancas con verduras durante 30 minutos removiendo de vez en cuando y comprobando si necesita más agua o caldo a tu gusto. 5 minutos antes de terminar la cocción añade las hojas de kale.', '6\nAntes de servir añade a la cazuela el zumo de medio limón y el perejil. Sirve el guiso vegano de alubias en cuencos acompañado de pan o tostadas.Prueba otra receta de alubias blancas de bote con verduras muy buena también si te gustan este tipo de preparaciones o visita mi blog Vegspiration para encontrar muchas ideas más.']",Valoración: 5 (2 votos),4 comensales,45m,,Dificultad baja,,['Recomendada para veganos'],"['1 taza de alubias o judías blancas de bote cocidas', '½ taza de trigo sarraceno o alforfón', '½ manojo de kale', '1 zanahoria', '2 ramas de apio', '4 tomates', '1 mazorca de maíz joven', '2 cucharadas soperas de aceite de oliva', '1 puerro', '3 dientes de ajo', '2 cucharaditas de pimentón ahumado', '1½ litros de caldo vegetal o agua', '½ limón', '½ cucharadita de tomillo', '2 cucharadas soperas de perejil fresco']",https://www.recetasgratis.net/receta-de-guiso-vegano-de-alubias-70557.html
¡Glaseado con tamarindo!,"El tempeh es un preparado a base de soja fermentada. Es una fuente de proteína vegetal saludable y sin colesterol, por tanto, es utilizado en la cocina vegana y vegetariana para sustituir la carne y la proteína animal. El sabor y la textura del tempeh no le agrada a todos, pero esta traigo a RecetasGratis una receta de tempeh agridulce que te encantará. Se trata de un tempeh glaseado con tamarindo (una fruta ácida), con especias como canela y laurel. El resultado es un tempeh suave y jugoso con un delicioso sabor agridulce. Puedes servir el tempeh con arroz, pasta, fideos chinos y otros platos asiáticos.","['1\nCorta el tempeh en trozos medianos.', '2\nCorta las chalotas y el ajo en dados pequeños.', '3\nCalienta una sartén o wok y añade el agua, la margarina, la cebolla, el ajo, las hojas de laurel, la rama de canela y la salsa de soja. Cocina a fuego medio hasta que la cebolla se ablande.', '4\nIncorpora a la sartén la sal, el azúcar y la pasta de tamarindo, remueve y comprueba el punto de sal y de azúcar. Cocina 2 minutos y para que se integren los ingredientes del tempeh agridulce.', '5\nEn este momento el agua debe estar hirviendo. Si no, espera un poco más hasta que rompa a hervir. Pon dentro los trozos de tempeh e hiérvelos durante 25-30 minutos con la sartén tapada y dándoles la vuelta cada 10 minutos.', '6\nEl tempeh agridulce está listo para comer, pero también puedes marcarlo a la plancha antes de servir. Prueba también el sandwich de tempeh o los pinchos morunos veganos de tempeh y disfruta de muchas recetas más con este particular ingrediente visitando mi blog Vegspiration.']",Valoración: 3 (1 voto),2 comensales,45m,Plato principal,Dificultad baja,,['Recetas chinas'],"['300 gramos de tempeh', '3 cucharadas soperas de pasta de tamarindo', '2 cucharadas soperas de salsa de soja', '3 cucharadas soperas de azúcar moreno', '2 chalotas', '6 dientes de ajo', '1 cucharada sopera de margarina', '150 mililitros de agua', '1 rama de canela', '2 hojas de laurel']",https://www.recetasgratis.net/receta-de-tempeh-agridulce-70097.html
Guiso de lentejas vegetariano,"Misir wot también conocido como yesmir wot o misr wat es un guiso de lentejas vegetariano tradicional de la cocina etíope de lentejas con tomate, cebolla y una aromática mezcla de especias típicas llamada berbere. Misir wot es sencillo de preparar, es nutritivo, saludable, saciante y delicioso. Te va a encantar esta riquísima receta para cocinar lentejas vegetarianas con especias que traigo a RecetasGratis. Además, si no encuentran la mezcla de especias berbere en los supermercados a continuación te enseño cómo hacerla.","['1\nPara preparar la mezcla de especias berbere calienta una sartén e introduce las semillas de fenogreco, cilantro, cardamomo, clavo y pimienta negra. Tuéstalas hasta que suelten el aroma durante 2-3 minutos.', '2\nAñade la canela y el jengibre en polvo, remueve y tritúralas en la batidora o molinillo hasta que se convierta en polvo.', '3\nPon en remojo las lentejas durante 2 horas antes de la preparación. Escurre y reserva.', '4\nCalienta el aceite en una olla y sofríe la cebolla picada durante varios minutos. A continuación incorpora el ajo picado, el jengibre fresco, el comino, el pimentón y la mezcla de especias que hemos preparado. Remueve y sofríe 2 minutos más sin dejar de remover.', '5\nAñade las lentejas y el tomate triturado y cocina varios minutos más a la vez añadiendo el caldo vegetal  poco a poco y removiendo. Comprueba el punto de sal y pimienta y lleva el caldo a ebullición. Reduce el fuego a medio y cocina las lentejas vegetarianas con especias hasta que el líquido se reduzca casi por completo.', '6\nSirve el guiso de lentejas vegetarianas estilo etíope (o misir wot, yesmir wot o misr wat) con un poco de cilantro fresco por encima acompañadas de otros exquisitos platos de la gastronomía etíope que puedes encontrar en mi perfil de RecetasGratis y en mi blog Vegspiration.']",Valoración: 5 (1 voto),4 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['2 tazas de lentejas (mejor rojas)', '2 cebollas', '3 dientes de ajo', '1 cucharadita de jengibre fresco rallado', '1 cucharadita de comino', '2 tazas de tomate triturado', '2 tazas de caldo vegetal', '1 chorro de aceite', '2 cucharaditas de pimentón ahumado', '1 cucharadita de sal', '1 chile seco pequeño', '1 pizca de semillas de fenogreco', '1 pizca de semillas de cilantro', '1 pizca de semillas de cardamomo', '½ cucharadita de canela', '1 cucharadita de jengibre en polvo', '2 clavos', '3 granos de pimienta negra']",https://www.recetasgratis.net/receta-de-guiso-de-lentejas-vegetariano-70046.html
¡Espectacularmente fáciles!,"Hay muchas y variadas recetas con legumbres pero sin duda estas lentejas al curry veganas son una de las mejores. Gracias al paso a paso que te enseñamos en RecetasGratis podrás preparar este delicioso plato de lentejas vegetarianas al curry sin ningún problema. Y además, puedes añadir las verduras de tu preferencia. ¡Verás lo fácil y lo rico que está!","['1\nLava y escurre las lentejas y luego ponlas en una cacerola con el agua y la hoja de laurel.', '2\nDeja que las lentejas se cocinen a fuego medio hasta que estén blandas, pero sin sobrepasar los 30 minutos. Luego apaga el fuego y reserva tal y como están.', '3\nEn otro recipiente, prepara el sofrito de las lentejas vegetarianas al curry: saltea la cebolla en una olla con el aceite de oliva. Agrega los tomates picados y rehoga toda la verdura hasta que empiece a dorarse.', '4\nAñade entonces las lentejas reservadas con el agua de cocción y todo.', '5\nPor último, agrega el curry en polvo y sal al gusto.', '6\nCon una cuchara de madera o cucharón, machaca un poco de lentejas con verduras al curry para ayudar a que el caldo espese. Deja que el estofado hierva un rato removiendo de vez en cuando. Cuando se forme como una salsa espesa, será el momento correcto para parar la cocción.', '7\nSirve el curry de lentejas vegano con arroz jazmín o arroz basmati por ejemplo. ¡Espero que te guste!']",Valoración: 4 (2 votos),4 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin gluten']","['1 taza de lentejas', '2½ tazas de agua (600 mililitros)', '1 hoja de laurel', '1 tomate sin semillas picado', '½ cebolla picada', '2 cucharadas soperas de aceite de oliva', '1 cucharada postre de curry en polvo', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-lentejas-al-curry-veganas-70000.html
¡Lista en media hora!,"La fainá con harina de garbanzos es una elaboración rica y sencilla que se prepara con muy pocos ingredientes: harina de garbanzos, aceite, agua y sal. Es un platillo procedente de Génova, Italia que los inmigrantes genoveses introdujeron en la gastronomía uruguaya y argentina en el siglo XX. En la ciudad de Buenos Aires la fainá se comercializa en muchas pizzerías tradicionales y es muy común comerla acompañada de una porción de pizza. Pero esta vez os traigo a RecetasGratis mi receta de fainá vegana para que la disfrutéis junto conmigo.","['1\nCubre una bandeja de horno con papel de horno y engrásala con un poco de aceite de oliva.', '2\nEn un bol mezcla la harina de garbanzos con la sal y la pimienta. Añade poco a poco el agua removiendo hasta que todos los ingredientes se integren bien.', '3\nPrecalienta el horno a 180-200 grados.', '4\nVierte la masa en la bandeja engrasada. Corta la cebolla en juliana y colócala encima. Hornea la fainá vegana hasta que se dore y se seque.', '5\nCorta la fainá vegana en porciones y sírvela como entrante o con pizza casera si lo prefieres. En mi blog Vegpsiration encontrarás muchas opciones para preparas tus propias pizzas veganas si te interesan.']",Valoración: 5 (2 votos),2 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Receta sin gluten', 'Recetas al horno', 'Recetas italianas']","['200 gramos de harina de garbanzos', '600 mililitros de agua (2½ tazas)', '1 cucharadita de sal', '1 pizca de pimienta', '1 chorro de aceite de oliva', '1 cebolla']",https://www.recetasgratis.net/receta-de-faina-vegana-69161.html
¡Vegano y rico en proteínas!,"Si alguna vez has oído hablar de que el tofu no tiene sabor o que comer tofu es aburrido esta receta de tofu en salsa teriyaki te va a convencer de lo contrario. La salsa teriyaki es un adobo muy sabroso para todo tipo de platos. Es una salsa dulce que se prepara a base de pasta de miso, jengibre, ajo y edulcorante, por ejemplo, sirope de agave. Esta receta de tofu en salsa es rica en proteínas de origen vegetal y se puede acompañar con arroz blanco o verduras por ejemplo.","['1\nParte el tofu en dados medianos y ponlo a hervir en un cazo con agua y una pizca de sal durante 20 minutos.\nTruco: También puedes hacer el tofu frito en salsa teriyaki en lugar de hervido si lo prefieres.', '2\nPara preparar la salsa teriyaki vegana vas a necesitar 3 cucharadas o más de zumo de manzana y 1 cucharada de jugo de jengibre. Lo que he hecho es licuar en una exprimidora una manzana y un trozo de jengibre juntos. También los puedes rallar en un rallador muy fino y exprimir con la ayuda de un paño de cocina.', '3\nMientras pon en otro cazo 200 ml de agua, la pasta de miso, el jugo de manzana y jengibre, el aceite de sésamo, un diente de ajo picado muy fino y el sirope de agave.', '4\nCalienta la mezcla y cuando llegue a ebullición, disuelve la maicena o fécula de maíz en una poca de agua y añádela. Remueve y sigue cocinando la salsa sin dejar de remover hasta que espese.', '5\nSirve el tofu en salsa teriyaki en unos cuencos o platos acompañado de arroz blanco o verdura.¿No sabes qué hacer de postre para terminar tu comida después de este plato? Pues visita mi blog Vegspiration y coge todas las ideas que quieras.']",Valoración: 3 (1 voto),2 comensales,45m,Plato principal,Dificultad baja,,['Recomendada para veganos'],"['250 gramos de tofu', '200 mililitros de agua', '2 cucharadas soperas de pasta de miso', '1 manzana o 3 cucharadas de zumo de manzana', '1 cucharada sopera de aceite de sésamo', '1 trozo de raíz mediana de jengibre o 1 cucharada de jugo de jengibre', '1 diente de ajo', '2 cucharadas soperas de sirope de agave', '1 cucharada sopera de fécula de maíz o maicena', '1 cucharadita de sal']",https://www.recetasgratis.net/receta-de-tofu-en-salsa-teriyaki-69106.html
Nuggets veganos de soja texturizada,"La carne de soja, también conocida como soja texturizada, es una proteína de uso muy común en la cocina vegetariana y vegana debido a su suave sabor, sus propiedades nutricionales y a que se puede utilizar como normalmente se usa la carne. Dentro de las múltiples opciones para preparar con soja texturizada, se encuentra la que te mostraremos en RecetasGratis, se trata de cómo hacer nuggets de soja fácil y en pocos pasos. Lo mejor de estos nuggets veganos es que puedes sazonarlos totalmente a tu antojo, así que no lo dudes más y anímate a probar esta nutritiva y deliciosa receta.","['1\nPicar el ajo finamente será el primer paso para preparar los nuggets veganos de soja texturizada.', '2\nA continuación, hidrata y remoja la soja texturizada en agua recién hervida y sin aliño.', '3\nPasados un par de minutos, escurre y exprime la soja texturizada. Asegúrate de estrujarla bien para quitar el exceso de agua.', '4\nEn un bol, mezcla la soja texturizada con los ingredientes para sazonar, excepto el agua. De esta forma, los nuggets veganos quedarán mucho más sabrosos.', '5\nAgrega poco a poco agua fría a la mezcla, pero solo la cantidad necesaria para que espese la masa sin que quede totalmente sólida. Una vez mezclado todo, deja reposar la masa por 30 minutos y forma los nuggets de soja texturizada.', '6\nPasa los nuggets veganos por la leche, la cual puede ser leche de coco o alguna otra leche vegetal.', '7\nReboza los nuggets con pan molido, apriétalos un poco y repite el procedimiento una vez más. Así, los nuggets veganos de soja quedarán muy crujientes.', '8\nColoca los nuggets en una bandeja para hornear, rocía con aceite y hornea durante 30 minutos a 180 ºC o hasta que estén bien dorados. Recuerda que el tiempo de cocción dependerá de la potencia y marca de tu horno. Si lo prefieres, puedes freír los nuggets en lugar de hornearlos, tal y como se indica en la receta de nuggets veganos de tofu.\nTruco: Voltea los nuggets a mitad de cocción para que se doren parejo por ambos lados.', '9\nDisfruta los nuggets veganos de soja texturizada recién salidos del horno, o bien, déjalos enfriar a temperatura ambiente y guárdalos en una bolsa plástica con sellado hermético. Estos pueden durar hasta 2 semanas en refrigeración, lo que los convierte en el bocadillo ideal para la escuela o el trabajo. Puedes acompañarlos con salsa barbacoa o la que más te guste. Esperamos que disfrutes de esta receta vegana con soja texturizada, y si tienes alguna sugerencia, opinión o piensas que podríamos mejorarla, por favor no dudes en escribir tus comentarios.']","Valoración: 4,5 (2 votos)",4 comensales,1h 30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Recetas al horno']","['2 tazas de carne de soja texturizada', '3 tazas de pan molido', '½ taza de leche vegetal', '½ taza de harina (70 gramos)', '½ taza de agua (120 mililitros)', '4 dientes de ajo', '1 cucharada sopera de azúcar', '1 cucharadita de pimienta molida', '1 cucharada sopera de sal', '1 cucharadita de ajo en polvo', '1 pizca de pimienta de cayena', '½ cucharadita de mostaza', '3 cucharadas soperas de cátsup o kétchup', '1 cucharadita de salsa de soja', '1 cucharadita de salsa inglesa']",https://www.recetasgratis.net/receta-de-nuggets-veganos-de-soja-texturizada-68292.html
