title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Mariscada al ajillo,"Si no sabes cómo hacer una mariscada a la plancha y te encanta el ajo, no te puedes perder esta receta de mariscada al ajillo que lo reúne todo en uno porque está sabrosísima y es muy sencilla de hacer.Además, en este caso en RecetasGratis hemos utilizado unos cuantos mariscos que a nosotros nos encantan pero para hacer tu receta de mariscada española puedes utilizar los que tú prefieras porque se puede hacer con cualquiera. ¡Pruébala y cuéntanos qué te ha parecido!","['1\nLo primero que hay que hacer para preparar esta mariscada al ajillo es alistar todos los ingredientes que vamos a utilizar limpiando bien los mariscos, cortando el calamar en tiras, picando la cebolla y pelando los ajos.', '2\nSeguidamente, salpimentar todos los mariscos. Pelar los langostinos, limpiar, y cocinar en un sartén con aceite de oliva por ambos lados durante 1 minuto. Retirar y reservar.\nTruco: No hace falta cocinar más estos mariscos ya que sino se pasarán de cocción.', '3\nEn el mismo sartén, cocinar los camarones o gambas durante 1 minuto, y después retirar y reservar.\nTruco: No hace falta cocinar más estos mariscos ya que sino se pasarán de cocción.', '4\nA continuación, sellar los mejillones durante 30 segundos. Luego también retirar y reservar.', '5\nCocinar los pulpos baby en agua hirviendo, y después llevarlos a la misma sartén donde cocinamos los otros ingredientes de la receta de mariscada española y dorarlos durante 1 minuto.', '6\nFinalmente, cocinar los aros de calamar durante 1 minuto, y también retirar y reservar.', '7\nPosteriormente, añadir la cebolla y el ajo cortados finamente a la misma sartén con un poco de sal y aceite de oliva y cocinar durante 2 minutos a fuego fuerte hasta que estén dorados.', '8\nA continuación, agregar el vaso de vino, mezclar bien para retirar todo los jugos que estén pegados en la sartén y cocinar durante 30 segundos hasta que el alcohol se evapore.', '9\nDespués, agregar de nuevo los mariscos y mezclar todo muy bien. Rectificar de sabor con sal y pimienta.', '10\nServir la mariscada al ajillo y espolvorear con perejil finamente picado. Puedes servir esta delicia como plato principal acompañando con unas alcachofas con patatas salteadas o una verduras asadas con aliño por ejemplo.']","Valoración: 4,7 (27 votos)",1 comensal,15m,Plato principal,Dificultad media,,['Recetas españolas'],"['4 unidades de Mejillones precocidos', '50 gramos de Camarones o gambas crudos', '2 unidades de Pulpo baby', '1 unidad de Tubo de calamar', '3 unidades de Langostino', '1 unidad de Cebolla roja pequeña', '5 dientes de Ajo', '5 gramos de Perejil', '1 vaso de Vino blanco', '1 chorro de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-mariscada-al-ajillo-51905.html
Colas de bogavante al ajo,,"['1\nAlistar todos los ingredientes', '2\nPicar el ajo finamente,para facilidad se puede rallar.', '3\nRetirar la carne del bogavante de las colas, reservar las colas.', '4\nEn un sarten caliente derretir la mantequilla y agregar el ajo picado, dorar.', '5\nColocar el bogavante y dorar, agregar sal y pimienta.', '6\nAgregar un chorro de aceite de oliva y un chorro de vino blanco, agregar el cilantro picado finamente.', '7\nDorar las colas un poco , colocar el bogavante dentro de las colas para servir, degustar.']",Valoración: 5 (1 voto),,,,,,,"['58 dientes de ajo', '30 gr de cilantro', 'aceite de oliva', '100 gr mantequilla', '2 colas de bogavante', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-colas-de-bogavante-al-ajo-51895.html
Gambones en salsa de ostras,,"['1\nA listar todos los ingredientes', '2\nRetirar las cascaras de los gambones, retirar con un cuchillo la parte superior donde están las impurezas, lavar y reservar.', '3\nLas cascaras y las colas las apretamos con la mano muy duro para extraer todo su liquido, lo reservamos.', '4\nEn un sartén salteamos los gambones hasta que tengan un color naranja.', '5\nSalteamos en ajo, cuando este dorado agregamos la salsa soja.', '6\nLuego agregamos el liquido de las cascaras de los gambones y dejamos cocinar por 1 minuto, agregamos la salsa de ostras y dejamos cocinar por 3 minutos mas, hasta que la salsa reduzca.', '7\nAgregamos los gambones, rectificamos sal y pimienta y dejamos que se cocinen durante 1 minuto.', '8\nServir y degustar.']","Valoración: 4,5 (4 votos)",,,,,,,"['6 Gambones', '10 gr de salsa soja', '30 gr salsa de ostras', 'pimienta', 'aceite de oliva', 'ajo']",https://www.recetasgratis.net/receta-de-gambones-en-salsa-de-ostras-51814.html
Cazuela de Mariscos con coco,,"['1\nPartir en julianas la cebolla, y en trozos grandes el pimentón y la cebolla larga. Luego llevar a sofreír con el aceite de oliva, hasta que se marchiten que no se vaya a quemar, agregar sal al gusto. Retirar del fuego', '2\nSi tienes coco licuar con agua y ese primer leche reservar, ( se cuela y se separa la pulpa del coco para luego volver a licuar y sacar mas leche de coco una o dos veces dependiendo como veas el color del agua que sale, en cada licuada una y luego dos vasos de agua.', '3\nEn olla grande donde vas hacer la cazuela agregar los langostinos con el agua de coco a fuego medio; y le agregas los cubos de caldo de pescado. A parte licuas el sofrito con un poco de agua de coco o agua que has agregado a los mixtos. cuando hayas licuado agregar todo esto a la olla donde se esta preparando la cazuela,probar sal y agregar tomillo y laurel al gusto. Estos se sacan al final cuando se sirve.', '4\nDejar que los ingredientes se conserven por unos minutos miramos su espesor, si nos llegara a faltar espesor sacar un poco de caldo y disolver con una o dos cucharaditas de féculas de maíz y agregar y seguir disolviendo hasta que veas el punto exacto y apagar.', '5\nSi tienes brandy colocar en el fondo del plato una cucharadita antes de servir. Acompañar con arroz blanco y patacones, ensalada de cebolla, tomate y aguacate con vinagre y un poco de cilantro. Servir bien caliente.']","Valoración: 4,6 (5 votos)",6 comensales,45m,,Dificultad baja,,[],"['2 bandejas de mixtura de mariscos', '1 coco o en su defecto (agua de coco enlatada 1)', '2 pimentones grandes y bien rojos', '1 cebolla cabezona blanca grande', '1 tallo de cebolla larga', 'Tomillo y laurel al gusto', '1 o 2 sobre o cubo de caldo de pescado', 'Aceite de oliva']",https://www.recetasgratis.net/receta-de-cazuela-de-mariscos-con-coco-51635.html
Langosta con queso filadelfia,Imagen: Margarita Valenzuela,"['1\nSe corta en rebanadas la langosta y se coloca en un sartén con la margarina, el ajo, consomé y la salsa inglesa. Se sofríe bien hasta dorar y se le agrega el queso hasta derretirlo y espesar...']",Valoración: 4 (5 votos),2 comensales,15m,,Dificultad baja,,[],"['1 cola de langosta grande limpia', '250 gramos de queso filadelfia', 'Dos dientes grandes de ajo machacados', 'Consomé de camarón o mariscos', 'Tres cucharadas de margarina', 'Un chorrito de salsa inglesa']",https://www.recetasgratis.net/receta-de-langosta-con-queso-filadelfia-51627.html
Cóctel de gambas con aguacate y gajos de naranja,,"['1\nAlistar todos los ingredientes.', '2\nPelar las gambas, limpiar, salpimentar y saltear en aceite de oliva 30 segundos por cada lado, reservar y dejar enfriar.', '3\nMezclar la cebolla cortada finamente con las gambas.', '4\nPelar la naranja y con la mitad de esta sacar gajos, reservar la otra mitad.', '5\nMezclar la mayonesa, la salsa de tomate y la guindilla agregar a las gambas junto con el zumo de media naranja, el zumo de limón sal y pimienta, mezclar.', '6\nServir el cóctel acompañar con trozos pequeños de aguacate y los gajos de naranja.']",,,,,Dificultad media,,[],"['7 unidad gambas', '1 unidad limón', '1 unidad naranja', '1/2 unidad aguacate', '1/2 unidad cebolla roja', '3 gr guindilla en polvo', '50 gr salsa de tomate (ketchup)', '30 gr mayonesa', 'aceite', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-coctel-de-gambas-con-aguacate-y-gajos-de-naranja-51566.html
Camarones con crema de leche y curry,"Los camarones con crema de leche y curry que presentamos a continuación son un plato perfecto para esos días en los que no disponemos de mucho tiempo para cocinar, pero nos apetece disfrutar de un plato sabroso. Esto es así porque en apenas 30 minutos tendremos listos unos camarones en salsa muy aromáticos, ¿te animas?El camarón es un tipo de marisco con un elevado aporte nutricional, y es que es una fuente natural de selenio, calcio y fósforo, así como vitamina D y ácidos grasos omega 3. Por ello, nos encanta incorporarlo en nuestra dieta y compartir recetas fáciles con este producto. Quédate con nosotros y descubre en RecetasGratis cómo hacer camarones con crema de leche y curry.Autora de la fotografía: Mery Quiñones","['1\nCondimenta los camarones pelados con el comino, la mostaza sal y pimienta al gusto. Si lo deseas, puedes añadir más cantidad de comino y determinar la de mostaza según tus preferencias. Déjalos unos cinco minutos para que absorban los sabores y aromas.', '2\nDespués, prepara un sofrito con el tomate picado y la cebolla cortada en juliana. Añade sal al gusto y el cubo Maggi, y deja que se cocine durante 20 minutos a fuego lento.', '3\nPara seguir con la preparación de los camarones con crema de leche y curry, incorpora ahora el marisco condimentado y remueve bien. Aproximadamente 10 minutos después, añade el curry y vuelve a mezclar.', '4\nAhora, incorpora la crema de leche y cocina todo junto hasta que los camarones en salsa adquieran la textura deseada. Recuerda mantener en todo momento el fuego bajo para evitar que se quemen los alimentos.', '5\nSirve los camarones con crema de leche y curry acompañados de arroz blanco o amarillo y tajadas de plátano maduro fritas. Si te ha gustado la receta, ¡no olvides dejar tu comentario!']","Valoración: 4,8 (6 votos)",8 comensales,30m,Plato principal,Dificultad baja,,[],"['1 kilogramo de Camarones pelados', '400 mililitros de Crema de leche (2 tazas)', '1 Tomate', '1 Cebolla perla', '30 gramos de Curry', '15 gramos de Comino', 'Mostaza al gusto', '1 pizca de Sal y pimienta', '1 cubo de Maggi']",https://www.recetasgratis.net/receta-de-camarones-con-crema-de-leche-y-curry-51564.html
Camarones en salsa de piña,,"['1\nSe corta la piña en forma transversal, aproximadamente a 3 cm de la corona.', '2\nCon la ayuda de un cuchillo de cocina y una cuchara, se hace un hoyo en esa parte superior de la piña, que tenga de profundo hasta la mitad de la piña.', '3\nCon la cuchara se extrae la pulpa de la piña de manera que el hoyo quede libre.', '4\nSe vacía la salsa de tomate y la mayonesa en el hoyo de la piña.', '5\nSe tapa con la corona que se había cortado.', '6\nSe refrigera dos horas como mínimo (si es posible toda la noche)', '7\nA la hora que se va a consumir, se fríen los camarones en mantequilla.', '8\nSe saca la piña y con una cuchara se revuelve bien el contenido de la piña y se le pone sal al gusto.', '9\nEn una fuente plana se coloca la piña en el centro y los camarones alrededor.', '10\nCon la ayuda de pinchos, se introduce cada camarón en la salsa que se formó, y a degustar.', '11\nCada uno elige la bebida que acompañe.']",Valoración: 5 (1 voto),,,,,,,"['1 kilo de camarones grandes', '1 piña grande y jugosa.', '1/2 taza de salsa de tomate.', '1/2 taza de mayonesa.', 'Sal al gusto.']",https://www.recetasgratis.net/receta-de-camarones-en-salsa-de-pina-51401.html
Almejas al ajillo,"En cuanto pruebes estas almejas al ajillo y perejil con vino blanco con vas a poder parar porque están deliciosas tanto como entrante o como platillo principal y además son muy fáciles de hacer.Si no sabes cómo hacer almejas en salsa y te encanta el sabor del ajo, te recomendamos desde RecetasGratis este paso a paso para elaborar unas almejas al ajillo para chuparse los dedos. ¿Te las vas a perder?","['1\nComenzaremos a preparar estas almejas al ajillo lavándolas varias veces con mucha agua para sacarles la totalidad de la arena.', '2\nA continuación, las ponemos en una olla con un pelín de agua y una hoja de laurel para que se abran las almejas al vapor en cuanto empiece a hervir. Una vez abiertas, separamos las que aún sigan cerradas (porque esas no estarán buenas), colamos el jugo que han soltado de la cocción por un colador fino y lo reservamos para más tarde.', '3\nSeguidamente, colocamos una sartén antiadherente al fuego y derretimos la mantequilla. Luego pelamos y picamos los ajos, los agregamos y empezamos a dorarlos.', '4\nAhora añadimos las almejas al vapor con su concha y todo y removemos bien para integrar todos los sabores. Cuando se estén empezando a secar, añadimos el jugo de cocción para desglasear la sartén y también el vino blanco.', '5\nCocinamos unos minutos más las almejas al ajillo para que se evapore el alcohol y la salsa se espese un pelín, y también espolvoreamos una pizca de sal y pimienta al gusto y removemos bien.', '6\nPor último, picamos el cilantro o el perejil fresco, lo espolvoreamos por encima, removemos bien las almejas al ajillo con vino blanco y las colocamos en la fuente o plato que queramos.Podemos acompañar las almenjas al ajillo con unas patatas al horno con romero o unos tostones de plátano que combinan muy bien.']",,2 comensales,30m,Entrante,Dificultad baja,,[],"['300 gramos de Almejas en su concha frescas (deben estar cerradas)', '1 cucharada sopera de Mantequilla', '2 dientes de Ajo', '1 pizca de Sal', '½ vaso de Vino blanco', '1 pizca de Pimienta negra molida', '2 ramas de Cilantro o perejil fresco', '1 hoja de Perejil']",https://www.recetasgratis.net/receta-de-almejas-al-ajillo-51397.html
Pinchos de camarón y coco,,"['1\nPrealistar los ingredientes.', '2\nEn un bowl adicionar los palos de madera en agua. ( esto ayuda a que los palos no se quemen cuando los introduzcamos en el horno).', '3\nEn un bowl adicionar los camarones, la salsa teriyaki, sal, pimienta, el ajo y el coco rallado.Marinar durante unos diez minutos.', '4\nPoner uno a uno los camarones en los palos de madera para realizar los pinchos.Llevar los pinchos a una refractaria resistete al horno con la salsa en que se marino.', '5\nLlevar aun horno a 160 grados centígrados durante unos 5 minutos aproximadamente.', '6\nServir decorando con un poco de coco rallado encima y un poco de salsa teriyaki.Disfrutar.']","Valoración: 3,8 (5 votos)",,,,,,,"['500 gramos de camarón.', '200 ml de salsa teriyaki.', '1 cucharada de ajo en polvo.', '150 gramos de coco rallado.', 'Mezcla de sal y pimienta.', 'Palos de madera para pinchos.']",https://www.recetasgratis.net/receta-de-pinchos-de-camaron-y-coco-51353.html
