title,intro,order,votes,url,comensales,duración,para,dificultad,coste,types,ingredientes
11 mejores cupcakes de Halloween,"Halloween es la época más terrorífica del año, se abre el portal entre el mundo de los vivos y de los muertos. Nos referimos a la antigua fiesta celta de origen pagano llamada Samhain que significa “final de verano”, inspiración directa de Halloween y producto de los intercambios culturales entre Irlanda y Estados Unidos. Señalamos que esta celebración no se quedó allí, y con el tiempo se ha extendido por el mundo y ahora mucha gente de lugares muy distantes, la disfrutan con la misma ilusión. Pues bien, desde RecetasGratis nos sumamos a esta festividad protagonizada por los niños, pero amada por muchos adultos, pues ese día todos podemos dar rienda suelta a nuestra fantasía y salir de la rutina de diferentes maneras: disfrazándonos, inventando decoraciones ingeniosas, festejando en nuestra casa o reuniéndonos con amistades, viendo maratones de películas de miedo, y sobre todo, comiendo muchas golosinas y postres.Asimismo, en nuestra cocina reunimos los mejores cupcakes de Halloween.",[],,https://www.recetasgratis.net/articulo-cupcakes-de-halloween-75515.html,,,,,,,
10 mejores galletas de Halloween,"Como bien sabes Halloween se caracteriza por los disfraces y por las golosinas. Y la leyenda explica que estas son las tres razones por las que son tan características las golosinas en esta época: se especula que los fabricantes de chuches querían aumentar sus ventas y aprovecharon ese día para lograrlo. El origen antropológico dice que durante el otoño instintivamente consumimos más azúcar, y la creencia celta comentaba que los muertos amenazaban a los vivos si no se le daba lo que pedían. ¿Curioso, verdad? Pues bien, sea cual sea la razón, en RecetasGratis nos gusta mucho el Halloween y las chucherías y los postres relacionados con esta fecha tan creativa, pues se trata de un día inspirado en los niños y en los adultos que en su corazón, aún alberga la infancia.¿Te preguntas cómo hacer galletas de Halloween? No te pierdas este paso a paso fácil y descubre cómo preparar unas galletas caseras terroríficas y deliciosas a la vez. ¡Vamos allá!",[],Valoración: 4 (1 voto),https://www.recetasgratis.net/articulo-galletas-de-halloween-75514.html,,,,,,,
Tarta cementerio para Halloween,"Se acerca Halloween y con esta festividad llegan tradiciones populares. Una de ellas consiste en cocinar tartas, pizzas y dulces con esta temática espeluznante. Es por eso que si te preguntas cómo hacer un cementerio delicioso para Halloween, esta receta es para ti. En RecetasGratis hemos querido proporcionarte una receta terrorífica y a la vez deliciosa de un cementerio de chocolate. Y si quieres utilizarlo en otra época del año, solo deberás crear distintas decoraciones de acuerdo con la ocasión y listo.¿Te preguntas cómo hacer una tarta cementerio para Halloween? No te pierdas esta receta y sigue todos los pasos que te proporcionamos. ¡Diviértete cocinando!","['1\nEmpieza esta receta de tarta de cementerio para Halloween con la preparación de la base. Para ello, mezcla los ingredientes secos tamizados con la ayuda de un colador fino o tamiz.', '2\nLuego, agrega la manteca derretida y el huevo. Mézclalo.', '3\nUna vez integrados, agrega el café caliente y la leche. Bátelo hasta obtener una mezcla homogénea. Será bastante líquida, no te preocupes, eso hará que el bizcocho sea bien húmedo.', '4\nPrepara un molde apto para horno con manteca o aceite en aerosol y harina. Vuelca en él la preparación y cocínala en horno medio a 180 ºC aproximadamente 25-30 minutos o hasta que, al pincharlo, no salgan restos. Desmóldalo y déjalo enfriar.', '5\nMientras, estira la masa para galletitas de vainilla. Corta 3 rectángulos para armar las lápidas, 1 rollito para hacer el gusano y 1 circunferencia para hacer el fantasma. Para que tome la forma fantasmagórica, cubre el centro de un molde savarín con manteca o aceite en aerosol. Cúbrelo con la circunferencia y cocínalo en el horno a 180 ºC junto con las lápidas por 7 minutos o hasta que estén apenas doradas. Déjalas enfriar y decóralas con colorante vegetal negro y un pincel fino.', '6\nPara continuar con la tarta cementerio, derrite el chocolate y mézclalo con dulce de leche.', '7\nCubre la tarta con la mezcla para crear un efecto similar al lodo.', '8\nDiviértete decorando la tarta. Inserta las lápidas y delante de ellas agrega las galletitas de chocolate molidas para crear la sensación de que los muertos están recién enterrados y a punto de salir. Agrega el gusano y el fantasma para terminar de crear una cementerio espeluznante. ¿Qué te ha parecido esta tarta de Halloween? Déjanos en los comentarios tu opinión. ¡Feliz Halloween!']",,https://www.recetasgratis.net/receta-de-tarta-cementerio-para-halloween-75503.html,12 comensales,1h 30m,Merienda,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['1½ huevo', '120 gramos de azúcar', '75 gramos de cacao dulce', '130 gramos de harina 0000', '1 cucharadita de esencia de vainilla', '150 mililitros de leche', '150 mililitros de café', '1 cucharadita de polvo de hornear', '30 gramos de chocolate para cobertura', '3 cucharadas soperas de dulce de leche repostero', '30 gramos de masa de galletitas', 'colorante vegetal', '3 galletitas de chocolate']"
Galletas de chocolate sin harina,"Estas galletas de chocolate sin harina son muy sencillas de hacer, ya que se elaboran con muy pocos ingredientes. Además, son ricas y saludables a la vez. Al final de esta receta encontrarás la información nutricional de las galletas sin harina. Destacamos que puedes consumirlas en el desayuno o en la merienda.¿Quieres saber cómo hacer galletas de chocolate sin harina? No te pierdas esta receta saludable de RecetasGratis y aprende a elaborarlas. ¡Vamos allá!","['1\nPara empezar a preparar esta saludable receta de galletas de chocolate sin harina primero mezcla todos los ingredientes en un recipiente.\nTruco: si no tienes harina de avena, puedes procesar los copos o el salvado hasta obtener una consistencia arenosa.', '2\nCon la ayuda de las manos húmedas para que no se peguen los ingredientes, toma cucharaditas de la preparación y dales forma de bolita.', '3\nLlévalas a una placa para horno con plancha de silicona o aceite en aerosol y aplástalas para darles la forma de galleta. Puedes decorarlas con un tenedor como ves en la imagen o bien hacer una forma floral. Para ello, en lugar de 1 bolita mediana por galleta, haz 8 pelotitas pequeñas de igual tamaño. Llévalas a la asadera y dispón 1 en el medio y las otras 7 rodeándola, como una flor. Aplástalas y asegúrate que queden bien pegadas.Cocina tus galletas de chocolate sin harina en un horno fuerte a 200 ºC aproximadamente 7-10 minutos o hasta que estén doradas y crocantes.', '4\nDéjalas enfriar antes de probarlas. Puedes guardar tus galletas en un recipiente hermético y se conservarán 2 o 3 días. ¡No dejes de probar estas saludables galletas!']",,https://www.recetasgratis.net/receta-de-galletas-de-chocolate-sin-harina-75507.html,2 comensales,30m,Merienda,Dificultad muy baja,,"['Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal', 'Recetas al horno']","['½ taza de harina de avena, copos o salvado', '1 cucharadita de miel', '1 cucharadita de aceite', '¼ cucharadita de edulcorante apto cocción', 'ralladura de media naranja', '¼ cucharadita de esencia de vainilla o naranja', '1 cucharada sopera de cacao amargo']"
Bizcocho de calabaza sin gluten ni lactosa,"Vamos a preparar un rico bizcocho de calabaza sin gluten, ideal para toda la familia pero, sobre todo, para los más pequeños. La calabaza es ideal para los postres de otoño, ya que es cuando la encontramos de temporada. Por ejemplo, podemos hacer buñuelos, flan, galletas y bizcochos como el que presentamos a continuación, mucho más saludable e igualmente jugoso.En RecetasGratis compartimos una sencilla receta de bizcocho de calabaza sin harina, perfecto para personas celíacas y para aquellas que prefieran no consumir trigo. Además, tampoco lleva leche. Solo tenemos que sustituir la harina de trigo por harina de almendras y listo. La calabaza, aparte de dar un sabor suave y algo dulce, le da jugosidad al bizcocho y, si te gustan las especias, se le pueden añadir para dar más sabor, como la canela. Sigue leyendo y descubre con nosotros cómo hacer bizcocho de calabaza sin gluten.","['1\nPrecalienta el horno a 180 ºC con calor arriba y abajo. Hecho esto, pela la calabaza quitando la corteza y córtala en trozos pequeños para que se hagan más pronto. Cocínala al microondas a máxima potencia durante 7 minutos. Sácala y si todavía no está cocida, introdúcela un minuto más.', '2\nUna vez que está la calabaza cocida, cháfala con un tenedor y añade el aceite de girasol. Mezcla bien para integrar ambos ingredientes.', '3\nAgrega los huevos y bate. Añade el azúcar moreno y sigue mezclando hasta integrarlo por completo en la masa. También puedes hacer el bizcocho de calabaza sin gluten ni azúcar empleando tu edulcorante favorito.', '4\nIncorpora la harina de almendra, la levadura y una pizca de sal y mezcla muy bien para que todos los ingredientes queden bien integrados y mezclados. Ahora se puede añadir un poco de canela en polvo o alguna especia que te guste.Si no consigues harina de almendra, prepárala en casa con esta Receta de harina de almendra casera.\nTruco: también puedes hacer este bizcocho de calabaza sin gluten con harina especial sin gluten en el lugar de la harina de almendra, utilizando la misma cantidad.', '5\nUnta un molde de 15 cm de diámetro con un poco de mantequilla o aceite, pon una hoja de papel vegetal en el fondo y agrega la masa. Hornea el bizcocho durante 20-30 minutos, colocando el molde en la parte central del horno. Para ver si está listo, a los 20 minutos pincha el centro con un palillo, si sale seco estará listo.', '6\nCuando esté listo, saca el bizcocho de calabaza sin gluten, desmolda y deja que se enfríe por completo sobre una rejilla.', '7\nCon ayuda de un colador, espolvorea azúcar glas por encima. También se puede poner una capa de queso crema o ganache de chocolate.']",,https://www.recetasgratis.net/receta-de-bizcocho-de-calabaza-sin-gluten-75501.html,4 comensales,45m,Postre,Dificultad baja,,"['Receta sin lactosa', 'Receta sin gluten', 'Recetas al horno']","['200 gramos de calabaza', '50 mililitros de aceite de girasol', '2 huevos', '80 gramos de azúcar moreno o blanco', '120 gramos de harina de almendra', '7 gramos de levadura química (polvos de hornear)']"
Receta FÁCIL y TRADICIONAL,"Ya está por llegar una de las mejores temporadas en México, motivo de celebración y muchos platillos, ¡el Día de Muertos! El Dia de Muertos siempre es especial y nunca puede faltar para estas fechas un delicioso y esponjoso pan de muerto. Tradicional y lleno de sabor, este pan se suele preparar con harina de trigo, pero como también queremos consentir a quienes no pueden consumir gluten, en RecetasGratis traemos una rica receta de pan de muerto sin gluten.La receta que compartimos ofrece el mismo resultado y sabor que un pan tradicional, pero con el detalle de que se utilizará una harina sin gluten, así que te invito a que sigas leyendo la receta y aprendas a preparar uno de los panes más ricos que existen en México. Descubre con nosotros cómo hacer pan de muerto sin gluten y permite que todos puedan disfrutarlo.","['1\nPara hacer el pan de muerto sin gluten, disuelve la levadura en leche tibia con una cucharada de azúcar, mezcla hasta que no queden grumos y deja que fermente por unos minutos.', '2\nEn un recipiente grande, coloca la harina de amaranto y la fécula de maíz. Forma una especie de volcán, agrega el azúcar y la sal en los bordes y coloca en el centro 3 huevos y una yema y, después, la levadura fermentada.', '3\nMezcla poco a poco y con movimientos envolventes hasta lograr integrar todos los ingredientes. Cuando ya se integren los ingredientes, agrega la mantequilla, la ralladura de naranja y el anís.', '4\nAmasa hasta obtener una textura suave. Esto puede tomarte unos 30 minutos. Con la textura deseada, pasa la masa a un recipiente engrasado y deja reposar para que doble su tamaño. Para agilizar el proceso de leudado, deja reposar cerca de un lugar cálido.', '5\nCuando la masa haya doblado su tamaño, retira el aire de la masa y divídela en 8 porciones iguales. Con esta cantidad te rinde para 6 o 7 panes medianos, pero puedes hacer las porciones más pequeñas o grandes si lo deseas. Para dar forma a tu pan de muerto sin gluten, haz bolas con la masa. Para los huesitos, toma una pequeña porción de masa, estírala y con tus dedos presiona y desliza para obtener un rollo. Para la cabeza, simplemente forma bolitas. Coloca tus panes en una charola para hornear engrasada y deja que reposen por 30 minutos.', '6\nPrecalienta el horno a 180 °C, barniza tus panes con un poco de huevo batido con leche y hornea durante 15 minutos, o hasta que notes que están dorados por encima. Puedes agregar ajonjolí si lo prefieres.', '7\nCuando estén templados los panes, barnízalos con un poco de mantequilla derretida y espolvorea azúcar. ¡Y listo! Ya puedes disfrutar de este delicioso pan de muerto sin gluten, perfecto para todos los públicos e igualmente sencillo de preparar.']",Valoración: 4 (1 voto),https://www.recetasgratis.net/receta-de-pan-de-muerto-sin-gluten-75496.html,5 comensales,1h 30m,Cena,Dificultad baja,,"['Receta sin gluten', 'Recetas al horno', 'Recetas mexicanas']","['1 taza de fécula de maíz (125 gramos)', '1½ tazas de harina de amaranto', '18 gramos de levadura seca', '100 gramos de azúcar (½ taza)', '10 gramos de sal', '120 gramos de mantequilla', '125 mililitros de leche tibia', '3 huevos', '1 yema de huevo', '1 cucharadita de anís', '1 cucharadita de ralladura de naranja', '1 huevo batido con leche', '3 cucharadas soperas de mantequilla derretida', 'Azúcar']"
Receta FÁCIL y DIVERTIDA,"Se acerca una de las épocas que más entusiasma a pequeños y a grandes, esta festividad es Halloween. Pues bien, esta receta te encantará si tus hijos preparan una fiesta tenebrosa o si te juntas con tus amigos a celebrarlo.Aprende a preparar pizzas de Halloween o pizzetas con cualquiera de las recetas que encuentras en nuestra web. Incluso hemos compartido contigo una opción de masa de pizza rápida sin reposo. Destacamos que con simples ingredientes podrás crear diferentes decoraciones o elegir tu preferida para sorprender a tus comensales. ¡A cocinar!","['1\nPara empezar con estas recetas de pizzas para Halloween, primero hierve la salchicha 5 minutos. Luego, córtala por el medio. También debes hacer un segundo corte en el borde contrario al redondeado y unos terceros sin llegar a cortarla para crear los pliegues del dedo. En la punta redondeada, retírale una parte para crear el hueco de la uña como bien observas en la imagen.', '2\nUbica los dedos sobre la pizza y agrégales una uña hecha con el queso de máquina. Caliéntala en horno fuerte (200 Cº) por 5 minutos.', '3\nUna vez que estén calientes, agrégales el kétchup o la salsa de tomate para que parezca la sangre de estos dedos cortados.', '4\nLuego, enrolla el queso de máquina y corta tiras de medio centímetro de ancho. Estas tiras te servirán tanto para hacer las telarañas como para hacer las vendas de las momias.', '5\nCubre las pizzas con las tiras de queso formando las vendas de la momia. Corta la aceituna en rodajas para hacer los ojos. Caliéntala en horno fuerte (200º) por 5 minutos.', '6\nPara hacer las pizzas de arañas, ubica las tiras formando la tela de araña.', '7\nPor otro lado, corta 1 de las aceitunas por el medio. Estas serán el cuerpo de tus arañas. Luego, corta la otra en rodajas y, a su vez, en 4. Estas serán las patas de las arañas.', '8\nUbica las arañas sobre la telaraña y caliéntala en horno fuerte (200 ºC) por 5 minutos.', '9\nPor último, preparamos las pizzas de fantasma. Puedes cortar las fetas de queso a mano o imprimir un molde para ayudarte. Crea los ojos de tus fantasmas con un pedacito de aceituna negra. Caliéntala en horno fuerte (200 ºC) por 5 minutos.¡Deja volar tu imaginación y diviértete creando pizzas para esta época del año! Nos encantaría ver en los comentarios las fotos de tus creaciones. ¡Feliz Halloween!']",,https://www.recetasgratis.net/receta-de-pizzas-de-halloween-75505.html,3 comensales,15m,Plato principal,Dificultad muy baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['6 pizzetas o 1 pizza grande', '3 cucharadas soperas de salsa de tomate', '2 aceitunas negras', '1 feta de queso de máquina', '1 aceituna negra', '1 feta de queso de máquina', '¼ aceituna negra', '2 fetas de queso de máquina', '1 salchicha', '1 cucharada sopera de ketchup o salsa de tomate', '¼ feta de queso de máquina']"
Receta FÁCIL y CASERA,"El pan de tarwi es una opción para incorporar en tus desayunos. Este cereal conocido como tarwi, chocho, lupino o altramuz tiene un sabor particular y se distribuye como semilla, deshidratado o en harina. Este cereal también es el protagonista del famoso ceviche de chocho. Para realizar este esponjoso panecillo necesitarás harina de trigo y para enriquecer la masa debes disponer de harina de kiwicha. La kiwicha es un super alimento de los andes considerado uno de los mejores alimentos de origen vegetal.¿Te preguntas cómo hacer pan de tarwi? En RecetasGratis queremos enseñarte a preparar este delicioso pan desde tu hogar. ¡Sigue estos pasos y realiza un pan de tarwi para compartir con amigos o familiares durante el desayuno!","['1\nPara empezar con la receta de pan de tarwi primero pesa todos los ingredientes utilizando una balanza y separa 20 gramos de harina de trigo y 60 g de leche.', '2\nEn una olla pequeña, agrega los 60 g de leche, 20 gramos de harina de trigo y 27 gramos de agua y mueve constantemente hasta obtener una consistencia chiclosa parecida a un puré. Reserva en un bol y deja enfriar.', '3\nHidrata la levadura seca con un poco de leche y agrega una pizca de azúcar.', '4\nAñade la harina en un bol con azúcar y sal. Llévalo a la batidora a nivel bajo y mezcla.', '5\nCuando los ingredientes secos se encuentren incorporados, agrega la mantequilla en pedazos poco a poco.', '6\nUna vez la mantequilla se encuentre integrada, añade la levadura.', '7\nAñade la primera mezcla que realizamos en el fuego y los huevos. Mezcla aproximadamente 5-7 minutos.', '8\nDespués del tiempo indicado retira la masa y colócala en un bol. Tapa la masa con un trapo o con una bolsa engrasada y deja reposar aproximadamente 30 minutos.', '9\nDespués del tiempo indicado la masa se habrá inflado.', '10\nForma bolitas del mismo tamaño con la mano y trasládalas a un envase engrasado. Tapa y deja inflar 20-30 minutos.', '11\nDespués de los 20 o 30 minutos, pinta los bollos con huevo batido y espolvorea el ajonjolí.', '12\nLleva al horno aproximadamente 30 minutos a 170 ºC.', '13\nDeja enfriar y sirve. ¡Disfruta el pan de tarwi casero!', '14\nEl tarwi posee un alto contenido en proteínas. Además, tiene funciones que ayudan al organismo a reducir la glucosa en sangre, tiene un gran contenido de grasa no saturada, es un laxante natural y ayuda a una buena digestión. Se encuentra en platos como el ceviche de tarwi, sopa de tarwi, guiso de tarwi, aji de tarwi o hamburguesa de tarwiY si además, eres un amante de los panes, no te pierdas estas recetas:Pan de boniatoPan de brócoliPan de yuca']",,https://www.recetasgratis.net/receta-de-pan-de-tarwi-75493.html,5 comensales,1h 30m,,Dificultad baja,,[],"['160 gramos de harina de trigo', '100 gramos de harina de tarwi', '80 gramos de harina de kiwicha', '180 gramos de leche fresca entera', '10 gramos de levadura seca', '3 gramos de sal', '42 gramos de mantequilla sin sal', '56 gramos de azúcar blanco', '2 huevos']"
Bizcocho de calabaza saludable sin azúcar,"Para hacer este bizcocho utilizaremos los condimentos del clásico pumpkin pie estadounidense para un sabroso resultado. Sin embargo, modificaremos algunos para lograr un resultado más saludable. Así pues, empleando ingredientes saludables como aceite, harinas integrales y la calabaza, conseguimos un gran sabor con pocas calorías.Verás que, siguiendo los pasos, es muy sencillo de realizar y en pocos minutos podrás disfrutar de una merienda original y rica. Sigue leyendo y descubre en RecetasGratis cómo hacer un bizcocho de calabaza saludable sin azúcar, ¡no te lo pierdas!","['1\nPara empezar con la preparación de este bizcocho de calabaza saludable, cocina la calabaza. Para ello, lávala, pélala y córtala en cubos. Puedes cocinarla al microondas por 10 minutos o al vapor por el doble de tiempo. Cualquiera de estas cocciones mantiene los nutrientes del vegetal, a diferencia del hervido, donde se pierden en el agua. Tritúrala y resérvala.Si te decantas por el microondas, no te pierdas nuestra Receta de calabaza al microondas.', '2\nMezcla el huevo con el edulcorante y la esencia de naranja. Añade el aceite poco a poco y batiendo hasta lograr un color blanquecino como el que ves en la imagen. En este punto, estarás agregando aire para conseguir un bizcocho de calabaza sin azúcar esponjoso.', '3\nIntegra la mezcla de huevo con el puré de calabaza y reserva.', '4\nPor otro lado, mezlca los ingredientes secos, es decir, la harina de avena con los condimentos, el bicarbonato y el polvo de hornear o levadura química.', '5\nSi no tienes harina de avena, puedes hacerla en casa con copos de avena:', '6\nIntegra los líquidos, incluyendo la leche, con los secos. No te preocupes si la mezcla resulta algo líquida. La idea es conseguir un bizcocho de calabaza saludable, pero bien húmedo.\nTruco: si tienes intolerancia a la lactosa, utiliza una bebida vegetal en lugar de leche.', '7\nEngrasa un molde con un poco de aceite y espolvorea harina. Vuelca en él la preparación y cocina el bizcocho en el horno a 180 ºC durante aproximadamente 30 minutos o hasta que, al pincharlo, no salgan restos de masa.', '8\nCuando esté listo, desmóldalo y déjalo enfriar antes de probarlo. Si quieres, puedes cubrirlo con frosting de queso crema sin azúcar o chocolate amargo. Cuéntanos qué te ha parecido este bizcocho de calabaza sin azúcar y si has decidido decorarlo.']",,https://www.recetasgratis.net/receta-de-bizcocho-de-calabaza-saludable-sin-azucar-75489.html,6 comensales,45m,Merienda,Dificultad baja,,"['Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Recetas al horno']","['100 gramos de calabaza', '1 huevo', '70 gramos de harina de avena o integral', '25 centímetros cúbicos de aceite', '1 cucharadita de edulcorante apto para cocción', '½ cucharadita de esencia de naranja', '½ cucharadita de nuez moscada', '¼ cucharadita de jengibre en polvo', '1 cucharadita de canela', '¼ cucharadita de cúrcuma', '½ cucharadita de polvo de hornear (levadura química)', '¼ cucharadita de bicarbonato de sodio', '50 centímetros cúbicos de leche descremada o bebida vegetal']"
Pan de boniato,"¿Estáis cansados de comer siempre el mismo sabor de pan? Pues bien, existen una gran variedad de opciones, una de ellas es el pan de boniato. No es necesario ser un experto panadero para poder realizar esta receta, solo se necesita harina, mantequilla, agua, boniato y levadura. Destacamos también que el boniato tiene diferentes nombres, tales como batata, camote o patata dulce, este es conocido a nivel mundial, un producto barato y fácil de conseguir. Señalamos que el origen de este tubérculo se encuentra en la América tropical, pero el mayor productor a nivel mundial es China, seguida de Uganda y de Indonesia. Datos de la FAO muestran que China produce aproximadamente el 80% de la batata.¿Te preguntas cómo hacer pan de boniato? En RecetasGratis queremos enseñarte a preparar este delicioso pan desde tu hogar. ¡Sigue estos pasos y realiza un pan de boniato casero!","['1\nPara empezar con la receta de pan de boniato primero debes lavar el boniato con abundante agua retirando la tierra.', '2\nEn una olla mediana con agua cocina los boniatos aproximadamente 15-20 minutos.', '3\nCuando se encuentren suaves, retíralos de la olla con mucho cuidado.\nTruco: puedes atravesar un palillo y comprobar que se encuentren cocidos.', '4\nRetira la piel de los boniatos y aplasta la pulpa utilizando un tenedor. Reserva el boniato triturado en un bol.\nTruco: corta la raíz y el tallo de los camotes', '5\nEn un bol mediano incorpora la miel, la leche, la mantequilla y el boniato. Remueve utilizando una cucharada. En otro bol añade la harina y la canela, reserva.', '6\nEn otro bol pequeño diluye la levadura con un poco de leche y agrega una pizca de azúcar blanco.', '7\nForma una fontana de harina con ayuda de un bol y coloca la mezcla de boniato y levadura en el centro de la fontana.', '8\nIncorpora los ingredientes con las manos desde el centro hacia afuera. Amasa aproximadamente unos 6-8 minutos.', '9\nUna vez que la masa se encuentre homogénea, debes trasladarla a un recipiente y dejarla reposar 30-40 minutos.\nTruco: agrega un poco de aceite al recipiente y cubre con un paño.', '10\nPasado el tiempo la masa doblará su tamaño.', '11\nEstira la masa en una superficie plana. Para estirar la masa utiliza las manos, aplástala ligeramente para eliminar el exceso de aire y enrolla la masa de arriba hacia abajo.', '12\nColoca la masa en un recipiente, sobre todo no olvides que el doblez va hacia abajo. Tapa y deja reposar entre 30 y 50 minutos. ¡Ya casi está listo el pan de boniato sin harina!', '13\nPrecalienta el horno a 190 ºC. Además, debes pintar con huevo la superficie y espolvorear con el ajonjolí blanco. Cocina aproximadamente 10 minutos a 190 ºC y luego baja la temperatura a 176 ºC por 45 minutos.', '14\nRetira con mucho cuidado y desmolda en una rejilla, debes dejar enfriar el pan dulce.', '15\n¡Ya puedes servir caliente y disfrutar!¿Qué te ha parecido el pan de batata esponjoso? Déjanos en los comentarios tu opinión.']",Valoración: 4 (4 votos),https://www.recetasgratis.net/receta-de-pan-de-boniato-75455.html,5 comensales,2h 30m,,Dificultad media,,[],"['400 gramos de boniato, camote o batata amarillo', '50 gramos de miel de abeja', '55 gramos de mantequilla sin sal', '100 mililitros de leche fresca entera', '450 gramos de harina sin preparar', '5 gramos de sal', '7 gramos de levadura seca', '1 pizca de canela molida']"
